ID;Geslacht;Herkomstgroepering;Opleidingsfase;Opleidingsvorm;Perioden;TotaalGeslaagden_1;StudieduurInMaanden_2
22;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Deeltijdopleidingen;Cohort 1997;6510.0;53.0
23;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Deeltijdopleidingen;Cohort 1998;6510.0;53.0
24;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Deeltijdopleidingen;Cohort 1999;6870.0;52.0
25;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Deeltijdopleidingen;Cohort 2000;7820.0;51.0
26;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Deeltijdopleidingen;Cohort 2001;8830.0;52.0
27;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Deeltijdopleidingen;Cohort 2002;9630.0;52.0
28;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Deeltijdopleidingen;Cohort 2003;10210.0;54.0
29;Totaal geslacht;Herkomstgroeperingen totaal;Bachelor;Deeltijdopleidingen;Cohort 2004;10740.0;55.0
30;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Totaal opleidingsvorm;Cohort 1995;1920.0;46.0
31;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Totaal opleidingsvorm;Cohort 1996;2590.0;46.0
32;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Totaal opleidingsvorm;Cohort 1997;2510.0;48.0
33;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Totaal opleidingsvorm;Cohort 1998;2550.0;49.0
34;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Totaal opleidingsvorm;Cohort 1999;2490.0;51.0
35;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Totaal opleidingsvorm;Cohort 2000;2830.0;49.0
36;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Totaal opleidingsvorm;Cohort 2001;3070.0;51.0
37;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Totaal opleidingsvorm;Cohort 2002;3210.0;53.0
38;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Totaal opleidingsvorm;Cohort 2003;3410.0;53.0
39;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Totaal opleidingsvorm;Cohort 2004;3670.0;55.0
40;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Voltijdopleidingen;Cohort 1995;240.0;60.0
41;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Voltijdopleidingen;Cohort 1996;410.0;59.0
42;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Voltijdopleidingen;Cohort 1997;450.0;59.0
43;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Voltijdopleidingen;Cohort 1998;500.0;59.0
44;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Voltijdopleidingen;Cohort 1999;590.0;62.0
45;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Voltijdopleidingen;Cohort 2000;580.0;62.0
46;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Voltijdopleidingen;Cohort 2001;660.0;59.0
47;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Voltijdopleidingen;Cohort 2002;640.0;57.0
48;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Voltijdopleidingen;Cohort 2003;740.0;58.0
49;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Voltijdopleidingen;Cohort 2004;820.0;57.0
50;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Deeltijdopleidingen;Cohort 1995;1680.0;44.0
51;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Deeltijdopleidingen;Cohort 1996;2180.0;44.0
52;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Deeltijdopleidingen;Cohort 1997;2060.0;46.0
53;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Deeltijdopleidingen;Cohort 1998;2050.0;47.0
54;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Deeltijdopleidingen;Cohort 1999;1900.0;47.0
55;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Deeltijdopleidingen;Cohort 2000;2250.0;45.0
56;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Deeltijdopleidingen;Cohort 2001;2410.0;49.0
57;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Deeltijdopleidingen;Cohort 2002;2570.0;52.0
58;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Deeltijdopleidingen;Cohort 2003;2660.0;51.0
59;Totaal geslacht;Herkomstgroeperingen totaal;Beroepsdiploma;Deeltijdopleidingen;Cohort 2004;2850.0;54.0
60;Totaal geslacht;Autochtonen;Bachelor;Totaal opleidingsvorm;Cohort 1995;42630.0;54.0
61;Totaal geslacht;Autochtonen;Bachelor;Totaal opleidingsvorm;Cohort 1996;41520.0;53.0
62;Totaal geslacht;Autochtonen;Bachelor;Totaal opleidingsvorm;Cohort 1997;40810.0;53.0
63;Totaal geslacht;Autochtonen;Bachelor;Totaal opleidingsvorm;Cohort 1998;40100.0;53.0
64;Totaal geslacht;Autochtonen;Bachelor;Totaal opleidingsvorm;Cohort 1999;41420.0;52.0
65;Totaal geslacht;Autochtonen;Bachelor;Totaal opleidingsvorm;Cohort 2000;41210.0;52.0
66;Totaal geslacht;Autochtonen;Bachelor;Totaal opleidingsvorm;Cohort 2001;42820.0;52.0
67;Totaal geslacht;Autochtonen;Bachelor;Totaal opleidingsvorm;Cohort 2002;44080.0;52.0
68;Totaal geslacht;Autochtonen;Bachelor;Totaal opleidingsvorm;Cohort 2003;46010.0;52.0
69;Totaal geslacht;Autochtonen;Bachelor;Totaal opleidingsvorm;Cohort 2004;45280.0;53.0
70;Totaal geslacht;Autochtonen;Bachelor;Voltijdopleidingen;Cohort 1995;37050.0;54.0
71;Totaal geslacht;Autochtonen;Bachelor;Voltijdopleidingen;Cohort 1996;36500.0;53.0
72;Totaal geslacht;Autochtonen;Bachelor;Voltijdopleidingen;Cohort 1997;36110.0;53.0
73;Totaal geslacht;Autochtonen;Bachelor;Voltijdopleidingen;Cohort 1998;35550.0;52.0
74;Totaal geslacht;Autochtonen;Bachelor;Voltijdopleidingen;Cohort 1999;36480.0;52.0
75;Totaal geslacht;Autochtonen;Bachelor;Voltijdopleidingen;Cohort 2000;35750.0;52.0
76;Totaal geslacht;Autochtonen;Bachelor;Voltijdopleidingen;Cohort 2001;36610.0;51.0
77;Totaal geslacht;Autochtonen;Bachelor;Voltijdopleidingen;Cohort 2002;37140.0;52.0
78;Totaal geslacht;Autochtonen;Bachelor;Voltijdopleidingen;Cohort 2003;37720.0;52.0
79;Totaal geslacht;Autochtonen;Bachelor;Voltijdopleidingen;Cohort 2004;36640.0;52.0
80;Totaal geslacht;Autochtonen;Bachelor;Deeltijdopleidingen;Cohort 1995;5580.0;52.0
81;Totaal geslacht;Autochtonen;Bachelor;Deeltijdopleidingen;Cohort 1996;5020.0;54.0
82;Totaal geslacht;Autochtonen;Bachelor;Deeltijdopleidingen;Cohort 1997;4710.0;56.0
83;Totaal geslacht;Autochtonen;Bachelor;Deeltijdopleidingen;Cohort 1998;4560.0;56.0
84;Totaal geslacht;Autochtonen;Bachelor;Deeltijdopleidingen;Cohort 1999;4940.0;55.0
85;Totaal geslacht;Autochtonen;Bachelor;Deeltijdopleidingen;Cohort 2000;5460.0;55.0
86;Totaal geslacht;Autochtonen;Bachelor;Deeltijdopleidingen;Cohort 2001;6210.0;55.0
87;Totaal geslacht;Autochtonen;Bachelor;Deeltijdopleidingen;Cohort 2002;6940.0;55.0
88;Totaal geslacht;Autochtonen;Bachelor;Deeltijdopleidingen;Cohort 2003;8300.0;54.0
89;Totaal geslacht;Autochtonen;Bachelor;Deeltijdopleidingen;Cohort 2004;8640.0;56.0
90;Totaal geslacht;Autochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 1995;1550.0;50.0
91;Totaal geslacht;Autochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 1996;1880.0;52.0
92;Totaal geslacht;Autochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 1997;1740.0;56.0
93;Totaal geslacht;Autochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 1998;1770.0;56.0
94;Totaal geslacht;Autochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 1999;1690.0;59.0
95;Totaal geslacht;Autochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 2000;1840.0;56.0
96;Totaal geslacht;Autochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 2001;2030.0;59.0
97;Totaal geslacht;Autochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 2002;2190.0;61.0
98;Totaal geslacht;Autochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 2003;2830.0;54.0
99;Totaal geslacht;Autochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 2004;3060.0;56.0
100;Totaal geslacht;Autochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 1995;220.0;60.0
101;Totaal geslacht;Autochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 1996;370.0;61.0
102;Totaal geslacht;Autochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 1997;400.0;61.0
103;Totaal geslacht;Autochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 1998;410.0;62.0
104;Totaal geslacht;Autochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 1999;430.0;65.0
105;Totaal geslacht;Autochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 2000;380.0;68.0
106;Totaal geslacht;Autochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 2001;400.0;67.0
107;Totaal geslacht;Autochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 2002;370.0;67.0
108;Totaal geslacht;Autochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 2003;420.0;68.0
109;Totaal geslacht;Autochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 2004;470.0;66.0
110;Totaal geslacht;Autochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 1995;1330.0;48.0
111;Totaal geslacht;Autochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 1996;1520.0;50.0
112;Totaal geslacht;Autochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 1997;1340.0;54.0
113;Totaal geslacht;Autochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 1998;1360.0;54.0
114;Totaal geslacht;Autochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 1999;1260.0;56.0
115;Totaal geslacht;Autochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 2000;1460.0;53.0
116;Totaal geslacht;Autochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 2001;1630.0;57.0
117;Totaal geslacht;Autochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 2002;1820.0;59.0
118;Totaal geslacht;Autochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 2003;2400.0;51.0
119;Totaal geslacht;Autochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 2004;2590.0;54.0
120;Totaal geslacht;Westerse allochtonen;Bachelor;Totaal opleidingsvorm;Cohort 1995;3420.0;54.0
121;Totaal geslacht;Westerse allochtonen;Bachelor;Totaal opleidingsvorm;Cohort 1996;3430.0;54.0
122;Totaal geslacht;Westerse allochtonen;Bachelor;Totaal opleidingsvorm;Cohort 1997;3320.0;54.0
123;Totaal geslacht;Westerse allochtonen;Bachelor;Totaal opleidingsvorm;Cohort 1998;3240.0;55.0
124;Totaal geslacht;Westerse allochtonen;Bachelor;Totaal opleidingsvorm;Cohort 1999;3170.0;54.0
125;Totaal geslacht;Westerse allochtonen;Bachelor;Totaal opleidingsvorm;Cohort 2000;3290.0;53.0
126;Totaal geslacht;Westerse allochtonen;Bachelor;Totaal opleidingsvorm;Cohort 2001;3570.0;53.0
127;Totaal geslacht;Westerse allochtonen;Bachelor;Totaal opleidingsvorm;Cohort 2002;3740.0;54.0
128;Totaal geslacht;Westerse allochtonen;Bachelor;Totaal opleidingsvorm;Cohort 2003;4500.0;51.0
129;Totaal geslacht;Westerse allochtonen;Bachelor;Totaal opleidingsvorm;Cohort 2004;4620.0;50.0
130;Totaal geslacht;Westerse allochtonen;Bachelor;Voltijdopleidingen;Cohort 1995;2850.0;55.0
131;Totaal geslacht;Westerse allochtonen;Bachelor;Voltijdopleidingen;Cohort 1996;2920.0;54.0
132;Totaal geslacht;Westerse allochtonen;Bachelor;Voltijdopleidingen;Cohort 1997;2830.0;54.0
133;Totaal geslacht;Westerse allochtonen;Bachelor;Voltijdopleidingen;Cohort 1998;2760.0;55.0
134;Totaal geslacht;Westerse allochtonen;Bachelor;Voltijdopleidingen;Cohort 1999;2710.0;54.0
135;Totaal geslacht;Westerse allochtonen;Bachelor;Voltijdopleidingen;Cohort 2000;2730.0;53.0
136;Totaal geslacht;Westerse allochtonen;Bachelor;Voltijdopleidingen;Cohort 2001;2960.0;53.0
137;Totaal geslacht;Westerse allochtonen;Bachelor;Voltijdopleidingen;Cohort 2002;3100.0;54.0
138;Totaal geslacht;Westerse allochtonen;Bachelor;Voltijdopleidingen;Cohort 2003;3660.0;50.0
139;Totaal geslacht;Westerse allochtonen;Bachelor;Voltijdopleidingen;Cohort 2004;3740.0;50.0
140;Totaal geslacht;Westerse allochtonen;Bachelor;Deeltijdopleidingen;Cohort 1995;560.0;50.0
141;Totaal geslacht;Westerse allochtonen;Bachelor;Deeltijdopleidingen;Cohort 1996;520.0;52.0
142;Totaal geslacht;Westerse allochtonen;Bachelor;Deeltijdopleidingen;Cohort 1997;480.0;55.0
143;Totaal geslacht;Westerse allochtonen;Bachelor;Deeltijdopleidingen;Cohort 1998;480.0;55.0
144;Totaal geslacht;Westerse allochtonen;Bachelor;Deeltijdopleidingen;Cohort 1999;460.0;54.0
145;Totaal geslacht;Westerse allochtonen;Bachelor;Deeltijdopleidingen;Cohort 2000;560.0;53.0
146;Totaal geslacht;Westerse allochtonen;Bachelor;Deeltijdopleidingen;Cohort 2001;610.0;56.0
147;Totaal geslacht;Westerse allochtonen;Bachelor;Deeltijdopleidingen;Cohort 2002;650.0;55.0
148;Totaal geslacht;Westerse allochtonen;Bachelor;Deeltijdopleidingen;Cohort 2003;840.0;52.0
149;Totaal geslacht;Westerse allochtonen;Bachelor;Deeltijdopleidingen;Cohort 2004;880.0;52.0
150;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 1995;100.0;47.0
151;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 1996;130.0;55.0
152;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 1997;120.0;55.0
153;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 1998;130.0;61.0
154;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 1999;140.0;62.0
155;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 2000;170.0;56.0
156;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 2001;160.0;57.0
157;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 2002;150.0;58.0
158;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 2003;300.0;51.0
159;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 2004;330.0;54.0
160;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 1995;10.0;
161;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 1996;20.0;
162;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 1997;20.0;
163;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 1998;40.0;
164;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 1999;60.0;78.0
165;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 2000;50.0;71.0
166;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 2001;50.0;73.0
167;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 2002;50.0;60.0
168;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 2003;140.0;54.0
169;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 2004;150.0;56.0
170;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 1995;80.0;45.0
171;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 1996;110.0;53.0
172;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 1997;90.0;53.0
173;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 1998;90.0;57.0
174;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 1999;80.0;51.0
175;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 2000;120.0;49.0
176;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 2001;110.0;49.0
177;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 2002;100.0;58.0
178;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 2003;160.0;49.0
179;Totaal geslacht;Westerse allochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 2004;170.0;52.0
180;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Totaal opleidingsvorm;Cohort 1995;1830.0;55.0
181;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Totaal opleidingsvorm;Cohort 1996;2010.0;55.0
182;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Totaal opleidingsvorm;Cohort 1997;2200.0;55.0
183;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Totaal opleidingsvorm;Cohort 1998;2320.0;55.0
184;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Totaal opleidingsvorm;Cohort 1999;2530.0;55.0
185;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Totaal opleidingsvorm;Cohort 2000;2930.0;54.0
186;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Totaal opleidingsvorm;Cohort 2001;3310.0;54.0
187;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Totaal opleidingsvorm;Cohort 2002;3830.0;54.0
188;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Totaal opleidingsvorm;Cohort 2003;4750.0;53.0
189;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Totaal opleidingsvorm;Cohort 2004;5310.0;53.0
190;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Voltijdopleidingen;Cohort 1995;1400.0;56.0
191;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Voltijdopleidingen;Cohort 1996;1610.0;55.0
192;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Voltijdopleidingen;Cohort 1997;1770.0;54.0
193;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Voltijdopleidingen;Cohort 1998;1880.0;55.0
194;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Voltijdopleidingen;Cohort 1999;2110.0;54.0
195;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Voltijdopleidingen;Cohort 2000;2430.0;54.0
196;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Voltijdopleidingen;Cohort 2001;2720.0;53.0
197;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Voltijdopleidingen;Cohort 2002;3140.0;53.0
198;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Voltijdopleidingen;Cohort 2003;3910.0;52.0
199;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Voltijdopleidingen;Cohort 2004;4370.0;52.0
200;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Deeltijdopleidingen;Cohort 1995;430.0;53.0
201;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Deeltijdopleidingen;Cohort 1996;400.0;54.0
202;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Deeltijdopleidingen;Cohort 1997;430.0;60.0
203;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Deeltijdopleidingen;Cohort 1998;440.0;58.0
204;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Deeltijdopleidingen;Cohort 1999;420.0;59.0
205;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Deeltijdopleidingen;Cohort 2000;510.0;58.0
206;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Deeltijdopleidingen;Cohort 2001;600.0;57.0
207;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Deeltijdopleidingen;Cohort 2002;690.0;57.0
208;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Deeltijdopleidingen;Cohort 2003;840.0;56.0
209;Totaal geslacht;Niet-westerse allochtonen;Bachelor;Deeltijdopleidingen;Cohort 2004;930.0;59.0
210;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 1995;40.0;
211;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 1996;60.0;51.0
212;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 1997;50.0;58.0
213;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 1998;60.0;49.0
214;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 1999;40.0;
215;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 2000;40.0;
216;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 2001;60.0;55.0
217;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 2002;70.0;64.0
218;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 2003;100.0;52.0
219;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Totaal opleidingsvorm;Cohort 2004;120.0;55.0
220;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 1995;0.0;
221;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 1996;10.0;
222;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 1997;10.0;
223;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 1998;10.0;
224;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 1999;10.0;
225;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 2000;10.0;
226;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 2001;20.0;
227;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 2002;10.0;
228;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 2003;50.0;
229;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Voltijdopleidingen;Cohort 2004;70.0;46.0
230;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 1995;40.0;
231;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 1996;60.0;49.0
232;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 1997;40.0;
233;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 1998;50.0;48.0
234;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 1999;30.0;
235;Totaal geslacht;Niet-westerse allochtonen;Beroepsdiploma;Deeltijdopleidingen;Cohort 2000;40.0;
