ID;Geslacht;Studierichting;Herkomstgroepering;Perioden;Gediplomeerden_1
67;Totaal mannen en vrouwen;0;Westerse allochtoon, 1e generatie;1999/'00;1198
68;Totaal mannen en vrouwen;0;Westerse allochtoon, 1e generatie;2000/'01;1215
69;Totaal mannen en vrouwen;0;Westerse allochtoon, 1e generatie;2001/'02;1434
70;Totaal mannen en vrouwen;0;Westerse allochtoon, 1e generatie;2002/'03;1637
71;Totaal mannen en vrouwen;0;Westerse allochtoon, 1e generatie;2003/'04;2332
72;Totaal mannen en vrouwen;0;Westerse allochtoon, 1e generatie;2004/'05;2740
73;Totaal mannen en vrouwen;0;Westerse allochtoon, 1e generatie;2005/'06;3171
74;Totaal mannen en vrouwen;0;Westerse allochtoon, 1e generatie;2006/'07;3180
75;Totaal mannen en vrouwen;0;Westerse allochtoon, 1e generatie;2007/'08;3443
76;Totaal mannen en vrouwen;0;Westerse allochtoon, 1e generatie;2008/'09;4370
77;Totaal mannen en vrouwen;0;Westerse allochtoon, 1e generatie;2009/'10;5284
78;Totaal mannen en vrouwen;0;Westerse allochtoon, 1e generatie;2010/'11;5782
79;Totaal mannen en vrouwen;0;Westerse allochtoon, 1e generatie;2011/'12;6830
80;Totaal mannen en vrouwen;0;Westerse allochtoon, 1e generatie;2012/'13;6919
81;Totaal mannen en vrouwen;0;Westerse allochtoon, 1e generatie;2013/'14;7139
82;Totaal mannen en vrouwen;0;Westerse allochtoon, 1e generatie;2014/'15;8545
83;Totaal mannen en vrouwen;0;Westerse allochtoon, 1e generatie;2015/'16;8679
84;Totaal mannen en vrouwen;0;Westerse allochtoon, 2e generatie;1995/'96;4245
85;Totaal mannen en vrouwen;0;Westerse allochtoon, 2e generatie;1996/'97;3957
86;Totaal mannen en vrouwen;0;Westerse allochtoon, 2e generatie;1997/'98;3653
87;Totaal mannen en vrouwen;0;Westerse allochtoon, 2e generatie;1998/'99;3620
88;Totaal mannen en vrouwen;0;Westerse allochtoon, 2e generatie;1999/'00;3547
89;Totaal mannen en vrouwen;0;Westerse allochtoon, 2e generatie;2000/'01;3609
90;Totaal mannen en vrouwen;0;Westerse allochtoon, 2e generatie;2001/'02;3761
91;Totaal mannen en vrouwen;0;Westerse allochtoon, 2e generatie;2002/'03;3914
92;Totaal mannen en vrouwen;0;Westerse allochtoon, 2e generatie;2003/'04;4217
93;Totaal mannen en vrouwen;0;Westerse allochtoon, 2e generatie;2004/'05;4522
94;Totaal mannen en vrouwen;0;Westerse allochtoon, 2e generatie;2005/'06;4849
95;Totaal mannen en vrouwen;0;Westerse allochtoon, 2e generatie;2006/'07;4708
96;Totaal mannen en vrouwen;0;Westerse allochtoon, 2e generatie;2007/'08;4392
97;Totaal mannen en vrouwen;0;Westerse allochtoon, 2e generatie;2008/'09;4479
98;Totaal mannen en vrouwen;0;Westerse allochtoon, 2e generatie;2009/'10;4422
99;Totaal mannen en vrouwen;0;Westerse allochtoon, 2e generatie;2010/'11;4337
100;Totaal mannen en vrouwen;0;Westerse allochtoon, 2e generatie;2011/'12;4718
101;Totaal mannen en vrouwen;0;Westerse allochtoon, 2e generatie;2012/'13;4237
102;Totaal mannen en vrouwen;0;Westerse allochtoon, 2e generatie;2013/'14;4274
103;Totaal mannen en vrouwen;0;Westerse allochtoon, 2e generatie;2014/'15;4429
104;Totaal mannen en vrouwen;0;Westerse allochtoon, 2e generatie;2015/'16;4433
105;Totaal mannen en vrouwen;0;Niet-westerse allochtoon;1995/'96;2749
106;Totaal mannen en vrouwen;0;Niet-westerse allochtoon;1996/'97;2953
107;Totaal mannen en vrouwen;0;Niet-westerse allochtoon;1997/'98;3106
108;Totaal mannen en vrouwen;0;Niet-westerse allochtoon;1998/'99;3180
109;Totaal mannen en vrouwen;0;Niet-westerse allochtoon;1999/'00;3407
110;Totaal mannen en vrouwen;0;Niet-westerse allochtoon;2000/'01;3881
111;Totaal mannen en vrouwen;0;Niet-westerse allochtoon;2001/'02;4362
112;Totaal mannen en vrouwen;0;Niet-westerse allochtoon;2002/'03;5090
113;Totaal mannen en vrouwen;0;Niet-westerse allochtoon;2003/'04;6383
114;Totaal mannen en vrouwen;0;Niet-westerse allochtoon;2004/'05;7313
115;Totaal mannen en vrouwen;0;Niet-westerse allochtoon;2005/'06;8398
116;Totaal mannen en vrouwen;0;Niet-westerse allochtoon;2006/'07;8762
117;Totaal mannen en vrouwen;0;Niet-westerse allochtoon;2007/'08;8730
118;Totaal mannen en vrouwen;0;Niet-westerse allochtoon;2008/'09;9078
119;Totaal mannen en vrouwen;0;Niet-westerse allochtoon;2009/'10;9163
120;Totaal mannen en vrouwen;0;Niet-westerse allochtoon;2010/'11;9483
121;Totaal mannen en vrouwen;0;Niet-westerse allochtoon;2011/'12;10584
122;Totaal mannen en vrouwen;0;Niet-westerse allochtoon;2012/'13;9612
123;Totaal mannen en vrouwen;0;Niet-westerse allochtoon;2013/'14;9814
124;Totaal mannen en vrouwen;0;Niet-westerse allochtoon;2014/'15;10723
125;Totaal mannen en vrouwen;0;Niet-westerse allochtoon;2015/'16;11182
126;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 1e generatie;1995/'96;1928
127;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 1e generatie;1996/'97;2071
128;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 1e generatie;1997/'98;2083
129;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 1e generatie;1998/'99;2086
130;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 1e generatie;1999/'00;2060
131;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 1e generatie;2000/'01;2217
132;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 1e generatie;2001/'02;2416
133;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 1e generatie;2002/'03;2698
134;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 1e generatie;2003/'04;3525
135;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 1e generatie;2004/'05;3856
136;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 1e generatie;2005/'06;4389
137;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 1e generatie;2006/'07;4375
138;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 1e generatie;2007/'08;4213
139;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 1e generatie;2008/'09;4249
140;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 1e generatie;2009/'10;4050
141;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 1e generatie;2010/'11;4014
142;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 1e generatie;2011/'12;4432
143;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 1e generatie;2012/'13;3969
144;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 1e generatie;2013/'14;3914
145;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 1e generatie;2014/'15;3958
146;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 1e generatie;2015/'16;3975
147;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 2e generatie;1995/'96;821
148;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 2e generatie;1996/'97;882
149;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 2e generatie;1997/'98;1023
150;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 2e generatie;1998/'99;1094
151;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 2e generatie;1999/'00;1347
152;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 2e generatie;2000/'01;1664
153;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 2e generatie;2001/'02;1946
154;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 2e generatie;2002/'03;2392
155;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 2e generatie;2003/'04;2858
156;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 2e generatie;2004/'05;3457
157;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 2e generatie;2005/'06;4009
158;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 2e generatie;2006/'07;4387
159;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 2e generatie;2007/'08;4517
160;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 2e generatie;2008/'09;4829
161;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 2e generatie;2009/'10;5113
162;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 2e generatie;2010/'11;5469
163;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 2e generatie;2011/'12;6152
164;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 2e generatie;2012/'13;5643
165;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 2e generatie;2013/'14;5900
166;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 2e generatie;2014/'15;6765
167;Totaal mannen en vrouwen;0;Niet-westerse allochtoon, 2e generatie;2015/'16;7207
168;Totaal mannen en vrouwen;0;Turkije;1995/'96;296
169;Totaal mannen en vrouwen;0;Turkije;1996/'97;335
170;Totaal mannen en vrouwen;0;Turkije;1997/'98;423
171;Totaal mannen en vrouwen;0;Turkije;1998/'99;417
172;Totaal mannen en vrouwen;0;Turkije;1999/'00;451
173;Totaal mannen en vrouwen;0;Turkije;2000/'01;499
174;Totaal mannen en vrouwen;0;Turkije;2001/'02;606
175;Totaal mannen en vrouwen;0;Turkije;2002/'03;676
176;Totaal mannen en vrouwen;0;Turkije;2003/'04;864
177;Totaal mannen en vrouwen;0;Turkije;2004/'05;855
178;Totaal mannen en vrouwen;0;Turkije;2005/'06;1015
179;Totaal mannen en vrouwen;0;Turkije;2006/'07;1163
180;Totaal mannen en vrouwen;0;Turkije;2007/'08;1146
181;Totaal mannen en vrouwen;0;Turkije;2008/'09;1190
182;Totaal mannen en vrouwen;0;Turkije;2009/'10;1217
183;Totaal mannen en vrouwen;0;Turkije;2010/'11;1329
184;Totaal mannen en vrouwen;0;Turkije;2011/'12;1589
185;Totaal mannen en vrouwen;0;Turkije;2012/'13;1380
186;Totaal mannen en vrouwen;0;Turkije;2013/'14;1485
187;Totaal mannen en vrouwen;0;Turkije;2014/'15;1556
188;Totaal mannen en vrouwen;0;Turkije;2015/'16;1740
189;Totaal mannen en vrouwen;0;Turkije, 1e generatie;1995/'96;217
190;Totaal mannen en vrouwen;0;Turkije, 1e generatie;1996/'97;239
191;Totaal mannen en vrouwen;0;Turkije, 1e generatie;1997/'98;281
192;Totaal mannen en vrouwen;0;Turkije, 1e generatie;1998/'99;250
193;Totaal mannen en vrouwen;0;Turkije, 1e generatie;1999/'00;256
194;Totaal mannen en vrouwen;0;Turkije, 1e generatie;2000/'01;238
195;Totaal mannen en vrouwen;0;Turkije, 1e generatie;2001/'02;264
196;Totaal mannen en vrouwen;0;Turkije, 1e generatie;2002/'03;263
197;Totaal mannen en vrouwen;0;Turkije, 1e generatie;2003/'04;294
198;Totaal mannen en vrouwen;0;Turkije, 1e generatie;2004/'05;283
199;Totaal mannen en vrouwen;0;Turkije, 1e generatie;2005/'06;275
200;Totaal mannen en vrouwen;0;Turkije, 1e generatie;2006/'07;303
201;Totaal mannen en vrouwen;0;Turkije, 1e generatie;2007/'08;291
202;Totaal mannen en vrouwen;0;Turkije, 1e generatie;2008/'09;307
203;Totaal mannen en vrouwen;0;Turkije, 1e generatie;2009/'10;262
204;Totaal mannen en vrouwen;0;Turkije, 1e generatie;2010/'11;277
205;Totaal mannen en vrouwen;0;Turkije, 1e generatie;2011/'12;315
206;Totaal mannen en vrouwen;0;Turkije, 1e generatie;2012/'13;235
207;Totaal mannen en vrouwen;0;Turkije, 1e generatie;2013/'14;210
208;Totaal mannen en vrouwen;0;Turkije, 1e generatie;2014/'15;206
209;Totaal mannen en vrouwen;0;Turkije, 1e generatie;2015/'16;200
210;Totaal mannen en vrouwen;0;Turkije, 2e generatie;1995/'96;79
211;Totaal mannen en vrouwen;0;Turkije, 2e generatie;1996/'97;96
212;Totaal mannen en vrouwen;0;Turkije, 2e generatie;1997/'98;142
213;Totaal mannen en vrouwen;0;Turkije, 2e generatie;1998/'99;167
214;Totaal mannen en vrouwen;0;Turkije, 2e generatie;1999/'00;195
215;Totaal mannen en vrouwen;0;Turkije, 2e generatie;2000/'01;261
216;Totaal mannen en vrouwen;0;Turkije, 2e generatie;2001/'02;342
217;Totaal mannen en vrouwen;0;Turkije, 2e generatie;2002/'03;413
218;Totaal mannen en vrouwen;0;Turkije, 2e generatie;2003/'04;570
219;Totaal mannen en vrouwen;0;Turkije, 2e generatie;2004/'05;572
220;Totaal mannen en vrouwen;0;Turkije, 2e generatie;2005/'06;740
221;Totaal mannen en vrouwen;0;Turkije, 2e generatie;2006/'07;860
222;Totaal mannen en vrouwen;0;Turkije, 2e generatie;2007/'08;855
223;Totaal mannen en vrouwen;0;Turkije, 2e generatie;2008/'09;883
224;Totaal mannen en vrouwen;0;Turkije, 2e generatie;2009/'10;955
225;Totaal mannen en vrouwen;0;Turkije, 2e generatie;2010/'11;1052
226;Totaal mannen en vrouwen;0;Turkije, 2e generatie;2011/'12;1274
227;Totaal mannen en vrouwen;0;Turkije, 2e generatie;2012/'13;1145
228;Totaal mannen en vrouwen;0;Turkije, 2e generatie;2013/'14;1275
229;Totaal mannen en vrouwen;0;Turkije, 2e generatie;2014/'15;1350
230;Totaal mannen en vrouwen;0;Turkije, 2e generatie;2015/'16;1540
231;Totaal mannen en vrouwen;0;Marokko;1995/'96;251
232;Totaal mannen en vrouwen;0;Marokko;1996/'97;275
233;Totaal mannen en vrouwen;0;Marokko;1997/'98;299
234;Totaal mannen en vrouwen;0;Marokko;1998/'99;378
235;Totaal mannen en vrouwen;0;Marokko;1999/'00;472
236;Totaal mannen en vrouwen;0;Marokko;2000/'01;534
237;Totaal mannen en vrouwen;0;Marokko;2001/'02;641
238;Totaal mannen en vrouwen;0;Marokko;2002/'03;730
239;Totaal mannen en vrouwen;0;Marokko;2003/'04;852
240;Totaal mannen en vrouwen;0;Marokko;2004/'05;966
241;Totaal mannen en vrouwen;0;Marokko;2005/'06;1036
242;Totaal mannen en vrouwen;0;Marokko;2006/'07;1134
243;Totaal mannen en vrouwen;0;Marokko;2007/'08;1080
244;Totaal mannen en vrouwen;0;Marokko;2008/'09;1243
245;Totaal mannen en vrouwen;0;Marokko;2009/'10;1286
246;Totaal mannen en vrouwen;0;Marokko;2010/'11;1313
247;Totaal mannen en vrouwen;0;Marokko;2011/'12;1465
248;Totaal mannen en vrouwen;0;Marokko;2012/'13;1208
249;Totaal mannen en vrouwen;0;Marokko;2013/'14;1303
250;Totaal mannen en vrouwen;0;Marokko;2014/'15;1511
251;Totaal mannen en vrouwen;0;Marokko;2015/'16;1547
252;Totaal mannen en vrouwen;0;Marokko, 1e generatie;1995/'96;197
253;Totaal mannen en vrouwen;0;Marokko, 1e generatie;1996/'97;215
254;Totaal mannen en vrouwen;0;Marokko, 1e generatie;1997/'98;218
255;Totaal mannen en vrouwen;0;Marokko, 1e generatie;1998/'99;258
256;Totaal mannen en vrouwen;0;Marokko, 1e generatie;1999/'00;308
257;Totaal mannen en vrouwen;0;Marokko, 1e generatie;2000/'01;309
258;Totaal mannen en vrouwen;0;Marokko, 1e generatie;2001/'02;368
259;Totaal mannen en vrouwen;0;Marokko, 1e generatie;2002/'03;388
260;Totaal mannen en vrouwen;0;Marokko, 1e generatie;2003/'04;421
261;Totaal mannen en vrouwen;0;Marokko, 1e generatie;2004/'05;417
262;Totaal mannen en vrouwen;0;Marokko, 1e generatie;2005/'06;434
263;Totaal mannen en vrouwen;0;Marokko, 1e generatie;2006/'07;395
264;Totaal mannen en vrouwen;0;Marokko, 1e generatie;2007/'08;362
265;Totaal mannen en vrouwen;0;Marokko, 1e generatie;2008/'09;404
266;Totaal mannen en vrouwen;0;Marokko, 1e generatie;2009/'10;383
267;Totaal mannen en vrouwen;0;Marokko, 1e generatie;2010/'11;307
268;Totaal mannen en vrouwen;0;Marokko, 1e generatie;2011/'12;327
269;Totaal mannen en vrouwen;0;Marokko, 1e generatie;2012/'13;242
270;Totaal mannen en vrouwen;0;Marokko, 1e generatie;2013/'14;204
271;Totaal mannen en vrouwen;0;Marokko, 1e generatie;2014/'15;228
272;Totaal mannen en vrouwen;0;Marokko, 1e generatie;2015/'16;189
273;Totaal mannen en vrouwen;0;Marokko, 2e generatie;1995/'96;54
274;Totaal mannen en vrouwen;0;Marokko, 2e generatie;1996/'97;60
275;Totaal mannen en vrouwen;0;Marokko, 2e generatie;1997/'98;81
276;Totaal mannen en vrouwen;0;Marokko, 2e generatie;1998/'99;120
277;Totaal mannen en vrouwen;0;Marokko, 2e generatie;1999/'00;164
278;Totaal mannen en vrouwen;0;Marokko, 2e generatie;2000/'01;225
279;Totaal mannen en vrouwen;0;Marokko, 2e generatie;2001/'02;273
280;Totaal mannen en vrouwen;0;Marokko, 2e generatie;2002/'03;342
281;Totaal mannen en vrouwen;0;Marokko, 2e generatie;2003/'04;431
282;Totaal mannen en vrouwen;0;Marokko, 2e generatie;2004/'05;549
283;Totaal mannen en vrouwen;0;Marokko, 2e generatie;2005/'06;602
284;Totaal mannen en vrouwen;0;Marokko, 2e generatie;2006/'07;739
285;Totaal mannen en vrouwen;0;Marokko, 2e generatie;2007/'08;718
286;Totaal mannen en vrouwen;0;Marokko, 2e generatie;2008/'09;839
287;Totaal mannen en vrouwen;0;Marokko, 2e generatie;2009/'10;903
288;Totaal mannen en vrouwen;0;Marokko, 2e generatie;2010/'11;1006
289;Totaal mannen en vrouwen;0;Marokko, 2e generatie;2011/'12;1138
290;Totaal mannen en vrouwen;0;Marokko, 2e generatie;2012/'13;966
291;Totaal mannen en vrouwen;0;Marokko, 2e generatie;2013/'14;1099
292;Totaal mannen en vrouwen;0;Marokko, 2e generatie;2014/'15;1283
293;Totaal mannen en vrouwen;0;Marokko, 2e generatie;2015/'16;1358
294;Totaal mannen en vrouwen;0;Suriname;1995/'96;955
295;Totaal mannen en vrouwen;0;Suriname;1996/'97;946
296;Totaal mannen en vrouwen;0;Suriname;1997/'98;963
297;Totaal mannen en vrouwen;0;Suriname;1998/'99;936
298;Totaal mannen en vrouwen;0;Suriname;1999/'00;942
299;Totaal mannen en vrouwen;0;Suriname;2000/'01;1016
300;Totaal mannen en vrouwen;0;Suriname;2001/'02;1057
301;Totaal mannen en vrouwen;0;Suriname;2002/'03;1225
302;Totaal mannen en vrouwen;0;Suriname;2003/'04;1364
303;Totaal mannen en vrouwen;0;Suriname;2004/'05;1620
304;Totaal mannen en vrouwen;0;Suriname;2005/'06;1667
305;Totaal mannen en vrouwen;0;Suriname;2006/'07;1769
306;Totaal mannen en vrouwen;0;Suriname;2007/'08;1806
307;Totaal mannen en vrouwen;0;Suriname;2008/'09;1817
308;Totaal mannen en vrouwen;0;Suriname;2009/'10;1765
309;Totaal mannen en vrouwen;0;Suriname;2010/'11;1745
310;Totaal mannen en vrouwen;0;Suriname;2011/'12;1802
311;Totaal mannen en vrouwen;0;Suriname;2012/'13;1643
312;Totaal mannen en vrouwen;0;Suriname;2013/'14;1565
313;Totaal mannen en vrouwen;0;Suriname;2014/'15;1748
314;Totaal mannen en vrouwen;0;Suriname;2015/'16;1840
315;Totaal mannen en vrouwen;0;Suriname, 1e generatie;1995/'96;664
316;Totaal mannen en vrouwen;0;Suriname, 1e generatie;1996/'97;641
317;Totaal mannen en vrouwen;0;Suriname, 1e generatie;1997/'98;625
318;Totaal mannen en vrouwen;0;Suriname, 1e generatie;1998/'99;628
319;Totaal mannen en vrouwen;0;Suriname, 1e generatie;1999/'00;563
320;Totaal mannen en vrouwen;0;Suriname, 1e generatie;2000/'01;578
321;Totaal mannen en vrouwen;0;Suriname, 1e generatie;2001/'02;556
322;Totaal mannen en vrouwen;0;Suriname, 1e generatie;2002/'03;561
323;Totaal mannen en vrouwen;0;Suriname, 1e generatie;2003/'04;628
324;Totaal mannen en vrouwen;0;Suriname, 1e generatie;2004/'05;678
325;Totaal mannen en vrouwen;0;Suriname, 1e generatie;2005/'06;624
326;Totaal mannen en vrouwen;0;Suriname, 1e generatie;2006/'07;642
327;Totaal mannen en vrouwen;0;Suriname, 1e generatie;2007/'08;624
328;Totaal mannen en vrouwen;0;Suriname, 1e generatie;2008/'09;572
329;Totaal mannen en vrouwen;0;Suriname, 1e generatie;2009/'10;490
330;Totaal mannen en vrouwen;0;Suriname, 1e generatie;2010/'11;450
331;Totaal mannen en vrouwen;0;Suriname, 1e generatie;2011/'12;445
332;Totaal mannen en vrouwen;0;Suriname, 1e generatie;2012/'13;381
333;Totaal mannen en vrouwen;0;Suriname, 1e generatie;2013/'14;323
334;Totaal mannen en vrouwen;0;Suriname, 1e generatie;2014/'15;316
335;Totaal mannen en vrouwen;0;Suriname, 1e generatie;2015/'16;347
336;Totaal mannen en vrouwen;0;Suriname, 2e generatie;1995/'96;291
337;Totaal mannen en vrouwen;0;Suriname, 2e generatie;1996/'97;305
338;Totaal mannen en vrouwen;0;Suriname, 2e generatie;1997/'98;338
339;Totaal mannen en vrouwen;0;Suriname, 2e generatie;1998/'99;308
340;Totaal mannen en vrouwen;0;Suriname, 2e generatie;1999/'00;379
341;Totaal mannen en vrouwen;0;Suriname, 2e generatie;2000/'01;438
342;Totaal mannen en vrouwen;0;Suriname, 2e generatie;2001/'02;501
343;Totaal mannen en vrouwen;0;Suriname, 2e generatie;2002/'03;664
344;Totaal mannen en vrouwen;0;Suriname, 2e generatie;2003/'04;736
345;Totaal mannen en vrouwen;0;Suriname, 2e generatie;2004/'05;942
346;Totaal mannen en vrouwen;0;Suriname, 2e generatie;2005/'06;1043
347;Totaal mannen en vrouwen;0;Suriname, 2e generatie;2006/'07;1127
348;Totaal mannen en vrouwen;0;Suriname, 2e generatie;2007/'08;1182
349;Totaal mannen en vrouwen;0;Suriname, 2e generatie;2008/'09;1245
350;Totaal mannen en vrouwen;0;Suriname, 2e generatie;2009/'10;1275
351;Totaal mannen en vrouwen;0;Suriname, 2e generatie;2010/'11;1295
352;Totaal mannen en vrouwen;0;Suriname, 2e generatie;2011/'12;1357
353;Totaal mannen en vrouwen;0;Suriname, 2e generatie;2012/'13;1262
354;Totaal mannen en vrouwen;0;Suriname, 2e generatie;2013/'14;1242
355;Totaal mannen en vrouwen;0;Suriname, 2e generatie;2014/'15;1432
356;Totaal mannen en vrouwen;0;Suriname, 2e generatie;2015/'16;1493
357;Totaal mannen en vrouwen;0;(voormalige) Nederlandse Antillen, Aruba;1995/'96;540
358;Totaal mannen en vrouwen;0;(voormalige) Nederlandse Antillen, Aruba;1996/'97;574
359;Totaal mannen en vrouwen;0;(voormalige) Nederlandse Antillen, Aruba;1997/'98;517
360;Totaal mannen en vrouwen;0;(voormalige) Nederlandse Antillen, Aruba;1998/'99;517
361;Totaal mannen en vrouwen;0;(voormalige) Nederlandse Antillen, Aruba;1999/'00;493
362;Totaal mannen en vrouwen;0;(voormalige) Nederlandse Antillen, Aruba;2000/'01;567
363;Totaal mannen en vrouwen;0;(voormalige) Nederlandse Antillen, Aruba;2001/'02;632
