ID;Sex;PersonCharacteristics;Periods;NumberOfPersons_1;MeanEquivalisedIncome_2;NumberOfPersonsWithIncome_3;MeanPersonalIncome_4;MedianDevelopmentPurchasingPower_5;PersonsEconomicallyIndependent_6;LowIncomePersons_7
36;Total male and female;Age: 15 to 24 years;2021;2076.3;35.6;1903.3;13.0;4.7;75.4;3.9
37;Total male and female;Age: 15 to 24 years;2022;2092.6;37.9;1958.2;14.1;2.1;79.4;3.3
38;Total male and female;Age: 15 to 24 years;2023;2116.1;41.2;1994.7;15.4;3.5;78.9;3.0
39;Total male and female;Age: 25 to 44 years;2011;4336.8;26.6;4149.8;34.0;;75.5;6.6
40;Total male and female;Age: 25 to 44 years;2012;4292.0;26.6;4110.8;34.2;-0.9;74.9;7.7
41;Total male and female;Age: 25 to 44 years;2013;4247.0;26.8;4063.5;34.4;0.0;74.0;8.5
42;Total male and female;Age: 25 to 44 years;2014;4199.3;28.1;4017.2;34.8;2.7;74.0;8.3
43;Total male and female;Age: 25 to 44 years;2015;4152.2;28.3;3973.4;35.2;2.3;74.6;8.0
44;Total male and female;Age: 25 to 44 years;2016;4123.4;29.7;3953.1;35.9;4.9;75.8;7.5
45;Total male and female;Age: 25 to 44 years;2017;4121.3;30.6;3964.0;36.5;1.5;76.8;7.2
46;Total male and female;Age: 25 to 44 years;2018;4131.3;31.1;3982.9;37.5;1.8;78.1;7.0
47;Total male and female;Age: 25 to 44 years;2019;4165.8;33.1;4022.5;38.8;2.5;79.2;6.4
48;Total male and female;Age: 25 to 44 years;2020;4215.0;34.2;4076.1;39.9;4.1;78.5;5.6
49;Total male and female;Age: 25 to 44 years;2021;4254.6;36.0;4118.5;41.7;2.7;80.0;5.2
50;Total male and female;Age: 25 to 44 years;2022;4304.0;38.2;4181.6;44.3;0.1;82.1;3.5
51;Total male and female;Age: 25 to 44 years;2023;4401.0;40.8;4260.7;46.9;0.9;81.9;3.6
52;Total male and female;Age: 45 to 64 years;2011;4635.7;30.3;4259.6;36.7;;60.6;5.6
53;Total male and female;Age: 45 to 64 years;2012;4635.2;30.4;4274.6;37.2;-1.4;61.3;6.3
54;Total male and female;Age: 45 to 64 years;2013;4641.6;30.7;4286.0;38.1;-0.9;61.6;7.1
55;Total male and female;Age: 45 to 64 years;2014;4653.7;32.8;4304.6;39.2;2.1;62.3;6.9
56;Total male and female;Age: 45 to 64 years;2015;4691.2;32.3;4346.0;40.0;1.5;63.2;7.1
57;Total male and female;Age: 45 to 64 years;2016;4726.8;33.7;4389.1;40.9;3.2;64.2;6.9
58;Total male and female;Age: 45 to 64 years;2017;4763.7;35.0;4437.9;42.6;0.6;65.2;7.0
59;Total male and female;Age: 45 to 64 years;2018;4777.9;35.3;4463.8;42.9;0.5;66.5;7.1
60;Total male and female;Age: 45 to 64 years;2019;4778.8;38.5;4482.8;44.2;1.6;67.9;6.8
61;Total male and female;Age: 45 to 64 years;2020;4773.0;38.7;4493.9;45.2;2.7;67.8;6.3
62;Total male and female;Age: 45 to 64 years;2021;4756.3;40.6;4488.6;47.2;1.5;69.1;6.1
63;Total male and female;Age: 45 to 64 years;2022;4730.3;43.1;4495.3;49.1;-1.0;71.3;4.3
64;Total male and female;Age: 45 to 64 years;2023;4715.7;46.4;4474.2;51.9;0.1;71.9;3.5
65;Total male and female;Age: 65 years or older;2011;2467.2;24.5;2466.2;21.2;;;1.9
66;Total male and female;Age: 65 years or older;2012;2590.5;25.3;2589.6;21.7;-1.2;;2.7
67;Total male and female;Age: 65 years or older;2013;2700.5;25.3;2699.6;22.0;-2.8;;3.0
68;Total male and female;Age: 65 years or older;2014;2779.8;26.7;2778.9;22.6;0.8;;2.7
69;Total male and female;Age: 65 years or older;2015;2875.0;26.2;2873.6;22.9;0.1;;2.2
70;Total male and female;Age: 65 years or older;2016;2954.0;26.9;2952.4;23.5;0.8;;2.1
71;Total male and female;Age: 65 years or older;2017;3035.8;28.0;3034.2;24.9;-0.1;;2.3
72;Total male and female;Age: 65 years or older;2018;3110.9;27.8;3109.1;24.5;-0.3;;2.6
73;Total male and female;Age: 65 years or older;2019;3184.6;29.9;3175.3;25.4;0.7;33.6;2.6
74;Total male and female;Age: 65 years or older;2020;3258.2;29.9;3248.7;26.2;1.2;35.1;2.6
75;Total male and female;Age: 65 years or older;2021;3325.1;31.0;3315.8;27.0;-0.3;37.0;2.3
76;Total male and female;Age: 65 years or older;2022;3390.8;32.8;3377.5;28.4;-3.0;37.8;1.7
77;Total male and female;Age: 65 years or older;2023;3460.5;35.7;3439.9;30.8;-0.6;38.5;1.8
78;Total male and female;Background: Dutch;2011;13022.5;28.0;10379.5;29.7;;70.7;3.8
79;Total male and female;Background: Dutch;2012;13030.5;28.1;10414.8;29.9;-1.0;70.7;4.3
80;Total male and female;Background: Dutch;2013;13034.0;28.4;10437.1;30.3;-1.0;70.4;4.7
81;Total male and female;Background: Dutch;2014;13007.8;30.1;10445.7;30.8;1.8;70.9;4.5
82;Total male and female;Background: Dutch;2015;13013.3;29.8;10491.4;31.3;1.2;71.7;4.4
83;Total male and female;Background: Dutch;2016;13000.3;31.2;10527.1;32.0;2.9;72.9;4.0
84;Total male and female;Background: Dutch;2017;13009.5;32.4;10598.6;33.1;0.6;74.0;3.9
85;Total male and female;Background: Dutch;2018;12996.5;32.8;10647.5;33.4;0.5;75.3;3.8
86;Total male and female;Background: Dutch;2019;12984.0;35.5;10690.9;34.4;1.5;76.3;3.6
87;Total male and female;Background: Dutch;2020;12970.6;35.9;10694.8;35.4;2.4;76.2;3.2
88;Total male and female;Background: Dutch;2021;;;;;;;
89;Total male and female;Background: Dutch;2022;;;;;;;
90;Total male and female;Background: Dutch;2023;;;;;;;
91;Total male and female;Background: western;2011;1453.6;26.9;1177.6;29.9;;63.7;7.7
92;Total male and female;Background: western;2012;1476.7;27.0;1196.6;30.1;-1.2;63.6;8.9
93;Total male and female;Background: western;2013;1497.0;27.0;1210.6;30.4;-1.3;62.9;9.8
94;Total male and female;Background: western;2014;1518.4;28.6;1227.8;31.1;1.9;63.3;9.3
95;Total male and female;Background: western;2015;1547.6;28.5;1251.8;31.6;1.3;64.2;8.7
96;Total male and female;Background: western;2016;1574.7;29.6;1274.3;32.2;2.7;65.5;8.0
97;Total male and female;Background: western;2017;1606.9;30.7;1304.5;33.2;0.7;66.9;7.6
98;Total male and female;Background: western;2018;1646.5;31.0;1340.9;33.6;0.6;68.8;7.4
99;Total male and female;Background: western;2019;1691.2;33.4;1381.1;34.8;1.5;70.2;6.9
100;Total male and female;Background: western;2020;1739.9;33.8;1418.6;35.7;2.3;69.6;6.3
101;Total male and female;Background: western;2021;;;;;;;
102;Total male and female;Background: western;2022;;;;;;;
103;Total male and female;Background: western;2023;;;;;;;
104;Total male and female;Background: non-western;2011;1833.6;19.7;1250.2;21.1;;50.2;19.6
105;Total male and female;Background: non-western;2012;1870.9;19.7;1280.1;21.3;-1.8;49.2;22.9
106;Total male and female;Background: non-western;2013;1898.5;19.9;1303.7;21.5;-1.1;48.0;24.9
107;Total male and female;Background: non-western;2014;1928.3;20.8;1332.3;21.9;2.2;47.7;24.0
108;Total male and female;Background: non-western;2015;1967.2;21.3;1372.4;22.2;2.0;48.5;22.7
109;Total male and female;Background: non-western;2016;2020.2;22.3;1423.9;22.7;3.7;49.6;21.7
110;Total male and female;Background: non-western;2017;2090.9;23.1;1493.6;23.4;1.6;51.1;21.3
111;Total male and female;Background: non-western;2018;2163.3;23.9;1563.5;24.3;1.5;53.5;21.0
112;Total male and female;Background: non-western;2019;2234.8;25.5;1630.4;25.5;2.3;55.6;19.3
113;Total male and female;Background: non-western;2020;2308.1;26.8;1692.4;26.7;3.4;54.9;17.4
114;Total male and female;Background: non-western;2021;;;;;;;
115;Total male and female;Background: non-western;2022;;;;;;;
116;Total male and female;Background: non-western;2023;;;;;;;
117;Total male and female;Pos. in hh.: main earner;2011;7347.6;25.6;7328.4;38.0;;78.6;6.9
118;Total male and female;Pos. in hh.: main earner;2012;7412.1;25.8;7391.9;38.2;-1.1;78.3;8.0
119;Total male and female;Pos. in hh.: main earner;2013;7467.8;25.9;7445.9;38.7;-1.4;77.6;8.9
120;Total male and female;Pos. in hh.: main earner;2014;7496.4;27.3;7474.4;39.4;1.7;77.8;8.5
121;Total male and female;Pos. in hh.: main earner;2015;7568.5;27.1;7545.2;39.8;1.0;78.3;8.2
122;Total male and female;Pos. in hh.: main earner;2016;7623.2;28.2;7593.9;40.6;2.0;78.7;7.9
123;Total male and female;Pos. in hh.: main earner;2017;7694.9;29.2;7663.8;42.1;0.4;79.1;7.9
124;Total male and female;Pos. in hh.: main earner;2018;7760.6;29.5;7722.9;42.2;0.1;80.1;7.9
125;Total male and female;Pos. in hh.: main earner;2019;7827.4;31.6;7788.6;43.5;1.1;80.7;7.5
126;Total male and female;Pos. in hh.: main earner;2020;7894.5;32.1;7852.5;44.5;2.0;80.1;6.8
127;Total male and female;Pos. in hh.: main earner;2021;7951.4;33.6;7912.6;46.2;0.6;81.1;6.3
128;Total male and female;Pos. in hh.: main earner;2022;8041.4;35.6;8041.4;48.2;-1.5;82.6;4.2
129;Total male and female;Pos. in hh.: main earner;2023;8156.9;38.3;8132.4;50.9;0.1;82.2;3.8
130;Total male and female;Pos. in hh.: main earner without partner;2011;3167.9;20.7;3152.7;27.6;;64.2;12.3
131;Total male and female;Pos. in hh.: main earner without partner;2012;3231.1;20.9;3214.9;27.9;-1.1;63.5;14.2
132;Total male and female;Pos. in hh.: main earner without partner;2013;3280.8;21.0;3263.2;28.1;-1.4;62.3;15.8
133;Total male and female;Pos. in hh.: main earner without partner;2014;3303.6;21.9;3285.6;28.6;1.6;62.4;15.3
134;Total male and female;Pos. in hh.: main earner without partner;2015;3373.8;22.0;3354.9;28.8;1.0;62.8;14.6
135;Total male and female;Pos. in hh.: main earner without partner;2016;3423.2;22.7;3398.6;29.4;1.7;63.5;14.2
136;Total male and female;Pos. in hh.: main earner without partner;2017;3480.5;23.4;3454.1;30.3;0.4;64.2;14.3
137;Total male and female;Pos. in hh.: main earner without partner;2018;3528.7;23.8;3496.2;30.8;0.0;65.8;13.9
138;Total male and female;Pos. in hh.: main earner without partner;2019;3578.6;25.3;3545.4;31.9;1.0;67.1;13.1
139;Total male and female;Pos. in hh.: main earner without partner;2020;3622.9;26.0;3586.7;32.8;1.8;66.4;11.7
140;Total male and female;Pos. in hh.: main earner without partner;2021;3655.8;27.2;3623.1;34.0;0.3;67.9;11.0
141;Total male and female;Pos. in hh.: main earner without partner;2022;3730.1;28.9;3730.1;35.8;-1.0;70.3;6.7
142;Total male and female;Pos. in hh.: main earner without partner;2023;3823.7;31.0;3804.6;38.0;0.2;70.1;5.8
143;Total male and female;Pos. in hh.: main earner with partner;2011;4179.7;29.3;4175.6;45.8;;87.7;3.1
144;Total male and female;Pos. in hh.: main earner with partner;2012;4181.0;29.5;4177.0;46.2;-1.1;87.8;3.6
145;Total male and female;Pos. in hh.: main earner with partner;2013;4187.0;29.8;4182.7;46.9;-1.3;87.7;3.9
146;Total male and female;Pos. in hh.: main earner with partner;2014;4192.9;31.6;4188.7;47.8;1.7;88.1;3.7
147;Total male and female;Pos. in hh.: main earner with partner;2015;4194.8;31.2;4190.3;48.6;1.0;88.9;3.6
148;Total male and female;Pos. in hh.: main earner with partner;2016;4200.0;32.7;4195.2;49.6;2.6;89.4;3.2
149;Total male and female;Pos. in hh.: main earner with partner;2017;4214.4;34.0;4209.7;51.7;0.4;89.8;3.1
150;Total male and female;Pos. in hh.: main earner with partner;2018;4231.9;34.2;4226.7;51.7;0.3;90.4;3.3
151;Total male and female;Pos. in hh.: main earner with partner;2019;4248.8;37.0;4243.3;53.2;1.4;90.7;3.1
152;Total male and female;Pos. in hh.: main earner with partner;2020;4271.6;37.4;4265.8;54.4;2.2;90.4;2.9
153;Total male and female;Pos. in hh.: main earner with partner;2021;4295.6;39.1;4289.5;56.5;1.0;91.0;2.6
154;Total male and female;Pos. in hh.: main earner with partner;2022;4311.3;41.4;4311.3;59.0;-2.0;91.9;2.2
155;Total male and female;Pos. in hh.: main earner with partner;2023;4333.2;44.7;4327.8;62.2;-0.1;91.7;2.2
156;Total male and female;Pos. in hh.: partner of main earner;2011;4179.6;29.3;3653.9;19.1;;51.5;3.1
157;Total male and female;Pos. in hh.: partner of main earner;2012;4181.0;29.5;3674.7;19.3;-1.1;51.8;3.6
158;Total male and female;Pos. in hh.: partner of main earner;2013;4187.0;29.8;3686.1;19.7;-1.3;51.8;3.9
159;Total male and female;Pos. in hh.: partner of main earner;2014;4192.9;31.6;3701.1;20.0;1.7;52.3;3.7
160;Total male and female;Pos. in hh.: partner of main earner;2015;4194.8;31.2;3713.0;20.5;1.0;53.3;3.6
161;Total male and female;Pos. in hh.: partner of main earner;2016;4200.0;32.7;3735.5;21.2;2.6;55.0;3.2
162;Total male and female;Pos. in hh.: partner of main earner;2017;4214.4;34.0;3774.4;21.9;0.4;56.7;3.1
163;Total male and female;Pos. in hh.: partner of main earner;2018;4231.9;34.2;3814.3;22.6;0.3;58.6;3.3
164;Total male and female;Pos. in hh.: partner of main earner;2019;4248.8;37.0;3848.3;23.6;1.4;60.2;3.1
165;Total male and female;Pos. in hh.: partner of main earner;2020;4271.6;37.4;3893.0;24.4;2.2;60.3;2.9
166;Total male and female;Pos. in hh.: partner of main earner;2021;4295.6;39.1;3932.8;25.6;1.0;62.8;2.6
167;Total male and female;Pos. in hh.: partner of main earner;2022;4311.3;41.4;3966.6;27.2;-2.0;65.5;2.2
168;Total male and female;Pos. in hh.: partner of main earner;2023;4333.2;44.7;3984.6;29.4;-0.1;66.2;2.2
169;Total male and female;Pos. in hh.: child underage;2011;3414.7;25.8;549.5;2.1;;36.6;8.0
170;Total male and female;Pos. in hh.: child underage;2012;3397.1;25.9;531.7;2.2;-0.7;29.7;9.1
171;Total male and female;Pos. in hh.: child underage;2013;3372.9;26.2;515.9;2.1;0.1;27.6;9.9
172;Total male and female;Pos. in hh.: child underage;2014;3354.5;27.8;519.2;2.1;2.9;27.2;9.7
173;Total male and female;Pos. in hh.: child underage;2015;3337.1;27.7;534.2;2.1;2.8;27.3;9.2
174;Total male and female;Pos. in hh.: child underage;2016;3322.6;29.2;560.2;2.2;5.1;32.0;8.5
175;Total male and female;Pos. in hh.: child underage;2017;3304.9;30.3;584.9;2.3;1.9;34.9;8.1
176;Total male and female;Pos. in hh.: child underage;2018;3289.1;31.0;612.6;2.4;2.1;39.3;7.9
177;Total male and female;Pos. in hh.: child underage;2019;3265.1;33.4;621.4;2.6;2.8;42.2;7.4
178;Total male and female;Pos. in hh.: child underage;2020;3245.5;34.0;586.8;2.8;4.5;46.1;6.8
179;Total male and female;Pos. in hh.: child underage;2021;3220.9;35.6;613.3;2.8;3.0;51.8;6.1
180;Total male and female;Pos. in hh.: child underage;2022;3211.6;37.8;650.8;3.1;0.4;62.5;4.8
181;Total male and female;Pos. in hh.: child underage;2023;3216.2;40.5;662.5;3.4;1.6;65.5;4.1
182;Total male and female;Pos. in hh.: child of age;2011;1132.5;30.4;1096.4;15.8;;66.6;3.1
183;Total male and female;Pos. in hh.: child of age;2012;1157.5;30.3;1119.7;15.5;0.0;64.6;3.8
184;Total male and female;Pos. in hh.: child of age;2013;1175.6;30.5;1134.2;15.1;0.8;62.1;4.2
185;Total male and female;Pos. in hh.: child of age;2014;1185.3;32.1;1142.1;15.1;3.8;61.6;4.0
186;Total male and female;Pos. in hh.: child of age;2015;1194.2;32.0;1149.0;15.4;3.9;62.8;3.9
187;Total male and female;Pos. in hh.: child of age;2016;1215.2;33.6;1161.7;15.9;6.1;65.5;3.6
188;Total male and female;Pos. in hh.: child of age;2017;1245.3;35.2;1188.5;16.4;3.8;68.1;3.3
189;Total male and female;Pos. in hh.: child of age;2018;1275.9;35.7;1215.1;17.2;3.9;70.5;3.2
190;Total male and female;Pos. in hh.: child of age;2019;1319.1;38.8;1255.7;18.0;4.7;72.0;2.9
191;Total male and female;Pos. in hh.: child of age;2020;1355.2;39.6;1283.4;18.6;5.4;71.2;2.8
192;Total male and female;Pos. in hh.: child of age;2021;1373.9;41.5;1306.7;19.6;4.7;74.1;2.4
193;Total male and female;Pos. in hh.: child of age;2022;1385.7;44.2;1323.1;21.1;1.6;77.5;2.1
194;Total male and female;Pos. in hh.: child of age;2023;1422.1;48.1;1370.4;22.8;3.3;77.4;1.8
195;Total male and female;Pos. in hh.: other member;2011;235.4;27.0;179.2;16.6;;44.7;6.0
196;Total male and female;Pos. in hh.: other member;2012;230.2;26.7;173.6;16.4;-1.6;43.5;6.8
197;Total male and female;Pos. in hh.: other member;2013;226.2;27.0;169.3;16.7;-1.1;43.1;7.1
198;Total male and female;Pos. in hh.: other member;2014;225.5;28.2;169.0;16.8;1.9;42.7;6.8
199;Total male and female;Pos. in hh.: other member;2015;233.5;28.5;174.0;17.1;1.5;44.6;6.3
200;Total male and female;Pos. in hh.: other member;2016;234.2;30.1;174.2;17.8;3.5;47.3;5.9
201;Total male and female;Pos. in hh.: other member;2017;247.7;31.8;185.1;18.7;1.3;50.3;5.3
202;Total male and female;Pos. in hh.: other member;2018;248.9;32.6;186.9;19.6;1.5;52.9;5.0
203;Total male and female;Pos. in hh.: other member;2019;249.6;35.1;188.3;20.4;2.4;54.4;4.5
204;Total male and female;Pos. in hh.: other member;2020;251.8;35.8;190.1;20.9;3.2;52.6;4.1
205;Total male and female;Pos. in hh.: other member;2021;257.0;37.9;195.4;21.8;2.4;55.3;3.7
206;Total male and female;Pos. in hh.: other member;2022;253.7;40.0;197.4;22.7;-0.6;58.3;3.4
207;Total male and female;Pos. in hh.: other member;2023;261.5;43.3;198.8;24.8;1.3;57.8;3.4
208;Total male and female;SEC: employee;2011;6306.9;29.6;6306.9;37.2;;88.1;2.0
209;Total male and female;SEC: employee;2012;6259.3;29.8;6259.3;37.9;-0.7;88.0;2.2
210;Total male and female;SEC: employee;2013;6162.0;30.5;6162.0;38.9;0.3;88.2;2.3
211;Total male and female;SEC: employee;2014;6111.7;31.8;6111.7;39.5;2.9;88.5;2.1
212;Total male and female;SEC: employee;2015;6153.5;32.2;6153.5;40.3;2.5;88.9;1.9
213;Total male and female;SEC: employee;2016;6217.8;33.5;6217.8;40.8;4.8;89.7;1.6
214;Total male and female;SEC: employee;2017;6329.4;34.3;6329.4;41.3;1.3;90.2;1.5
215;Total male and female;SEC: employee;2018;6489.9;34.7;6489.9;42.0;1.6;90.6;1.5
216;Total male and female;SEC: employee;2019;6625.1;36.8;6625.1;43.1;2.5;91.1;1.4
217;Total male and female;SEC: employee;2020;6659.5;38.1;6659.5;44.5;4.1;91.5;1.2
218;Total male and female;SEC: employee;2021;6739.9;40.0;6739.9;46.0;2.6;92.5;1.1
219;Total male and female;SEC: employee;2022;6888.5;42.2;6888.5;48.3;-0.6;93.4;0.9
220;Total male and female;SEC: employee;2023;7008.6;45.4;7008.6;50.9;0.7;93.7;0.9
221;Total male and female;SEC: self-employed (total);2011;1093.1;34.9;1093.1;38.8;;74.2;8.8
222;Total male and female;SEC: self-employed (total);2012;1106.2;34.7;1106.2;38.1;-2.2;73.2;9.7
223;Total male and female;SEC: self-employed (total);2013;1120.2;33.9;1120.2;37.9;-2.7;72.8;9.9
224;Total male and female;SEC: self-employed (total);2014;1149.7;38.5;1149.7;39.1;3.4;73.7;8.7
225;Total male and female;SEC: self-employed (total);2015;1180.0;35.7;1180.0;39.8;1.7;74.6;8.3
226;Total male and female;SEC: self-employed (total);2016;1208.4;38.3;1208.4;41.5;4.7;76.2;7.1
227;Total male and female;SEC: self-employed (total);2017;1223.5;40.2;1223.5;43.6;2.4;77.5;6.6
228;Total male and female;SEC: self-employed (total);2018;1261.8;41.6;1261.8;44.9;1.9;79.0;6.1
229;Total male and female;SEC: self-employed (total);2019;1294.4;47.5;1294.4;46.5;2.2;79.9;5.7
230;Total male and female;SEC: self-employed (total);2020;1291.9;46.0;1291.9;47.4;2.8;76.5;5.0
231;Total male and female;SEC: self-employed (total);2021;1330.8;47.8;1330.8;50.3;2.2;79.2;4.9
232;Total male and female;SEC: self-employed (total);2022;1395.9;50.5;1395.9;52.4;-1.3;83.2;4.6
233;Total male and female;SEC: self-employed (total);2023;1433.1;53.5;1433.1;54.2;-1.6;82.1;5.2
234;Total male and female;SEC: benefit recipient and pensioner;2011;4108.4;23.2;4108.4;21.1;;3.5;8.9
235;Total male and female;SEC: benefit recipient and pensioner;2012;4219.8;23.6;4219.8;21.2;-1.2;3.3;10.3
236;Total male and female;SEC: benefit recipient and pensioner;2013;4353.1;23.5;4353.1;21.5;-2.6;3.3;11.7
237;Total male and female;SEC: benefit recipient and pensioner;2014;4407.7;24.7;4407.7;22.1;0.9;3.3;11.3
238;Total male and female;SEC: benefit recipient and pensioner;2015;4431.2;24.3;4431.2;21.9;0.2;3.4;11.2
239;Total male and female;SEC: benefit recipient and pensioner;2016;4448.6;25.0;4448.6;22.5;1.0;3.8;11.2
240;Total male and female;SEC: benefit recipient and pensioner;2017;4478.3;26.2;4478.3;24.2;0.0;4.5;11.5
241;Total male and female;SEC: benefit recipient and pensioner;2018;4424.6;25.7;4424.6;23.2;-0.3;3.9;11.8
242;Total male and female;SEC: benefit recipient and pensioner;2019;4401.0;27.4;4401.0;23.9;0.7;4.0;11.2
243;Total male and female;SEC: benefit recipient and pensioner;2020;4521.9;27.6;4521.9;24.4;1.3;3.8;10.3
244;Total male and female;SEC: benefit recipient and pensioner;2021;4528.9;28.7;4528.9;25.2;-0.2;4.1;9.6
245;Total male and female;SEC: benefit recipient and pensioner;2022;4480.0;30.2;4480.0;26.0;-2.7;3.6;6.2
246;Total male and female;SEC: benefit recipient and pensioner;2023;4489.4;32.8;4489.4;28.2;-0.2;3.8;5.1
247;Total male and female;SEC: benefit claimant;2011;1148.7;19.0;1148.7;18.4;;1.8;26.5
248;Total male and female;SEC: benefit claimant;2012;1194.5;19.0;1194.5;18.5;-1.5;1.8;29.8
249;Total male and female;SEC: benefit claimant;2013;1289.3;19.2;1289.3;18.9;-1.7;2.0;32.2
250;Total male and female;SEC: benefit claimant;2014;1323.0;19.8;1323.0;18.9;1.5;1.9;31.5
251;Total male and female;SEC: benefit claimant;2015;1309.3;19.9;1309.3;18.5;0.7;1.8;32.5
252;Total male and female;SEC: benefit claimant;2016;1296.5;20.3;1296.5;18.5;1.3;1.8;33.2
253;Total male and female;SEC: benefit claimant;2017;1283.5;20.7;1283.5;18.8;0.4;1.8;34.4
254;Total male and female;SEC: benefit claimant;2018;1234.3;20.9;1234.3;19.1;-0.1;1.8;35.4
255;Total male and female;SEC: benefit claimant;2019;1199.9;21.9;1199.9;19.6;0.7;1.8;34.3
256;Total male and female;SEC: benefit claimant;2020;1268.2;22.5;1268.2;19.7;1.7;1.7;30.3
257;Total male and female;SEC: benefit claimant;2021;1222.3;23.2;1222.3;20.1;0.1;1.8;29.9
258;Total male and female;SEC: benefit claimant;2022;1179.8;24.6;1179.8;20.8;2.4;1.7;19.5
259;Total male and female;SEC: benefit claimant;2023;1177.2;26.6;1177.2;23.2;1.4;1.9;15.0
260;Total male and female;SEC: claiming unemployment benefit;2011;161.9;22.4;161.9;23.7;;6.7;10.2
261;Total male and female;SEC: claiming unemployment benefit;2012;190.8;22.5;190.8;23.6;-2.3;6.4;11.0
262;Total male and female;SEC: claiming unemployment benefit;2013;246.3;22.9;246.3;23.7;-2.3;6.3;11.2
263;Total male and female;SEC: claiming unemployment benefit;2014;263.3;23.8;263.3;23.5;-0.1;5.8;10.4
264;Total male and female;SEC: claiming unemployment benefit;2015;237.1;24.5;237.1;23.4;0.2;5.6;9.4
265;Total male and female;SEC: claiming unemployment benefit;2016;206.6;25.6;206.6;23.6;1.4;6.2;8.6
266;Total male and female;SEC: claiming unemployment benefit;2017;171.4;26.6;171.4;24.3;0.1;6.7;8.1
267;Total male and female;SEC: claiming unemployment benefit;2018;134.3;27.4;134.3;25.4;0.2;7.6;8.1
