ID;Bedrijfsgrootte;BedrijfstakkenBranchesSBI2008;Perioden;Onderzoekspopulatie_1;Innovatoren_2;BedrijvenMetProductinnovaties_3;Goederen_4;DoorHetEigenBedrijf_5;InEenSamenwerkingsverband_6;DoorAanpassing_7;UitsluitendDoorDerden_8;Diensten_9;DoorHetEigenBedrijf_10;InEenSamenwerkingsverband_11;DoorAanpassing_12;UitsluitendDoorDerden_13;NieuwVoorDeMarkt_14;AlleenNieuwVoorHetBedrijf_15;BedrijvenMetProcesinnovaties_16;ProductieVanGoederenEnDiensten_17;Logistiek_18;InformatieverwerkingOfCommunicatie_19;Administratie_20;ProceduresOfExterneRelaties_21;BesluitvormingOfPersoneelsbeheer_22;MarketingOfService_23;DoorHetEigenBedrijf_24;InEenSamenwerkingsverband_25;DoorAanpassing_26;UitsluitendDoorDerden_27;NieuwVoorDeMarkt_28;AlleenNieuweVoorHetBedrijf_29;Onbekend_30;AfgebrokenInnovaties_31;OnafgerondeInnovaties_32
10;10 of meer werkzame personen;B Delfstoffenwinning;2018 - 2020;70.0;35.0;20.0;15.0;76.0;24.0;21.0;7.0;10.0;64.0;38.0;36.0;12.0;10.0;10.0;25.0;15.0;5.0;10.0;10.0;5.0;10.0;10.0;58.0;58.0;13.0;6.0;0.0;15.0;10.0;5.0;15.0
11;10 of meer werkzame personen;B Delfstoffenwinning;2020 - 2022;70.0;35.0;15.0;10.0;73.0;50.0;11.0;11.0;10.0;70.0;76.0;12.0;12.0;15.0;5.0;20.0;10.0;5.0;5.0;5.0;10.0;5.0;5.0;50.0;65.0;0.0;5.0;5.0;10.0;5.0;5.0;15.0
12;10 of meer werkzame personen;C Industrie;2016 - 2018;8400.0;4610.0;2730.0;2545.0;84.0;44.0;17.0;7.0;925.0;53.0;44.0;28.0;25.0;1755.0;1855.0;3645.0;2270.0;895.0;1380.0;1680.0;1060.0;1270.0;1145.0;65.0;48.0;16.0;16.0;625.0;2125.0;895.0;1080.0;2515.0
13;10 of meer werkzame personen;C Industrie;2018 - 2020;8445.0;5045.0;2585.0;2460.0;80.0;49.0;16.0;6.0;770.0;69.0;43.0;19.0;14.0;1745.0;1710.0;3810.0;2375.0;1015.0;1625.0;1775.0;1080.0;1440.0;1265.0;63.0;47.0;15.0;13.0;620.0;2565.0;625.0;1005.0;2385.0
14;10 of meer werkzame personen;C Industrie;2020 - 2022;8535.0;5245.0;2900.0;2645.0;85.0;43.0;14.0;5.0;1020.0;72.0;38.0;19.0;16.0;1735.0;1935.0;3900.0;2470.0;1000.0;1520.0;1610.0;950.0;1335.0;1175.0;64.0;47.0;14.0;13.0;580.0;2590.0;730.0;850.0;2615.0
15;10 of meer werkzame personen;10-12 Voedings-, genotmiddelenindustrie;2016 - 2018;1320.0;590.0;405.0;385.0;80.0;45.0;8.0;7.0;115.0;25.0;48.0;15.0;25.0;195.0;315.0;450.0;270.0;95.0;150.0;205.0;95.0;130.0;170.0;61.0;61.0;19.0;17.0;75.0;300.0;75.0;155.0;275.0
16;10 of meer werkzame personen;10-12 Voedings-, genotmiddelenindustrie;2018 - 2020;1320.0;675.0;300.0;285.0;86.0;45.0;21.0;4.0;60.0;65.0;57.0;34.0;41.0;185.0;235.0;495.0;310.0;120.0;170.0;250.0;95.0;145.0;160.0;59.0;49.0;17.0;18.0;55.0;335.0;105.0;140.0;245.0
17;10 of meer werkzame personen;10-12 Voedings-, genotmiddelenindustrie;2020 - 2022;1330.0;725.0;345.0;300.0;85.0;50.0;6.0;3.0;100.0;89.0;77.0;26.0;26.0;150.0;210.0;560.0;370.0;190.0;175.0;235.0;100.0;165.0;215.0;61.0;58.0;14.0;14.0;40.0;405.0;115.0;95.0;265.0
18;10 of meer werkzame personen;10 Voedingsmiddelenindustrie;2016 - 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;10 of meer werkzame personen;10 Voedingsmiddelenindustrie;2018 - 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;10 of meer werkzame personen;10 Voedingsmiddelenindustrie;2020 - 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;10 of meer werkzame personen;11 Drankenindustrie;2016 - 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;10 of meer werkzame personen;11 Drankenindustrie;2018 - 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;10 of meer werkzame personen;11 Drankenindustrie;2020 - 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;10 of meer werkzame personen;12 Tabaksindustrie;2016 - 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;10 of meer werkzame personen;12 Tabaksindustrie;2018 - 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;10 of meer werkzame personen;12 Tabaksindustrie;2020 - 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;10 of meer werkzame personen;13-15 Textiel-, kleding-, lederindustrie;2016 - 2018;230.0;150.0;90.0;90.0;86.0;54.0;16.0;11.0;20.0;55.0;47.0;5.0;0.0;80.0;45.0;110.0;80.0;50.0;50.0;55.0;40.0;45.0;35.0;57.0;42.0;16.0;35.0;20.0;60.0;30.0;30.0;65.0
28;10 of meer werkzame personen;13-15 Textiel-, kleding-, lederindustrie;2018 - 2020;230.0;150.0;90.0;90.0;74.0;61.0;10.0;0.0;20.0;59.0;86.0;0.0;0.0;75.0;25.0;110.0;90.0;30.0;60.0;55.0;50.0;40.0;35.0;59.0;44.0;10.0;13.0;20.0;65.0;30.0;40.0;80.0
29;10 of meer werkzame personen;13-15 Textiel-, kleding-, lederindustrie;2020 - 2022;220.0;155.0;90.0;90.0;83.0;38.0;11.0;0.0;10.0;82.0;35.0;9.0;0.0;65.0;55.0;110.0;85.0;25.0;30.0;45.0;25.0;20.0;35.0;79.0;32.0;11.0;8.0;20.0;70.0;20.0;35.0;80.0
30;10 of meer werkzame personen;13 Textielindustrie;2016 - 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;10 of meer werkzame personen;13 Textielindustrie;2018 - 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;10 of meer werkzame personen;13 Textielindustrie;2020 - 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;10 of meer werkzame personen;14 Kledingindustrie;2016 - 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;10 of meer werkzame personen;14 Kledingindustrie;2018 - 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;10 of meer werkzame personen;14 Kledingindustrie;2020 - 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;10 of meer werkzame personen;15 Leer- en schoenenindustrie;2016 - 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;10 of meer werkzame personen;15 Leer- en schoenenindustrie;2018 - 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;10 of meer werkzame personen;15 Leer- en schoenenindustrie;2020 - 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;10 of meer werkzame personen;16+23 Hout- en bouwmaterialenindustrie;2016 - 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;10 of meer werkzame personen;16+23 Hout- en bouwmaterialenindustrie;2018 - 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;10 of meer werkzame personen;16+23 Hout- en bouwmaterialenindustrie;2020 - 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;10 of meer werkzame personen;16 Houtindustrie;2016 - 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;10 of meer werkzame personen;16 Houtindustrie;2018 - 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;10 of meer werkzame personen;16 Houtindustrie;2020 - 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;10 of meer werkzame personen;17-18 Papier- en grafische industrie;2016 - 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;10 of meer werkzame personen;17-18 Papier- en grafische industrie;2018 - 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;10 of meer werkzame personen;17-18 Papier- en grafische industrie;2020 - 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;10 of meer werkzame personen;17 Papierindustrie;2016 - 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;10 of meer werkzame personen;17 Papierindustrie;2018 - 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;10 of meer werkzame personen;17 Papierindustrie;2020 - 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;10 of meer werkzame personen;18 Grafische industrie;2016 - 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;10 of meer werkzame personen;18 Grafische industrie;2018 - 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;10 of meer werkzame personen;18 Grafische industrie;2020 - 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;10 of meer werkzame personen;19-22 Raffinaderijen en chemie;2016 - 2018;855.0;630.0;440.0;430.0;85.0;40.0;14.0;4.0;75.0;58.0;41.0;25.0;14.0;275.0;335.0;515.0;380.0;105.0;175.0;220.0;170.0;185.0;185.0;66.0;48.0;17.0;18.0;105.0;255.0;155.0;215.0;465.0
55;10 of meer werkzame personen;19-22 Raffinaderijen en chemie;2018 - 2020;860.0;660.0;420.0;400.0;78.0;43.0;24.0;12.0;110.0;45.0;63.0;37.0;37.0;265.0;295.0;475.0;360.0;140.0;190.0;175.0;115.0;170.0;150.0;62.0;53.0;22.0;11.0;80.0;310.0;85.0;135.0;360.0
56;10 of meer werkzame personen;19-22 Raffinaderijen en chemie;2020 - 2022;875.0;670.0;395.0;385.0;90.0;38.0;13.0;6.0;115.0;64.0;36.0;24.0;24.0;255.0;260.0;465.0;320.0;125.0;205.0;195.0;155.0;200.0;140.0;68.0;56.0;19.0;12.0;95.0;240.0;135.0;180.0;405.0
57;10 of meer werkzame personen;19 Aardolie-industrie;2016 - 2018;15.0;10.0;5.0;5.0;83.0;33.0;33.0;33.0;5.0;33.0;33.0;33.0;67.0;0.0;5.0;5.0;5.0;5.0;0.0;0.0;5.0;5.0;0.0;71.0;71.0;43.0;29.0;0.0;5.0;0.0;0.0;5.0
58;10 of meer werkzame personen;19 Aardolie-industrie;2018 - 2020;20.0;10.0;5.0;5.0;100.0;50.0;67.0;17.0;0.0;;;;;5.0;5.0;10.0;5.0;5.0;0.0;0.0;5.0;5.0;0.0;78.0;67.0;11.0;22.0;0.0;5.0;5.0;0.0;5.0
59;10 of meer werkzame personen;19 Aardolie-industrie;2020 - 2022;20.0;15.0;5.0;5.0;77.0;77.0;38.0;15.0;5.0;100.0;100.0;40.0;40.0;5.0;5.0;10.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;73.0;82.0;23.0;9.0;0.0;5.0;5.0;5.0;10.0
60;10 of meer werkzame personen;20-21 Chemie en farmaceutische industrie;2016 - 2018;415.0;295.0;225.0;220.0;88.0;43.0;17.0;4.0;55.0;62.0;36.0;23.0;11.0;165.0;160.0;225.0;170.0;40.0;80.0;65.0;75.0;55.0;65.0;76.0;54.0;14.0;5.0;50.0;110.0;65.0;110.0;235.0
61;10 of meer werkzame personen;20-21 Chemie en farmaceutische industrie;2018 - 2020;410.0;325.0;230.0;230.0;90.0;45.0;23.0;6.0;65.0;63.0;49.0;32.0;33.0;165.0;175.0;235.0;180.0;80.0;90.0;85.0;85.0;95.0;75.0;79.0;49.0;21.0;9.0;65.0;115.0;55.0;105.0;215.0
62;10 of meer werkzame personen;20-21 Chemie en farmaceutische industrie;2020 - 2022;410.0;320.0;200.0;195.0;94.0;32.0;19.0;3.0;75.0;75.0;39.0;26.0;15.0;145.0;145.0;200.0;155.0;65.0;100.0;80.0;80.0;95.0;85.0;80.0;57.0;17.0;8.0;45.0;90.0;60.0;105.0;190.0
63;10 of meer werkzame personen;20 Chemische industrie;2016 - 2018;350.0;245.0;190.0;185.0;90.0;41.0;16.0;3.0;50.0;55.0;34.0;25.0;10.0;145.0;135.0;185.0;145.0;30.0;60.0;45.0;60.0;40.0;55.0;77.0;52.0;14.0;4.0;35.0;95.0;55.0;90.0;195.0
64;10 of meer werkzame personen;20 Chemische industrie;2018 - 2020;335.0;270.0;200.0;200.0;91.0;45.0;23.0;6.0;50.0;64.0;50.0;33.0;32.0;145.0;150.0;200.0;145.0;70.0;80.0;65.0;75.0;85.0;65.0;79.0;48.0;25.0;10.0;55.0;100.0;40.0;85.0;180.0
65;10 of meer werkzame personen;20 Chemische industrie;2020 - 2022;330.0;255.0;155.0;150.0;95.0;29.0;19.0;3.0;60.0;79.0;35.0;23.0;13.0;115.0;110.0;155.0;130.0;55.0;80.0;65.0;60.0;75.0;65.0;79.0;56.0;20.0;9.0;40.0;65.0;55.0;80.0;155.0
66;10 of meer werkzame personen;21 Farmaceutische industrie;2016 - 2018;65.0;50.0;35.0;35.0;77.0;51.0;20.0;10.0;10.0;100.0;46.0;12.0;12.0;20.0;30.0;40.0;25.0;15.0;20.0;15.0;15.0;15.0;15.0;73.0;60.0;15.0;11.0;10.0;15.0;15.0;20.0;35.0
67;10 of meer werkzame personen;21 Farmaceutische industrie;2018 - 2020;70.0;55.0;35.0;30.0;83.0;47.0;24.0;7.0;10.0;60.0;44.0;26.0;38.0;25.0;25.0;35.0;30.0;10.0;10.0;15.0;10.0;10.0;10.0;82.0;54.0;3.0;6.0;5.0;15.0;15.0;20.0;30.0
68;10 of meer werkzame personen;21 Farmaceutische industrie;2020 - 2022;75.0;70.0;45.0;40.0;89.0;42.0;21.0;3.0;15.0;59.0;55.0;39.0;20.0;25.0;30.0;45.0;30.0;10.0;20.0;20.0;20.0;20.0;20.0;85.0;63.0;5.0;6.0;10.0;25.0;5.0;25.0;35.0
69;10 of meer werkzame personen;22 Rubber- en kunststofproductindustrie;2016 - 2018;420.0;320.0;205.0;205.0;83.0;38.0;11.0;4.0;15.0;43.0;65.0;31.0;17.0;105.0;165.0;285.0;205.0;65.0;95.0;155.0;90.0;125.0;115.0;57.0;42.0;18.0;27.0;60.0;140.0;85.0;105.0;225.0
70;10 of meer werkzame personen;22 Rubber- en kunststofproductindustrie;2018 - 2020;430.0;320.0;185.0;165.0;61.0;39.0;24.0;21.0;45.0;18.0;84.0;44.0;41.0;95.0;115.0;230.0;180.0;55.0;100.0;90.0;30.0;70.0;75.0;43.0;56.0;23.0;13.0;20.0;190.0;25.0;30.0;140.0
71;10 of meer werkzame personen;22 Rubber- en kunststofproductindustrie;2020 - 2022;445.0;330.0;190.0;185.0;87.0;42.0;7.0;9.0;35.0;39.0;27.0;18.0;43.0;105.0;110.0;255.0;160.0;55.0;95.0;110.0;70.0;95.0;55.0;58.0;54.0;21.0;15.0;45.0;140.0;70.0;75.0;205.0
72;10 of meer werkzame personen;23 Bouwmaterialenindustrie;2016 - 2018;250.0;155.0;70.0;60.0;90.0;35.0;5.0;3.0;30.0;3.0;62.0;61.0;3.0;45.0;25.0;110.0;95.0;40.0;40.0;60.0;40.0;40.0;30.0;59.0;42.0;5.0;36.0;25.0;65.0;20.0;15.0;100.0
73;10 of meer werkzame personen;23 Bouwmaterialenindustrie;2018 - 2020;255.0;150.0;90.0;90.0;73.0;24.0;3.0;19.0;20.0;68.0;27.0;0.0;16.0;65.0;55.0;115.0;65.0;30.0;35.0;60.0;15.0;30.0;40.0;59.0;36.0;12.0;12.0;25.0;65.0;25.0;20.0;60.0
74;10 of meer werkzame personen;23 Bouwmaterialenindustrie;2020 - 2022;265.0;155.0;85.0;85.0;85.0;32.0;9.0;7.0;15.0;72.0;28.0;13.0;14.0;50.0;55.0;115.0;85.0;30.0;40.0;40.0;30.0;35.0;35.0;67.0;53.0;9.0;4.0;30.0;65.0;20.0;35.0;90.0
75;10 of meer werkzame personen;24-30, 33 Metalektro;2016 - 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;10 of meer werkzame personen;24-30, 33 Metalektro;2018 - 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;10 of meer werkzame personen;24-30, 33 Metalektro;2020 - 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;10 of meer werkzame personen;24-25 Basismetaal, metaalprod.-industrie;2016 - 2018;1825.0;860.0;425.0;370.0;80.0;41.0;26.0;14.0;165.0;41.0;44.0;32.0;33.0;250.0;225.0;730.0;415.0;205.0;290.0;330.0;205.0;245.0;165.0;61.0;40.0;14.0;16.0;125.0;450.0;155.0;190.0;405.0
79;10 of meer werkzame personen;24-25 Basismetaal, metaalprod.-industrie;2018 - 2020;1810.0;1010.0;325.0;300.0;72.0;56.0;24.0;8.0;110.0;57.0;53.0;13.0;3.0;170.0;225.0;850.0;475.0;215.0;305.0;395.0;235.0;335.0;270.0;62.0;35.0;16.0;15.0;115.0;640.0;95.0;170.0;355.0
80;10 of meer werkzame personen;24-25 Basismetaal, metaalprod.-industrie;2020 - 2022;1845.0;1085.0;495.0;395.0;79.0;39.0;20.0;11.0;195.0;60.0;48.0;25.0;12.0;210.0;285.0;865.0;535.0;190.0;310.0;400.0;185.0;310.0;230.0;57.0;46.0;11.0;20.0;105.0;610.0;150.0;140.0;465.0
81;10 of meer werkzame personen;24 Basismetaalindustrie;2016 - 2018;130.0;90.0;55.0;50.0;86.0;52.0;16.0;12.0;25.0;75.0;61.0;55.0;50.0;35.0;35.0;75.0;65.0;15.0;15.0;25.0;30.0;25.0;25.0;80.0;42.0;15.0;7.0;10.0;45.0;20.0;40.0;50.0
82;10 of meer werkzame personen;24 Basismetaalindustrie;2018 - 2020;120.0;80.0;40.0;40.0;78.0;53.0;5.0;3.0;10.0;70.0;54.0;21.0;11.0;20.0;30.0;60.0;45.0;20.0;20.0;30.0;30.0;25.0;15.0;66.0;46.0;5.0;10.0;10.0;40.0;15.0;20.0;50.0
83;10 of meer werkzame personen;24 Basismetaalindustrie;2020 - 2022;110.0;70.0;35.0;35.0;87.0;60.0;3.0;0.0;10.0;78.0;50.0;10.0;0.0;20.0;25.0;45.0;35.0;10.0;20.0;25.0;15.0;20.0;15.0;68.0;69.0;19.0;0.0;5.0;25.0;15.0;10.0;40.0
84;10 of meer werkzame personen;25 Metaalproductenindustrie;2016 - 2018;1695.0;770.0;370.0;320.0;79.0;40.0;27.0;14.0;140.0;36.0;41.0;28.0;30.0;215.0;185.0;650.0;350.0;190.0;275.0;305.0;175.0;225.0;140.0;59.0;40.0;14.0;17.0;115.0;400.0;135.0;155.0;355.0
85;10 of meer werkzame personen;25 Metaalproductenindustrie;2018 - 2020;1695.0;930.0;285.0;260.0;71.0;57.0;26.0;8.0;95.0;56.0;52.0;12.0;2.0;150.0;195.0;785.0;430.0;195.0;285.0;365.0;210.0;305.0;255.0;62.0;34.0;17.0;15.0;105.0;600.0;80.0;150.0;305.0
86;10 of meer werkzame personen;25 Metaalproductenindustrie;2020 - 2022;1735.0;1015.0;455.0;365.0;78.0;37.0;22.0;12.0;185.0;59.0;48.0;26.0;12.0;190.0;260.0;815.0;500.0;180.0;290.0;375.0;170.0;290.0;215.0;56.0;45.0;11.0;21.0;100.0;580.0;135.0;130.0;425.0
87;10 of meer werkzame personen;26-28 Elektrotechn. en machine-industrie;2016 - 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;10 of meer werkzame personen;26-28 Elektrotechn. en machine-industrie;2018 - 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;10 of meer werkzame personen;26-28 Elektrotechn. en machine-industrie;2020 - 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;10 of meer werkzame personen;26-27 Elektrische en elektron. Industrie;2016 - 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;10 of meer werkzame personen;26-27 Elektrische en elektron. Industrie;2018 - 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;10 of meer werkzame personen;26-27 Elektrische en elektron. Industrie;2020 - 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;10 of meer werkzame personen;26 Elektrotechnische industrie;2016 - 2018;280.0;220.0;170.0;160.0;91.0;51.0;19.0;6.0;90.0;82.0;55.0;21.0;9.0;115.0;115.0;175.0;125.0;45.0;90.0;80.0;60.0;70.0;70.0;77.0;55.0;15.0;13.0;30.0;100.0;45.0;70.0;180.0
94;10 of meer werkzame personen;26 Elektrotechnische industrie;2018 - 2020;275.0;240.0;190.0;185.0;93.0;45.0;7.0;0.0;95.0;79.0;42.0;21.0;4.0;135.0;130.0;180.0;135.0;65.0;100.0;80.0;95.0;100.0;80.0;74.0;54.0;15.0;3.0;50.0;100.0;30.0;65.0;180.0
95;10 of meer werkzame personen;26 Elektrotechnische industrie;2020 - 2022;260.0;205.0;155.0;150.0;90.0;46.0;10.0;5.0;60.0;77.0;32.0;15.0;7.0;105.0;95.0;150.0;100.0;35.0;80.0;60.0;65.0;65.0;55.0;82.0;46.0;12.0;7.0;30.0;75.0;45.0;45.0;140.0
96;10 of meer werkzame personen;27 Elektrische apparatenindustrie;2016 - 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;10 of meer werkzame personen;27 Elektrische apparatenindustrie;2018 - 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;10 of meer werkzame personen;27 Elektrische apparatenindustrie;2020 - 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;10 of meer werkzame personen;28 Machine-industrie;2016 - 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;10 of meer werkzame personen;28 Machine-industrie;2018 - 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;10 of meer werkzame personen;28 Machine-industrie;2020 - 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;10 of meer werkzame personen;29-30 Transportmiddelenindustrie;2016 - 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;10 of meer werkzame personen;29-30 Transportmiddelenindustrie;2018 - 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;10 of meer werkzame personen;29-30 Transportmiddelenindustrie;2020 - 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;10 of meer werkzame personen;29 Auto- en aanhangwagenindustrie;2016 - 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;10 of meer werkzame personen;29 Auto- en aanhangwagenindustrie;2018 - 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;10 of meer werkzame personen;29 Auto- en aanhangwagenindustrie;2020 - 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;10 of meer werkzame personen;30 Overige transportmiddelenindustrie;2016 - 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;10 of meer werkzame personen;30 Overige transportmiddelenindustrie;2018 - 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
