ID;Geslacht;Sector;Vooropleiding;Perioden;TotaalAantalStudenten_1;Na4Jaar_2;Na5Jaar_3;Na6Jaar_4;Na7Jaar_5;Na8Jaar_6;Na9JaarOfMeer_7;Na4Jaar_8;Na5Jaar_9;Na6Jaar_10;Na7Jaar_11;Na8Jaar_12;Na9JaarOfMeer_13;Na4Jaar_14;Na5Jaar_15;Na6Jaar_16;Na7Jaar_17;Na8Jaar_18;Na9JaarOfMeer_19;Na1Jaar_20;Na2Jaar_21;Na3Jaar_22;Na4Jaar_23;Na5Jaar_24;Na6Jaar_25;Na7Jaar_26;Na8Jaar_27;Na9JaarOfMeer_28;InJaar2_29;InJaar3_30;InJaar4_31;InJaar5_32;InJaar6_33;InJaar7_34;InJaar8_35;InJaar9_36;InJaar10OfMeer_37;InJaar2_38;InJaar3_39;InJaar4_40;InJaar5_41;InJaar6_42;InJaar7_43;InJaar8_44;InJaar9_45;InJaar10OfMeer_46;InJaar2_47;InJaar3_48;InJaar4_49;InJaar5_50;InJaar6_51;InJaar7_52;InJaar8_53;InJaar9_54;InJaar10OfMeer_55;InJaar2_56;InJaar3_57;InJaar4_58;InJaar5_59;InJaar6_60;InJaar7_61;InJaar8_62;InJaar9_63;InJaar10OfMeer_64
10;Totaal mannen en vrouwen;Totaal alle sectoren;Vooropleiding vwo;Cohort 1993;180.0;36.0;46.0;52.0;54.0;54.0;56.0;36.0;46.0;52.0;54.0;54.0;55.0;;;;1.0;1.0;1.0;19.0;31.0;35.0;38.0;41.0;42.0;41.0;42.0;42.0;80.0;65.0;55.0;26.0;13.0;7.0;5.0;4.0;3.0;80.0;65.0;55.0;26.0;12.0;5.0;4.0;3.0;2.0;;;;;1.0;1.0;1.0;1.0;;1.0;;;;;;;;1.0
11;Totaal mannen en vrouwen;Totaal alle sectoren;Vooropleiding vwo;Cohort 1994;320.0;34.0;45.0;48.0;52.0;54.0;;34.0;43.0;47.0;50.0;51.0;;1.0;2.0;2.0;2.0;3.0;;18.0;29.0;34.0;38.0;38.0;40.0;40.0;40.0;;82.0;68.0;61.0;28.0;17.0;11.0;8.0;6.0;;80.0;66.0;58.0;25.0;15.0;9.0;6.0;5.0;;1.0;2.0;2.0;2.0;1.0;1.0;2.0;1.0;;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;
12;Totaal mannen en vrouwen;Totaal alle sectoren;Vooropleiding mbo;Cohort 1991;3160.0;34.0;44.0;47.0;49.0;50.0;52.0;34.0;43.0;46.0;48.0;49.0;51.0;0.0;0.0;1.0;1.0;1.0;1.0;26.0;37.0;43.0;45.0;46.0;46.0;46.0;46.0;46.0;74.0;53.0;42.0;21.0;11.0;7.0;5.0;4.0;2.0;73.0;52.0;40.0;20.0;9.0;6.0;4.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0
13;Totaal mannen en vrouwen;Totaal alle sectoren;Vooropleiding mbo;Cohort 1992;2680.0;33.0;43.0;47.0;49.0;50.0;52.0;33.0;43.0;46.0;48.0;49.0;50.0;0.0;0.0;1.0;1.0;1.0;2.0;25.0;37.0;42.0;44.0;45.0;45.0;45.0;46.0;46.0;75.0;58.0;44.0;23.0;12.0;8.0;6.0;4.0;3.0;74.0;57.0;43.0;21.0;11.0;7.0;4.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;Totaal mannen en vrouwen;Totaal alle sectoren;Vooropleiding mbo;Cohort 1993;870.0;33.0;42.0;47.0;49.0;51.0;52.0;32.0;41.0;46.0;48.0;49.0;49.0;0.0;1.0;1.0;2.0;2.0;2.0;29.0;38.0;42.0;44.0;44.0;45.0;45.0;45.0;45.0;71.0;58.0;46.0;24.0;14.0;8.0;5.0;4.0;3.0;70.0;56.0;45.0;22.0;12.0;7.0;4.0;4.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;Totaal mannen en vrouwen;Totaal alle sectoren;Vooropleiding mbo;Cohort 1994;2600.0;36.0;47.0;50.0;52.0;53.0;;36.0;46.0;50.0;51.0;53.0;;0.0;0.0;0.0;1.0;1.0;;26.0;34.0;37.0;40.0;41.0;43.0;43.0;43.0;;74.0;58.0;48.0;24.0;13.0;7.0;5.0;4.0;;73.0;57.0;47.0;23.0;12.0;7.0;4.0;3.0;;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
16;Totaal mannen en vrouwen;Totaal alle sectoren;Vooropleiding wo;Cohort 1991;740.0;28.0;38.0;42.0;44.0;46.0;47.0;27.0;35.0;40.0;42.0;43.0;44.0;1.0;2.0;2.0;3.0;3.0;4.0;26.0;35.0;43.0;45.0;47.0;48.0;49.0;49.0;49.0;72.0;58.0;46.0;27.0;15.0;10.0;7.0;4.0;4.0;69.0;54.0;42.0;24.0;13.0;8.0;5.0;3.0;2.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;3.0;3.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0
17;Totaal mannen en vrouwen;Totaal alle sectoren;Vooropleiding wo;Cohort 1992;780.0;31.0;40.0;44.0;47.0;48.0;48.0;27.0;36.0;39.0;41.0;42.0;42.0;3.0;5.0;5.0;6.0;6.0;6.0;23.0;33.0;38.0;42.0;44.0;46.0;47.0;48.0;47.0;75.0;59.0;48.0;28.0;16.0;10.0;6.0;5.0;4.0;69.0;53.0;43.0;24.0;13.0;7.0;5.0;3.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;5.0;5.0;4.0;3.0;2.0;1.0;1.0;1.0;1.0
18;Totaal mannen en vrouwen;Totaal alle sectoren;Vooropleiding wo;Cohort 1993;780.0;30.0;40.0;45.0;47.0;49.0;50.0;27.0;36.0;40.0;42.0;43.0;45.0;3.0;4.0;5.0;5.0;5.0;6.0;23.0;34.0;40.0;43.0;45.0;45.0;46.0;45.0;46.0;73.0;56.0;44.0;27.0;15.0;10.0;7.0;6.0;4.0;69.0;52.0;40.0;24.0;13.0;8.0;5.0;4.0;3.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;3.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0
19;Totaal mannen en vrouwen;Totaal alle sectoren;Vooropleiding wo;Cohort 1994;670.0;30.0;39.0;43.0;45.0;46.0;;27.0;36.0;39.0;41.0;42.0;;3.0;4.0;4.0;4.0;5.0;;27.0;36.0;40.0;44.0;46.0;47.0;48.0;48.0;;70.0;55.0;44.0;26.0;14.0;10.0;7.0;5.0;;67.0;51.0;39.0;21.0;11.0;7.0;4.0;3.0;;0.0;1.0;3.0;2.0;1.0;1.0;1.0;1.0;;3.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;
20;Totaal mannen en vrouwen;Totaal alle sectoren;Andere vooropleiding;Cohort 1991;1980.0;33.0;43.0;47.0;49.0;50.0;52.0;32.0;43.0;47.0;48.0;49.0;50.0;0.0;0.0;1.0;1.0;1.0;1.0;27.0;37.0;41.0;44.0;45.0;46.0;46.0;47.0;47.0;73.0;60.0;51.0;23.0;11.0;7.0;5.0;3.0;2.0;72.0;58.0;49.0;22.0;10.0;6.0;4.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0
21;Totaal mannen en vrouwen;Totaal alle sectoren;Andere vooropleiding;Cohort 1992;2500.0;30.0;42.0;46.0;48.0;49.0;50.0;29.0;41.0;45.0;47.0;48.0;49.0;0.0;0.0;1.0;1.0;1.0;2.0;27.0;38.0;42.0;44.0;46.0;47.0;47.0;47.0;47.0;73.0;59.0;51.0;26.0;12.0;7.0;5.0;4.0;3.0;72.0;57.0;48.0;24.0;10.0;6.0;4.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0
22;Totaal mannen en vrouwen;Totaal alle sectoren;Andere vooropleiding;Cohort 1993;4610.0;31.0;41.0;46.0;48.0;49.0;50.0;31.0;41.0;45.0;47.0;48.0;49.0;0.0;0.0;1.0;1.0;1.0;1.0;26.0;37.0;41.0;44.0;45.0;45.0;46.0;46.0;46.0;74.0;59.0;51.0;25.0;13.0;9.0;6.0;4.0;3.0;73.0;58.0;49.0;23.0;12.0;7.0;4.0;3.0;2.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0
23;Totaal mannen en vrouwen;Totaal alle sectoren;Andere vooropleiding;Cohort 1994;1510.0;28.0;38.0;43.0;44.0;46.0;;27.0;38.0;42.0;43.0;45.0;;0.0;0.0;0.0;1.0;1.0;;29.0;39.0;43.0;47.0;48.0;49.0;50.0;50.0;;71.0;59.0;50.0;26.0;14.0;8.0;6.0;4.0;;69.0;57.0;49.0;24.0;12.0;7.0;5.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;
24;Totaal mannen en vrouwen;Agrarisch onderwijs;Totaal alle vooropleidingen;Cohort 1991;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Totaal mannen en vrouwen;Agrarisch onderwijs;Totaal alle vooropleidingen;Cohort 1992;70.0;5.0;33.0;45.0;45.0;45.0;47.0;5.0;33.0;45.0;45.0;45.0;47.0;;;;;;;15.0;33.0;36.0;35.0;36.0;44.0;48.0;53.0;52.0;85.0;67.0;64.0;61.0;30.0;11.0;6.0;2.0;2.0;83.0;65.0;62.0;59.0;29.0;11.0;6.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;;;;;;;;;;;;;
26;Totaal mannen en vrouwen;Agrarisch onderwijs;Totaal alle vooropleidingen;Cohort 1993;40.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Totaal mannen en vrouwen;Agrarisch onderwijs;Totaal alle vooropleidingen;Cohort 1994;100.0;16.0;32.0;36.0;42.0;42.0;;15.0;31.0;35.0;41.0;41.0;;1.0;1.0;1.0;1.0;1.0;;27.0;33.0;36.0;38.0;41.0;49.0;49.0;50.0;;72.0;65.0;62.0;46.0;28.0;15.0;9.0;8.0;;72.0;65.0;62.0;46.0;28.0;15.0;9.0;7.0;;;;;;;;;;;;;;;;;;1.0;
28;Totaal mannen en vrouwen;Agrarisch onderwijs;Vooropleiding havo;Cohort 1991;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Totaal mannen en vrouwen;Agrarisch onderwijs;Vooropleiding havo;Cohort 1992;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Totaal mannen en vrouwen;Agrarisch onderwijs;Vooropleiding havo;Cohort 1993;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Totaal mannen en vrouwen;Agrarisch onderwijs;Vooropleiding havo;Cohort 1994;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Totaal mannen en vrouwen;Agrarisch onderwijs;Vooropleiding vwo;Cohort 1991;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Totaal mannen en vrouwen;Agrarisch onderwijs;Vooropleiding vwo;Cohort 1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Totaal mannen en vrouwen;Agrarisch onderwijs;Vooropleiding vwo;Cohort 1993;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Totaal mannen en vrouwen;Agrarisch onderwijs;Vooropleiding vwo;Cohort 1994;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Totaal mannen en vrouwen;Agrarisch onderwijs;Vooropleiding mbo;Cohort 1991;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Totaal mannen en vrouwen;Agrarisch onderwijs;Vooropleiding mbo;Cohort 1992;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Totaal mannen en vrouwen;Agrarisch onderwijs;Vooropleiding mbo;Cohort 1993;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Totaal mannen en vrouwen;Agrarisch onderwijs;Vooropleiding mbo;Cohort 1994;60.0;16.0;35.0;40.0;46.0;46.0;;16.0;35.0;40.0;46.0;46.0;;;;;;;;32.0;35.0;35.0;35.0;38.0;44.0;44.0;44.0;;68.0;63.0;63.0;49.0;27.0;16.0;10.0;10.0;;68.0;63.0;63.0;49.0;27.0;16.0;10.0;10.0;;;;;;;;;;;;;;;;;;;
40;Totaal mannen en vrouwen;Agrarisch onderwijs;Vooropleiding wo;Cohort 1991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Totaal mannen en vrouwen;Agrarisch onderwijs;Vooropleiding wo;Cohort 1992;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Totaal mannen en vrouwen;Agrarisch onderwijs;Vooropleiding wo;Cohort 1993;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Totaal mannen en vrouwen;Agrarisch onderwijs;Vooropleiding wo;Cohort 1994;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Totaal mannen en vrouwen;Agrarisch onderwijs;Andere vooropleiding;Cohort 1991;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Totaal mannen en vrouwen;Agrarisch onderwijs;Andere vooropleiding;Cohort 1992;50.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Totaal mannen en vrouwen;Agrarisch onderwijs;Andere vooropleiding;Cohort 1993;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Totaal mannen en vrouwen;Agrarisch onderwijs;Andere vooropleiding;Cohort 1994;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Totaal mannen en vrouwen;Technisch onderwijs;Totaal alle vooropleidingen;Cohort 1991;900.0;3.0;17.0;24.0;29.0;31.0;34.0;3.0;17.0;24.0;28.0;30.0;33.0;0.0;0.0;1.0;1.0;1.0;1.0;30.0;41.0;53.0;57.0;60.0;61.0;62.0;62.0;63.0;70.0;59.0;46.0;40.0;23.0;14.0;9.0;7.0;3.0;68.0;57.0;45.0;39.0;22.0;13.0;8.0;6.0;2.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0
49;Totaal mannen en vrouwen;Technisch onderwijs;Totaal alle vooropleidingen;Cohort 1992;890.0;6.0;21.0;29.0;34.0;36.0;39.0;5.0;20.0;29.0;33.0;35.0;38.0;0.0;1.0;1.0;1.0;1.0;1.0;26.0;36.0;48.0;52.0;53.0;54.0;55.0;55.0;56.0;74.0;64.0;50.0;42.0;26.0;16.0;11.0;8.0;5.0;73.0;63.0;48.0;41.0;25.0;15.0;10.0;7.0;4.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
50;Totaal mannen en vrouwen;Technisch onderwijs;Totaal alle vooropleidingen;Cohort 1993;710.0;8.0;22.0;31.0;36.0;39.0;41.0;7.0;21.0;30.0;35.0;38.0;40.0;0.0;1.0;1.0;1.0;1.0;2.0;27.0;35.0;45.0;49.0;50.0;52.0;53.0;53.0;54.0;73.0;64.0;52.0;43.0;28.0;17.0;11.0;8.0;4.0;73.0;63.0;51.0;42.0;26.0;17.0;10.0;6.0;3.0;0.0;1.0;1.0;0.0;1.0;;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0
51;Totaal mannen en vrouwen;Technisch onderwijs;Totaal alle vooropleidingen;Cohort 1994;540.0;9.0;25.0;33.0;37.0;39.0;;9.0;24.0;32.0;36.0;38.0;;0.0;1.0;1.0;1.0;1.0;;26.0;36.0;47.0;51.0;51.0;53.0;54.0;54.0;;74.0;64.0;50.0;40.0;24.0;15.0;9.0;7.0;;73.0;62.0;48.0;39.0;23.0;13.0;8.0;6.0;;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;;
52;Totaal mannen en vrouwen;Technisch onderwijs;Vooropleiding havo;Cohort 1991;100.0;1.0;16.0;20.0;26.0;26.0;26.0;1.0;16.0;20.0;26.0;26.0;26.0;;;;;;;34.0;49.0;60.0;63.0;66.0;69.0;67.0;69.0;71.0;66.0;51.0;40.0;36.0;18.0;11.0;7.0;5.0;3.0;62.0;49.0;39.0;36.0;17.0;11.0;4.0;3.0;1.0;2.0;;1.0;;1.0;;3.0;2.0;2.0;2.0;1.0;;;;;;;
53;Totaal mannen en vrouwen;Technisch onderwijs;Vooropleiding havo;Cohort 1992;120.0;5.0;23.0;33.0;39.0;43.0;45.0;5.0;22.0;32.0;37.0;41.0;43.0;;1.0;1.0;3.0;3.0;3.0;20.0;29.0;43.0;46.0;50.0;50.0;50.0;50.0;50.0;80.0;71.0;54.0;49.0;28.0;17.0;11.0;6.0;4.0;79.0;70.0;51.0;45.0;25.0;15.0;10.0;5.0;3.0;1.0;1.0;3.0;3.0;3.0;2.0;;;1.0;;;;;;;1.0;1.0;1.0
54;Totaal mannen en vrouwen;Technisch onderwijs;Vooropleiding havo;Cohort 1993;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;Totaal mannen en vrouwen;Technisch onderwijs;Vooropleiding havo;Cohort 1994;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;Totaal mannen en vrouwen;Technisch onderwijs;Vooropleiding vwo;Cohort 1991;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;Totaal mannen en vrouwen;Technisch onderwijs;Vooropleiding vwo;Cohort 1992;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;Totaal mannen en vrouwen;Technisch onderwijs;Vooropleiding vwo;Cohort 1993;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;Totaal mannen en vrouwen;Technisch onderwijs;Vooropleiding vwo;Cohort 1994;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
