ID;Periods;UnemploymentBenefitsTotalAmount_1;InterimUnemploymentFundTotalAmount_2;UnemploymentFundTotalAmount_3
52;2001 February;159.3;54.1;100.1
53;2001 March;192.8;63.6;125.2
54;2001 1st quarter;506.1;160.9;332.0
55;2001 April;142.9;43.7;96.8
56;2001 May;250.4;50.9;196.2
57;2001 June;130.0;34.6;92.9
58;2001 2nd quarter;523.4;129.3;385.8
59;2001 July;147.4;39.1;105.5
60;2001 August;165.3;42.1;119.4
61;2001 September;132.7;35.5;94.1
62;2001 3rd quarter;445.4;116.7;319.0
63;2001 October;131.8;36.7;92.1
64;2001 November;164.3;45.5;114.6
65;2001 December;141.8;42.1;93.5
66;2001 4th quarter;437.9;124.3;300.2
67;2001 annual total;1912.8;531.2;1336.9
68;2002 January;190.3;60.6;119.6
69;2002 February;173.5;62.5;99.4
70;2002 March;172.2;64.6;97.6
71;2002 1st quarter;536.1;187.8;316.6
72;2002 April;170.8;60.8;100.8
73;2002 May;273.0;70.5;194.2
74;2002 June;164.2;56.3;102.4
75;2002 2nd quarter;608.1;187.7;397.4
76;2002 July;162.7;54.3;102.8
77;2002 August;206.2;64.6;135.1
78;2002 September;172.9;57.0;110.4
79;2002 3rd quarter;541.8;175.9;348.3
80;2002 October;211.5;70.3;135.9
81;2002 November;182.0;62.8;114.6
82;2002 December;197.2;71.2;120.1
83;2002 4th quarter;590.7;204.3;370.7
84;2002 annual total;2276.6;755.7;1433.0
85;2003 January;250.0;95.1;147.4
86;2003 February;236.2;99.3;129.4
87;2003 March;241.6;103.4;132.3
88;2003 1st quarter;727.8;297.8;409.1
89;2003 April;224.3;93.3;127.4
90;2003 May;396.7;125.2;267.4
91;2003 June;239.9;90.8;147.6
92;2003 2nd quarter;860.9;309.4;542.3
93;2003 July;289.2;101.9;186.3
94;2003 August;241.3;87.9;152.1
95;2003 September;251.0;91.1;158.5
96;2003 3rd quarter;781.5;280.9;496.9
97;2003 October;314.5;107.7;206.0
98;2003 November;262.7;91.7;170.4
99;2003 December;296.1;105.5;189.2
100;2003 4th quarter;873.3;304.9;565.6
101;2003 annual total;3243.5;1193.0;2013.9
102;2004 January;325.2;114.3;209.9
103;2004 February;311.0;118.5;191.2
104;2004 March;315.1;121.9;191.7
105;2004 1st quarter;951.3;354.7;592.8
106;2004 April;378.1;132.0;245.1
107;2004 May;459.3;124.5;332.5
108;2004 June;272.6;96.5;176.1
109;2004 2nd quarter;1109.9;353.0;753.6
110;2004 July;357.1;104.6;252.1
111;2004 August;286.3;85.8;200.0
112;2004 September;297.7;86.4;210.3
113;2004 3rd quarter;941.1;276.8;662.4
114;2004 October;361.3;96.2;263.8
115;2004 November;294.5;85.5;208.1
116;2004 December;351.7;99.1;252.0
117;2004 4th quarter;1007.5;280.8;723.9
118;2004 annual total;4009.8;1265.4;2732.7
119;2005 January;334.9;100.0;233.9
120;2005 February;334.5;114.1;219.6
121;2005 March;389.2;127.5;261.0
122;2005 1st quarter;1058.6;341.6;714.5
123;2005 April;341.6;106.0;234.8
124;2005 May;512.6;114.5;395.7
125;2005 June;355.6;98.7;256.2
126;2005 2nd quarter;1209.8;319.2;886.7
127;2005 July;287.1;79.9;207.2
128;2005 August;280.9;76.0;204.8
129;2005 September;357.7;90.5;266.4
130;2005 3rd quarter;925.6;246.5;678.5
131;2005 October;279.7;71.8;207.2
132;2005 November;276.4;73.0;202.9
133;2005 December;325.3;83.9;241.1
134;2005 4th quarter;881.4;228.8;651.2
135;2005 annual total;4075.5;1136.0;2930.9
136;2006 January;304.7;80.6;223.0
137;2006 February;302.0;92.9;207.7
138;2006 March;362.6;108.4;254.6
139;2006 1st quarter;969.3;281.8;685.3
140;2006 April;283.2;82.7;199.7
141;2006 May;471.2;98.4;371.5
142;2006 June;301.2;75.5;226.8
143;2006 2nd quarter;1055.6;256.6;798.0
144;2006 July;247.6;64.1;184.1
145;2006 August;304.0;71.3;233.2
146;2006 September;242.1;57.8;183.8
147;2006 3rd quarter;793.7;193.3;601.2
148;2006 October;235.8;59.0;176.5
149;2006 November;287.8;70.1;217.8
150;2006 December;221.9;57.4;164.3
151;2006 4th quarter;745.5;186.5;558.6
152;2006 annual total;3564.1;918.3;2643.1
153;2007 January;243.1;65.6;177.5
154;2007 February;246.0;74.3;171.9
155;2007 March;289.0;81.6;207.6
156;2007 1st quarter;778.1;221.6;557.1
157;2007 April;221.8;59.9;162.1
158;2007 May;389.5;72.2;317.5
159;2007 June;207.3;51.9;155.5
160;2007 2nd quarter;818.7;184.0;635.2
161;2007 July;198.8;50.9;148.4
162;2007 August;246.6;60.3;186.7
163;2007 September;198.2;50.3;148.1
164;2007 3rd quarter;643.6;161.5;483.1
165;2007 October;196.5;48.9;147.9
166;2007 November;245.7;58.8;186.5
167;2007 December;180.5;49.8;129.7
168;2007 4th quarter;622.8;157.6;464.1
169;2007 annual total;2863.2;724.7;2139.6
170;2008 January;245.6;71.6;174.5
171;2008 February;201.4;65.2;136.8
172;2008 March;184.4;60.2;124.4
173;2008 1st quarter;631.4;197.0;435.7
174;2008 April;205.5;62.2;143.2
175;2008 May;324.6;72.2;251.9
176;2008 June;163.3;51.8;113.7
177;2008 2nd quarter;693.3;186.2;508.7
178;2008 July;205.3;58.9;148.5
179;2008 August;169.3;52.8;117.4
180;2008 September;166.8;53.4;114.7
181;2008 3rd quarter;541.3;165.1;380.6
182;2008 October;206.0;62.5;145.7
183;2008 November;166.0;56.6;111.5
184;2008 December;189.7;71.8;118.5
185;2008 4th quarter;561.8;190.8;375.8
186;2008 annual total;2427.7;739.0;1700.8
187;2009 January;218.2;88.7;131.2
188;2009 February;232.8;108.5;124.8
189;2009 March;233.9;113.5;121.2
190;2009 1st quarter;684.9;310.7;377.3
191;2009 April;297.8;144.0;155.2
192;2009 May;362.1;149.2;213.3
193;2009 June;252.1;133.1;121.3
194;2009 2nd quarter;911.9;426.3;489.8
195;2009 July;323.1;154.7;170.7
196;2009 August;277.9;141.7;137.3
197;2009 September;289.6;143.6;147.9
198;2009 3rd quarter;890.6;439.9;455.8
199;2009 October;362.4;166.8;197.5
200;2009 November;304.4;145.1;160.8
201;2009 December;386.4;176.2;212.1
202;2009 4th quarter;1053.2;488.2;570.5
203;2009 annual total;3540.6;1665.2;1893.4
204;2010 January;345.3;163.4;182.9
