ID;Geslacht;Leeftijd;Migratieachtergrond;Perioden;TotaalDeelnemersVavo_1;VavoDeelnemersVmboT_2;VavoDeelnemersHavo_3;VavoDeelnemersVwo_4
28;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2018/'19;10116;1204;5996;2916
29;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2019/'20;9612;1157;5590;2865
30;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2020/'21;6097;612;3934;1551
31;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2021/'22;7384;657;4528;2199
32;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2006/'07;4734;1255;2523;956
33;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2007/'08;5080;1271;2760;1049
34;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2008/'09;5607;1090;3318;1199
35;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2009/'10;6129;1118;3411;1600
36;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2010/'11;5373;973;3147;1253
37;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2011/'12;4659;943;2722;994
38;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2012/'13;4604;950;2528;1126
39;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2013/'14;4881;1049;2741;1091
40;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2014/'15;4985;1018;2707;1260
41;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2015/'16;5421;1090;2953;1378
42;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2016/'17;5690;1186;3069;1435
43;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2017/'18;6065;1415;3223;1427
44;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2018/'19;6063;1229;3385;1449
45;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2019/'20;5923;1165;3174;1584
46;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2020/'21;3764;712;2098;954
47;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2021/'22;4829;753;2696;1380
48;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2006/'07;1328;295;721;312
49;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2007/'08;1405;295;779;331
50;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2008/'09;1506;262;900;344
51;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2009/'10;1613;234;942;437
52;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2010/'11;1418;221;864;333
53;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2011/'12;1231;199;732;300
54;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2012/'13;1327;235;776;316
55;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2013/'14;1264;233;735;296
56;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2014/'15;1309;231;755;323
57;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2015/'16;1518;284;828;406
58;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2016/'17;1512;251;885;376
59;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2017/'18;1473;249;835;389
60;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2018/'19;1408;208;811;389
61;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2019/'20;1418;209;775;434
62;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2020/'21;963;153;548;262
63;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2021/'22;1143;127;689;327
64;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2006/'07;3406;960;1802;644
65;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2007/'08;3675;976;1981;718
66;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2008/'09;4101;828;2418;855
67;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2009/'10;4516;884;2469;1163
68;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2010/'11;3955;752;2283;920
69;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2011/'12;3428;744;1990;694
70;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2012/'13;3277;715;1752;810
71;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2013/'14;3617;816;2006;795
72;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2014/'15;3676;787;1952;937
73;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2015/'16;3903;806;2125;972
74;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2016/'17;4178;935;2184;1059
75;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2017/'18;4592;1166;2388;1038
76;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2018/'19;4655;1021;2574;1060
77;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2019/'20;4505;956;2399;1150
78;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2020/'21;2801;559;1550;692
79;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2021/'22;3686;626;2007;1053
80;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2006/'07;13;7;4;2
81;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2007/'08;10;4;5;1
82;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2008/'09;15;7;5;3
83;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2009/'10;67;54;10;3
84;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2010/'11;49;39;4;6
85;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2011/'12;61;51;8;2
86;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2012/'13;58;48;8;2
87;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2013/'14;52;42;7;3
88;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2014/'15;53;43;8;2
89;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2015/'16;49;40;8;1
90;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2016/'17;42;37;4;1
91;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2017/'18;35;24;10;1
92;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2018/'19;21;15;4;2
93;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2019/'20;23;16;5;2
94;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2020/'21;15;11;3;1
95;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2021/'22;39;35;3;1
96;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2006/'07;395;303;87;5
97;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2007/'08;441;291;139;11
98;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2008/'09;417;269;133;15
99;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2009/'10;410;268;129;13
100;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2010/'11;389;261;117;11
101;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2011/'12;435;306;121;8
102;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2012/'13;401;291;99;11
103;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2013/'14;346;252;88;6
104;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2014/'15;397;265;126;6
105;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2015/'16;458;284;161;13
106;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2016/'17;496;307;178;11
107;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2017/'18;462;324;129;9
108;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2018/'19;531;372;147;12
109;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2019/'20;573;413;152;8
110;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2020/'21;288;166;121;1
111;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2021/'22;400;249;144;7
112;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2006/'07;244;180;61;3
113;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2007/'08;276;179;91;6
114;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2008/'09;275;167;98;10
115;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2009/'10;263;161;92;10
116;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2010/'11;241;150;82;9
117;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2011/'12;272;176;89;7
118;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2012/'13;258;176;74;8
119;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2013/'14;203;136;62;5
120;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2014/'15;228;134;90;4
121;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2015/'16;274;157;106;11
122;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2016/'17;300;161;131;8
123;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2017/'18;272;175;89;8
124;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2018/'19;345;225;112;8
125;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2019/'20;342;227;110;5
126;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2020/'21;172;83;89;0
127;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2021/'22;233;115;111;7
128;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2006/'07;150;122;26;2
129;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2007/'08;165;112;48;5
130;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2008/'09;141;101;35;5
131;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2009/'10;126;86;37;3
132;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2010/'11;132;95;35;2
133;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2011/'12;141;110;30;1
134;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2012/'13;126;99;24;3
135;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2013/'14;128;101;26;1
136;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2014/'15;152;114;36;2
137;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2015/'16;164;107;55;2
138;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2016/'17;186;136;47;3
139;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2017/'18;189;148;40;1
140;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2018/'19;182;144;35;3
141;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2019/'20;227;183;42;2
142;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2020/'21;115;82;32;1
143;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2021/'22;151;118;33;0
144;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2006/'07;40;27;12;1
145;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2007/'08;49;29;18;2
146;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2008/'09;44;29;11;4
147;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2009/'10;22;14;8;0
148;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2010/'11;40;27;11;2
149;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2011/'12;32;26;5;1
150;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2012/'13;35;27;6;2
151;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2013/'14;25;19;6;0
152;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2014/'15;31;22;9;0
153;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2015/'16;38;22;15;1
154;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2016/'17;49;31;16;2
155;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2017/'18;44;31;13;0
156;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2018/'19;32;21;10;1
157;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2019/'20;46;34;11;1
158;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2020/'21;40;25;15;0
159;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2021/'22;26;22;4;0
160;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2006/'07;110;95;14;1
161;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2007/'08;116;83;30;3
162;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2008/'09;97;72;24;1
163;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2009/'10;104;72;29;3
164;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2010/'11;92;68;24;0
165;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2011/'12;109;84;25;0
166;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2012/'13;91;72;18;1
167;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2013/'14;103;82;20;1
168;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2014/'15;121;92;27;2
169;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2015/'16;126;85;40;1
170;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2016/'17;137;105;31;1
171;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2017/'18;145;117;27;1
172;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2018/'19;150;123;25;2
173;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2019/'20;181;149;31;1
174;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2020/'21;75;57;17;1
175;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2021/'22;125;96;29;0
176;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2006/'07;1;1;0;0
177;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2007/'08;0;0;0;0
178;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2008/'09;1;1;0;0
179;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2009/'10;21;21;0;0
180;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2010/'11;16;16;0;0
181;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2011/'12;22;20;2;0
182;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2012/'13;17;16;1;0
183;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2013/'14;15;15;0;0
184;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2014/'15;17;17;0;0
185;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2015/'16;20;20;0;0
186;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2016/'17;10;10;0;0
187;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2017/'18;1;1;0;0
188;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2018/'19;4;3;0;1
189;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2019/'20;4;3;0;1
190;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2020/'21;1;1;0;0
191;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2021/'22;16;16;0;0
192;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2006/'07;1503;583;815;105
193;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2007/'08;1748;565;1052;131
194;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2008/'09;2589;553;1860;176
195;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2009/'10;2137;576;1441;120
196;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2010/'11;2184;597;1436;151
197;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2011/'12;2045;666;1256;123
198;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2012/'13;1957;677;1167;113
199;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2013/'14;1872;668;1097;107
200;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2014/'15;1866;600;1156;110
201;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2015/'16;2123;650;1325;148
202;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2016/'17;2228;650;1408;170
203;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2017/'18;2376;788;1413;175
204;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2018/'19;2240;745;1327;168
205;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2019/'20;2295;748;1394;153
206;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2020/'21;1310;360;844;106
207;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2021/'22;1900;437;1322;141
208;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2006/'07;932;308;548;76
209;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2007/'08;1120;294;732;94
210;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2008/'09;1811;325;1363;123
211;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2009/'10;1386;293;1007;86
212;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2010/'11;1498;355;1023;120
213;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2011/'12;1366;367;905;94
214;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2012/'13;1307;371;851;85
215;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2013/'14;1226;355;795;76
216;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2014/'15;1248;321;842;85
217;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2015/'16;1452;355;987;110
218;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2016/'17;1530;331;1056;143
219;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2017/'18;1528;374;1020;134
220;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2018/'19;1453;391;941;121
221;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2019/'20;1475;385;974;116
222;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2020/'21;834;152;605;77
223;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2021/'22;1219;200;921;98
224;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2006/'07;571;275;267;29
225;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2007/'08;626;270;319;37
226;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2008/'09;778;228;497;53
227;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2009/'10;725;257;434;34
228;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2010/'11;669;226;412;31
229;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2011/'12;653;274;350;29
230;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2012/'13;629;286;315;28
231;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2013/'14;623;292;300;31
232;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2014/'15;597;258;314;25
233;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2015/'16;656;281;337;38
234;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2016/'17;680;304;349;27
235;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2017/'18;834;401;393;40
236;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2018/'19;776;344;385;47
237;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2019/'20;809;352;420;37
238;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2020/'21;471;203;239;29
239;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2021/'22;673;229;401;43
240;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2006/'07;165;68;81;16
241;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2007/'08;179;66;98;15
242;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2008/'09;226;50;159;17
243;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2009/'10;198;58;123;17
244;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2010/'11;203;55;137;11
245;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2011/'12;164;49;103;12
246;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2012/'13;175;65;99;11
247;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2013/'14;156;69;75;12
248;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2014/'15;137;51;77;9
249;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2015/'16;167;60;96;11
250;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2016/'17;174;64;99;11
251;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2017/'18;179;57;106;16
252;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2018/'19;174;58;99;17
253;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2019/'20;186;70;104;12
