ID;Geslacht;Persoonskenmerken;Beroep;CaribischNederland;Perioden;WerkzameBeroepsbevolking_1
25;Totaal mannen en vrouwen;Totaal;Beroepsniveau 1 (ISCO 2008);Bonaire;2014;1120
26;Totaal mannen en vrouwen;Totaal;Beroepsniveau 1 (ISCO 2008);Bonaire;2016;960
27;Totaal mannen en vrouwen;Totaal;Beroepsniveau 1 (ISCO 2008);Bonaire;2018;1290
28;Totaal mannen en vrouwen;Totaal;Beroepsniveau 1 (ISCO 2008);Bonaire;2020;1140
29;Totaal mannen en vrouwen;Totaal;Beroepsniveau 1 (ISCO 2008);Bonaire;2022;1540
30;Totaal mannen en vrouwen;Totaal;Beroepsniveau 1 (ISCO 2008);Sint-Eustatius;2014;260
31;Totaal mannen en vrouwen;Totaal;Beroepsniveau 1 (ISCO 2008);Sint-Eustatius;2016;210
32;Totaal mannen en vrouwen;Totaal;Beroepsniveau 1 (ISCO 2008);Sint-Eustatius;2018;280
33;Totaal mannen en vrouwen;Totaal;Beroepsniveau 1 (ISCO 2008);Sint-Eustatius;2020;180
34;Totaal mannen en vrouwen;Totaal;Beroepsniveau 1 (ISCO 2008);Sint-Eustatius;2022;180
35;Totaal mannen en vrouwen;Totaal;Beroepsniveau 1 (ISCO 2008);Saba;2014;110
36;Totaal mannen en vrouwen;Totaal;Beroepsniveau 1 (ISCO 2008);Saba;2016;90
37;Totaal mannen en vrouwen;Totaal;Beroepsniveau 1 (ISCO 2008);Saba;2018;140
38;Totaal mannen en vrouwen;Totaal;Beroepsniveau 1 (ISCO 2008);Saba;2020;110
39;Totaal mannen en vrouwen;Totaal;Beroepsniveau 1 (ISCO 2008);Saba;2022;70
40;Totaal mannen en vrouwen;Totaal;Beroepsniveau 2 (ISCO 2008);Caribisch Nederland;2014;7550
41;Totaal mannen en vrouwen;Totaal;Beroepsniveau 2 (ISCO 2008);Caribisch Nederland;2016;7190
42;Totaal mannen en vrouwen;Totaal;Beroepsniveau 2 (ISCO 2008);Caribisch Nederland;2018;7680
43;Totaal mannen en vrouwen;Totaal;Beroepsniveau 2 (ISCO 2008);Caribisch Nederland;2020;8250
44;Totaal mannen en vrouwen;Totaal;Beroepsniveau 2 (ISCO 2008);Caribisch Nederland;2022;8260
45;Totaal mannen en vrouwen;Totaal;Beroepsniveau 2 (ISCO 2008);Bonaire;2014;5960
46;Totaal mannen en vrouwen;Totaal;Beroepsniveau 2 (ISCO 2008);Bonaire;2016;5910
47;Totaal mannen en vrouwen;Totaal;Beroepsniveau 2 (ISCO 2008);Bonaire;2018;6160
48;Totaal mannen en vrouwen;Totaal;Beroepsniveau 2 (ISCO 2008);Bonaire;2020;6690
49;Totaal mannen en vrouwen;Totaal;Beroepsniveau 2 (ISCO 2008);Bonaire;2022;6770
50;Totaal mannen en vrouwen;Totaal;Beroepsniveau 2 (ISCO 2008);Sint-Eustatius;2014;1150
51;Totaal mannen en vrouwen;Totaal;Beroepsniveau 2 (ISCO 2008);Sint-Eustatius;2016;800
52;Totaal mannen en vrouwen;Totaal;Beroepsniveau 2 (ISCO 2008);Sint-Eustatius;2018;890
53;Totaal mannen en vrouwen;Totaal;Beroepsniveau 2 (ISCO 2008);Sint-Eustatius;2020;950
54;Totaal mannen en vrouwen;Totaal;Beroepsniveau 2 (ISCO 2008);Sint-Eustatius;2022;940
55;Totaal mannen en vrouwen;Totaal;Beroepsniveau 2 (ISCO 2008);Saba;2014;450
56;Totaal mannen en vrouwen;Totaal;Beroepsniveau 2 (ISCO 2008);Saba;2016;490
57;Totaal mannen en vrouwen;Totaal;Beroepsniveau 2 (ISCO 2008);Saba;2018;620
58;Totaal mannen en vrouwen;Totaal;Beroepsniveau 2 (ISCO 2008);Saba;2020;600
59;Totaal mannen en vrouwen;Totaal;Beroepsniveau 2 (ISCO 2008);Saba;2022;550
60;Totaal mannen en vrouwen;Totaal;Beroepsniveau 3 (ISCO 2008);Caribisch Nederland;2014;1740
61;Totaal mannen en vrouwen;Totaal;Beroepsniveau 3 (ISCO 2008);Caribisch Nederland;2016;2180
62;Totaal mannen en vrouwen;Totaal;Beroepsniveau 3 (ISCO 2008);Caribisch Nederland;2018;2160
63;Totaal mannen en vrouwen;Totaal;Beroepsniveau 3 (ISCO 2008);Caribisch Nederland;2020;1950
64;Totaal mannen en vrouwen;Totaal;Beroepsniveau 3 (ISCO 2008);Caribisch Nederland;2022;2110
65;Totaal mannen en vrouwen;Totaal;Beroepsniveau 3 (ISCO 2008);Bonaire;2014;1400
66;Totaal mannen en vrouwen;Totaal;Beroepsniveau 3 (ISCO 2008);Bonaire;2016;1840
67;Totaal mannen en vrouwen;Totaal;Beroepsniveau 3 (ISCO 2008);Bonaire;2018;1730
68;Totaal mannen en vrouwen;Totaal;Beroepsniveau 3 (ISCO 2008);Bonaire;2020;1580
69;Totaal mannen en vrouwen;Totaal;Beroepsniveau 3 (ISCO 2008);Bonaire;2022;1720
70;Totaal mannen en vrouwen;Totaal;Beroepsniveau 3 (ISCO 2008);Sint-Eustatius;2014;230
71;Totaal mannen en vrouwen;Totaal;Beroepsniveau 3 (ISCO 2008);Sint-Eustatius;2016;210
72;Totaal mannen en vrouwen;Totaal;Beroepsniveau 3 (ISCO 2008);Sint-Eustatius;2018;290
73;Totaal mannen en vrouwen;Totaal;Beroepsniveau 3 (ISCO 2008);Sint-Eustatius;2020;250
74;Totaal mannen en vrouwen;Totaal;Beroepsniveau 3 (ISCO 2008);Sint-Eustatius;2022;270
75;Totaal mannen en vrouwen;Totaal;Beroepsniveau 3 (ISCO 2008);Saba;2014;110
76;Totaal mannen en vrouwen;Totaal;Beroepsniveau 3 (ISCO 2008);Saba;2016;130
77;Totaal mannen en vrouwen;Totaal;Beroepsniveau 3 (ISCO 2008);Saba;2018;140
78;Totaal mannen en vrouwen;Totaal;Beroepsniveau 3 (ISCO 2008);Saba;2020;120
79;Totaal mannen en vrouwen;Totaal;Beroepsniveau 3 (ISCO 2008);Saba;2022;120
80;Totaal mannen en vrouwen;Totaal;Beroepsniveau 4 (ISCO 2008);Caribisch Nederland;2014;2190
81;Totaal mannen en vrouwen;Totaal;Beroepsniveau 4 (ISCO 2008);Caribisch Nederland;2016;2470
82;Totaal mannen en vrouwen;Totaal;Beroepsniveau 4 (ISCO 2008);Caribisch Nederland;2018;2330
83;Totaal mannen en vrouwen;Totaal;Beroepsniveau 4 (ISCO 2008);Caribisch Nederland;2020;2180
84;Totaal mannen en vrouwen;Totaal;Beroepsniveau 4 (ISCO 2008);Caribisch Nederland;2022;3000
85;Totaal mannen en vrouwen;Totaal;Beroepsniveau 4 (ISCO 2008);Bonaire;2014;1450
86;Totaal mannen en vrouwen;Totaal;Beroepsniveau 4 (ISCO 2008);Bonaire;2016;1850
87;Totaal mannen en vrouwen;Totaal;Beroepsniveau 4 (ISCO 2008);Bonaire;2018;1740
88;Totaal mannen en vrouwen;Totaal;Beroepsniveau 4 (ISCO 2008);Bonaire;2020;1640
89;Totaal mannen en vrouwen;Totaal;Beroepsniveau 4 (ISCO 2008);Bonaire;2022;2390
90;Totaal mannen en vrouwen;Totaal;Beroepsniveau 4 (ISCO 2008);Sint-Eustatius;2014;520
91;Totaal mannen en vrouwen;Totaal;Beroepsniveau 4 (ISCO 2008);Sint-Eustatius;2016;370
92;Totaal mannen en vrouwen;Totaal;Beroepsniveau 4 (ISCO 2008);Sint-Eustatius;2018;350
93;Totaal mannen en vrouwen;Totaal;Beroepsniveau 4 (ISCO 2008);Sint-Eustatius;2020;280
94;Totaal mannen en vrouwen;Totaal;Beroepsniveau 4 (ISCO 2008);Sint-Eustatius;2022;380
95;Totaal mannen en vrouwen;Totaal;Beroepsniveau 4 (ISCO 2008);Saba;2014;230
96;Totaal mannen en vrouwen;Totaal;Beroepsniveau 4 (ISCO 2008);Saba;2016;260
97;Totaal mannen en vrouwen;Totaal;Beroepsniveau 4 (ISCO 2008);Saba;2018;250
98;Totaal mannen en vrouwen;Totaal;Beroepsniveau 4 (ISCO 2008);Saba;2020;260
99;Totaal mannen en vrouwen;Totaal;Beroepsniveau 4 (ISCO 2008);Saba;2022;230
100;Totaal mannen en vrouwen;Totaal;Beroepsniveau onbekend (ISCO 2008);Caribisch Nederland;2014;90
101;Totaal mannen en vrouwen;Totaal;Beroepsniveau onbekend (ISCO 2008);Caribisch Nederland;2016;190
102;Totaal mannen en vrouwen;Totaal;Beroepsniveau onbekend (ISCO 2008);Caribisch Nederland;2018;390
103;Totaal mannen en vrouwen;Totaal;Beroepsniveau onbekend (ISCO 2008);Caribisch Nederland;2020;530
104;Totaal mannen en vrouwen;Totaal;Beroepsniveau onbekend (ISCO 2008);Caribisch Nederland;2022;510
105;Totaal mannen en vrouwen;Totaal;Beroepsniveau onbekend (ISCO 2008);Bonaire;2014;40
106;Totaal mannen en vrouwen;Totaal;Beroepsniveau onbekend (ISCO 2008);Bonaire;2016;160
107;Totaal mannen en vrouwen;Totaal;Beroepsniveau onbekend (ISCO 2008);Bonaire;2018;320
108;Totaal mannen en vrouwen;Totaal;Beroepsniveau onbekend (ISCO 2008);Bonaire;2020;440
109;Totaal mannen en vrouwen;Totaal;Beroepsniveau onbekend (ISCO 2008);Bonaire;2022;430
110;Totaal mannen en vrouwen;Totaal;Beroepsniveau onbekend (ISCO 2008);Sint-Eustatius;2014;50
111;Totaal mannen en vrouwen;Totaal;Beroepsniveau onbekend (ISCO 2008);Sint-Eustatius;2016;30
112;Totaal mannen en vrouwen;Totaal;Beroepsniveau onbekend (ISCO 2008);Sint-Eustatius;2018;50
113;Totaal mannen en vrouwen;Totaal;Beroepsniveau onbekend (ISCO 2008);Sint-Eustatius;2020;60
114;Totaal mannen en vrouwen;Totaal;Beroepsniveau onbekend (ISCO 2008);Sint-Eustatius;2022;30
115;Totaal mannen en vrouwen;Totaal;Beroepsniveau onbekend (ISCO 2008);Saba;2014;10
116;Totaal mannen en vrouwen;Totaal;Beroepsniveau onbekend (ISCO 2008);Saba;2016;10
117;Totaal mannen en vrouwen;Totaal;Beroepsniveau onbekend (ISCO 2008);Saba;2018;20
118;Totaal mannen en vrouwen;Totaal;Beroepsniveau onbekend (ISCO 2008);Saba;2020;40
119;Totaal mannen en vrouwen;Totaal;Beroepsniveau onbekend (ISCO 2008);Saba;2022;40
120;Totaal mannen en vrouwen;Totaal;01 Pedagogische beroepen;Caribisch Nederland;2014;660
121;Totaal mannen en vrouwen;Totaal;01 Pedagogische beroepen;Caribisch Nederland;2016;1280
122;Totaal mannen en vrouwen;Totaal;01 Pedagogische beroepen;Caribisch Nederland;2018;930
123;Totaal mannen en vrouwen;Totaal;01 Pedagogische beroepen;Caribisch Nederland;2020;1020
124;Totaal mannen en vrouwen;Totaal;01 Pedagogische beroepen;Caribisch Nederland;2022;1650
125;Totaal mannen en vrouwen;Totaal;01 Pedagogische beroepen;Bonaire;2014;410
126;Totaal mannen en vrouwen;Totaal;01 Pedagogische beroepen;Bonaire;2016;1020
127;Totaal mannen en vrouwen;Totaal;01 Pedagogische beroepen;Bonaire;2018;690
128;Totaal mannen en vrouwen;Totaal;01 Pedagogische beroepen;Bonaire;2020;720
129;Totaal mannen en vrouwen;Totaal;01 Pedagogische beroepen;Bonaire;2022;1360
130;Totaal mannen en vrouwen;Totaal;01 Pedagogische beroepen;Sint-Eustatius;2014;150
131;Totaal mannen en vrouwen;Totaal;01 Pedagogische beroepen;Sint-Eustatius;2016;130
132;Totaal mannen en vrouwen;Totaal;01 Pedagogische beroepen;Sint-Eustatius;2018;120
133;Totaal mannen en vrouwen;Totaal;01 Pedagogische beroepen;Sint-Eustatius;2020;140
134;Totaal mannen en vrouwen;Totaal;01 Pedagogische beroepen;Sint-Eustatius;2022;170
135;Totaal mannen en vrouwen;Totaal;01 Pedagogische beroepen;Saba;2014;100
136;Totaal mannen en vrouwen;Totaal;01 Pedagogische beroepen;Saba;2016;140
137;Totaal mannen en vrouwen;Totaal;01 Pedagogische beroepen;Saba;2018;130
138;Totaal mannen en vrouwen;Totaal;01 Pedagogische beroepen;Saba;2020;160
139;Totaal mannen en vrouwen;Totaal;01 Pedagogische beroepen;Saba;2022;120
140;Totaal mannen en vrouwen;Totaal;011 Docenten;Caribisch Nederland;2014;480
141;Totaal mannen en vrouwen;Totaal;011 Docenten;Caribisch Nederland;2016;680
142;Totaal mannen en vrouwen;Totaal;011 Docenten;Caribisch Nederland;2018;410
143;Totaal mannen en vrouwen;Totaal;011 Docenten;Caribisch Nederland;2020;540
144;Totaal mannen en vrouwen;Totaal;011 Docenten;Caribisch Nederland;2022;830
145;Totaal mannen en vrouwen;Totaal;011 Docenten;Bonaire;2014;270
146;Totaal mannen en vrouwen;Totaal;011 Docenten;Bonaire;2016;470
147;Totaal mannen en vrouwen;Totaal;011 Docenten;Bonaire;2018;250
148;Totaal mannen en vrouwen;Totaal;011 Docenten;Bonaire;2020;360
149;Totaal mannen en vrouwen;Totaal;011 Docenten;Bonaire;2022;630
150;Totaal mannen en vrouwen;Totaal;011 Docenten;Sint-Eustatius;2014;120
151;Totaal mannen en vrouwen;Totaal;011 Docenten;Sint-Eustatius;2016;100
152;Totaal mannen en vrouwen;Totaal;011 Docenten;Sint-Eustatius;2018;90
153;Totaal mannen en vrouwen;Totaal;011 Docenten;Sint-Eustatius;2020;90
154;Totaal mannen en vrouwen;Totaal;011 Docenten;Sint-Eustatius;2022;120
155;Totaal mannen en vrouwen;Totaal;011 Docenten;Saba;2014;90
156;Totaal mannen en vrouwen;Totaal;011 Docenten;Saba;2016;110
157;Totaal mannen en vrouwen;Totaal;011 Docenten;Saba;2018;70
158;Totaal mannen en vrouwen;Totaal;011 Docenten;Saba;2020;90
159;Totaal mannen en vrouwen;Totaal;011 Docenten;Saba;2022;80
160;Totaal mannen en vrouwen;Totaal;012 Sportinstructeurs;Caribisch Nederland;2014;110
161;Totaal mannen en vrouwen;Totaal;012 Sportinstructeurs;Caribisch Nederland;2016;260
162;Totaal mannen en vrouwen;Totaal;012 Sportinstructeurs;Caribisch Nederland;2018;170
163;Totaal mannen en vrouwen;Totaal;012 Sportinstructeurs;Caribisch Nederland;2020;110
164;Totaal mannen en vrouwen;Totaal;012 Sportinstructeurs;Caribisch Nederland;2022;310
165;Totaal mannen en vrouwen;Totaal;012 Sportinstructeurs;Bonaire;2014;100
166;Totaal mannen en vrouwen;Totaal;012 Sportinstructeurs;Bonaire;2016;250
167;Totaal mannen en vrouwen;Totaal;012 Sportinstructeurs;Bonaire;2018;150
168;Totaal mannen en vrouwen;Totaal;012 Sportinstructeurs;Bonaire;2020;90
169;Totaal mannen en vrouwen;Totaal;012 Sportinstructeurs;Bonaire;2022;300
170;Totaal mannen en vrouwen;Totaal;012 Sportinstructeurs;Sint-Eustatius;2014;10
171;Totaal mannen en vrouwen;Totaal;012 Sportinstructeurs;Sint-Eustatius;2016;10
172;Totaal mannen en vrouwen;Totaal;012 Sportinstructeurs;Sint-Eustatius;2018;10
173;Totaal mannen en vrouwen;Totaal;012 Sportinstructeurs;Sint-Eustatius;2020;20
174;Totaal mannen en vrouwen;Totaal;012 Sportinstructeurs;Sint-Eustatius;2022;10
175;Totaal mannen en vrouwen;Totaal;012 Sportinstructeurs;Saba;2014;0
176;Totaal mannen en vrouwen;Totaal;012 Sportinstructeurs;Saba;2016;0
177;Totaal mannen en vrouwen;Totaal;012 Sportinstructeurs;Saba;2018;10
178;Totaal mannen en vrouwen;Totaal;012 Sportinstructeurs;Saba;2020;10
179;Totaal mannen en vrouwen;Totaal;012 Sportinstructeurs;Saba;2022;0
180;Totaal mannen en vrouwen;Totaal;013 Leidsters kinderopvang en onderw...;Caribisch Nederland;2014;70
181;Totaal mannen en vrouwen;Totaal;013 Leidsters kinderopvang en onderw...;Caribisch Nederland;2016;340
182;Totaal mannen en vrouwen;Totaal;013 Leidsters kinderopvang en onderw...;Caribisch Nederland;2018;350
183;Totaal mannen en vrouwen;Totaal;013 Leidsters kinderopvang en onderw...;Caribisch Nederland;2020;370
184;Totaal mannen en vrouwen;Totaal;013 Leidsters kinderopvang en onderw...;Caribisch Nederland;2022;520
185;Totaal mannen en vrouwen;Totaal;013 Leidsters kinderopvang en onderw...;Bonaire;2014;50
186;Totaal mannen en vrouwen;Totaal;013 Leidsters kinderopvang en onderw...;Bonaire;2016;290
187;Totaal mannen en vrouwen;Totaal;013 Leidsters kinderopvang en onderw...;Bonaire;2018;290
188;Totaal mannen en vrouwen;Totaal;013 Leidsters kinderopvang en onderw...;Bonaire;2020;280
189;Totaal mannen en vrouwen;Totaal;013 Leidsters kinderopvang en onderw...;Bonaire;2022;430
190;Totaal mannen en vrouwen;Totaal;013 Leidsters kinderopvang en onderw...;Sint-Eustatius;2014;20
191;Totaal mannen en vrouwen;Totaal;013 Leidsters kinderopvang en onderw...;Sint-Eustatius;2016;20
192;Totaal mannen en vrouwen;Totaal;013 Leidsters kinderopvang en onderw...;Sint-Eustatius;2018;20
193;Totaal mannen en vrouwen;Totaal;013 Leidsters kinderopvang en onderw...;Sint-Eustatius;2020;30
194;Totaal mannen en vrouwen;Totaal;013 Leidsters kinderopvang en onderw...;Sint-Eustatius;2022;40
195;Totaal mannen en vrouwen;Totaal;013 Leidsters kinderopvang en onderw...;Saba;2014;10
196;Totaal mannen en vrouwen;Totaal;013 Leidsters kinderopvang en onderw...;Saba;2016;30
197;Totaal mannen en vrouwen;Totaal;013 Leidsters kinderopvang en onderw...;Saba;2018;40
198;Totaal mannen en vrouwen;Totaal;013 Leidsters kinderopvang en onderw...;Saba;2020;60
199;Totaal mannen en vrouwen;Totaal;013 Leidsters kinderopvang en onderw...;Saba;2022;50
200;Totaal mannen en vrouwen;Totaal;02 Creatieve en taalkundige beroepen;Caribisch Nederland;2014;150
201;Totaal mannen en vrouwen;Totaal;02 Creatieve en taalkundige beroepen;Caribisch Nederland;2016;160
202;Totaal mannen en vrouwen;Totaal;02 Creatieve en taalkundige beroepen;Caribisch Nederland;2018;170
203;Totaal mannen en vrouwen;Totaal;02 Creatieve en taalkundige beroepen;Caribisch Nederland;2020;170
204;Totaal mannen en vrouwen;Totaal;02 Creatieve en taalkundige beroepen;Caribisch Nederland;2022;240
205;Totaal mannen en vrouwen;Totaal;02 Creatieve en taalkundige beroepen;Bonaire;2014;90
206;Totaal mannen en vrouwen;Totaal;02 Creatieve en taalkundige beroepen;Bonaire;2016;120
207;Totaal mannen en vrouwen;Totaal;02 Creatieve en taalkundige beroepen;Bonaire;2018;140
208;Totaal mannen en vrouwen;Totaal;02 Creatieve en taalkundige beroepen;Bonaire;2020;140
209;Totaal mannen en vrouwen;Totaal;02 Creatieve en taalkundige beroepen;Bonaire;2022;210
210;Totaal mannen en vrouwen;Totaal;02 Creatieve en taalkundige beroepen;Sint-Eustatius;2014;30
211;Totaal mannen en vrouwen;Totaal;02 Creatieve en taalkundige beroepen;Sint-Eustatius;2016;10
212;Totaal mannen en vrouwen;Totaal;02 Creatieve en taalkundige beroepen;Sint-Eustatius;2018;10
213;Totaal mannen en vrouwen;Totaal;02 Creatieve en taalkundige beroepen;Sint-Eustatius;2020;10
214;Totaal mannen en vrouwen;Totaal;02 Creatieve en taalkundige beroepen;Sint-Eustatius;2022;10
215;Totaal mannen en vrouwen;Totaal;02 Creatieve en taalkundige beroepen;Saba;2014;30
216;Totaal mannen en vrouwen;Totaal;02 Creatieve en taalkundige beroepen;Saba;2016;20
217;Totaal mannen en vrouwen;Totaal;02 Creatieve en taalkundige beroepen;Saba;2018;20
218;Totaal mannen en vrouwen;Totaal;02 Creatieve en taalkundige beroepen;Saba;2020;20
219;Totaal mannen en vrouwen;Totaal;02 Creatieve en taalkundige beroepen;Saba;2022;20
220;Totaal mannen en vrouwen;Totaal;021 Auteurs en kunstenaars;Caribisch Nederland;2014;90
221;Totaal mannen en vrouwen;Totaal;021 Auteurs en kunstenaars;Caribisch Nederland;2016;120
222;Totaal mannen en vrouwen;Totaal;021 Auteurs en kunstenaars;Caribisch Nederland;2018;90
223;Totaal mannen en vrouwen;Totaal;021 Auteurs en kunstenaars;Caribisch Nederland;2020;140
224;Totaal mannen en vrouwen;Totaal;021 Auteurs en kunstenaars;Caribisch Nederland;2022;180
225;Totaal mannen en vrouwen;Totaal;021 Auteurs en kunstenaars;Bonaire;2014;60
226;Totaal mannen en vrouwen;Totaal;021 Auteurs en kunstenaars;Bonaire;2016;90
227;Totaal mannen en vrouwen;Totaal;021 Auteurs en kunstenaars;Bonaire;2018;60
228;Totaal mannen en vrouwen;Totaal;021 Auteurs en kunstenaars;Bonaire;2020;130
229;Totaal mannen en vrouwen;Totaal;021 Auteurs en kunstenaars;Bonaire;2022;160
230;Totaal mannen en vrouwen;Totaal;021 Auteurs en kunstenaars;Sint-Eustatius;2014;10
231;Totaal mannen en vrouwen;Totaal;021 Auteurs en kunstenaars;Sint-Eustatius;2016;10
232;Totaal mannen en vrouwen;Totaal;021 Auteurs en kunstenaars;Sint-Eustatius;2018;10
233;Totaal mannen en vrouwen;Totaal;021 Auteurs en kunstenaars;Sint-Eustatius;2020;0
234;Totaal mannen en vrouwen;Totaal;021 Auteurs en kunstenaars;Sint-Eustatius;2022;10
235;Totaal mannen en vrouwen;Totaal;021 Auteurs en kunstenaars;Saba;2014;20
236;Totaal mannen en vrouwen;Totaal;021 Auteurs en kunstenaars;Saba;2016;20
237;Totaal mannen en vrouwen;Totaal;021 Auteurs en kunstenaars;Saba;2018;20
238;Totaal mannen en vrouwen;Totaal;021 Auteurs en kunstenaars;Saba;2020;10
239;Totaal mannen en vrouwen;Totaal;021 Auteurs en kunstenaars;Saba;2022;10
240;Totaal mannen en vrouwen;Totaal;022 Vakspecialisten op artistiek en ...;Caribisch Nederland;2014;50
241;Totaal mannen en vrouwen;Totaal;022 Vakspecialisten op artistiek en ...;Caribisch Nederland;2016;40
242;Totaal mannen en vrouwen;Totaal;022 Vakspecialisten op artistiek en ...;Caribisch Nederland;2018;90
243;Totaal mannen en vrouwen;Totaal;022 Vakspecialisten op artistiek en ...;Caribisch Nederland;2020;30
244;Totaal mannen en vrouwen;Totaal;022 Vakspecialisten op artistiek en ...;Caribisch Nederland;2022;60
245;Totaal mannen en vrouwen;Totaal;022 Vakspecialisten op artistiek en ...;Bonaire;2014;40
246;Totaal mannen en vrouwen;Totaal;022 Vakspecialisten op artistiek en ...;Bonaire;2016;30
247;Totaal mannen en vrouwen;Totaal;022 Vakspecialisten op artistiek en ...;Bonaire;2018;80
248;Totaal mannen en vrouwen;Totaal;022 Vakspecialisten op artistiek en ...;Bonaire;2020;20
249;Totaal mannen en vrouwen;Totaal;022 Vakspecialisten op artistiek en ...;Bonaire;2022;50
250;Totaal mannen en vrouwen;Totaal;022 Vakspecialisten op artistiek en ...;Sint-Eustatius;2014;10
251;Totaal mannen en vrouwen;Totaal;022 Vakspecialisten op artistiek en ...;Sint-Eustatius;2016;0
252;Totaal mannen en vrouwen;Totaal;022 Vakspecialisten op artistiek en ...;Sint-Eustatius;2018;0
253;Totaal mannen en vrouwen;Totaal;022 Vakspecialisten op artistiek en ...;Sint-Eustatius;2020;10
254;Totaal mannen en vrouwen;Totaal;022 Vakspecialisten op artistiek en ...;Sint-Eustatius;2022;0
255;Totaal mannen en vrouwen;Totaal;022 Vakspecialisten op artistiek en ...;Saba;2014;0
256;Totaal mannen en vrouwen;Totaal;022 Vakspecialisten op artistiek en ...;Saba;2016;0
257;Totaal mannen en vrouwen;Totaal;022 Vakspecialisten op artistiek en ...;Saba;2018;0
258;Totaal mannen en vrouwen;Totaal;022 Vakspecialisten op artistiek en ...;Saba;2020;10
259;Totaal mannen en vrouwen;Totaal;022 Vakspecialisten op artistiek en ...;Saba;2022;10
260;Totaal mannen en vrouwen;Totaal;03 Commerciële beroepen;Caribisch Nederland;2014;1130
261;Totaal mannen en vrouwen;Totaal;03 Commerciële beroepen;Caribisch Nederland;2016;1140
262;Totaal mannen en vrouwen;Totaal;03 Commerciële beroepen;Caribisch Nederland;2018;1000
263;Totaal mannen en vrouwen;Totaal;03 Commerciële beroepen;Caribisch Nederland;2020;1190
264;Totaal mannen en vrouwen;Totaal;03 Commerciële beroepen;Caribisch Nederland;2022;1060
265;Totaal mannen en vrouwen;Totaal;03 Commerciële beroepen;Bonaire;2014;990
266;Totaal mannen en vrouwen;Totaal;03 Commerciële beroepen;Bonaire;2016;990
267;Totaal mannen en vrouwen;Totaal;03 Commerciële beroepen;Bonaire;2018;840
268;Totaal mannen en vrouwen;Totaal;03 Commerciële beroepen;Bonaire;2020;1040
269;Totaal mannen en vrouwen;Totaal;03 Commerciële beroepen;Bonaire;2022;860
270;Totaal mannen en vrouwen;Totaal;03 Commerciële beroepen;Sint-Eustatius;2014;100
271;Totaal mannen en vrouwen;Totaal;03 Commerciële beroepen;Sint-Eustatius;2016;90
272;Totaal mannen en vrouwen;Totaal;03 Commerciële beroepen;Sint-Eustatius;2018;110
273;Totaal mannen en vrouwen;Totaal;03 Commerciële beroepen;Sint-Eustatius;2020;80
274;Totaal mannen en vrouwen;Totaal;03 Commerciële beroepen;Sint-Eustatius;2022;140
275;Totaal mannen en vrouwen;Totaal;03 Commerciële beroepen;Saba;2014;40
276;Totaal mannen en vrouwen;Totaal;03 Commerciële beroepen;Saba;2016;60
277;Totaal mannen en vrouwen;Totaal;03 Commerciële beroepen;Saba;2018;50
278;Totaal mannen en vrouwen;Totaal;03 Commerciële beroepen;Saba;2020;60
279;Totaal mannen en vrouwen;Totaal;03 Commerciële beroepen;Saba;2022;60
