ID;Geslacht;KenmerkenVanPersonen;InkomensgrensHuishouden;DuurInkomenspositie;Perioden;Personen_1;PersonenRelatief_2
35;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2020;809.1;4.9
36;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2021;762.9;4.6
37;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2022;734.6;4.4
38;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2023;774.0;4.6
39;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2011;191.4;1.3
40;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2012;220.0;1.4
41;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2013;238.9;1.6
42;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2014;255.2;1.7
43;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2015;269.6;1.8
44;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2016;283.7;1.8
45;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2017;294.7;1.9
46;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2018;303.8;2.0
47;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2019;314.5;2.0
48;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2020;328.6;2.1
49;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2021;324.5;2.1
50;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2022;317.4;2.0
51;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2023;316.2;2.0
52;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2011;1240.0;7.8
53;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2012;1295.0;8.1
54;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2013;1334.6;8.4
55;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2014;1342.2;8.4
56;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2015;1304.8;8.1
57;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2016;1295.2;8.0
58;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2017;1277.6;7.9
59;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2018;1242.1;7.6
60;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2019;1208.5;7.4
61;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2020;1213.8;7.3
62;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2021;1157.0;7.0
63;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2022;1122.2;6.7
64;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2023;1163.9;6.9
65;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2011;486.9;3.2
66;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2012;532.5;3.5
67;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2013;567.8;3.7
68;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2014;567.5;3.7
69;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2015;575.4;3.7
70;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2016;594.3;3.9
71;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2017;604.4;3.9
72;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2018;608.0;3.9
73;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2019;615.5;3.9
74;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2020;631.0;4.0
75;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2021;619.0;3.9
76;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2022;600.5;3.8
77;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2023;592.8;3.7
78;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2011;1614.2;10.2
79;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2012;1666.7;10.5
80;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2013;1717.5;10.8
81;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2014;1718.5;10.8
82;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2015;1670.0;10.4
83;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2016;1653.6;10.3
84;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2017;1630.1;10.0
85;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2018;1588.6;9.7
86;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2019;1544.8;9.4
87;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2020;1553.1;9.4
88;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2021;1480.3;8.9
89;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2022;1424.3;8.5
90;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2023;1474.8;8.7
91;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2011;768.0;5.0
92;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2012;821.6;5.4
93;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2013;855.6;5.6
94;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2014;830.6;5.4
95;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2015;833.0;5.4
96;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2016;854.2;5.5
97;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2017;862.1;5.6
98;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2018;860.7;5.5
99;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2019;863.8;5.5
100;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2020;876.1;5.6
101;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2021;854.3;5.4
102;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2022;822.2;5.2
103;Totaal mannen en vrouwen;Totaal personen;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2023;810.1;5.1
104;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2011;243.2;8.6
105;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2012;275.5;9.7
106;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2013;296.9;10.6
107;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2014;287.3;10.3
108;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2015;272.5;9.9
109;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2016;250.4;9.2
110;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2017;238.7;8.8
111;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2018;233.7;8.7
112;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2019;217.6;8.1
113;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2020;198.7;7.5
114;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2021;176.6;6.7
115;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2022;139.6;5.3
116;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2023;121.5;4.6
117;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2011;86.7;3.2
118;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2012;93.3;3.4
119;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2013;101.0;3.7
120;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2014;99.4;3.7
121;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2015;104.7;3.9
122;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2016;102.8;3.9
123;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2017;97.1;3.7
124;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2018;92.3;3.6
125;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2019;89.2;3.5
126;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2020;86.9;3.4
127;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2021;78.6;3.1
128;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2022;59.5;2.4
129;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2023;40.3;1.6
130;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2011;181.1;6.4
131;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2012;195.4;6.9
132;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2013;198.5;7.1
133;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2014;199.6;7.2
134;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2015;184.4;6.7
135;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2016;180.7;6.6
136;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2017;169.9;6.3
137;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2018;162.9;6.0
138;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2019;155.0;5.8
139;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2020;153.8;5.8
140;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2021;139.4;5.3
141;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2022;128.5;4.9
142;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2023;136.9;5.2
143;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2011;36.7;1.3
144;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2012;43.2;1.6
145;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2013;47.0;1.7
146;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2014;49.5;1.8
147;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2015;50.6;1.9
148;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2016;52.0;2.0
149;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2017;52.4;2.0
150;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2018;52.2;2.0
151;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2019;51.7;2.0
152;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2020;53.9;2.1
153;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2021;51.0;2.0
154;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2022;46.3;1.8
155;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2023;44.7;1.8
156;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2011;260.1;9.1
157;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2012;272.1;9.6
158;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2013;274.1;9.8
159;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2014;275.5;9.9
160;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2015;258.1;9.4
161;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2016;252.8;9.3
162;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2017;243.8;9.0
163;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2018;235.5;8.7
164;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2019;228.4;8.5
165;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2020;225.3;8.5
166;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2021;211.1;8.0
167;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2022;197.0;7.4
168;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2023;208.3;7.8
169;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2011;93.6;3.4
170;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2012;102.4;3.7
171;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2013;108.6;4.0
172;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2014;106.7;4.0
173;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2015;107.0;4.0
174;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2016;107.7;4.1
175;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2017;106.6;4.1
176;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2018;104.4;4.1
177;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2019;105.3;4.1
178;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2020;108.7;4.3
179;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2021;105.3;4.2
180;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2022;97.8;3.9
181;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2023;94.6;3.8
182;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2011;314.3;11.0
183;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2012;325.8;11.5
184;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2013;327.5;11.7
185;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2014;328.2;11.8
186;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2015;310.2;11.3
187;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2016;302.2;11.1
188;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2017;292.5;10.8
189;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2018;284.3;10.5
190;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2019;275.5;10.3
191;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2020;272.6;10.2
192;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2021;257.4;9.7
193;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2022;239.4;9.0
194;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2023;253.1;9.5
195;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2011;138.2;5.0
196;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2012;146.3;5.3
197;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2013;151.5;5.6
198;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2014;144.8;5.4
199;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2015;145.2;5.5
