ID;Sex;PersonCharacteristics;Periods;MedianDevelopmentPurchasingPower_1;PersonsWithPurchasingPowerDecrease_2;PersonsWithPurchasingPowerIncrease_3;k_20thPercentile_4;k_40thPercentile_5;k_60thPercentile_6;k_80thPercentile_7
19;Total male and female;Age: 0 to 14 years;2019;2.4;35.7;64.3;-5.4;0.8;4.5;12.6
20;Total male and female;Age: 0 to 14 years;2020;4.2;30.5;69.5;-4.8;2.2;6.4;14.1
21;Total male and female;Age: 0 to 14 years;2021;2.7;35.7;64.3;-5.4;0.8;4.8;13.1
22;Total male and female;Age: 0 to 14 years;2022;0.0;49.8;50.2;-7.8;-2.0;2.3;10.1
23;Total male and female;Age: 0 to 14 years;2023;1.2;43.5;56.5;-6.5;-0.7;3.2;9.4
24;Total male and female;Age: 15 to 24 years;2012;-0.3;50.9;49.1;-13.9;-3.2;2.7;12.2
25;Total male and female;Age: 15 to 24 years;2013;0.8;47.3;52.7;-13.3;-2.2;3.8;13.9
26;Total male and female;Age: 15 to 24 years;2014;3.6;38.6;61.4;-10.7;0.5;6.8;17.9
27;Total male and female;Age: 15 to 24 years;2015;3.8;37.8;62.2;-11.0;0.7;7.2;18.5
28;Total male and female;Age: 15 to 24 years;2016;6.0;32.2;67.8;-7.4;2.8;9.5;21.6
29;Total male and female;Age: 15 to 24 years;2017;3.8;37.5;62.5;-8.4;0.8;7.3;19.8
30;Total male and female;Age: 15 to 24 years;2018;4.0;36.9;63.1;-8.2;1.0;7.5;19.4
31;Total male and female;Age: 15 to 24 years;2019;4.9;33.9;66.1;-7.0;1.9;8.4;20.0
32;Total male and female;Age: 15 to 24 years;2020;5.7;33.0;67.0;-7.6;2.5;9.1;20.3
33;Total male and female;Age: 15 to 24 years;2021;4.7;35.0;65.0;-7.6;1.6;8.2;20.2
34;Total male and female;Age: 15 to 24 years;2022;2.1;43.5;56.5;-10.1;-1.1;5.5;16.9
35;Total male and female;Age: 15 to 24 years;2023;3.5;38.5;61.5;-8.4;0.5;6.7;17.1
36;Total male and female;Age: 25 to 44 years;2012;-0.9;54.4;45.6;-11.3;-2.9;1.2;8.6
37;Total male and female;Age: 25 to 44 years;2013;0.0;50.2;49.8;-10.9;-2.1;2.1;9.8
38;Total male and female;Age: 25 to 44 years;2014;2.7;37.2;62.8;-7.9;0.7;4.9;13.6
39;Total male and female;Age: 25 to 44 years;2015;2.3;38.9;61.1;-8.5;0.2;4.6;13.8
40;Total male and female;Age: 25 to 44 years;2016;4.9;30.9;69.1;-5.8;2.5;7.3;17.0
41;Total male and female;Age: 25 to 44 years;2017;1.5;41.4;58.6;-8.2;-0.3;4.0;14.1
42;Total male and female;Age: 25 to 44 years;2018;1.8;41.1;58.9;-8.0;-0.2;4.3;14.4
43;Total male and female;Age: 25 to 44 years;2019;2.5;37.1;62.9;-7.5;0.5;5.0;14.7
44;Total male and female;Age: 25 to 44 years;2020;4.1;32.8;67.2;-7.0;1.9;6.6;16.0
45;Total male and female;Age: 25 to 44 years;2021;2.7;37.3;62.7;-7.4;0.6;5.2;15.6
46;Total male and female;Age: 25 to 44 years;2022;0.1;49.8;50.2;-10.0;-2.2;2.7;12.3
47;Total male and female;Age: 25 to 44 years;2023;0.9;45.3;54.7;-9.0;-1.1;3.1;11.1
48;Total male and female;Age: 45 to 64 years;2012;-1.4;58.6;41.4;-9.6;-3.0;0.3;7.2
49;Total male and female;Age: 45 to 64 years;2013;-0.9;55.0;45.0;-9.7;-2.6;1.0;8.2
50;Total male and female;Age: 45 to 64 years;2014;2.1;38.2;61.8;-6.8;0.4;4.0;12.1
51;Total male and female;Age: 45 to 64 years;2015;1.5;40.0;60.0;-7.2;0.0;3.6;11.7
52;Total male and female;Age: 45 to 64 years;2016;3.2;32.7;67.3;-5.1;1.3;5.4;13.9
53;Total male and female;Age: 45 to 64 years;2017;0.6;45.2;54.8;-7.0;-0.7;2.6;11.6
54;Total male and female;Age: 45 to 64 years;2018;0.5;46.2;53.8;-7.1;-0.7;2.6;11.3
55;Total male and female;Age: 45 to 64 years;2019;1.6;37.9;62.1;-5.9;0.3;3.6;12.4
56;Total male and female;Age: 45 to 64 years;2020;2.7;33.8;66.2;-6.3;1.3;4.9;13.3
57;Total male and female;Age: 45 to 64 years;2021;1.5;40.7;59.3;-6.5;-0.1;3.7;13.1
58;Total male and female;Age: 45 to 64 years;2022;-1.0;54.4;45.6;-9.2;-2.9;1.6;9.6
59;Total male and female;Age: 45 to 64 years;2023;0.1;49.7;50.3;-7.7;-1.8;1.9;9.0
60;Total male and female;Age: 65 years or older;2012;-1.2;70.1;29.9;-4.6;-1.7;-0.7;1.6
61;Total male and female;Age: 65 years or older;2013;-2.8;78.1;21.9;-7.2;-3.8;-1.9;0.3
62;Total male and female;Age: 65 years or older;2014;0.8;37.9;62.1;-3.1;0.2;1.4;3.7
63;Total male and female;Age: 65 years or older;2015;0.1;47.9;52.1;-3.3;-0.5;0.7;2.8
64;Total male and female;Age: 65 years or older;2016;0.8;37.5;62.5;-2.8;0.2;1.4;3.5
65;Total male and female;Age: 65 years or older;2017;-0.1;53.1;46.9;-3.4;-0.7;0.3;2.7
66;Total male and female;Age: 65 years or older;2018;-0.3;60.4;39.6;-3.0;-0.7;0.0;2.8
67;Total male and female;Age: 65 years or older;2019;0.7;31.4;68.6;-1.8;0.4;1.1;4.0
68;Total male and female;Age: 65 years or older;2020;1.2;28.7;71.3;-2.6;0.8;1.6;4.1
69;Total male and female;Age: 65 years or older;2021;-0.3;57.4;42.6;-2.8;-0.6;0.1;4.4
70;Total male and female;Age: 65 years or older;2022;-3.0;70.4;29.6;-5.8;-3.5;-2.3;3.2
71;Total male and female;Age: 65 years or older;2023;-0.6;56.9;43.1;-4.7;-1.4;0.2;3.0
72;Total male and female;Background: Netherlands;2012;-1.0;57.7;42.3;-8.9;-2.4;0.4;6.8
73;Total male and female;Background: Netherlands;2013;-1.0;56.0;44.0;-9.1;-2.7;0.8;7.5
74;Total male and female;Background: Netherlands;2014;1.8;37.5;62.5;-6.1;0.4;3.6;11.0
75;Total male and female;Background: Netherlands;2015;1.2;40.5;59.5;-6.4;-0.1;3.2;10.8
76;Total male and female;Background: Netherlands;2016;2.9;32.2;67.8;-4.3;1.2;5.3;13.3
77;Total male and female;Background: Netherlands;2017;0.6;44.7;55.3;-6.2;-0.6;2.4;10.7
78;Total male and female;Background: Netherlands;2018;0.5;46.1;53.9;-6.1;-0.5;2.5;10.7
79;Total male and female;Background: Netherlands;2019;1.5;35.5;64.5;-5.1;0.4;3.4;11.5
80;Total male and female;Background: Netherlands;2020;2.4;31.7;68.3;-5.2;1.2;4.6;12.6
81;Total male and female;Background: Netherlands;2021;;;;;;;
82;Total male and female;Background: Netherlands;2022;;;;;;;
83;Total male and female;Background: Netherlands;2023;;;;;;;
84;Total male and female;Background: western;2012;-1.2;58.0;42.0;-10.4;-2.6;0.4;8.1
85;Total male and female;Background: western;2013;-1.3;57.1;42.9;-10.8;-3.1;0.7;8.7
86;Total male and female;Background: western;2014;1.9;37.8;62.2;-7.2;0.4;3.8;13.0
87;Total male and female;Background: western;2015;1.3;40.8;59.2;-7.7;-0.1;3.4;12.8
88;Total male and female;Background: western;2016;2.7;33.5;66.5;-5.7;1.1;5.3;15.1
89;Total male and female;Background: western;2017;0.7;44.1;55.9;-7.3;-0.5;2.7;13.0
90;Total male and female;Background: western;2018;0.6;45.6;54.4;-6.9;-0.5;3.0;13.1
91;Total male and female;Background: western;2019;1.5;36.3;63.7;-6.3;0.4;3.8;13.8
92;Total male and female;Background: western;2020;2.3;33.5;66.5;-6.9;1.1;4.8;14.5
93;Total male and female;Background: western;2021;;;;;;;
94;Total male and female;Background: western;2022;;;;;;;
95;Total male and female;Background: western;2023;;;;;;;
96;Total male and female;Background: non-western;2012;-1.8;58.5;41.5;-13.0;-4.0;0.4;9.4
97;Total male and female;Background: non-western;2013;-1.1;55.1;44.9;-12.6;-3.1;1.2;10.5
98;Total male and female;Background: non-western;2014;2.2;38.5;61.5;-8.7;0.4;4.5;14.8
99;Total male and female;Background: non-western;2015;2.0;39.4;60.6;-8.6;0.1;4.5;15.2
100;Total male and female;Background: non-western;2016;3.7;32.4;67.6;-6.5;1.4;6.5;17.5
101;Total male and female;Background: non-western;2017;1.6;38.7;61.3;-7.4;0.2;4.4;16.0
102;Total male and female;Background: non-western;2018;1.5;42.1;57.9;-7.2;-0.2;4.6;16.3
103;Total male and female;Background: non-western;2019;2.3;35.7;64.3;-6.6;0.5;5.3;16.7
104;Total male and female;Background: non-western;2020;3.4;32.1;67.9;-6.6;1.5;6.4;17.8
105;Total male and female;Background: non-western;2021;;;;;;;
106;Total male and female;Background: non-western;2022;;;;;;;
107;Total male and female;Background: non-western;2023;;;;;;;
108;Total male and female;Pos. in hh.: main earner;2012;-1.1;59.9;40.1;-8.0;-2.2;0.0;6.0
109;Total male and female;Pos. in hh.: main earner;2013;-1.4;59.0;41.0;-8.4;-2.8;0.2;6.6
110;Total male and female;Pos. in hh.: main earner;2014;1.7;36.3;63.7;-5.2;0.5;3.0;10.1
111;Total male and female;Pos. in hh.: main earner;2015;1.0;40.0;60.0;-5.4;0.0;2.4;9.7
112;Total male and female;Pos. in hh.: main earner;2016;2.0;32.1;67.9;-3.7;1.0;4.1;11.7
113;Total male and female;Pos. in hh.: main earner;2017;0.4;45.1;54.9;-5.4;-0.5;1.6;9.3
114;Total male and female;Pos. in hh.: main earner;2018;0.1;48.4;51.6;-5.2;-0.5;1.6;9.4
115;Total male and female;Pos. in hh.: main earner;2019;1.1;34.3;65.7;-4.2;0.4;2.6;10.1
116;Total male and female;Pos. in hh.: main earner;2020;2.0;29.8;70.2;-4.1;1.2;3.6;11.2
117;Total male and female;Pos. in hh.: main earner;2021;0.6;44.1;55.9;-4.5;-0.3;2.5;10.9
118;Total male and female;Pos. in hh.: main earner;2022;-1.5;56.4;43.6;-7.1;-2.9;1.0;7.9
119;Total male and female;Pos. in hh.: main earner;2023;0.1;49.6;50.4;-6.1;-1.3;1.4;7.6
120;Total male and female;Pos. in hh.: main earner without partner;2012;-1.1;62.7;37.3;-7.1;-1.9;-0.3;5.1
121;Total male and female;Pos. in hh.: main earner without partner;2013;-1.4;61.9;38.1;-7.8;-2.5;-0.2;5.4
122;Total male and female;Pos. in hh.: main earner without partner;2014;1.6;34.0;66.0;-4.3;0.7;2.5;8.9
123;Total male and female;Pos. in hh.: main earner without partner;2015;1.0;37.3;62.7;-4.3;0.2;1.8;8.5
124;Total male and female;Pos. in hh.: main earner without partner;2016;1.7;30.9;69.1;-3.2;1.0;2.9;9.8
125;Total male and female;Pos. in hh.: main earner without partner;2017;0.4;43.8;56.2;-4.5;-0.3;1.0;7.4
126;Total male and female;Pos. in hh.: main earner without partner;2018;0.0;50.5;49.5;-4.2;-0.4;0.7;7.5
127;Total male and female;Pos. in hh.: main earner without partner;2019;1.0;32.0;68.0;-3.1;0.5;1.7;8.2
128;Total male and female;Pos. in hh.: main earner without partner;2020;1.8;26.6;73.4;-2.7;1.3;2.6;9.2
129;Total male and female;Pos. in hh.: main earner without partner;2021;0.3;45.4;54.6;-3.2;-0.2;1.5;8.8
130;Total male and female;Pos. in hh.: main earner without partner;2022;-1.0;54.0;46.0;-5.5;-2.5;1.9;7.4
131;Total male and female;Pos. in hh.: main earner without partner;2023;0.2;48.6;51.4;-5.1;-1.0;1.3;6.9
132;Total male and female;Pos. in hh.: main earner with partner;2012;-1.1;58.8;41.2;-8.0;-2.4;0.2;5.8
133;Total male and female;Pos. in hh.: main earner with partner;2013;-1.3;57.9;42.1;-8.3;-3.0;0.4;6.3
134;Total male and female;Pos. in hh.: main earner with partner;2014;1.7;37.5;62.5;-5.1;0.3;3.4;9.8
135;Total male and female;Pos. in hh.: main earner with partner;2015;1.0;42.0;58.0;-5.5;-0.2;2.8;9.3
136;Total male and female;Pos. in hh.: main earner with partner;2016;2.6;32.4;67.6;-3.5;1.1;4.8;11.8
137;Total male and female;Pos. in hh.: main earner with partner;2017;0.4;46.4;53.6;-5.5;-0.7;2.0;9.2
138;Total male and female;Pos. in hh.: main earner with partner;2018;0.3;47.3;52.7;-5.3;-0.6;2.2;9.4
139;Total male and female;Pos. in hh.: main earner with partner;2019;1.4;35.6;64.4;-4.3;0.4;3.1;10.2
140;Total male and female;Pos. in hh.: main earner with partner;2020;2.2;31.5;68.5;-4.3;1.0;4.3;11.5
141;Total male and female;Pos. in hh.: main earner with partner;2021;1.0;43.6;56.4;-5.0;-0.3;3.0;10.7
142;Total male and female;Pos. in hh.: main earner with partner;2022;-2.0;59.2;40.8;-7.8;-3.3;0.2;7.3
143;Total male and female;Pos. in hh.: main earner with partner;2023;-0.1;50.8;49.2;-6.4;-1.5;1.3;7.2
144;Total male and female;Pos. in hh.: partner of main earner;2012;-1.1;58.8;41.2;-8.0;-2.4;0.2;5.8
145;Total male and female;Pos. in hh.: partner of main earner;2013;-1.3;57.9;42.1;-8.3;-3.0;0.4;6.3
146;Total male and female;Pos. in hh.: partner of main earner;2014;1.7;37.5;62.5;-5.1;0.3;3.4;9.8
147;Total male and female;Pos. in hh.: partner of main earner;2015;1.0;42.0;58.0;-5.5;-0.2;2.8;9.3
148;Total male and female;Pos. in hh.: partner of main earner;2016;2.6;32.4;67.6;-3.5;1.1;4.8;11.8
149;Total male and female;Pos. in hh.: partner of main earner;2017;0.4;46.4;53.6;-5.5;-0.7;2.0;9.2
150;Total male and female;Pos. in hh.: partner of main earner;2018;0.3;47.3;52.7;-5.3;-0.6;2.2;9.4
151;Total male and female;Pos. in hh.: partner of main earner;2019;1.4;35.6;64.4;-4.3;0.4;3.1;10.2
152;Total male and female;Pos. in hh.: partner of main earner;2020;2.2;31.5;68.5;-4.3;1.0;4.3;11.4
153;Total male and female;Pos. in hh.: partner of main earner;2021;1.0;43.6;56.4;-5.0;-0.3;3.0;10.6
154;Total male and female;Pos. in hh.: partner of main earner;2022;-2.0;59.2;40.8;-7.8;-3.3;0.2;7.2
155;Total male and female;Pos. in hh.: partner of main earner;2023;-0.1;50.8;49.2;-6.4;-1.5;1.3;7.1
156;Total male and female;Pos. in hh.: child underage;2012;-0.7;53.6;46.4;-8.8;-2.5;1.2;7.7
157;Total male and female;Pos. in hh.: child underage;2013;0.1;49.2;50.8;-8.4;-1.7;2.1;8.7
158;Total male and female;Pos. in hh.: child underage;2014;2.9;35.3;64.7;-5.5;1.0;4.9;12.3
159;Total male and female;Pos. in hh.: child underage;2015;2.8;35.9;64.1;-5.9;0.9;4.9;12.5
160;Total male and female;Pos. in hh.: child underage;2016;5.1;27.6;72.4;-3.3;3.0;7.2;15.1
161;Total male and female;Pos. in hh.: child underage;2017;1.9;38.4;61.6;-5.6;0.3;4.1;12.4
162;Total male and female;Pos. in hh.: child underage;2018;2.1;38.4;61.6;-5.5;0.3;4.4;12.6
163;Total male and female;Pos. in hh.: child underage;2019;2.8;34.3;65.7;-4.9;1.0;5.1;13.3
164;Total male and female;Pos. in hh.: child underage;2020;4.5;29.7;70.3;-4.4;2.4;6.8;14.6
165;Total male and female;Pos. in hh.: child underage;2021;3.0;34.6;65.4;-5.0;1.1;5.2;13.7
166;Total male and female;Pos. in hh.: child underage;2022;0.4;48.2;51.8;-7.4;-1.7;2.7;10.8
167;Total male and female;Pos. in hh.: child underage;2023;1.6;42.1;57.9;-6.2;-0.4;3.6;10.1
168;Total male and female;Pos. in hh.: child of age;2012;0.0;50.1;49.9;-9.5;-2.3;2.5;10.3
169;Total male and female;Pos. in hh.: child of age;2013;0.8;46.8;53.2;-8.9;-1.6;3.5;11.9
170;Total male and female;Pos. in hh.: child of age;2014;3.8;35.2;64.8;-6.1;1.2;6.7;15.9
171;Total male and female;Pos. in hh.: child of age;2015;3.9;35.2;64.8;-6.0;1.2;7.0;16.3
172;Total male and female;Pos. in hh.: child of age;2016;6.1;28.9;71.1;-3.9;3.3;9.3;19.2
173;Total male and female;Pos. in hh.: child of age;2017;3.8;35.9;64.1;-5.5;1.0;7.0;17.2
174;Total male and female;Pos. in hh.: child of age;2018;3.9;35.4;64.6;-5.6;1.1;7.1;17.0
175;Total male and female;Pos. in hh.: child of age;2019;4.7;31.9;68.1;-4.7;2.0;7.9;17.8
176;Total male and female;Pos. in hh.: child of age;2020;5.4;30.7;69.3;-5.1;2.6;8.6;18.5
177;Total male and female;Pos. in hh.: child of age;2021;4.7;32.8;67.2;-5.0;1.9;8.0;18.5
178;Total male and female;Pos. in hh.: child of age;2022;1.6;44.5;55.5;-8.0;-1.3;4.9;14.8
179;Total male and female;Pos. in hh.: child of age;2023;3.3;36.8;63.2;-6.0;0.8;6.2;15.1
180;Total male and female;Pos. in hh.: other member;2012;-1.6;57.6;42.4;-12.0;-3.8;0.6;8.8
181;Total male and female;Pos. in hh.: other member;2013;-1.1;55.4;44.6;-11.4;-3.4;1.1;9.7
182;Total male and female;Pos. in hh.: other member;2014;1.9;40.8;59.2;-8.1;-0.2;4.2;13.8
183;Total male and female;Pos. in hh.: other member;2015;1.5;42.5;57.5;-8.5;-0.5;4.1;14.1
184;Total male and female;Pos. in hh.: other member;2016;3.5;35.3;64.7;-6.5;1.2;6.1;16.2
185;Total male and female;Pos. in hh.: other member;2017;1.3;43.3;56.7;-7.6;-0.5;4.2;15.0
186;Total male and female;Pos. in hh.: other member;2018;1.5;42.8;57.2;-7.6;-0.5;4.3;14.7
187;Total male and female;Pos. in hh.: other member;2019;2.4;37.4;62.6;-6.6;0.5;5.1;15.3
188;Total male and female;Pos. in hh.: other member;2020;3.2;35.1;64.9;-7.0;1.2;6.0;16.0
189;Total male and female;Pos. in hh.: other member;2021;2.4;38.5;61.5;-6.9;0.3;5.3;15.8
190;Total male and female;Pos. in hh.: other member;2022;-0.6;52.5;47.5;-9.8;-3.0;2.2;12.5
191;Total male and female;Pos. in hh.: other member;2023;1.3;43.9;56.1;-7.8;-0.8;3.6;12.0
192;Total male and female;SEC: employee;2012;-0.7;54.3;45.7;-8.5;-2.5;1.1;7.1
193;Total male and female;SEC: employee;2013;0.3;48.0;52.0;-7.6;-1.4;2.2;8.7
194;Total male and female;SEC: employee;2014;2.9;34.9;65.1;-5.4;1.1;4.7;11.5
195;Total male and female;SEC: employee;2015;2.5;36.1;63.9;-5.4;0.7;4.5;11.8
196;Total male and female;SEC: employee;2016;4.8;28.0;72.0;-3.2;2.9;6.9;14.5
197;Total male and female;SEC: employee;2017;1.3;42.2;57.8;-6.0;-0.4;3.4;11.3
198;Total male and female;SEC: employee;2018;1.6;40.9;59.1;-5.8;-0.1;3.8;11.7
199;Total male and female;SEC: employee;2019;2.5;35.5;64.5;-5.1;0.8;4.6;12.5
200;Total male and female;SEC: employee;2020;4.1;30.6;69.4;-4.4;2.2;6.2;13.8
201;Total male and female;SEC: employee;2021;2.6;35.4;64.6;-5.1;0.9;4.8;13.1
202;Total male and female;SEC: employee;2022;-0.6;53.2;46.8;-8.1;-2.5;1.6;9.6
203;Total male and female;SEC: employee;2023;0.7;46.5;53.5;-6.7;-1.2;2.7;9.8
204;Total male and female;SEC: self-employed (total);2012;-2.2;55.7;44.3;-19.9;-6.4;1.9;16.9
205;Total male and female;SEC: self-employed (total);2013;-2.7;56.5;43.5;-19.9;-6.8;1.6;17.0
206;Total male and female;SEC: self-employed (total);2014;3.4;41.9;58.1;-13.4;-0.8;8.4;27.9
207;Total male and female;SEC: self-employed (total);2015;1.7;45.8;54.2;-17.1;-2.6;6.2;22.0
208;Total male and female;SEC: self-employed (total);2016;4.7;38.6;61.4;-11.4;0.6;9.5;26.5
209;Total male and female;SEC: self-employed (total);2017;2.4;44.2;55.8;-13.3;-1.6;7.2;24.0
210;Total male and female;SEC: self-employed (total);2018;1.9;45.3;54.7;-14.2;-2.0;6.5;22.0
211;Total male and female;SEC: self-employed (total);2019;2.2;44.4;55.6;-13.8;-1.7;6.7;22.9
212;Total male and female;SEC: self-employed (total);2020;2.8;43.4;56.6;-16.2;-1.7;7.7;23.8
213;Total male and female;SEC: self-employed (total);2021;2.2;44.5;55.5;-13.9;-1.8;7.0;23.6
214;Total male and female;SEC: self-employed (total);2022;-1.3;53.1;46.9;-17.3;-5.2;3.3;19.1
215;Total male and female;SEC: self-employed (total);2023;-1.6;55.9;44.1;-15.2;-4.8;1.2;11.1
216;Total male and female;SEC: benefit recipient and pensioner;2012;-1.2;67.5;32.5;-5.7;-1.9;-0.7;2.7
217;Total male and female;SEC: benefit recipient and pensioner;2013;-2.6;73.8;26.2;-7.9;-3.7;-1.6;1.4
218;Total male and female;SEC: benefit recipient and pensioner;2014;0.9;38.0;62.0;-3.9;0.2;1.7;5.2
219;Total male and female;SEC: benefit recipient and pensioner;2015;0.2;46.1;53.9;-4.1;-0.4;0.9;4.1
220;Total male and female;SEC: benefit recipient and pensioner;2016;1.0;36.8;63.2;-3.3;0.3;1.5;4.8
221;Total male and female;SEC: benefit recipient and pensioner;2017;0.0;50.6;49.4;-3.9;-0.6;0.5;3.7
222;Total male and female;SEC: benefit recipient and pensioner;2018;-0.3;58.7;41.3;-3.5;-0.7;0.1;3.5
223;Total male and female;SEC: benefit recipient and pensioner;2019;0.7;32.3;67.7;-2.2;0.3;1.1;4.5
224;Total male and female;SEC: benefit recipient and pensioner;2020;1.3;28.5;71.5;-2.7;0.9;1.7;4.7
225;Total male and female;SEC: benefit recipient and pensioner;2021;-0.2;55.9;44.1;-3.0;-0.6;0.2;4.8
226;Total male and female;SEC: benefit recipient and pensioner;2022;-2.7;64.6;35.4;-5.5;-3.3;-1.4;4.6
227;Total male and female;SEC: benefit recipient and pensioner;2023;-0.2;52.5;47.5;-4.3;-1.1;0.6;3.8
228;Total male and female;SEC: benefit claimant;2012;-1.5;64.3;35.7;-9.5;-2.6;-0.7;5.3
229;Total male and female;SEC: benefit claimant;2013;-1.7;64.2;35.8;-10.6;-2.8;-0.8;5.6
230;Total male and female;SEC: benefit claimant;2014;1.5;38.1;61.9;-7.0;0.3;2.4;9.7
231;Total male and female;SEC: benefit claimant;2015;0.7;41.9;58.1;-7.2;-0.2;1.7;8.7
232;Total male and female;SEC: benefit claimant;2016;1.3;33.9;66.1;-5.6;0.8;2.5;9.6
233;Total male and female;SEC: benefit claimant;2017;0.4;42.3;57.7;-5.9;-0.2;1.2;8.2
234;Total male and female;SEC: benefit claimant;2018;-0.1;51.4;48.6;-5.8;-0.5;0.7;7.7
235;Total male and female;SEC: benefit claimant;2019;0.7;35.4;64.6;-4.6;0.2;1.6;8.3
236;Total male and female;SEC: benefit claimant;2020;1.7;29.4;70.6;-4.3;1.3;2.4;9.0
237;Total male and female;SEC: benefit claimant;2021;0.1;47.9;52.1;-5.3;-0.3;1.2;8.6
238;Total male and female;SEC: benefit claimant;2022;2.4;42.3;57.7;-6.0;-0.8;4.5;8.1
239;Total male and female;SEC: benefit claimant;2023;1.4;36.2;63.8;-4.3;0.5;2.7;8.4
240;Total male and female;SEC: claiming unemployment benefit;2012;-2.3;60.2;39.8;-14.5;-5.1;0.0;7.1
241;Total male and female;SEC: claiming unemployment benefit;2013;-2.3;59.1;40.9;-15.1;-5.4;0.2;8.0
242;Total male and female;SEC: claiming unemployment benefit;2014;-0.1;50.2;49.8;-13.1;-3.1;2.5;10.4
243;Total male and female;SEC: claiming unemployment benefit;2015;0.2;49.3;50.7;-12.4;-2.6;2.4;10.5
244;Total male and female;SEC: claiming unemployment benefit;2016;1.4;44.2;55.8;-11.1;-1.2;3.7;12.1
245;Total male and female;SEC: claiming unemployment benefit;2017;0.1;49.5;50.5;-11.7;-2.2;2.4;11.3
246;Total male and female;SEC: claiming unemployment benefit;2018;0.2;48.9;51.1;-11.6;-2.0;2.4;10.9
247;Total male and female;SEC: claiming unemployment benefit;2019;0.7;46.8;53.2;-11.8;-1.8;3.0;11.6
248;Total male and female;SEC: claiming unemployment benefit;2020;1.1;46.4;53.6;-13.7;-2.3;3.6;12.2
249;Total male and female;SEC: claiming unemployment benefit;2021;0.7;47.6;52.4;-14.3;-2.6;4.0;14.3
250;Total male and female;SEC: claiming unemployment benefit;2022;-1.9;55.8;44.2;-17.3;-5.6;1.3;10.6
251;Total male and female;SEC: claiming unemployment benefit;2023;-0.9;52.4;47.6;-16.7;-4.7;2.7;10.9
252;Total male and female;SEC: claiming social provision benefit;2012;-1.6;66.3;33.7;-8.3;-2.3;-0.9;5.1
253;Total male and female;SEC: claiming social provision benefit;2013;-1.6;66.0;34.0;-9.6;-2.3;-1.0;5.3
254;Total male and female;SEC: claiming social provision benefit;2014;2.0;30.7;69.3;-4.3;1.3;2.7;10.6
255;Total male and female;SEC: claiming social provision benefit;2015;0.9;36.1;63.9;-5.2;0.3;1.6;8.4
256;Total male and female;SEC: claiming social provision benefit;2016;1.3;30.4;69.6;-4.2;1.0;2.0;8.6
257;Total male and female;SEC: claiming social provision benefit;2017;0.5;36.0;64.0;-3.7;0.2;1.1;7.5
258;Total male and female;SEC: claiming social provision benefit;2018;-0.2;53.9;46.1;-4.3;-0.5;0.4;6.5
259;Total male and female;SEC: claiming social provision benefit;2019;0.6;33.5;66.5;-2.9;0.2;1.1;7.0
260;Total male and female;SEC: claiming social provision benefit;2020;1.7;24.6;75.4;-1.8;1.4;2.1;7.6
261;Total male and female;SEC: claiming social provision benefit;2021;0.0;50.6;49.4;-2.9;-0.3;0.8;7.9
262;Total male and female;SEC: claiming social provision benefit;2022;4.5;28.6;71.4;-3.1;2.9;5.3;8.5
263;Total male and female;SEC: claiming social provision benefit;2023;1.4;32.8;67.2;-2.8;0.7;2.5;8.0
264;Total male and female;SEC: claiming disability benefit;2012;-1.3;63.1;36.9;-8.7;-2.4;-0.4;4.9
