ID;Geslacht;Leeftijd;TypeInstelling;Perioden;AantalUltimoVerslagjaar_1;PercentageUltimoVerslagjaar_2;AantalInVerslagjaar_3;PercentageInVerslagjaar_4;OpnamedagenInVerslagjaar_5
62;Totaal mannen en vrouwen;2;Gehandicaptenzorg;2006;4210;0.43;4520.0;0.47;1513.0
63;Totaal mannen en vrouwen;2;Gehandicaptenzorg;2007;4520;0.46;;;
64;Totaal mannen en vrouwen;2;Gehandicaptenzorg;2008;4650;0.47;5035.0;0.53;1698.0
65;Totaal mannen en vrouwen;2;Gehandicaptenzorg;2009;5110;0.51;5445.0;0.57;1836.0
66;Totaal mannen en vrouwen;2;Geestelijke gezondheidszorg;2004;1035;0.1;1280.0;0.13;345.0
67;Totaal mannen en vrouwen;2;Geestelijke gezondheidszorg;2005;1215;0.12;1485.0;0.15;406.0
68;Totaal mannen en vrouwen;2;Geestelijke gezondheidszorg;2006;1370;0.14;1640.0;0.17;466.0
69;Totaal mannen en vrouwen;2;Geestelijke gezondheidszorg;2007;1225;0.12;;;
70;Totaal mannen en vrouwen;2;Geestelijke gezondheidszorg;2008;1335;0.13;1640.0;0.17;461.0
71;Totaal mannen en vrouwen;2;Geestelijke gezondheidszorg;2009;1485;0.15;1825.0;0.19;506.0
72;Totaal mannen en vrouwen;3;Totaal zorg met verblijf;2004;5850;0.49;6320.0;0.54;2087.0
73;Totaal mannen en vrouwen;3;Totaal zorg met verblijf;2005;5905;0.52;6385.0;0.58;2090.0
74;Totaal mannen en vrouwen;3;Totaal zorg met verblijf;2006;5915;0.55;6415.0;0.61;2113.0
75;Totaal mannen en vrouwen;3;Totaal zorg met verblijf;2007;5725;0.56;;;
76;Totaal mannen en vrouwen;3;Totaal zorg met verblijf;2008;5820;0.58;6400.0;0.65;2103.0
77;Totaal mannen en vrouwen;3;Totaal zorg met verblijf;2009;6260;0.63;6720.0;0.69;2215.0
78;Totaal mannen en vrouwen;3;Verpleging en verzorging;2004;210;0.02;275.0;0.02;76.0
79;Totaal mannen en vrouwen;3;Verpleging en verzorging;2005;180;0.02;250.0;0.02;67.0
80;Totaal mannen en vrouwen;3;Verpleging en verzorging;2006;190;0.02;265.0;0.03;69.0
81;Totaal mannen en vrouwen;3;Verpleging en verzorging;2007;230;0.02;;;
82;Totaal mannen en vrouwen;3;Verpleging en verzorging;2008;250;0.02;335.0;0.03;87.0
83;Totaal mannen en vrouwen;3;Verpleging en verzorging;2009;270;0.03;375.0;0.04;94.0
84;Totaal mannen en vrouwen;3;Gehandicaptenzorg;2004;4490;0.38;4710.0;0.4;1629.0
85;Totaal mannen en vrouwen;3;Gehandicaptenzorg;2005;4430;0.39;4635.0;0.42;1595.0
86;Totaal mannen en vrouwen;3;Gehandicaptenzorg;2006;4295;0.4;4510.0;0.43;1551.0
87;Totaal mannen en vrouwen;3;Gehandicaptenzorg;2007;4170;0.41;;;
88;Totaal mannen en vrouwen;3;Gehandicaptenzorg;2008;4150;0.41;4430.0;0.45;1526.0
89;Totaal mannen en vrouwen;3;Gehandicaptenzorg;2009;4390;0.44;4585.0;0.47;1580.0
90;Totaal mannen en vrouwen;3;Geestelijke gezondheidszorg;2004;1150;0.1;1360.0;0.12;383.0
91;Totaal mannen en vrouwen;3;Geestelijke gezondheidszorg;2005;1295;0.12;1520.0;0.14;429.0
92;Totaal mannen en vrouwen;3;Geestelijke gezondheidszorg;2006;1430;0.13;1665.0;0.16;493.0
93;Totaal mannen en vrouwen;3;Geestelijke gezondheidszorg;2007;1330;0.13;;;
94;Totaal mannen en vrouwen;3;Geestelijke gezondheidszorg;2008;1425;0.14;1685.0;0.17;490.0
95;Totaal mannen en vrouwen;3;Geestelijke gezondheidszorg;2009;1600;0.16;1855.0;0.19;541.0
96;Totaal mannen en vrouwen;4;Totaal zorg met verblijf;2004;7100;0.54;7615.0;0.58;2553.0
97;Totaal mannen en vrouwen;4;Totaal zorg met verblijf;2005;7275;0.56;7770.0;0.6;2591.0
98;Totaal mannen en vrouwen;4;Totaal zorg met verblijf;2006;7520;0.58;7990.0;0.62;2680.0
99;Totaal mannen en vrouwen;4;Totaal zorg met verblijf;2007;7570;0.59;;;
100;Totaal mannen en vrouwen;4;Totaal zorg met verblijf;2008;7360;0.6;8035.0;0.66;2666.0
101;Totaal mannen en vrouwen;4;Totaal zorg met verblijf;2009;7275;0.62;7815.0;0.67;2593.0
102;Totaal mannen en vrouwen;4;Verpleging en verzorging;2004;305;0.02;445.0;0.03;109.0
103;Totaal mannen en vrouwen;4;Verpleging en verzorging;2005;315;0.02;420.0;0.03;111.0
104;Totaal mannen en vrouwen;4;Verpleging en verzorging;2006;315;0.02;440.0;0.03;113.0
105;Totaal mannen en vrouwen;4;Verpleging en verzorging;2007;355;0.03;;;
106;Totaal mannen en vrouwen;4;Verpleging en verzorging;2008;360;0.03;535.0;0.04;124.0
107;Totaal mannen en vrouwen;4;Verpleging en verzorging;2009;365;0.03;540.0;0.05;128.0
108;Totaal mannen en vrouwen;4;Gehandicaptenzorg;2004;5515;0.42;5710.0;0.44;2006.0
109;Totaal mannen en vrouwen;4;Gehandicaptenzorg;2005;5495;0.42;5680.0;0.44;1984.0
110;Totaal mannen en vrouwen;4;Gehandicaptenzorg;2006;5550;0.43;5725.0;0.45;2006.0
111;Totaal mannen en vrouwen;4;Gehandicaptenzorg;2007;5595;0.44;;;
112;Totaal mannen en vrouwen;4;Gehandicaptenzorg;2008;5245;0.42;5555.0;0.46;1940.0
113;Totaal mannen en vrouwen;4;Gehandicaptenzorg;2009;5090;0.43;5260.0;0.45;1834.0
114;Totaal mannen en vrouwen;4;Geestelijke gezondheidszorg;2004;1280;0.1;1500.0;0.12;439.0
115;Totaal mannen en vrouwen;4;Geestelijke gezondheidszorg;2005;1465;0.11;1700.0;0.13;497.0
116;Totaal mannen en vrouwen;4;Geestelijke gezondheidszorg;2006;1655;0.13;1860.0;0.15;561.0
117;Totaal mannen en vrouwen;4;Geestelijke gezondheidszorg;2007;1620;0.13;;;
118;Totaal mannen en vrouwen;4;Geestelijke gezondheidszorg;2008;1755;0.14;2015.0;0.17;602.0
119;Totaal mannen en vrouwen;4;Geestelijke gezondheidszorg;2009;1820;0.15;2100.0;0.18;630.0
120;Totaal mannen en vrouwen;5;Totaal zorg met verblijf;2004;8225;0.63;8795.0;0.68;2950.0
121;Totaal mannen en vrouwen;5;Totaal zorg met verblijf;2005;8440;0.64;8990.0;0.69;3015.0
122;Totaal mannen en vrouwen;5;Totaal zorg met verblijf;2006;8660;0.66;9250.0;0.71;3084.0
123;Totaal mannen en vrouwen;5;Totaal zorg met verblijf;2007;8735;0.67;;;
124;Totaal mannen en vrouwen;5;Totaal zorg met verblijf;2008;8525;0.66;9385.0;0.73;3100.0
125;Totaal mannen en vrouwen;5;Totaal zorg met verblijf;2009;8795;0.68;9470.0;0.74;3133.0
126;Totaal mannen en vrouwen;5;Verpleging en verzorging;2004;455;0.03;670.0;0.05;160.0
127;Totaal mannen en vrouwen;5;Verpleging en verzorging;2005;470;0.04;695.0;0.05;163.0
128;Totaal mannen en vrouwen;5;Verpleging en verzorging;2006;495;0.04;720.0;0.06;168.0
129;Totaal mannen en vrouwen;5;Verpleging en verzorging;2007;540;0.04;;;
130;Totaal mannen en vrouwen;5;Verpleging en verzorging;2008;560;0.04;860.0;0.07;192.0
131;Totaal mannen en vrouwen;5;Verpleging en verzorging;2009;520;0.04;845.0;0.07;184.0
132;Totaal mannen en vrouwen;5;Gehandicaptenzorg;2004;6155;0.47;6315.0;0.49;2244.0
133;Totaal mannen en vrouwen;5;Gehandicaptenzorg;2005;6240;0.47;6385.0;0.49;2260.0
134;Totaal mannen en vrouwen;5;Gehandicaptenzorg;2006;6265;0.48;6440.0;0.49;2269.0
135;Totaal mannen en vrouwen;5;Gehandicaptenzorg;2007;6260;0.48;;;
136;Totaal mannen en vrouwen;5;Gehandicaptenzorg;2008;5960;0.46;6325.0;0.49;2213.0
137;Totaal mannen en vrouwen;5;Gehandicaptenzorg;2009;6120;0.47;6285.0;0.49;2202.0
138;Totaal mannen en vrouwen;5;Geestelijke gezondheidszorg;2004;1615;0.12;1835.0;0.14;546.0
139;Totaal mannen en vrouwen;5;Geestelijke gezondheidszorg;2005;1730;0.13;1955.0;0.15;593.0
140;Totaal mannen en vrouwen;5;Geestelijke gezondheidszorg;2006;1895;0.14;2140.0;0.16;647.0
141;Totaal mannen en vrouwen;5;Geestelijke gezondheidszorg;2007;1940;0.15;;;
142;Totaal mannen en vrouwen;5;Geestelijke gezondheidszorg;2008;2005;0.15;2290.0;0.18;695.0
143;Totaal mannen en vrouwen;5;Geestelijke gezondheidszorg;2009;2160;0.17;2455.0;0.19;747.0
144;Totaal mannen en vrouwen;6;Totaal zorg met verblijf;2004;8295;0.69;8935.0;0.75;2970.0
145;Totaal mannen en vrouwen;6;Totaal zorg met verblijf;2005;8640;0.71;9345.0;0.77;3087.0
146;Totaal mannen en vrouwen;6;Totaal zorg met verblijf;2006;9010;0.73;9790.0;0.8;3233.0
147;Totaal mannen en vrouwen;6;Totaal zorg met verblijf;2007;9300;0.74;;;
148;Totaal mannen en vrouwen;6;Totaal zorg met verblijf;2008;9645;0.76;10655.0;0.84;3475.0
149;Totaal mannen en vrouwen;6;Totaal zorg met verblijf;2009;10130;0.79;11080.0;0.87;3618.0
150;Totaal mannen en vrouwen;6;Verpleging en verzorging;2004;660;0.05;1025.0;0.09;223.0
151;Totaal mannen en vrouwen;6;Verpleging en verzorging;2005;695;0.06;1105.0;0.09;239.0
152;Totaal mannen en vrouwen;6;Verpleging en verzorging;2006;745;0.06;1150.0;0.09;258.0
153;Totaal mannen en vrouwen;6;Verpleging en verzorging;2007;870;0.07;;;
154;Totaal mannen en vrouwen;6;Verpleging en verzorging;2008;875;0.07;1405.0;0.11;300.0
155;Totaal mannen en vrouwen;6;Verpleging en verzorging;2009;890;0.07;1435.0;0.11;312.0
156;Totaal mannen en vrouwen;6;Gehandicaptenzorg;2004;6005;0.5;6150.0;0.51;2182.0
157;Totaal mannen en vrouwen;6;Gehandicaptenzorg;2005;6140;0.5;6290.0;0.52;2229.0
158;Totaal mannen en vrouwen;6;Gehandicaptenzorg;2006;6230;0.5;6430.0;0.52;2268.0
159;Totaal mannen en vrouwen;6;Gehandicaptenzorg;2007;6320;0.5;;;
160;Totaal mannen en vrouwen;6;Gehandicaptenzorg;2008;6410;0.5;6735.0;0.53;2366.0
161;Totaal mannen en vrouwen;6;Gehandicaptenzorg;2009;6670;0.52;6875.0;0.54;2412.0
162;Totaal mannen en vrouwen;6;Geestelijke gezondheidszorg;2004;1630;0.14;1810.0;0.15;565.0
163;Totaal mannen en vrouwen;6;Geestelijke gezondheidszorg;2005;1805;0.15;2005.0;0.16;619.0
164;Totaal mannen en vrouwen;6;Geestelijke gezondheidszorg;2006;2040;0.16;2270.0;0.18;707.0
165;Totaal mannen en vrouwen;6;Geestelijke gezondheidszorg;2007;2110;0.17;;;
166;Totaal mannen en vrouwen;6;Geestelijke gezondheidszorg;2008;2360;0.19;2605.0;0.21;808.0
167;Totaal mannen en vrouwen;6;Geestelijke gezondheidszorg;2009;2575;0.2;2890.0;0.23;894.0
168;Totaal mannen en vrouwen;7;Totaal zorg met verblijf;2004;8280;0.74;9220.0;0.83;2984.0
169;Totaal mannen en vrouwen;7;Totaal zorg met verblijf;2005;8730;0.78;9695.0;0.87;3119.0
170;Totaal mannen en vrouwen;7;Totaal zorg met verblijf;2006;9195;0.81;10235.0;0.9;3299.0
171;Totaal mannen en vrouwen;7;Totaal zorg met verblijf;2007;9615;0.84;;;
172;Totaal mannen en vrouwen;7;Totaal zorg met verblijf;2008;9615;0.83;11045.0;0.96;3513.0
173;Totaal mannen en vrouwen;7;Totaal zorg met verblijf;2009;10155;0.86;11470.0;0.98;3633.0
174;Totaal mannen en vrouwen;7;Verpleging en verzorging;2004;1010;0.09;1650.0;0.15;345.0
175;Totaal mannen en vrouwen;7;Verpleging en verzorging;2005;1085;0.1;1730.0;0.15;360.0
176;Totaal mannen en vrouwen;7;Verpleging en verzorging;2006;1130;0.1;1870.0;0.17;391.0
177;Totaal mannen en vrouwen;7;Verpleging en verzorging;2007;1250;0.11;;;
178;Totaal mannen en vrouwen;7;Verpleging en verzorging;2008;1270;0.11;2170.0;0.19;440.0
179;Totaal mannen en vrouwen;7;Verpleging en verzorging;2009;1330;0.11;2320.0;0.2;468.0
180;Totaal mannen en vrouwen;7;Gehandicaptenzorg;2004;5615;0.5;5795.0;0.52;2052.0
181;Totaal mannen en vrouwen;7;Gehandicaptenzorg;2005;5785;0.52;5970.0;0.53;2108.0
182;Totaal mannen en vrouwen;7;Gehandicaptenzorg;2006;5965;0.53;6140.0;0.54;2174.0
183;Totaal mannen en vrouwen;7;Gehandicaptenzorg;2007;6155;0.54;;;
184;Totaal mannen en vrouwen;7;Gehandicaptenzorg;2008;6065;0.52;6435.0;0.56;2264.0
185;Totaal mannen en vrouwen;7;Gehandicaptenzorg;2009;6300;0.53;6485.0;0.55;2280.0
186;Totaal mannen en vrouwen;7;Geestelijke gezondheidszorg;2004;1655;0.15;1845.0;0.17;587.0
187;Totaal mannen en vrouwen;7;Geestelijke gezondheidszorg;2005;1855;0.17;2055.0;0.18;652.0
188;Totaal mannen en vrouwen;7;Geestelijke gezondheidszorg;2006;2100;0.19;2285.0;0.2;734.0
189;Totaal mannen en vrouwen;7;Geestelijke gezondheidszorg;2007;2205;0.19;;;
190;Totaal mannen en vrouwen;7;Geestelijke gezondheidszorg;2008;2285;0.2;2550.0;0.22;810.0
191;Totaal mannen en vrouwen;7;Geestelijke gezondheidszorg;2009;2530;0.21;2830.0;0.24;885.0
192;Totaal mannen en vrouwen;8;Totaal zorg met verblijf;2004;7880;0.71;9325.0;0.83;2843.0
193;Totaal mannen en vrouwen;8;Totaal zorg met verblijf;2005;8600;0.75;10190.0;0.89;3092.0
194;Totaal mannen en vrouwen;8;Totaal zorg met verblijf;2006;8875;0.8;10555.0;0.95;3190.0
195;Totaal mannen en vrouwen;8;Totaal zorg met verblijf;2007;9245;0.85;;;
196;Totaal mannen en vrouwen;8;Totaal zorg met verblijf;2008;9425;0.87;11355.0;1.05;3426.0
197;Totaal mannen en vrouwen;8;Totaal zorg met verblijf;2009;9995;0.92;11860.0;1.09;3584.0
198;Totaal mannen en vrouwen;8;Verpleging en verzorging;2004;1610;0.14;2760.0;0.25;563.0
199;Totaal mannen en vrouwen;8;Verpleging en verzorging;2005;1800;0.16;3045.0;0.26;616.0
200;Totaal mannen en vrouwen;8;Verpleging en verzorging;2006;1845;0.17;3175.0;0.29;633.0
201;Totaal mannen en vrouwen;8;Verpleging en verzorging;2007;1885;0.17;;;
202;Totaal mannen en vrouwen;8;Verpleging en verzorging;2008;1925;0.18;3395.0;0.31;676.0
203;Totaal mannen en vrouwen;8;Verpleging en verzorging;2009;2015;0.19;3530.0;0.33;691.0
204;Totaal mannen en vrouwen;8;Gehandicaptenzorg;2004;4655;0.42;4845.0;0.43;1708.0
205;Totaal mannen en vrouwen;8;Gehandicaptenzorg;2005;5055;0.44;5260.0;0.46;1853.0
206;Totaal mannen en vrouwen;8;Gehandicaptenzorg;2006;5170;0.47;5400.0;0.48;1896.0
207;Totaal mannen en vrouwen;8;Gehandicaptenzorg;2007;5385;0.49;;;
208;Totaal mannen en vrouwen;8;Gehandicaptenzorg;2008;5420;0.5;5780.0;0.53;2010.0
209;Totaal mannen en vrouwen;8;Gehandicaptenzorg;2009;5700;0.53;5960.0;0.55;2081.0
210;Totaal mannen en vrouwen;8;Geestelijke gezondheidszorg;2004;1610;0.14;1790.0;0.16;572.0
211;Totaal mannen en vrouwen;8;Geestelijke gezondheidszorg;2005;1745;0.15;1960.0;0.17;624.0
212;Totaal mannen en vrouwen;8;Geestelijke gezondheidszorg;2006;1855;0.17;2065.0;0.19;661.0
213;Totaal mannen en vrouwen;8;Geestelijke gezondheidszorg;2007;1975;0.18;;;
214;Totaal mannen en vrouwen;8;Geestelijke gezondheidszorg;2008;2080;0.19;2335.0;0.22;739.0
215;Totaal mannen en vrouwen;8;Geestelijke gezondheidszorg;2009;2280;0.21;2555.0;0.24;812.0
216;Totaal mannen en vrouwen;9;Totaal zorg met verblijf;2004;6110;0.74;8125.0;0.98;2193.0
217;Totaal mannen en vrouwen;9;Totaal zorg met verblijf;2005;6360;0.76;8380.0;0.99;2249.0
218;Totaal mannen en vrouwen;9;Totaal zorg met verblijf;2006;7330;0.79;9745.0;1.05;2616.0
219;Totaal mannen en vrouwen;9;Totaal zorg met verblijf;2007;8285;0.83;;;
220;Totaal mannen en vrouwen;9;Totaal zorg met verblijf;2008;8850;0.85;11840.0;1.13;3200.0
221;Totaal mannen en vrouwen;9;Totaal zorg met verblijf;2009;9535;0.89;12720.0;1.18;3429.0
222;Totaal mannen en vrouwen;9;Verpleging en verzorging;2004;2345;0.28;4155.0;0.5;812.0
223;Totaal mannen en vrouwen;9;Verpleging en verzorging;2005;2460;0.29;4260.0;0.5;826.0
224;Totaal mannen en vrouwen;9;Verpleging en verzorging;2006;2775;0.3;4945.0;0.53;951.0
225;Totaal mannen en vrouwen;9;Verpleging en verzorging;2007;2965;0.3;;;
226;Totaal mannen en vrouwen;9;Verpleging en verzorging;2008;3150;0.3;5745.0;0.55;1076.0
227;Totaal mannen en vrouwen;9;Verpleging en verzorging;2009;3195;0.3;6085.0;0.57;1121.0
228;Totaal mannen en vrouwen;9;Gehandicaptenzorg;2004;2600;0.32;2745.0;0.33;960.0
229;Totaal mannen en vrouwen;9;Gehandicaptenzorg;2005;2725;0.32;2860.0;0.34;1000.0
230;Totaal mannen en vrouwen;9;Gehandicaptenzorg;2006;3200;0.35;3365.0;0.36;1177.0
231;Totaal mannen en vrouwen;9;Gehandicaptenzorg;2007;3750;0.38;;;
232;Totaal mannen en vrouwen;9;Gehandicaptenzorg;2008;4005;0.38;4335.0;0.41;1506.0
233;Totaal mannen en vrouwen;9;Gehandicaptenzorg;2009;4440;0.41;4670.0;0.43;1622.0
234;Totaal mannen en vrouwen;9;Geestelijke gezondheidszorg;2004;1165;0.14;1290.0;0.16;420.0
235;Totaal mannen en vrouwen;9;Geestelijke gezondheidszorg;2005;1180;0.14;1325.0;0.16;423.0
236;Totaal mannen en vrouwen;9;Geestelijke gezondheidszorg;2006;1360;0.15;1510.0;0.16;488.0
237;Totaal mannen en vrouwen;9;Geestelijke gezondheidszorg;2007;1570;0.16;;;
238;Totaal mannen en vrouwen;9;Geestelijke gezondheidszorg;2008;1695;0.16;1915.0;0.18;618.0
239;Totaal mannen en vrouwen;9;Geestelijke gezondheidszorg;2009;1905;0.18;2155.0;0.2;686.0
240;Totaal mannen en vrouwen;65 tot 70 jaar;Totaal zorg met verblijf;2004;7470;1.1;10915.0;1.59;2663.0
241;Totaal mannen en vrouwen;65 tot 70 jaar;Totaal zorg met verblijf;2005;7575;1.09;11140.0;1.58;2680.0
242;Totaal mannen en vrouwen;65 tot 70 jaar;Totaal zorg met verblijf;2006;7695;1.09;11400.0;1.59;2726.0
243;Totaal mannen en vrouwen;65 tot 70 jaar;Totaal zorg met verblijf;2007;7930;1.09;;;
244;Totaal mannen en vrouwen;65 tot 70 jaar;Totaal zorg met verblijf;2008;8105;1.08;12295.0;1.63;2872.0
245;Totaal mannen en vrouwen;65 tot 70 jaar;Totaal zorg met verblijf;2009;8550;1.1;13030.0;1.66;3013.0
246;Totaal mannen en vrouwen;65 tot 70 jaar;Verpleging en verzorging;2004;4330;0.64;7540.0;1.1;1501.0
247;Totaal mannen en vrouwen;65 tot 70 jaar;Verpleging en verzorging;2005;4475;0.64;7775.0;1.1;1524.0
248;Totaal mannen en vrouwen;65 tot 70 jaar;Verpleging en verzorging;2006;4615;0.65;8080.0;1.13;1585.0
249;Totaal mannen en vrouwen;65 tot 70 jaar;Verpleging en verzorging;2007;4510;0.62;;;
250;Totaal mannen en vrouwen;65 tot 70 jaar;Verpleging en verzorging;2008;4660;0.62;8585.0;1.14;1582.0
251;Totaal mannen en vrouwen;65 tot 70 jaar;Verpleging en verzorging;2009;4905;0.63;9170.0;1.17;1674.0
252;Totaal mannen en vrouwen;65 tot 70 jaar;Gehandicaptenzorg;2004;2030;0.3;2195.0;0.32;761.0
253;Totaal mannen en vrouwen;65 tot 70 jaar;Gehandicaptenzorg;2005;1990;0.29;2160.0;0.31;742.0
254;Totaal mannen en vrouwen;65 tot 70 jaar;Gehandicaptenzorg;2006;1955;0.28;2120.0;0.3;728.0
255;Totaal mannen en vrouwen;65 tot 70 jaar;Gehandicaptenzorg;2007;2235;0.31;;;
256;Totaal mannen en vrouwen;65 tot 70 jaar;Gehandicaptenzorg;2008;2265;0.3;2470.0;0.33;851.0
257;Totaal mannen en vrouwen;65 tot 70 jaar;Gehandicaptenzorg;2009;2415;0.31;2575.0;0.33;890.0
258;Totaal mannen en vrouwen;65 tot 70 jaar;Geestelijke gezondheidszorg;2004;1105;0.16;1260.0;0.18;400.0
259;Totaal mannen en vrouwen;65 tot 70 jaar;Geestelijke gezondheidszorg;2005;1115;0.16;1300.0;0.18;413.0
