ID;Zorgfuncties;FinancieringsvormenZorg;Perioden;UitgavenGezondheidsEnWelzijnszorg_1
38;Totaal uitgaven aan zorg en welzijn;HF23: Financiering door ondernemingen;2023;1781.0
39;Totaal uitgaven aan zorg en welzijn;HF3: Eigen betalingen;2021;13311.0
40;Totaal uitgaven aan zorg en welzijn;HF3: Eigen betalingen;2022;15276.0
41;Totaal uitgaven aan zorg en welzijn;HF3: Eigen betalingen;2023;16872.0
42;Totaal uitgaven aan zorg en welzijn;HF31: Directe eigen betalingen;2021;7857.0
43;Totaal uitgaven aan zorg en welzijn;HF31: Directe eigen betalingen;2022;9593.0
44;Totaal uitgaven aan zorg en welzijn;HF31: Directe eigen betalingen;2023;10965.0
45;Totaal uitgaven aan zorg en welzijn;HF32: Eigen risico en bijdragen;2021;5454.0
46;Totaal uitgaven aan zorg en welzijn;HF32: Eigen risico en bijdragen;2022;5684.0
47;Totaal uitgaven aan zorg en welzijn;HF32: Eigen risico en bijdragen;2023;5907.0
48;Totaal uitgaven aan zorg en welzijn;"Buitenland; uitvoer";2021;222.0
49;Totaal uitgaven aan zorg en welzijn;"Buitenland; uitvoer";2022;253.0
50;Totaal uitgaven aan zorg en welzijn;"Buitenland; uitvoer";2023;260.0
51;Welzijnszorg en kinderopvang;Totaal alle financieringsvormen;2021;15018.0
52;Welzijnszorg en kinderopvang;Totaal alle financieringsvormen;2022;17969.0
53;Welzijnszorg en kinderopvang;Totaal alle financieringsvormen;2023;20967.0
54;Welzijnszorg en kinderopvang;Totaal financiering van ingezetenen;2021;15018.0
55;Welzijnszorg en kinderopvang;Totaal financiering van ingezetenen;2022;17969.0
56;Welzijnszorg en kinderopvang;Totaal financiering van ingezetenen;2023;20967.0
57;Welzijnszorg en kinderopvang;HF1: Overheid en soc. verzekering;2021;12145.0
58;Welzijnszorg en kinderopvang;HF1: Overheid en soc. verzekering;2022;14030.0
59;Welzijnszorg en kinderopvang;HF1: Overheid en soc. verzekering;2023;16147.0
60;Welzijnszorg en kinderopvang;HF11: Overheid;2021;12145.0
61;Welzijnszorg en kinderopvang;HF11: Overheid;2022;14030.0
62;Welzijnszorg en kinderopvang;HF11: Overheid;2023;16147.0
63;Welzijnszorg en kinderopvang;HF12: Verplichte premiegeb verzekeringen;2021;0.0
64;Welzijnszorg en kinderopvang;HF12: Verplichte premiegeb verzekeringen;2022;0.0
65;Welzijnszorg en kinderopvang;HF12: Verplichte premiegeb verzekeringen;2023;0.0
66;Welzijnszorg en kinderopvang;HF121a: Wlz, AWBZ;2021;0.0
67;Welzijnszorg en kinderopvang;HF121a: Wlz, AWBZ;2022;0.0
68;Welzijnszorg en kinderopvang;HF121a: Wlz, AWBZ;2023;0.0
69;Welzijnszorg en kinderopvang;HF121b: Ziekenfonds;2021;
70;Welzijnszorg en kinderopvang;HF121b: Ziekenfonds;2022;
71;Welzijnszorg en kinderopvang;HF121b: Ziekenfonds;2023;
72;Welzijnszorg en kinderopvang;HF122: Zorgverzekeringswet;2021;0.0
73;Welzijnszorg en kinderopvang;HF122: Zorgverzekeringswet;2022;0.0
74;Welzijnszorg en kinderopvang;HF122: Zorgverzekeringswet;2023;0.0
75;Welzijnszorg en kinderopvang;Vrijwillige financiering, eigen betaling;2021;2873.0
76;Welzijnszorg en kinderopvang;Vrijwillige financiering, eigen betaling;2022;3939.0
77;Welzijnszorg en kinderopvang;Vrijwillige financiering, eigen betaling;2023;4821.0
78;Welzijnszorg en kinderopvang;HF2: Vrijwillige financieringsvormen;2021;590.0
79;Welzijnszorg en kinderopvang;HF2: Vrijwillige financieringsvormen;2022;651.0
80;Welzijnszorg en kinderopvang;HF2: Vrijwillige financieringsvormen;2023;691.0
81;Welzijnszorg en kinderopvang;HF21:Vrijwillige ziektekostenverzekering;2021;0.0
82;Welzijnszorg en kinderopvang;HF21:Vrijwillige ziektekostenverzekering;2022;0.0
83;Welzijnszorg en kinderopvang;HF21:Vrijwillige ziektekostenverzekering;2023;0.0
84;Welzijnszorg en kinderopvang;HF22: Financiering door IZWH;2021;175.0
85;Welzijnszorg en kinderopvang;HF22: Financiering door IZWH;2022;197.0
86;Welzijnszorg en kinderopvang;HF22: Financiering door IZWH;2023;201.0
87;Welzijnszorg en kinderopvang;HF23: Financiering door ondernemingen;2021;414.0
88;Welzijnszorg en kinderopvang;HF23: Financiering door ondernemingen;2022;454.0
89;Welzijnszorg en kinderopvang;HF23: Financiering door ondernemingen;2023;490.0
90;Welzijnszorg en kinderopvang;HF3: Eigen betalingen;2021;2283.0
91;Welzijnszorg en kinderopvang;HF3: Eigen betalingen;2022;3288.0
92;Welzijnszorg en kinderopvang;HF3: Eigen betalingen;2023;4130.0
93;Welzijnszorg en kinderopvang;HF31: Directe eigen betalingen;2021;2283.0
94;Welzijnszorg en kinderopvang;HF31: Directe eigen betalingen;2022;3288.0
95;Welzijnszorg en kinderopvang;HF31: Directe eigen betalingen;2023;4130.0
96;Welzijnszorg en kinderopvang;HF32: Eigen risico en bijdragen;2021;0.0
97;Welzijnszorg en kinderopvang;HF32: Eigen risico en bijdragen;2022;0.0
98;Welzijnszorg en kinderopvang;HF32: Eigen risico en bijdragen;2023;0.0
99;Welzijnszorg en kinderopvang;"Buitenland; uitvoer";2021;0.0
100;Welzijnszorg en kinderopvang;"Buitenland; uitvoer";2022;0.0
101;Welzijnszorg en kinderopvang;"Buitenland; uitvoer";2023;0.0
102;Onderwijs, R&D, overige diensten;Totaal alle financieringsvormen;2021;3238.0
103;Onderwijs, R&D, overige diensten;Totaal alle financieringsvormen;2022;3288.0
104;Onderwijs, R&D, overige diensten;Totaal alle financieringsvormen;2023;3544.0
105;Onderwijs, R&D, overige diensten;Totaal financiering van ingezetenen;2021;3120.0
106;Onderwijs, R&D, overige diensten;Totaal financiering van ingezetenen;2022;3171.0
107;Onderwijs, R&D, overige diensten;Totaal financiering van ingezetenen;2023;3424.0
108;Onderwijs, R&D, overige diensten;HF1: Overheid en soc. verzekering;2021;2791.0
109;Onderwijs, R&D, overige diensten;HF1: Overheid en soc. verzekering;2022;2844.0
110;Onderwijs, R&D, overige diensten;HF1: Overheid en soc. verzekering;2023;3087.0
111;Onderwijs, R&D, overige diensten;HF11: Overheid;2021;1128.0
112;Onderwijs, R&D, overige diensten;HF11: Overheid;2022;1080.0
113;Onderwijs, R&D, overige diensten;HF11: Overheid;2023;1144.0
114;Onderwijs, R&D, overige diensten;HF12: Verplichte premiegeb verzekeringen;2021;1663.0
115;Onderwijs, R&D, overige diensten;HF12: Verplichte premiegeb verzekeringen;2022;1764.0
116;Onderwijs, R&D, overige diensten;HF12: Verplichte premiegeb verzekeringen;2023;1943.0
117;Onderwijs, R&D, overige diensten;HF121a: Wlz, AWBZ;2021;140.0
118;Onderwijs, R&D, overige diensten;HF121a: Wlz, AWBZ;2022;152.0
119;Onderwijs, R&D, overige diensten;HF121a: Wlz, AWBZ;2023;169.0
120;Onderwijs, R&D, overige diensten;HF121b: Ziekenfonds;2021;
121;Onderwijs, R&D, overige diensten;HF121b: Ziekenfonds;2022;
122;Onderwijs, R&D, overige diensten;HF121b: Ziekenfonds;2023;
123;Onderwijs, R&D, overige diensten;HF122: Zorgverzekeringswet;2021;1522.0
124;Onderwijs, R&D, overige diensten;HF122: Zorgverzekeringswet;2022;1612.0
125;Onderwijs, R&D, overige diensten;HF122: Zorgverzekeringswet;2023;1774.0
126;Onderwijs, R&D, overige diensten;Vrijwillige financiering, eigen betaling;2021;329.0
127;Onderwijs, R&D, overige diensten;Vrijwillige financiering, eigen betaling;2022;327.0
128;Onderwijs, R&D, overige diensten;Vrijwillige financiering, eigen betaling;2023;336.0
129;Onderwijs, R&D, overige diensten;HF2: Vrijwillige financieringsvormen;2021;329.0
130;Onderwijs, R&D, overige diensten;HF2: Vrijwillige financieringsvormen;2022;327.0
131;Onderwijs, R&D, overige diensten;HF2: Vrijwillige financieringsvormen;2023;336.0
132;Onderwijs, R&D, overige diensten;HF21:Vrijwillige ziektekostenverzekering;2021;0.0
133;Onderwijs, R&D, overige diensten;HF21:Vrijwillige ziektekostenverzekering;2022;0.0
134;Onderwijs, R&D, overige diensten;HF21:Vrijwillige ziektekostenverzekering;2023;0.0
135;Onderwijs, R&D, overige diensten;HF22: Financiering door IZWH;2021;162.0
136;Onderwijs, R&D, overige diensten;HF22: Financiering door IZWH;2022;161.0
137;Onderwijs, R&D, overige diensten;HF22: Financiering door IZWH;2023;166.0
138;Onderwijs, R&D, overige diensten;HF23: Financiering door ondernemingen;2021;167.0
139;Onderwijs, R&D, overige diensten;HF23: Financiering door ondernemingen;2022;166.0
140;Onderwijs, R&D, overige diensten;HF23: Financiering door ondernemingen;2023;170.0
141;Onderwijs, R&D, overige diensten;HF3: Eigen betalingen;2021;0.0
142;Onderwijs, R&D, overige diensten;HF3: Eigen betalingen;2022;0.0
143;Onderwijs, R&D, overige diensten;HF3: Eigen betalingen;2023;0.0
144;Onderwijs, R&D, overige diensten;HF31: Directe eigen betalingen;2021;0.0
145;Onderwijs, R&D, overige diensten;HF31: Directe eigen betalingen;2022;0.0
146;Onderwijs, R&D, overige diensten;HF31: Directe eigen betalingen;2023;0.0
147;Onderwijs, R&D, overige diensten;HF32: Eigen risico en bijdragen;2021;0.0
148;Onderwijs, R&D, overige diensten;HF32: Eigen risico en bijdragen;2022;0.0
149;Onderwijs, R&D, overige diensten;HF32: Eigen risico en bijdragen;2023;0.0
150;Onderwijs, R&D, overige diensten;"Buitenland; uitvoer";2021;118.0
151;Onderwijs, R&D, overige diensten;"Buitenland; uitvoer";2022;117.0
152;Onderwijs, R&D, overige diensten;"Buitenland; uitvoer";2023;120.0
153;Uitgaven gezondheidszorg;Totaal alle financieringsvormen;2021;100287.0
154;Uitgaven gezondheidszorg;Totaal alle financieringsvormen;2022;100743.0
155;Uitgaven gezondheidszorg;Totaal alle financieringsvormen;2023;106499.0
156;Uitgaven gezondheidszorg;Totaal financiering van ingezetenen;2021;100183.0
157;Uitgaven gezondheidszorg;Totaal financiering van ingezetenen;2022;100607.0
158;Uitgaven gezondheidszorg;Totaal financiering van ingezetenen;2023;106359.0
159;Uitgaven gezondheidszorg;HF1: Overheid en soc. verzekering;2021;84279.0
160;Uitgaven gezondheidszorg;HF1: Overheid en soc. verzekering;2022;83775.0
161;Uitgaven gezondheidszorg;HF1: Overheid en soc. verzekering;2023;88424.0
162;Uitgaven gezondheidszorg;HF11: Overheid;2021;14116.0
163;Uitgaven gezondheidszorg;HF11: Overheid;2022;11184.0
164;Uitgaven gezondheidszorg;HF11: Overheid;2023;9636.0
165;Uitgaven gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2021;70163.0
166;Uitgaven gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2022;72591.0
167;Uitgaven gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2023;78788.0
168;Uitgaven gezondheidszorg;HF121a: Wlz, AWBZ;2021;21916.0
169;Uitgaven gezondheidszorg;HF121a: Wlz, AWBZ;2022;23052.0
170;Uitgaven gezondheidszorg;HF121a: Wlz, AWBZ;2023;25489.0
171;Uitgaven gezondheidszorg;HF121b: Ziekenfonds;2021;
172;Uitgaven gezondheidszorg;HF121b: Ziekenfonds;2022;
173;Uitgaven gezondheidszorg;HF121b: Ziekenfonds;2023;
174;Uitgaven gezondheidszorg;HF122: Zorgverzekeringswet;2021;48247.0
175;Uitgaven gezondheidszorg;HF122: Zorgverzekeringswet;2022;49538.0
176;Uitgaven gezondheidszorg;HF122: Zorgverzekeringswet;2023;53300.0
177;Uitgaven gezondheidszorg;Vrijwillige financiering, eigen betaling;2021;15904.0
178;Uitgaven gezondheidszorg;Vrijwillige financiering, eigen betaling;2022;16832.0
179;Uitgaven gezondheidszorg;Vrijwillige financiering, eigen betaling;2023;17935.0
180;Uitgaven gezondheidszorg;HF2: Vrijwillige financieringsvormen;2021;5243.0
181;Uitgaven gezondheidszorg;HF2: Vrijwillige financieringsvormen;2022;5230.0
182;Uitgaven gezondheidszorg;HF2: Vrijwillige financieringsvormen;2023;5594.0
183;Uitgaven gezondheidszorg;HF21:Vrijwillige ziektekostenverzekering;2021;4127.0
184;Uitgaven gezondheidszorg;HF21:Vrijwillige ziektekostenverzekering;2022;4135.0
185;Uitgaven gezondheidszorg;HF21:Vrijwillige ziektekostenverzekering;2023;4422.0
186;Uitgaven gezondheidszorg;HF22: Financiering door IZWH;2021;44.0
187;Uitgaven gezondheidszorg;HF22: Financiering door IZWH;2022;46.0
188;Uitgaven gezondheidszorg;HF22: Financiering door IZWH;2023;51.0
189;Uitgaven gezondheidszorg;HF23: Financiering door ondernemingen;2021;1072.0
190;Uitgaven gezondheidszorg;HF23: Financiering door ondernemingen;2022;1049.0
191;Uitgaven gezondheidszorg;HF23: Financiering door ondernemingen;2023;1121.0
192;Uitgaven gezondheidszorg;HF3: Eigen betalingen;2021;10662.0
193;Uitgaven gezondheidszorg;HF3: Eigen betalingen;2022;11602.0
194;Uitgaven gezondheidszorg;HF3: Eigen betalingen;2023;12341.0
195;Uitgaven gezondheidszorg;HF31: Directe eigen betalingen;2021;5574.0
196;Uitgaven gezondheidszorg;HF31: Directe eigen betalingen;2022;6305.0
197;Uitgaven gezondheidszorg;HF31: Directe eigen betalingen;2023;6835.0
198;Uitgaven gezondheidszorg;HF32: Eigen risico en bijdragen;2021;5088.0
199;Uitgaven gezondheidszorg;HF32: Eigen risico en bijdragen;2022;5297.0
200;Uitgaven gezondheidszorg;HF32: Eigen risico en bijdragen;2023;5506.0
201;Uitgaven gezondheidszorg;"Buitenland; uitvoer";2021;104.0
202;Uitgaven gezondheidszorg;"Buitenland; uitvoer";2022;136.0
203;Uitgaven gezondheidszorg;"Buitenland; uitvoer";2023;140.0
204;Totaal gezondheidsverwante uitgaven;Totaal alle financieringsvormen;2021;10517.0
205;Totaal gezondheidsverwante uitgaven;Totaal alle financieringsvormen;2022;10858.0
206;Totaal gezondheidsverwante uitgaven;Totaal alle financieringsvormen;2023;11813.0
207;Totaal gezondheidsverwante uitgaven;Totaal financiering van ingezetenen;2021;10517.0
208;Totaal gezondheidsverwante uitgaven;Totaal financiering van ingezetenen;2022;10858.0
209;Totaal gezondheidsverwante uitgaven;Totaal financiering van ingezetenen;2023;11813.0
210;Totaal gezondheidsverwante uitgaven;HF1: Overheid en soc. verzekering;2021;10152.0
211;Totaal gezondheidsverwante uitgaven;HF1: Overheid en soc. verzekering;2022;10472.0
212;Totaal gezondheidsverwante uitgaven;HF1: Overheid en soc. verzekering;2023;11412.0
213;Totaal gezondheidsverwante uitgaven;HF11: Overheid;2021;5470.0
214;Totaal gezondheidsverwante uitgaven;HF11: Overheid;2022;5328.0
215;Totaal gezondheidsverwante uitgaven;HF11: Overheid;2023;5703.0
216;Totaal gezondheidsverwante uitgaven;HF12: Verplichte premiegeb verzekeringen;2021;4681.0
217;Totaal gezondheidsverwante uitgaven;HF12: Verplichte premiegeb verzekeringen;2022;5144.0
218;Totaal gezondheidsverwante uitgaven;HF12: Verplichte premiegeb verzekeringen;2023;5709.0
219;Totaal gezondheidsverwante uitgaven;HF121a: Wlz, AWBZ;2021;4681.0
220;Totaal gezondheidsverwante uitgaven;HF121a: Wlz, AWBZ;2022;5144.0
221;Totaal gezondheidsverwante uitgaven;HF121a: Wlz, AWBZ;2023;5709.0
222;Totaal gezondheidsverwante uitgaven;HF121b: Ziekenfonds;2021;
223;Totaal gezondheidsverwante uitgaven;HF121b: Ziekenfonds;2022;
224;Totaal gezondheidsverwante uitgaven;HF121b: Ziekenfonds;2023;
225;Totaal gezondheidsverwante uitgaven;HF122: Zorgverzekeringswet;2021;0.0
226;Totaal gezondheidsverwante uitgaven;HF122: Zorgverzekeringswet;2022;0.0
227;Totaal gezondheidsverwante uitgaven;HF122: Zorgverzekeringswet;2023;0.0
228;Totaal gezondheidsverwante uitgaven;Vrijwillige financiering, eigen betaling;2021;365.0
229;Totaal gezondheidsverwante uitgaven;Vrijwillige financiering, eigen betaling;2022;386.0
230;Totaal gezondheidsverwante uitgaven;Vrijwillige financiering, eigen betaling;2023;401.0
231;Totaal gezondheidsverwante uitgaven;HF2: Vrijwillige financieringsvormen;2021;0.0
232;Totaal gezondheidsverwante uitgaven;HF2: Vrijwillige financieringsvormen;2022;0.0
233;Totaal gezondheidsverwante uitgaven;HF2: Vrijwillige financieringsvormen;2023;0.0
234;Totaal gezondheidsverwante uitgaven;HF21:Vrijwillige ziektekostenverzekering;2021;0.0
235;Totaal gezondheidsverwante uitgaven;HF21:Vrijwillige ziektekostenverzekering;2022;0.0
236;Totaal gezondheidsverwante uitgaven;HF21:Vrijwillige ziektekostenverzekering;2023;0.0
237;Totaal gezondheidsverwante uitgaven;HF22: Financiering door IZWH;2021;0.0
238;Totaal gezondheidsverwante uitgaven;HF22: Financiering door IZWH;2022;0.0
239;Totaal gezondheidsverwante uitgaven;HF22: Financiering door IZWH;2023;0.0
240;Totaal gezondheidsverwante uitgaven;HF23: Financiering door ondernemingen;2021;0.0
241;Totaal gezondheidsverwante uitgaven;HF23: Financiering door ondernemingen;2022;0.0
242;Totaal gezondheidsverwante uitgaven;HF23: Financiering door ondernemingen;2023;0.0
243;Totaal gezondheidsverwante uitgaven;HF3: Eigen betalingen;2021;365.0
244;Totaal gezondheidsverwante uitgaven;HF3: Eigen betalingen;2022;386.0
245;Totaal gezondheidsverwante uitgaven;HF3: Eigen betalingen;2023;401.0
246;Totaal gezondheidsverwante uitgaven;HF31: Directe eigen betalingen;2021;0.0
247;Totaal gezondheidsverwante uitgaven;HF31: Directe eigen betalingen;2022;0.0
248;Totaal gezondheidsverwante uitgaven;HF31: Directe eigen betalingen;2023;0.0
249;Totaal gezondheidsverwante uitgaven;HF32: Eigen risico en bijdragen;2021;365.0
250;Totaal gezondheidsverwante uitgaven;HF32: Eigen risico en bijdragen;2022;386.0
251;Totaal gezondheidsverwante uitgaven;HF32: Eigen risico en bijdragen;2023;401.0
252;Totaal gezondheidsverwante uitgaven;"Buitenland; uitvoer";2021;0.0
253;Totaal gezondheidsverwante uitgaven;"Buitenland; uitvoer";2022;0.0
254;Totaal gezondheidsverwante uitgaven;"Buitenland; uitvoer";2023;0.0
255;HCR1: Langdurige zorg (welzijn);Totaal alle financieringsvormen;2021;10517.0
256;HCR1: Langdurige zorg (welzijn);Totaal alle financieringsvormen;2022;10858.0
257;HCR1: Langdurige zorg (welzijn);Totaal alle financieringsvormen;2023;11813.0
258;HCR1: Langdurige zorg (welzijn);Totaal financiering van ingezetenen;2021;10517.0
259;HCR1: Langdurige zorg (welzijn);Totaal financiering van ingezetenen;2022;10858.0
260;HCR1: Langdurige zorg (welzijn);Totaal financiering van ingezetenen;2023;11813.0
261;HCR1: Langdurige zorg (welzijn);HF1: Overheid en soc. verzekering;2021;10152.0
262;HCR1: Langdurige zorg (welzijn);HF1: Overheid en soc. verzekering;2022;10472.0
263;HCR1: Langdurige zorg (welzijn);HF1: Overheid en soc. verzekering;2023;11412.0
264;HCR1: Langdurige zorg (welzijn);HF11: Overheid;2021;5470.0
265;HCR1: Langdurige zorg (welzijn);HF11: Overheid;2022;5328.0
266;HCR1: Langdurige zorg (welzijn);HF11: Overheid;2023;5703.0
267;HCR1: Langdurige zorg (welzijn);HF12: Verplichte premiegeb verzekeringen;2021;4681.0
268;HCR1: Langdurige zorg (welzijn);HF12: Verplichte premiegeb verzekeringen;2022;5144.0
269;HCR1: Langdurige zorg (welzijn);HF12: Verplichte premiegeb verzekeringen;2023;5709.0
270;HCR1: Langdurige zorg (welzijn);HF121a: Wlz, AWBZ;2021;4681.0
271;HCR1: Langdurige zorg (welzijn);HF121a: Wlz, AWBZ;2022;5144.0
272;HCR1: Langdurige zorg (welzijn);HF121a: Wlz, AWBZ;2023;5709.0
273;HCR1: Langdurige zorg (welzijn);HF121b: Ziekenfonds;2021;
274;HCR1: Langdurige zorg (welzijn);HF121b: Ziekenfonds;2022;
275;HCR1: Langdurige zorg (welzijn);HF121b: Ziekenfonds;2023;
276;HCR1: Langdurige zorg (welzijn);HF122: Zorgverzekeringswet;2021;0.0
277;HCR1: Langdurige zorg (welzijn);HF122: Zorgverzekeringswet;2022;0.0
278;HCR1: Langdurige zorg (welzijn);HF122: Zorgverzekeringswet;2023;0.0
279;HCR1: Langdurige zorg (welzijn);Vrijwillige financiering, eigen betaling;2021;365.0
280;HCR1: Langdurige zorg (welzijn);Vrijwillige financiering, eigen betaling;2022;386.0
281;HCR1: Langdurige zorg (welzijn);Vrijwillige financiering, eigen betaling;2023;401.0
282;HCR1: Langdurige zorg (welzijn);HF2: Vrijwillige financieringsvormen;2021;0.0
283;HCR1: Langdurige zorg (welzijn);HF2: Vrijwillige financieringsvormen;2022;0.0
284;HCR1: Langdurige zorg (welzijn);HF2: Vrijwillige financieringsvormen;2023;0.0
285;HCR1: Langdurige zorg (welzijn);HF21:Vrijwillige ziektekostenverzekering;2021;0.0
286;HCR1: Langdurige zorg (welzijn);HF21:Vrijwillige ziektekostenverzekering;2022;0.0
287;HCR1: Langdurige zorg (welzijn);HF21:Vrijwillige ziektekostenverzekering;2023;0.0
288;HCR1: Langdurige zorg (welzijn);HF22: Financiering door IZWH;2021;0.0
289;HCR1: Langdurige zorg (welzijn);HF22: Financiering door IZWH;2022;0.0
290;HCR1: Langdurige zorg (welzijn);HF22: Financiering door IZWH;2023;0.0
291;HCR1: Langdurige zorg (welzijn);HF23: Financiering door ondernemingen;2021;0.0
292;HCR1: Langdurige zorg (welzijn);HF23: Financiering door ondernemingen;2022;0.0
293;HCR1: Langdurige zorg (welzijn);HF23: Financiering door ondernemingen;2023;0.0
294;HCR1: Langdurige zorg (welzijn);HF3: Eigen betalingen;2021;365.0
295;HCR1: Langdurige zorg (welzijn);HF3: Eigen betalingen;2022;386.0
296;HCR1: Langdurige zorg (welzijn);HF3: Eigen betalingen;2023;401.0
297;HCR1: Langdurige zorg (welzijn);HF31: Directe eigen betalingen;2021;0.0
298;HCR1: Langdurige zorg (welzijn);HF31: Directe eigen betalingen;2022;0.0
299;HCR1: Langdurige zorg (welzijn);HF31: Directe eigen betalingen;2023;0.0
300;HCR1: Langdurige zorg (welzijn);HF32: Eigen risico en bijdragen;2021;365.0
301;HCR1: Langdurige zorg (welzijn);HF32: Eigen risico en bijdragen;2022;386.0
302;HCR1: Langdurige zorg (welzijn);HF32: Eigen risico en bijdragen;2023;401.0
303;HCR1: Langdurige zorg (welzijn);"Buitenland; uitvoer";2021;0.0
304;HCR1: Langdurige zorg (welzijn);"Buitenland; uitvoer";2022;0.0
305;HCR1: Langdurige zorg (welzijn);"Buitenland; uitvoer";2023;0.0
306;HCR11: Langdurige zorg,welzijn,in natura;Totaal alle financieringsvormen;2021;8825.0
307;HCR11: Langdurige zorg,welzijn,in natura;Totaal alle financieringsvormen;2022;9134.0
308;HCR11: Langdurige zorg,welzijn,in natura;Totaal alle financieringsvormen;2023;9989.0
309;HCR11: Langdurige zorg,welzijn,in natura;Totaal financiering van ingezetenen;2021;8825.0
310;HCR11: Langdurige zorg,welzijn,in natura;Totaal financiering van ingezetenen;2022;9134.0
311;HCR11: Langdurige zorg,welzijn,in natura;Totaal financiering van ingezetenen;2023;9989.0
312;HCR11: Langdurige zorg,welzijn,in natura;HF1: Overheid en soc. verzekering;2021;8469.0
313;HCR11: Langdurige zorg,welzijn,in natura;HF1: Overheid en soc. verzekering;2022;8756.0
314;HCR11: Langdurige zorg,welzijn,in natura;HF1: Overheid en soc. verzekering;2023;9594.0
315;HCR11: Langdurige zorg,welzijn,in natura;HF11: Overheid;2021;5165.0
316;HCR11: Langdurige zorg,welzijn,in natura;HF11: Overheid;2022;5087.0
317;HCR11: Langdurige zorg,welzijn,in natura;HF11: Overheid;2023;5472.0
318;HCR11: Langdurige zorg,welzijn,in natura;HF12: Verplichte premiegeb verzekeringen;2021;3304.0
319;HCR11: Langdurige zorg,welzijn,in natura;HF12: Verplichte premiegeb verzekeringen;2022;3669.0
320;HCR11: Langdurige zorg,welzijn,in natura;HF12: Verplichte premiegeb verzekeringen;2023;4123.0
321;HCR11: Langdurige zorg,welzijn,in natura;HF121a: Wlz, AWBZ;2021;3304.0
