ID;TypeGefailleerde;RegioS;Perioden;UitgesprokenFaillissementen_1
1771;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2015 november;229
1772;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2015 december;256
1773;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2015 4e kwartaal;689
1774;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2015;2704
1775;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2016 januari;188
1776;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2016 februari;257
1777;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2016 maart;210
1778;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2016 1e kwartaal;655
1779;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2016 april;180
1780;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2016 mei;210
1781;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2016 juni;200
1782;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2016 2e kwartaal;590
1783;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2016 juli;181
1784;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2016 augustus;150
1785;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2016 september;165
1786;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2016 3e kwartaal;496
1787;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2016 oktober;147
1788;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2016 november;214
1789;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2016 december;170
1790;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2016 4e kwartaal;531
1791;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2016;2272
1792;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2017 januari;203
1793;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2017 februari;170
1794;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2017 maart;151
1795;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2017 1e kwartaal;524
1796;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2017 april;142
1797;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2017 mei;153
1798;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2017 juni;158
1799;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2017 2e kwartaal;453
1800;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2017 juli;114
1801;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2017 augustus;128
1802;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2017 september;131
1803;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2017 3e kwartaal;373
1804;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2017 oktober;174
1805;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2017 november;134
1806;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2017 december;111
1807;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2017 4e kwartaal;419
1808;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2017;1769
1809;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2018 januari;169
1810;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2018 februari;139
1811;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2018 maart;145
1812;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2018 1e kwartaal;453
1813;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2018 april;122
1814;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2018 mei;175
1815;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2018 juni;144
1816;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2018 2e kwartaal;441
1817;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2018 juli;150
1818;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2018 augustus;137
1819;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2018 september;128
1820;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2018 3e kwartaal;415
1821;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2018 oktober;171
1822;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2018 november;149
1823;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2018 december;118
1824;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2018 4e kwartaal;438
1825;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2018;1747
1826;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2019 januari;160
1827;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2019 februari;130
1828;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2019 maart;144
1829;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2019 1e kwartaal;434
1830;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2019 april;190
1831;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2019 mei;144
1832;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2019 juni;142
1833;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2019 2e kwartaal;476
1834;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2019 juli;180
1835;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2019 augustus;141
1836;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2019 september;127
1837;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2019 3e kwartaal;448
1838;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2019 oktober;155
1839;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2019 november;127
1840;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2019 december;149
1841;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2019 4e kwartaal;431
1842;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2019;1789
1843;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2020 januari;137
1844;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2020 februari;162
1845;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2020 maart;155
1846;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2020 1e kwartaal;454
1847;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2020 april;198
1848;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2020 mei;144
1849;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2020 juni;152
1850;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2020 2e kwartaal;494
1851;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2020 juli;110
1852;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2020 augustus;93
1853;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2020 september;107
1854;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2020 3e kwartaal;310
1855;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2020 oktober;90
1856;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2020 november;94
1857;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2020 december;106
1858;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2020 4e kwartaal;290
1859;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2020;1548
1860;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2021 januari;57
1861;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2021 februari;72
1862;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2021 maart;90
1863;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2021 1e kwartaal;219
1864;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2021 april;74
1865;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2021 mei;74
1866;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2021 juni;77
1867;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2021 2e kwartaal;225
1868;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2021 juli;62
1869;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2021 augustus;55
1870;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2021 september;62
1871;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2021 3e kwartaal;179
1872;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2021 oktober;55
1873;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2021 november;104
1874;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2021 december;85
1875;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2021 4e kwartaal;244
1876;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2021;867
1877;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2022 januari;55
1878;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2022 februari;70
1879;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2022 maart;107
1880;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2022 1e kwartaal;232
1881;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2022 april;59
1882;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2022 mei;125
1883;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2022 juni;82
1884;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2022 2e kwartaal;266
1885;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2022 juli;72
1886;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2022 augustus;91
1887;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2022 september;78
1888;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2022 3e kwartaal;241
1889;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2022 oktober;98
1890;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2022 november;120
1891;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2022 december;139
1892;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2022 4e kwartaal;357
1893;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2022;1096
1894;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2023 januari;119
1895;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2023 februari;133
1896;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2023 maart;97
1897;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2023 1e kwartaal;350
1898;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2023 april;108
1899;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2023 mei;133
1900;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2023 juni;145
1901;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2023 2e kwartaal;386
1902;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2023 juli;107
1903;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2023 augustus;148
1904;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2023 september;108
1905;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2023 3e kwartaal;363
1906;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2023 oktober;141
1907;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2023 november;128
1908;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2023 december;123
1909;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2023 4e kwartaal;392
1910;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2023;1490
1911;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2024 januari;186
1912;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2024 februari;148
1913;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2024 maart;133
1914;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2024 1e kwartaal;467
1915;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2024 april;178
1916;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2024 mei;143
1917;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2024 juni;169
1918;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2024 2e kwartaal;490
1919;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2024 juli;233
1920;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2024 augustus;130
1921;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2024 september;160
1922;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2024 3e kwartaal;523
1923;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2024 oktober;176
1924;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2024 november;133
1925;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2024 december;185
1926;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2024 4e kwartaal;494
1927;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2024 ;1974
1928;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2025 januari;130
1929;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2025 februari;162
1930;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2025 maart;129
1931;Bedrijven, instellingen en eenmanszaken;West-Nederland (LD);2025 1e kwartaal;421
1932;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2009 januari;118
1933;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2009 februari;152
1934;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2009 maart;181
1935;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2009 1e kwartaal;451
1936;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2009 april;197
1937;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2009 mei;139
1938;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2009 juni;196
1939;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2009 2e kwartaal;532
1940;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2009 juli;197
1941;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2009 augustus;122
1942;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2009 september;152
1943;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2009 3e kwartaal;471
1944;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2009 oktober;127
1945;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2009 november;179
1946;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2009 december;131
1947;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2009 4e kwartaal;437
1948;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2009;1891
1949;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2010 januari;114
1950;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2010 februari;149
1951;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2010 maart;165
1952;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2010 1e kwartaal;428
1953;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2010 april;139
1954;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2010 mei;117
1955;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2010 juni;174
1956;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2010 2e kwartaal;430
1957;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2010 juli;143
1958;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2010 augustus;133
1959;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2010 september;109
1960;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2010 3e kwartaal;385
1961;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2010 oktober;107
1962;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2010 november;163
1963;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2010 december;111
1964;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2010 4e kwartaal;381
1965;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2010;1624
1966;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2011 januari;142
1967;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2011 februari;120
1968;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2011 maart;145
1969;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2011 1e kwartaal;407
1970;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2011 april;132
1971;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2011 mei;140
1972;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2011 juni;107
1973;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2011 2e kwartaal;379
1974;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2011 juli;108
1975;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2011 augustus;150
1976;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2011 september;129
1977;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2011 3e kwartaal;387
1978;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2011 oktober;148
1979;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2011 november;192
1980;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2011 december;129
1981;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2011 4e kwartaal;469
1982;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2011;1642
1983;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2012 januari;161
1984;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2012 februari;192
1985;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2012 maart;148
1986;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2012 1e kwartaal;501
1987;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2012 april;164
1988;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2012 mei;196
1989;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2012 juni;165
1990;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2012 2e kwartaal;525
1991;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2012 juli;200
1992;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2012 augustus;141
1993;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2012 september;135
1994;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2012 3e kwartaal;476
1995;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2012 oktober;197
1996;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2012 november;167
1997;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2012 december;129
1998;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2012 4e kwartaal;493
1999;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2012;1995
2000;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2013 januari;203
2001;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2013 februari;185
2002;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2013 maart;191
2003;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2013 1e kwartaal;579
2004;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2013 april;158
2005;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2013 mei;206
2006;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2013 juni;181
2007;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2013 2e kwartaal;545
2008;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2013 juli;169
2009;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2013 augustus;159
2010;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2013 september;170
2011;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2013 3e kwartaal;498
2012;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2013 oktober;163
2013;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2013 november;147
2014;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2013 december;170
2015;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2013 4e kwartaal;480
2016;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2013;2102
2017;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2014 januari;156
2018;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2014 februari;146
2019;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2014 maart;128
2020;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2014 1e kwartaal;430
2021;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2014 april;198
2022;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2014 mei;142
2023;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2014 juni;128
2024;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2014 2e kwartaal;468
2025;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2014 juli;160
2026;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2014 augustus;108
2027;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2014 september;148
2028;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2014 3e kwartaal;416
2029;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2014 oktober;159
2030;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2014 november;152
2031;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2014 december;171
2032;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2014 4e kwartaal;482
2033;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2014;1796
2034;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2015 januari;137
2035;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2015 februari;127
2036;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2015 maart;165
2037;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2015 1e kwartaal;429
2038;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2015 april;109
2039;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2015 mei;84
2040;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2015 juni;117
2041;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2015 2e kwartaal;310
2042;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2015 juli;128
2043;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2015 augustus;60
2044;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2015 september;99
2045;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2015 3e kwartaal;287
2046;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2015 oktober;88
2047;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2015 november;86
2048;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2015 december;138
2049;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2015 4e kwartaal;312
2050;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2015;1338
2051;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2016 januari;103
2052;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2016 februari;98
2053;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2016 maart;154
2054;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2016 1e kwartaal;355
2055;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2016 april;99
2056;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2016 mei;104
2057;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2016 juni;96
2058;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2016 2e kwartaal;299
2059;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2016 juli;90
2060;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2016 augustus;104
2061;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2016 september;78
2062;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2016 3e kwartaal;272
2063;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2016 oktober;76
2064;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2016 november;78
2065;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2016 december;67
2066;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2016 4e kwartaal;221
2067;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2016;1147
2068;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2017 januari;122
2069;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2017 februari;55
2070;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2017 maart;80
2071;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2017 1e kwartaal;257
2072;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2017 april;71
2073;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2017 mei;96
2074;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2017 juni;75
2075;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2017 2e kwartaal;242
2076;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2017 juli;80
2077;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2017 augustus;88
2078;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2017 september;58
2079;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2017 3e kwartaal;226
2080;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2017 oktober;88
2081;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2017 november;56
2082;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2017 december;55
2083;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2017 4e kwartaal;199
2084;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2017;924
2085;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2018 januari;80
2086;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2018 februari;45
2087;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2018 maart;65
2088;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2018 1e kwartaal;190
2089;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2018 april;65
2090;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2018 mei;69
2091;Bedrijven, instellingen en eenmanszaken;Zuid-Nederland (LD);2018 juni;55
