ID;BedrijfstakkenBranches;Perioden;ProducentenprijzenAfzetBinnenland_1;IngevoerdeGrondstoffenHalffabrikaten_2
129;15-16 Voedings- en genotmiddelen ind.;1987;89.1;95.5
130;15-16 Voedings- en genotmiddelen ind.;1988;91.8;101.8
131;15-16 Voedings- en genotmiddelen ind.;1989;95.5;102.7
132;15-16 Voedings- en genotmiddelen ind.;1990;90.9;90.1
133;15-16 Voedings- en genotmiddelen ind.;1991;92.7;91.0
134;15-16 Voedings- en genotmiddelen ind.;1992;94.5;89.2
135;15-16 Voedings- en genotmiddelen ind.;1993;92.7;87.4
136;15-16 Voedings- en genotmiddelen ind.;1994;94.5;91.9
137;15-16 Voedings- en genotmiddelen ind.;1995;94.5;91.0
138;15-16 Voedings- en genotmiddelen ind.;1996;97.3;95.5
139;15-16 Voedings- en genotmiddelen ind.;1997;100.0;103.6
140;15-16 Voedings- en genotmiddelen ind.;1998;98.2;100.0
141;15-16 Voedings- en genotmiddelen ind.;1999;95.5;91.9
142;15-16 Voedings- en genotmiddelen ind.;2000;100.0;100.0
143;15-16 Voedings- en genotmiddelen ind.;2001;105.2;100.5
144;15-16 Voedings- en genotmiddelen ind.;2002;104.7;102.6
145;15-16 Voedings- en genotmiddelen ind.;2003;105.4;99.6
146;15-16 Voedings- en genotmiddelen ind.;2004;108.6;100.6
147;15-16 Voedings- en genotmiddelen ind.;2005;108.5;98.6
148;15-16 Voedings- en genotmiddelen ind.;2006;109.7;102.1
149;15-16 Voedings- en genotmiddelen ind.;2007;119.2;115.3
150;15-16 Voedings- en genotmiddelen ind.;2008;129.5;129.4
151;15-16 Voedings- en genotmiddelen ind.;2009;;
152;15-16 Voedings- en genotmiddelen ind.;2010;;
153;15-16 Voedings- en genotmiddelen ind.;2011;;
154;17 Textielindustrie;1935;9.3;14.3
155;17 Textielindustrie;1936;8.3;16.2
156;17 Textielindustrie;1937;10.2;20.0
157;17 Textielindustrie;1938;9.3;16.2
158;17 Textielindustrie;1939;9.3;17.1
159;17 Textielindustrie;1940;12.0;21.9
160;17 Textielindustrie;1941;15.7;24.8
161;17 Textielindustrie;1942;15.7;24.8
162;17 Textielindustrie;1943;17.6;24.8
163;17 Textielindustrie;1944;18.5;24.8
164;17 Textielindustrie;1945;19.4;30.5
165;17 Textielindustrie;1946;28.7;39.0
166;17 Textielindustrie;1947;30.6;42.9
167;17 Textielindustrie;1948;31.5;42.9
168;17 Textielindustrie;1949;35.2;45.7
169;17 Textielindustrie;1950;43.5;66.7
170;17 Textielindustrie;1951;52.8;82.9
171;17 Textielindustrie;1952;43.5;64.8
172;17 Textielindustrie;1953;43.5;60.0
173;17 Textielindustrie;1954;43.5;61.9
174;17 Textielindustrie;1955;43.5;57.1
175;17 Textielindustrie;1956;42.6;56.2
176;17 Textielindustrie;1957;43.5;59.0
177;17 Textielindustrie;1958;42.6;51.4
178;17 Textielindustrie;1959;40.7;48.6
179;17 Textielindustrie;1960;41.7;51.4
180;17 Textielindustrie;1961;42.6;49.5
181;17 Textielindustrie;1962;42.6;47.6
182;17 Textielindustrie;1963;43.5;49.5
183;17 Textielindustrie;1964;45.4;53.3
184;17 Textielindustrie;1965;46.3;48.6
185;17 Textielindustrie;1966;47.2;49.5
186;17 Textielindustrie;1967;48.1;47.6
187;17 Textielindustrie;1968;48.1;48.6
188;17 Textielindustrie;1969;50.0;50.5
189;17 Textielindustrie;1970;50.9;51.4
190;17 Textielindustrie;1971;51.9;51.4
191;17 Textielindustrie;1972;53.7;53.3
192;17 Textielindustrie;1973;57.4;58.1
193;17 Textielindustrie;1974;64.8;70.5
194;17 Textielindustrie;1975;66.7;63.8
195;17 Textielindustrie;1976;68.5;69.5
196;17 Textielindustrie;1977;73.1;71.4
197;17 Textielindustrie;1978;73.1;70.5
198;17 Textielindustrie;1979;75.0;75.2
199;17 Textielindustrie;1980;78.7;81.0
200;17 Textielindustrie;1981;82.4;86.7
201;17 Textielindustrie;1982;84.3;91.4
202;17 Textielindustrie;1983;86.1;92.4
203;17 Textielindustrie;1984;89.8;98.1
204;17 Textielindustrie;1985;92.6;100.0
205;17 Textielindustrie;1986;91.7;97.1
206;17 Textielindustrie;1987;90.7;95.2
207;17 Textielindustrie;1988;90.7;95.2
208;17 Textielindustrie;1989;91.7;96.2
209;17 Textielindustrie;1990;92.6;95.2
210;17 Textielindustrie;1991;93.5;95.2
211;17 Textielindustrie;1992;94.4;94.3
212;17 Textielindustrie;1993;95.4;92.4
213;17 Textielindustrie;1994;96.3;91.4
214;17 Textielindustrie;1995;98.1;95.2
215;17 Textielindustrie;1996;98.1;95.2
216;17 Textielindustrie;1997;98.1;97.1
217;17 Textielindustrie;1998;99.1;98.1
218;17 Textielindustrie;1999;99.1;97.1
219;17 Textielindustrie;2000;100.0;100.0
220;17 Textielindustrie;2001;101.4;101.7
221;17 Textielindustrie;2002;101.7;99.3
222;17 Textielindustrie;2003;103.5;98.5
223;17 Textielindustrie;2004;103.8;98.3
224;17 Textielindustrie;2005;104.5;100.3
225;17 Textielindustrie;2006;105.8;101.8
226;17 Textielindustrie;2007;107.9;101.5
227;17 Textielindustrie;2008;110.1;101.8
228;17 Textielindustrie;2009;111.1;100.9
229;17 Textielindustrie;2010;112.6;103.9
230;17 Textielindustrie;2011;117.8;122.4
231;18 Kledingindustrie;1935;;
232;18 Kledingindustrie;1936;;
233;18 Kledingindustrie;1937;;
234;18 Kledingindustrie;1938;;
235;18 Kledingindustrie;1939;;
236;18 Kledingindustrie;1940;;
237;18 Kledingindustrie;1941;;
238;18 Kledingindustrie;1942;;
239;18 Kledingindustrie;1943;;
240;18 Kledingindustrie;1944;;
241;18 Kledingindustrie;1945;;
242;18 Kledingindustrie;1946;;
243;18 Kledingindustrie;1947;;
244;18 Kledingindustrie;1948;;
245;18 Kledingindustrie;1949;;
246;18 Kledingindustrie;1950;;
247;18 Kledingindustrie;1951;;
248;18 Kledingindustrie;1952;;
249;18 Kledingindustrie;1953;;
250;18 Kledingindustrie;1954;;
251;18 Kledingindustrie;1955;;
252;18 Kledingindustrie;1956;;
253;18 Kledingindustrie;1957;;
254;18 Kledingindustrie;1958;;41.9
255;18 Kledingindustrie;1959;;41.0
256;18 Kledingindustrie;1960;;41.9
257;18 Kledingindustrie;1961;;41.9
258;18 Kledingindustrie;1962;;42.9
259;18 Kledingindustrie;1963;;43.8
260;18 Kledingindustrie;1964;;45.7
261;18 Kledingindustrie;1965;;45.7
262;18 Kledingindustrie;1966;;46.7
263;18 Kledingindustrie;1967;;46.7
264;18 Kledingindustrie;1968;;46.7
265;18 Kledingindustrie;1969;;46.7
266;18 Kledingindustrie;1970;39.8;48.6
267;18 Kledingindustrie;1971;42.5;49.5
268;18 Kledingindustrie;1972;45.1;50.5
269;18 Kledingindustrie;1973;46.9;55.2
270;18 Kledingindustrie;1974;52.2;61.9
271;18 Kledingindustrie;1975;55.8;62.9
272;18 Kledingindustrie;1976;59.3;65.7
273;18 Kledingindustrie;1977;61.9;68.6
274;18 Kledingindustrie;1978;65.5;68.6
275;18 Kledingindustrie;1979;68.1;71.4
276;18 Kledingindustrie;1980;71.7;77.1
277;18 Kledingindustrie;1981;74.3;82.9
278;18 Kledingindustrie;1982;77.0;84.8
279;18 Kledingindustrie;1983;77.0;86.7
280;18 Kledingindustrie;1984;79.6;91.4
281;18 Kledingindustrie;1985;82.3;95.2
282;18 Kledingindustrie;1986;84.1;95.2
283;18 Kledingindustrie;1987;85.8;95.2
284;18 Kledingindustrie;1988;85.8;95.2
285;18 Kledingindustrie;1989;86.7;95.2
286;18 Kledingindustrie;1990;88.5;95.2
287;18 Kledingindustrie;1991;90.3;96.2
288;18 Kledingindustrie;1992;92.0;96.2
289;18 Kledingindustrie;1993;92.9;94.3
290;18 Kledingindustrie;1994;92.9;93.3
291;18 Kledingindustrie;1995;92.9;95.2
292;18 Kledingindustrie;1996;92.0;96.2
293;18 Kledingindustrie;1997;92.9;97.1
294;18 Kledingindustrie;1998;95.6;98.1
295;18 Kledingindustrie;1999;98.2;97.1
296;18 Kledingindustrie;2000;100.0;100.0
297;18 Kledingindustrie;2001;101.3;103.9
298;18 Kledingindustrie;2002;103.6;102.1
299;18 Kledingindustrie;2003;104.3;96.1
300;18 Kledingindustrie;2004;104.8;92.5
301;18 Kledingindustrie;2005;106.5;92.2
302;18 Kledingindustrie;2006;108.0;92.4
303;18 Kledingindustrie;2007;108.3;91.0
304;18 Kledingindustrie;2008;109.7;91.6
305;18 Kledingindustrie;2009;109.9;96.0
306;18 Kledingindustrie;2010;111.7;99.2
307;18 Kledingindustrie;2011;116.5;105.0
308;19 Leder- en lederwarenindustrie;1935;;7.1
309;19 Leder- en lederwarenindustrie;1936;;9.2
310;19 Leder- en lederwarenindustrie;1937;;14.3
311;19 Leder- en lederwarenindustrie;1938;;10.2
312;19 Leder- en lederwarenindustrie;1939;;11.2
313;19 Leder- en lederwarenindustrie;1940;;12.2
314;19 Leder- en lederwarenindustrie;1941;;12.2
315;19 Leder- en lederwarenindustrie;1942;;12.2
316;19 Leder- en lederwarenindustrie;1943;;12.2
317;19 Leder- en lederwarenindustrie;1944;;12.2
318;19 Leder- en lederwarenindustrie;1945;;14.3
319;19 Leder- en lederwarenindustrie;1946;;23.5
320;19 Leder- en lederwarenindustrie;1947;;24.5
321;19 Leder- en lederwarenindustrie;1948;;31.6
322;19 Leder- en lederwarenindustrie;1949;;35.7
323;19 Leder- en lederwarenindustrie;1950;;46.9
324;19 Leder- en lederwarenindustrie;1951;;60.2
325;19 Leder- en lederwarenindustrie;1952;;39.8
326;19 Leder- en lederwarenindustrie;1953;;41.8
327;19 Leder- en lederwarenindustrie;1954;;37.8
328;19 Leder- en lederwarenindustrie;1955;;34.7
329;19 Leder- en lederwarenindustrie;1956;;35.7
330;19 Leder- en lederwarenindustrie;1957;;36.7
331;19 Leder- en lederwarenindustrie;1958;;35.7
332;19 Leder- en lederwarenindustrie;1959;;46.9
333;19 Leder- en lederwarenindustrie;1960;;40.8
334;19 Leder- en lederwarenindustrie;1961;;37.8
335;19 Leder- en lederwarenindustrie;1962;;37.8
336;19 Leder- en lederwarenindustrie;1963;;32.7
337;19 Leder- en lederwarenindustrie;1964;;32.7
338;19 Leder- en lederwarenindustrie;1965;;34.7
339;19 Leder- en lederwarenindustrie;1966;;45.9
340;19 Leder- en lederwarenindustrie;1967;;37.8
341;19 Leder- en lederwarenindustrie;1968;;37.8
342;19 Leder- en lederwarenindustrie;1969;;44.9
343;19 Leder- en lederwarenindustrie;1970;;43.9
344;19 Leder- en lederwarenindustrie;1971;;44.9
345;19 Leder- en lederwarenindustrie;1972;;50.0
346;19 Leder- en lederwarenindustrie;1973;;52.0
347;19 Leder- en lederwarenindustrie;1974;;51.0
348;19 Leder- en lederwarenindustrie;1975;;52.0
349;19 Leder- en lederwarenindustrie;1976;;61.2
350;19 Leder- en lederwarenindustrie;1977;;65.3
351;19 Leder- en lederwarenindustrie;1978;;66.3
352;19 Leder- en lederwarenindustrie;1979;;79.6
353;19 Leder- en lederwarenindustrie;1980;;74.5
354;19 Leder- en lederwarenindustrie;1981;;76.5
355;19 Leder- en lederwarenindustrie;1982;;81.6
356;19 Leder- en lederwarenindustrie;1983;;84.7
357;19 Leder- en lederwarenindustrie;1984;;96.9
358;19 Leder- en lederwarenindustrie;1985;;104.1
359;19 Leder- en lederwarenindustrie;1986;;99.0
360;19 Leder- en lederwarenindustrie;1987;;96.9
361;19 Leder- en lederwarenindustrie;1988;;100.0
362;19 Leder- en lederwarenindustrie;1989;;103.1
363;19 Leder- en lederwarenindustrie;1990;;102.0
364;19 Leder- en lederwarenindustrie;1991;;95.9
365;19 Leder- en lederwarenindustrie;1992;;96.9
366;19 Leder- en lederwarenindustrie;1993;;98.0
367;19 Leder- en lederwarenindustrie;1994;;102.0
368;19 Leder- en lederwarenindustrie;1995;;96.9
369;19 Leder- en lederwarenindustrie;1996;;96.9
370;19 Leder- en lederwarenindustrie;1997;;103.1
371;19 Leder- en lederwarenindustrie;1998;;99.0
372;19 Leder- en lederwarenindustrie;1999;;94.9
373;19 Leder- en lederwarenindustrie;2000;;100.0
374;19 Leder- en lederwarenindustrie;2001;;103.1
375;19 Leder- en lederwarenindustrie;2002;;100.9
376;19 Leder- en lederwarenindustrie;2003;;101.0
377;19 Leder- en lederwarenindustrie;2004;;101.3
378;19 Leder- en lederwarenindustrie;2005;;100.8
379;19 Leder- en lederwarenindustrie;2006;;102.4
380;19 Leder- en lederwarenindustrie;2007;;106.1
381;19 Leder- en lederwarenindustrie;2008;;106.3
382;19 Leder- en lederwarenindustrie;2009;;107.9
383;19 Leder- en lederwarenindustrie;2010;;108.3
384;19 Leder- en lederwarenindustrie;2011;;113.3
385;21 Papier- en papierwarenindustrie;1935;4.3;4.5
386;21 Papier- en papierwarenindustrie;1936;5.2;4.5
387;21 Papier- en papierwarenindustrie;1937;7.0;9.8
388;21 Papier- en papierwarenindustrie;1938;7.0;6.3
389;21 Papier- en papierwarenindustrie;1939;7.0;5.4
390;21 Papier- en papierwarenindustrie;1940;8.7;10.7
391;21 Papier- en papierwarenindustrie;1941;9.6;10.7
392;21 Papier- en papierwarenindustrie;1942;9.6;10.7
393;21 Papier- en papierwarenindustrie;1943;9.6;10.7
394;21 Papier- en papierwarenindustrie;1944;9.6;10.7
395;21 Papier- en papierwarenindustrie;1945;11.3;12.5
396;21 Papier- en papierwarenindustrie;1946;17.4;17.0
397;21 Papier- en papierwarenindustrie;1947;18.3;25.0
398;21 Papier- en papierwarenindustrie;1948;20.9;27.7
399;21 Papier- en papierwarenindustrie;1949;20.9;18.8
400;21 Papier- en papierwarenindustrie;1950;22.6;28.6
401;21 Papier- en papierwarenindustrie;1951;39.1;62.5
402;21 Papier- en papierwarenindustrie;1952;33.0;40.2
403;21 Papier- en papierwarenindustrie;1953;27.8;28.6
404;21 Papier- en papierwarenindustrie;1954;29.6;32.1
405;21 Papier- en papierwarenindustrie;1955;32.2;33.0
406;21 Papier- en papierwarenindustrie;1956;31.3;33.9
407;21 Papier- en papierwarenindustrie;1957;32.2;33.0
408;21 Papier- en papierwarenindustrie;1958;32.2;31.3
409;21 Papier- en papierwarenindustrie;1959;31.3;29.5
410;21 Papier- en papierwarenindustrie;1960;30.4;30.4
411;21 Papier- en papierwarenindustrie;1961;31.3;29.5
412;21 Papier- en papierwarenindustrie;1962;31.3;27.7
413;21 Papier- en papierwarenindustrie;1963;31.3;27.7
414;21 Papier- en papierwarenindustrie;1964;33.0;28.6
415;21 Papier- en papierwarenindustrie;1965;33.0;30.4
416;21 Papier- en papierwarenindustrie;1966;33.9;29.5
417;21 Papier- en papierwarenindustrie;1967;33.9;29.5
418;21 Papier- en papierwarenindustrie;1968;33.9;28.6
419;21 Papier- en papierwarenindustrie;1969;35.7;30.4
420;21 Papier- en papierwarenindustrie;1970;39.1;34.8
421;21 Papier- en papierwarenindustrie;1971;41.7;35.7
422;21 Papier- en papierwarenindustrie;1972;42.6;34.8
423;21 Papier- en papierwarenindustrie;1973;44.3;35.7
424;21 Papier- en papierwarenindustrie;1974;52.2;49.1
425;21 Papier- en papierwarenindustrie;1975;59.1;58.0
426;21 Papier- en papierwarenindustrie;1976;58.3;58.9
427;21 Papier- en papierwarenindustrie;1977;61.7;58.9
428;21 Papier- en papierwarenindustrie;1978;60.9;53.6
429;21 Papier- en papierwarenindustrie;1979;61.7;58.9
430;21 Papier- en papierwarenindustrie;1980;67.8;67.9
431;21 Papier- en papierwarenindustrie;1981;73.9;80.4
432;21 Papier- en papierwarenindustrie;1982;77.4;82.1
433;21 Papier- en papierwarenindustrie;1983;76.5;80.4
434;21 Papier- en papierwarenindustrie;1984;80.0;93.8
435;21 Papier- en papierwarenindustrie;1985;83.5;89.3
436;21 Papier- en papierwarenindustrie;1986;81.7;82.1
437;21 Papier- en papierwarenindustrie;1987;80.9;83.0
438;21 Papier- en papierwarenindustrie;1988;83.5;88.4
439;21 Papier- en papierwarenindustrie;1989;86.1;97.3
440;21 Papier- en papierwarenindustrie;1990;87.0;89.3
441;21 Papier- en papierwarenindustrie;1991;87.8;84.8
442;21 Papier- en papierwarenindustrie;1992;87.8;80.4
443;21 Papier- en papierwarenindustrie;1993;84.3;73.2
444;21 Papier- en papierwarenindustrie;1994;86.1;75.9
445;21 Papier- en papierwarenindustrie;1995;96.5;89.3
446;21 Papier- en papierwarenindustrie;1996;92.2;83.0
447;21 Papier- en papierwarenindustrie;1997;89.6;82.1
448;21 Papier- en papierwarenindustrie;1998;91.3;83.9
449;21 Papier- en papierwarenindustrie;1999;92.2;83.0
450;21 Papier- en papierwarenindustrie;2000;100.0;100.0
451;21 Papier- en papierwarenindustrie;2001;103.8;94.1
452;21 Papier- en papierwarenindustrie;2002;102.8;85.7
453;21 Papier- en papierwarenindustrie;2003;102.3;82.4
454;21 Papier- en papierwarenindustrie;2004;100.8;79.9
455;21 Papier- en papierwarenindustrie;2005;99.3;83.2
456;21 Papier- en papierwarenindustrie;2006;101.4;89.3
457;21 Papier- en papierwarenindustrie;2007;106.4;91.7
458;21 Papier- en papierwarenindustrie;2008;106.4;92.8
459;21 Papier- en papierwarenindustrie;2009;100.6;81.9
460;21 Papier- en papierwarenindustrie;2010;105.0;94.5
461;21 Papier- en papierwarenindustrie;2011;110.3;95.6
462;23 Aardolie-industrie;1935;;
463;23 Aardolie-industrie;1936;;
464;23 Aardolie-industrie;1937;;
465;23 Aardolie-industrie;1938;;
466;23 Aardolie-industrie;1939;;
467;23 Aardolie-industrie;1940;;
468;23 Aardolie-industrie;1941;;
469;23 Aardolie-industrie;1942;;
470;23 Aardolie-industrie;1943;;
471;23 Aardolie-industrie;1944;;
472;23 Aardolie-industrie;1945;;
473;23 Aardolie-industrie;1946;;
474;23 Aardolie-industrie;1947;;
475;23 Aardolie-industrie;1948;;
476;23 Aardolie-industrie;1949;;
477;23 Aardolie-industrie;1950;;
478;23 Aardolie-industrie;1951;;
479;23 Aardolie-industrie;1952;;
480;23 Aardolie-industrie;1953;;
481;23 Aardolie-industrie;1954;;
482;23 Aardolie-industrie;1955;;
483;23 Aardolie-industrie;1956;;
484;23 Aardolie-industrie;1957;;
485;23 Aardolie-industrie;1958;;
486;23 Aardolie-industrie;1959;;
487;23 Aardolie-industrie;1960;;
488;23 Aardolie-industrie;1961;;
489;23 Aardolie-industrie;1962;;
490;23 Aardolie-industrie;1963;;
491;23 Aardolie-industrie;1964;;
492;23 Aardolie-industrie;1965;;
493;23 Aardolie-industrie;1966;;
494;23 Aardolie-industrie;1967;;
495;23 Aardolie-industrie;1968;;
496;23 Aardolie-industrie;1969;;
497;23 Aardolie-industrie;1970;19.0;12.7
498;23 Aardolie-industrie;1971;21.2;15.8
499;23 Aardolie-industrie;1972;21.2;14.5
500;23 Aardolie-industrie;1973;25.7;17.6
501;23 Aardolie-industrie;1974;34.1;44.2
502;23 Aardolie-industrie;1975;34.6;44.2
503;23 Aardolie-industrie;1976;38.0;48.5
504;23 Aardolie-industrie;1977;36.9;49.7
505;23 Aardolie-industrie;1978;36.9;44.2
506;23 Aardolie-industrie;1979;41.9;55.2
507;23 Aardolie-industrie;1980;52.0;92.1
508;23 Aardolie-industrie;1981;63.1;127.9
509;23 Aardolie-industrie;1982;65.4;127.9
510;23 Aardolie-industrie;1983;64.8;121.2
511;23 Aardolie-industrie;1984;68.7;131.5
512;23 Aardolie-industrie;1985;69.8;130.3
513;23 Aardolie-industrie;1986;48.0;53.9
514;23 Aardolie-industrie;1987;50.3;53.9
515;23 Aardolie-industrie;1988;48.6;44.2
516;23 Aardolie-industrie;1989;52.5;55.8
517;23 Aardolie-industrie;1990;55.9;60.6
518;23 Aardolie-industrie;1991;55.9;53.3
519;23 Aardolie-industrie;1992;50.8;49.1
520;23 Aardolie-industrie;1993;48.6;45.5
521;23 Aardolie-industrie;1994;45.8;42.4
522;23 Aardolie-industrie;1995;45.8;41.2
523;23 Aardolie-industrie;1996;54.7;52.1
524;23 Aardolie-industrie;1997;60.3;54.5
525;23 Aardolie-industrie;1998;50.8;37.0
526;23 Aardolie-industrie;1999;62.6;54.5
527;23 Aardolie-industrie;2000;100.0;100.0
528;23 Aardolie-industrie;2001;91.3;85.0
529;23 Aardolie-industrie;2002;83.8;83.3
530;23 Aardolie-industrie;2003;84.9;86.1
531;23 Aardolie-industrie;2004;99.7;110.5
532;23 Aardolie-industrie;2005;130.4;154.9
533;23 Aardolie-industrie;2006;145.3;189.0
