ID;KenmerkenVanHuishoudens;InkomensgrensHuishouden;DuurInkomenspositie;Perioden;Huishoudens_1;HuishoudensRelatief_2
19;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2017;223.9;3.3
20;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2018;230.1;3.3
21;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2019;234.5;3.4
22;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2020;220.6;3.1
23;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2021;214.2;3.0
24;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2022;125.1;1.7
25;Particuliere huishoudens;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2023;69.1;1.0
26;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2011;462.7;6.6
27;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2012;497.5;7.0
28;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2013;517.1;7.3
29;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2014;526.5;7.4
30;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2015;518.3;7.2
31;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2016;525.6;7.3
32;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2017;527.6;7.2
33;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2018;518.4;7.0
34;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2019;508.2;6.8
35;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2020;515.2;6.8
36;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2021;492.9;6.5
37;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2022;483.1;6.3
38;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2023;507.7;6.5
39;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2011;125.4;1.9
40;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2012;142.3;2.1
41;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2013;154.6;2.3
42;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2014;165.4;2.4
43;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2015;177.3;2.6
44;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2016;189.4;2.8
45;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2017;200.4;2.9
46;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2018;210.0;3.0
47;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2019;220.5;3.2
48;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2020;231.1;3.3
49;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2021;231.0;3.2
50;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2022;230.5;3.2
51;Particuliere huishoudens;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2023;230.4;3.2
52;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2011;729.8;10.4
53;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2012;757.9;10.7
54;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2013;789.6;11.1
55;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2014;797.3;11.2
56;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2015;791.6;11.0
57;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2016;794.4;11.0
58;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2017;797.4;10.9
59;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2018;780.2;10.6
60;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2019;762.9;10.2
61;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2020;770.1;10.2
62;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2021;741.3;9.8
63;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2022;732.0;9.5
64;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2023;755.8;9.7
65;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2011;309.3;4.7
66;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2012;337.1;5.0
67;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2013;360.3;5.3
68;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2014;360.3;5.3
69;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2015;369.0;5.4
70;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2016;387.1;5.7
71;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2017;400.5;5.8
72;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2018;408.6;5.9
73;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2019;414.9;5.9
74;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2020;425.6;6.0
75;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2021;420.6;5.9
76;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2022;415.7;5.8
77;Particuliere huishoudens;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2023;413.0;5.7
78;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2011;953.8;13.6
79;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2012;981.0;13.9
80;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2013;1019.8;14.3
81;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2014;1021.4;14.3
82;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2015;1010.4;14.1
83;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2016;1012.1;14.0
84;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2017;1014.0;13.8
85;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2018;993.9;13.4
86;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2019;971.7;13.0
87;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2020;981.5;13.0
88;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2021;941.9;12.4
89;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2022;921.7;12.0
90;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2023;950.9;12.2
91;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2011;481.0;7.3
92;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2012;516.1;7.7
93;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2013;539.1;8.0
94;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2014;521.9;7.7
95;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2015;527.8;7.8
96;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2016;548.9;8.0
97;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2017;562.2;8.2
98;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2018;569.4;8.2
99;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2019;574.1;8.2
100;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2020;582.8;8.3
101;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2021;572.0;8.0
102;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2022;560.4;7.8
103;Particuliere huishoudens;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2023;556.0;7.7
104;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2011;277.4;11.8
105;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2012;324.2;13.6
106;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2013;365.3;15.1
107;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2014;354.9;14.7
108;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2015;349.0;14.2
109;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2016;349.7;13.9
110;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2017;367.3;14.3
111;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2018;363.9;13.9
112;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2019;354.7;13.4
113;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2020;322.9;12.0
114;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2021;307.8;11.3
115;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2022;186.3;6.7
116;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2023;167.6;5.9
117;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2011;89.2;4.2
118;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2012;99.0;4.6
119;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2013;111.7;5.1
120;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2014;116.2;5.3
121;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2015;134.0;6.0
122;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2016;145.7;6.4
123;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2017;152.4;6.6
124;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2018;160.0;6.9
125;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2019;165.6;7.0
126;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2020;153.9;6.4
127;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2021;150.8;6.2
128;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2022;78.2;3.1
129;Type: Eenpersoonshuishouden;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2023;32.3;1.3
130;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2011;279.5;11.9
131;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2012;297.4;12.4
132;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2013;311.5;12.9
133;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2014;320.2;13.2
134;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2015;332.4;13.5
135;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2016;343.5;13.7
136;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2017;353.6;13.8
137;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2018;350.3;13.4
138;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2019;346.4;13.1
139;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2020;351.9;13.1
140;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2021;340.0;12.5
141;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2022;339.2;12.2
142;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2023;356.4;12.5
143;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2011;87.0;4.1
144;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2012;98.0;4.5
145;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2013;106.5;4.8
146;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2014;114.9;5.2
147;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2015;126.2;5.6
148;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2016;136.9;6.0
149;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2017;147.0;6.4
150;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2018;156.1;6.7
151;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2019;165.8;7.0
152;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2020;174.6;7.2
153;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2021;175.9;7.2
154;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2022;177.6;7.1
155;Type: Eenpersoonshuishouden;Inkomen tot 101% sociaal minimum;Vier jaar of langer;2023;177.7;7.0
156;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2011;450.1;19.2
157;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2012;464.9;19.5
158;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2013;490.9;20.3
159;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2014;496.2;20.5
160;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2015;513.2;20.9
161;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2016;520.6;20.8
162;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2017;532.5;20.7
163;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2018;524.0;20.1
164;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2019;515.0;19.4
165;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2020;522.8;19.4
166;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2021;507.2;18.6
167;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2022;509.8;18.3
168;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Ten minste 1 jaar;2023;525.9;18.4
169;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2011;206.8;9.8
170;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2012;225.6;10.4
171;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2013;242.5;11.0
172;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2014;243.8;11.0
173;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2015;255.0;11.4
174;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2016;271.7;12.0
175;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2017;285.2;12.4
176;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2018;294.1;12.6
177;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2019;299.6;12.6
178;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2020;309.1;12.8
179;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2021;307.3;12.6
180;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2022;308.0;12.3
181;Type: Eenpersoonshuishouden;Inkomen tot 110% sociaal minimum;Vier jaar of langer;2023;307.3;12.2
182;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2011;582.9;24.9
183;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2012;598.7;25.1
184;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2013;628.8;26.0
185;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2014;628.2;25.9
186;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2015;644.4;26.2
187;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2016;654.3;26.1
188;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2017;668.0;26.0
189;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2018;659.2;25.3
190;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2019;648.7;24.4
191;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2020;659.1;24.4
192;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2021;636.0;23.3
193;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2022;633.2;22.7
194;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Ten minste 1 jaar;2023;653.8;22.8
195;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2011;312.9;14.8
196;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2012;338.4;15.6
197;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2013;356.0;16.1
198;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2014;344.3;15.6
199;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2015;355.4;15.9
200;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2016;375.2;16.6
201;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2017;389.8;17.0
202;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2018;400.0;17.2
203;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2019;405.8;17.1
204;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2020;414.6;17.2
205;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2021;409.8;16.7
206;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2022;407.4;16.3
207;Type: Eenpersoonshuishouden;Inkomen tot 120% sociaal minimum;Vier jaar of langer;2023;406.6;16.1
208;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2011;252.6;16.4
209;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2012;287.4;18.5
210;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2013;322.1;20.6
211;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2014;316.5;20.4
212;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2015;319.8;20.4
213;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2016;319.7;20.0
214;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2017;334.5;20.4
215;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2018;330.2;19.7
216;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2019;321.9;18.9
217;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2020;290.5;16.7
218;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2021;280.9;16.1
219;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2022;165.1;9.2
220;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Ten minste 1 jaar;2023;142.7;7.7
221;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2011;83.3;6.3
222;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2012;92.6;6.9
223;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2013;104.3;7.7
224;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2014;108.4;8.0
225;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2015;125.2;9.2
226;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2016;136.7;10.0
227;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2017;143.3;10.4
228;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2018;149.7;10.6
229;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2019;154.3;10.8
230;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2020;142.7;9.7
231;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2021;140.8;9.5
232;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2022;70.9;4.7
233;Type: Alleenstaande onder AOW-lft;Inkomen tot lage-inkomensgrens;Vier jaar of langer;2023;25.1;1.6
234;Type: Alleenstaande onder AOW-lft;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2011;202.6;13.2
235;Type: Alleenstaande onder AOW-lft;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2012;216.0;13.9
236;Type: Alleenstaande onder AOW-lft;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2013;226.8;14.5
237;Type: Alleenstaande onder AOW-lft;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2014;231.0;14.9
238;Type: Alleenstaande onder AOW-lft;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2015;237.4;15.1
239;Type: Alleenstaande onder AOW-lft;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2016;239.5;15.0
240;Type: Alleenstaande onder AOW-lft;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2017;243.8;14.9
241;Type: Alleenstaande onder AOW-lft;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2018;238.8;14.3
242;Type: Alleenstaande onder AOW-lft;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2019;233.6;13.7
243;Type: Alleenstaande onder AOW-lft;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2020;237.3;13.6
244;Type: Alleenstaande onder AOW-lft;Inkomen tot 101% sociaal minimum;Ten minste 1 jaar;2021;226.3;12.9
