ID;Geslacht;Leeftijd;WoonregioS;WerkregioS;Perioden;BanenVanWerknemers_1;AfstandTussenWoonEnWerkgemeente_2
29;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Groningen (PV);2008 december;252.2;14.9
30;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Groningen (PV);2009 december;247.2;15.3
31;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Groningen (PV);2010 december;247.1;13.7
32;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Groningen (PV);2011 december;254.9;12.7
33;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Groningen (PV);2012 december;243.3;13.2
34;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Groningen (PV);2013 december;239.4;13.1
35;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Groningen (PV);2014 december;242.4;13.9
36;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Friesland (PV);2006 december;252.1;13.2
37;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Friesland (PV);2007 december;261.2;14.5
38;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Friesland (PV);2008 december;256.2;13.4
39;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Friesland (PV);2009 december;250.7;13.8
40;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Friesland (PV);2010 december;258.9;13.9
41;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Friesland (PV);2011 december;264.9;13.6
42;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Friesland (PV);2012 december;256.4;13.7
43;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Friesland (PV);2013 december;247.2;13.9
44;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Friesland (PV);2014 december;248.9;14.6
45;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Drenthe (PV);2006 december;191.1;13.6
46;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Drenthe (PV);2007 december;196.8;14.2
47;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Drenthe (PV);2008 december;197.5;14.2
48;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Drenthe (PV);2009 december;192.3;14.5
49;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Drenthe (PV);2010 december;197.6;15.1
50;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Drenthe (PV);2011 december;199.3;15.5
51;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Drenthe (PV);2012 december;195.7;16.5
52;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Drenthe (PV);2013 december;191.6;16.1
53;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Drenthe (PV);2014 december;195.7;16.1
54;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Overijssel (PV);2006 december;501.6;14.1
55;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Overijssel (PV);2007 december;517.9;14.3
56;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Overijssel (PV);2008 december;518.2;14.1
57;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Overijssel (PV);2009 december;509.0;14.2
58;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Overijssel (PV);2010 december;516.9;14.1
59;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Overijssel (PV);2011 december;533.5;13.7
60;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Overijssel (PV);2012 december;518.6;15.0
61;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Overijssel (PV);2013 december;506.9;14.6
62;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Overijssel (PV);2014 december;513.8;14.8
63;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Flevoland (PV);2006 december;133.9;15.4
64;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Flevoland (PV);2007 december;142.6;15.1
65;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Flevoland (PV);2008 december;144.3;14.8
66;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Flevoland (PV);2009 december;143.4;15.3
67;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Flevoland (PV);2010 december;149.2;16.4
68;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Flevoland (PV);2011 december;151.1;15.9
69;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Flevoland (PV);2012 december;150.0;16.9
70;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Flevoland (PV);2013 december;146.8;17.1
71;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Flevoland (PV);2014 december;142.0;15.4
72;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Gelderland (PV);2006 december;867.0;13.4
73;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Gelderland (PV);2007 december;904.7;14.0
74;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Gelderland (PV);2008 december;903.7;13.8
75;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Gelderland (PV);2009 december;887.0;13.8
76;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Gelderland (PV);2010 december;900.1;13.9
77;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Gelderland (PV);2011 december;922.9;14.1
78;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Gelderland (PV);2012 december;896.2;15.1
79;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Gelderland (PV);2013 december;869.1;14.9
80;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Gelderland (PV);2014 december;872.2;14.8
81;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Utrecht (PV);2006 december;636.1;17.3
82;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Utrecht (PV);2007 december;650.5;17.1
83;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Utrecht (PV);2008 december;657.2;17.2
84;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Utrecht (PV);2009 december;646.2;17.3
85;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Utrecht (PV);2010 december;655.8;17.5
86;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Utrecht (PV);2011 december;670.6;17.3
87;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Utrecht (PV);2012 december;654.8;17.3
88;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Utrecht (PV);2013 december;647.4;17.4
89;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Utrecht (PV);2014 december;649.7;18.1
90;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Holland (PV);2006 december;1361.1;15.1
91;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Holland (PV);2007 december;1392.6;15.1
92;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Holland (PV);2008 december;1384.6;15.1
93;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Holland (PV);2009 december;1352.4;14.6
94;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Holland (PV);2010 december;1361.0;14.5
95;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Holland (PV);2011 december;1405.1;15.0
96;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Holland (PV);2012 december;1357.2;14.5
97;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Holland (PV);2013 december;1340.1;14.7
98;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Holland (PV);2014 december;1360.2;15.5
99;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuid-Holland (PV);2006 december;1620.2;12.3
100;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuid-Holland (PV);2007 december;1663.9;12.2
101;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuid-Holland (PV);2008 december;1664.8;12.3
102;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuid-Holland (PV);2009 december;1630.4;12.3
103;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuid-Holland (PV);2010 december;1652.7;12.2
104;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuid-Holland (PV);2011 december;1660.9;11.8
105;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuid-Holland (PV);2012 december;1604.9;12.2
106;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuid-Holland (PV);2013 december;1570.4;12.3
107;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuid-Holland (PV);2014 december;1575.4;12.5
108;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zeeland (PV);2006 december;143.1;10.0
109;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zeeland (PV);2007 december;148.1;10.4
110;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zeeland (PV);2008 december;149.8;10.9
111;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zeeland (PV);2009 december;146.3;10.1
112;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zeeland (PV);2010 december;147.5;9.0
113;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zeeland (PV);2011 december;151.7;9.1
114;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zeeland (PV);2012 december;147.5;10.1
115;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zeeland (PV);2013 december;144.5;10.3
116;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zeeland (PV);2014 december;144.3;10.5
117;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Brabant (PV);2006 december;1156.5;13.9
118;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Brabant (PV);2007 december;1189.4;14.3
119;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Brabant (PV);2008 december;1193.8;14.1
120;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Brabant (PV);2009 december;1162.5;14.1
121;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Brabant (PV);2010 december;1175.3;14.1
122;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Brabant (PV);2011 december;1207.0;14.0
123;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Brabant (PV);2012 december;1162.5;15.1
124;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Brabant (PV);2013 december;1143.2;15.1
125;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Brabant (PV);2014 december;1150.9;15.2
126;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Limburg (PV);2006 december;471.7;10.8
127;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Limburg (PV);2007 december;474.2;10.9
128;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Limburg (PV);2008 december;474.7;11.2
129;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Limburg (PV);2009 december;457.1;11.2
130;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Limburg (PV);2010 december;461.2;10.7
131;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Limburg (PV);2011 december;474.9;10.2
132;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Limburg (PV);2012 december;455.5;10.8
133;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Limburg (PV);2013 december;453.1;11.7
134;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Limburg (PV);2014 december;456.2;12.7
135;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Oost-Groningen (CR);2006 december;49.3;11.9
136;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Oost-Groningen (CR);2007 december;49.6;12.3
137;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Oost-Groningen (CR);2008 december;48.4;11.0
138;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Oost-Groningen (CR);2009 december;46.8;10.8
139;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Oost-Groningen (CR);2010 december;44.1;10.2
140;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Oost-Groningen (CR);2011 december;50.2;10.1
141;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Oost-Groningen (CR);2012 december;48.2;10.7
142;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Oost-Groningen (CR);2013 december;48.1;10.7
143;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Oost-Groningen (CR);2014 december;47.1;10.2
144;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Delfzijl en omgeving (CR);2006 december;15.7;17.8
145;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Delfzijl en omgeving (CR);2007 december;16.3;16.4
146;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Delfzijl en omgeving (CR);2008 december;16.7;16.5
147;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Delfzijl en omgeving (CR);2009 december;16.1;16.4
148;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Delfzijl en omgeving (CR);2010 december;16.2;15.0
149;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Delfzijl en omgeving (CR);2011 december;17.0;15.5
150;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Delfzijl en omgeving (CR);2012 december;16.6;15.2
151;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Delfzijl en omgeving (CR);2013 december;15.4;13.6
152;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Delfzijl en omgeving (CR);2014 december;15.5;16.9
153;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Overig Groningen (CR);2006 december;182.0;14.5
154;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Overig Groningen (CR);2007 december;186.7;14.9
155;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Overig Groningen (CR);2008 december;187.1;15.7
156;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Overig Groningen (CR);2009 december;184.3;16.4
157;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Overig Groningen (CR);2010 december;186.8;14.4
158;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Overig Groningen (CR);2011 december;187.7;13.2
159;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Overig Groningen (CR);2012 december;178.5;13.7
160;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Overig Groningen (CR);2013 december;176.0;13.7
161;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Overig Groningen (CR);2014 december;179.8;14.6
162;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Friesland (CR);2006 december;131.8;13.1
163;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Friesland (CR);2007 december;136.0;13.2
164;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Friesland (CR);2008 december;131.4;12.8
165;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Friesland (CR);2009 december;129.0;13.7
166;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Friesland (CR);2010 december;132.0;13.0
167;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Friesland (CR);2011 december;135.6;12.7
168;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Friesland (CR);2012 december;128.3;11.7
169;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Friesland (CR);2013 december;124.4;12.9
170;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Friesland (CR);2014 december;121.2;13.5
171;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Friesland (CR);2006 december;37.9;12.5
172;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Friesland (CR);2007 december;39.1;12.4
173;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Friesland (CR);2008 december;38.9;12.4
174;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Friesland (CR);2009 december;37.1;12.3
175;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Friesland (CR);2010 december;38.7;11.7
176;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Friesland (CR);2011 december;38.3;10.1
177;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Friesland (CR);2012 december;38.2;12.3
178;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Friesland (CR);2013 december;36.8;12.9
179;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Friesland (CR);2014 december;46.6;13.2
180;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidoost-Friesland (CR);2006 december;82.5;13.9
181;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidoost-Friesland (CR);2007 december;86.1;17.4
182;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidoost-Friesland (CR);2008 december;85.9;14.6
183;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidoost-Friesland (CR);2009 december;84.5;14.8
184;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidoost-Friesland (CR);2010 december;88.2;16.2
185;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidoost-Friesland (CR);2011 december;91.0;16.5
186;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidoost-Friesland (CR);2012 december;89.9;17.1
187;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidoost-Friesland (CR);2013 december;86.1;15.8
188;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidoost-Friesland (CR);2014 december;81.1;16.9
189;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Drenthe (CR);2006 december;71.3;13.9
190;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Drenthe (CR);2007 december;73.6;14.6
191;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Drenthe (CR);2008 december;74.7;14.3
192;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Drenthe (CR);2009 december;73.3;14.0
193;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Drenthe (CR);2010 december;76.3;15.5
194;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Drenthe (CR);2011 december;74.3;15.9
195;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Drenthe (CR);2012 december;73.0;15.2
196;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Drenthe (CR);2013 december;71.8;14.4
197;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Drenthe (CR);2014 december;72.6;14.8
198;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidoost-Drenthe (CR);2006 december;63.4;11.8
199;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidoost-Drenthe (CR);2007 december;65.6;12.4
200;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidoost-Drenthe (CR);2008 december;63.8;12.6
201;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidoost-Drenthe (CR);2009 december;61.2;13.8
202;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidoost-Drenthe (CR);2010 december;61.3;12.9
203;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidoost-Drenthe (CR);2011 december;62.4;12.6
204;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidoost-Drenthe (CR);2012 december;60.0;13.8
205;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidoost-Drenthe (CR);2013 december;58.7;13.3
206;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidoost-Drenthe (CR);2014 december;59.8;14.0
207;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Drenthe (CR);2006 december;56.5;15.2
208;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Drenthe (CR);2007 december;57.6;15.8
209;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Drenthe (CR);2008 december;59.0;15.9
210;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Drenthe (CR);2009 december;57.7;15.9
211;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Drenthe (CR);2010 december;60.0;17.0
212;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Drenthe (CR);2011 december;62.6;17.8
213;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Drenthe (CR);2012 december;62.6;20.6
214;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Drenthe (CR);2013 december;61.1;20.7
215;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Drenthe (CR);2014 december;63.3;19.5
216;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Overijssel (CR);2006 december;171.6;16.4
217;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Overijssel (CR);2007 december;174.4;15.3
218;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Overijssel (CR);2008 december;173.9;15.3
219;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Overijssel (CR);2009 december;171.8;15.7
220;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Overijssel (CR);2010 december;174.3;15.3
221;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Overijssel (CR);2011 december;181.2;15.2
222;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Overijssel (CR);2012 december;178.5;16.7
223;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Overijssel (CR);2013 december;174.4;16.3
224;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Noord-Overijssel (CR);2014 december;174.5;16.3
225;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Overijssel (CR);2006 december;64.9;13.1
226;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Overijssel (CR);2007 december;66.2;13.9
227;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Overijssel (CR);2008 december;68.3;14.3
228;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Overijssel (CR);2009 december;66.9;14.2
229;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Overijssel (CR);2010 december;70.5;15.9
230;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Overijssel (CR);2011 december;71.8;15.7
231;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Overijssel (CR);2012 december;69.0;17.5
232;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Overijssel (CR);2013 december;68.7;18.3
233;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Zuidwest-Overijssel (CR);2014 december;70.4;18.1
234;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Twente (CR);2006 december;265.1;12.9
235;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Twente (CR);2007 december;277.3;13.8
236;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Twente (CR);2008 december;276.0;13.3
237;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Twente (CR);2009 december;270.3;13.3
238;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Twente (CR);2010 december;272.1;12.9
239;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Twente (CR);2011 december;280.6;12.3
240;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Twente (CR);2012 december;271.1;13.1
241;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Twente (CR);2013 december;263.8;12.4
242;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Twente (CR);2014 december;268.9;12.9
243;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Veluwe (CR);2006 december;298.0;14.4
244;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Veluwe (CR);2007 december;311.4;14.6
245;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Veluwe (CR);2008 december;309.1;14.3
246;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Veluwe (CR);2009 december;307.9;14.5
247;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Veluwe (CR);2010 december;313.2;14.3
248;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Veluwe (CR);2011 december;322.3;14.3
249;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Veluwe (CR);2012 december;315.3;15.7
250;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;Veluwe (CR);2013 december;306.9;15.6
