ID;TypeHuishouden;Leeftijd;Herkomst;Generatie;OoitOfNooitGescheiden;Perioden;AantalPersonen_1;OpgebouwdeJaarlijkseAanspraken_2;TeBereikenJaarlijkseAanspraken_3;Vervangingspercentage_4;OpgebouwdeJaarlijkseAanspraken_5;TeBereikenJaarlijkseAanspraken_6;Vervangingspercentage_7;Vermogen_8;OpgebouwdeJaarlijkseAanspraken_9;TeBereikenJaarlijkseAanspraken_10;Vervangingspercentage_11
20;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Ooit gescheiden;2009;639650.0;8200.0;12100.0;42.0;4300.0;8400.0;29.0;37.0;12500.0;20500.0;71.0
21;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Ooit gescheiden;2010;611650.0;8500.0;12300.0;41.0;4200.0;8000.0;27.0;36.0;12700.0;20300.0;68.0
22;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Ooit gescheiden;2011;635700.0;8600.0;12600.0;41.0;4200.0;8300.0;27.0;37.0;12800.0;20900.0;68.0
23;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Totaal alle generaties;Ooit gescheiden;2012;639800.0;8800.0;12700.0;41.0;3800.0;7800.0;25.0;35.0;12600.0;20500.0;66.0
24;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Eerste generatie allochtonen;Totaal ooit of nooit gescheiden;2005;404200.0;3200.0;9200.0;56.0;1100.0;3900.0;24.0;11.0;4300.0;13100.0;80.0
25;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Eerste generatie allochtonen;Totaal ooit of nooit gescheiden;2006;406700.0;3300.0;9300.0;53.0;1200.0;4500.0;26.0;11.0;4500.0;13800.0;79.0
26;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Eerste generatie allochtonen;Totaal ooit of nooit gescheiden;2007;421600.0;3400.0;9600.0;52.0;1400.0;5200.0;29.0;12.0;4800.0;14800.0;81.0
27;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Eerste generatie allochtonen;Totaal ooit of nooit gescheiden;2008;443500.0;3500.0;9900.0;53.0;1400.0;5300.0;28.0;19.0;4900.0;15200.0;81.0
28;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Eerste generatie allochtonen;Totaal ooit of nooit gescheiden;2009;461050.0;3600.0;10300.0;56.0;800.0;2100.0;11.0;12.0;4400.0;12400.0;67.0
29;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Eerste generatie allochtonen;Totaal ooit of nooit gescheiden;2010;479000.0;3700.0;10400.0;56.0;800.0;1900.0;10.0;12.0;4500.0;12300.0;66.0
30;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Eerste generatie allochtonen;Totaal ooit of nooit gescheiden;2011;496350.0;3800.0;10600.0;56.0;800.0;1800.0;10.0;11.0;4600.0;12400.0;66.0
31;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Eerste generatie allochtonen;Totaal ooit of nooit gescheiden;2012;501500.0;3800.0;10700.0;56.0;700.0;1700.0;9.0;10.0;4500.0;12400.0;65.0
32;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Eerste generatie allochtonen;Nooit gescheiden;2005;280250.0;2500.0;9300.0;63.0;900.0;3800.0;26.0;10.0;3400.0;13100.0;89.0
33;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Eerste generatie allochtonen;Nooit gescheiden;2006;281200.0;2600.0;9400.0;59.0;900.0;4500.0;28.0;10.0;3500.0;13900.0;87.0
34;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Eerste generatie allochtonen;Nooit gescheiden;2007;293800.0;2700.0;9700.0;57.0;1100.0;5200.0;31.0;11.0;3800.0;14900.0;88.0
35;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Eerste generatie allochtonen;Nooit gescheiden;2008;320800.0;2700.0;9900.0;57.0;1000.0;5300.0;31.0;19.0;3700.0;15200.0;88.0
36;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Eerste generatie allochtonen;Nooit gescheiden;2009;329550.0;2800.0;10400.0;62.0;600.0;1700.0;10.0;10.0;3400.0;12100.0;72.0
37;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Eerste generatie allochtonen;Nooit gescheiden;2010;352750.0;2800.0;10500.0;62.0;600.0;1600.0;10.0;10.0;3400.0;12100.0;72.0
38;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Eerste generatie allochtonen;Nooit gescheiden;2011;373750.0;3000.0;10600.0;61.0;600.0;1500.0;9.0;10.0;3600.0;12100.0;70.0
39;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Eerste generatie allochtonen;Nooit gescheiden;2012;377700.0;3000.0;10600.0;60.0;500.0;1400.0;8.0;9.0;3500.0;12000.0;68.0
40;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Eerste generatie allochtonen;Ooit gescheiden;2005;123950.0;4700.0;9000.0;45.0;1700.0;4000.0;20.0;15.0;6400.0;13000.0;65.0
41;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Eerste generatie allochtonen;Ooit gescheiden;2006;125500.0;4900.0;9100.0;44.0;1800.0;4600.0;22.0;15.0;6700.0;13700.0;66.0
42;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Eerste generatie allochtonen;Ooit gescheiden;2007;127800.0;5100.0;9400.0;44.0;2100.0;5200.0;24.0;17.0;7200.0;14600.0;68.0
43;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Eerste generatie allochtonen;Ooit gescheiden;2008;122700.0;5500.0;9700.0;43.0;2200.0;5300.0;24.0;19.0;7700.0;15000.0;67.0
44;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Eerste generatie allochtonen;Ooit gescheiden;2009;131500.0;5800.0;10200.0;45.0;1500.0;2800.0;12.0;16.0;7300.0;13000.0;57.0
45;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Eerste generatie allochtonen;Ooit gescheiden;2010;126300.0;6100.0;10300.0;44.0;1400.0;2700.0;12.0;16.0;7500.0;13000.0;56.0
46;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Eerste generatie allochtonen;Ooit gescheiden;2011;122600.0;6300.0;10700.0;45.0;1400.0;2700.0;11.0;16.0;7700.0;13400.0;56.0
47;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Eerste generatie allochtonen;Ooit gescheiden;2012;123750.0;6500.0;10800.0;45.0;1300.0;2400.0;10.0;15.0;7800.0;13200.0;55.0
48;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Tweede generatie allochtonen;Totaal ooit of nooit gescheiden;2005;188550.0;4600.0;11200.0;55.0;2100.0;6400.0;32.0;23.0;6700.0;17600.0;87.0
49;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Tweede generatie allochtonen;Totaal ooit of nooit gescheiden;2006;195600.0;4600.0;11400.0;53.0;2100.0;7400.0;34.0;24.0;6700.0;18800.0;87.0
50;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Tweede generatie allochtonen;Totaal ooit of nooit gescheiden;2007;202000.0;4800.0;11800.0;52.0;2400.0;8400.0;37.0;25.0;7200.0;20200.0;89.0
51;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Tweede generatie allochtonen;Totaal ooit of nooit gescheiden;2008;208100.0;5000.0;12100.0;51.0;2500.0;8700.0;37.0;31.0;7500.0;20800.0;88.0
52;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Tweede generatie allochtonen;Totaal ooit of nooit gescheiden;2009;210050.0;5200.0;12700.0;54.0;2200.0;6700.0;28.0;23.0;7400.0;19400.0;82.0
53;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Tweede generatie allochtonen;Totaal ooit of nooit gescheiden;2010;216350.0;5400.0;12800.0;54.0;2200.0;6400.0;27.0;23.0;7600.0;19200.0;81.0
54;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Tweede generatie allochtonen;Totaal ooit of nooit gescheiden;2011;221000.0;5500.0;13100.0;53.0;2100.0;6300.0;26.0;22.0;7600.0;19400.0;79.0
55;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Tweede generatie allochtonen;Totaal ooit of nooit gescheiden;2012;224650.0;5600.0;13200.0;53.0;1900.0;6000.0;24.0;20.0;7500.0;19200.0;77.0
56;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Tweede generatie allochtonen;Nooit gescheiden;2005;147100.0;3900.0;11300.0;59.0;1600.0;6200.0;32.0;21.0;5500.0;17500.0;91.0
57;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Tweede generatie allochtonen;Nooit gescheiden;2006;153200.0;3900.0;11400.0;57.0;1600.0;7100.0;35.0;21.0;5500.0;18500.0;92.0
58;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Tweede generatie allochtonen;Nooit gescheiden;2007;158550.0;4000.0;11800.0;56.0;1900.0;8100.0;38.0;22.0;5900.0;19900.0;94.0
59;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Tweede generatie allochtonen;Nooit gescheiden;2008;166850.0;4200.0;12200.0;55.0;2000.0;8500.0;38.0;29.0;6200.0;20700.0;93.0
60;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Tweede generatie allochtonen;Nooit gescheiden;2009;166050.0;4400.0;12800.0;58.0;1700.0;6200.0;28.0;20.0;6100.0;19000.0;86.0
61;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Tweede generatie allochtonen;Nooit gescheiden;2010;173950.0;4600.0;12900.0;58.0;1700.0;6000.0;27.0;20.0;6300.0;18900.0;85.0
62;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Tweede generatie allochtonen;Nooit gescheiden;2011;176000.0;4700.0;13100.0;58.0;1600.0;5800.0;26.0;19.0;6300.0;18900.0;84.0
63;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Tweede generatie allochtonen;Nooit gescheiden;2012;178800.0;4900.0;13200.0;58.0;1400.0;5500.0;24.0;17.0;6300.0;18700.0;82.0
64;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Tweede generatie allochtonen;Ooit gescheiden;2005;41450.0;7100.0;11000.0;44.0;3700.0;7400.0;30.0;33.0;10800.0;18400.0;74.0
65;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Tweede generatie allochtonen;Ooit gescheiden;2006;42400.0;7200.0;11200.0;42.0;3800.0;8300.0;31.0;34.0;11000.0;19500.0;73.0
66;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Tweede generatie allochtonen;Ooit gescheiden;2007;43400.0;7500.0;11600.0;41.0;4400.0;9400.0;33.0;35.0;11900.0;21000.0;74.0
67;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Tweede generatie allochtonen;Ooit gescheiden;2008;41250.0;7900.0;11900.0;41.0;4700.0;9800.0;33.0;38.0;12600.0;21700.0;74.0
68;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Tweede generatie allochtonen;Ooit gescheiden;2009;44000.0;8300.0;12500.0;42.0;4300.0;8500.0;28.0;34.0;12600.0;21000.0;70.0
69;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Tweede generatie allochtonen;Ooit gescheiden;2010;42400.0;8600.0;12700.0;42.0;4300.0;8200.0;27.0;33.0;12900.0;20900.0;69.0
70;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Tweede generatie allochtonen;Ooit gescheiden;2011;45000.0;8600.0;12900.0;41.0;4100.0;8300.0;26.0;33.0;12700.0;21200.0;67.0
71;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Tweede generatie allochtonen;Ooit gescheiden;2012;45850.0;8700.0;13100.0;41.0;3700.0;7700.0;24.0;31.0;12400.0;20800.0;65.0
72;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Autochtonen;Totaal ooit of nooit gescheiden;2005;1550800.0;5800.0;11300.0;46.0;3000.0;8100.0;33.0;37.0;8800.0;19400.0;79.0
73;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Autochtonen;Totaal ooit of nooit gescheiden;2006;1574800.0;5900.0;11400.0;44.0;3000.0;9100.0;35.0;38.0;8900.0;20500.0;79.0
74;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Autochtonen;Totaal ooit of nooit gescheiden;2007;1596550.0;6100.0;11800.0;43.0;3600.0;10200.0;37.0;39.0;9700.0;22000.0;80.0
75;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Autochtonen;Totaal ooit of nooit gescheiden;2008;1611200.0;6300.0;12100.0;43.0;3700.0;10600.0;38.0;42.0;10000.0;22700.0;81.0
76;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Autochtonen;Totaal ooit of nooit gescheiden;2009;1608100.0;6700.0;12800.0;45.0;3700.0;10100.0;36.0;38.0;10400.0;22900.0;81.0
77;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Autochtonen;Totaal ooit of nooit gescheiden;2010;1636550.0;6800.0;12900.0;45.0;3600.0;9800.0;34.0;37.0;10400.0;22700.0;79.0
78;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Autochtonen;Totaal ooit of nooit gescheiden;2011;1655500.0;6900.0;13100.0;45.0;3500.0;9700.0;33.0;36.0;10400.0;22800.0;78.0
79;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Autochtonen;Totaal ooit of nooit gescheiden;2012;1670500.0;7000.0;13300.0;45.0;3200.0;9200.0;31.0;34.0;10200.0;22500.0;76.0
80;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Autochtonen;Nooit gescheiden;2005;1100400.0;5000.0;11300.0;47.0;2600.0;8200.0;34.0;35.0;7600.0;19500.0;81.0
81;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Autochtonen;Nooit gescheiden;2006;1118950.0;5100.0;11400.0;45.0;2600.0;9300.0;37.0;36.0;7700.0;20700.0;82.0
82;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Autochtonen;Nooit gescheiden;2007;1130600.0;5300.0;11800.0;45.0;3100.0;10400.0;39.0;37.0;8400.0;22200.0;84.0
83;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Autochtonen;Nooit gescheiden;2008;1171850.0;5500.0;12200.0;44.0;3200.0;10900.0;39.0;41.0;8700.0;23100.0;83.0
84;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Autochtonen;Nooit gescheiden;2009;1143950.0;5800.0;12800.0;47.0;3100.0;10200.0;37.0;35.0;8900.0;23000.0;84.0
85;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Autochtonen;Nooit gescheiden;2010;1193550.0;5900.0;12900.0;47.0;3000.0;9800.0;36.0;35.0;8900.0;22700.0;83.0
86;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Autochtonen;Nooit gescheiden;2011;1187400.0;6000.0;13100.0;47.0;2900.0;9700.0;35.0;34.0;8900.0;22800.0;82.0
87;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Autochtonen;Nooit gescheiden;2012;1200350.0;6100.0;13300.0;48.0;2600.0;9100.0;33.0;31.0;8700.0;22400.0;81.0
88;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Autochtonen;Ooit gescheiden;2005;450400.0;7600.0;11100.0;44.0;4100.0;7800.0;30.0;40.0;11700.0;18900.0;74.0
89;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Autochtonen;Ooit gescheiden;2006;455850.0;7700.0;11300.0;41.0;4100.0;8600.0;31.0;42.0;11800.0;19900.0;72.0
90;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Autochtonen;Ooit gescheiden;2007;465950.0;8100.0;11700.0;41.0;4800.0;9700.0;34.0;43.0;12900.0;21400.0;75.0
91;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Autochtonen;Ooit gescheiden;2008;439350.0;8500.0;12000.0;40.0;5100.0;9900.0;33.0;46.0;13600.0;21900.0;73.0
92;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Autochtonen;Ooit gescheiden;2009;464200.0;8900.0;12600.0;41.0;5100.0;9900.0;32.0;43.0;14000.0;22500.0;73.0
93;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Autochtonen;Ooit gescheiden;2010;442950.0;9200.0;12800.0;41.0;5000.0;9500.0;30.0;43.0;14200.0;22300.0;71.0
94;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Autochtonen;Ooit gescheiden;2011;468100.0;9300.0;13000.0;40.0;4900.0;9800.0;30.0;42.0;14200.0;22800.0;70.0
95;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Totaal autochtonen en allochtonen;Autochtonen;Ooit gescheiden;2012;470150.0;9400.0;13200.0;40.0;4500.0;9300.0;28.0;41.0;13900.0;22500.0;68.0
96;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Autochtonen;Totaal alle generaties;Totaal ooit of nooit gescheiden;2005;1550800.0;5800.0;11300.0;46.0;3000.0;8100.0;33.0;37.0;8800.0;19400.0;79.0
97;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Autochtonen;Totaal alle generaties;Totaal ooit of nooit gescheiden;2006;1574800.0;5900.0;11400.0;44.0;3000.0;9100.0;35.0;38.0;8900.0;20500.0;79.0
98;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Autochtonen;Totaal alle generaties;Totaal ooit of nooit gescheiden;2007;1596550.0;6100.0;11800.0;43.0;3600.0;10200.0;37.0;39.0;9700.0;22000.0;80.0
99;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Autochtonen;Totaal alle generaties;Totaal ooit of nooit gescheiden;2008;1611200.0;6300.0;12100.0;43.0;3700.0;10600.0;38.0;42.0;10000.0;22700.0;81.0
100;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Autochtonen;Totaal alle generaties;Totaal ooit of nooit gescheiden;2009;1608100.0;6700.0;12800.0;45.0;3700.0;10100.0;36.0;38.0;10400.0;22900.0;81.0
101;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Autochtonen;Totaal alle generaties;Totaal ooit of nooit gescheiden;2010;1636550.0;6800.0;12900.0;45.0;3600.0;9800.0;34.0;37.0;10400.0;22700.0;79.0
102;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Autochtonen;Totaal alle generaties;Totaal ooit of nooit gescheiden;2011;1655500.0;6900.0;13100.0;45.0;3500.0;9700.0;33.0;36.0;10400.0;22800.0;78.0
103;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Autochtonen;Totaal alle generaties;Totaal ooit of nooit gescheiden;2012;1670500.0;7000.0;13300.0;45.0;3200.0;9200.0;31.0;34.0;10200.0;22500.0;76.0
104;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Autochtonen;Totaal alle generaties;Nooit gescheiden;2005;1100400.0;5000.0;11300.0;47.0;2600.0;8200.0;34.0;35.0;7600.0;19500.0;81.0
105;Totaal huishoudsamenstelling;Totaal 15 tot 65 jarigen;Autochtonen;Totaal alle generaties;Nooit gescheiden;2006;1118950.0;5100.0;11400.0;45.0;2600.0;9300.0;37.0;36.0;7700.0;20700.0;82.0
