ID;Populatie;RegioS;Motieven;Geslacht;Persoonskenmerken;Perioden;VerplaatsingenPerPersoonPerDag_1;AfstandPerPersoonPerDag_2;ReisduurPerPersoonPerDag_3
84;Hele bevolking;Nederland;1;1;Jaarinkomen: minder dan 7 500 euro;2000;3.2;28.06;61.37
85;Hele bevolking;Nederland;1;1;Jaarinkomen: minder dan 7 500 euro;2001;3.08;28.62;60.08
86;Hele bevolking;Nederland;1;1;Jaarinkomen: minder dan 7 500 euro;2002;3.15;28.61;61.21
87;Hele bevolking;Nederland;1;1;Jaarinkomen: minder dan 7 500 euro;2003;3.04;27.64;58.51
88;Hele bevolking;Nederland;1;1;Jaarinkomen: minder dan 7 500 euro;2004;3.07;30.54;63.16
89;Hele bevolking;Nederland;1;1;Jaarinkomen: minder dan 7 500 euro;2005;3.02;28.32;61.37
90;Hele bevolking;Nederland;1;1;Jaarinkomen: minder dan 7 500 euro;2006;3.11;29.89;64.91
91;Hele bevolking;Nederland;1;1;Jaarinkomen: minder dan 7 500 euro;2007;2.98;29.98;62.97
92;Hele bevolking;Nederland;1;1;Jaarinkomen: 7 500 tot 15 000 euro;1985;2.75;23.65;53.3
93;Hele bevolking;Nederland;1;1;Jaarinkomen: 7 500 tot 15 000 euro;1986;2.74;24.2;55.13
94;Hele bevolking;Nederland;1;1;Jaarinkomen: 7 500 tot 15 000 euro;1987;2.77;24.74;55.43
95;Hele bevolking;Nederland;1;1;Jaarinkomen: 7 500 tot 15 000 euro;1988;2.85;24.64;57.2
96;Hele bevolking;Nederland;1;1;Jaarinkomen: 7 500 tot 15 000 euro;1989;2.88;24.48;55.84
97;Hele bevolking;Nederland;1;1;Jaarinkomen: 7 500 tot 15 000 euro;1990;3.27;32.52;65.82
98;Hele bevolking;Nederland;1;1;Jaarinkomen: 7 500 tot 15 000 euro;1991;3.05;30.94;62.78
99;Hele bevolking;Nederland;1;1;Jaarinkomen: 7 500 tot 15 000 euro;1992;3.11;30.73;62.79
100;Hele bevolking;Nederland;1;1;Jaarinkomen: 7 500 tot 15 000 euro;1993;3.1;30.45;61.46
101;Hele bevolking;Nederland;1;1;Jaarinkomen: 7 500 tot 15 000 euro;1994;3.07;29.7;60.65
102;Hele bevolking;Nederland;1;1;Jaarinkomen: 7 500 tot 15 000 euro;1995;3.04;31.27;62.21
103;Hele bevolking;Nederland;1;1;Jaarinkomen: 7 500 tot 15 000 euro;1996;3.02;31.26;61.7
104;Hele bevolking;Nederland;1;1;Jaarinkomen: 7 500 tot 15 000 euro;1997;3.05;32.78;64.1
105;Hele bevolking;Nederland;1;1;Jaarinkomen: 7 500 tot 15 000 euro;1998;3.02;31.63;62.3
106;Hele bevolking;Nederland;1;1;Jaarinkomen: 7 500 tot 15 000 euro;1999;2.96;27.07;56.51
107;Hele bevolking;Nederland;1;1;Jaarinkomen: 7 500 tot 15 000 euro;2000;2.95;26.1;55.67
108;Hele bevolking;Nederland;1;1;Jaarinkomen: 7 500 tot 15 000 euro;2001;2.92;25.01;53.87
109;Hele bevolking;Nederland;1;1;Jaarinkomen: 7 500 tot 15 000 euro;2002;3.0;26.71;55.35
110;Hele bevolking;Nederland;1;1;Jaarinkomen: 7 500 tot 15 000 euro;2003;2.94;25.31;54.15
111;Hele bevolking;Nederland;1;1;Jaarinkomen: 7 500 tot 15 000 euro;2004;3.0;27.54;58.15
112;Hele bevolking;Nederland;1;1;Jaarinkomen: 7 500 tot 15 000 euro;2005;2.89;25.78;55.27
113;Hele bevolking;Nederland;1;1;Jaarinkomen: 7 500 tot 15 000 euro;2006;2.91;24.99;53.9
114;Hele bevolking;Nederland;1;1;Jaarinkomen: 7 500 tot 15 000 euro;2007;2.9;25.5;54.81
115;Hele bevolking;Nederland;1;1;Jaarinkomen: 15 000 tot 22 500 euro;1985;3.06;34.87;66.46
116;Hele bevolking;Nederland;1;1;Jaarinkomen: 15 000 tot 22 500 euro;1986;3.03;30.4;64.04
117;Hele bevolking;Nederland;1;1;Jaarinkomen: 15 000 tot 22 500 euro;1987;3.02;31.9;63.9
118;Hele bevolking;Nederland;1;1;Jaarinkomen: 15 000 tot 22 500 euro;1988;3.14;33.33;65.54
119;Hele bevolking;Nederland;1;1;Jaarinkomen: 15 000 tot 22 500 euro;1989;3.21;33.48;66.87
120;Hele bevolking;Nederland;1;1;Jaarinkomen: 15 000 tot 22 500 euro;1990;3.57;44.92;77.99
121;Hele bevolking;Nederland;1;1;Jaarinkomen: 15 000 tot 22 500 euro;1991;3.45;40.81;72.48
122;Hele bevolking;Nederland;1;1;Jaarinkomen: 15 000 tot 22 500 euro;1992;3.55;44.35;76.32
123;Hele bevolking;Nederland;1;1;Jaarinkomen: 15 000 tot 22 500 euro;1993;3.39;40.82;72.55
124;Hele bevolking;Nederland;1;1;Jaarinkomen: 15 000 tot 22 500 euro;1994;3.48;40.96;73.6
125;Hele bevolking;Nederland;1;1;Jaarinkomen: 15 000 tot 22 500 euro;1995;3.42;43.24;74.95
126;Hele bevolking;Nederland;1;1;Jaarinkomen: 15 000 tot 22 500 euro;1996;3.32;42.34;72.62
127;Hele bevolking;Nederland;1;1;Jaarinkomen: 15 000 tot 22 500 euro;1997;3.35;42.06;73.63
128;Hele bevolking;Nederland;1;1;Jaarinkomen: 15 000 tot 22 500 euro;1998;3.34;42.98;73.49
129;Hele bevolking;Nederland;1;1;Jaarinkomen: 15 000 tot 22 500 euro;1999;3.46;42.4;73.49
130;Hele bevolking;Nederland;1;1;Jaarinkomen: 15 000 tot 22 500 euro;2000;3.38;41.43;71.85
131;Hele bevolking;Nederland;1;1;Jaarinkomen: 15 000 tot 22 500 euro;2001;3.3;38.14;68.4
132;Hele bevolking;Nederland;1;1;Jaarinkomen: 15 000 tot 22 500 euro;2002;3.33;38.55;68.33
133;Hele bevolking;Nederland;1;1;Jaarinkomen: 15 000 tot 22 500 euro;2003;3.38;38.91;69.75
134;Hele bevolking;Nederland;1;1;Jaarinkomen: 15 000 tot 22 500 euro;2004;3.38;39.6;70.83
135;Hele bevolking;Nederland;1;1;Jaarinkomen: 15 000 tot 22 500 euro;2005;3.31;38.02;68.31
136;Hele bevolking;Nederland;1;1;Jaarinkomen: 15 000 tot 22 500 euro;2006;3.34;38.33;70.17
137;Hele bevolking;Nederland;1;1;Jaarinkomen: 15 000 tot 22 500 euro;2007;3.33;37.39;69.77
138;Hele bevolking;Nederland;1;1;Jaarinkomen: 22 500 tot 30 000 euro;1985;3.56;42.42;77.74
139;Hele bevolking;Nederland;1;1;Jaarinkomen: 22 500 tot 30 000 euro;1986;3.44;43.02;76.19
140;Hele bevolking;Nederland;1;1;Jaarinkomen: 22 500 tot 30 000 euro;1987;3.47;41.51;75.32
141;Hele bevolking;Nederland;1;1;Jaarinkomen: 22 500 tot 30 000 euro;1988;3.55;43.41;77.17
142;Hele bevolking;Nederland;1;1;Jaarinkomen: 22 500 tot 30 000 euro;1989;3.61;45.15;77.71
143;Hele bevolking;Nederland;1;1;Jaarinkomen: 22 500 tot 30 000 euro;1990;3.66;54.88;84.25
144;Hele bevolking;Nederland;1;1;Jaarinkomen: 22 500 tot 30 000 euro;1991;3.59;50.27;79.75
145;Hele bevolking;Nederland;1;1;Jaarinkomen: 22 500 tot 30 000 euro;1992;3.61;50.27;80.54
146;Hele bevolking;Nederland;1;1;Jaarinkomen: 22 500 tot 30 000 euro;1993;3.64;48.57;78.98
147;Hele bevolking;Nederland;1;1;Jaarinkomen: 22 500 tot 30 000 euro;1994;3.54;47.73;78.52
148;Hele bevolking;Nederland;1;1;Jaarinkomen: 22 500 tot 30 000 euro;1995;3.52;48.69;80.22
149;Hele bevolking;Nederland;1;1;Jaarinkomen: 22 500 tot 30 000 euro;1996;3.54;48.93;79.69
150;Hele bevolking;Nederland;1;1;Jaarinkomen: 22 500 tot 30 000 euro;1997;3.5;49.32;80.9
151;Hele bevolking;Nederland;1;1;Jaarinkomen: 22 500 tot 30 000 euro;1998;3.49;49.72;80.2
152;Hele bevolking;Nederland;1;1;Jaarinkomen: 22 500 tot 30 000 euro;1999;3.56;49.82;80.65
153;Hele bevolking;Nederland;1;1;Jaarinkomen: 22 500 tot 30 000 euro;2000;3.43;49.01;78.33
154;Hele bevolking;Nederland;1;1;Jaarinkomen: 22 500 tot 30 000 euro;2001;3.43;48.55;78.04
155;Hele bevolking;Nederland;1;1;Jaarinkomen: 22 500 tot 30 000 euro;2002;3.42;46.53;75.6
156;Hele bevolking;Nederland;1;1;Jaarinkomen: 22 500 tot 30 000 euro;2003;3.49;48.12;77.41
157;Hele bevolking;Nederland;1;1;Jaarinkomen: 22 500 tot 30 000 euro;2004;3.43;47.08;78.03
158;Hele bevolking;Nederland;1;1;Jaarinkomen: 22 500 tot 30 000 euro;2005;3.42;47.65;76.54
159;Hele bevolking;Nederland;1;1;Jaarinkomen: 22 500 tot 30 000 euro;2006;3.42;46.1;77.02
160;Hele bevolking;Nederland;1;1;Jaarinkomen: 22 500 tot 30 000 euro;2007;3.36;46.85;77.26
161;Hele bevolking;Nederland;1;1;Jaarinkomen: 30 000 euro of meer;1985;3.65;52.15;83.81
162;Hele bevolking;Nederland;1;1;Jaarinkomen: 30 000 euro of meer;1986;3.62;58.46;90.47
163;Hele bevolking;Nederland;1;1;Jaarinkomen: 30 000 euro of meer;1987;3.71;54.16;85.82
164;Hele bevolking;Nederland;1;1;Jaarinkomen: 30 000 euro of meer;1988;3.61;53.97;85.41
165;Hele bevolking;Nederland;1;1;Jaarinkomen: 30 000 euro of meer;1989;3.71;55.57;85.81
166;Hele bevolking;Nederland;1;1;Jaarinkomen: 30 000 euro of meer;1990;3.86;62.79;92.44
167;Hele bevolking;Nederland;1;1;Jaarinkomen: 30 000 euro of meer;1991;3.71;65.71;92.5
168;Hele bevolking;Nederland;1;1;Jaarinkomen: 30 000 euro of meer;1992;3.7;64.77;94.72
169;Hele bevolking;Nederland;1;1;Jaarinkomen: 30 000 euro of meer;1993;3.79;62.13;90.84
170;Hele bevolking;Nederland;1;1;Jaarinkomen: 30 000 euro of meer;1994;3.68;58.69;89.3
171;Hele bevolking;Nederland;1;1;Jaarinkomen: 30 000 euro of meer;1995;3.63;61.24;90.16
172;Hele bevolking;Nederland;1;1;Jaarinkomen: 30 000 euro of meer;1996;3.61;60.43;88.87
173;Hele bevolking;Nederland;1;1;Jaarinkomen: 30 000 euro of meer;1997;3.59;61.47;90.76
174;Hele bevolking;Nederland;1;1;Jaarinkomen: 30 000 euro of meer;1998;3.6;61.64;91.15
175;Hele bevolking;Nederland;1;1;Jaarinkomen: 30 000 euro of meer;1999;3.66;64.12;92.35
176;Hele bevolking;Nederland;1;1;Jaarinkomen: 30 000 euro of meer;2000;3.58;61.31;89.04
177;Hele bevolking;Nederland;1;1;Jaarinkomen: 30 000 euro of meer;2001;3.56;60.28;89.1
178;Hele bevolking;Nederland;1;1;Jaarinkomen: 30 000 euro of meer;2002;3.51;57.84;84.34
179;Hele bevolking;Nederland;1;1;Jaarinkomen: 30 000 euro of meer;2003;3.53;57.0;84.46
180;Hele bevolking;Nederland;1;1;Jaarinkomen: 30 000 euro of meer;2004;3.51;60.32;88.07
181;Hele bevolking;Nederland;1;1;Jaarinkomen: 30 000 euro of meer;2005;3.48;60.33;87.59
182;Hele bevolking;Nederland;1;1;Jaarinkomen: 30 000 euro of meer;2006;3.45;60.96;88.67
183;Hele bevolking;Nederland;1;1;Jaarinkomen: 30 000 euro of meer;2007;3.41;59.73;86.87
184;Hele bevolking;Nederland;1;1;Onderwijsniveau: personen < 12 jaar;1985;;;
185;Hele bevolking;Nederland;1;1;Onderwijsniveau: personen < 12 jaar;1986;;;
186;Hele bevolking;Nederland;1;1;Onderwijsniveau: personen < 12 jaar;1987;;;
187;Hele bevolking;Nederland;1;1;Onderwijsniveau: personen < 12 jaar;1988;;;
188;Hele bevolking;Nederland;1;1;Onderwijsniveau: personen < 12 jaar;1989;;;
189;Hele bevolking;Nederland;1;1;Onderwijsniveau: personen < 12 jaar;1990;;;
190;Hele bevolking;Nederland;1;1;Onderwijsniveau: personen < 12 jaar;1991;;;
191;Hele bevolking;Nederland;1;1;Onderwijsniveau: personen < 12 jaar;1992;;;
192;Hele bevolking;Nederland;1;1;Onderwijsniveau: personen < 12 jaar;1993;;;
193;Hele bevolking;Nederland;1;1;Onderwijsniveau: personen < 12 jaar;1994;3.29;16.9;43.02
194;Hele bevolking;Nederland;1;1;Onderwijsniveau: personen < 12 jaar;1995;3.25;16.0;41.95
195;Hele bevolking;Nederland;1;1;Onderwijsniveau: personen < 12 jaar;1996;3.25;16.26;41.01
196;Hele bevolking;Nederland;1;1;Onderwijsniveau: personen < 12 jaar;1997;3.24;17.68;43.2
197;Hele bevolking;Nederland;1;1;Onderwijsniveau: personen < 12 jaar;1998;3.22;17.29;42.0
198;Hele bevolking;Nederland;1;1;Onderwijsniveau: personen < 12 jaar;1999;3.13;17.09;42.37
199;Hele bevolking;Nederland;1;1;Onderwijsniveau: personen < 12 jaar;2000;3.08;16.29;40.73
200;Hele bevolking;Nederland;1;1;Onderwijsniveau: personen < 12 jaar;2001;3.02;16.39;39.4
201;Hele bevolking;Nederland;1;1;Onderwijsniveau: personen < 12 jaar;2002;3.02;16.61;39.87
202;Hele bevolking;Nederland;1;1;Onderwijsniveau: personen < 12 jaar;2003;3.04;16.78;39.62
203;Hele bevolking;Nederland;1;1;Onderwijsniveau: personen < 12 jaar;2004;2.98;17.63;40.01
204;Hele bevolking;Nederland;1;1;Onderwijsniveau: personen < 12 jaar;2005;2.87;16.85;38.05
205;Hele bevolking;Nederland;1;1;Onderwijsniveau: personen < 12 jaar;2006;2.93;16.37;38.51
206;Hele bevolking;Nederland;1;1;Onderwijsniveau: personen < 12 jaar;2007;2.9;17.17;38.08
207;Hele bevolking;Nederland;1;1;Onderwijsniveau: basisonderwijs;1985;2.46;18.75;49.31
208;Hele bevolking;Nederland;1;1;Onderwijsniveau: basisonderwijs;1986;2.51;20.39;51.06
209;Hele bevolking;Nederland;1;1;Onderwijsniveau: basisonderwijs;1987;2.45;19.83;49.22
210;Hele bevolking;Nederland;1;1;Onderwijsniveau: basisonderwijs;1988;2.49;19.83;50.66
211;Hele bevolking;Nederland;1;1;Onderwijsniveau: basisonderwijs;1989;2.63;20.11;52.1
212;Hele bevolking;Nederland;1;1;Onderwijsniveau: basisonderwijs;1990;2.65;20.82;53.07
213;Hele bevolking;Nederland;1;1;Onderwijsniveau: basisonderwijs;1991;2.59;20.95;51.04
214;Hele bevolking;Nederland;1;1;Onderwijsniveau: basisonderwijs;1992;2.46;20.32;50.38
215;Hele bevolking;Nederland;1;1;Onderwijsniveau: basisonderwijs;1993;2.49;18.81;48.46
216;Hele bevolking;Nederland;1;1;Onderwijsniveau: basisonderwijs;1994;2.45;19.39;49.32
217;Hele bevolking;Nederland;1;1;Onderwijsniveau: basisonderwijs;1995;2.42;19.86;49.19
218;Hele bevolking;Nederland;1;1;Onderwijsniveau: basisonderwijs;1996;2.41;19.37;47.92
219;Hele bevolking;Nederland;1;1;Onderwijsniveau: basisonderwijs;1997;2.41;20.16;49.85
220;Hele bevolking;Nederland;1;1;Onderwijsniveau: basisonderwijs;1998;2.42;19.34;48.11
221;Hele bevolking;Nederland;1;1;Onderwijsniveau: basisonderwijs;1999;2.4;18.24;46.45
222;Hele bevolking;Nederland;1;1;Onderwijsniveau: basisonderwijs;2000;2.4;18.26;46.15
223;Hele bevolking;Nederland;1;1;Onderwijsniveau: basisonderwijs;2001;2.37;17.37;44.93
224;Hele bevolking;Nederland;1;1;Onderwijsniveau: basisonderwijs;2002;2.32;17.4;44.81
225;Hele bevolking;Nederland;1;1;Onderwijsniveau: basisonderwijs;2003;2.32;17.23;44.22
226;Hele bevolking;Nederland;1;1;Onderwijsniveau: basisonderwijs;2004;2.44;20.54;49.01
227;Hele bevolking;Nederland;1;1;Onderwijsniveau: basisonderwijs;2005;2.36;18.24;46.88
228;Hele bevolking;Nederland;1;1;Onderwijsniveau: basisonderwijs;2006;2.37;18.21;45.64
229;Hele bevolking;Nederland;1;1;Onderwijsniveau: basisonderwijs;2007;2.41;18.53;46.7
230;Hele bevolking;Nederland;1;1;Onderwijsniveau: vbo/mavo;1985;3.06;29.12;59.77
231;Hele bevolking;Nederland;1;1;Onderwijsniveau: vbo/mavo;1986;2.95;28.67;59.33
232;Hele bevolking;Nederland;1;1;Onderwijsniveau: vbo/mavo;1987;3.0;28.94;59.58
233;Hele bevolking;Nederland;1;1;Onderwijsniveau: vbo/mavo;1988;3.05;29.39;61.04
234;Hele bevolking;Nederland;1;1;Onderwijsniveau: vbo/mavo;1989;3.1;31.14;61.94
235;Hele bevolking;Nederland;1;1;Onderwijsniveau: vbo/mavo;1990;3.16;30.93;61.23
236;Hele bevolking;Nederland;1;1;Onderwijsniveau: vbo/mavo;1991;3.05;29.94;60.72
237;Hele bevolking;Nederland;1;1;Onderwijsniveau: vbo/mavo;1992;3.04;32.11;62.02
238;Hele bevolking;Nederland;1;1;Onderwijsniveau: vbo/mavo;1993;2.97;29.38;58.94
239;Hele bevolking;Nederland;1;1;Onderwijsniveau: vbo/mavo;1994;3.0;29.7;59.1
240;Hele bevolking;Nederland;1;1;Onderwijsniveau: vbo/mavo;1995;2.95;30.68;59.94
241;Hele bevolking;Nederland;1;1;Onderwijsniveau: vbo/mavo;1996;2.92;29.67;58.45
242;Hele bevolking;Nederland;1;1;Onderwijsniveau: vbo/mavo;1997;2.89;29.94;59.12
243;Hele bevolking;Nederland;1;1;Onderwijsniveau: vbo/mavo;1998;2.85;29.74;57.88
244;Hele bevolking;Nederland;1;1;Onderwijsniveau: vbo/mavo;1999;3.03;30.7;59.44
245;Hele bevolking;Nederland;1;1;Onderwijsniveau: vbo/mavo;2000;2.98;30.06;58.06
246;Hele bevolking;Nederland;1;1;Onderwijsniveau: vbo/mavo;2001;2.91;29.11;56.4
247;Hele bevolking;Nederland;1;1;Onderwijsniveau: vbo/mavo;2002;2.92;29.63;56.01
248;Hele bevolking;Nederland;1;1;Onderwijsniveau: vbo/mavo;2003;2.92;29.67;56.57
249;Hele bevolking;Nederland;1;1;Onderwijsniveau: vbo/mavo;2004;2.85;29.13;57.25
250;Hele bevolking;Nederland;1;1;Onderwijsniveau: vbo/mavo;2005;2.86;29.24;57.07
251;Hele bevolking;Nederland;1;1;Onderwijsniveau: vbo/mavo;2006;2.9;29.06;57.79
252;Hele bevolking;Nederland;1;1;Onderwijsniveau: vbo/mavo;2007;2.82;27.83;56.23
253;Hele bevolking;Nederland;1;1;Onderwijsniveau: mbo/havo/vwo;1985;3.66;39.19;74.44
254;Hele bevolking;Nederland;1;1;Onderwijsniveau: mbo/havo/vwo;1986;3.61;39.69;75.4
255;Hele bevolking;Nederland;1;1;Onderwijsniveau: mbo/havo/vwo;1987;3.62;39.79;75.52
256;Hele bevolking;Nederland;1;1;Onderwijsniveau: mbo/havo/vwo;1988;3.68;41.18;76.17
257;Hele bevolking;Nederland;1;1;Onderwijsniveau: mbo/havo/vwo;1989;3.77;40.44;76.0
258;Hele bevolking;Nederland;1;1;Onderwijsniveau: mbo/havo/vwo;1990;3.79;41.56;76.4
259;Hele bevolking;Nederland;1;1;Onderwijsniveau: mbo/havo/vwo;1991;3.63;42.32;74.92
260;Hele bevolking;Nederland;1;1;Onderwijsniveau: mbo/havo/vwo;1992;3.75;40.49;74.9
