ID;Providers;Financing;Periods;ExpenditureOnHealthAndSocialCare_1
167;Total health care providers;HF11: Government excl. social security;2010;5355.0
168;Total health care providers;HF11: Government excl. social security;2011;5592.0
169;Total health care providers;HF11: Government excl. social security;2012;5379.0
170;Total health care providers;HF11: Government excl. social security;2013;4616.0
171;Total health care providers;HF12: Social security funds;2005;33473.0
172;Total health care providers;HF12: Social security funds;2006;42631.0
173;Total health care providers;HF12: Social security funds;2007;43616.0
174;Total health care providers;HF12: Social security funds;2008;46674.0
175;Total health care providers;HF12: Social security funds;2009;49006.0
176;Total health care providers;HF12: Social security funds;2010;51218.0
177;Total health care providers;HF12: Social security funds;2011;52023.0
178;Total health care providers;HF12: Social security funds;2012;55228.0
179;Total health care providers;HF12: Social security funds;2013;57517.0
180;Total health care providers;HF121a: Exceptional Medical Expenses Act;2005;16624.0
181;Total health care providers;HF121a: Exceptional Medical Expenses Act;2006;17464.0
182;Total health care providers;HF121a: Exceptional Medical Expenses Act;2007;17493.0
183;Total health care providers;HF121a: Exceptional Medical Expenses Act;2008;16233.0
184;Total health care providers;HF121a: Exceptional Medical Expenses Act;2009;16849.0
185;Total health care providers;HF121a: Exceptional Medical Expenses Act;2010;17713.0
186;Total health care providers;HF121a: Exceptional Medical Expenses Act;2011;18296.0
187;Total health care providers;HF121a: Exceptional Medical Expenses Act;2012;20189.0
188;Total health care providers;HF121a: Exceptional Medical Expenses Act;2013;19629.0
189;Total health care providers;HF121b: Health Insurance Fund;2005;16848.0
190;Total health care providers;HF121b: Health Insurance Fund;2006;
191;Total health care providers;HF121b: Health Insurance Fund;2007;
192;Total health care providers;HF121b: Health Insurance Fund;2008;
193;Total health care providers;HF121b: Health Insurance Fund;2009;
194;Total health care providers;HF121b: Health Insurance Fund;2010;
195;Total health care providers;HF121b: Health Insurance Fund;2011;
196;Total health care providers;HF121b: Health Insurance Fund;2012;
197;Total health care providers;HF121b: Health Insurance Fund;2013;
198;Total health care providers;HF122: Health care insurance act;2005;
199;Total health care providers;HF122: Health care insurance act;2006;25167.0
200;Total health care providers;HF122: Health care insurance act;2007;26123.0
201;Total health care providers;HF122: Health care insurance act;2008;30441.0
202;Total health care providers;HF122: Health care insurance act;2009;32158.0
203;Total health care providers;HF122: Health care insurance act;2010;33506.0
204;Total health care providers;HF122: Health care insurance act;2011;33727.0
205;Total health care providers;HF122: Health care insurance act;2012;35039.0
206;Total health care providers;HF122: Health care insurance act;2013;37889.0
207;Total health care providers;HF2: Private sector;2005;15684.0
208;Total health care providers;HF2: Private sector;2006;8424.0
209;Total health care providers;HF2: Private sector;2007;8811.0
210;Total health care providers;HF2: Private sector;2008;9119.0
211;Total health care providers;HF2: Private sector;2009;8908.0
212;Total health care providers;HF2: Private sector;2010;9141.0
213;Total health care providers;HF2: Private sector;2011;9624.0
214;Total health care providers;HF2: Private sector;2012;10020.0
215;Total health care providers;HF2: Private sector;2013;9807.0
216;Total health care providers;HF21: Private social insurance;2005;3190.0
217;Total health care providers;HF21: Private social insurance;2006;
218;Total health care providers;HF21: Private social insurance;2007;
219;Total health care providers;HF21: Private social insurance;2008;
220;Total health care providers;HF21: Private social insurance;2009;
221;Total health care providers;HF21: Private social insurance;2010;
222;Total health care providers;HF21: Private social insurance;2011;
223;Total health care providers;HF21: Private social insurance;2012;
224;Total health care providers;HF21: Private social insurance;2013;
225;Total health care providers;HF22: Private insurance;2005;5630.0
226;Total health care providers;HF22: Private insurance;2006;2897.0
227;Total health care providers;HF22: Private insurance;2007;3138.0
228;Total health care providers;HF22: Private insurance;2008;3146.0
229;Total health care providers;HF22: Private insurance;2009;3375.0
230;Total health care providers;HF22: Private insurance;2010;3399.0
231;Total health care providers;HF22: Private insurance;2011;3725.0
232;Total health care providers;HF22: Private insurance;2012;3843.0
233;Total health care providers;HF22: Private insurance;2013;3637.0
234;Total health care providers;HF23: Out-of-pocket expenditure;2005;4210.0
235;Total health care providers;HF23: Out-of-pocket expenditure;2006;3611.0
236;Total health care providers;HF23: Out-of-pocket expenditure;2007;3726.0
237;Total health care providers;HF23: Out-of-pocket expenditure;2008;4030.0
238;Total health care providers;HF23: Out-of-pocket expenditure;2009;3640.0
239;Total health care providers;HF23: Out-of-pocket expenditure;2010;3776.0
240;Total health care providers;HF23: Out-of-pocket expenditure;2011;3962.0
241;Total health care providers;HF23: Out-of-pocket expenditure;2012;4205.0
242;Total health care providers;HF23: Out-of-pocket expenditure;2013;4175.0
243;Total health care providers;HF24: Non-profit institutions;2005;789.0
244;Total health care providers;HF24: Non-profit institutions;2006;838.0
245;Total health care providers;HF24: Non-profit institutions;2007;851.0
246;Total health care providers;HF24: Non-profit institutions;2008;857.0
247;Total health care providers;HF24: Non-profit institutions;2009;764.0
248;Total health care providers;HF24: Non-profit institutions;2010;804.0
249;Total health care providers;HF24: Non-profit institutions;2011;830.0
250;Total health care providers;HF24: Non-profit institutions;2012;901.0
251;Total health care providers;HF24: Non-profit institutions;2013;943.0
252;Total health care providers;HF25: Enterprises;2005;1864.0
253;Total health care providers;HF25: Enterprises;2006;1078.0
254;Total health care providers;HF25: Enterprises;2007;1096.0
255;Total health care providers;HF25: Enterprises;2008;1086.0
256;Total health care providers;HF25: Enterprises;2009;1129.0
257;Total health care providers;HF25: Enterprises;2010;1162.0
258;Total health care providers;HF25: Enterprises;2011;1107.0
259;Total health care providers;HF25: Enterprises;2012;1071.0
260;Total health care providers;HF25: Enterprises;2013;1052.0
261;Total health care providers;"Rest of the world; exports";2005;103.0
262;Total health care providers;"Rest of the world; exports";2006;91.0
263;Total health care providers;"Rest of the world; exports";2007;84.0
264;Total health care providers;"Rest of the world; exports";2008;87.0
265;Total health care providers;"Rest of the world; exports";2009;81.0
266;Total health care providers;"Rest of the world; exports";2010;104.0
267;Total health care providers;"Rest of the world; exports";2011;100.0
268;Total health care providers;"Rest of the world; exports";2012;100.0
269;Total health care providers;"Rest of the world; exports";2013;101.0
270;HP1: Hospitals;Total financing of health & social care;2005;17386.0
271;HP1: Hospitals;Total financing of health & social care;2006;17590.0
272;HP1: Hospitals;Total financing of health & social care;2007;18642.0
273;HP1: Hospitals;Total financing of health & social care;2008;20003.0
274;HP1: Hospitals;Total financing of health & social care;2009;21189.0
275;HP1: Hospitals;Total financing of health & social care;2010;22858.0
276;HP1: Hospitals;Total financing of health & social care;2011;22884.0
277;HP1: Hospitals;Total financing of health & social care;2012;24376.0
278;HP1: Hospitals;Total financing of health & social care;2013;25727.0
279;HP1: Hospitals;Total financing of residents;2005;17349.0
280;HP1: Hospitals;Total financing of residents;2006;17554.0
281;HP1: Hospitals;Total financing of residents;2007;18606.0
282;HP1: Hospitals;Total financing of residents;2008;19966.0
283;HP1: Hospitals;Total financing of residents;2009;21154.0
284;HP1: Hospitals;Total financing of residents;2010;22813.0
285;HP1: Hospitals;Total financing of residents;2011;22840.0
286;HP1: Hospitals;Total financing of residents;2012;24332.0
287;HP1: Hospitals;Total financing of residents;2013;25683.0
288;HP1: Hospitals;HF1: General government;2005;13571.0
289;HP1: Hospitals;HF1: General government;2006;17239.0
290;HP1: Hospitals;HF1: General government;2007;18326.0
291;HP1: Hospitals;HF1: General government;2008;19661.0
292;HP1: Hospitals;HF1: General government;2009;20928.0
293;HP1: Hospitals;HF1: General government;2010;22566.0
294;HP1: Hospitals;HF1: General government;2011;22588.0
295;HP1: Hospitals;HF1: General government;2012;24083.0
296;HP1: Hospitals;HF1: General government;2013;25421.0
297;HP1: Hospitals;HF11: Government excl. social security;2005;1081.0
298;HP1: Hospitals;HF11: Government excl. social security;2006;1081.0
299;HP1: Hospitals;HF11: Government excl. social security;2007;1740.0
300;HP1: Hospitals;HF11: Government excl. social security;2008;1983.0
301;HP1: Hospitals;HF11: Government excl. social security;2009;2165.0
302;HP1: Hospitals;HF11: Government excl. social security;2010;2273.0
303;HP1: Hospitals;HF11: Government excl. social security;2011;2425.0
304;HP1: Hospitals;HF11: Government excl. social security;2012;2161.0
305;HP1: Hospitals;HF11: Government excl. social security;2013;1388.0
306;HP1: Hospitals;HF12: Social security funds;2005;12490.0
307;HP1: Hospitals;HF12: Social security funds;2006;16158.0
308;HP1: Hospitals;HF12: Social security funds;2007;16587.0
309;HP1: Hospitals;HF12: Social security funds;2008;17678.0
310;HP1: Hospitals;HF12: Social security funds;2009;18763.0
311;HP1: Hospitals;HF12: Social security funds;2010;20293.0
312;HP1: Hospitals;HF12: Social security funds;2011;20163.0
313;HP1: Hospitals;HF12: Social security funds;2012;21921.0
314;HP1: Hospitals;HF12: Social security funds;2013;24034.0
315;HP1: Hospitals;HF121a: Exceptional Medical Expenses Act;2005;3978.0
316;HP1: Hospitals;HF121a: Exceptional Medical Expenses Act;2006;4267.0
317;HP1: Hospitals;HF121a: Exceptional Medical Expenses Act;2007;4652.0
318;HP1: Hospitals;HF121a: Exceptional Medical Expenses Act;2008;2588.0
319;HP1: Hospitals;HF121a: Exceptional Medical Expenses Act;2009;2691.0
320;HP1: Hospitals;HF121a: Exceptional Medical Expenses Act;2010;3018.0
321;HP1: Hospitals;HF121a: Exceptional Medical Expenses Act;2011;3036.0
322;HP1: Hospitals;HF121a: Exceptional Medical Expenses Act;2012;3236.0
323;HP1: Hospitals;HF121a: Exceptional Medical Expenses Act;2013;3194.0
324;HP1: Hospitals;HF121b: Health Insurance Fund;2005;8512.0
325;HP1: Hospitals;HF121b: Health Insurance Fund;2006;
326;HP1: Hospitals;HF121b: Health Insurance Fund;2007;
327;HP1: Hospitals;HF121b: Health Insurance Fund;2008;
328;HP1: Hospitals;HF121b: Health Insurance Fund;2009;
329;HP1: Hospitals;HF121b: Health Insurance Fund;2010;
330;HP1: Hospitals;HF121b: Health Insurance Fund;2011;
331;HP1: Hospitals;HF121b: Health Insurance Fund;2012;
332;HP1: Hospitals;HF121b: Health Insurance Fund;2013;
333;HP1: Hospitals;HF122: Health care insurance act;2005;
334;HP1: Hospitals;HF122: Health care insurance act;2006;11891.0
335;HP1: Hospitals;HF122: Health care insurance act;2007;11935.0
336;HP1: Hospitals;HF122: Health care insurance act;2008;15090.0
337;HP1: Hospitals;HF122: Health care insurance act;2009;16071.0
338;HP1: Hospitals;HF122: Health care insurance act;2010;17275.0
339;HP1: Hospitals;HF122: Health care insurance act;2011;17126.0
340;HP1: Hospitals;HF122: Health care insurance act;2012;18686.0
341;HP1: Hospitals;HF122: Health care insurance act;2013;20839.0
342;HP1: Hospitals;HF2: Private sector;2005;3778.0
343;HP1: Hospitals;HF2: Private sector;2006;316.0
344;HP1: Hospitals;HF2: Private sector;2007;280.0
345;HP1: Hospitals;HF2: Private sector;2008;305.0
346;HP1: Hospitals;HF2: Private sector;2009;227.0
347;HP1: Hospitals;HF2: Private sector;2010;247.0
348;HP1: Hospitals;HF2: Private sector;2011;252.0
349;HP1: Hospitals;HF2: Private sector;2012;249.0
350;HP1: Hospitals;HF2: Private sector;2013;262.0
351;HP1: Hospitals;HF21: Private social insurance;2005;1503.0
352;HP1: Hospitals;HF21: Private social insurance;2006;
353;HP1: Hospitals;HF21: Private social insurance;2007;
354;HP1: Hospitals;HF21: Private social insurance;2008;
355;HP1: Hospitals;HF21: Private social insurance;2009;
356;HP1: Hospitals;HF21: Private social insurance;2010;
357;HP1: Hospitals;HF21: Private social insurance;2011;
358;HP1: Hospitals;HF21: Private social insurance;2012;
359;HP1: Hospitals;HF21: Private social insurance;2013;
360;HP1: Hospitals;HF22: Private insurance;2005;1973.0
361;HP1: Hospitals;HF22: Private insurance;2006;0.0
362;HP1: Hospitals;HF22: Private insurance;2007;0.0
363;HP1: Hospitals;HF22: Private insurance;2008;0.0
364;HP1: Hospitals;HF22: Private insurance;2009;0.0
365;HP1: Hospitals;HF22: Private insurance;2010;0.0
366;HP1: Hospitals;HF22: Private insurance;2011;0.0
367;HP1: Hospitals;HF22: Private insurance;2012;0.0
368;HP1: Hospitals;HF22: Private insurance;2013;0.0
369;HP1: Hospitals;HF23: Out-of-pocket expenditure;2005;37.0
370;HP1: Hospitals;HF23: Out-of-pocket expenditure;2006;39.0
371;HP1: Hospitals;HF23: Out-of-pocket expenditure;2007;39.0
372;HP1: Hospitals;HF23: Out-of-pocket expenditure;2008;59.0
373;HP1: Hospitals;HF23: Out-of-pocket expenditure;2009;87.0
374;HP1: Hospitals;HF23: Out-of-pocket expenditure;2010;72.0
375;HP1: Hospitals;HF23: Out-of-pocket expenditure;2011;77.0
376;HP1: Hospitals;HF23: Out-of-pocket expenditure;2012;75.0
377;HP1: Hospitals;HF23: Out-of-pocket expenditure;2013;76.0
378;HP1: Hospitals;HF24: Non-profit institutions;2005;265.0
379;HP1: Hospitals;HF24: Non-profit institutions;2006;277.0
380;HP1: Hospitals;HF24: Non-profit institutions;2007;241.0
381;HP1: Hospitals;HF24: Non-profit institutions;2008;246.0
382;HP1: Hospitals;HF24: Non-profit institutions;2009;139.0
383;HP1: Hospitals;HF24: Non-profit institutions;2010;175.0
384;HP1: Hospitals;HF24: Non-profit institutions;2011;175.0
385;HP1: Hospitals;HF24: Non-profit institutions;2012;175.0
386;HP1: Hospitals;HF24: Non-profit institutions;2013;186.0
387;HP1: Hospitals;HF25: Enterprises;2005;0.0
388;HP1: Hospitals;HF25: Enterprises;2006;0.0
389;HP1: Hospitals;HF25: Enterprises;2007;0.0
390;HP1: Hospitals;HF25: Enterprises;2008;0.0
391;HP1: Hospitals;HF25: Enterprises;2009;0.0
392;HP1: Hospitals;HF25: Enterprises;2010;0.0
393;HP1: Hospitals;HF25: Enterprises;2011;0.0
394;HP1: Hospitals;HF25: Enterprises;2012;0.0
395;HP1: Hospitals;HF25: Enterprises;2013;0.0
396;HP1: Hospitals;"Rest of the world; exports";2005;37.0
397;HP1: Hospitals;"Rest of the world; exports";2006;36.0
398;HP1: Hospitals;"Rest of the world; exports";2007;36.0
399;HP1: Hospitals;"Rest of the world; exports";2008;37.0
400;HP1: Hospitals;"Rest of the world; exports";2009;35.0
401;HP1: Hospitals;"Rest of the world; exports";2010;46.0
402;HP1: Hospitals;"Rest of the world; exports";2011;44.0
403;HP1: Hospitals;"Rest of the world; exports";2012;44.0
404;HP1: Hospitals;"Rest of the world; exports";2013;44.0
405;HP11: General and university hospitals;Total financing of health & social care;2005;12945.0
406;HP11: General and university hospitals;Total financing of health & social care;2006;12991.0
407;HP11: General and university hospitals;Total financing of health & social care;2007;13668.0
408;HP11: General and university hospitals;Total financing of health & social care;2008;14800.0
409;HP11: General and university hospitals;Total financing of health & social care;2009;15631.0
410;HP11: General and university hospitals;Total financing of health & social care;2010;17115.0
411;HP11: General and university hospitals;Total financing of health & social care;2011;16911.0
412;HP11: General and university hospitals;Total financing of health & social care;2012;18224.0
413;HP11: General and university hospitals;Total financing of health & social care;2013;19352.0
414;HP11: General and university hospitals;Total financing of residents;2005;12908.0
415;HP11: General and university hospitals;Total financing of residents;2006;12955.0
416;HP11: General and university hospitals;Total financing of residents;2007;13632.0
417;HP11: General and university hospitals;Total financing of residents;2008;14763.0
418;HP11: General and university hospitals;Total financing of residents;2009;15596.0
419;HP11: General and university hospitals;Total financing of residents;2010;17069.0
420;HP11: General and university hospitals;Total financing of residents;2011;16867.0
421;HP11: General and university hospitals;Total financing of residents;2012;18180.0
422;HP11: General and university hospitals;Total financing of residents;2013;19308.0
423;HP11: General and university hospitals;HF1: General government;2005;9370.0
424;HP11: General and university hospitals;HF1: General government;2006;12680.0
425;HP11: General and university hospitals;HF1: General government;2007;13390.0
426;HP11: General and university hospitals;HF1: General government;2008;14489.0
427;HP11: General and university hospitals;HF1: General government;2009;15402.0
428;HP11: General and university hospitals;HF1: General government;2010;16862.0
429;HP11: General and university hospitals;HF1: General government;2011;16651.0
430;HP11: General and university hospitals;HF1: General government;2012;17965.0
431;HP11: General and university hospitals;HF1: General government;2013;19078.0
432;HP11: General and university hospitals;HF11: Government excl. social security;2005;727.0
433;HP11: General and university hospitals;HF11: Government excl. social security;2006;697.0
434;HP11: General and university hospitals;HF11: Government excl. social security;2007;1283.0
435;HP11: General and university hospitals;HF11: Government excl. social security;2008;1419.0
436;HP11: General and university hospitals;HF11: Government excl. social security;2009;1501.0
437;HP11: General and university hospitals;HF11: Government excl. social security;2010;1554.0
438;HP11: General and university hospitals;HF11: Government excl. social security;2011;1635.0
439;HP11: General and university hospitals;HF11: Government excl. social security;2012;1316.0
440;HP11: General and university hospitals;HF11: Government excl. social security;2013;592.0
441;HP11: General and university hospitals;HF12: Social security funds;2005;8643.0
442;HP11: General and university hospitals;HF12: Social security funds;2006;11984.0
443;HP11: General and university hospitals;HF12: Social security funds;2007;12107.0
444;HP11: General and university hospitals;HF12: Social security funds;2008;13071.0
445;HP11: General and university hospitals;HF12: Social security funds;2009;13901.0
446;HP11: General and university hospitals;HF12: Social security funds;2010;15308.0
447;HP11: General and university hospitals;HF12: Social security funds;2011;15016.0
448;HP11: General and university hospitals;HF12: Social security funds;2012;16649.0
449;HP11: General and university hospitals;HF12: Social security funds;2013;18487.0
450;HP11: General and university hospitals;HF121a: Exceptional Medical Expenses Act;2005;629.0
451;HP11: General and university hospitals;HF121a: Exceptional Medical Expenses Act;2006;801.0
452;HP11: General and university hospitals;HF121a: Exceptional Medical Expenses Act;2007;947.0
453;HP11: General and university hospitals;HF121a: Exceptional Medical Expenses Act;2008;768.0
454;HP11: General and university hospitals;HF121a: Exceptional Medical Expenses Act;2009;743.0
455;HP11: General and university hospitals;HF121a: Exceptional Medical Expenses Act;2010;883.0
456;HP11: General and university hospitals;HF121a: Exceptional Medical Expenses Act;2011;876.0
457;HP11: General and university hospitals;HF121a: Exceptional Medical Expenses Act;2012;863.0
458;HP11: General and university hospitals;HF121a: Exceptional Medical Expenses Act;2013;858.0
459;HP11: General and university hospitals;HF121b: Health Insurance Fund;2005;8015.0
460;HP11: General and university hospitals;HF121b: Health Insurance Fund;2006;
461;HP11: General and university hospitals;HF121b: Health Insurance Fund;2007;
462;HP11: General and university hospitals;HF121b: Health Insurance Fund;2008;
