ID;ProvinciaalGefinancierdeZorg;ZvwGefinancierdeGGZ;IndicatieAWBZGefinancierdeZorg;RegioS;Perioden;JongerenInJeugdzorg_1
16;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;West-Nederland, exclusief G4 (LD);2011;
17;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;West-Nederland, exclusief G4 (LD);2012;
18;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;West-Nederland, exclusief G4 (LD);2013;
19;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;West-Nederland, exclusief G4 (LD);2014;
20;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuid-Nederland (LD);2011;82925.0
21;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuid-Nederland (LD);2012;81205.0
22;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuid-Nederland (LD);2013;79075.0
23;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuid-Nederland (LD);2014;68345.0
24;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Groningen (PV);2011;14885.0
25;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Groningen (PV);2012;15020.0
26;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Groningen (PV);2013;14890.0
27;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Groningen (PV);2014;13545.0
28;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Friesland (PV);2011;14695.0
29;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Friesland (PV);2012;14925.0
30;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Friesland (PV);2013;14720.0
31;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Friesland (PV);2014;13615.0
32;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Drenthe (PV);2011;12790.0
33;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Drenthe (PV);2012;12800.0
34;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Drenthe (PV);2013;12850.0
35;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Drenthe (PV);2014;11320.0
36;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Overijssel (PV);2011;24755.0
37;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Overijssel (PV);2012;25055.0
38;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Overijssel (PV);2013;24945.0
39;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Overijssel (PV);2014;22175.0
40;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Flevoland (PV);2011;12620.0
41;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Flevoland (PV);2012;12410.0
42;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Flevoland (PV);2013;12125.0
43;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Flevoland (PV);2014;10620.0
44;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Gelderland (PV);2011;47195.0
45;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Gelderland (PV);2012;47230.0
46;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Gelderland (PV);2013;46670.0
47;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Gelderland (PV);2014;40330.0
48;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Utrecht (PV);2011;28615.0
49;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Utrecht (PV);2012;29065.0
50;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Utrecht (PV);2013;28690.0
51;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Utrecht (PV);2014;24150.0
52;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Noord-Holland (PV);2011;58510.0
53;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Noord-Holland (PV);2012;58600.0
54;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Noord-Holland (PV);2013;58910.0
55;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Noord-Holland (PV);2014;50475.0
56;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuid-Holland (PV);2011;77540.0
57;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuid-Holland (PV);2012;77075.0
58;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuid-Holland (PV);2013;76935.0
59;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuid-Holland (PV);2014;69270.0
60;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zeeland (PV);2011;7910.0
61;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zeeland (PV);2012;8135.0
62;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zeeland (PV);2013;8285.0
63;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zeeland (PV);2014;6995.0
64;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Noord-Brabant (PV);2011;57010.0
65;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Noord-Brabant (PV);2012;55850.0
66;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Noord-Brabant (PV);2013;54480.0
67;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Noord-Brabant (PV);2014;46960.0
68;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Limburg (PV);2011;25915.0
69;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Limburg (PV);2012;25360.0
70;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Limburg (PV);2013;24595.0
71;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Limburg (PV);2014;21385.0
72;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Oost-Groningen (CR);2011;4260.0
73;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Oost-Groningen (CR);2012;4250.0
74;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Oost-Groningen (CR);2013;4250.0
75;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Oost-Groningen (CR);2014;3955.0
76;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Delfzijl en omgeving (CR);2011;1260.0
77;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Delfzijl en omgeving (CR);2012;1390.0
78;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Delfzijl en omgeving (CR);2013;1340.0
79;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Delfzijl en omgeving (CR);2014;1225.0
80;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Overig Groningen (CR);2011;9365.0
81;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Overig Groningen (CR);2012;9380.0
82;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Overig Groningen (CR);2013;9305.0
83;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Overig Groningen (CR);2014;8365.0
84;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Noord-Friesland (CR);2011;7365.0
85;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Noord-Friesland (CR);2012;7640.0
86;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Noord-Friesland (CR);2013;7540.0
87;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Noord-Friesland (CR);2014;6740.0
88;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuidwest-Friesland (CR);2011;2160.0
89;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuidwest-Friesland (CR);2012;2165.0
90;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuidwest-Friesland (CR);2013;2105.0
91;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuidwest-Friesland (CR);2014;2545.0
92;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuidoost-Friesland (CR);2011;5170.0
93;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuidoost-Friesland (CR);2012;5120.0
94;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuidoost-Friesland (CR);2013;5075.0
95;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuidoost-Friesland (CR);2014;4330.0
96;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Noord-Drenthe (CR);2011;5215.0
97;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Noord-Drenthe (CR);2012;5175.0
98;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Noord-Drenthe (CR);2013;5135.0
99;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Noord-Drenthe (CR);2014;4495.0
100;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuidoost-Drenthe (CR);2011;4115.0
101;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuidoost-Drenthe (CR);2012;4185.0
102;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuidoost-Drenthe (CR);2013;4200.0
103;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuidoost-Drenthe (CR);2014;3800.0
104;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuidwest-Drenthe (CR);2011;3455.0
105;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuidwest-Drenthe (CR);2012;3440.0
106;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuidwest-Drenthe (CR);2013;3510.0
107;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuidwest-Drenthe (CR);2014;3025.0
108;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Noord-Overijssel (CR);2011;8365.0
109;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Noord-Overijssel (CR);2012;8600.0
110;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Noord-Overijssel (CR);2013;8595.0
111;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Noord-Overijssel (CR);2014;7760.0
112;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuidwest-Overijssel (CR);2011;3595.0
113;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuidwest-Overijssel (CR);2012;3555.0
114;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuidwest-Overijssel (CR);2013;3490.0
115;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuidwest-Overijssel (CR);2014;3235.0
116;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Twente (CR);2011;12800.0
117;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Twente (CR);2012;12905.0
118;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Twente (CR);2013;12865.0
119;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Twente (CR);2014;11180.0
120;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Veluwe (CR);2011;15185.0
121;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Veluwe (CR);2012;15410.0
122;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Veluwe (CR);2013;15260.0
123;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Veluwe (CR);2014;13275.0
124;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Achterhoek (CR);2011;9580.0
125;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Achterhoek (CR);2012;9535.0
126;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Achterhoek (CR);2013;9290.0
127;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Achterhoek (CR);2014;7895.0
128;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Arnhem/Nijmegen (CR);2011;16640.0
129;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Arnhem/Nijmegen (CR);2012;16455.0
130;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Arnhem/Nijmegen (CR);2013;16505.0
131;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Arnhem/Nijmegen (CR);2014;14500.0
132;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuidwest-Gelderland (CR);2011;5790.0
133;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuidwest-Gelderland (CR);2012;5830.0
134;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuidwest-Gelderland (CR);2013;5620.0
135;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Zuidwest-Gelderland (CR);2014;4665.0
136;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Utrecht (CR);2011;28615.0
137;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Utrecht (CR);2012;29065.0
138;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Utrecht (CR);2013;28690.0
139;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Utrecht (CR);2014;24150.0
140;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Kop van Noord-Holland (CR);2011;8490.0
141;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Kop van Noord-Holland (CR);2012;8740.0
142;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Kop van Noord-Holland (CR);2013;8880.0
143;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Kop van Noord-Holland (CR);2014;7860.0
144;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Alkmaar en omgeving (CR);2011;5255.0
145;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Alkmaar en omgeving (CR);2012;5220.0
146;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Alkmaar en omgeving (CR);2013;5335.0
147;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Alkmaar en omgeving (CR);2014;4560.0
148;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;IJmond (CR);2011;4170.0
149;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;IJmond (CR);2012;4195.0
150;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;IJmond (CR);2013;4195.0
151;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;IJmond (CR);2014;3625.0
152;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Agglomeratie Haarlem (CR);2011;4335.0
153;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Agglomeratie Haarlem (CR);2012;4340.0
154;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Agglomeratie Haarlem (CR);2013;4270.0
155;Wel of geen provinciaal gefinanc. zorg;Wel of geen Zvw-gefinancierde GGZ;Wel of geen indicatie AWBZ-gefin. zorg;Agglomeratie Haarlem (CR);2014;3795.0
