ID;Geslacht;Leeftijd;ArbeidOpleiding;TotaalPersonenMetEenUitkering_1;Autochtonen_2;Allochtonen_3;WesterseAllochtonen_4;NietWesterseAllochtonen_5;PersonenMetABWUitkering_6;PersonenMetWAOWAZWajongUitkering_7;PersonenMetWWUitkering_8
35;Geslacht totaal;35 tot 45 jaar;Werkloos;54.0;34.0;20.0;6.0;14.0;30.0;8.0;19.0
36;Geslacht totaal;35 tot 45 jaar;Niet beroepsbevolking;163.0;104.0;59.0;17.0;42.0;85.0;73.0;10.0
37;Geslacht totaal;35 tot 45 jaar;Basisonderwijs;82.0;44.0;38.0;6.0;33.0;45.0;31.0;8.0
38;Geslacht totaal;35 tot 45 jaar;Mavo;27.0;15.0;12.0;3.0;9.0;14.0;11.0;4.0
39;Geslacht totaal;35 tot 45 jaar;Vbo;49.0;40.0;10.0;4.0;5.0;20.0;23.0;8.0
40;Geslacht totaal;35 tot 45 jaar;Havo/vwo;20.0;12.0;7.0;3.0;4.0;11.0;7.0;
41;Geslacht totaal;35 tot 45 jaar;Mbo;80.0;65.0;15.0;7.0;7.0;24.0;42.0;18.0
42;Geslacht totaal;35 tot 45 jaar;Hbo;31.0;23.0;8.0;3.0;5.0;11.0;14.0;7.0
43;Geslacht totaal;35 tot 45 jaar;Wo;12.0;8.0;4.0;;;6.0;3.0;3.0
44;Geslacht totaal;45 tot 54 jaar;Totaal arbeid/opleiding;388.0;300.0;88.0;42.0;45.0;101.0;245.0;55.0
45;Geslacht totaal;45 tot 54 jaar;Werkzaam;108.0;90.0;17.0;12.0;5.0;8.0;82.0;20.0
46;Geslacht totaal;45 tot 54 jaar;Werkloos;46.0;34.0;12.0;5.0;6.0;19.0;9.0;22.0
47;Geslacht totaal;45 tot 54 jaar;Niet beroepsbevolking;234.0;175.0;59.0;25.0;33.0;74.0;154.0;13.0
48;Geslacht totaal;45 tot 54 jaar;Basisonderwijs;113.0;76.0;38.0;10.0;27.0;42.0;64.0;11.0
49;Geslacht totaal;45 tot 54 jaar;Mavo;31.0;24.0;7.0;3.0;4.0;8.0;19.0;5.0
50;Geslacht totaal;45 tot 54 jaar;Vbo;67.0;56.0;11.0;8.0;3.0;16.0;44.0;9.0
51;Geslacht totaal;45 tot 54 jaar;Havo/vwo;11.0;6.0;5.0;3.0;3.0;5.0;5.0;
52;Geslacht totaal;45 tot 54 jaar;Mbo;113.0;96.0;17.0;12.0;5.0;18.0;81.0;19.0
53;Geslacht totaal;45 tot 54 jaar;Hbo;38.0;31.0;7.0;4.0;3.0;8.0;25.0;7.0
54;Geslacht totaal;45 tot 54 jaar;Wo;14.0;11.0;4.0;3.0;;4.0;8.0;
55;Geslacht totaal;55 tot 64 jaar;Totaal arbeid/opleiding;456.0;367.0;90.0;54.0;36.0;71.0;318.0;82.0
56;Geslacht totaal;55 tot 64 jaar;Werkzaam;52.0;46.0;6.0;5.0;;;45.0;6.0
57;Geslacht totaal;55 tot 64 jaar;Werkloos;11.0;8.0;3.0;;;4.0;3.0;6.0
58;Geslacht totaal;55 tot 64 jaar;Niet beroepsbevolking;393.0;312.0;81.0;48.0;33.0;65.0;271.0;70.0
59;Geslacht totaal;55 tot 64 jaar;Basisonderwijs;138.0;99.0;39.0;15.0;24.0;32.0;95.0;16.0
60;Geslacht totaal;55 tot 64 jaar;Mavo;33.0;26.0;7.0;6.0;;7.0;21.0;7.0
61;Geslacht totaal;55 tot 64 jaar;Vbo;85.0;70.0;15.0;11.0;3.0;12.0;60.0;16.0
62;Geslacht totaal;55 tot 64 jaar;Havo/vwo;11.0;8.0;3.0;;;3.0;5.0;3.0
63;Geslacht totaal;55 tot 64 jaar;Mbo;130.0;116.0;14.0;10.0;4.0;11.0;94.0;29.0
64;Geslacht totaal;55 tot 64 jaar;Hbo;47.0;38.0;9.0;8.0;;;36.0;9.0
65;Geslacht totaal;55 tot 64 jaar;Wo;12.0;10.0;3.0;;;3.0;8.0;
66;Mannen;Leeftijd totaal;Totaal arbeid/opleiding;793.0;586.0;207.0;81.0;125.0;198.0;477.0;144.0
67;Mannen;Leeftijd totaal;Werkzaam;210.0;175.0;35.0;20.0;15.0;23.0;152.0;39.0
68;Mannen;Leeftijd totaal;Werkloos;111.0;65.0;46.0;11.0;35.0;61.0;19.0;38.0
69;Mannen;Leeftijd totaal;Niet beroepsbevolking;472.0;346.0;126.0;50.0;76.0;114.0;306.0;67.0
70;Mannen;Leeftijd totaal;Basisonderwijs;224.0;143.0;80.0;20.0;61.0;68.0;136.0;27.0
71;Mannen;Leeftijd totaal;Mavo;62.0;41.0;21.0;7.0;14.0;20.0;34.0;10.0
72;Mannen;Leeftijd totaal;Vbo;144.0;111.0;32.0;17.0;15.0;29.0;92.0;28.0
73;Mannen;Leeftijd totaal;Havo/vwo;34.0;17.0;17.0;5.0;12.0;21.0;9.0;6.0
74;Mannen;Leeftijd totaal;Mbo;225.0;192.0;32.0;19.0;14.0;31.0;151.0;51.0
75;Mannen;Leeftijd totaal;Hbo;73.0;58.0;16.0;9.0;7.0;15.0;43.0;16.0
76;Mannen;Leeftijd totaal;Wo;31.0;23.0;8.0;4.0;4.0;14.0;11.0;6.0
77;Mannen;15 tot 25 jaar;Totaal arbeid/opleiding;34.0;20.0;14.0;3.0;11.0;19.0;10.0;6.0
78;Mannen;15 tot 25 jaar;Werkzaam;9.0;7.0;;;;;4.0;3.0
79;Mannen;15 tot 25 jaar;Werkloos;10.0;5.0;5.0;;5.0;7.0;;3.0
80;Mannen;15 tot 25 jaar;Niet beroepsbevolking;15.0;8.0;7.0;;6.0;9.0;4.0;
81;Mannen;15 tot 25 jaar;Basisonderwijs;12.0;6.0;6.0;;5.0;;4.0;
82;Mannen;15 tot 25 jaar;Mavo;6.0;4.0;;;;;3.0;
83;Mannen;15 tot 25 jaar;Vbo;8.0;5.0;3.0;;;;;3.0
84;Mannen;15 tot 25 jaar;Havo/vwo;3.0;;;;;;;
85;Mannen;15 tot 25 jaar;Mbo;4.0;3.0;;;;;;
86;Mannen;15 tot 25 jaar;Hbo;;;;;;;;
87;Mannen;15 tot 25 jaar;Wo;;;;;;;;
88;Mannen;25 tot 35 jaar;Totaal arbeid/opleiding;112.0;67.0;45.0;10.0;35.0;60.0;31.0;24.0
89;Mannen;25 tot 35 jaar;Werkzaam;31.0;23.0;9.0;3.0;5.0;10.0;12.0;10.0
90;Mannen;25 tot 35 jaar;Werkloos;35.0;17.0;17.0;4.0;13.0;22.0;3.0;10.0
91;Mannen;25 tot 35 jaar;Niet beroepsbevolking;46.0;27.0;19.0;3.0;16.0;27.0;16.0;4.0
92;Mannen;25 tot 35 jaar;Basisonderwijs;30.0;15.0;15.0;;13.0;;9.0;4.0
93;Mannen;25 tot 35 jaar;Mavo;12.0;7.0;5.0;;4.0;;4.0;
94;Mannen;25 tot 35 jaar;Vbo;22.0;15.0;7.0;;5.0;;7.0;6.0
95;Mannen;25 tot 35 jaar;Havo/vwo;11.0;4.0;7.0;;5.0;;;
96;Mannen;25 tot 35 jaar;Mbo;24.0;17.0;7.0;;5.0;;7.0;8.0
97;Mannen;25 tot 35 jaar;Hbo;8.0;6.0;;;;;;
98;Mannen;25 tot 35 jaar;Wo;6.0;4.0;;;;;;
99;Mannen;35 tot 45 jaar;Totaal arbeid/opleiding;139.0;95.0;45.0;13.0;32.0;52.0;67.0;25.0
100;Mannen;35 tot 45 jaar;Werkzaam;48.0;40.0;8.0;4.0;4.0;7.0;31.0;11.0
101;Mannen;35 tot 45 jaar;Werkloos;31.0;17.0;14.0;3.0;11.0;19.0;6.0;9.0
102;Mannen;35 tot 45 jaar;Niet beroepsbevolking;60.0;38.0;22.0;6.0;16.0;27.0;31.0;5.0
103;Mannen;35 tot 45 jaar;Basisonderwijs;38.0;22.0;16.0;;14.0;;18.0;5.0
104;Mannen;35 tot 45 jaar;Mavo;13.0;7.0;7.0;;5.0;;6.0;
105;Mannen;35 tot 45 jaar;Vbo;26.0;20.0;6.0;;4.0;;15.0;4.0
106;Mannen;35 tot 45 jaar;Havo/vwo;7.0;4.0;3.0;;;;;
107;Mannen;35 tot 45 jaar;Mbo;35.0;29.0;6.0;3.0;3.0;;20.0;8.0
108;Mannen;35 tot 45 jaar;Hbo;14.0;9.0;5.0;;3.0;;5.0;3.0
109;Mannen;35 tot 45 jaar;Wo;6.0;4.0;;;;;;
110;Mannen;45 tot 54 jaar;Totaal arbeid/opleiding;212.0;166.0;47.0;22.0;25.0;40.0;153.0;28.0
111;Mannen;45 tot 54 jaar;Werkzaam;78.0;67.0;12.0;8.0;4.0;4.0;66.0;11.0
112;Mannen;45 tot 54 jaar;Werkloos;27.0;19.0;8.0;3.0;5.0;11.0;7.0;13.0
113;Mannen;45 tot 54 jaar;Niet beroepsbevolking;107.0;79.0;27.0;11.0;16.0;25.0;79.0;5.0
114;Mannen;45 tot 54 jaar;Basisonderwijs;60.0;41.0;18.0;5.0;13.0;;41.0;6.0
115;Mannen;45 tot 54 jaar;Mavo;15.0;11.0;4.0;;3.0;;10.0;
116;Mannen;45 tot 54 jaar;Vbo;34.0;28.0;6.0;4.0;;;26.0;5.0
117;Mannen;45 tot 54 jaar;Havo/vwo;6.0;;4.0;;;;;
118;Mannen;45 tot 54 jaar;Mbo;68.0;59.0;9.0;7.0;3.0;;54.0;10.0
119;Mannen;45 tot 54 jaar;Hbo;21.0;17.0;4.0;;;;14.0;4.0
120;Mannen;45 tot 54 jaar;Wo;9.0;7.0;;;;;5.0;
121;Mannen;55 tot 64 jaar;Totaal arbeid/opleiding;295.0;239.0;56.0;33.0;23.0;28.0;217.0;61.0
122;Mannen;55 tot 64 jaar;Werkzaam;43.0;39.0;5.0;4.0;;;39.0;5.0
123;Mannen;55 tot 64 jaar;Werkloos;8.0;6.0;;;;;;4.0
124;Mannen;55 tot 64 jaar;Niet beroepsbevolking;244.0;194.0;49.0;28.0;22.0;25.0;176.0;52.0
125;Mannen;55 tot 64 jaar;Basisonderwijs;84.0;59.0;25.0;9.0;16.0;;64.0;11.0
126;Mannen;55 tot 64 jaar;Mavo;16.0;13.0;4.0;3.0;;;11.0;4.0
127;Mannen;55 tot 64 jaar;Vbo;54.0;44.0;10.0;7.0;3.0;;42.0;10.0
128;Mannen;55 tot 64 jaar;Havo/vwo;7.0;5.0;;;;;3.0;3.0
129;Mannen;55 tot 64 jaar;Mbo;94.0;85.0;8.0;7.0;;;68.0;24.0
130;Mannen;55 tot 64 jaar;Hbo;31.0;25.0;5.0;5.0;;;23.0;7.0
131;Mannen;55 tot 64 jaar;Wo;9.0;7.0;;;;;5.0;
132;Vrouwen;Leeftijd totaal;Totaal arbeid/opleiding;692.0;498.0;194.0;76.0;118.0;290.0;310.0;111.0
133;Vrouwen;Leeftijd totaal;Werkzaam;117.0;96.0;21.0;11.0;10.0;30.0;52.0;37.0
134;Vrouwen;Leeftijd totaal;Werkloos;77.0;54.0;23.0;10.0;13.0;40.0;8.0;32.0
135;Vrouwen;Leeftijd totaal;Niet beroepsbevolking;498.0;348.0;150.0;56.0;95.0;219.0;249.0;43.0
136;Vrouwen;Leeftijd totaal;Basisonderwijs;194.0;112.0;82.0;17.0;64.0;106.0;75.0;17.0
137;Vrouwen;Leeftijd totaal;Mavo;67.0;47.0;19.0;8.0;12.0;28.0;30.0;10.0
138;Vrouwen;Leeftijd totaal;Vbo;123.0;99.0;24.0;12.0;12.0;52.0;52.0;21.0
139;Vrouwen;Leeftijd totaal;Havo/vwo;34.0;22.0;12.0;7.0;6.0;18.0;11.0;5.0
140;Vrouwen;Leeftijd totaal;Mbo;187.0;152.0;36.0;18.0;18.0;59.0;94.0;42.0
141;Vrouwen;Leeftijd totaal;Hbo;67.0;53.0;15.0;10.0;5.0;18.0;38.0;13.0
142;Vrouwen;Leeftijd totaal;Wo;20.0;14.0;6.0;4.0;;8.0;8.0;4.0
143;Vrouwen;15 tot 25 jaar;Totaal arbeid/opleiding;42.0;25.0;17.0;4.0;13.0;26.0;10.0;7.0
144;Vrouwen;15 tot 25 jaar;Werkzaam;9.0;7.0;;;;4.0;;3.0
145;Vrouwen;15 tot 25 jaar;Werkloos;7.0;4.0;3.0;;;4.0;;
146;Vrouwen;15 tot 25 jaar;Niet beroepsbevolking;26.0;14.0;12.0;;10.0;17.0;7.0;
147;Vrouwen;15 tot 25 jaar;Basisonderwijs;11.0;5.0;6.0;;5.0;;3.0;
148;Vrouwen;15 tot 25 jaar;Mavo;7.0;4.0;3.0;;;;3.0;
149;Vrouwen;15 tot 25 jaar;Vbo;8.0;5.0;3.0;;;;;
150;Vrouwen;15 tot 25 jaar;Havo/vwo;4.0;;;;;;;
151;Vrouwen;15 tot 25 jaar;Mbo;10.0;7.0;3.0;;3.0;;;3.0
152;Vrouwen;15 tot 25 jaar;Hbo;;;;;;;;
153;Vrouwen;15 tot 25 jaar;Wo;;;;;;;;
154;Vrouwen;25 tot 35 jaar;Totaal arbeid/opleiding;151.0;98.0;53.0;14.0;39.0;81.0;43.0;31.0
155;Vrouwen;25 tot 35 jaar;Werkzaam;33.0;27.0;5.0;3.0;;11.0;10.0;12.0
156;Vrouwen;25 tot 35 jaar;Werkloos;26.0;17.0;8.0;;6.0;15.0;;10.0
157;Vrouwen;25 tot 35 jaar;Niet beroepsbevolking;93.0;54.0;39.0;9.0;30.0;55.0;30.0;9.0
158;Vrouwen;25 tot 35 jaar;Basisonderwijs;32.0;12.0;20.0;;18.0;;7.0;3.0
159;Vrouwen;25 tot 35 jaar;Mavo;13.0;9.0;5.0;;3.0;;4.0;
160;Vrouwen;25 tot 35 jaar;Vbo;27.0;19.0;8.0;;6.0;;8.0;5.0
161;Vrouwen;25 tot 35 jaar;Havo/vwo;8.0;5.0;4.0;;;;;
162;Vrouwen;25 tot 35 jaar;Mbo;51.0;40.0;11.0;5.0;6.0;;19.0;14.0
163;Vrouwen;25 tot 35 jaar;Hbo;15.0;11.0;4.0;;;;4.0;4.0
164;Vrouwen;25 tot 35 jaar;Wo;5.0;4.0;;;;;;
165;Vrouwen;35 tot 45 jaar;Totaal arbeid/opleiding;162.0;113.0;49.0;17.0;32.0;78.0;62.0;26.0
166;Vrouwen;35 tot 45 jaar;Werkzaam;37.0;30.0;7.0;3.0;4.0;9.0;18.0;11.0
167;Vrouwen;35 tot 45 jaar;Werkloos;23.0;16.0;6.0;3.0;3.0;11.0;3.0;10.0
168;Vrouwen;35 tot 45 jaar;Niet beroepsbevolking;103.0;66.0;36.0;11.0;25.0;58.0;42.0;5.0
169;Vrouwen;35 tot 45 jaar;Basisonderwijs;43.0;21.0;22.0;3.0;19.0;;13.0;4.0
170;Vrouwen;35 tot 45 jaar;Mavo;14.0;8.0;5.0;;4.0;;5.0;
171;Vrouwen;35 tot 45 jaar;Vbo;24.0;20.0;4.0;;;;8.0;4.0
172;Vrouwen;35 tot 45 jaar;Havo/vwo;12.0;8.0;4.0;;;;4.0;
173;Vrouwen;35 tot 45 jaar;Mbo;45.0;37.0;8.0;4.0;4.0;;21.0;10.0
174;Vrouwen;35 tot 45 jaar;Hbo;17.0;14.0;4.0;;;;9.0;4.0
175;Vrouwen;35 tot 45 jaar;Wo;6.0;4.0;;;;;;
176;Vrouwen;45 tot 54 jaar;Totaal arbeid/opleiding;175.0;134.0;41.0;21.0;21.0;62.0;93.0;26.0
177;Vrouwen;45 tot 54 jaar;Werkzaam;29.0;24.0;6.0;4.0;;4.0;16.0;9.0
178;Vrouwen;45 tot 54 jaar;Werkloos;19.0;15.0;4.0;3.0;;9.0;;9.0
179;Vrouwen;45 tot 54 jaar;Niet beroepsbevolking;127.0;96.0;31.0;14.0;17.0;49.0;74.0;8.0
180;Vrouwen;45 tot 54 jaar;Basisonderwijs;54.0;34.0;19.0;5.0;14.0;;23.0;5.0
181;Vrouwen;45 tot 54 jaar;Mavo;16.0;13.0;3.0;;;;9.0;3.0
182;Vrouwen;45 tot 54 jaar;Vbo;33.0;29.0;5.0;4.0;;;17.0;4.0
183;Vrouwen;45 tot 54 jaar;Havo/vwo;5.0;4.0;;;;;3.0;
184;Vrouwen;45 tot 54 jaar;Mbo;45.0;37.0;8.0;5.0;;;27.0;9.0
185;Vrouwen;45 tot 54 jaar;Hbo;18.0;15.0;3.0;;;;11.0;3.0
186;Vrouwen;45 tot 54 jaar;Wo;5.0;3.0;;;;;3.0;
187;Vrouwen;55 tot 64 jaar;Totaal arbeid/opleiding;162.0;128.0;33.0;21.0;13.0;43.0;102.0;21.0
188;Vrouwen;55 tot 64 jaar;Werkzaam;9.0;8.0;;;;;6.0;
189;Vrouwen;55 tot 64 jaar;Werkloos;3.0;;;;;;;
190;Vrouwen;55 tot 64 jaar;Niet beroepsbevolking;149.0;118.0;31.0;20.0;12.0;40.0;95.0;18.0
191;Vrouwen;55 tot 64 jaar;Basisonderwijs;54.0;40.0;14.0;6.0;8.0;;31.0;5.0
192;Vrouwen;55 tot 64 jaar;Mavo;17.0;14.0;3.0;3.0;;;10.0;
193;Vrouwen;55 tot 64 jaar;Vbo;31.0;26.0;4.0;4.0;;;18.0;5.0
194;Vrouwen;55 tot 64 jaar;Havo/vwo;4.0;3.0;;;;;3.0;
195;Vrouwen;55 tot 64 jaar;Mbo;37.0;31.0;6.0;3.0;3.0;;26.0;6.0
196;Vrouwen;55 tot 64 jaar;Hbo;16.0;13.0;4.0;3.0;;;14.0;
197;Vrouwen;55 tot 64 jaar;Wo;3.0;;;;;;;
