ID;SIC2008;Periods;Enterprises_1;Employees_2;EmployeesInFTE_3;TotalOperatingReturns_4;NetTurnover_5;TotalOtherRevenues_6;Subsidies_7;OtherRevenuesNotBeforeMentioned_8;TotalOperatingCosts_9;TotalLabourCosts_10;WagesAndSalaries_11;SocialSecurityContributions_12;DepreciationFixedAssets_13;TotalOtherOperatingCosts_14;OtherPersonnelCosts_15;OperatingCostsNotBeforeMentioned_16;OperatingResults_17;OperatingSurplus_18;ExceptionalResult_19;PreTaxResults_20;TotalAssets_21;IntangibleFixedAssets_22;TangibleFixedAssets_23;FinancialAssets_24;Stock_25;ShortTermClaims_26;Securities_27;LiquidAssets_28;TotalLiabilities_29;Equity_30;Provisions_31;LongTermLoans_32;ShortTermLoans_33
34;Care for mental health;2013;117;83238.0;63443.0;5807;4826.0;981.0;828.0;153.0;5657;3768;3068;700;343;1546.0;367.0;1179.0;149;-86.0;0.0;63.0;5145;14;3049;42;475;1203;0;361;5145;1188;336;1917;1704
35;Care for mental health;2014;130;85259.0;64150.0;5760;4780.0;980.0;817.0;163.0;5618;3779;3032;748;311;1527.0;357.0;1170.0;143;-83.0;-2.0;58.0;4973;12;2936;47;344;1172;1;462;4973;1228;374;1835;1536
36;Care for disabled persons;2006;158;141730.0;88680.0;5557;5229.0;329.0;210.0;119.0;5400;3577;2917;660;257;1566.0;282.0;1284.0;158;-96.0;0.0;61.0;4385;92;3472;8;9;326;4;474;4385;853;223;1727;1583
37;Care for disabled persons;2007;150;148250.0;92570.0;5883;5527.0;356.0;226.0;130.0;5718;3752;3055;697;266;1701.0;326.0;1375.0;165;-100.0;0.0;65.0;4630;7;3738;23;8;430;6;418;4630;930;211;1852;1637
38;Care for disabled persons;2008;150;152790.0;95860.0;6432;6057.0;375.0;235.0;140.0;6222;4014;3276;738;290;1918.0;387.0;1531.0;210;-112.0;1.0;99.0;4871;5;3931;39;12;458;7;419;4871;1026;254;1878;1714
39;Care for disabled persons;2009;141;158700.0;98870.0;6928;6525.0;403.0;255.0;148.0;6617;4215;3471;743;381;2022.0;385.0;1637.0;310;-100.0;-2.0;209.0;5348;1;4278;56;21;451;5;536;5348;1247;319;2077;1704
40;Care for disabled persons;2010;140;163830.0;100960.0;7184;6756.0;428.0;285.0;143.0;6934;4424;3615;809;389;2121.0;417.0;1704.0;250;-95.0;0.0;154.0;5730;1;4537;90;21;444;6;631;5730;1424;422;2183;1700
41;Care for disabled persons;2011;140;166380.0;103270.0;7612;7146.0;465.0;312.0;153.0;7337;4685;3822;863;457;2195.0;423.0;1772.0;275;-107.0;0.0;168.0;5933;1;4695;98;16;499;5;620;5933;1625;423;2225;1660
42;Care for disabled persons;2012;140;171670.0;106080.0;8324;7839.0;486.0;331.0;155.0;7980;4989;4067;922;545;2447.0;516.0;1931.0;344;-104.0;0.0;240.0;6281;1;4740;108;14;517;4;897;6281;1865;460;2282;1673
43;Care for disabled persons;2013;151;165921.0;103985.0;8336;7841.0;494.0;339.0;155.0;8103;5192;4212;980;492;2419.0;504.0;1916.0;233;-98.0;0.0;135.0;6550;1;4843;91;21;377;4;1213;6550;1994;524;2487;1545
44;Care for disabled persons;2014;165;166003.0;103452.0;8554;8054.0;500.0;342.0;158.0;8260;5283;4239;1045;503;2475.0;500.0;1975.0;294;-97.0;0.0;197.0;6715;3;4795;74;17;352;6;1467;6715;2213;600;2374;1527
45;Residential and home care;2006;550;404010.0;221680.0;13241;12513.0;727.0;311.0;416.0;12811;8294;6778;1516;608;3909.0;1004.0;2905.0;429;-319.0;5.0;115.0;9940;221;7246;103;36;841;18;1474;9939;2171;484;3905;3379
46;Residential and home care;2007;537;388660.0;210230.0;13598;11848.0;1749.0;1147.0;602.0;13456;8581;7052;1529;703;4172.0;1070.0;3102.0;142;-192.0;-3.0;-53.0;10343;28;7857;133;42;1065;17;1201;10343;2234;448;4153;3508
47;Residential and home care;2008;491;390940.0;210910.0;14360;12679.0;1681.0;1119.0;562.0;14131;9044;7395;1649;683;4405.0;1175.0;3230.0;228;-212.0;-3.0;14.0;10669;13;8101;153;42;1179;15;1166;10669;2398;442;4219;3611
48;Residential and home care;2009;473;399720.0;212530.0;14880;13129.0;1751.0;1194.0;558.0;14394;9142;7529;1614;819;4433.0;1075.0;3358.0;487;-203.0;1.0;285.0;11250;15;8300;183;58;1239;9;1445;11250;2684;475;4325;3765
49;Residential and home care;2010;465;421520.0;220090.0;15281;13577.0;1704.0;1373.0;330.0;14793;9575;7861;1714;849;4370.0;978.0;3392.0;488;-210.0;2.0;279.0;12432;14;9122;173;42;1196;6;1879;12432;3005;499;5262;3666
50;Residential and home care;2011;453;429760.0;224810.0;15714;13931.0;1783.0;1461.0;322.0;15189;9909;8133;1776;828;4452.0;1062.0;3390.0;525;-223.0;8.0;310.0;13141;13;9603;264;64;1149;3;2045;13141;3340;520;5857;3424
51;Residential and home care;2012;465;447880.0;234280.0;17015;15202.0;1813.0;1440.0;373.0;16326;10506;8589;1917;974;4845.0;1166.0;3679.0;689;-228.0;14.0;475.0;14056;16;9879;242;39;1107;14;2760;14056;3802;591;5943;3720
52;Residential and home care;2013;467;437281.0;233037.0;17174;15443.0;1731.0;1377.0;355.0;16698;10972;8898;2074;911;4815.0;1198.0;3617.0;476;-255.0;0.0;222.0;14255;15;9962;198;131;1223;7;2719;14255;4072;682;5887;3615
53;Residential and home care;2014;471;405713.0;225120.0;17150;15476.0;1673.0;1329.0;344.0;16633;10992;8818;2175;911;4730.0;1127.0;3604.0;516;-256.0;0.0;260.0;14349;15;9887;152;122;950;17;3206;14349;4355;804;5834;3356
54;87902 Residential care for other persons;2006;48;;;465;199.0;265.0;250.0;16.0;463;281;232;49;13;170.0;44.0;126.0;2;-2.0;0.0;-1.0;252;0;131;0;0;54;2;64;252;43;33;81;94
55;87902 Residential care for other persons;2007;48;9930.0;7480.0;510;217.0;293.0;278.0;16.0;511;317;262;55;15;180.0;49.0;130.0;-1;-2.0;-1.0;-4.0;267;0;141;1;0;47;1;76;267;47;33;85;101
56;87902 Residential care for other persons;2008;45;11090.0;8000.0;571;251.0;320.0;305.0;16.0;570;354;289;64;16;200.0;52.0;148.0;1;-2.0;0.0;-1.0;290;0;157;1;0;58;1;74;290;58;36;93;104
57;87902 Residential care for other persons;2009;41;11770.0;8340.0;632;258.0;375.0;356.0;20.0;622;383;314;69;17;222.0;53.0;168.0;10;-2.0;1.0;9.0;320;0;159;1;0;62;0;98;320;72;41;88;119
58;87902 Residential care for other persons;2010;42;12120.0;8720.0;684;299.0;385.0;366.0;19.0;676;430;353;77;20;226.0;49.0;177.0;8;-3.0;1.0;6.0;326;0;142;1;7;61;0;115;326;86;26;76;138
59;87902 Residential care for other persons;2011;38;12390.0;8890.0;712;334.0;378.0;358.0;20.0;704;445;362;83;21;239.0;49.0;190.0;7;-2.0;1.0;6.0;330;1;148;2;8;58;0;113;330;94;25;81;130
60;87902 Residential care for other persons;2012;36;12650.0;9190.0;750;377.0;373.0;355.0;18.0;740;464;376;88;20;255.0;53.0;203.0;10;-1.0;0.0;9.0;357;1;147;1;9;67;0;131;357;111;29;73;144
61;87902 Residential care for other persons;2013;36;12801.0;9352.0;771;391.0;380.0;360.0;20.0;770;490;398;93;24;256.0;49.0;207.0;1;-2.0;0.0;-1.0;352;1;149;4;9;58;0;131;352;122;29;68;133
62;87902 Residential care for other persons;2014;35;12471.0;9145.0;781;388.0;393.0;371.0;22.0;769;491;393;98;21;256.0;47.0;209.0;13;-2.0;0.0;11.0;369;0;163;4;6;54;0;141;369;142;28;67;132
63;87901 Residential care for children;2006;39;17180.0;12260.0;886;;827.0;827.0;;861;578;469;109;22;262.0;47.0;215.0;25;;;;570;0;380;6;0;65;0;119;570;131;52;216;170
64;87901 Residential care for children;2007;41;17900.0;13010.0;953;37.0;916.0;904.0;13.0;947;617;509;109;26;303.0;55.0;248.0;6;-3.0;4.0;7.0;640;0;446;6;0;54;0;133;640;154;50;244;192
65;87901 Residential care for children;2008;40;17180.0;12700.0;970;55.0;915.0;897.0;18.0;960;637;517;121;26;295.0;59.0;238.0;11;-3.0;1.0;9.0;631;0;457;4;0;75;0;94;631;137;42;255;197
66;87901 Residential care for children;2009;45;21820.0;16520.0;1298;64.0;1234.0;1201.0;34.0;1272;839;684;156;33;400.0;84.0;316.0;26;-4.0;2.0;24.0;853;0;590;9;0;90;0;164;853;175;62;356;260
67;87901 Residential care for children;2010;42;22520.0;17120.0;1411;69.0;1342.0;1282.0;60.0;1405;928;752;177;44;433.0;102.0;332.0;6;-5.0;5.0;6.0;982;0;697;7;0;86;0;192;982;163;72;468;280
68;87901 Residential care for children;2011;41;20990.0;16140.0;1391;82.0;1310.0;1257.0;52.0;1385;907;732;175;38;441.0;98.0;342.0;6;-6.0;6.0;5.0;937;0;635;5;7;81;0;209;937;167;74;419;277
69;87901 Residential care for children;2012;43;20730.0;15920.0;1472;123.0;1350.0;1301.0;49.0;1441;939;752;186;45;457.0;92.0;365.0;32;-7.0;1.0;25.0;944;0;621;5;12;80;1;224;944;192;81;407;264
70;87901 Residential care for children;2013;43;20721.0;15845.0;1464;125.0;1339.0;1282.0;57.0;1435;926;744;182;44;465.0;94.0;371.0;29;-5.0;1.0;25.0;872;0;512;5;11;77;1;265;872;205;97;315;255
71;87901 Residential care for children;2014;43;19677.0;15128.0;1471;118.0;1353.0;1305.0;48.0;1436;906;717;190;40;489.0;94.0;395.0;35;-6.0;2.0;31.0;887;1;461;6;7;89;1;323;887;236;109;286;257
72;88991Social work for children;2006;16;7570.0;6360.0;406;;;;;385;289;237;52;7;;;;22;;;;125;0;34;1;0;20;0;69;125;30;12;8;75
73;88991Social work for children;2007;16;8220.0;6920.0;468;8.0;460.0;;;472;333;269;63;9;130.0;39.0;91.0;-4;1.0;0.0;-3.0;124;0;38;1;0;22;0;63;124;29;11;8;76
74;88991Social work for children;2008;16;8860.0;7460.0;515;8.0;507.0;;;526;378;303;74;11;138.0;45.0;93.0;-11;2.0;5.0;-5.0;148;0;42;1;0;29;0;76;148;34;11;8;95
75;88991Social work for children;2009;16;9110.0;7860.0;580;6.0;574.0;;;574;413;337;76;11;150.0;49.0;101.0;6;0.0;0.0;7.0;138;0;42;1;0;32;0;63;138;33;10;9;85
76;88991Social work for children;2010;16;9120.0;7770.0;586;5.0;581.0;;;585;436;353;82;12;138.0;42.0;95.0;1;1.0;1.0;2.0;142;0;41;1;0;24;0;76;142;37;9;10;86
77;88991Social work for children;2011;16;8900.0;7530.0;587;6.0;581.0;;;584;434;353;82;11;139.0;40.0;99.0;3;1.0;-1.0;3.0;154;0;37;1;0;34;0;83;154;40;16;8;90
78;88991Social work for children;2012;16;8870.0;7460.0;614;6.0;608.0;;;608;450;362;88;10;148.0;35.0;114.0;5;1.0;0.0;7.0;171;0;40;1;0;32;0;99;171;48;10;8;105
79;88991Social work for children;2013;16;9068.0;7595.0;630;3.0;626.0;;;646;462;371;91;12;173.0;44.0;129.0;-16;1.0;-2.0;-17.0;171;1;33;1;0;30;0;106;171;30;37;7;96
80;88991Social work for children;2014;16;8581.0;7162.0;623;4.0;619.0;;;611;454;361;93;10;147.0;41.0;106.0;13;1.0;0.0;14.0;183;1;27;0;0;27;0;128;183;44;30;4;105
