ID;ModesOfTravel;Population;TravelPurposes;Margins;RegionCharacteristics;Periods;AverageDistanceTravelledPerTrip_1;AverageTravelTimePerTrip_2
26;Total;Population 6 years or older;Total;Value;Zuid-Nederland (LD);2020;9.94;24.83
27;Total;Population 6 years or older;Total;Value;Zuid-Nederland (LD);2021;10.23;26.38
28;Total;Population 6 years or older;Total;Value;Zuid-Nederland (LD);2022;11.03;26.12
29;Total;Population 6 years or older;Total;Value;Zuid-Nederland (LD);2023;11.5;25.99
30;Total;Population 6 years or older;Total;Value;Groningen (PV);2018;13.36;26.27
31;Total;Population 6 years or older;Total;Value;Groningen (PV);2019;15.1;28.54
32;Total;Population 6 years or older;Total;Value;Groningen (PV);2020;11.77;27.25
33;Total;Population 6 years or older;Total;Value;Groningen (PV);2021;12.64;28.71
34;Total;Population 6 years or older;Total;Value;Groningen (PV);2022;12.81;27.42
35;Total;Population 6 years or older;Total;Value;Groningen (PV);2023;11.54;26.41
36;Total;Population 6 years or older;Total;Value;Fryslân (PV);2018;15.76;28.01
37;Total;Population 6 years or older;Total;Value;Fryslân (PV);2019;16.58;28.57
38;Total;Population 6 years or older;Total;Value;Fryslân (PV);2020;11.77;25.3
39;Total;Population 6 years or older;Total;Value;Fryslân (PV);2021;12.91;27.94
40;Total;Population 6 years or older;Total;Value;Fryslân (PV);2022;13.32;27.83
41;Total;Population 6 years or older;Total;Value;Fryslân (PV);2023;13.35;26.52
42;Total;Population 6 years or older;Total;Value;Drenthe (PV);2018;15.3;25.96
43;Total;Population 6 years or older;Total;Value;Drenthe (PV);2019;14.34;26.44
44;Total;Population 6 years or older;Total;Value;Drenthe (PV);2020;11.71;25.05
45;Total;Population 6 years or older;Total;Value;Drenthe (PV);2021;12.26;27.7
46;Total;Population 6 years or older;Total;Value;Drenthe (PV);2022;13.18;27.88
47;Total;Population 6 years or older;Total;Value;Drenthe (PV);2023;13.93;26.62
48;Total;Population 6 years or older;Total;Value;Overijssel (PV);2018;13.21;25.1
49;Total;Population 6 years or older;Total;Value;Overijssel (PV);2019;13.81;25.93
50;Total;Population 6 years or older;Total;Value;Overijssel (PV);2020;10.77;25.57
51;Total;Population 6 years or older;Total;Value;Overijssel (PV);2021;10.76;26.22
52;Total;Population 6 years or older;Total;Value;Overijssel (PV);2022;11.16;24.97
53;Total;Population 6 years or older;Total;Value;Overijssel (PV);2023;11.84;24.99
54;Total;Population 6 years or older;Total;Value;Flevoland (PV);2018;16.0;28.49
55;Total;Population 6 years or older;Total;Value;Flevoland (PV);2019;16.33;27.88
56;Total;Population 6 years or older;Total;Value;Flevoland (PV);2020;13.43;27.52
57;Total;Population 6 years or older;Total;Value;Flevoland (PV);2021;13.91;29.12
58;Total;Population 6 years or older;Total;Value;Flevoland (PV);2022;14.41;28.49
59;Total;Population 6 years or older;Total;Value;Flevoland (PV);2023;14.11;28.31
60;Total;Population 6 years or older;Total;Value;Gelderland (PV);2018;13.4;26.15
61;Total;Population 6 years or older;Total;Value;Gelderland (PV);2019;13.63;27.1
62;Total;Population 6 years or older;Total;Value;Gelderland (PV);2020;11.05;25.3
63;Total;Population 6 years or older;Total;Value;Gelderland (PV);2021;11.46;27.1
64;Total;Population 6 years or older;Total;Value;Gelderland (PV);2022;11.49;26.22
65;Total;Population 6 years or older;Total;Value;Gelderland (PV);2023;12.31;26.14
66;Total;Population 6 years or older;Total;Value;Utrecht (PV);2018;13.09;26.66
67;Total;Population 6 years or older;Total;Value;Utrecht (PV);2019;14.28;27.33
68;Total;Population 6 years or older;Total;Value;Utrecht (PV);2020;10.96;26.51
69;Total;Population 6 years or older;Total;Value;Utrecht (PV);2021;11.06;27.75
70;Total;Population 6 years or older;Total;Value;Utrecht (PV);2022;11.34;26.6
71;Total;Population 6 years or older;Total;Value;Utrecht (PV);2023;12.29;27.22
72;Total;Population 6 years or older;Total;Value;Noord-Holland (PV);2018;12.87;28.45
73;Total;Population 6 years or older;Total;Value;Noord-Holland (PV);2019;12.67;29.62
74;Total;Population 6 years or older;Total;Value;Noord-Holland (PV);2020;9.99;27.65
75;Total;Population 6 years or older;Total;Value;Noord-Holland (PV);2021;10.27;29.57
76;Total;Population 6 years or older;Total;Value;Noord-Holland (PV);2022;10.59;28.44
77;Total;Population 6 years or older;Total;Value;Noord-Holland (PV);2023;10.96;28.49
78;Total;Population 6 years or older;Total;Value;Zuid-Holland (PV);2018;12.16;27.77
79;Total;Population 6 years or older;Total;Value;Zuid-Holland (PV);2019;12.51;28.4
80;Total;Population 6 years or older;Total;Value;Zuid-Holland (PV);2020;10.21;27.84
81;Total;Population 6 years or older;Total;Value;Zuid-Holland (PV);2021;10.3;29.02
82;Total;Population 6 years or older;Total;Value;Zuid-Holland (PV);2022;10.36;27.46
83;Total;Population 6 years or older;Total;Value;Zuid-Holland (PV);2023;11.19;28.48
84;Total;Population 6 years or older;Total;Value;Zeeland (PV);2018;12.03;24.1
85;Total;Population 6 years or older;Total;Value;Zeeland (PV);2019;13.77;25.64
86;Total;Population 6 years or older;Total;Value;Zeeland (PV);2020;11.49;27.17
87;Total;Population 6 years or older;Total;Value;Zeeland (PV);2021;12.14;27.19
88;Total;Population 6 years or older;Total;Value;Zeeland (PV);2022;11.34;26.74
89;Total;Population 6 years or older;Total;Value;Zeeland (PV);2023;12.64;25.96
90;Total;Population 6 years or older;Total;Value;Noord-Brabant (PV);2018;12.82;25.89
91;Total;Population 6 years or older;Total;Value;Noord-Brabant (PV);2019;12.79;25.79
92;Total;Population 6 years or older;Total;Value;Noord-Brabant (PV);2020;9.89;24.64
93;Total;Population 6 years or older;Total;Value;Noord-Brabant (PV);2021;10.26;26.06
94;Total;Population 6 years or older;Total;Value;Noord-Brabant (PV);2022;11.17;26.29
95;Total;Population 6 years or older;Total;Value;Noord-Brabant (PV);2023;12.06;26.4
96;Total;Population 6 years or older;Total;Value;Limburg (PV);2018;11.8;25.35
97;Total;Population 6 years or older;Total;Value;Limburg (PV);2019;11.55;25.15
98;Total;Population 6 years or older;Total;Value;Limburg (PV);2020;10.06;25.27
99;Total;Population 6 years or older;Total;Value;Limburg (PV);2021;10.13;27.16
100;Total;Population 6 years or older;Total;Value;Limburg (PV);2022;10.7;25.73
101;Total;Population 6 years or older;Total;Value;Limburg (PV);2023;10.19;25.03
102;Total;Population 6 years or older;Total;Value;Extremely urbanised;2018;12.08;28.74
103;Total;Population 6 years or older;Total;Value;Extremely urbanised;2019;12.11;29.55
104;Total;Population 6 years or older;Total;Value;Extremely urbanised;2020;9.71;28.78
105;Total;Population 6 years or older;Total;Value;Extremely urbanised;2021;9.86;30.42
106;Total;Population 6 years or older;Total;Value;Extremely urbanised;2022;10.12;28.95
107;Total;Population 6 years or older;Total;Value;Extremely urbanised;2023;10.57;29.29
108;Total;Population 6 years or older;Total;Value;Strongly urbanised;2018;12.87;26.76
109;Total;Population 6 years or older;Total;Value;Strongly urbanised;2019;13.17;27.08
110;Total;Population 6 years or older;Total;Value;Strongly urbanised;2020;10.39;25.97
111;Total;Population 6 years or older;Total;Value;Strongly urbanised;2021;10.74;27.3
112;Total;Population 6 years or older;Total;Value;Strongly urbanised;2022;11.2;26.64
113;Total;Population 6 years or older;Total;Value;Strongly urbanised;2023;11.76;26.78
114;Total;Population 6 years or older;Total;Value;Moderately urbanised;2018;12.67;25.92
115;Total;Population 6 years or older;Total;Value;Moderately urbanised;2019;13.24;26.51
116;Total;Population 6 years or older;Total;Value;Moderately urbanised;2020;10.41;25.04
117;Total;Population 6 years or older;Total;Value;Moderately urbanised;2021;10.73;26.32
118;Total;Population 6 years or older;Total;Value;Moderately urbanised;2022;11.06;26.16
119;Total;Population 6 years or older;Total;Value;Moderately urbanised;2023;11.8;25.96
120;Total;Population 6 years or older;Total;Value;Hardly urbanised;2018;13.91;25.82
121;Total;Population 6 years or older;Total;Value;Hardly urbanised;2019;13.89;26.24
122;Total;Population 6 years or older;Total;Value;Hardly urbanised;2020;11.17;25.43
123;Total;Population 6 years or older;Total;Value;Hardly urbanised;2021;11.52;26.86
124;Total;Population 6 years or older;Total;Value;Hardly urbanised;2022;12.05;25.9
125;Total;Population 6 years or older;Total;Value;Hardly urbanised;2023;12.45;25.82
126;Total;Population 6 years or older;Total;Value;Not urbanised;2018;14.37;25.97
127;Total;Population 6 years or older;Total;Value;Not urbanised;2019;15.68;28.06
128;Total;Population 6 years or older;Total;Value;Not urbanised;2020;12.46;26.05
129;Total;Population 6 years or older;Total;Value;Not urbanised;2021;12.93;28.39
130;Total;Population 6 years or older;Total;Value;Not urbanised;2022;12.73;26.66
131;Total;Population 6 years or older;Total;Value;Not urbanised;2023;13.78;26.73
132;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;The Netherlands;2018;12.8;26.56
133;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;The Netherlands;2019;13.07;27.17
134;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;The Netherlands;2020;10.41;26.08
135;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;The Netherlands;2021;10.7;27.61
136;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;The Netherlands;2022;11.03;26.71
137;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;The Netherlands;2023;11.59;26.81
138;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Nederland (LD);2018;14.09;25.95
139;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Nederland (LD);2019;14.51;26.82
140;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Nederland (LD);2020;11.1;24.98
141;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Nederland (LD);2021;11.96;27.18
142;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Nederland (LD);2022;12.4;26.81
143;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Nederland (LD);2023;12.21;25.67
144;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Oost-Nederland (LD);2018;13.19;25.52
145;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Oost-Nederland (LD);2019;13.48;26.17
146;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Oost-Nederland (LD);2020;10.82;25.04
147;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Oost-Nederland (LD);2021;11.11;26.45
148;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Oost-Nederland (LD);2022;11.31;25.53
149;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Oost-Nederland (LD);2023;11.96;25.5
150;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;West-Nederland (LD);2018;12.28;27.28
151;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;West-Nederland (LD);2019;12.63;28.09
152;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;West-Nederland (LD);2020;10.1;27.15
153;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;West-Nederland (LD);2021;10.29;28.54
154;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;West-Nederland (LD);2022;10.44;27.28
155;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;West-Nederland (LD);2023;11.14;27.82
156;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Nederland (LD);2018;12.11;25.2
157;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Nederland (LD);2019;11.99;25.02
158;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Nederland (LD);2020;9.58;24.29
159;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Nederland (LD);2021;9.86;25.8
160;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Nederland (LD);2022;10.65;25.54
161;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Nederland (LD);2023;11.14;25.47
162;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Groningen (PV);2018;12.2;24.63
163;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Groningen (PV);2019;13.48;26.61
164;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Groningen (PV);2020;10.59;25.58
165;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Groningen (PV);2021;11.46;27.18
166;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Groningen (PV);2022;11.49;25.87
167;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Groningen (PV);2023;10.46;24.98
168;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Fryslân (PV);2018;14.49;26.62
169;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Fryslân (PV);2019;14.99;26.7
170;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Fryslân (PV);2020;10.72;23.94
171;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Fryslân (PV);2021;11.76;26.38
172;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Fryslân (PV);2022;12.17;26.33
173;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Fryslân (PV);2023;12.19;25.13
174;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Drenthe (PV);2018;14.04;24.52
175;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Drenthe (PV);2019;12.95;24.52
176;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Drenthe (PV);2020;10.56;23.56
177;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Drenthe (PV);2021;11.13;25.87
178;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Drenthe (PV);2022;11.94;26.27
179;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Drenthe (PV);2023;12.57;25.07
180;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Overijssel (PV);2018;12.48;24.21
181;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Overijssel (PV);2019;12.88;24.82
182;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Overijssel (PV);2020;10.05;24.39
183;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Overijssel (PV);2021;10.09;25.1
184;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Overijssel (PV);2022;10.47;24.1
185;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Overijssel (PV);2023;11.13;24.11
186;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Flevoland (PV);2018;14.76;26.89
187;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Flevoland (PV);2019;14.96;26.29
188;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Flevoland (PV);2020;12.22;25.51
189;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Flevoland (PV);2021;12.74;27.59
190;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Flevoland (PV);2022;13.07;27.01
191;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Flevoland (PV);2023;13.08;26.83
192;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Gelderland (PV);2018;12.81;25.4
193;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Gelderland (PV);2019;12.99;26.24
194;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Gelderland (PV);2020;10.54;24.62
195;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Gelderland (PV);2021;10.95;26.37
196;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Gelderland (PV);2022;11.01;25.5
197;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Gelderland (PV);2023;11.79;25.49
198;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Utrecht (PV);2018;12.43;25.77
199;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Utrecht (PV);2019;13.5;26.35
200;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Utrecht (PV);2020;10.51;25.85
201;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Utrecht (PV);2021;10.66;27.12
202;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Utrecht (PV);2022;10.93;25.99
203;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Utrecht (PV);2023;11.87;26.63
204;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Holland (PV);2018;12.39;27.84
205;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Holland (PV);2019;12.15;28.85
206;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Holland (PV);2020;9.6;26.99
207;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Holland (PV);2021;9.9;28.9
208;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Holland (PV);2022;10.19;27.79
209;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Holland (PV);2023;10.55;27.88
210;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Holland (PV);2018;11.75;27.2
211;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Holland (PV);2019;12.1;27.83
212;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Holland (PV);2020;9.87;27.28
213;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Holland (PV);2021;9.97;28.48
214;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Holland (PV);2022;10.03;26.99
215;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Holland (PV);2023;10.85;27.99
216;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Zeeland (PV);2018;10.84;22.53
217;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Zeeland (PV);2019;12.16;23.65
218;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Zeeland (PV);2020;10.05;25.26
219;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Zeeland (PV);2021;10.74;25.21
220;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Zeeland (PV);2022;10.26;25.05
221;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Zeeland (PV);2023;11.13;24.2
222;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Brabant (PV);2018;12.33;25.25
223;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Brabant (PV);2019;12.28;25.11
224;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Brabant (PV);2020;9.48;24.0
225;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Brabant (PV);2021;9.85;25.37
226;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Brabant (PV);2022;10.71;25.57
227;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Brabant (PV);2023;11.62;25.78
228;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Limburg (PV);2018;11.08;24.4
229;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Limburg (PV);2019;10.8;24.08
230;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Limburg (PV);2020;9.36;24.25
231;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Limburg (PV);2021;9.43;26.08
232;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Limburg (PV);2022;10.01;24.71
233;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Limburg (PV);2023;9.56;24.07
234;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Extremely urbanised;2018;11.68;28.18
235;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Extremely urbanised;2019;11.71;28.95
236;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Extremely urbanised;2020;9.4;28.23
237;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Extremely urbanised;2021;9.56;29.88
238;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Extremely urbanised;2022;9.81;28.43
239;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Extremely urbanised;2023;10.26;28.8
240;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Strongly urbanised;2018;12.52;26.31
241;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Strongly urbanised;2019;12.78;26.59
242;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Strongly urbanised;2020;10.09;25.53
243;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Strongly urbanised;2021;10.45;26.85
244;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Strongly urbanised;2022;10.88;26.19
245;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Strongly urbanised;2023;11.44;26.35
246;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Moderately urbanised;2018;12.2;25.29
247;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Moderately urbanised;2019;12.7;25.79
248;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Moderately urbanised;2020;9.99;24.4
249;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Moderately urbanised;2021;10.31;25.7
250;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Moderately urbanised;2022;10.67;25.56
251;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Moderately urbanised;2023;11.4;25.42
252;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Hardly urbanised;2018;13.48;25.29
253;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Hardly urbanised;2019;13.41;25.64
254;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Hardly urbanised;2020;10.8;24.87
255;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Hardly urbanised;2021;11.16;26.29
256;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Hardly urbanised;2022;11.66;25.39
257;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Hardly urbanised;2023;12.08;25.34
258;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Not urbanised;2018;13.66;25.14
259;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Not urbanised;2019;14.73;26.81
260;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Not urbanised;2020;11.74;25.09
261;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Not urbanised;2021;12.18;27.29
262;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Not urbanised;2022;12.05;25.74
263;Total;Population 6 years or older;Total;Lower bound 95% confidence interval;Not urbanised;2023;12.98;25.75
264;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;The Netherlands;2018;13.19;27.07
265;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;The Netherlands;2019;13.5;27.74
266;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;The Netherlands;2020;10.74;26.6
267;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;The Netherlands;2021;11.04;28.14
268;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;The Netherlands;2022;11.37;27.21
269;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;The Netherlands;2023;11.93;27.28
270;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Nederland (LD);2018;15.51;27.68
271;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Nederland (LD);2019;16.31;29.02
272;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Nederland (LD);2020;12.4;26.72
273;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Nederland (LD);2021;13.3;29.06
274;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Nederland (LD);2022;13.82;28.61
275;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Nederland (LD);2023;13.58;27.35
276;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Oost-Nederland (LD);2018;14.05;26.61
277;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Oost-Nederland (LD);2019;14.47;27.44
278;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Oost-Nederland (LD);2020;11.61;26.2
279;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Oost-Nederland (LD);2021;11.88;27.6
280;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Oost-Nederland (LD);2022;12.07;26.58
281;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Oost-Nederland (LD);2023;12.74;26.49
282;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;West-Nederland (LD);2018;12.83;28.02
283;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;West-Nederland (LD);2019;13.22;28.91
284;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;West-Nederland (LD);2020;10.55;27.88
285;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;West-Nederland (LD);2021;10.72;29.26
286;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;West-Nederland (LD);2022;10.87;27.94
287;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;West-Nederland (LD);2023;11.6;28.48
288;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Zuid-Nederland (LD);2018;12.92;26.26
289;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Zuid-Nederland (LD);2019;12.84;26.17
290;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Zuid-Nederland (LD);2020;10.29;25.37
291;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Zuid-Nederland (LD);2021;10.59;26.96
292;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Zuid-Nederland (LD);2022;11.41;26.71
293;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Zuid-Nederland (LD);2023;11.86;26.51
294;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Groningen (PV);2018;14.51;27.92
