ID;EarningGroups;CharacteristicsEmployee;CaribbeanNetherlands;Periods;JobsOfEmployees_1;AverageAnnualWage_2
2760;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Caribbean Netherlands;2011;50.0;7530.0
2761;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Caribbean Netherlands;2012;60.0;7400.0
2762;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Caribbean Netherlands;2013;60.0;7490.0
2763;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Caribbean Netherlands;2014;60.0;7750.0
2764;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Caribbean Netherlands;2015;60.0;7350.0
2765;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Caribbean Netherlands;2016;70.0;7230.0
2766;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Caribbean Netherlands;2017;60.0;7440.0
2767;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Caribbean Netherlands;2018;60.0;7390.0
2768;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Caribbean Netherlands;2019;60.0;7670.0
2769;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Caribbean Netherlands;2020;60.0;7710.0
2770;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Caribbean Netherlands;2021;70.0;7610.0
2771;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Caribbean Netherlands;2022;70.0;7770.0
2772;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Bonaire;2011;40.0;7400.0
2773;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Bonaire;2012;40.0;7360.0
2774;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Bonaire;2013;50.0;7460.0
2775;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Bonaire;2014;50.0;7780.0
2776;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Bonaire;2015;40.0;7150.0
2777;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Bonaire;2016;50.0;6960.0
2778;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Bonaire;2017;50.0;7390.0
2779;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Bonaire;2018;50.0;7360.0
2780;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Bonaire;2019;40.0;7600.0
2781;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Bonaire;2020;50.0;7690.0
2782;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Bonaire;2021;60.0;7620.0
2783;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Bonaire;2022;60.0;7790.0
2784;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;St. Eustatius;2011;10.0;8430.0
2785;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;St. Eustatius;2012;;
2786;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;St. Eustatius;2013;;
2787;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;St. Eustatius;2014;10.0;7440.0
2788;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;St. Eustatius;2015;10.0;8080.0
2789;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;St. Eustatius;2016;10.0;8250.0
2790;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;St. Eustatius;2017;10.0;7750.0
2791;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;St. Eustatius;2018;10.0;7530.0
2792;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;St. Eustatius;2019;10.0;7970.0
2793;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;St. Eustatius;2020;;
2794;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;St. Eustatius;2021;;
2795;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;St. Eustatius;2022;;
2796;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Saba;2011;;
2797;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Saba;2012;10.0;6690.0
2798;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Saba;2013;10.0;7430.0
2799;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Saba;2014;10.0;7870.0
2800;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Saba;2015;10.0;7490.0
2801;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Saba;2016;10.0;7860.0
2802;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Saba;2017;;
2803;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Saba;2018;;
2804;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Saba;2019;;
2805;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Saba;2020;;
2806;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Saba;2021;;
2807;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Saba;2022;;
2808;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Unclassificable;2011;;
2809;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Unclassificable;2012;;
2810;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Unclassificable;2013;;
2811;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Unclassificable;2014;;
2812;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Unclassificable;2015;;
2813;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Unclassificable;2016;;
2814;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Unclassificable;2017;;
2815;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Unclassificable;2018;;
2816;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Unclassificable;2019;;
2817;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Unclassificable;2020;;
2818;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Unclassificable;2021;;
2819;Gross annual wage: 5,000 to 9,999 do...;Age: 65 to 74 years;Unclassificable;2022;;
2820;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Caribbean Netherlands;2011;20.0;7390.0
2821;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Caribbean Netherlands;2012;10.0;7170.0
2822;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Caribbean Netherlands;2013;20.0;6650.0
2823;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Caribbean Netherlands;2014;20.0;6980.0
2824;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Caribbean Netherlands;2015;20.0;7000.0
2825;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Caribbean Netherlands;2016;20.0;7140.0
2826;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Caribbean Netherlands;2017;20.0;7000.0
2827;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Caribbean Netherlands;2018;20.0;7200.0
2828;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Caribbean Netherlands;2019;30.0;7100.0
2829;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Caribbean Netherlands;2020;30.0;7110.0
2830;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Caribbean Netherlands;2021;30.0;7530.0
2831;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Caribbean Netherlands;2022;30.0;7950.0
2832;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Bonaire;2011;10.0;7450.0
2833;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Bonaire;2012;10.0;7130.0
2834;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Bonaire;2013;20.0;6530.0
2835;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Bonaire;2014;20.0;7030.0
2836;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Bonaire;2015;10.0;6970.0
2837;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Bonaire;2016;20.0;7150.0
2838;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Bonaire;2017;20.0;6930.0
2839;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Bonaire;2018;20.0;6990.0
2840;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Bonaire;2019;20.0;7110.0
2841;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Bonaire;2020;30.0;7080.0
2842;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Bonaire;2021;20.0;7500.0
2843;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Bonaire;2022;30.0;8010.0
2844;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;St. Eustatius;2011;;
2845;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;St. Eustatius;2012;;
2846;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;St. Eustatius;2013;;
2847;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;St. Eustatius;2014;;
2848;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;St. Eustatius;2015;;
2849;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;St. Eustatius;2016;;
2850;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;St. Eustatius;2017;;
2851;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;St. Eustatius;2018;;
2852;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;St. Eustatius;2019;;
2853;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;St. Eustatius;2020;;
2854;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;St. Eustatius;2021;;
2855;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;St. Eustatius;2022;;
2856;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Saba;2011;;
2857;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Saba;2012;;
2858;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Saba;2013;;
2859;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Saba;2014;;
2860;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Saba;2015;;
2861;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Saba;2016;;
2862;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Saba;2017;;
2863;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Saba;2018;;
2864;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Saba;2019;;
2865;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Saba;2020;;
2866;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Saba;2021;;
2867;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Saba;2022;;
2868;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Unclassificable;2011;;
2869;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Unclassificable;2012;;
2870;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Unclassificable;2013;;
2871;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Unclassificable;2014;;
2872;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Unclassificable;2015;;
2873;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Unclassificable;2016;;
2874;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Unclassificable;2017;;
2875;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Unclassificable;2018;;
2876;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Unclassificable;2019;;
2877;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Unclassificable;2020;;
2878;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Unclassificable;2021;;
2879;Gross annual wage: 5,000 to 9,999 do...;Age: 75 years or older;Unclassificable;2022;;
2880;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Caribbean Netherlands;2011;;
2881;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Caribbean Netherlands;2012;;
2882;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Caribbean Netherlands;2013;;
2883;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Caribbean Netherlands;2014;;
2884;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Caribbean Netherlands;2015;;
2885;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Caribbean Netherlands;2016;;
2886;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Caribbean Netherlands;2017;;
2887;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Caribbean Netherlands;2018;;
2888;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Caribbean Netherlands;2019;;
2889;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Caribbean Netherlands;2020;;
2890;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Caribbean Netherlands;2021;;
2891;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Caribbean Netherlands;2022;;
2892;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Bonaire;2011;;
2893;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Bonaire;2012;;
2894;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Bonaire;2013;;
2895;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Bonaire;2014;;
2896;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Bonaire;2015;;
2897;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Bonaire;2016;;
2898;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Bonaire;2017;;
2899;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Bonaire;2018;;
2900;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Bonaire;2019;;
2901;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Bonaire;2020;;
2902;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Bonaire;2021;;
2903;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Bonaire;2022;;
2904;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;St. Eustatius;2011;;
2905;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;St. Eustatius;2012;;
2906;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;St. Eustatius;2013;;
2907;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;St. Eustatius;2014;;
2908;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;St. Eustatius;2015;;
2909;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;St. Eustatius;2016;;
2910;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;St. Eustatius;2017;;
2911;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;St. Eustatius;2018;;
2912;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;St. Eustatius;2019;;
2913;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;St. Eustatius;2020;;
2914;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;St. Eustatius;2021;;
2915;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;St. Eustatius;2022;;
2916;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Saba;2011;;
2917;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Saba;2012;;
2918;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Saba;2013;;
2919;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Saba;2014;;
2920;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Saba;2015;;
2921;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Saba;2016;;
2922;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Saba;2017;;
2923;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Saba;2018;;
2924;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Saba;2019;;
2925;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Saba;2020;;
2926;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Saba;2021;;
2927;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Saba;2022;;
2928;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Unclassificable;2011;;
2929;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Unclassificable;2012;;
2930;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Unclassificable;2013;;
2931;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Unclassificable;2014;;
2932;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Unclassificable;2015;;
2933;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Unclassificable;2016;;
2934;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Unclassificable;2017;;
2935;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Unclassificable;2018;;
2936;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Unclassificable;2019;;
2937;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Unclassificable;2020;;
2938;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Unclassificable;2021;;
2939;Gross annual wage: 5,000 to 9,999 do...;Age: unknown;Unclassificable;2022;;
2940;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Caribbean Netherlands;2011;10.0;6240.0
2941;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Caribbean Netherlands;2012;;
2942;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Caribbean Netherlands;2013;;
2943;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Caribbean Netherlands;2014;;
2944;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Caribbean Netherlands;2015;;
2945;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Caribbean Netherlands;2016;;
2946;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Caribbean Netherlands;2017;;
2947;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Caribbean Netherlands;2018;;
2948;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Caribbean Netherlands;2019;10.0;6320.0
2949;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Caribbean Netherlands;2020;;
2950;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Caribbean Netherlands;2021;;
2951;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Caribbean Netherlands;2022;;
2952;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Bonaire;2011;10.0;6240.0
2953;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Bonaire;2012;;
2954;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Bonaire;2013;;
2955;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Bonaire;2014;;
2956;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Bonaire;2015;;
2957;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Bonaire;2016;;
2958;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Bonaire;2017;;
2959;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Bonaire;2018;;
2960;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Bonaire;2019;10.0;6320.0
2961;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Bonaire;2020;;
2962;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Bonaire;2021;;
2963;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Bonaire;2022;;
2964;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;St. Eustatius;2011;;
2965;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;St. Eustatius;2012;;
2966;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;St. Eustatius;2013;;
2967;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;St. Eustatius;2014;;
2968;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;St. Eustatius;2015;;
2969;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;St. Eustatius;2016;;
2970;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;St. Eustatius;2017;;
2971;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;St. Eustatius;2018;;
2972;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;St. Eustatius;2019;;
2973;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;St. Eustatius;2020;;
2974;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;St. Eustatius;2021;;
2975;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;St. Eustatius;2022;;
2976;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Saba;2011;;
2977;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Saba;2012;;
2978;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Saba;2013;;
2979;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Saba;2014;;
2980;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Saba;2015;;
2981;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Saba;2016;;
2982;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Saba;2017;;
2983;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Saba;2018;;
2984;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Saba;2019;;
2985;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Saba;2020;;
2986;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Saba;2021;;
2987;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Saba;2022;;
2988;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Unclassificable;2011;;
2989;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Unclassificable;2012;;
2990;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Unclassificable;2013;;
2991;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Unclassificable;2014;;
2992;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Unclassificable;2015;;
2993;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Unclassificable;2016;;
2994;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Unclassificable;2017;;
2995;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Unclassificable;2018;;
2996;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Unclassificable;2019;;
2997;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Unclassificable;2020;;
2998;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Unclassificable;2021;;
2999;Gross annual wage: 5,000 to 9,999 do...;Age: younger than 16 years;Unclassificable;2022;;
3000;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Caribbean Netherlands;2011;40.0;7870.0
3001;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Caribbean Netherlands;2012;40.0;7440.0
3002;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Caribbean Netherlands;2013;30.0;7330.0
3003;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Caribbean Netherlands;2014;30.0;6920.0
3004;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Caribbean Netherlands;2015;40.0;6940.0
3005;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Caribbean Netherlands;2016;50.0;7170.0
3006;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Caribbean Netherlands;2017;50.0;7230.0
3007;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Caribbean Netherlands;2018;70.0;7170.0
3008;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Caribbean Netherlands;2019;90.0;7350.0
3009;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Caribbean Netherlands;2020;50.0;7240.0
3010;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Caribbean Netherlands;2021;70.0;7340.0
3011;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Caribbean Netherlands;2022;90.0;7370.0
3012;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Bonaire;2011;40.0;7900.0
3013;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Bonaire;2012;40.0;7510.0
3014;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Bonaire;2013;30.0;7320.0
3015;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Bonaire;2014;30.0;6910.0
3016;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Bonaire;2015;40.0;6950.0
3017;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Bonaire;2016;50.0;7150.0
3018;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Bonaire;2017;40.0;7210.0
3019;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Bonaire;2018;70.0;7170.0
3020;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Bonaire;2019;80.0;7370.0
3021;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Bonaire;2020;40.0;7130.0
3022;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Bonaire;2021;70.0;7290.0
3023;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Bonaire;2022;80.0;7360.0
3024;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;St. Eustatius;2011;;
3025;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;St. Eustatius;2012;;
3026;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;St. Eustatius;2013;;
3027;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;St. Eustatius;2014;;
3028;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;St. Eustatius;2015;;
3029;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;St. Eustatius;2016;;
3030;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;St. Eustatius;2017;;
3031;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;St. Eustatius;2018;;
3032;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;St. Eustatius;2019;;
3033;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;St. Eustatius;2020;;
3034;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;St. Eustatius;2021;;
3035;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;St. Eustatius;2022;;
3036;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Saba;2011;;
3037;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Saba;2012;;
3038;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Saba;2013;;
3039;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Saba;2014;;
3040;Gross annual wage: 5,000 to 9,999 do...;Age: 16-18 years;Saba;2015;;
