ID;KenmerkenWerknemers;Perioden;ErgSnelWerken_1;HeelVeelWerkDoen_2;ExtraHardWerken_3;OnderTijdsdrukWerken_4;Haasten_5;RegelmatigVeelKrachtZetten_6;k_5KgTillen_7;k_5KgDuwenTrekken_8;k_5KgDragen_9;RegelmatigHardPraten_10;RegelmatigGebruikVanGehoorbeschermers_11;RegelmatigTeMakenMetTrillingen_12;GevaarlijkWerk_13;WaterigeOplossingen_14;StoffenOpUwHuid_15;AdemtStoffenIn_16;BesmettePersonen_17;InOngemakkelijkeWerkhoudingWerken_18;TijdensWerkRepeterendeBewegingMaken_19;UurPerDagAanBeeldschermVoorWerk_20;UurPerWeekAanBeeldschermVoorPrive_21;ZelfBeslissen_22;VolgordeWerkzaamhedenBepalen_23;WerktempoBepalen_24;OplossingenBedenken_25;VerlofNemen_26;EmotioneelMoeilijkeWerksituaties_27;EmotioneelVeeleisendWerk_28;EmotioneelBetrokkenBijWerk_29;VanKlanten_30;VanLeidinggevendenOfCollegaS_31;DoorKlanten_32;DoorLeidinggevendenOfCollegaS_33;DoorKlanten_34;DoorLeidinggevendenOfCollegaS_35;DoorKlanten_36;DoorLeidinggevendenOfCollegaS_37;AantalOngevallenPer100000Werknemers_38;TotaalAandeelWerknemersMetOngeval_39;OngevalZonderVerzuim_40;OngevalMetTenMinste0DagenVerzuim_41;OngevalMetTenMinste1DagVerzuim_42;OngevalMetTenMinste4DagenVerzuim_43;UitsluitendLichamelijkLetsel_44;UitsluitendGeestelijkLetsel_45;LichamelijkEnGeestelijkLetsel_46;BurnOutKlachten_47;EmotioneelUitgeput_48;LeegVoelen_49;SOchtendsMoeVoelen_50;VergtVeelOmMetMensenTeWerken_51;UitgeputDoorWerk_52;TevredenMetArbeidsomstandigheden_53;TevredenMetWerk_54;WilTot65eWerkzaamBlijven_55;InStaatTot65eWerkzaamTeBlijven_56;DoorLichterWerkLangerWerkzaam_57;Na65eWerkzaamBlijven_58;LeeftijdWillenDoorwerken_59;LeeftijdInStaatDoorwerken_60
56;Arbeidsduur: 1 tot 20 uur per week;2007;27.4;28.4;17.7;;;21.7;;;;3.7;;4.7;1.0;;;;;10.8;40.2;2.0;;;;;;;4.9;8.5;9.8;7.3;1.6;19.8;7.9;7.1;0.4;7.7;6.3;13100;6.2;3.8;2.4;2.1;1.8;5.2;0.9;0.2;6.7;7.0;17.0;9.1;6.0;8.2;73.4;77.4;36.7;32.6;35.4;;;
57;Arbeidsduur: 1 tot 20 uur per week;2008;26.5;28.7;19.3;;;24.6;;;;4.8;;5.5;;26.9;15.8;5.2;6.2;11.4;38.8;2.2;;49.4;50.3;47.7;48.8;45.1;5.2;9.2;9.9;7.5;1.9;19.5;6.5;8.1;0.5;7.2;5.5;10000;5.6;3.1;2.5;2.3;1.7;4.4;0.8;0.5;7.6;7.7;18.7;9.4;6.6;9.4;76.5;78.6;39.2;35.4;35.8;12.4;;
58;Arbeidsduur: 1 tot 20 uur per week;2009;27.7;27.3;17.2;;;21.5;;;;3.7;;5.1;1.5;25.1;14.9;6.1;12.0;8.9;40.1;2.0;;47.6;49.3;49.7;48.1;46.0;5.1;8.6;10.5;8.5;1.5;20.2;6.6;7.1;0.6;8.4;5.7;14000;5.7;4.3;1.4;1.2;0.9;4.3;1.1;0.3;7.9;6.9;17.4;10.5;7.3;7.9;75.3;77.5;41.1;34.0;36.9;11.9;;
59;Arbeidsduur: 1 tot 20 uur per week;2010;29.1;28.5;18.3;;;27.7;;;;4.5;;5.5;1.7;28.8;16.2;5.0;6.9;10.0;44.0;1.9;;45.4;46.1;46.0;45.2;43.0;4.1;7.4;8.2;8.0;2.3;19.5;6.2;6.5;0.4;7.6;5.4;12200;6.5;4.7;1.9;1.7;1.2;5.4;1.0;0.2;8.3;8.2;18.6;11.7;6.4;9.5;77.3;77.2;45.6;31.5;36.7;13.6;;
60;Arbeidsduur: 1 tot 20 uur per week;2011;26.7;26.9;17.7;;;24.0;;;;4.6;;5.9;1.0;27.2;15.8;6.4;7.5;9.9;42.9;1.8;;44.9;47.2;46.6;44.6;44.9;4.8;7.9;9.1;8.4;1.9;19.4;6.5;5.5;0.8;6.5;6.0;11500;5.8;3.8;2.0;1.8;1.4;4.6;0.8;0.3;7.4;7.5;15.9;10.9;6.5;8.0;74.9;78.2;;;;;60.4;58.8
61;Arbeidsduur: 1 tot 20 uur per week;2012;26.7;26.4;17.3;;;25.4;;;;4.8;;4.8;1.7;27.3;15.8;4.8;5.5;8.9;42.5;1.8;;44.4;45.2;44.6;44.5;46.4;3.7;6.7;7.9;8.6;1.9;19.6;7.8;6.9;0.7;6.3;5.6;10600;6.7;4.2;2.5;2.1;1.5;5.4;1.0;0.3;8.0;7.5;18.5;11.7;7.0;9.7;75.8;76.1;;;;;59.8;59.5
62;Arbeidsduur: 1 tot 20 uur per week;2013;28.5;28.1;20.0;;;25.2;;;;4.7;;4.6;1.0;27.7;16.4;7.9;9.5;9.0;44.1;1.7;;42.2;43.9;42.6;44.3;44.8;4.1;6.2;8.0;8.3;2.0;20.9;6.3;5.8;0.7;5.8;4.9;10900;6.2;4.1;2.1;1.8;1.3;5.0;0.6;0.5;6.9;6.5;16.8;10.1;5.6;9.2;73.0;75.9;;;;;60.6;58.6
63;Arbeidsduur: 20 tot 35 uur per week;2005;43.7;49.2;29.9;37.4;28.6;21.1;25.5;22.9;19.4;6.1;3.0;;;;;;;;;3.7;5.2;;;;;;;;;;;;;;;;;11600;6.3;3.6;2.6;2.5;1.9;3.5;2.1;0.6;;;;;;;70.1;;20.9;39.7;35.4;;;
64;Arbeidsduur: 20 tot 35 uur per week;2006;44.9;51.5;32.0;39.0;29.1;21.4;25.4;22.4;19.8;5.3;3.0;;;;;;;;;3.8;5.1;;;;;;;;;;;;;;;;;7400;5.2;2.9;2.3;2.2;1.7;3.0;1.8;0.3;;;;;;;70.8;;25.0;41.4;36.7;;;
65;Arbeidsduur: 20 tot 35 uur per week;2007;33.3;42.9;25.9;;;16.8;;;;4.5;;4.5;2.4;;;;;10.2;34.6;3.8;;;;;;;9.1;16.4;15.0;6.9;2.2;24.3;12.1;8.7;0.3;7.5;7.7;10600;6.0;3.1;2.9;2.8;2.2;3.8;1.6;0.6;11.7;13.3;27.7;13.8;9.1;11.1;72.3;77.4;33.5;40.0;39.9;;;
66;Arbeidsduur: 20 tot 35 uur per week;2008;31.4;41.1;25.6;;;18.5;;;;4.1;;4.6;;17.5;9.9;5.1;7.5;9.6;33.7;4.0;;62.3;65.2;58.2;67.6;45.5;9.6;15.4;13.5;7.3;2.0;23.6;10.2;9.4;0.5;7.5;6.7;14200;6.3;3.4;2.9;2.7;2.3;3.7;2.0;0.6;12.6;13.3;29.0;14.8;10.4;11.5;76.4;79.2;34.8;42.3;39.5;9.1;;
67;Arbeidsduur: 20 tot 35 uur per week;2009;32.6;41.5;25.2;;;15.8;;;;4.0;;4.5;2.3;17.4;10.4;6.1;10.3;9.5;31.9;4.0;;60.7;63.5;57.5;67.7;45.0;9.3;16.2;14.1;7.7;2.4;24.1;11.2;9.3;0.3;8.1;7.5;12400;6.5;3.4;3.1;3.0;2.5;3.8;2.1;0.7;13.4;14.2;28.9;14.8;10.3;11.9;74.0;79.6;40.9;43.6;42.5;11.4;;
68;Arbeidsduur: 20 tot 35 uur per week;2010;33.1;41.8;26.0;;;19.1;;;;4.1;;4.8;2.7;18.1;9.6;4.9;7.6;9.5;35.6;4.0;;60.3;63.5;56.6;67.4;46.0;9.4;15.0;14.3;7.3;2.0;21.9;9.9;8.8;0.4;7.0;6.3;12000;6.5;3.8;2.7;2.6;2.2;3.6;2.1;0.8;13.4;14.3;30.2;15.2;10.2;11.6;77.5;80.3;41.9;44.2;40.2;11.6;;
69;Arbeidsduur: 20 tot 35 uur per week;2011;32.0;41.8;25.8;;;18.1;;;;4.1;;4.7;2.3;18.5;9.6;5.9;8.4;10.5;33.9;4.1;;58.7;62.1;55.7;67.4;43.5;10.0;15.5;14.2;7.1;2.1;24.3;10.9;9.4;0.4;6.8;7.5;12800;6.1;3.1;2.9;2.8;2.4;3.4;2.0;0.6;13.3;13.7;28.6;15.1;10.7;12.5;73.5;78.2;;;;;62.7;61.8
70;Arbeidsduur: 20 tot 35 uur per week;2012;30.8;40.0;25.6;;;18.4;;;;4.0;;4.1;2.9;18.2;9.8;4.8;8.0;9.5;34.8;4.0;;56.8;61.1;53.9;64.6;43.2;8.5;13.9;12.9;7.9;2.1;23.7;10.4;9.2;0.4;6.6;7.1;11800;5.8;3.5;2.3;2.2;1.7;3.4;1.9;0.5;14.1;14.8;30.1;16.3;10.6;12.3;75.6;78.8;;;;;63.1;62.2
71;Arbeidsduur: 20 tot 35 uur per week;2013;31.9;42.4;27.1;;;17.0;;;;4.6;;4.8;2.5;18.8;9.8;7.3;9.0;10.3;33.5;4.0;;58.4;61.1;54.3;66.8;42.1;10.1;15.8;13.8;7.8;2.1;24.1;10.8;9.9;0.5;6.7;6.2;12100;6.1;3.5;2.6;2.6;2.0;3.9;1.6;0.6;13.0;14.1;27.8;15.4;9.9;11.7;72.4;77.8;;;;;63.4;62.3
72;Arbeidsduur: 35 uur of meer per week;2005;46.9;52.9;34.1;44.8;31.3;25.0;34.1;29.4;30.8;13.3;14.8;;;;;;;;;3.9;6.0;;;;;;;;;;;;;;;;;13700;7.8;3.6;4.1;4.0;3.0;5.6;1.6;0.5;;;;;;;68.7;;20.4;41.9;37.4;;;
73;Arbeidsduur: 35 uur of meer per week;2006;47.0;55.3;34.7;44.5;31.6;23.3;32.6;28.5;29.4;12.3;14.0;;;;;;;;;4.1;5.8;;;;;;;;;;;;;;;;;11700;7.1;3.2;4.0;3.8;2.8;5.2;1.4;0.5;;;;;;;71.2;;26.1;44.9;37.6;;;
74;Arbeidsduur: 35 uur of meer per week;2007;35.9;47.1;28.4;;;18.2;;;;9.5;;13.3;5.0;;;;;11.2;34.9;4.0;;;;;;;7.1;11.0;14.4;2.5;1.7;17.4;12.2;4.0;0.7;6.5;9.6;12800;7.3;3.5;3.8;3.7;3.1;5.5;1.3;0.5;12.1;12.1;30.0;15.2;8.5;11.5;72.7;77.3;33.6;44.5;40.3;;;
75;Arbeidsduur: 35 uur of meer per week;2008;34.2;45.6;29.1;;;20.3;;;;9.4;;13.3;;12.1;8.5;11.3;4.3;11.6;33.7;4.2;;69.9;70.2;66.0;76.5;55.1;7.1;10.7;12.7;2.8;1.7;16.5;12.1;4.6;0.7;6.3;9.9;15700;8.1;3.8;4.2;4.0;3.2;6.0;1.3;0.7;13.4;12.9;31.1;16.3;9.6;12.3;76.0;78.1;36.3;47.9;41.6;12.7;;
76;Arbeidsduur: 35 uur of meer per week;2009;34.6;45.4;29.2;;;18.4;;;;8.4;;12.7;5.1;11.7;8.2;10.5;8.3;11.2;32.2;4.3;;68.7;70.2;66.0;76.5;55.0;7.8;11.6;14.5;2.5;1.4;16.7;12.8;4.4;0.6;6.5;9.6;12800;7.4;3.4;4.0;3.7;3.0;5.3;1.4;0.6;13.6;13.0;30.4;16.4;9.6;12.6;74.0;78.2;43.7;48.9;41.5;14.1;;
77;Arbeidsduur: 35 uur of meer per week;2010;37.0;46.6;30.1;;;20.7;;;;8.6;;13.5;6.0;11.8;8.0;10.7;4.5;10.3;34.0;4.3;;69.9;70.6;66.2;77.0;55.0;7.8;11.9;14.3;2.9;1.5;16.0;11.1;4.4;0.6;5.9;8.2;14600;7.7;3.4;4.3;4.0;3.3;5.4;1.6;0.6;14.3;14.4;33.1;18.2;9.6;13.2;77.1;78.5;44.7;50.4;41.0;16.0;;
78;Arbeidsduur: 35 uur of meer per week;2011;34.7;46.2;29.1;;;18.6;;;;9.2;;13.1;4.9;12.1;7.3;10.0;6.3;11.1;32.6;4.5;;68.5;70.2;65.7;76.6;54.4;7.8;11.5;14.4;2.6;1.4;16.8;12.8;4.0;0.7;5.7;8.9;11200;6.9;3.4;3.6;3.4;2.7;4.8;1.4;0.6;14.3;14.0;29.7;17.5;9.5;13.3;73.8;77.5;;;;;62.9;62.5
79;Arbeidsduur: 35 uur of meer per week;2012;33.1;44.0;29.5;;;19.7;;;;9.1;;12.8;5.9;12.1;7.4;10.5;4.5;10.4;33.6;4.3;;67.8;68.5;63.5;76.3;54.6;6.3;10.0;12.9;2.8;1.6;16.4;12.5;4.6;0.8;5.6;8.4;14100;7.2;3.2;3.9;3.8;3.0;4.9;1.5;0.7;14.4;14.6;32.5;18.7;9.7;13.3;75.5;78.5;;;;;63.2;62.8
80;Arbeidsduur: 35 uur of meer per week;2013;34.0;46.2;30.3;;;17.9;;;;9.8;;13.6;5.5;11.8;7.5;10.1;7.6;10.5;32.2;4.4;;67.2;68.5;63.9;76.2;54.7;7.7;11.6;13.8;2.6;1.6;16.1;12.3;3.8;0.6;5.1;8.5;12200;6.8;3.4;3.4;3.2;2.6;4.7;1.4;0.6;14.0;13.8;30.0;17.5;9.5;13.3;73.4;77.8;;;;;63.5;63.0
