ID;PersonalCharacteristics;Accuracy;CaribbeanNetherlands;Periods;OftenFeelsUnsafe_1;SometimesFeelsUnsafe_2;SeldomFeelsUnsafe_3;NeverFeelsUnsafe_4;ALotOfCrime_5;ALittleCrime_6;NoCrime_7;SafetyRating_8
107;Age: 25 to 44 years;Reliability margin;Bonaire;2017/2018;1.7;2.6;2.7;3.9;2.3;5.3;5.2;0.2
108;Age: 25 to 44 years;Reliability margin;St. Eustatius;2013;;;;;;;;
109;Age: 25 to 44 years;Reliability margin;St. Eustatius;2017/2018;;;;3.9;;5.1;5.1;0.2
110;Age: 25 to 44 years;Reliability margin;Saba;2013;;;;;;;;
111;Age: 25 to 44 years;Reliability margin;Saba;2017/2018;;;4.2;5.9;;6.0;6.0;0.3
112;Age: 45 to 64 years;Percentage/average;Caribbean Netherlands ;2013;4.1;18.2;6.5;71.3;6.9;39.8;48.4;7.6
113;Age: 45 to 64 years;Percentage/average;Caribbean Netherlands ;2017/2018;2.3;4.4;5.3;88.0;4.9;30.0;65.1;8.1
114;Age: 45 to 64 years;Percentage/average;Bonaire;2013;5.2;22.9;6.6;65.4;9.0;43.7;41.4;7.3
115;Age: 45 to 64 years;Percentage/average;Bonaire;2017/2018;3.6;6.3;7.8;82.2;7.1;39.5;41.3;7.7
116;Age: 45 to 64 years;Percentage/average;St. Eustatius;2013;;;;;;;;
117;Age: 45 to 64 years;Percentage/average;St. Eustatius;2017/2018;;;;100.0;;8.0;92.0;8.7
118;Age: 45 to 64 years;Percentage/average;Saba;2013;;;12.5;77.4;;;;
119;Age: 45 to 64 years;Percentage/average;Saba;2017/2018;;;;94.5;;;95.6;9.3
120;Age: 45 to 64 years;Reliability margin;Caribbean Netherlands ;2013;2.0;3.9;2.5;4.5;2.5;4.9;5.0;0.2
121;Age: 45 to 64 years;Reliability margin;Caribbean Netherlands ;2017/2018;1.2;1.6;1.8;2.6;1.8;3.8;4.0;0.1
122;Age: 45 to 64 years;Reliability margin;Bonaire;2013;2.5;4.8;2.8;5.5;3.3;5.7;5.7;0.2
123;Age: 45 to 64 years;Reliability margin;Bonaire;2017/2018;1.9;2.5;2.7;3.9;2.6;4.9;5.0;0.2
124;Age: 45 to 64 years;Reliability margin;St. Eustatius;2013;;;;;;;;
125;Age: 45 to 64 years;Reliability margin;St. Eustatius;2017/2018;;;;;;4.5;4.5;0.2
126;Age: 45 to 64 years;Reliability margin;Saba;2013;;;10.8;13.7;;;;
127;Age: 45 to 64 years;Reliability margin;Saba;2017/2018;;;;5.3;;;4.7;0.3
128;Age: 65 years or older;Percentage/average;Caribbean Netherlands ;2013;7.4;7.3;9.0;75.0;4.9;33.9;57.0;7.7
129;Age: 65 years or older;Percentage/average;Caribbean Netherlands ;2017/2018;2.6;5.3;6.9;84.7;4.5;29.0;66.5;8.2
130;Age: 65 years or older;Percentage/average;Bonaire;2013;8.7;9.6;10.0;69.9;6.5;40.8;49.3;7.3
131;Age: 65 years or older;Percentage/average;Bonaire;2017/2018;4.0;8.1;9.9;77.4;6.9;37.4;44.8;7.7
132;Age: 65 years or older;Percentage/average;St. Eustatius;2013;;;;;;;;
133;Age: 65 years or older;Percentage/average;St. Eustatius;2017/2018;;;;98.3;;12.5;87.5;8.6
134;Age: 65 years or older;Percentage/average;Saba;2013;;;;;;;;
135;Age: 65 years or older;Percentage/average;Saba;2017/2018;;;;92.8;;;91.8;9.4
136;Age: 65 years or older;Reliability margin;Caribbean Netherlands ;2013;4.5;4.4;4.9;7.4;3.7;8.1;8.5;0.3
137;Age: 65 years or older;Reliability margin;Caribbean Netherlands ;2017/2018;2.0;2.9;3.2;4.6;2.7;6.0;6.2;0.2
138;Age: 65 years or older;Reliability margin;Bonaire;2013;5.6;5.8;5.9;9.1;4.9;9.7;9.9;0.4
139;Age: 65 years or older;Reliability margin;Bonaire;2017/2018;3.2;4.4;4.9;6.8;4.1;7.9;8.1;0.3
140;Age: 65 years or older;Reliability margin;St. Eustatius;2013;;;;;;;;
141;Age: 65 years or older;Reliability margin;St. Eustatius;2017/2018;;;;3.4;;8.6;8.6;0.3
142;Age: 65 years or older;Reliability margin;Saba;2013;;;;;;;;
143;Age: 65 years or older;Reliability margin;Saba;2017/2018;;;;8.7;;;9.3;0.3
144;Level of education: Low;Percentage/average;Caribbean Netherlands ;2013;5.1;13.8;7.7;73.0;4.5;35.2;55.8;7.7
145;Level of education: Low;Percentage/average;Caribbean Netherlands ;2017/2018;2.7;5.1;6.0;86.0;2.2;26.5;71.3;8.1
146;Level of education: Low;Percentage/average;Bonaire;2013;6.3;17.0;7.3;69.0;6.0;43.2;45.6;7.3
147;Level of education: Low;Percentage/average;Bonaire;2017/2018;4.0;7.4;8.8;79.5;3.4;36.7;48.3;7.7
148;Level of education: Low;Percentage/average;St. Eustatius;2013;;;6.1;89.0;;11.5;85.4;8.9
149;Level of education: Low;Percentage/average;St. Eustatius;2017/2018;;;;98.0;;6.1;93.9;8.5
150;Level of education: Low;Percentage/average;Saba;2013;;6.1;15.8;72.3;;14.2;83.7;8.8
151;Level of education: Low;Percentage/average;Saba;2017/2018;;5.3;;90.7;;6.1;93.9;9.3
152;Level of education: Low;Reliability margin;Caribbean Netherlands ;2013;1.8;2.8;2.2;3.6;1.7;3.9;4.0;0.1
153;Level of education: Low;Reliability margin;Caribbean Netherlands ;2017/2018;1.1;1.4;1.6;2.3;1.0;3.0;3.1;0.1
154;Level of education: Low;Reliability margin;Bonaire;2013;2.3;3.5;2.5;4.4;2.3;4.7;4.7;0.2
155;Level of education: Low;Reliability margin;Bonaire;2017/2018;1.6;2.2;2.4;3.4;1.5;4.1;4.2;0.1
156;Level of education: Low;Reliability margin;St. Eustatius;2013;;;5.2;6.8;;6.9;7.7;0.2
157;Level of education: Low;Reliability margin;St. Eustatius;2017/2018;;;;1.7;;3.0;3.0;0.2
158;Level of education: Low;Reliability margin;Saba;2013;;5.9;9.0;10.9;;8.6;9.1;0.3
159;Level of education: Low;Reliability margin;Saba;2017/2018;;4.3;;5.6;;4.6;4.6;0.2
160;Level of education: Intermediate/High;Percentage/average;Caribbean Netherlands ;2013;3.9;17.1;9.3;69.5;7.7;46.1;40.3;7.5
161;Level of education: Intermediate/High;Percentage/average;Caribbean Netherlands ;2017/2018;1.7;5.1;4.8;88.4;5.7;37.4;56.9;8.2
162;Level of education: Intermediate/High;Percentage/average;Bonaire;2013;5.2;20.2;9.0;65.5;10.0;50.1;32.7;7.2
163;Level of education: Intermediate/High;Percentage/average;Bonaire;2017/2018;2.0;6.7;6.3;85.1;8.6;47.6;32.5;7.7
164;Level of education: Intermediate/High;Percentage/average;St. Eustatius;2013;;;;;;;;
165;Level of education: Intermediate/High;Percentage/average;St. Eustatius;2017/2018;;;;94.9;;18.9;81.1;8.7
166;Level of education: Intermediate/High;Percentage/average;Saba;2013;;13.4;14.8;71.3;;33.9;60.2;8.7
167;Level of education: Intermediate/High;Percentage/average;Saba;2017/2018;;2.8;2.7;93.0;;9.1;90.9;9.3
168;Level of education: Intermediate/High;Reliability margin;Caribbean Netherlands ;2013;1.8;3.4;2.6;4.2;2.4;4.5;4.5;0.2
169;Level of education: Intermediate/High;Reliability margin;Caribbean Netherlands ;2017/2018;0.9;1.6;1.6;2.3;1.8;3.7;3.8;0.1
170;Level of education: Intermediate/High;Reliability margin;Bonaire;2013;2.4;4.3;3.0;5.0;3.2;5.3;5.0;0.2
171;Level of education: Intermediate/High;Reliability margin;Bonaire;2017/2018;1.3;2.3;2.3;3.3;2.6;4.6;4.4;0.1
172;Level of education: Intermediate/High;Reliability margin;St. Eustatius;2013;;;;;;;;
173;Level of education: Intermediate/High;Reliability margin;St. Eustatius;2017/2018;;;;3.9;;6.8;6.8;0.2
174;Level of education: Intermediate/High;Reliability margin;Saba;2013;;7.4;7.7;9.8;;10.3;10.6;0.3
175;Level of education: Intermediate/High;Reliability margin;Saba;2017/2018;;2.7;2.6;4.2;;4.7;4.7;0.2
176;Level of education: Intermediate;Percentage/average;Caribbean Netherlands ;2013;5.0;18.6;7.2;69.0;8.3;44.8;40.8;7.3
177;Level of education: Intermediate;Percentage/average;Caribbean Netherlands ;2017/2018;2.0;5.3;4.5;88.3;5.1;35.1;59.9;8.2
178;Level of education: Intermediate;Percentage/average;Bonaire;2013;6.1;22.0;8.3;63.3;9.9;46.8;35.8;7.0
179;Level of education: Intermediate;Percentage/average;Bonaire;2017/2018;2.6;6.8;5.8;84.7;7.0;42.6;37.2;7.8
180;Level of education: Intermediate;Percentage/average;St. Eustatius;2013;;;;;;;;
181;Level of education: Intermediate;Percentage/average;St. Eustatius;2017/2018;;;;95.7;;13.4;86.6;8.6
182;Level of education: Intermediate;Percentage/average;Saba;2013;;;;;;;;
183;Level of education: Intermediate;Percentage/average;Saba;2017/2018;;;;94.7;;8.8;91.2;9.2
184;Level of education: Intermediate;Reliability margin;Caribbean Netherlands ;2013;2.5;4.5;3.0;5.3;3.2;5.7;5.7;0.2
185;Level of education: Intermediate;Reliability margin;Caribbean Netherlands ;2017/2018;1.3;2.2;2.0;3.1;2.2;4.8;4.9;0.1
186;Level of education: Intermediate;Reliability margin;Bonaire;2013;3.1;5.3;3.5;6.2;3.8;6.4;6.2;0.2
187;Level of education: Intermediate;Reliability margin;Bonaire;2017/2018;1.9;3.0;2.8;4.3;3.0;5.9;5.7;0.2
188;Level of education: Intermediate;Reliability margin;St. Eustatius;2013;;;;;;;;
189;Level of education: Intermediate;Reliability margin;St. Eustatius;2017/2018;;;;4.5;;7.6;7.6;0.3
190;Level of education: Intermediate;Reliability margin;Saba;2013;;;;;;;;
191;Level of education: Intermediate;Reliability margin;Saba;2017/2018;;;;5.6;;7.1;7.1;0.3
192;Level of education: High;Percentage/average;Caribbean Netherlands ;2013;2.1;14.8;12.8;70.2;6.6;48.2;39.5;7.9
193;Level of education: High;Percentage/average;Caribbean Netherlands ;2017/2018;;4.9;5.3;88.6;6.6;40.4;52.9;8.2
194;Level of education: High;Percentage/average;Bonaire;2013;;16.5;10.3;70.0;10.3;56.7;26.3;7.5
195;Level of education: High;Percentage/average;Bonaire;2017/2018;;6.4;7.0;85.7;11.1;55.4;25.2;7.5
196;Level of education: High;Percentage/average;St. Eustatius;2013;;;;;;;;
197;Level of education: High;Percentage/average;St. Eustatius;2017/2018;;;;93.5;;27.9;72.1;8.8
198;Level of education: High;Percentage/average;Saba;2013;;13.7;17.7;67.8;;33.8;59.7;8.8
199;Level of education: High;Percentage/average;Saba;2017/2018;;;;91.6;;9.3;90.7;9.3
200;Level of education: High;Reliability margin;Caribbean Netherlands ;2013;2.1;5.3;4.9;6.8;3.7;7.4;7.2;0.2
201;Level of education: High;Reliability margin;Caribbean Netherlands ;2017/2018;;2.4;2.5;3.6;2.9;5.6;5.7;0.2
202;Level of education: High;Reliability margin;Bonaire;2013;;6.9;5.6;8.5;5.6;9.2;8.2;0.3
203;Level of education: High;Reliability margin;Bonaire;2017/2018;;3.6;3.8;5.2;4.7;7.4;6.5;0.2
204;Level of education: High;Reliability margin;St. Eustatius;2013;;;;;;;;
205;Level of education: High;Reliability margin;St. Eustatius;2017/2018;;;;7.1;;12.9;12.9;0.4
206;Level of education: High;Reliability margin;Saba;2013;;8.8;9.8;12.1;;12.2;12.6;0.3
207;Level of education: High;Reliability margin;Saba;2017/2018;;;;6.0;;6.3;6.3;0.3
