ID;PersonalCharacteristics;TypeOfFigure;CarribeanNetherlands;Periods;PersonsWithAtLeast1Contact_1;AverageNumberOfContactsPopulation_2;AverageNumberOfContactsPerPatient_3;IslandOfResidence_4;OtherIslandOrCountry_5;PersonsWithAtLeast1Contact_6;AverageNumberOfContactsPopulation_7;AverageNumberOfContactsPerPatient_8;IslandOfResidence_9;OtherIslandOrCountry_10;PersonsWithAtLeast1Contact_11;AverageNumberOfContactsPopulation_12;AverageNumberOfContactsPerPatient_13;IslandOfResidence_14;OtherIslandOrCountry_15;PersonsWithAtLeast1Contact_16;AverageNumberOfContactsPopulation_17;AverageNumberOfContactsPerPatient_18;IslandOfResidence_19;OtherIslandOrCountry_20;PersonsWithOvernightStays_21;NumberOfAdmissionsPer100Persons_22;NumberOfAdmissionsPer100Patients_23;IslandOfResidence_24;OtherIslandOrCountry_25;PersonsWithDayAdmission_26;NumberOfDayAdmissionsP100Persons_27;NumberOfDayAdmissionsP100Patients_28;IslandOfResidence_29;OtherIslandOrCountry_30;PersonsWithAtLeast1Contact_31;NumberOfContactsPer100Persons_32;NumberOfContactsPer100Patients_33;IslandOfResidence_34;OtherIslandOrCountry_35;PrescribedMedicinesIn14Days_36;NonPrescribedMedicinesIn14Days_37
24;Sex: male;Percentage/average;Caribbean Netherlands ;2013;71.2;5.6;7.8;92.1;7.9;32.4;2.5;7.8;65.6;34.4;49.6;3.2;6.3;85.8;14.2;16.5;1.4;8.2;96.4;;11.8;21.6;183.6;65.0;35.0;7.5;10.4;;;;50.0;86.6;173.3;91.7;8.3;33.3;23.2
25;Sex: male;Percentage/average;Caribbean Netherlands ;2017/2018;;;;;;;;;;;;;;;;8.1;0.7;9.1;94.3;5.7;;;;;;8.1;16.8;207.7;65.1;34.9;45.9;83.0;180.9;94.6;5.4;24.0;16.1
26;Sex: male;Percentage/average;Caribbean Netherlands ;2021;51.4;4.7;9.1;95.7;4.3;27.6;2.5;9.1;82.2;17.8;37.4;2.3;6.3;91.8;8.2;6.4;0.5;;;;7.0;30.7;438.9;64.3;35.7;8.8;19.6;223.5;73.4;26.6;37.7;72.7;192.7;96.5;3.5;24.6;23.2
27;Sex: male;Percentage/average;Bonaire;2013;72.8;5.6;7.7;98.2;;31.4;2.0;6.4;87.9;12.1;50.9;3.8;7.4;91.9;8.1;18.4;1.6;8.8;98.5;;9.0;14.1;;;;6.8;9.3;;;;51.6;88.9;172.4;97.1;2.9;35.4;22.3
28;Sex: male;Percentage/average;Bonaire;2017/2018;66.2;5.5;8.3;98.8;1.2;33.9;3.0;8.8;87.0;13.0;42.0;2.2;5.2;89.0;11.0;7.8;1.0;;;;11.0;24.2;221.0;79.2;20.8;8.6;20.4;;;;49.4;91.3;184.9;97.5;2.5;29.5;15.4
29;Sex: male;Percentage/average;Bonaire;2021;55.5;5.1;9.2;98.7;;28.2;2.7;9.4;97.5;2.5;45.0;2.8;6.2;94.0;6.0;6.7;0.7;;;;8.1;22.0;;;;7.7;7.7;;;;40.2;85.4;212.2;96.1;3.9;26.6;23.7
30;Sex: male;Percentage/average;St. Eustatius;2013;66.0;5.6;;;;39.6;4.8;;;;49.6;1.5;;;;10.6;;;;;23.3;54.5;;;;12.2;;;;;49.2;68.6;;;;29.2;24.3
31;Sex: male;Percentage/average;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;7.6;0.2;;;;;;;;;4.3;4.3;;;;36.4;60.1;165.1;96.6;;6.0;8.9
32;Sex: male;Percentage/average;St. Eustatius;2021;38.5;3.4;8.8;88.8;11.2;23.7;2.3;;;;23.1;1.7;;;;4.8;0.1;;;;3.7;;;;;;;;;;30.6;48.2;157.6;;;15.7;16.0
33;Sex: male;Percentage/average;Saba;2013;67.4;5.7;8.3;;;27.6;2.5;;;;38.6;;;;;11.5;0.4;;;;14.1;24.6;;;;;;;;;37.4;;100.6;;;23.6;28.7
34;Sex: male;Percentage/average;Saba;2017/2018;73.3;4.8;6.6;82.7;17.3;26.8;1.8;;;;;;;;;10.0;0.5;;;;7.6;;;;;11.4;19.9;;;;45.1;81.5;180.8;79.9;20.1;29.6;30.5
35;Sex: male;Percentage/average;Saba;2021;59.7;5.2;8.8;94.2;5.8;32.0;2.3;;;;38.3;2.1;;;;8.1;0.4;;;;9.1;88.7;;;;22.7;76.5;;;;41.7;74.9;179.5;93.6;6.4;33.9;33.9
36;Sex: male;Reliability margin;Caribbean Netherlands ;2013;4.2;1.0;1.3;3.3;3.3;4.4;1.1;3.2;8.3;8.3;4.7;0.8;1.6;5.2;5.2;3.4;0.6;3.2;6.5;;3.3;9.2;63.0;13.5;13.5;2.5;3.9;;;;4.7;11.7;17.8;3.9;3.9;4.4;3.9
37;Sex: male;Reliability margin;Caribbean Netherlands ;2017/2018;;;;;;;;;;;;;;;;1.9;0.3;3.6;5.6;5.6;;;;;;1.9;7.4;78.5;11.6;11.6;3.4;10.6;18.6;2.3;2.3;2.9;2.5
38;Sex: male;Reliability margin;Caribbean Netherlands ;2021;3.9;0.8;1.4;2.2;2.2;3.5;0.6;1.7;5.7;5.7;3.8;0.5;1.2;3.6;3.6;1.9;0.3;;;;1.9;17.7;233.7;13.6;13.6;2.3;10.9;117.7;11.7;11.7;3.8;12.2;26.1;2.1;2.1;3.2;3.3
39;Sex: male;Reliability margin;Bonaire;2013;4.7;1.1;1.5;2.1;;4.9;1.0;3.1;6.3;6.3;5.3;1.0;1.9;4.4;4.4;4.1;0.8;3.7;4.9;;3.2;6.2;;;;2.6;4.2;;;;5.3;13.2;18.7;2.6;2.6;5.0;4.4
40;Sex: male;Reliability margin;Bonaire;2017/2018;4.1;0.9;1.3;1.1;1.1;4.1;0.7;1.7;5.0;5.0;4.3;0.6;1.4;4.2;4.2;2.3;0.5;;;;2.7;8.6;57.1;10.8;10.8;2.4;11.0;;;;4.3;13.8;22.9;1.9;1.9;3.9;3.1
41;Sex: male;Reliability margin;Bonaire;2021;5.4;1.1;1.8;1.5;;4.8;0.9;2.7;2.5;2.5;5.4;0.8;1.5;3.9;3.9;2.6;0.5;;;;2.9;16.0;;;;2.9;2.9;;;;5.3;20.5;42.9;3.3;3.3;4.6;4.6
42;Sex: male;Reliability margin;St. Eustatius;2013;12.7;2.8;;;;13.6;4.8;;;;14.0;1.4;;;;8.9;;;;;12.4;47.8;;;;10.0;;;;;14.0;24.9;;;;12.1;11.3
43;Sex: male;Reliability margin;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;3.9;0.1;;;;;;;;;3.0;3.0;;;;7.1;15.6;28.0;4.5;;3.3;4.0
44;Sex: male;Reliability margin;St. Eustatius;2021;7.1;1.7;4.2;7.6;7.6;6.1;1.0;;;;6.0;0.8;;;;3.4;0.1;;;;2.6;;;;;;;;;;6.6;13.7;29.5;;;5.0;5.1
45;Sex: male;Reliability margin;Saba;2013;11.6;3.1;4.4;;;10.6;1.5;;;;11.6;;;;;8.0;0.3;;;;8.9;18.7;;;;;;;;;11.7;;56.7;;;9.9;11.1
46;Sex: male;Reliability margin;Saba;2017/2018;7.8;1.5;2.0;7.7;7.7;7.8;1.0;;;;;;;;;5.3;0.4;;;;4.6;;;;;5.6;16.6;;;;8.7;31.4;60.5;10.5;10.5;8.0;8.1
47;Sex: male;Reliability margin;Saba;2021;9.3;1.5;2.3;5.1;5.1;8.5;1.0;;;;9.1;1.0;;;;4.9;0.3;;;;4.7;83.9;;;;7.9;57.6;;;;9.1;20.9;31.7;5.3;5.3;8.5;8.7
48;Sex: female;Percentage/average;Caribbean Netherlands ;2013;82.6;10.4;12.6;92.0;8.0;49.7;4.2;8.4;69.1;30.9;60.5;4.1;6.7;87.4;12.6;21.9;2.0;9.3;98.9;;12.1;49.9;413.2;62.6;37.4;12.6;33.9;267.9;59.7;40.3;62.9;127.0;202.0;94.7;5.3;43.9;28.7
49;Sex: female;Percentage/average;Caribbean Netherlands ;2017/2018;;;;;;;;;;;;;;;;13.4;1.9;13.8;92.3;7.7;;;;;;9.6;33.1;344.2;55.0;45.0;63.0;152.2;241.7;92.3;7.7;38.7;24.6
50;Sex: female;Percentage/average;Caribbean Netherlands ;2021;66.4;7.6;11.4;96.3;3.7;35.9;3.8;10.7;84.1;15.9;44.3;3.2;7.3;90.7;9.3;11.7;1.5;12.9;92.2;7.8;8.9;46.6;522.5;72.7;27.3;9.8;46.8;475.5;86.1;13.9;48.0;133.6;278.4;95.6;4.4;31.9;32.7
51;Sex: female;Percentage/average;Bonaire;2013;84.3;10.6;12.5;98.4;;49.7;4.0;8.0;87.5;12.5;62.2;4.6;7.4;91.7;8.3;24.8;2.4;9.6;98.7;;10.4;21.9;;;;11.0;15.9;;;;65.0;132.4;203.7;97.9;;45.6;28.2
52;Sex: female;Percentage/average;Bonaire;2017/2018;82.7;9.1;11.0;99.0;1.0;47.3;6.4;13.5;93.1;6.9;51.0;1.6;3.2;92.4;7.6;12.9;2.1;16.0;96.6;;11.1;36.0;323.2;72.1;27.9;6.1;18.6;;;;68.1;164.0;240.9;97.8;2.2;42.8;23.5
53;Sex: female;Percentage/average;Bonaire;2021;73.9;7.7;10.4;98.9;;36.8;4.1;11.0;97.4;;52.4;4.0;7.7;94.2;5.8;10.9;1.9;;;;7.5;20.5;;;;7.3;11.4;;;;53.4;169.5;317.7;98.0;;34.0;36.5
54;Sex: female;Percentage/average;St. Eustatius;2013;78.6;11.9;15.2;;;57.6;5.9;;;;51.0;3.1;;;;12.9;;;;;25.0;;;;;26.0;137.4;;;;62.2;115.4;;;;38.6;23.3
55;Sex: female;Percentage/average;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;13.2;0.9;;;;;;;;;14.6;41.4;;;;55.1;112.1;203.3;87.9;12.1;26.3;16.0
56;Sex: female;Percentage/average;St. Eustatius;2021;46.6;6.6;14.2;96.2;3.8;31.2;3.3;10.6;79.1;20.9;25.1;1.7;6.7;98.1;;8.0;0.3;;;;11.1;32.4;;;;5.3;9.8;;;;36.2;83.5;230.4;96.3;;16.7;15.3
57;Sex: female;Percentage/average;Saba;2013;76.4;6.9;9.1;68.8;31.2;38.1;3.1;;;;61.4;1.4;;;;12.2;1.1;;;;6.7;;;;;5.9;;;;;47.7;;102.9;;;39.4;41.5
58;Sex: female;Percentage/average;Saba;2017/2018;81.0;8.3;10.3;75.8;24.2;42.8;3.6;8.6;43.1;56.9;;;;;;16.0;2.3;;;;15.2;63.5;;;;16.1;77.2;;;;53.9;160.3;297.3;72.5;27.5;41.2;41.8
59;Sex: female;Percentage/average;Saba;2021;76.1;8.8;11.6;89.5;10.5;40.4;4.1;10.1;57.6;42.4;52.5;3.4;6.4;76.2;23.8;19.5;2.2;;;;9.4;;;;;23.7;197.9;;;;51.2;112.9;220.3;88.3;11.7;50.7;50.4
60;Sex: female;Reliability margin;Caribbean Netherlands ;2013;3.4;1.6;1.9;2.9;2.9;4.4;0.9;1.5;6.1;6.1;4.4;0.9;1.3;3.9;3.9;3.6;0.6;2.2;3.6;;2.9;39.0;306.3;12.5;12.5;3.0;18.5;132.7;12.4;12.4;4.3;16.3;22.5;2.7;2.7;4.4;4.0
61;Sex: female;Reliability margin;Caribbean Netherlands ;2017/2018;;;;;;;;;;;;;;;;2.4;0.6;3.4;5.2;5.2;;;;;;2.1;15.2;140.2;11.4;11.4;3.4;18.1;25.6;2.4;2.4;3.4;3.0
62;Sex: female;Reliability margin;Caribbean Netherlands ;2021;3.6;1.2;1.8;1.8;1.8;3.7;0.8;2.1;4.7;4.7;3.8;1.1;2.4;3.4;3.4;2.5;0.7;5.3;6.7;6.7;2.2;33.4;356.7;11.6;11.6;2.3;33.4;322.9;8.7;8.7;3.8;32.5;64.1;2.3;2.3;3.5;3.5
63;Sex: female;Reliability margin;Bonaire;2013;3.7;2.0;2.3;1.8;;5.0;1.0;1.8;4.8;4.8;4.9;1.1;1.7;3.9;3.9;4.4;0.7;2.5;4.1;;3.0;8.8;;;;3.1;5.5;;;;4.8;19.1;25.5;2.1;;5.0;4.6
64;Sex: female;Reliability margin;Bonaire;2017/2018;3.4;1.4;1.6;1.0;1.0;4.5;1.5;2.9;3.3;3.3;4.5;0.5;1.0;3.3;3.3;3.0;0.8;5.1;4.6;;2.8;15.3;111.7;12.2;12.2;2.2;15.5;;;;4.2;21.0;27.1;1.6;1.6;4.4;3.8
65;Sex: female;Reliability margin;Bonaire;2021;4.5;1.5;2.0;1.5;;5.1;1.3;3.1;2.9;;5.2;1.9;3.6;3.4;3.4;3.3;1.1;;;;3.0;13.8;;;;2.8;7.3;;;;5.2;60.2;108.4;2.1;;5.0;5.0
66;Sex: female;Reliability margin;St. Eustatius;2013;10.8;4.3;5.1;;;12.7;2.6;;;;13.0;1.4;;;;8.8;;;;;11.6;;;;;11.5;124.1;;;;12.6;47.0;;;;12.0;10.9
67;Sex: female;Reliability margin;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;5.1;0.5;;;;;;;;;5.3;23.7;;;;7.6;21.6;27.4;6.7;6.7;6.4;5.3
68;Sex: female;Reliability margin;St. Eustatius;2021;7.1;2.4;4.6;3.7;3.7;6.5;1.3;3.3;10.4;10.4;5.9;0.7;2.4;3.6;;3.9;0.2;;;;4.6;19.4;;;;3.3;7.5;;;;6.7;20.9;38.7;4.1;;5.0;4.8
69;Sex: female;Reliability margin;Saba;2013;11.0;3.2;3.9;13.7;13.7;12.1;1.8;;;;12.3;1.1;;;;7.8;0.8;;;;6.0;;;;;5.4;;;;;12.4;;36.3;;;12.0;12.1
70;Sex: female;Reliability margin;Saba;2017/2018;6.9;2.9;3.4;8.4;8.4;8.7;1.7;3.6;13.3;13.3;;;;;;6.4;1.5;;;;6.3;51.3;;;;6.4;64.9;;;;8.7;70.9;122.7;10.7;10.7;8.6;8.7
71;Sex: female;Reliability margin;Saba;2021;8.4;3.3;4.2;6.2;6.2;8.9;2.1;4.6;13.5;13.5;9.2;2.5;4.7;10.8;10.8;7.2;1.9;;;;4.7;;;;;7.8;169.7;;;;9.3;33.7;55.4;8.2;8.2;9.2;9.2
72;Age: 15 to 24 years;Percentage/average;Caribbean Netherlands ;2013;71.9;5.1;7.0;87.3;12.7;21.2;1.4;;;;58.5;4.4;7.6;88.8;11.2;10.1;0.5;;;;4.5;6.5;;;;6.3;8.5;;;;46.4;85.4;183.9;86.5;13.5;19.2;28.5
73;Age: 15 to 24 years;Percentage/average;Caribbean Netherlands ;2017/2018;;;;;;;;;;;;;;;;5.5;0.5;;;;;;;;;4.4;22.5;;;;43.0;75.2;174.8;93.9;6.1;16.7;20.1
74;Age: 15 to 24 years;Percentage/average;Caribbean Netherlands ;2021;49.4;5.6;11.3;98.7;;21.5;1.8;;;;52.1;4.0;7.7;94.2;5.8;;;;;;5.0;12.8;;;;9.4;14.3;;;;31.4;55.1;;;;12.9;24.7
75;Age: 15 to 24 years;Percentage/average;Bonaire;2013;75.3;5.4;7.1;95.4;;17.7;1.3;;;;63.6;6.0;9.4;91.2;8.8;11.1;0.6;;;;;;;;;6.0;9.3;;;;43.4;79.5;183.2;;;18.0;28.7
76;Age: 15 to 24 years;Percentage/average;Bonaire;2017/2018;65.5;6.9;10.6;99.0;;21.8;2.3;;;;65.3;3.3;5.1;98.4;;;;;;;10.1;14.7;;;;;;;;;45.8;80.6;176.1;;;16.9;20.3
77;Age: 15 to 24 years;Percentage/average;Bonaire;2021;64.4;6.9;10.8;;;21.3;2.3;;;;61.2;5.3;;;;;;;;;;;;;;10.3;10.3;;;;39.9;78.2;;;;11.8;26.1
78;Age: 15 to 24 years;Percentage/average;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;Age: 15 to 24 years;Percentage/average;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;Age: 15 to 24 years;Percentage/average;St. Eustatius;2021;18.6;;;;;18.7;;;;;40.6;3.2;;;;;;;;;;;;;;;;;;;14.4;20.0;;;;9.2;15.1
81;Age: 15 to 24 years;Percentage/average;Saba;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;Age: 15 to 24 years;Percentage/average;Saba;2017/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;Age: 15 to 24 years;Percentage/average;Saba;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;Age: 15 to 24 years;Reliability margin;Caribbean Netherlands ;2013;7.0;1.7;2.3;6.5;6.5;6.3;0.7;;;;7.6;1.7;2.8;6.5;6.5;4.7;0.3;;;;3.8;5.5;;;;3.9;5.8;;;;7.7;20.1;32.4;8.3;8.3;6.1;6.8
85;Age: 15 to 24 years;Reliability margin;Caribbean Netherlands ;2017/2018;;;;;;;;;;;;;;;;3.0;0.5;;;;;;;;;2.7;21.0;;;;6.5;16.7;28.7;4.8;4.8;4.8;5.2
86;Age: 15 to 24 years;Reliability margin;Caribbean Netherlands ;2021;8.2;2.3;4.2;2.5;;6.7;1.1;;;;8.0;1.5;2.5;5.5;5.5;;;;;;3.4;11.0;;;;4.9;9.8;;;;7.6;17.0;;;;5.3;7.0
87;Age: 15 to 24 years;Reliability margin;Bonaire;2013;7.7;2.2;2.8;5.8;;6.9;0.8;;;;8.6;2.4;3.6;7.8;7.8;5.9;0.5;;;;;;;;;4.4;7.7;;;;8.8;24.6;43.3;;;7.0;8.2
88;Age: 15 to 24 years;Reliability margin;Bonaire;2017/2018;8.1;2.9;4.3;2.1;;7.0;1.1;;;;8.1;1.5;2.2;2.7;;;;;;;5.1;9.1;;;;;;;;;8.5;23.1;38.8;;;6.4;6.8
89;Age: 15 to 24 years;Reliability margin;Bonaire;2021;11.0;2.4;3.3;;;9.4;1.9;;;;11.0;2.3;;;;;;;;;;;;;;7.2;7.2;;;;11.2;29.3;;;;7.2;10.3
90;Age: 15 to 24 years;Reliability margin;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;Age: 15 to 24 years;Reliability margin;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;Age: 15 to 24 years;Reliability margin;St. Eustatius;2021;11.1;;;;;11.1;;;;;13.4;2.3;;;;;;;;;;;;;;;;;;;10.0;15.3;;;;7.8;9.7
93;Age: 15 to 24 years;Reliability margin;Saba;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;Age: 15 to 24 years;Reliability margin;Saba;2017/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;Age: 15 to 24 years;Reliability margin;Saba;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;Age: 25 to 44 years;Percentage/average;Caribbean Netherlands ;2013;73.4;8.0;10.8;92.2;7.8;36.2;2.4;6.5;70.2;29.8;55.2;3.4;6.2;87.8;12.2;17.4;1.1;6.6;95.0;;13.9;51.7;;;;11.1;21.0;;;;52.0;89.8;172.9;96.2;3.8;29.6;24.5
97;Age: 25 to 44 years;Percentage/average;Caribbean Netherlands ;2017/2018;;;;;;;;;;;;;;;;8.8;0.9;10.2;94.3;;;;;;;7.0;17.1;;;;48.1;105.1;218.5;92.9;7.1;19.3;19.1
98;Age: 25 to 44 years;Percentage/average;Caribbean Netherlands ;2021;54.0;4.8;8.9;95.0;5.0;25.0;2.6;10.3;79.9;20.1;42.4;2.7;6.3;90.9;9.1;7.1;0.9;;;;6.8;;;;;7.9;;;;;33.2;73.6;221.8;94.9;5.1;14.8;26.6
