ID;SectorsAssets;CounterpartSectorsLiabilities;BalanceSheetsAndTransactions;Periods;SavingsTransferableAndOtherDeposits_1;ShortTermSecurities_2;LongTermSecurities_3;ShortTermLoans_4;LongTermLoans_5;HomeMortgages_6;ListedShares_7;InvestmentFundSharesOrUnits_8
20;Total domestic sectors;Total domestic sectors;Opening balance sheet;2003 1st quarter;431431.0;;;159127.0;939991.0;;;
21;Total domestic sectors;Total domestic sectors;Opening balance sheet;2003 2nd quarter;457340.0;;;155456.0;950682.0;;;
22;Total domestic sectors;Total domestic sectors;Opening balance sheet;2003 3rd quarter;456099.0;;;152588.0;972051.0;;;
23;Total domestic sectors;Total domestic sectors;Opening balance sheet;2003 4th quarter;471931.0;;;150063.0;990762.0;;;
24;Total domestic sectors;Total domestic sectors;Opening balance sheet;2003;431431.0;;;159127.0;939991.0;;;
25;Total domestic sectors;Total domestic sectors;Opening balance sheet;2004 1st quarter;475861.0;;;149963.0;1010873.0;;;
26;Total domestic sectors;Total domestic sectors;Opening balance sheet;2004 2nd quarter;475307.0;;;151930.0;1020719.0;;;
27;Total domestic sectors;Total domestic sectors;Opening balance sheet;2004 3rd quarter;504326.0;;;157921.0;1023322.0;;;
28;Total domestic sectors;Total domestic sectors;Opening balance sheet;2004 4th quarter;495836.0;;;163205.0;1036750.0;;;
29;Total domestic sectors;Total domestic sectors;Opening balance sheet;2004;475861.0;;;149963.0;1010873.0;;;
30;Total domestic sectors;Total domestic sectors;Opening balance sheet;2005 1st quarter;505794.0;;;167265.0;1038597.0;;;
31;Total domestic sectors;Total domestic sectors;Opening balance sheet;2005 2nd quarter;524189.0;;;180029.0;1046183.0;;;
32;Total domestic sectors;Total domestic sectors;Opening balance sheet;2005 3rd quarter;554648.0;;;192397.0;1066098.0;;;
33;Total domestic sectors;Total domestic sectors;Opening balance sheet;2005 4th quarter;568382.0;;;193770.0;1081592.0;;;
34;Total domestic sectors;Total domestic sectors;Opening balance sheet;2005;505794.0;;;167265.0;1038597.0;;;
35;Total domestic sectors;Total domestic sectors;Opening balance sheet;2006 1st quarter;582651.0;;;193890.0;1099270.0;;;
36;Total domestic sectors;Total domestic sectors;Opening balance sheet;2006 2nd quarter;605703.0;;;199718.0;1110879.0;;;
37;Total domestic sectors;Total domestic sectors;Opening balance sheet;2006 3rd quarter;602450.0;;;197852.0;1121273.0;;;
38;Total domestic sectors;Total domestic sectors;Opening balance sheet;2006 4th quarter;622961.0;;;204060.0;1136971.0;;;
39;Total domestic sectors;Total domestic sectors;Opening balance sheet;2006;582651.0;;;193890.0;1099270.0;;;
40;Total domestic sectors;Total domestic sectors;Opening balance sheet;2007 1st quarter;624579.0;;;201005.0;1163911.0;;;
41;Total domestic sectors;Total domestic sectors;Opening balance sheet;2007 2nd quarter;648053.0;;;224697.0;1186923.0;;;
42;Total domestic sectors;Total domestic sectors;Opening balance sheet;2007 3rd quarter;681767.0;;;229407.0;1200048.0;;;
43;Total domestic sectors;Total domestic sectors;Opening balance sheet;2007 4th quarter;668769.0;;;231696.0;1210586.0;;;
44;Total domestic sectors;Total domestic sectors;Opening balance sheet;2007;624579.0;;;201005.0;1163911.0;;;
45;Total domestic sectors;Total domestic sectors;Opening balance sheet;2008 1st quarter;704942.0;;;213076.0;1248311.0;;;
46;Total domestic sectors;Total domestic sectors;Opening balance sheet;2008 2nd quarter;689400.0;;;241178.0;1266600.0;;;
47;Total domestic sectors;Total domestic sectors;Opening balance sheet;2008 3rd quarter;779212.0;;;253538.0;1283385.0;;;
48;Total domestic sectors;Total domestic sectors;Opening balance sheet;2008 4th quarter;811727.0;;;249005.0;1304049.0;;;
49;Total domestic sectors;Total domestic sectors;Opening balance sheet;2008;704942.0;;;213076.0;1248311.0;;;
50;Total domestic sectors;Total domestic sectors;Opening balance sheet;2009 1st quarter;787994.0;;;272241.0;1331358.0;;;
51;Total domestic sectors;Total domestic sectors;Opening balance sheet;2009 2nd quarter;763058.0;;;274972.0;1346185.0;;;
52;Total domestic sectors;Total domestic sectors;Opening balance sheet;2009 3rd quarter;823283.0;;;279505.0;1348775.0;;;
53;Total domestic sectors;Total domestic sectors;Opening balance sheet;2009 4th quarter;794190.0;;;261151.0;1352854.0;;;
54;Total domestic sectors;Total domestic sectors;Opening balance sheet;2009;787994.0;;;272241.0;1331358.0;;;
55;Total domestic sectors;Total domestic sectors;Opening balance sheet;2010 1st quarter;801938.0;13091.0;378851.0;259025.0;1411544.0;655764.0;63490.0;402146.0
56;Total domestic sectors;Total domestic sectors;Opening balance sheet;2010 2nd quarter;813454.0;14257.0;377365.0;282300.0;1430398.0;659787.0;67708.0;444788.0
57;Total domestic sectors;Total domestic sectors;Opening balance sheet;2010 3rd quarter;872857.0;11459.0;382401.0;319620.0;1422569.0;667049.0;66098.0;429987.0
58;Total domestic sectors;Total domestic sectors;Opening balance sheet;2010 4th quarter;809678.0;11079.0;389325.0;329815.0;1393294.0;671551.0;68871.0;437248.0
59;Total domestic sectors;Total domestic sectors;Opening balance sheet;2010;801938.0;13091.0;378851.0;259025.0;1411544.0;655764.0;63490.0;402146.0
60;Total domestic sectors;Total domestic sectors;Opening balance sheet;2011 1st quarter;797108.0;9713.0;396259.0;344419.0;1425922.0;674632.0;71139.0;450952.0
61;Total domestic sectors;Total domestic sectors;Opening balance sheet;2011 2nd quarter;795145.0;9232.0;364099.0;390674.0;1421292.0;677385.0;72284.0;462709.0
62;Total domestic sectors;Total domestic sectors;Opening balance sheet;2011 3rd quarter;829198.0;11087.0;365596.0;422116.0;1418685.0;681083.0;68788.0;469647.0
63;Total domestic sectors;Total domestic sectors;Opening balance sheet;2011 4th quarter;915360.0;9882.0;386675.0;449051.0;1414456.0;684539.0;57145.0;467107.0
64;Total domestic sectors;Total domestic sectors;Opening balance sheet;2011;797108.0;9713.0;396259.0;344419.0;1425922.0;674632.0;71139.0;450952.0
65;Total domestic sectors;Total domestic sectors;Opening balance sheet;2012 1st quarter;953430.0;8691.0;410776.0;476299.0;1406499.0;685971.0;61366.0;474050.0
66;Total domestic sectors;Total domestic sectors;Opening balance sheet;2012 2nd quarter;1001568.0;5774.0;406419.0;488575.0;1414280.0;686566.0;67671.0;509345.0
67;Total domestic sectors;Total domestic sectors;Opening balance sheet;2012 3rd quarter;986473.0;4892.0;402113.0;501652.0;1425186.0;689100.0;67937.0;511184.0
68;Total domestic sectors;Total domestic sectors;Opening balance sheet;2012 4th quarter;982103.0;7083.0;398507.0;513548.0;1425101.0;691446.0;72867.0;535721.0
69;Total domestic sectors;Total domestic sectors;Opening balance sheet;2012;953430.0;8691.0;410776.0;476299.0;1406499.0;685971.0;61366.0;474050.0
70;Total domestic sectors;Total domestic sectors;Opening balance sheet;2013 1st quarter;974247.0;9391.0;402011.0;491817.0;1434361.0;691506.0;76733.0;548601.0
71;Total domestic sectors;Total domestic sectors;Opening balance sheet;2013 2nd quarter;929408.0;6102.0;390443.0;495238.0;1433002.0;687509.0;83920.0;575109.0
72;Total domestic sectors;Total domestic sectors;Opening balance sheet;2013 3rd quarter;928658.0;5691.0;396658.0;482786.0;1433860.0;684893.0;82059.0;563386.0
73;Total domestic sectors;Total domestic sectors;Opening balance sheet;2013 4th quarter;910404.0;4560.0;393866.0;463827.0;1445201.0;687925.0;97294.0;586179.0
74;Total domestic sectors;Total domestic sectors;Opening balance sheet;2013;974247.0;9391.0;402011.0;491817.0;1434361.0;691506.0;76733.0;548601.0
75;Total domestic sectors;Total domestic sectors;Opening balance sheet;2014 1st quarter;861884.0;5779.0;381998.0;421198.0;1441178.0;681710.0;90090.0;603945.0
76;Total domestic sectors;Total domestic sectors;Opening balance sheet;2014 2nd quarter;857224.0;6400.0;387772.0;421750.0;1435130.0;679751.0;96065.0;619615.0
77;Total domestic sectors;Total domestic sectors;Opening balance sheet;2014 3rd quarter;840647.0;6676.0;396645.0;416328.0;1454466.0;679872.0;94718.0;653018.0
78;Total domestic sectors;Total domestic sectors;Opening balance sheet;2014 4th quarter;828698.0;6280.0;395190.0;427251.0;1463249.0;679945.0;101282.0;687931.0
79;Total domestic sectors;Total domestic sectors;Opening balance sheet;2014;861884.0;5779.0;381998.0;421198.0;1441178.0;681710.0;90090.0;603945.0
80;Total domestic sectors;Total domestic sectors;Opening balance sheet;2015 1st quarter;844018.0;6262.0;396583.0;488378.0;1371679.0;681580.0;101733.0;707545.0
81;Total domestic sectors;Total domestic sectors;Opening balance sheet;2015 2nd quarter;866676.0;5286.0;404645.0;533467.0;1374269.0;682797.0;117322.0;768380.0
82;Total domestic sectors;Total domestic sectors;Opening balance sheet;2015 3rd quarter;903403.0;4781.0;398786.0;506405.0;1381529.0;683712.0;108522.0;735174.0
83;Total domestic sectors;Total domestic sectors;Opening balance sheet;2015 4th quarter;916557.0;5051.0;403139.0;476804.0;1386287.0;685931.0;102806.0;706452.0
84;Total domestic sectors;Total domestic sectors;Opening balance sheet;2015;844018.0;6262.0;396583.0;488378.0;1371679.0;681580.0;101733.0;707545.0
85;Total domestic sectors;Total domestic sectors;Opening balance sheet;2016 1st quarter;915021.0;3483.0;398967.0;469133.0;1395175.0;688193.0;116126.0;725828.0
86;Total domestic sectors;Total domestic sectors;Opening balance sheet;2016 2nd quarter;957050.0;4964.0;404433.0;487067.0;1409607.0;690983.0;106132.0;731654.0
87;Total domestic sectors;Total domestic sectors;Opening balance sheet;2016 3rd quarter;968223.0;5304.0;433366.0;451939.0;1433819.0;694262.0;107863.0;763100.0
88;Total domestic sectors;Total domestic sectors;Opening balance sheet;2016 4th quarter;1019958.0;5262.0;439283.0;453889.0;1451928.0;698548.0;112739.0;783753.0
89;Total domestic sectors;Total domestic sectors;Opening balance sheet;2016;915021.0;3483.0;398967.0;469133.0;1395175.0;688193.0;116126.0;725828.0
90;Total domestic sectors;Total domestic sectors;Opening balance sheet;2017 1st quarter;998153.0;5123.0;430662.0;423010.0;1496922.0;698447.0;132551.0;799339.0
91;Total domestic sectors;Total domestic sectors;Opening balance sheet;2017 2nd quarter;1083295.0;5267.0;434633.0;449837.0;1509155.0;700726.0;142569.0;807817.0
92;Total domestic sectors;Total domestic sectors;Opening balance sheet;2017 3rd quarter;1051462.0;4996.0;437280.0;440986.0;1507970.0;704363.0;141188.0;812861.0
93;Total domestic sectors;Total domestic sectors;Opening balance sheet;2017 4th quarter;1079351.0;4240.0;427002.0;438601.0;1513732.0;706751.0;144634.0;837354.0
94;Total domestic sectors;Total domestic sectors;Opening balance sheet;2017;998153.0;5123.0;430662.0;423010.0;1496922.0;698447.0;132551.0;799339.0
95;Total domestic sectors;Total domestic sectors;Opening balance sheet;2018 1st quarter;1032963.0;4814.0;430699.0;445367.0;1507299.0;707841.0;141267.0;846187.0
96;Total domestic sectors;Total domestic sectors;Opening balance sheet;2018 2nd quarter;1091682.0;4835.0;441752.0;463030.0;1508990.0;710688.0;142297.0;819422.0
97;Total domestic sectors;Total domestic sectors;Opening balance sheet;2018 3rd quarter;1070428.0;6383.0;448264.0;430021.0;1506158.0;714450.0;145566.0;842787.0
98;Total domestic sectors;Total domestic sectors;Opening balance sheet;2018 4th quarter;1096364.0;5330.0;428184.0;421618.0;1503251.0;717614.0;142447.0;860956.0
99;Total domestic sectors;Total domestic sectors;Opening balance sheet;2018;1032963.0;4814.0;430699.0;445367.0;1507299.0;707841.0;141267.0;846187.0
100;Total domestic sectors;Total domestic sectors;Opening balance sheet;2019 1st quarter;1035908.0;6441.0;427581.0;390705.0;1503475.0;720341.0;124260.0;809159.0
101;Total domestic sectors;Total domestic sectors;Opening balance sheet;2019 2nd quarter;1062163.0;6675.0;422425.0;411161.0;1512021.0;721899.0;143915.0;852784.0
102;Total domestic sectors;Total domestic sectors;Opening balance sheet;2019 3rd quarter;1053119.0;6849.0;434235.0;406865.0;1518562.0;725988.0;148897.0;868632.0
103;Total domestic sectors;Total domestic sectors;Opening balance sheet;2019 4th quarter;1095982.0;5425.0;431985.0;420532.0;1522649.0;728511.0;149713.0;909670.0
104;Total domestic sectors;Total domestic sectors;Opening balance sheet;2019;1035908.0;6441.0;427581.0;390705.0;1503475.0;720341.0;124260.0;809159.0
105;Total domestic sectors;Total domestic sectors;Opening balance sheet;2020 1st quarter;1041133.0;4811.0;424677.0;390746.0;1524274.0;729646.0;154142.0;913029.0
106;Total domestic sectors;Total domestic sectors;Opening balance sheet;2020 2nd quarter;1136498.0;5803.0;420111.0;426354.0;1551193.0;732557.0;118963.0;789921.0
107;Total domestic sectors;Total domestic sectors;Opening balance sheet;2020 3rd quarter;1330971.0;20141.0;436299.0;412269.0;1565152.0;736864.0;151139.0;854642.0
108;Total domestic sectors;Total domestic sectors;Opening balance sheet;2020 4th quarter;1423989.0;26480.0;433588.0;355111.0;1563835.0;741296.0;150315.0;882602.0
109;Total domestic sectors;Total domestic sectors;Opening balance sheet;2020;1041133.0;4811.0;424677.0;390746.0;1524274.0;729646.0;154142.0;913029.0
110;Total domestic sectors;Total domestic sectors;Opening balance sheet;2021 1st quarter;1365346.0;25584.0;445891.0;344506.0;1555915.0;745224.0;174893.0;948339.0
111;Total domestic sectors;Total domestic sectors;Opening balance sheet;2021 2nd quarter;1454555.0;18444.0;441115.0;363277.0;1579589.0;752226.0;180330.0;970353.0
112;Total domestic sectors;Total domestic sectors;Opening balance sheet;2021 3rd quarter;1524447.0;15175.0;456760.0;373056.0;1589156.0;760690.0;184845.0;998004.0
113;Total domestic sectors;Total domestic sectors;Opening balance sheet;2021 4th quarter;1563248.0;14538.0;453241.0;311592.0;1605260.0;771216.0;189940.0;977089.0
114;Total domestic sectors;Total domestic sectors;Opening balance sheet;2021;1365346.0;25584.0;445891.0;344506.0;1555915.0;745224.0;174893.0;948339.0
115;Total domestic sectors;Total domestic sectors;Opening balance sheet;2022 1st quarter;1518052.0;15846.0;489449.0;285170.0;1620611.0;778829.0;198052.0;946234.0
116;Total domestic sectors;Total domestic sectors;Opening balance sheet;2022 2nd quarter;1619413.0;12930.0;457823.0;284599.0;1626385.0;787253.0;185242.0;887158.0
117;Total domestic sectors;Total domestic sectors;Opening balance sheet;2022 3rd quarter;1637839.0;11524.0;422932.0;312039.0;1645467.0;797583.0;167680.0;799653.0
118;Total domestic sectors;Total domestic sectors;Opening balance sheet;2022 4th quarter;1703025.0;10422.0;393511.0;319906.0;1657657.0;804083.0;170723.0;760167.0
119;Total domestic sectors;Total domestic sectors;Opening balance sheet;2022;1518052.0;15846.0;489449.0;285170.0;1620611.0;778829.0;198052.0;946234.0
120;Total domestic sectors;Total domestic sectors;Opening balance sheet;2023 1st quarter;1461867.0;15916.0;394284.0;290346.0;1664159.0;806323.0;167582.0;674957.0
121;Total domestic sectors;Total domestic sectors;Opening balance sheet;2023 2nd quarter;1517516.0;10106.0;393172.0;286419.0;1667270.0;809642.0;185192.0;679254.0
122;Total domestic sectors;Total domestic sectors;Opening balance sheet;2023 3rd quarter;1471654.0;11232.0;397601.0;286896.0;1677657.0;812917.0;185237.0;685589.0
123;Total domestic sectors;Total domestic sectors;Opening balance sheet;2023 4th quarter;1484103.0;10524.0;382053.0;287012.0;1685158.0;815345.0;184643.0;679819.0
124;Total domestic sectors;Total domestic sectors;Opening balance sheet;2023;1461867.0;15916.0;394284.0;290346.0;1664159.0;806323.0;167582.0;674957.0
125;Total domestic sectors;Total domestic sectors;Financial transactions;1999 1st quarter;7023.0;;;6473.0;10959.0;;;
126;Total domestic sectors;Total domestic sectors;Financial transactions;1999 2nd quarter;12215.0;;;1615.0;13038.0;;;
127;Total domestic sectors;Total domestic sectors;Financial transactions;1999 3rd quarter;276.0;;;3203.0;13944.0;;;
128;Total domestic sectors;Total domestic sectors;Financial transactions;1999 4th quarter;5372.0;;;-666.0;13623.0;;;
129;Total domestic sectors;Total domestic sectors;Financial transactions;1999;24886.0;;;10625.0;51564.0;;;
130;Total domestic sectors;Total domestic sectors;Financial transactions;2000 1st quarter;18965.0;;;9343.0;7744.0;;;
131;Total domestic sectors;Total domestic sectors;Financial transactions;2000 2nd quarter;-9947.0;;;4938.0;9234.0;;;
132;Total domestic sectors;Total domestic sectors;Financial transactions;2000 3rd quarter;17574.0;;;6157.0;10544.0;;;
133;Total domestic sectors;Total domestic sectors;Financial transactions;2000 4th quarter;-4227.0;;;1344.0;10838.0;;;
134;Total domestic sectors;Total domestic sectors;Financial transactions;2000;22365.0;;;21782.0;38360.0;;;
135;Total domestic sectors;Total domestic sectors;Financial transactions;2001 1st quarter;20867.0;;;-6103.0;6852.0;;;
136;Total domestic sectors;Total domestic sectors;Financial transactions;2001 2nd quarter;-858.0;;;2132.0;11835.0;;;
137;Total domestic sectors;Total domestic sectors;Financial transactions;2001 3rd quarter;9624.0;;;6907.0;9645.0;;;
138;Total domestic sectors;Total domestic sectors;Financial transactions;2001 4th quarter;18093.0;;;1209.0;9507.0;;;
139;Total domestic sectors;Total domestic sectors;Financial transactions;2001;47726.0;;;4145.0;37839.0;;;
140;Total domestic sectors;Total domestic sectors;Financial transactions;2002 1st quarter;10277.0;;;6509.0;5399.0;;;
141;Total domestic sectors;Total domestic sectors;Financial transactions;2002 2nd quarter;8057.0;;;-2177.0;4789.0;;;
142;Total domestic sectors;Total domestic sectors;Financial transactions;2002 3rd quarter;5577.0;;;12116.0;10990.0;;;
143;Total domestic sectors;Total domestic sectors;Financial transactions;2002 4th quarter;2876.0;;;-8510.0;14917.0;;;
144;Total domestic sectors;Total domestic sectors;Financial transactions;2002;26787.0;;;7938.0;36095.0;;;
145;Total domestic sectors;Total domestic sectors;Financial transactions;2003 1st quarter;24080.0;;;-4625.0;9637.0;;;
146;Total domestic sectors;Total domestic sectors;Financial transactions;2003 2nd quarter;394.0;;;-3857.0;20483.0;;;
147;Total domestic sectors;Total domestic sectors;Financial transactions;2003 3rd quarter;15479.0;;;-3572.0;17659.0;;;
148;Total domestic sectors;Total domestic sectors;Financial transactions;2003 4th quarter;5641.0;;;-1251.0;19093.0;;;
149;Total domestic sectors;Total domestic sectors;Financial transactions;2003;45594.0;;;-13305.0;66872.0;;;
150;Total domestic sectors;Total domestic sectors;Financial transactions;2004 1st quarter;-4219.0;;;2080.0;10563.0;;;
151;Total domestic sectors;Total domestic sectors;Financial transactions;2004 2nd quarter;28869.0;;;6332.0;3713.0;;;
152;Total domestic sectors;Total domestic sectors;Financial transactions;2004 3rd quarter;-3413.0;;;5782.0;14475.0;;;
153;Total domestic sectors;Total domestic sectors;Financial transactions;2004 4th quarter;10090.0;;;4645.0;2616.0;;;
154;Total domestic sectors;Total domestic sectors;Financial transactions;2004;31327.0;;;18839.0;31367.0;;;
155;Total domestic sectors;Total domestic sectors;Financial transactions;2005 1st quarter;17999.0;;;14438.0;10728.0;;;
156;Total domestic sectors;Total domestic sectors;Financial transactions;2005 2nd quarter;29799.0;;;12359.0;20813.0;;;
157;Total domestic sectors;Total domestic sectors;Financial transactions;2005 3rd quarter;13005.0;;;2515.0;14997.0;;;
158;Total domestic sectors;Total domestic sectors;Financial transactions;2005 4th quarter;13821.0;;;-589.0;20250.0;;;
159;Total domestic sectors;Total domestic sectors;Financial transactions;2005;74624.0;;;28723.0;66788.0;;;
160;Total domestic sectors;Total domestic sectors;Financial transactions;2006 1st quarter;24053.0;;;7965.0;11853.0;;;
161;Total domestic sectors;Total domestic sectors;Financial transactions;2006 2nd quarter;-3175.0;;;-1130.0;11126.0;;;
162;Total domestic sectors;Total domestic sectors;Financial transactions;2006 3rd quarter;20756.0;;;6534.0;16310.0;;;
163;Total domestic sectors;Total domestic sectors;Financial transactions;2006 4th quarter;1995.0;;;-2652.0;27367.0;;;
164;Total domestic sectors;Total domestic sectors;Financial transactions;2006;43629.0;;;10717.0;66656.0;;;
165;Total domestic sectors;Total domestic sectors;Financial transactions;2007 1st quarter;23509.0;;;23373.0;22902.0;;;
166;Total domestic sectors;Total domestic sectors;Financial transactions;2007 2nd quarter;33677.0;;;4876.0;14253.0;;;
167;Total domestic sectors;Total domestic sectors;Financial transactions;2007 3rd quarter;-13028.0;;;2481.0;10663.0;;;
168;Total domestic sectors;Total domestic sectors;Financial transactions;2007 4th quarter;36146.0;;;-18920.0;37699.0;;;
169;Total domestic sectors;Total domestic sectors;Financial transactions;2007;80304.0;;;11810.0;85517.0;;;
170;Total domestic sectors;Total domestic sectors;Financial transactions;2008 1st quarter;-14183.0;;;28681.0;18806.0;;;
171;Total domestic sectors;Total domestic sectors;Financial transactions;2008 2nd quarter;89676.0;;;11261.0;16989.0;;;
172;Total domestic sectors;Total domestic sectors;Financial transactions;2008 3rd quarter;30479.0;;;-7084.0;19680.0;;;
173;Total domestic sectors;Total domestic sectors;Financial transactions;2008 4th quarter;-25472.0;;;25702.0;22777.0;;;
174;Total domestic sectors;Total domestic sectors;Financial transactions;2008;80500.0;;;58560.0;78252.0;;;
175;Total domestic sectors;Total domestic sectors;Financial transactions;2009 1st quarter;-25440.0;;;-1354.0;14002.0;;;
176;Total domestic sectors;Total domestic sectors;Financial transactions;2009 2nd quarter;60744.0;;;3798.0;2995.0;;;
177;Total domestic sectors;Total domestic sectors;Financial transactions;2009 3rd quarter;-28607.0;;;-18608.0;4567.0;;;
178;Total domestic sectors;Total domestic sectors;Financial transactions;2009 4th quarter;7481.0;;;-4772.0;16450.0;;;
179;Total domestic sectors;Total domestic sectors;Financial transactions;2009;14178.0;;;-20936.0;38014.0;;;
180;Total domestic sectors;Total domestic sectors;Financial transactions;2010 1st quarter;10479.0;1093.0;-3164.0;22353.0;17195.0;3928.0;-377.0;19305.0
181;Total domestic sectors;Total domestic sectors;Financial transactions;2010 2nd quarter;44231.0;-2816.0;3680.0;35443.0;4889.0;7211.0;1419.0;-9111.0
182;Total domestic sectors;Total domestic sectors;Financial transactions;2010 3rd quarter;-61142.0;-127.0;4533.0;12065.0;-26928.0;4525.0;-1166.0;-1535.0
183;Total domestic sectors;Total domestic sectors;Financial transactions;2010 4th quarter;-13019.0;-1328.0;10677.0;14106.0;32587.0;3275.0;-787.0;-1163.0
184;Total domestic sectors;Total domestic sectors;Financial transactions;2010;-19451.0;-3178.0;15726.0;83967.0;27743.0;18939.0;-911.0;7496.0
185;Total domestic sectors;Total domestic sectors;Financial transactions;2011 1st quarter;-818.0;-167.0;-28340.0;47896.0;-431.0;3048.0;-561.0;12268.0
186;Total domestic sectors;Total domestic sectors;Financial transactions;2011 2nd quarter;34346.0;1969.0;-607.0;32378.0;-2513.0;3760.0;497.0;12471.0
187;Total domestic sectors;Total domestic sectors;Financial transactions;2011 3rd quarter;84595.0;-1417.0;11947.0;21879.0;-4702.0;3413.0;-385.0;21519.0
188;Total domestic sectors;Total domestic sectors;Financial transactions;2011 4th quarter;37356.0;-1102.0;21718.0;26242.0;-9327.0;1608.0;-688.0;-13017.0
189;Total domestic sectors;Total domestic sectors;Financial transactions;2011;155479.0;-717.0;4718.0;128395.0;-16973.0;11829.0;-1137.0;33241.0
190;Total domestic sectors;Total domestic sectors;Financial transactions;2012 1st quarter;49041.0;-2934.0;-3935.0;13952.0;8095.0;635.0;-472.0;10503.0
191;Total domestic sectors;Total domestic sectors;Financial transactions;2012 2nd quarter;-16679.0;-781.0;-5884.0;10359.0;9139.0;2616.0;4057.0;4494.0
192;Total domestic sectors;Total domestic sectors;Financial transactions;2012 3rd quarter;-3880.0;2202.0;-7128.0;13305.0;47.0;2376.0;1489.0;5205.0
193;Total domestic sectors;Total domestic sectors;Financial transactions;2012 4th quarter;-7193.0;2379.0;911.0;-20225.0;9680.0;156.0;508.0;9435.0
194;Total domestic sectors;Total domestic sectors;Financial transactions;2012;21289.0;866.0;-16036.0;17391.0;26961.0;5783.0;5582.0;29637.0
195;Total domestic sectors;Total domestic sectors;Financial transactions;2013 1st quarter;-45188.0;-3053.0;-8921.0;2918.0;-485.0;-3920.0;3711.0;7324.0
196;Total domestic sectors;Total domestic sectors;Financial transactions;2013 2nd quarter;-345.0;-228.0;9685.0;-10379.0;2555.0;-2559.0;1215.0;3921.0
197;Total domestic sectors;Total domestic sectors;Financial transactions;2013 3rd quarter;-17757.0;-1062.0;-1293.0;-16740.0;13620.0;3213.0;7698.0;17072.0
198;Total domestic sectors;Total domestic sectors;Financial transactions;2013 4th quarter;-43502.0;1351.0;-11956.0;-45201.0;-2061.0;-6063.0;-10101.0;9996.0
199;Total domestic sectors;Total domestic sectors;Financial transactions;2013;-106792.0;-2992.0;-12485.0;-69402.0;13629.0;-9329.0;2523.0;38313.0
200;Total domestic sectors;Total domestic sectors;Financial transactions;2014 1st quarter;-4525.0;529.0;748.0;-706.0;-8751.0;-1975.0;3787.0;-2198.0
201;Total domestic sectors;Total domestic sectors;Financial transactions;2014 2nd quarter;-16872.0;259.0;4243.0;-6888.0;17184.0;154.0;-2611.0;10369.0
202;Total domestic sectors;Total domestic sectors;Financial transactions;2014 3rd quarter;-13655.0;-356.0;-5627.0;5155.0;2934.0;20.0;4214.0;15323.0
203;Total domestic sectors;Total domestic sectors;Financial transactions;2014 4th quarter;27200.0;-1253.0;-5187.0;-17991.0;316.0;-762.0;-364.0;3877.0
204;Total domestic sectors;Total domestic sectors;Financial transactions;2014;-7852.0;-821.0;-5823.0;-20430.0;11683.0;-2563.0;5026.0;27371.0
