ID;Zorgfuncties;Zorgaanbieders;Perioden;UitgavenAanGezondheidszorgIngezetenen_1
128;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;2001;10145
129;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;2002;11559
130;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;2003;12478
131;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;2004;12658
132;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;2005;12959
133;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;2006;14113
134;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;2007;14457
135;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;2008;15581
136;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;2009;16259
137;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;2010;16856
138;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;2011;17582
139;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;2012;19290
140;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;2013;19929
141;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;2014;20134
142;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;2015;18850
143;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;2016;19198
144;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;2017;20025
145;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;2018;21054
146;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;2019;22965
147;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;2020;26000
148;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;2021;26749
149;Totaal gezondheidsuitgaven ingezetenen;HP2: Instellingen langdurige zorg;2022;27318
150;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;1998;6102
151;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;1999;6451
152;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;2000;6908
153;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;2001;7887
154;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;2002;9034
155;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;2003;9727
156;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;2004;9750
157;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;2005;9922
158;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;2006;11092
159;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;2007;11327
160;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;2008;12125
161;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;2009;12525
162;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;2010;12990
163;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;2011;13372
164;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;2012;14547
165;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;2013;14934
166;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;2014;14897
167;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;2015;13920
168;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;2016;14143
169;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;2017;14562
170;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;2018;15450
171;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;2019;16840
172;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;2020;18972
173;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;2021;19636
174;Totaal gezondheidsuitgaven ingezetenen;HP21: Verpleeg-,verzorgingsh., thuiszorg;2022;19867
175;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;1998;1775
176;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;1999;1922
177;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;2000;2066
178;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;2001;2259
179;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;2002;2525
180;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;2003;2751
181;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;2004;2908
182;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;2005;3037
183;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;2006;3021
184;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;2007;3130
185;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;2008;3456
186;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;2009;3733
187;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;2010;3866
188;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;2011;4211
189;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;2012;4743
190;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;2013;4995
191;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;2014;5237
192;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;2015;4930
193;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;2016;5056
194;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;2017;5463
195;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;2018;5604
196;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;2019;6125
197;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;2020;7028
198;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;2021;7113
199;Totaal gezondheidsuitgaven ingezetenen;HP22-29: Instellingen gehandicaptenzorg;2022;7451
200;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;1998;5205
201;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;1999;5550
202;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;2000;5879
203;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;2001;6390
204;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;2002;7204
205;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;2003;7858
206;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;2004;8227
207;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;2005;8473
208;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;2006;9069
209;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;2007;9817
210;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;2008;10891
211;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;2009;11474
212;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;2010;11452
213;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;2011;12006
214;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;2012;12188
215;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;2013;12229
216;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;2014;12660
217;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;2015;12678
218;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;2016;13382
219;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;2017;13668
220;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;2018;14183
221;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;2019;14961
222;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;2020;14819
223;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;2021;16004
224;Totaal gezondheidsuitgaven ingezetenen;HP3: Aanbieders ambulante zorg;2022;16465
225;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;1998;2495
226;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;1999;2640
227;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;2000;2718
228;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;2001;2904
229;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;2002;3303
230;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;2003;3621
231;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;2004;3866
232;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;2005;3986
233;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;2006;4257
234;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;2007;4534
235;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;2008;5144
236;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;2009;5382
237;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;2010;5085
238;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;2011;5286
239;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;2012;5336
240;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;2013;5488
241;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;2014;5738
242;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;2015;5465
243;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;2016;5746
244;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;2017;5847
245;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;2018;6131
246;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;2019;6678
247;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;2020;7055
248;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;2021;7287
249;Totaal gezondheidsuitgaven ingezetenen;HP31: Medische praktijken;2022;7411
250;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;1998;1332
251;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;1999;1400
252;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;2000;1524
253;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;2001;1691
254;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;2002;1941
255;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;2003;2128
256;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;2004;2193
257;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;2005;2180
258;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;2006;2280
259;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;2007;2471
260;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;2008;2667
261;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;2009;2815
262;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;2010;2947
263;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;2011;3016
264;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;2012;3117
265;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;2013;2964
266;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;2014;3052
267;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;2015;3027
268;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;2016;3153
269;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;2017;3137
270;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;2018;3214
271;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;2019;3283
272;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;2020;2926
273;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;2021;3269
274;Totaal gezondheidsuitgaven ingezetenen;HP32: Tandheelkundige praktijken;2022;3377
275;Totaal gezondheidsuitgaven ingezetenen;HP34: Ambulante zorgcentra;1998;116
276;Totaal gezondheidsuitgaven ingezetenen;HP34: Ambulante zorgcentra;1999;134
277;Totaal gezondheidsuitgaven ingezetenen;HP34: Ambulante zorgcentra;2000;166
278;Totaal gezondheidsuitgaven ingezetenen;HP34: Ambulante zorgcentra;2001;197
279;Totaal gezondheidsuitgaven ingezetenen;HP34: Ambulante zorgcentra;2002;244
280;Totaal gezondheidsuitgaven ingezetenen;HP34: Ambulante zorgcentra;2003;252
281;Totaal gezondheidsuitgaven ingezetenen;HP34: Ambulante zorgcentra;2004;274
282;Totaal gezondheidsuitgaven ingezetenen;HP34: Ambulante zorgcentra;2005;332
283;Totaal gezondheidsuitgaven ingezetenen;HP34: Ambulante zorgcentra;2006;349
284;Totaal gezondheidsuitgaven ingezetenen;HP34: Ambulante zorgcentra;2007;395
285;Totaal gezondheidsuitgaven ingezetenen;HP34: Ambulante zorgcentra;2008;458
286;Totaal gezondheidsuitgaven ingezetenen;HP34: Ambulante zorgcentra;2009;504
