ID;ExportBehavior;Periods;ExportGrowth_1;ContributionToTotalExportGrowth_2
48;Increase: new product, existing country;2016;1808986.0;0.4
49;Increase: new product, existing country;2017;2551526.0;0.6
50;Increase: new product, existing country;2018;2142501.0;0.5
51;Increase: new product, existing country;2019;2458546.0;0.5
52;Increase: new product, existing country;2020;2651531.0;0.5
53;Increase: new product, existing country;2021;3254327.0;0.7
54;Increase: new product, existing country;2022;;
55;Increase: new combo product/country;2012;8681442.0;2.1
56;Increase: new combo product/country;2013;8906510.0;2.1
57;Increase: new combo product/country;2014;7581796.0;1.8
58;Increase: new combo product/country;2015;;
59;Increase: new combo product/country;2016;8331402.0;2.0
60;Increase: new combo product/country;2017;10597660.0;2.5
61;Increase: new combo product/country;2018;7729186.0;1.7
62;Increase: new combo product/country;2019;9228724.0;1.9
63;Increase: new combo product/country;2020;8500454.0;1.6
64;Increase: new combo product/country;2021;13994801.0;2.9
65;Increase: new combo product/country;2022;;
66;Decrease: exiting export markets;2012;-8868698.0;-2.2
67;Decrease: exiting export markets;2013;-6391751.0;-1.5
68;Decrease: exiting export markets;2014;-6072054.0;-1.4
69;Decrease: exiting export markets;2015;;
70;Decrease: exiting export markets;2016;-2173175.0;-0.5
71;Decrease: exiting export markets;2017;-3838432.0;-0.9
72;Decrease: exiting export markets;2018;-3381173.0;-0.7
73;Decrease: exiting export markets;2019;-2540902.0;-0.5
74;Decrease: exiting export markets;2020;-2850436.0;-0.6
75;Decrease: exiting export markets;2021;-3910525.0;-0.8
76;Decrease: exiting export markets;2022;;
77;Decrease: existing combo product/country;2012;-52732522.0;-12.9
78;Decrease: existing combo product/country;2013;-57379759.0;-13.4
79;Decrease: existing combo product/country;2014;-57207951.0;-13.2
80;Decrease: existing combo product/country;2015;;
81;Decrease: existing combo product/country;2016;-53314201.0;-12.7
82;Decrease: existing combo product/country;2017;-44370017.0;-10.5
83;Decrease: existing combo product/country;2018;-48838478.0;-10.4
84;Decrease: existing combo product/country;2019;-57672106.0;-11.6
85;Decrease: existing combo product/country;2020;-76113094.0;-14.8
86;Decrease: existing combo product/country;2021;-45975366.0;-9.5
87;Decrease: existing combo product/country;2022;;
88;Decrease: discont. country/all products;2012;-5825496.0;-1.4
89;Decrease: discont. country/all products;2013;-8523017.0;-2.0
90;Decrease: discont. country/all products;2014;-7556704.0;-1.7
91;Decrease: discont. country/all products;2015;;
92;Decrease: discont. country/all products;2016;-6370266.0;-1.5
93;Decrease: discont. country/all products;2017;-5993123.0;-1.4
94;Decrease: discont. country/all products;2018;-6678636.0;-1.4
95;Decrease: discont. country/all products;2019;-5249491.0;-1.1
96;Decrease: discont. country/all products;2020;-6560993.0;-1.3
97;Decrease: discont. country/all products;2021;-27166017.0;-5.6
98;Decrease: discont. country/all products;2022;;
99;Decrease: discont. product/all countries;2012;-3183395.0;-0.8
100;Decrease: discont. product/all countries;2013;-1953274.0;-0.5
101;Decrease: discont. product/all countries;2014;-2516919.0;-0.6
102;Decrease: discont. product/all countries;2015;;
103;Decrease: discont. product/all countries;2016;-1955297.0;-0.5
104;Decrease: discont. product/all countries;2017;-1980399.0;-0.5
105;Decrease: discont. product/all countries;2018;-2083842.0;-0.4
106;Decrease: discont. product/all countries;2019;-1824766.0;-0.4
107;Decrease: discont. product/all countries;2020;-2104163.0;-0.4
108;Decrease: discont. product/all countries;2021;-1516111.0;-0.3
109;Decrease: discont. product/all countries;2022;;
110;Decrease: discont. combo product/country;2012;-7256284.0;-1.8
111;Decrease: discont. combo product/country;2013;-9203408.0;-2.1
112;Decrease: discont. combo product/country;2014;-8631286.0;-2.0
113;Decrease: discont. combo product/country;2015;;
114;Decrease: discont. combo product/country;2016;-7277170.0;-1.7
115;Decrease: discont. combo product/country;2017;-6813461.0;-1.6
116;Decrease: discont. combo product/country;2018;-6838005.0;-1.5
117;Decrease: discont. combo product/country;2019;-7360200.0;-1.5
118;Decrease: discont. combo product/country;2020;-6753503.0;-1.3
119;Decrease: discont. combo product/country;2021;-7165011.0;-1.5
120;Decrease: discont. combo product/country;2022;;
121;Status unknown;2012;6598445.0;1.6
122;Status unknown;2013;4624640.0;1.1
123;Status unknown;2014;1661812.0;0.4
124;Status unknown;2015;;
125;Status unknown;2016;-368531.0;-0.1
126;Status unknown;2017;17100744.0;4.0
127;Status unknown;2018;14752404.0;3.2
128;Status unknown;2019;5481867.0;1.1
129;Status unknown;2020;-15788490.0;-3.1
130;Status unknown;2021;25554940.0;5.3
131;Status unknown;2022;;
