ID;Geslacht;Leeftijden;TypeZorg;RegioS;Perioden;AantalInVerslagjaar_1;PercentageInVerslagjaar_2;TotaalUrenInVerslagjaar_3;GemiddeldPerPersoonInVerslagjaar_4;GemiddeldInBevolkingInVerslagjaar_5
25;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Nederland;2008;240110;1.85;27481;114;2.12
26;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Nederland;2009;243535;1.87;28900;119;2.21
27;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Nederland;2010;242320;1.84;29442;122;2.24
28;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;4 grote gemeenten;2004;20560;1.24;1983;96;1.2
29;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;4 grote gemeenten;2005;29975;1.81;3457;115;2.08
30;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;4 grote gemeenten;2006;33365;2.02;3801;114;2.3
31;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;4 grote gemeenten;2007;33655;2.04;3779;112;2.29
32;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;4 grote gemeenten;2008;33300;1.98;3675;110;2.19
33;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;4 grote gemeenten;2009;34410;2.03;3761;109;2.22
34;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;4 grote gemeenten;2010;34485;2.01;3997;116;2.33
35;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overige gemeenten;2004;149235;1.35;14570;98;1.31
36;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overige gemeenten;2005;189265;1.7;20543;109;1.85
37;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overige gemeenten;2006;200905;1.8;22365;111;2.0
38;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overige gemeenten;2007;203365;1.82;22990;113;2.06
39;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overige gemeenten;2008;206810;1.83;23806;115;2.11
40;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overige gemeenten;2009;209125;1.84;25139;120;2.21
41;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overige gemeenten;2010;207835;1.82;25446;122;2.23
42;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Nederland;2004;39710;0.31;6533;165;0.51
43;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Nederland;2005;29425;0.23;4735;161;0.37
44;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Nederland;2006;31910;0.25;4035;126;0.31
45;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Nederland;2007;48000;0.37;4672;97;0.36
46;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Nederland;2008;67705;0.52;5904;87;0.46
47;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Nederland;2009;80775;0.62;7040;87;0.54
48;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Nederland;2010;94740;0.72;7909;83;0.6
49;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;4 grote gemeenten;2004;4815;0.29;291;60;0.18
50;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;4 grote gemeenten;2005;3290;0.2;205;62;0.12
51;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;4 grote gemeenten;2006;2695;0.16;140;52;0.08
52;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;4 grote gemeenten;2007;4075;0.25;208;51;0.13
53;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;4 grote gemeenten;2008;5795;0.35;376;65;0.22
54;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;4 grote gemeenten;2009;7505;0.44;532;71;0.31
55;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;4 grote gemeenten;2010;8490;0.49;737;87;0.43
56;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overige gemeenten;2004;34895;0.31;6242;179;0.56
57;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overige gemeenten;2005;26135;0.23;4530;173;0.41
58;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overige gemeenten;2006;29220;0.26;3895;133;0.35
59;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overige gemeenten;2007;43930;0.39;4464;102;0.4
60;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overige gemeenten;2008;61915;0.55;5529;89;0.49
61;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overige gemeenten;2009;73275;0.65;6508;89;0.57
62;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overige gemeenten;2010;86250;0.76;7173;83;0.63
63;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Nederland;2004;66325;0.52;1629;25;0.13
64;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Nederland;2005;58795;0.46;976;17;0.08
65;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Nederland;2006;59755;0.47;974;16;0.08
66;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Nederland;2007;55040;0.43;951;17;0.07
67;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Nederland;2008;50005;0.39;873;17;0.07
68;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Nederland;2009;41205;0.32;719;17;0.06
69;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Nederland;2010;37405;0.28;638;17;0.05
70;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;4 grote gemeenten;2004;5810;0.35;123;21;0.07
71;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;4 grote gemeenten;2005;6210;0.37;136;22;0.08
72;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;4 grote gemeenten;2006;5930;0.36;104;18;0.06
73;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;4 grote gemeenten;2007;5575;0.34;93;17;0.06
74;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;4 grote gemeenten;2008;4980;0.3;89;18;0.05
75;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;4 grote gemeenten;2009;3920;0.23;85;22;0.05
76;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;4 grote gemeenten;2010;3445;0.2;80;23;0.05
77;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Overige gemeenten;2004;60515;0.55;1506;25;0.14
78;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Overige gemeenten;2005;52585;0.47;840;16;0.08
79;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Overige gemeenten;2006;53825;0.48;870;16;0.08
80;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Overige gemeenten;2007;49465;0.44;858;17;0.08
81;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Overige gemeenten;2008;45030;0.4;784;17;0.07
82;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Overige gemeenten;2009;37280;0.33;634;17;0.06
83;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Overige gemeenten;2010;33960;0.3;558;16;0.05
84;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;4;Nederland;2004;119180;0.94;17583;148;1.38
85;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;4;Nederland;2005;66675;0.52;11314;170;0.89
86;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;4;Nederland;2006;56665;0.44;10637;188;0.83
87;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;4;Nederland;2007;59540;0.46;12262;206;0.96
88;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;4;Nederland;2008;80850;0.62;18501;229;1.43
89;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;4;Nederland;2009;98100;0.75;24419;249;1.87
90;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;4;Nederland;2010;107350;0.82;28174;262;2.14
91;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;4;4 grote gemeenten;2004;21075;1.27;3016;143;1.82
92;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;4;4 grote gemeenten;2005;10430;0.63;1664;160;1.0
93;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;4;4 grote gemeenten;2006;7305;0.44;1297;178;0.79
94;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;4;4 grote gemeenten;2007;6260;0.38;1253;200;0.76
95;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;4;4 grote gemeenten;2008;7855;0.47;1746;222;1.04
96;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;4;4 grote gemeenten;2009;10640;0.63;2576;242;1.52
97;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;4;4 grote gemeenten;2010;11630;0.68;3112;268;1.81
98;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;4;Overige gemeenten;2004;98105;0.88;14567;148;1.31
99;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;4;Overige gemeenten;2005;56245;0.51;9651;172;0.87
100;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;4;Overige gemeenten;2006;49360;0.44;9340;189;0.84
101;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;4;Overige gemeenten;2007;53280;0.48;11010;207;0.98
102;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;4;Overige gemeenten;2008;72995;0.65;16755;230;1.49
103;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;4;Overige gemeenten;2009;87455;0.77;21843;250;1.92
104;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;4;Overige gemeenten;2010;95720;0.84;25062;262;2.19
105;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;5;Nederland;2004;19675;0.15;2444;124;0.19
106;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;5;Nederland;2005;24720;0.19;3210;130;0.25
107;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;5;Nederland;2006;26990;0.21;3671;136;0.29
108;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;5;Nederland;2007;20795;0.16;2983;143;0.23
109;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;5;Nederland;2008;14650;0.11;2137;146;0.16
110;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;5;Nederland;2009;11585;0.09;1750;151;0.13
111;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;5;Nederland;2010;9995;0.08;1557;156;0.12
112;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;5;4 grote gemeenten;2004;2065;0.12;240;116;0.14
113;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;5;4 grote gemeenten;2005;4260;0.26;608;143;0.37
114;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;5;4 grote gemeenten;2006;4260;0.26;580;136;0.35
115;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;5;4 grote gemeenten;2007;3620;0.22;478;132;0.29
116;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;5;4 grote gemeenten;2008;2410;0.14;329;136;0.2
117;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;5;4 grote gemeenten;2009;1740;0.1;250;143;0.15
118;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;5;4 grote gemeenten;2010;1535;0.09;247;161;0.14
119;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;5;Overige gemeenten;2004;17610;0.16;2204;125;0.2
120;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;5;Overige gemeenten;2005;20460;0.18;2602;127;0.23
121;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;5;Overige gemeenten;2006;22725;0.2;3091;136;0.28
122;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;5;Overige gemeenten;2007;17175;0.15;2505;146;0.22
123;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;5;Overige gemeenten;2008;12235;0.11;1808;148;0.16
124;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;5;Overige gemeenten;2009;9845;0.09;1501;152;0.13
125;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;5;Overige gemeenten;2010;8460;0.07;1310;155;0.11
126;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;6;Nederland;2004;66680;0.52;8566;128;0.67
127;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;6;Nederland;2005;66165;0.52;6914;104;0.54
128;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;6;Nederland;2006;66135;0.52;7230;109;0.56
129;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;6;Nederland;2007;76455;0.6;9461;124;0.74
130;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;6;Nederland;2008;73190;0.56;9279;127;0.72
131;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;6;Nederland;2009;67345;0.52;8685;129;0.67
132;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;6;Nederland;2010;67080;0.51;8911;133;0.68
133;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;6;4 grote gemeenten;2004;6390;0.39;776;121;0.47
134;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;6;4 grote gemeenten;2005;6355;0.38;769;121;0.46
135;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;6;4 grote gemeenten;2006;6525;0.39;736;113;0.45
136;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;6;4 grote gemeenten;2007;7710;0.47;940;122;0.57
137;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;6;4 grote gemeenten;2008;7725;0.46;1029;133;0.61
138;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;6;4 grote gemeenten;2009;6065;0.36;860;142;0.51
139;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;6;4 grote gemeenten;2010;5855;0.34;889;152;0.52
140;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;6;Overige gemeenten;2004;60290;0.54;7790;129;0.7
141;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;6;Overige gemeenten;2005;59815;0.54;6145;103;0.55
142;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;6;Overige gemeenten;2006;59610;0.53;6495;109;0.58
143;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;6;Overige gemeenten;2007;68745;0.61;8522;124;0.76
144;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;6;Overige gemeenten;2008;65460;0.58;8250;126;0.73
145;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;6;Overige gemeenten;2009;61280;0.54;7825;128;0.69
146;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;6;Overige gemeenten;2010;61225;0.54;8022;131;0.7
147;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;7;Nederland;2004;126725;0.99;36207;286;2.84
148;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;7;Nederland;2005;130350;1.02;39342;302;3.08
149;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;7;Nederland;2006;131845;1.03;42317;321;3.3
150;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;7;Nederland;2007;113325;0.88;38181;337;2.98
151;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;7;Nederland;2008;93680;0.72;32270;344;2.49
152;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;7;Nederland;2009;78340;0.6;27681;353;2.12
153;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;7;Nederland;2010;70260;0.53;25094;357;1.91
154;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;7;4 grote gemeenten;2004;18555;1.12;5631;303;3.4
155;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;7;4 grote gemeenten;2005;16245;0.98;5303;326;3.2
156;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;7;4 grote gemeenten;2006;17495;1.06;5805;332;3.51
157;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;7;4 grote gemeenten;2007;15535;0.94;5249;338;3.18
158;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;7;4 grote gemeenten;2008;12715;0.76;4417;347;2.63
159;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;7;4 grote gemeenten;2009;9090;0.54;3336;367;1.97
160;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;7;4 grote gemeenten;2010;8020;0.47;3080;384;1.79
161;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;7;Overige gemeenten;2004;108170;0.98;30576;283;2.76
162;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;7;Overige gemeenten;2005;114100;1.03;34039;298;3.06
163;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;7;Overige gemeenten;2006;114350;1.02;36512;319;3.27
164;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;7;Overige gemeenten;2007;97790;0.87;32931;337;2.94
165;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;7;Overige gemeenten;2008;80965;0.72;27853;344;2.47
166;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;7;Overige gemeenten;2009;69250;0.61;24345;352;2.14
167;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;7;Overige gemeenten;2010;62240;0.55;22014;354;1.93
168;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;8;Nederland;2004;435375;3.42;39821;91;3.12
169;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;8;Nederland;2005;440985;3.45;50043;113;3.91
170;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;8;Nederland;2006;449770;3.51;53505;119;4.18
171;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;8;Nederland;2007;430680;3.36;52780;123;4.11
172;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;8;Nederland;2008;429290;3.31;53228;124;4.11
173;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;8;Nederland;2009;431560;3.31;55423;128;4.25
174;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;8;Nederland;2010;429925;3.27;56335;131;4.29
175;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;8;4 grote gemeenten;2004;62255;3.76;5761;93;3.48
176;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;8;4 grote gemeenten;2005;60910;3.67;7290;120;4.4
177;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;8;4 grote gemeenten;2006;62430;3.78;7589;122;4.59
178;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;8;4 grote gemeenten;2007;59070;3.58;7104;120;4.31
179;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;8;4 grote gemeenten;2008;56285;3.35;6684;119;3.98
180;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;8;4 grote gemeenten;2009;55880;3.29;6612;118;3.9
181;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;8;4 grote gemeenten;2010;55670;3.24;6981;125;4.07
182;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;8;Overige gemeenten;2004;373120;3.37;34060;91;3.07
183;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;8;Overige gemeenten;2005;380075;3.42;42753;112;3.84
184;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;8;Overige gemeenten;2006;387340;3.47;45916;119;4.11
185;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;8;Overige gemeenten;2007;371610;3.32;45676;123;4.08
186;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;8;Overige gemeenten;2008;373005;3.31;46544;125;4.13
187;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;8;Overige gemeenten;2009;375680;3.31;48811;130;4.3
188;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;8;Overige gemeenten;2010;374255;3.28;49354;132;4.32
189;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;9;Nederland;2004;352300;2.76;37384;106;2.93
190;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;9;Nederland;2005;292615;2.29;29519;101;2.31
191;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;9;Nederland;2006;286560;2.24;30193;105;2.36
192;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;9;Nederland;2007;297320;2.32;32025;108;2.5
193;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;9;Nederland;2008;315425;2.43;35373;112;2.73
194;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;9;Nederland;2009;324560;2.49;37348;115;2.86
195;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;9;Nederland;2010;339430;2.58;39431;116;3.0
196;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;9;4 grote gemeenten;2004;50835;3.07;4859;96;2.93
197;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;9;4 grote gemeenten;2005;36320;2.19;3283;90;1.98
198;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;9;4 grote gemeenten;2006;34020;2.06;3380;99;2.05
199;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;9;4 grote gemeenten;2007;33575;2.04;3527;105;2.14
200;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;9;4 grote gemeenten;2008;34090;2.03;3988;117;2.38
201;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;9;4 grote gemeenten;2009;33300;1.96;4014;121;2.37
202;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;9;4 grote gemeenten;2010;34000;1.98;4422;130;2.58
203;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;9;Overige gemeenten;2004;301465;2.72;32524;108;2.93
204;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;9;Overige gemeenten;2005;256295;2.3;26236;102;2.36
205;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;9;Overige gemeenten;2006;252540;2.26;26812;106;2.4
206;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;9;Overige gemeenten;2007;263745;2.36;28498;108;2.55
207;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;9;Overige gemeenten;2008;281335;2.49;31385;112;2.78
208;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;9;Overige gemeenten;2009;291260;2.56;33334;114;2.94
209;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;9;Overige gemeenten;2010;305430;2.67;35009;115;3.07
210;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal verpleging;Nederland;2004;279410;2.19;12310;44;0.97
211;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal verpleging;Nederland;2005;280030;2.19;10931;39;0.86
212;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal verpleging;Nederland;2006;284725;2.22;11333;40;0.88
213;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal verpleging;Nederland;2007;265615;2.07;10475;39;0.82
214;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal verpleging;Nederland;2008;231525;1.79;7846;34;0.61
215;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal verpleging;Nederland;2009;198475;1.52;6423;32;0.49
216;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal verpleging;Nederland;2010;184745;1.41;5960;32;0.45
217;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal verpleging;4 grote gemeenten;2004;32820;1.98;1440;44;0.87
218;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal verpleging;4 grote gemeenten;2005;33070;1.99;1569;47;0.95
219;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal verpleging;4 grote gemeenten;2006;34215;2.07;1493;44;0.9
220;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal verpleging;4 grote gemeenten;2007;32435;1.97;1369;42;0.83
221;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal verpleging;4 grote gemeenten;2008;27835;1.66;989;36;0.59
222;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal verpleging;4 grote gemeenten;2009;20820;1.23;773;37;0.46
223;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal verpleging;4 grote gemeenten;2010;18860;1.1;739;39;0.43
224;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal verpleging;Overige gemeenten;2004;246585;2.22;10871;44;0.98
225;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal verpleging;Overige gemeenten;2005;246960;2.22;9362;38;0.84
226;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal verpleging;Overige gemeenten;2006;250515;2.24;9840;39;0.88
