ID;ConsumptionByHouseholds;Periods;Indices_1;VolumeChanges_2;VolumeChangesShoppingdayAdjusted_3;Indices_4;ValueChanges_5;PriceChanges_6
69;Domestic consumption by households;2003 January;100.4;1.6;1.1;83.5;4.2;2.6
70;Domestic consumption by households;2003 February;95.0;1.4;1.5;78.8;4.2;2.7
71;Domestic consumption by households;2003 March;98.8;-1.1;-0.1;83.2;1.5;2.6
72;Domestic consumption by households;2003 1st quarter;98.1;0.6;0.8;81.8;3.3;2.7
73;Domestic consumption by households;2003 April;96.3;0.6;-0.2;81.3;2.9;2.3
74;Domestic consumption by households;2003 May;99.6;0.6;0.2;84.8;2.8;2.2
75;Domestic consumption by households;2003 June;95.3;-1.1;-0.3;80.7;0.8;1.9
76;Domestic consumption by households;2003 2nd quarter;97.1;0.0;-0.1;82.3;2.1;2.1
77;Domestic consumption by households;2003 July;95.3;0.0;-0.5;81.1;2.2;2.2
78;Domestic consumption by households;2003 August;94.4;-1.3;-0.3;80.5;0.9;2.3
79;Domestic consumption by households;2003 September;94.4;0.4;-0.5;80.6;2.3;2.0
80;Domestic consumption by households;2003 3rd quarter;94.7;-0.3;-0.4;80.7;1.8;2.2
81;Domestic consumption by households;2003 October;96.4;0.6;0.0;84.0;3.0;2.4
82;Domestic consumption by households;2003 November;94.0;-1.9;-0.5;80.8;0.6;2.5
83;Domestic consumption by households;2003 December;97.8;-0.9;-1.8;83.2;1.3;2.2
84;Domestic consumption by households;2003 4th quarter;96.1;-0.7;-0.8;82.7;1.6;2.4
85;Domestic consumption by households;2004 January;101.4;1.0;0.6;85.3;2.2;1.2
86;Domestic consumption by households;2004 February;95.3;0.3;-0.7;79.8;1.4;1.1
87;Domestic consumption by households;2004 March;99.7;0.9;0.3;84.8;1.9;1.0
88;Domestic consumption by households;2004 1st quarter;98.8;0.7;0.1;83.3;1.8;1.1
89;Domestic consumption by households;2004 April;98.0;1.8;1.2;84.1;3.4;1.6
90;Domestic consumption by households;2004 May;98.2;-1.4;0.4;85.0;0.3;1.7
91;Domestic consumption by households;2004 June;97.8;2.6;1.4;84.4;4.5;1.8
92;Domestic consumption by households;2004 2nd quarter;98.0;1.0;1.0;84.5;2.7;1.7
93;Domestic consumption by households;2004 July;98.1;2.9;2.1;84.6;4.3;1.3
94;Domestic consumption by households;2004 August;94.0;-0.3;1.0;81.3;1.0;1.3
95;Domestic consumption by households;2004 September;96.1;1.9;1.1;83.1;3.1;1.3
96;Domestic consumption by households;2004 3rd quarter;96.1;1.5;1.4;83.0;2.8;1.3
97;Domestic consumption by households;2004 October;96.0;-0.4;0.2;84.6;0.8;1.2
98;Domestic consumption by households;2004 November;94.5;0.5;0.5;82.2;1.7;1.1
99;Domestic consumption by households;2004 December;100.6;2.8;1.7;86.3;3.7;0.8
100;Domestic consumption by households;2004 4th quarter;97.1;1.0;0.8;84.4;2.0;1.0
101;Domestic consumption by households;2005 January;99.6;-1.8;0.2;85.3;0.0;1.8
102;Domestic consumption by households;2005 February;94.8;-0.5;0.3;80.9;1.4;1.9
103;Domestic consumption by households;2005 March;101.1;1.5;0.9;87.6;3.3;1.9
104;Domestic consumption by households;2005 1st quarter;98.5;-0.3;0.5;84.6;1.6;1.8
105;Domestic consumption by households;2005 April;98.3;0.3;0.2;85.6;1.8;1.6
106;Domestic consumption by households;2005 May;98.0;-0.1;0.3;86.0;1.1;1.3
107;Domestic consumption by households;2005 June;99.7;1.9;1.7;87.3;3.5;1.5
108;Domestic consumption by households;2005 2nd quarter;98.7;0.7;0.8;86.3;2.1;1.4
109;Domestic consumption by households;2005 July;98.6;0.5;1.4;86.2;2.0;1.5
110;Domestic consumption by households;2005 August;96.5;2.6;1.7;84.9;4.4;1.7
111;Domestic consumption by households;2005 September;98.3;2.3;2.0;86.6;4.2;1.8
112;Domestic consumption by households;2005 3rd quarter;97.8;1.8;1.7;85.9;3.5;1.7
113;Domestic consumption by households;2005 October;96.8;0.8;1.6;87.0;2.9;2.1
114;Domestic consumption by households;2005 November;96.9;2.6;2.1;86.3;5.0;2.3
115;Domestic consumption by households;2005 December;102.2;1.5;1.2;90.0;4.3;2.7
116;Domestic consumption by households;2005 4th quarter;98.6;1.6;1.6;87.8;4.0;2.4
117;Domestic consumption by households;2006 January;99.4;-0.2;0.2;87.7;2.9;3.1
118;Domestic consumption by households;2006 February;94.5;-0.3;-0.2;83.2;2.8;3.1
119;Domestic consumption by households;2006 March;101.6;0.5;0.1;90.6;3.3;2.8
120;Domestic consumption by households;2006 1st quarter;98.5;0.0;0.1;87.2;3.0;3.0
121;Domestic consumption by households;2006 April;97.8;-0.5;0.5;87.7;2.5;3.0
122;Domestic consumption by households;2006 May;99.9;1.9;1.0;90.3;5.0;3.0
123;Domestic consumption by households;2006 June;100.0;0.3;-0.1;89.8;2.9;2.6
124;Domestic consumption by households;2006 2nd quarter;99.2;0.6;0.5;89.3;3.5;2.9
125;Domestic consumption by households;2006 July;97.1;-1.5;-0.8;87.2;1.1;2.6
126;Domestic consumption by households;2006 August;97.7;1.2;0.8;88.4;4.1;2.9
127;Domestic consumption by households;2006 September;98.5;0.2;-0.2;88.7;2.4;2.2
128;Domestic consumption by households;2006 3rd quarter;97.8;0.0;-0.1;88.1;2.5;2.6
129;Domestic consumption by households;2006 October;95.9;-0.9;-0.5;87.9;1.0;2.0
130;Domestic consumption by households;2006 November;96.7;-0.2;-0.4;88.1;2.2;2.4
131;Domestic consumption by households;2006 December;100.7;-1.4;-0.2;91.0;1.1;2.5
132;Domestic consumption by households;2006 4th quarter;97.8;-0.9;-0.4;89.0;1.4;2.3
133;Domestic consumption by households;2007 January;100.6;1.2;0.2;90.4;3.0;1.8
134;Domestic consumption by households;2007 February;96.3;1.8;1.8;86.4;3.9;2.0
135;Domestic consumption by households;2007 March;103.7;2.1;1.7;94.6;4.4;2.3
136;Domestic consumption by households;2007 1st quarter;100.2;1.7;1.2;90.5;3.8;2.0
137;Domestic consumption by households;2007 April;98.1;0.3;1.2;89.9;2.4;2.1
138;Domestic consumption by households;2007 May;101.0;1.1;0.6;92.9;3.0;1.9
139;Domestic consumption by households;2007 June;102.2;2.2;1.9;93.6;4.2;2.0
140;Domestic consumption by households;2007 2nd quarter;100.4;1.2;1.2;92.1;3.2;2.0
141;Domestic consumption by households;2007 July;99.2;2.2;2.9;90.8;4.2;2.0
142;Domestic consumption by households;2007 August;99.9;2.3;1.5;91.5;3.6;1.3
143;Domestic consumption by households;2007 September;99.6;1.1;2.5;91.4;3.1;1.9
144;Domestic consumption by households;2007 3rd quarter;99.6;1.9;2.3;91.3;3.6;1.7
145;Domestic consumption by households;2007 October;100.0;4.2;3.2;93.6;6.4;2.1
146;Domestic consumption by households;2007 November;99.3;2.7;2.4;92.8;5.3;2.4
147;Domestic consumption by households;2007 December;103.1;2.4;3.3;95.4;4.8;2.4
148;Domestic consumption by households;2007 4th quarter;100.8;3.1;2.9;93.9;5.5;2.3
149;Domestic consumption by households;2008 January;102.0;1.4;1.0;94.1;4.1;2.6
150;Domestic consumption by households;2008 February;100.6;4.6;2.2;92.7;7.3;2.6
151;Domestic consumption by households;2008 March;102.3;-1.3;0.1;95.6;1.1;2.5
152;Domestic consumption by households;2008 1st quarter;101.7;1.5;1.1;94.2;4.1;2.6
153;Domestic consumption by households;2008 April;100.7;2.6;1.5;94.7;5.4;2.8
154;Domestic consumption by households;2008 May;104.1;3.1;2.1;98.4;5.9;2.7
155;Domestic consumption by households;2008 June;100.4;-1.8;0.4;94.7;1.1;3.0
156;Domestic consumption by households;2008 2nd quarter;101.7;1.3;1.4;95.9;4.1;2.8
157;Domestic consumption by households;2008 July;100.5;1.3;-0.2;94.4;4.0;2.6
158;Domestic consumption by households;2008 August;99.6;-0.3;0.4;93.8;2.5;2.8
159;Domestic consumption by households;2008 September;99.3;-0.3;-0.2;93.6;2.4;2.7
160;Domestic consumption by households;2008 3rd quarter;99.8;0.2;0.0;93.9;2.9;2.7
161;Domestic consumption by households;2008 October;100.7;0.7;-0.3;95.3;1.9;1.1
162;Domestic consumption by households;2008 November;97.2;-2.2;-1.2;91.4;-1.4;0.8
163;Domestic consumption by households;2008 December;102.6;-0.5;-0.9;95.7;0.3;0.8
164;Domestic consumption by households;2008 4th quarter;100.2;-0.6;-0.8;94.1;0.2;0.9
165;Domestic consumption by households;2009 January;102.6;0.6;-0.1;94.1;0.0;-0.5
166;Domestic consumption by households;2009 February;96.5;-4.1;-1.9;88.6;-4.5;-0.4
167;Domestic consumption by households;2009 March;99.3;-2.9;-2.2;92.1;-3.7;-0.8
168;Domestic consumption by households;2009 1st quarter;99.5;-2.1;-1.4;91.6;-2.7;-0.6
169;Domestic consumption by households;2009 April;98.3;-2.4;-2.9;90.8;-4.2;-1.8
170;Domestic consumption by households;2009 May;99.7;-4.2;-3.2;92.5;-6.0;-1.9
171;Domestic consumption by households;2009 June;98.2;-2.1;-2.9;90.6;-4.3;-2.2
172;Domestic consumption by households;2009 2nd quarter;98.7;-2.9;-3.0;91.3;-4.9;-2.0
173;Domestic consumption by households;2009 July;99.8;-0.7;-1.2;91.6;-3.0;-2.3
174;Domestic consumption by households;2009 August;96.0;-3.6;-2.8;88.5;-5.7;-2.2
175;Domestic consumption by households;2009 September;97.6;-1.8;-2.3;89.9;-3.9;-2.2
176;Domestic consumption by households;2009 3rd quarter;97.8;-2.0;-2.1;90.0;-4.2;-2.2
177;Domestic consumption by households;2009 October;98.9;-1.7;-2.1;92.9;-2.6;-0.9
178;Domestic consumption by households;2009 November;94.5;-2.8;-2.0;88.2;-3.6;-0.8
179;Domestic consumption by households;2009 December;102.5;-0.1;-0.7;94.7;-1.0;-0.9
180;Domestic consumption by households;2009 4th quarter;98.6;-1.5;-1.6;91.9;-2.4;-0.9
181;Domestic consumption by households;2010 January;100.3;-2.3;-1.4;92.7;-1.5;0.8
182;Domestic consumption by households;2010 February;94.8;-1.8;-1.8;87.8;-0.8;1.0
183;Domestic consumption by households;2010 March;100.1;0.8;-0.4;94.2;2.2;1.5
184;Domestic consumption by households;2010 1st quarter;98.4;-1.1;-1.2;91.6;0.0;1.1
185;Domestic consumption by households;2010 April;98.6;0.4;0.4;92.7;2.1;1.7
186;Domestic consumption by households;2010 May;99.2;-0.6;0.2;93.5;1.1;1.7
187;Domestic consumption by households;2010 June;99.6;1.4;0.9;93.4;3.1;1.6
188;Domestic consumption by households;2010 2nd quarter;99.1;0.4;0.5;93.2;2.1;1.7
189;Domestic consumption by households;2010 July;100.1;0.3;0.0;93.4;2.0;1.6
190;Domestic consumption by households;2010 August;96.7;0.7;1.2;90.5;2.3;1.6
191;Domestic consumption by households;2010 September;99.4;1.9;1.8;93.1;3.6;1.7
192;Domestic consumption by households;2010 3rd quarter;98.7;1.0;1.0;92.3;2.6;1.6
193;Domestic consumption by households;2010 October;99.0;0.1;1.0;94.5;1.8;1.7
194;Domestic consumption by households;2010 November;97.3;3.0;2.2;92.4;4.8;1.8
195;Domestic consumption by households;2010 December;103.9;1.4;0.9;98.0;3.5;2.1
196;Domestic consumption by households;2010 4th quarter;100.1;1.5;1.3;95.0;3.3;1.9
197;Domestic consumption by households;2011 January;100.9;0.7;1.4;94.7;2.1;1.4
198;Domestic consumption by households;2011 February;96.0;1.3;1.3;90.5;3.0;1.7
199;Domestic consumption by households;2011 March;101.4;1.3;1.1;97.0;3.0;1.7
200;Domestic consumption by households;2011 1st quarter;99.4;1.1;1.3;94.1;2.7;1.6
201;Domestic consumption by households;2011 April;100.3;1.7;1.1;96.2;3.9;2.1
202;Domestic consumption by households;2011 May;99.9;0.8;1.1;96.4;3.1;2.3
203;Domestic consumption by households;2011 June;100.3;0.6;0.6;96.0;2.8;2.1
204;Domestic consumption by households;2011 2nd quarter;100.2;1.0;0.9;96.2;3.3;2.2
205;Domestic consumption by households;2011 July;100.0;-0.1;0.9;95.3;2.0;2.1
206;Domestic consumption by households;2011 August;97.3;0.7;-0.2;93.0;2.8;2.1
207;Domestic consumption by households;2011 September;98.5;-1.0;-1.3;94.2;1.1;2.1
208;Domestic consumption by households;2011 3rd quarter;98.6;-0.1;-0.2;94.1;2.0;2.1
209;Domestic consumption by households;2011 October;97.2;-1.8;-1.2;94.6;0.1;1.9
210;Domestic consumption by households;2011 November;97.0;-0.3;-0.8;93.9;1.7;2.0
211;Domestic consumption by households;2011 December;103.1;-0.8;-1.0;99.2;1.2;2.1
212;Domestic consumption by households;2011 4th quarter;99.1;-1.0;-1.0;95.9;1.0;2.0
213;Domestic consumption by households;2012 January;99.8;-1.1;-1.0;94.9;0.3;1.4
214;Domestic consumption by households;2012 February;96.5;0.4;-1.1;92.2;1.9;1.5
215;Domestic consumption by households;2012 March;101.2;-0.2;-1.1;98.1;1.1;1.3
216;Domestic consumption by households;2012 1st quarter;99.1;-0.3;-1.1;95.1;1.1;1.4
217;Domestic consumption by households;2012 April;96.8;-3.6;-1.7;93.9;-2.4;1.2
218;Domestic consumption by households;2012 May;100.2;0.2;-1.0;97.4;1.0;0.7
219;Domestic consumption by households;2012 June;100.9;0.6;-0.1;97.2;1.3;0.7
220;Domestic consumption by households;2012 2nd quarter;99.3;-0.9;-0.9;96.2;0.0;0.9
221;Domestic consumption by households;2012 July;97.2;-2.9;-1.7;93.6;-1.8;1.1
222;Domestic consumption by households;2012 August;97.0;-0.3;-1.2;93.5;0.5;0.9
223;Domestic consumption by households;2012 September;97.6;-0.9;0.0;94.0;-0.2;0.7
224;Domestic consumption by households;2012 3rd quarter;97.3;-1.4;-1.0;93.7;-0.5;0.9
225;Domestic consumption by households;2012 October;95.5;-1.8;-2.2;94.4;-0.2;1.6
226;Domestic consumption by households;2012 November;95.3;-1.7;-2.2;93.6;-0.4;1.4
227;Domestic consumption by households;2012 December;100.7;-2.3;-0.6;98.8;-0.4;2.0
228;Domestic consumption by households;2012 4th quarter;97.2;-1.9;-1.6;95.6;-0.3;1.7
229;Domestic consumption by households;2013 January;98.7;-1.1;-2.0;96.4;1.5;2.6
230;Domestic consumption by households;2013 February;93.3;-3.2;-1.8;91.4;-0.9;2.4
231;Domestic consumption by households;2013 March;99.3;-1.9;-1.2;98.8;0.7;2.7
232;Domestic consumption by households;2013 1st quarter;97.1;-2.0;-1.6;95.5;0.5;2.6
233;Domestic consumption by households;2013 April;95.9;-0.9;-1.2;95.0;1.1;2.0
234;Domestic consumption by households;2013 May;99.2;-1.0;-1.3;98.7;1.3;2.3
235;Domestic consumption by households;2013 June;97.7;-3.2;-2.1;96.4;-0.8;2.4
236;Domestic consumption by households;2013 2nd quarter;97.6;-1.7;-1.6;96.7;0.5;2.3
237;Domestic consumption by households;2013 July;97.6;0.4;-0.5;96.6;3.2;2.8
238;Domestic consumption by households;2013 August;96.8;-0.2;-0.5;95.9;2.6;2.8
239;Domestic consumption by households;2013 September;95.7;-2.0;-1.3;94.3;0.4;2.4
240;Domestic consumption by households;2013 3rd quarter;96.7;-0.6;-0.7;95.6;2.1;2.7
241;Domestic consumption by households;2013 October;96.6;1.2;0.8;96.3;1.9;0.7
242;Domestic consumption by households;2013 November;96.9;1.7;1.5;96.0;2.6;0.9
243;Domestic consumption by households;2013 December;101.5;0.8;1.3;100.5;1.7;0.9
244;Domestic consumption by households;2013 4th quarter;98.4;1.2;1.2;97.6;2.1;0.8
245;Domestic consumption by households;2014 January;99.0;0.3;-0.1;98.3;2.0;1.7
246;Domestic consumption by households;2014 February;93.5;0.1;0.1;92.9;1.7;1.6
247;Domestic consumption by households;2014 March;97.6;-1.7;-0.6;98.3;-0.5;1.2
248;Domestic consumption by households;2014 1st quarter;96.7;-0.4;-0.2;96.5;1.0;1.5
249;Domestic consumption by households;2014 April;97.2;1.3;0.4;97.3;2.4;1.1
250;Domestic consumption by households;2014 May;100.3;1.1;0.8;100.5;1.9;0.8
251;Domestic consumption by households;2014 June;97.4;-0.3;0.6;97.1;0.8;1.0
252;Domestic consumption by households;2014 2nd quarter;98.3;0.7;0.6;98.3;1.7;1.0
253;Domestic consumption by households;2014 July;98.3;0.8;0.3;98.1;1.6;0.8
254;Domestic consumption by households;2014 August;97.1;0.3;1.2;97.1;1.2;0.9
255;Domestic consumption by households;2014 September;96.1;0.4;-0.3;95.4;1.1;0.7
256;Domestic consumption by households;2014 3rd quarter;97.2;0.5;0.4;96.9;1.3;0.8
257;Domestic consumption by households;2014 October;98.1;1.5;1.1;98.4;2.2;0.7
258;Domestic consumption by households;2014 November;96.8;-0.1;1.0;96.2;0.2;0.4
259;Domestic consumption by households;2014 December;103.6;2.1;1.1;102.7;2.2;0.1
260;Domestic consumption by households;2014 4th quarter;99.5;1.2;1.1;99.1;1.5;0.4
261;Domestic consumption by households;2015 January;101.5;2.5;2.2;99.7;1.4;-1.0
262;Domestic consumption by households;2015 February;95.5;2.2;2.2;94.2;1.3;-0.8
263;Domestic consumption by households;2015 March;99.2;1.7;1.9;99.2;0.9;-0.8
264;Domestic consumption by households;2015 1st quarter;98.7;2.1;2.1;97.7;1.2;-0.9
265;Domestic consumption by households;2015 April;99.7;2.6;2.7;99.9;2.7;0.1
266;Domestic consumption by households;2015 May;100.9;0.6;1.6;101.6;1.1;0.5
267;Domestic consumption by households;2015 June;100.9;3.6;2.7;101.0;3.9;0.4
268;Domestic consumption by households;2015 2nd quarter;100.5;2.3;2.3;100.8;2.6;0.3
269;Domestic consumption by households;2015 July;101.2;2.9;2.5;102.0;4.0;1.0
270;Domestic consumption by households;2015 August;98.0;0.9;1.5;98.6;1.6;0.7
271;Domestic consumption by households;2015 September;99.4;3.5;3.0;99.5;4.4;0.9
272;Domestic consumption by households;2015 3rd quarter;99.5;2.4;2.4;100.1;3.3;0.9
273;Domestic consumption by households;2015 October;100.9;2.8;2.5;101.8;3.4;0.6
274;Domestic consumption by households;2015 November;97.2;0.5;1.2;97.1;1.0;0.5
275;Domestic consumption by households;2015 December;105.6;1.9;1.5;105.3;2.6;0.6
276;Domestic consumption by households;2015 4th quarter;101.2;1.8;1.7;101.4;2.3;0.6
277;Domestic consumption by households;2016 January;100.8;-0.6;0.1;100.1;0.4;1.0
278;Domestic consumption by households;2016 February;97.0;1.6;0.4;96.8;2.8;1.2
279;Domestic consumption by households;2016 March;101.8;2.5;0.8;103.1;3.9;1.4
280;Domestic consumption by households;2016 1st quarter;99.9;1.2;0.4;100.0;2.4;1.2
281;Domestic consumption by households;2016 April;100.7;1.0;0.7;101.4;1.4;0.4
282;Domestic consumption by households;2016 May;101.2;0.3;1.4;102.4;0.8;0.5
283;Domestic consumption by households;2016 June;102.3;1.4;0.8;102.9;1.9;0.5
284;Domestic consumption by households;2016 2nd quarter;101.4;0.9;1.0;102.2;1.4;0.5
285;Domestic consumption by households;2016 July;102.7;1.5;2.1;103.8;1.7;0.2
286;Domestic consumption by households;2016 August;99.5;1.6;1.2;100.8;2.2;0.6
287;Domestic consumption by households;2016 September;100.7;1.3;0.9;101.0;1.5;0.2
288;Domestic consumption by households;2016 3rd quarter;101.0;1.4;1.4;101.9;1.8;0.4
289;Domestic consumption by households;2016 October;101.0;0.1;1.7;102.3;0.5;0.4
290;Domestic consumption by households;2016 November;100.7;3.5;2.4;101.1;4.1;0.6
291;Domestic consumption by households;2016 December;108.1;2.4;1.6;109.0;3.5;1.1
292;Domestic consumption by households;2016 4th quarter;103.3;2.0;1.9;104.1;2.7;0.7
293;Domestic consumption by households;2017 January;103.4;2.6;3.5;104.3;4.2;1.6
294;Domestic consumption by households;2017 February;97.6;0.6;2.2;98.9;2.2;1.6
295;Domestic consumption by households;2017 March;104.3;2.5;2.5;106.3;3.2;0.7
296;Domestic consumption by households;2017 1st quarter;101.8;1.9;2.7;103.2;3.2;1.3
297;Domestic consumption by households;2017 April;102.8;2.0;2.8;104.9;3.5;1.4
298;Domestic consumption by households;2017 May;105.2;4.0;3.0;107.4;4.9;0.9
299;Domestic consumption by households;2017 June;105.3;2.9;2.7;107.1;4.0;1.1
300;Domestic consumption by households;2017 2nd quarter;104.4;3.0;2.8;106.5;4.1;1.1
301;Domestic consumption by households;2017 July;104.6;1.8;2.5;107.1;3.2;1.3
302;Domestic consumption by households;2017 August;102.2;2.7;2.3;105.1;4.2;1.5
303;Domestic consumption by households;2017 September;104.3;3.6;3.3;106.3;5.3;1.6
304;Domestic consumption by households;2017 3rd quarter;103.7;2.7;2.7;106.2;4.2;1.5
305;Domestic consumption by households;2017 October;101.6;0.6;1.0;104.4;2.0;1.5
306;Domestic consumption by households;2017 November;103.4;2.7;2.6;105.5;4.3;1.6
307;Domestic consumption by households;2017 December;108.9;0.7;1.7;111.1;1.9;1.2
308;Domestic consumption by households;2017 4th quarter;104.6;1.3;1.8;107.0;2.7;1.4
309;Domestic consumption by households;2018 January;106.0;2.5;1.9;109.1;4.6;2.0
310;Domestic consumption by households;2018 February;100.7;3.1;3.1;104.0;5.2;2.0
311;Domestic consumption by households;2018 March;108.1;3.7;3.0;112.2;5.6;1.8
312;Domestic consumption by households;2018 1st quarter;104.9;3.1;2.7;108.5;5.1;2.0
313;Domestic consumption by households;2018 April;104.8;2.0;3.2;108.9;3.9;1.8
314;Domestic consumption by households;2018 May;107.8;2.4;2.2;112.8;5.0;2.5
315;Domestic consumption by households;2018 June;108.4;3.0;2.5;112.7;5.2;2.2
316;Domestic consumption by households;2018 2nd quarter;107.0;2.5;2.6;111.5;4.7;2.2
317;Domestic consumption by households;2018 July;107.0;2.3;2.7;112.1;4.7;2.3
318;Domestic consumption by households;2018 August;105.3;3.0;2.6;110.7;5.3;2.2
319;Domestic consumption by households;2018 September;105.3;0.9;2.0;109.4;2.9;2.0
320;Domestic consumption by households;2018 3rd quarter;105.9;2.1;2.5;110.7;4.3;2.2
321;Domestic consumption by households;2018 October;104.6;3.0;2.1;110.1;5.5;2.4
322;Domestic consumption by households;2018 November;106.0;2.5;2.2;110.5;4.7;2.2
323;Domestic consumption by households;2018 December;110.0;1.0;1.7;114.7;3.3;2.2
