ID;Population;Sex;PersonalCharacteristics;ModesOfTravel;Margins;RegionCharacteristics;Periods;Trips_1;DistanceTravelled_2;TimeTravelled_3;Trips_4;DistanceTravelled_5;TimeTravelled_6
32;Population 6 years or older;Total male and female;Total persons;Total;Value;Groningen (PV);2020;2.27;26.74;61.89;831.0;9786.0;377.5
33;Population 6 years or older;Total male and female;Total persons;Total;Value;Groningen (PV);2021;2.41;30.47;69.22;880.0;11121.0;421.1
34;Population 6 years or older;Total male and female;Total persons;Total;Value;Groningen (PV);2022;2.62;33.62;71.98;958.0;12272.0;437.9
35;Population 6 years or older;Total male and female;Total persons;Total;Value;Groningen (PV);2023;2.72;31.42;71.93;994.0;11468.0;437.6
36;Population 6 years or older;Total male and female;Total persons;Total;Value;Fryslân (PV);2018;2.7;42.6;75.7;986.0;15548.0;460.5
37;Population 6 years or older;Total male and female;Total persons;Total;Value;Fryslân (PV);2019;2.63;43.52;75.01;958.0;15886.0;456.3
38;Population 6 years or older;Total male and female;Total persons;Total;Value;Fryslân (PV);2020;2.51;29.52;63.43;918.0;10804.0;386.9
39;Population 6 years or older;Total male and female;Total persons;Total;Value;Fryslân (PV);2021;2.49;32.12;69.53;908.0;11725.0;423.0
40;Population 6 years or older;Total male and female;Total persons;Total;Value;Fryslân (PV);2022;2.73;36.4;76.09;998.0;13286.0;462.9
41;Population 6 years or older;Total male and female;Total persons;Total;Value;Fryslân (PV);2023;2.73;36.4;72.3;995.0;13285.0;439.8
42;Population 6 years or older;Total male and female;Total persons;Total;Value;Drenthe (PV);2018;2.82;43.08;73.11;1028.0;15725.0;444.7
43;Population 6 years or older;Total male and female;Total persons;Total;Value;Drenthe (PV);2019;2.81;40.32;74.35;1027.0;14716.0;452.3
44;Population 6 years or older;Total male and female;Total persons;Total;Value;Drenthe (PV);2020;2.4;28.14;60.2;880.0;10298.0;367.2
45;Population 6 years or older;Total male and female;Total persons;Total;Value;Drenthe (PV);2021;2.61;31.99;72.24;952.0;11675.0;439.5
46;Population 6 years or older;Total male and female;Total persons;Total;Value;Drenthe (PV);2022;2.69;35.45;75.0;982.0;12940.0;456.2
47;Population 6 years or older;Total male and female;Total persons;Total;Value;Drenthe (PV);2023;2.71;37.71;72.06;988.0;13763.0;438.4
48;Population 6 years or older;Total male and female;Total persons;Total;Value;Overijssel (PV);2018;2.87;37.98;72.15;1049.0;13861.0;438.9
49;Population 6 years or older;Total male and female;Total persons;Total;Value;Overijssel (PV);2019;2.8;38.69;72.65;1023.0;14121.0;441.9
50;Population 6 years or older;Total male and female;Total persons;Total;Value;Overijssel (PV);2020;2.42;26.06;61.9;886.0;9539.0;377.6
51;Population 6 years or older;Total male and female;Total persons;Total;Value;Overijssel (PV);2021;2.62;28.19;68.69;956.0;10288.0;417.8
52;Population 6 years or older;Total male and female;Total persons;Total;Value;Overijssel (PV);2022;2.86;31.95;71.46;1045.0;11662.0;434.7
53;Population 6 years or older;Total male and female;Total persons;Total;Value;Overijssel (PV);2023;2.89;34.21;72.18;1054.0;12487.0;439.1
54;Population 6 years or older;Total male and female;Total persons;Total;Value;Flevoland (PV);2018;2.69;42.97;76.5;980.0;15685.0;465.4
55;Population 6 years or older;Total male and female;Total persons;Total;Value;Flevoland (PV);2019;2.55;41.63;71.07;930.0;15197.0;432.4
56;Population 6 years or older;Total male and female;Total persons;Total;Value;Flevoland (PV);2020;2.24;30.09;61.66;820.0;11011.0;376.1
57;Population 6 years or older;Total male and female;Total persons;Total;Value;Flevoland (PV);2021;2.34;32.49;68.03;853.0;11861.0;413.9
58;Population 6 years or older;Total male and female;Total persons;Total;Value;Flevoland (PV);2022;2.5;35.97;71.1;911.0;13128.0;432.5
59;Population 6 years or older;Total male and female;Total persons;Total;Value;Flevoland (PV);2023;2.56;36.19;72.6;936.0;13211.0;441.6
60;Population 6 years or older;Total male and female;Total persons;Total;Value;Gelderland (PV);2018;2.86;38.33;74.79;1044.0;13992.0;455.0
61;Population 6 years or older;Total male and female;Total persons;Total;Value;Gelderland (PV);2019;2.78;37.95;75.45;1016.0;13853.0;459.0
62;Population 6 years or older;Total male and female;Total persons;Total;Value;Gelderland (PV);2020;2.47;27.32;62.55;905.0;10000.0;381.6
63;Population 6 years or older;Total male and female;Total persons;Total;Value;Gelderland (PV);2021;2.6;29.75;70.33;947.0;10859.0;427.8
64;Population 6 years or older;Total male and female;Total persons;Total;Value;Gelderland (PV);2022;2.86;32.91;75.11;1046.0;12014.0;456.9
65;Population 6 years or older;Total male and female;Total persons;Total;Value;Gelderland (PV);2023;2.84;34.92;74.16;1036.0;12746.0;451.1
66;Population 6 years or older;Total male and female;Total persons;Total;Value;Utrecht (PV);2018;2.89;37.88;77.13;1056.0;13825.0;469.2
67;Population 6 years or older;Total male and female;Total persons;Total;Value;Utrecht (PV);2019;2.81;40.15;76.84;1026.0;14656.0;467.4
68;Population 6 years or older;Total male and female;Total persons;Total;Value;Utrecht (PV);2020;2.43;26.57;64.29;888.0;9726.0;392.2
69;Population 6 years or older;Total male and female;Total persons;Total;Value;Utrecht (PV);2021;2.57;28.4;71.26;937.0;10366.0;433.5
70;Population 6 years or older;Total male and female;Total persons;Total;Value;Utrecht (PV);2022;2.8;31.74;74.44;1021.0;11585.0;452.8
71;Population 6 years or older;Total male and female;Total persons;Total;Value;Utrecht (PV);2023;2.82;34.64;76.7;1029.0;12645.0;466.6
72;Population 6 years or older;Total male and female;Total persons;Total;Value;Noord-Holland (PV);2018;2.76;35.45;78.38;1006.0;12940.0;476.8
73;Population 6 years or older;Total male and female;Total persons;Total;Value;Noord-Holland (PV);2019;2.63;33.39;78.04;962.0;12186.0;474.7
74;Population 6 years or older;Total male and female;Total persons;Total;Value;Noord-Holland (PV);2020;2.24;22.38;61.98;820.0;8190.0;378.1
75;Population 6 years or older;Total male and female;Total persons;Total;Value;Noord-Holland (PV);2021;2.44;25.11;72.26;892.0;9164.0;439.6
76;Population 6 years or older;Total male and female;Total persons;Total;Value;Noord-Holland (PV);2022;2.59;27.48;73.76;947.0;10030.0;448.7
77;Population 6 years or older;Total male and female;Total persons;Total;Value;Noord-Holland (PV);2023;2.61;28.63;74.44;954.0;10450.0;452.8
78;Population 6 years or older;Total male and female;Total persons;Total;Value;Zuid-Holland (PV);2018;2.71;32.95;75.22;989.0;12028.0;457.6
79;Population 6 years or older;Total male and female;Total persons;Total;Value;Zuid-Holland (PV);2019;2.66;33.25;75.48;970.0;12137.0;459.2
80;Population 6 years or older;Total male and female;Total persons;Total;Value;Zuid-Holland (PV);2020;2.22;22.7;61.91;814.0;8307.0;377.6
81;Population 6 years or older;Total male and female;Total persons;Total;Value;Zuid-Holland (PV);2021;2.41;24.84;70.0;880.0;9066.0;425.8
82;Population 6 years or older;Total male and female;Total persons;Total;Value;Zuid-Holland (PV);2022;2.58;26.68;70.74;940.0;9737.0;430.3
83;Population 6 years or older;Total male and female;Total persons;Total;Value;Zuid-Holland (PV);2023;2.59;28.99;73.77;945.0;10580.0;448.8
84;Population 6 years or older;Total male and female;Total persons;Total;Value;Zeeland (PV);2018;2.69;32.41;64.93;984.0;11829.0;395.0
85;Population 6 years or older;Total male and female;Total persons;Total;Value;Zeeland (PV);2019;2.72;37.4;69.64;991.0;13652.0;423.7
86;Population 6 years or older;Total male and female;Total persons;Total;Value;Zeeland (PV);2020;2.34;26.94;63.68;858.0;9859.0;388.5
87;Population 6 years or older;Total male and female;Total persons;Total;Value;Zeeland (PV);2021;2.6;31.58;70.73;950.0;11526.0;430.3
88;Population 6 years or older;Total male and female;Total persons;Total;Value;Zeeland (PV);2022;2.78;31.52;74.33;1015.0;11507.0;452.2
89;Population 6 years or older;Total male and female;Total persons;Total;Value;Zeeland (PV);2023;2.67;33.72;69.25;974.0;12308.0;421.3
90;Population 6 years or older;Total male and female;Total persons;Total;Value;Noord-Brabant (PV);2018;2.8;35.9;72.48;1022.0;13102.0;440.9
91;Population 6 years or older;Total male and female;Total persons;Total;Value;Noord-Brabant (PV);2019;2.75;35.23;71.02;1005.0;12858.0;432.1
92;Population 6 years or older;Total male and female;Total persons;Total;Value;Noord-Brabant (PV);2020;2.47;24.43;60.89;904.0;8940.0;371.4
93;Population 6 years or older;Total male and female;Total persons;Total;Value;Noord-Brabant (PV);2021;2.57;26.41;67.04;939.0;9641.0;407.9
94;Population 6 years or older;Total male and female;Total persons;Total;Value;Noord-Brabant (PV);2022;2.75;30.76;72.4;1005.0;11227.0;440.4
95;Population 6 years or older;Total male and female;Total persons;Total;Value;Noord-Brabant (PV);2023;2.8;33.81;74.0;1023.0;12342.0;450.1
96;Population 6 years or older;Total male and female;Total persons;Total;Value;Limburg (PV);2018;2.77;32.67;70.18;1010.0;11925.0;426.9
97;Population 6 years or older;Total male and female;Total persons;Total;Value;Limburg (PV);2019;2.71;31.34;68.27;991.0;11440.0;415.3
98;Population 6 years or older;Total male and female;Total persons;Total;Value;Limburg (PV);2020;2.38;23.96;60.22;872.0;8771.0;367.3
99;Population 6 years or older;Total male and female;Total persons;Total;Value;Limburg (PV);2021;2.51;25.38;68.05;915.0;9265.0;414.0
100;Population 6 years or older;Total male and female;Total persons;Total;Value;Limburg (PV);2022;2.69;28.73;69.12;980.0;10487.0;420.4
101;Population 6 years or older;Total male and female;Total persons;Total;Value;Limburg (PV);2023;2.77;28.2;69.32;1011.0;10295.0;421.7
102;Population 6 years or older;Total male and female;Total persons;Total;Value;Extremely urbanised;2018;2.7;32.66;77.71;987.0;11922.0;472.7
103;Population 6 years or older;Total male and female;Total persons;Total;Value;Extremely urbanised;2019;2.59;31.41;76.64;947.0;11464.0;466.2
104;Population 6 years or older;Total male and female;Total persons;Total;Value;Extremely urbanised;2020;2.14;20.77;61.54;782.0;7601.0;375.4
105;Population 6 years or older;Total male and female;Total persons;Total;Value;Extremely urbanised;2021;2.33;23.02;71.0;852.0;8402.0;431.9
106;Population 6 years or older;Total male and female;Total persons;Total;Value;Extremely urbanised;2022;2.52;25.44;72.81;918.0;9287.0;442.9
107;Population 6 years or older;Total male and female;Total persons;Total;Value;Extremely urbanised;2023;2.55;26.93;74.64;930.0;9831.0;454.0
108;Population 6 years or older;Total male and female;Total persons;Total;Value;Strongly urbanised;2018;2.8;36.07;74.99;1023.0;13165.0;456.2
109;Population 6 years or older;Total male and female;Total persons;Total;Value;Strongly urbanised;2019;2.74;36.08;74.2;1000.0;13168.0;451.4
110;Population 6 years or older;Total male and female;Total persons;Total;Value;Strongly urbanised;2020;2.37;24.69;61.67;869.0;9035.0;376.2
111;Population 6 years or older;Total male and female;Total persons;Total;Value;Strongly urbanised;2021;2.52;27.1;68.85;921.0;9890.0;418.8
112;Population 6 years or older;Total male and female;Total persons;Total;Value;Strongly urbanised;2022;2.72;30.49;72.49;993.0;11128.0;441.0
113;Population 6 years or older;Total male and female;Total persons;Total;Value;Strongly urbanised;2023;2.76;32.42;73.8;1006.0;11832.0;449.0
114;Population 6 years or older;Total male and female;Total persons;Total;Value;Moderately urbanised;2018;2.84;35.97;73.58;1036.0;13128.0;447.6
115;Population 6 years or older;Total male and female;Total persons;Total;Value;Moderately urbanised;2019;2.8;37.09;74.26;1022.0;13539.0;451.7
116;Population 6 years or older;Total male and female;Total persons;Total;Value;Moderately urbanised;2020;2.51;26.07;62.75;917.0;9543.0;382.8
117;Population 6 years or older;Total male and female;Total persons;Total;Value;Moderately urbanised;2021;2.61;28.01;68.68;952.0;10222.0;417.8
118;Population 6 years or older;Total male and female;Total persons;Total;Value;Moderately urbanised;2022;2.83;31.28;73.98;1032.0;11416.0;450.0
119;Population 6 years or older;Total male and female;Total persons;Total;Value;Moderately urbanised;2023;2.83;33.41;73.49;1033.0;12193.0;447.1
120;Population 6 years or older;Total male and female;Total persons;Total;Value;Hardly urbanised;2018;2.84;39.49;73.29;1036.0;14415.0;445.8
121;Population 6 years or older;Total male and female;Total persons;Total;Value;Hardly urbanised;2019;2.76;38.32;72.36;1007.0;13986.0;440.2
122;Population 6 years or older;Total male and female;Total persons;Total;Value;Hardly urbanised;2020;2.44;27.24;62.03;893.0;9969.0;378.4
123;Population 6 years or older;Total male and female;Total persons;Total;Value;Hardly urbanised;2021;2.61;30.02;69.99;951.0;10959.0;425.8
124;Population 6 years or older;Total male and female;Total persons;Total;Value;Hardly urbanised;2022;2.8;33.72;72.51;1022.0;12308.0;441.1
125;Population 6 years or older;Total male and female;Total persons;Total;Value;Hardly urbanised;2023;2.79;34.76;72.09;1019.0;12687.0;438.6
126;Population 6 years or older;Total male and female;Total persons;Total;Value;Not urbanised;2018;2.67;38.39;69.39;975.0;14011.0;422.1
127;Population 6 years or older;Total male and female;Total persons;Total;Value;Not urbanised;2019;2.64;41.35;74.01;963.0;15093.0;450.3
128;Population 6 years or older;Total male and female;Total persons;Total;Value;Not urbanised;2020;2.41;29.99;62.73;881.0;10978.0;382.6
129;Population 6 years or older;Total male and female;Total persons;Total;Value;Not urbanised;2021;2.53;32.74;71.91;924.0;11950.0;437.4
130;Population 6 years or older;Total male and female;Total persons;Total;Value;Not urbanised;2022;2.65;33.73;70.64;967.0;12312.0;429.8
131;Population 6 years or older;Total male and female;Total persons;Total;Value;Not urbanised;2023;2.7;37.27;72.29;987.0;13605.0;439.8
132;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;The Netherlands;2018;2.76;35.62;73.85;1008.0;13001.0;449.3
133;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;The Netherlands;2019;2.69;35.41;73.58;981.0;12926.0;447.6
134;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;The Netherlands;2020;2.33;24.46;61.31;854.0;8954.0;374.0
135;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;The Netherlands;2021;2.49;26.81;69.15;908.0;9786.0;420.7
136;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;The Netherlands;2022;2.68;29.74;71.97;977.0;10857.0;437.8
137;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;The Netherlands;2023;2.7;31.5;72.82;985.0;11497.0;443.0
138;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Noord-Nederland (LD);2018;2.71;39.04;71.8;988.0;14251.0;436.8
139;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Noord-Nederland (LD);2019;2.61;38.97;71.9;953.0;14224.0;437.4
140;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Noord-Nederland (LD);2020;2.33;26.57;59.76;854.0;9723.0;364.5
141;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Noord-Nederland (LD);2021;2.44;29.82;67.73;889.0;10883.0;412.0
142;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Noord-Nederland (LD);2022;2.62;33.24;71.83;955.0;12131.0;437.0
143;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Noord-Nederland (LD);2023;2.65;33.22;69.71;968.0;12125.0;424.1
144;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Oost-Nederland (LD);2018;2.8;37.52;72.53;1022.0;13694.0;441.2
145;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Oost-Nederland (LD);2019;2.72;37.24;72.27;991.0;13593.0;439.7
146;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Oost-Nederland (LD);2020;2.39;26.24;60.74;874.0;9605.0;370.5
147;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Oost-Nederland (LD);2021;2.53;28.57;67.98;924.0;10428.0;413.5
148;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Oost-Nederland (LD);2022;2.77;31.88;71.89;1013.0;11637.0;437.3
149;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Oost-Nederland (LD);2023;2.78;33.75;71.84;1013.0;12319.0;437.0
150;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;West-Nederland (LD);2018;2.72;33.81;75.05;994.0;12341.0;456.6
151;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;West-Nederland (LD);2019;2.65;33.82;75.17;966.0;12344.0;457.3
152;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;West-Nederland (LD);2020;2.24;22.88;61.5;821.0;8374.0;375.2
153;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;West-Nederland (LD);2021;2.43;25.28;70.09;888.0;9227.0;426.4
154;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;West-Nederland (LD);2022;2.6;27.41;71.6;949.0;10006.0;435.6
155;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;West-Nederland (LD);2023;2.61;29.39;73.33;954.0;10726.0;446.1
156;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Zuid-Nederland (LD);2018;2.75;33.77;70.19;1002.0;12325.0;427.0
157;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Zuid-Nederland (LD);2019;2.69;32.87;68.51;983.0;11997.0;416.8
158;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Zuid-Nederland (LD);2020;2.4;23.4;59.25;879.0;8563.0;361.4
159;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Zuid-Nederland (LD);2021;2.51;25.14;65.77;916.0;9176.0;400.1
160;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Zuid-Nederland (LD);2022;2.69;29.09;69.72;980.0;10619.0;424.1
161;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Zuid-Nederland (LD);2023;2.75;31.09;71.02;1003.0;11348.0;432.0
162;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Groningen (PV);2018;2.7;34.33;69.12;984.0;12532.0;420.5
163;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Groningen (PV);2019;2.52;35.51;69.79;920.0;12962.0;424.5
164;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Groningen (PV);2020;2.17;23.95;57.84;793.0;8765.0;352.8
165;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Groningen (PV);2021;2.31;27.52;65.24;842.0;10046.0;396.9
166;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Groningen (PV);2022;2.51;30.13;67.66;917.0;10996.0;411.6
167;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Groningen (PV);2023;2.61;28.5;67.81;952.0;10403.0;412.5
168;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Fryslân (PV);2018;2.6;39.19;71.71;949.0;14303.0;436.2
169;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Fryslân (PV);2019;2.51;39.5;70.2;916.0;14417.0;427.1
170;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Fryslân (PV);2020;2.4;26.79;59.82;877.0;9805.0;364.9
171;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Fryslân (PV);2021;2.39;29.23;65.44;872.0;10668.0;398.1
172;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Fryslân (PV);2022;2.62;33.31;71.84;956.0;12157.0;437.0
173;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Fryslân (PV);2023;2.61;33.26;68.34;952.0;12141.0;415.7
174;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Drenthe (PV);2018;2.69;39.54;68.81;983.0;14432.0;418.6
175;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Drenthe (PV);2019;2.67;36.47;69.05;974.0;13311.0;420.1
176;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Drenthe (PV);2020;2.28;25.28;56.3;836.0;9254.0;343.4
177;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Drenthe (PV);2021;2.49;28.99;67.37;910.0;10581.0;409.8
178;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Drenthe (PV);2022;2.56;31.87;70.26;933.0;11631.0;427.4
179;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Drenthe (PV);2023;2.58;34.06;67.68;943.0;12432.0;411.7
180;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Overijssel (PV);2018;2.8;35.84;69.37;1020.0;13082.0;422.0
181;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Overijssel (PV);2019;2.72;36.16;69.56;993.0;13200.0;423.2
182;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Overijssel (PV);2020;2.34;24.27;58.96;857.0;8884.0;359.6
183;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Overijssel (PV);2021;2.54;26.43;65.68;929.0;9647.0;399.6
184;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Overijssel (PV);2022;2.77;29.96;68.69;1012.0;10936.0;417.8
185;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Overijssel (PV);2023;2.81;32.17;69.5;1024.0;11744.0;422.8
186;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Flevoland (PV);2018;2.56;39.61;72.01;936.0;14458.0;438.0
187;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Flevoland (PV);2019;2.42;38.12;66.73;883.0;13912.0;405.9
188;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Flevoland (PV);2020;2.13;27.11;56.96;778.0;9924.0;347.4
189;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Flevoland (PV);2021;2.23;29.75;64.12;813.0;10859.0;390.0
190;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Flevoland (PV);2022;2.39;32.59;67.0;873.0;11894.0;407.6
191;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Flevoland (PV);2023;2.46;33.44;68.4;896.0;12206.0;416.1
192;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Gelderland (PV);2018;2.8;36.66;72.58;1022.0;13382.0;441.5
193;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Gelderland (PV);2019;2.72;36.14;72.97;993.0;13191.0;443.9
194;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Gelderland (PV);2020;2.42;26.01;60.72;884.0;9519.0;370.4
195;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Gelderland (PV);2021;2.54;28.39;68.29;927.0;10363.0;415.4
196;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Gelderland (PV);2022;2.8;31.53;72.91;1023.0;11507.0;443.6
197;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Gelderland (PV);2023;2.78;33.46;72.13;1013.0;12213.0;438.8
