ID;Geslacht;Persoonskenmerken;Arbeidsmarktpositie;LevenLangLeren;Perioden;Bevolking15Tot75Jaar_1
19;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang leren;2003;2864
20;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang leren;2004;2873
21;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang leren;2005;2863
22;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang leren;2006;2907
23;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang leren;2007;3029
24;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang leren;2008;3101
25;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang leren;2009;3111
26;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang leren;2010;3147
27;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang leren;2011;3186
28;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang leren;2012;3174
29;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang leren;2013;3255
30;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang leren;2014;3308
31;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang leren;2015;3392
32;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang leren;2016;3409
33;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang leren;2017;3475
34;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang leren;2018;3473
35;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang leren;2019;3527
36;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang leren;2020;3479
37;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang leren;2021;4175
38;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2003;1879
39;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2004;1961
40;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2005;1984
41;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2006;2036
42;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2007;2093
43;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2008;2130
44;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2009;2151
45;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2010;2201
46;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2011;2221
47;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2012;2221
48;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2013;2173
49;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2014;2169
50;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2015;2188
51;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2016;2194
52;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2017;2239
53;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2018;2280
54;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2019;2315
55;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2020;2337
56;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2021;2312
57;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2003;985
58;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2004;912
59;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2005;879
60;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2006;871
61;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2007;936
62;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2008;971
63;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2009;959
64;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2010;947
65;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2011;965
66;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2012;953
67;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2013;1082
68;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2014;1138
69;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2015;1203
70;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2016;1214
71;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2017;1236
72;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2018;1193
73;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2019;1212
74;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2020;1142
75;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2021;1863
76;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2003;10238
77;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2004;10194
78;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2005;10206
79;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2006;10185
80;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2007;10164
81;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2008;10185
82;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2009;10220
83;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2010;10211
84;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2011;10231
85;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2012;10320
86;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2013;10465
87;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2014;10495
88;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2015;10497
89;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2016;10574
90;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2017;10631
91;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2018;10657
92;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2019;10701
93;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2020;10757
94;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2021;10835
95;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang leren;2003;9252
96;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang leren;2004;9282
97;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang leren;2005;9327
98;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang leren;2006;9314
99;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang leren;2007;9228
100;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang leren;2008;9214
101;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang leren;2009;9261
102;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang leren;2010;9265
103;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang leren;2011;9266
104;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang leren;2012;9366
105;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang leren;2013;9382
106;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang leren;2014;9357
107;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang leren;2015;9294
108;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang leren;2016;9359
109;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang leren;2017;9395
110;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang leren;2018;9463
111;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang leren;2019;9489
112;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang leren;2020;9616
113;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang leren;2021;8972
114;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2003;8178
115;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2004;8227
116;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2005;8307
117;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2006;8357
118;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2007;8524
119;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2008;8676
120;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2009;8742
121;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2010;8713
122;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2011;8714
123;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2012;8846
124;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2013;8913
125;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2014;8874
126;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2015;8907
127;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2016;8942
128;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2017;9017
129;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2018;9125
130;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2019;9267
131;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2020;9308
132;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2021;9663
133;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang leren;2003;2100
134;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang leren;2004;2063
135;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang leren;2005;2063
136;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang leren;2006;2100
137;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang leren;2007;2263
138;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang leren;2008;2356
139;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang leren;2009;2363
140;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang leren;2010;2342
141;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang leren;2011;2352
142;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang leren;2012;2386
143;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang leren;2013;2478
144;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang leren;2014;2496
145;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang leren;2015;2570
146;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang leren;2016;2567
147;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang leren;2017;2622
148;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang leren;2018;2633
149;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang leren;2019;2703
150;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang leren;2020;2637
151;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang leren;2021;3518
152;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2003;1243
153;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2004;1264
154;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2005;1286
155;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2006;1327
156;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2007;1426
157;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2008;1480
158;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2009;1499
159;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2010;1495
160;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2011;1505
161;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2012;1537
162;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2013;1515
163;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2014;1478
164;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2015;1499
165;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2016;1494
166;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2017;1539
167;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2018;1568
168;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2019;1626
169;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2020;1617
170;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2021;1813
171;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2003;857
172;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2004;799
173;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2005;777
174;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2006;773
175;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2007;838
176;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2008;876
177;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2009;864
178;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2010;846
179;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2011;848
180;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2012;849
181;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2013;963
182;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2014;1018
183;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2015;1071
184;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2016;1074
185;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2017;1083
186;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2018;1065
187;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2019;1077
188;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2020;1020
189;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2021;1705
190;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2003;6935
191;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2004;6963
192;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2005;7021
193;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2006;7030
194;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2007;7098
195;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2008;7196
196;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2009;7243
197;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2010;7218
198;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2011;7209
199;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2012;7309
200;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2013;7399
201;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2014;7396
202;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2015;7409
203;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2016;7448
204;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2017;7478
205;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2018;7557
206;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2019;7641
207;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2020;7691
208;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2021;7850
209;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang leren;2003;6078
210;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang leren;2004;6163
211;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang leren;2005;6244
212;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang leren;2006;6257
213;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang leren;2007;6260
214;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang leren;2008;6320
215;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang leren;2009;6379
216;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang leren;2010;6371
217;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang leren;2011;6362
218;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang leren;2012;6459
219;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang leren;2013;6436
220;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang leren;2014;6378
221;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang leren;2015;6337
222;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang leren;2016;6374
223;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang leren;2017;6395
224;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang leren;2018;6492
225;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang leren;2019;6564
226;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang leren;2020;6671
227;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang leren;2021;6145
228;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2003;7783
229;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2004;7761
230;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2005;7818
231;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2006;7938
232;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2007;8169
233;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2008;8358
234;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2009;8361
235;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2010;8278
236;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2011;8280
237;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2012;8330
238;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2013;8266
239;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2014;8214
240;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2015;8294
241;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2016;8403
242;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2017;8579
243;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2018;8774
244;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2019;8953
245;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2020;8951
246;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2021;9255
247;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Deelname leven lang leren;2003;1972
248;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Deelname leven lang leren;2004;1915
249;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Deelname leven lang leren;2005;1903
250;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Deelname leven lang leren;2006;1959
251;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Deelname leven lang leren;2007;2127
252;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Deelname leven lang leren;2008;2230
253;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Deelname leven lang leren;2009;2217
