ID;Geslacht;Niveau;Leerweg;Sectorkamer;Persoonskenmerken;MaatschappelijkePositie1JaarEerder;Perioden;InstromersTotaal_1
20;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Praktijkonderwijs;2020/'21;3660
21;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Praktijkonderwijs;2021/'22;3720
22;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Praktijkonderwijs;2022/'23;3800
23;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Praktijkonderwijs;2023/'24;3690
24;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Vo algemene leerjaren 1-3;2018/'19;3040
25;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Vo algemene leerjaren 1-3;2019/'20;2850
26;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Vo algemene leerjaren 1-3;2020/'21;2700
27;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Vo algemene leerjaren 1-3;2021/'22;2350
28;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Vo algemene leerjaren 1-3;2022/'23;2550
29;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Vo algemene leerjaren 1-3;2023/'24;3650
30;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Vmbo-b/k 3-4 totaal;2018/'19;47710
31;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Vmbo-b/k 3-4 totaal;2019/'20;46000
32;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Vmbo-b/k 3-4 totaal;2020/'21;44850
33;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Vmbo-b/k 3-4 totaal;2021/'22;42240
34;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Vmbo-b/k 3-4 totaal;2022/'23;39880
35;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Vmbo-b/k 3-4 totaal;2023/'24;38160
36;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Vmbo-g/t  3-4;2018/'19;45590
37;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Vmbo-g/t  3-4;2019/'20;46220
38;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Vmbo-g/t  3-4;2020/'21;47460
39;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Vmbo-g/t  3-4;2021/'22;41850
40;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Vmbo-g/t  3-4;2022/'23;39980
41;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Vmbo-g/t  3-4;2023/'24;39890
42;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Havo 3-5/vwo 3-6;2018/'19;6560
43;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Havo 3-5/vwo 3-6;2019/'20;6930
44;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Havo 3-5/vwo 3-6;2020/'21;6040
45;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Havo 3-5/vwo 3-6;2021/'22;7430
46;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Havo 3-5/vwo 3-6;2022/'23;9860
47;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Havo 3-5/vwo 3-6;2023/'24;11340
48;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Vavo;2018/'19;2000
49;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Vavo;2019/'20;1950
50;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Vavo;2020/'21;1710
51;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Vavo;2021/'22;990
52;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Vavo;2022/'23;1170
53;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Vavo;2023/'24;1450
54;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Hoger onderwijs;2018/'19;2890
55;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Hoger onderwijs;2019/'20;2850
56;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Hoger onderwijs;2020/'21;2430
57;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Hoger onderwijs;2021/'22;2690
58;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Hoger onderwijs;2022/'23;3120
59;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Hoger onderwijs;2023/'24;3520
60;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Geen onderwijs;2018/'19;51250
61;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Geen onderwijs;2019/'20;51580
62;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Geen onderwijs;2020/'21;48460
63;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Geen onderwijs;2021/'22;48780
64;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Geen onderwijs;2022/'23;47180
65;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Geen onderwijs;2023/'24;47990
66;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Met werk, zonder uitkering;2018/'19;33010
67;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Met werk, zonder uitkering;2019/'20;34420
68;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Met werk, zonder uitkering;2020/'21;32980
69;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Met werk, zonder uitkering;2021/'22;31740
70;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Met werk, zonder uitkering;2022/'23;32880
71;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Met werk, zonder uitkering;2023/'24;34590
72;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Zonder werk, met uitkering;2018/'19;7620
73;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Zonder werk, met uitkering;2019/'20;6930
74;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Zonder werk, met uitkering;2020/'21;5450
75;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Zonder werk, met uitkering;2021/'22;6300
76;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Zonder werk, met uitkering;2022/'23;5160
77;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Zonder werk, met uitkering;2023/'24;4300
78;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Met werk, met uitkering;2018/'19;2590
79;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Met werk, met uitkering;2019/'20;2470
80;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Met werk, met uitkering;2020/'21;2030
81;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Met werk, met uitkering;2021/'22;3190
82;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Met werk, met uitkering;2022/'23;2530
83;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Met werk, met uitkering;2023/'24;1930
84;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Onbekend;2018/'19;8030
85;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Onbekend;2019/'20;7770
86;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Onbekend;2020/'21;8000
87;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Onbekend;2021/'22;7550
88;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Onbekend;2022/'23;6620
89;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Totaal;Onbekend;2023/'24;7170
90;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Totaal instromers;2018/'19;146700
91;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Totaal instromers;2019/'20;145750
92;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Totaal instromers;2020/'21;142290
93;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Totaal instromers;2021/'22;135150
94;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Totaal instromers;2022/'23;131930
95;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Totaal instromers;2023/'24;132520
96;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Onderwijsvolgend;2018/'19;106630
97;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Onderwijsvolgend;2019/'20;105510
98;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Onderwijsvolgend;2020/'21;104160
99;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Onderwijsvolgend;2021/'22;96460
100;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Onderwijsvolgend;2022/'23;94650
101;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Onderwijsvolgend;2023/'24;94600
102;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Speciale scholen: vso;2018/'19;3420
103;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Speciale scholen: vso;2019/'20;3210
104;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Speciale scholen: vso;2020/'21;3520
105;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Speciale scholen: vso;2021/'22;3450
106;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Speciale scholen: vso;2022/'23;3300
107;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Speciale scholen: vso;2023/'24;3270
108;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Praktijkonderwijs;2018/'19;2820
109;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Praktijkonderwijs;2019/'20;2940
110;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Praktijkonderwijs;2020/'21;2930
111;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Praktijkonderwijs;2021/'22;2860
112;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Praktijkonderwijs;2022/'23;2790
113;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Praktijkonderwijs;2023/'24;2660
114;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Vo algemene leerjaren 1-3;2018/'19;360
115;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Vo algemene leerjaren 1-3;2019/'20;360
116;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Vo algemene leerjaren 1-3;2020/'21;460
117;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Vo algemene leerjaren 1-3;2021/'22;390
118;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Vo algemene leerjaren 1-3;2022/'23;450
119;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Vo algemene leerjaren 1-3;2023/'24;620
120;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Vmbo-b/k 3-4 totaal;2018/'19;45200
121;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Vmbo-b/k 3-4 totaal;2019/'20;43440
122;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Vmbo-b/k 3-4 totaal;2020/'21;41990
123;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Vmbo-b/k 3-4 totaal;2021/'22;39130
124;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Vmbo-b/k 3-4 totaal;2022/'23;36510
125;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Vmbo-b/k 3-4 totaal;2023/'24;34770
126;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Vmbo-g/t  3-4;2018/'19;44190
127;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Vmbo-g/t  3-4;2019/'20;44690
128;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Vmbo-g/t  3-4;2020/'21;45790
129;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Vmbo-g/t  3-4;2021/'22;40250
130;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Vmbo-g/t  3-4;2022/'23;38310
131;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Vmbo-g/t  3-4;2023/'24;38080
132;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Havo 3-5/vwo 3-6;2018/'19;6320
133;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Havo 3-5/vwo 3-6;2019/'20;6650
134;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Havo 3-5/vwo 3-6;2020/'21;5800
135;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Havo 3-5/vwo 3-6;2021/'22;7130
136;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Havo 3-5/vwo 3-6;2022/'23;9430
137;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Havo 3-5/vwo 3-6;2023/'24;10740
138;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Vavo;2018/'19;1600
139;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Vavo;2019/'20;1560
140;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Vavo;2020/'21;1390
141;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Vavo;2021/'22;720
142;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Vavo;2022/'23;950
143;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Vavo;2023/'24;1150
144;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Hoger onderwijs;2018/'19;2720
145;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Hoger onderwijs;2019/'20;2660
146;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Hoger onderwijs;2020/'21;2280
147;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Hoger onderwijs;2021/'22;2520
148;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Hoger onderwijs;2022/'23;2930
149;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Hoger onderwijs;2023/'24;3320
150;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Geen onderwijs;2018/'19;40070
151;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Geen onderwijs;2019/'20;40230
152;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Geen onderwijs;2020/'21;38130
153;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Geen onderwijs;2021/'22;38700
154;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Geen onderwijs;2022/'23;37270
155;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Geen onderwijs;2023/'24;37910
156;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Met werk, zonder uitkering;2018/'19;29030
157;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Met werk, zonder uitkering;2019/'20;30060
158;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Met werk, zonder uitkering;2020/'21;28380
159;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Met werk, zonder uitkering;2021/'22;27510
160;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Met werk, zonder uitkering;2022/'23;28210
161;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Met werk, zonder uitkering;2023/'24;29300
162;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Zonder werk, met uitkering;2018/'19;3540
163;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Zonder werk, met uitkering;2019/'20;3100
164;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Zonder werk, met uitkering;2020/'21;2790
165;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Zonder werk, met uitkering;2021/'22;3710
166;Totaal mannen en vrouwen;Totaal middelbaar beroepsonderwijs;Totaal mbo (incl. extranei);Totaal;Geboren in Nederland;Zonder werk, met uitkering;2022/'23;2960
