ID;Sources;Emissions;Periods;EmissionsDutchTerritory_1
149;Total mobile sources;Volatile organic compounds (VOC);2011;53.105
150;Total mobile sources;Volatile organic compounds (VOC);2012;49.784
151;Total mobile sources;Volatile organic compounds (VOC);2013;48.171
152;Total mobile sources;Volatile organic compounds (VOC);2014;46.309
153;Total mobile sources;Volatile organic compounds (VOC);2015;45.803
154;Total mobile sources;Volatile organic compounds (VOC);2016;45.461
155;Total mobile sources;Volatile organic compounds (VOC);2017;45.342
156;Total mobile sources;Volatile organic compounds (VOC);2018;44.21
157;Total mobile sources;Volatile organic compounds (VOC);2019;43.314
158;Total mobile sources;Volatile organic compounds (VOC);2020;40.21
159;Total mobile sources;Volatile organic compounds (VOC);2021;39.51
160;Total mobile sources;Methane (CH4);1990;8.53
161;Total mobile sources;Methane (CH4);1991;7.357
162;Total mobile sources;Methane (CH4);1992;7.023
163;Total mobile sources;Methane (CH4);1993;6.475
164;Total mobile sources;Methane (CH4);1994;6.133
165;Total mobile sources;Methane (CH4);1995;5.843
166;Total mobile sources;Methane (CH4);1996;5.587
167;Total mobile sources;Methane (CH4);1997;5.29
168;Total mobile sources;Methane (CH4);1998;5.025
169;Total mobile sources;Methane (CH4);1999;4.853
170;Total mobile sources;Methane (CH4);2000;4.478
171;Total mobile sources;Methane (CH4);2001;4.331
172;Total mobile sources;Methane (CH4);2002;4.209
173;Total mobile sources;Methane (CH4);2003;4.11
174;Total mobile sources;Methane (CH4);2004;4.02
175;Total mobile sources;Methane (CH4);2005;3.889
176;Total mobile sources;Methane (CH4);2006;3.801
177;Total mobile sources;Methane (CH4);2007;3.751
178;Total mobile sources;Methane (CH4);2008;3.705
179;Total mobile sources;Methane (CH4);2009;3.531
180;Total mobile sources;Methane (CH4);2010;3.381
181;Total mobile sources;Methane (CH4);2011;3.265
182;Total mobile sources;Methane (CH4);2012;3.145
183;Total mobile sources;Methane (CH4);2013;3.144
184;Total mobile sources;Methane (CH4);2014;3.148
185;Total mobile sources;Methane (CH4);2015;3.206
186;Total mobile sources;Methane (CH4);2016;3.239
187;Total mobile sources;Methane (CH4);2017;3.288
188;Total mobile sources;Methane (CH4);2018;3.735
189;Total mobile sources;Methane (CH4);2019;3.948
190;Total mobile sources;Methane (CH4);2020;3.892
191;Total mobile sources;Methane (CH4);2021;3.793
192;Total mobile sources;NMVOS;1990;213.9
193;Total mobile sources;NMVOS;1991;185.89
194;Total mobile sources;NMVOS;1992;175.33
195;Total mobile sources;NMVOS;1993;162.53
196;Total mobile sources;NMVOS;1994;152.52
197;Total mobile sources;NMVOS;1995;141.38
198;Total mobile sources;NMVOS;1996;131.76
199;Total mobile sources;NMVOS;1997;122.31
200;Total mobile sources;NMVOS;1998;113.91
201;Total mobile sources;NMVOS;1999;107.53
202;Total mobile sources;NMVOS;2000;94.648
203;Total mobile sources;NMVOS;2001;87.682
204;Total mobile sources;NMVOS;2002;80.509
205;Total mobile sources;NMVOS;2003;75.354
206;Total mobile sources;NMVOS;2004;71.105
207;Total mobile sources;NMVOS;2005;66.738
208;Total mobile sources;NMVOS;2006;63.945
209;Total mobile sources;NMVOS;2007;60.993
210;Total mobile sources;NMVOS;2008;59.258
211;Total mobile sources;NMVOS;2009;55.856
212;Total mobile sources;NMVOS;2010;52.247
213;Total mobile sources;NMVOS;2011;49.806
214;Total mobile sources;NMVOS;2012;46.606
215;Total mobile sources;NMVOS;2013;44.994
216;Total mobile sources;NMVOS;2014;43.143
217;Total mobile sources;NMVOS;2015;42.576
218;Total mobile sources;NMVOS;2016;42.203
219;Total mobile sources;NMVOS;2017;42.019
220;Total mobile sources;NMVOS;2018;40.438
221;Total mobile sources;NMVOS;2019;39.328
222;Total mobile sources;NMVOS;2020;36.278
223;Total mobile sources;NMVOS;2021;35.676
224;Total mobile sources;Nitrogen oxides (NOx);1990;439.78
225;Total mobile sources;Nitrogen oxides (NOx);1991;424.2
226;Total mobile sources;Nitrogen oxides (NOx);1992;419.0
227;Total mobile sources;Nitrogen oxides (NOx);1993;402.82
228;Total mobile sources;Nitrogen oxides (NOx);1994;391.05
229;Total mobile sources;Nitrogen oxides (NOx);1995;382.21
230;Total mobile sources;Nitrogen oxides (NOx);1996;375.45
231;Total mobile sources;Nitrogen oxides (NOx);1997;374.53
232;Total mobile sources;Nitrogen oxides (NOx);1998;367.61
233;Total mobile sources;Nitrogen oxides (NOx);1999;375.77
234;Total mobile sources;Nitrogen oxides (NOx);2000;371.53
235;Total mobile sources;Nitrogen oxides (NOx);2001;366.84
236;Total mobile sources;Nitrogen oxides (NOx);2002;357.52
237;Total mobile sources;Nitrogen oxides (NOx);2003;353.31
238;Total mobile sources;Nitrogen oxides (NOx);2004;350.25
239;Total mobile sources;Nitrogen oxides (NOx);2005;344.65
240;Total mobile sources;Nitrogen oxides (NOx);2006;344.78
241;Total mobile sources;Nitrogen oxides (NOx);2007;332.79
242;Total mobile sources;Nitrogen oxides (NOx);2008;313.72
243;Total mobile sources;Nitrogen oxides (NOx);2009;293.77
244;Total mobile sources;Nitrogen oxides (NOx);2010;285.47
245;Total mobile sources;Nitrogen oxides (NOx);2011;283.83
246;Total mobile sources;Nitrogen oxides (NOx);2012;267.84
247;Total mobile sources;Nitrogen oxides (NOx);2013;251.51
248;Total mobile sources;Nitrogen oxides (NOx);2014;253.21
249;Total mobile sources;Nitrogen oxides (NOx);2015;257.49
250;Total mobile sources;Nitrogen oxides (NOx);2016;252.53
251;Total mobile sources;Nitrogen oxides (NOx);2017;245.12
252;Total mobile sources;Nitrogen oxides (NOx);2018;243.72
253;Total mobile sources;Nitrogen oxides (NOx);2019;239.45
254;Total mobile sources;Nitrogen oxides (NOx);2020;225.62
255;Total mobile sources;Nitrogen oxides (NOx);2021;217.23
256;Total mobile sources;Dinitrogen oxide (N2O);1990;0.501
257;Total mobile sources;Dinitrogen oxide (N2O);1991;0.591
258;Total mobile sources;Dinitrogen oxide (N2O);1992;0.713
259;Total mobile sources;Dinitrogen oxide (N2O);1993;0.796
260;Total mobile sources;Dinitrogen oxide (N2O);1994;0.892
261;Total mobile sources;Dinitrogen oxide (N2O);1995;0.961
262;Total mobile sources;Dinitrogen oxide (N2O);1996;0.993
263;Total mobile sources;Dinitrogen oxide (N2O);1997;1.028
264;Total mobile sources;Dinitrogen oxide (N2O);1998;1.034
265;Total mobile sources;Dinitrogen oxide (N2O);1999;1.059
266;Total mobile sources;Dinitrogen oxide (N2O);2000;1.1
267;Total mobile sources;Dinitrogen oxide (N2O);2001;1.094
268;Total mobile sources;Dinitrogen oxide (N2O);2002;1.078
269;Total mobile sources;Dinitrogen oxide (N2O);2003;1.062
270;Total mobile sources;Dinitrogen oxide (N2O);2004;1.051
271;Total mobile sources;Dinitrogen oxide (N2O);2005;1.025
272;Total mobile sources;Dinitrogen oxide (N2O);2006;1.022
273;Total mobile sources;Dinitrogen oxide (N2O);2007;1.041
274;Total mobile sources;Dinitrogen oxide (N2O);2008;1.062
275;Total mobile sources;Dinitrogen oxide (N2O);2009;1.074
276;Total mobile sources;Dinitrogen oxide (N2O);2010;1.112
277;Total mobile sources;Dinitrogen oxide (N2O);2011;1.167
278;Total mobile sources;Dinitrogen oxide (N2O);2012;1.232
279;Total mobile sources;Dinitrogen oxide (N2O);2013;1.259
280;Total mobile sources;Dinitrogen oxide (N2O);2014;1.254
281;Total mobile sources;Dinitrogen oxide (N2O);2015;1.339
282;Total mobile sources;Dinitrogen oxide (N2O);2016;1.368
283;Total mobile sources;Dinitrogen oxide (N2O);2017;1.481
284;Total mobile sources;Dinitrogen oxide (N2O);2018;1.465
285;Total mobile sources;Dinitrogen oxide (N2O);2019;1.491
286;Total mobile sources;Dinitrogen oxide (N2O);2020;1.388
287;Total mobile sources;Dinitrogen oxide (N2O);2021;1.427
288;Total mobile sources;Sulphur dioxide (SO2);1990;72.35
289;Total mobile sources;Sulphur dioxide (SO2);1991;69.232
290;Total mobile sources;Sulphur dioxide (SO2);1992;70.975
291;Total mobile sources;Sulphur dioxide (SO2);1993;72.067
292;Total mobile sources;Sulphur dioxide (SO2);1994;72.769
293;Total mobile sources;Sulphur dioxide (SO2);1995;73.145
294;Total mobile sources;Sulphur dioxide (SO2);1996;71.833
295;Total mobile sources;Sulphur dioxide (SO2);1997;70.304
296;Total mobile sources;Sulphur dioxide (SO2);1998;72.464
297;Total mobile sources;Sulphur dioxide (SO2);1999;75.298
298;Total mobile sources;Sulphur dioxide (SO2);2000;76.789
299;Total mobile sources;Sulphur dioxide (SO2);2001;74.065
300;Total mobile sources;Sulphur dioxide (SO2);2002;72.874
301;Total mobile sources;Sulphur dioxide (SO2);2003;71.77
302;Total mobile sources;Sulphur dioxide (SO2);2004;69.114
303;Total mobile sources;Sulphur dioxide (SO2);2005;71.63
304;Total mobile sources;Sulphur dioxide (SO2);2006;74.594
305;Total mobile sources;Sulphur dioxide (SO2);2007;66.967
306;Total mobile sources;Sulphur dioxide (SO2);2008;45.257
307;Total mobile sources;Sulphur dioxide (SO2);2009;42.498
308;Total mobile sources;Sulphur dioxide (SO2);2010;37.149
309;Total mobile sources;Sulphur dioxide (SO2);2011;26.561
310;Total mobile sources;Sulphur dioxide (SO2);2012;24.633
311;Total mobile sources;Sulphur dioxide (SO2);2013;22.688
312;Total mobile sources;Sulphur dioxide (SO2);2014;24.012
313;Total mobile sources;Sulphur dioxide (SO2);2015;12.465
314;Total mobile sources;Sulphur dioxide (SO2);2016;5.954
315;Total mobile sources;Sulphur dioxide (SO2);2017;5.689
316;Total mobile sources;Sulphur dioxide (SO2);2018;5.167
317;Total mobile sources;Sulphur dioxide (SO2);2019;4.782
318;Total mobile sources;Sulphur dioxide (SO2);2020;3.994
319;Total mobile sources;Sulphur dioxide (SO2);2021;3.938
320;Total mobile sources;PM10;1990;30.995
321;Total mobile sources;PM10;1991;29.842
322;Total mobile sources;PM10;1992;29.421
323;Total mobile sources;PM10;1993;28.222
324;Total mobile sources;PM10;1994;27.477
325;Total mobile sources;PM10;1995;26.598
326;Total mobile sources;PM10;1996;25.784
327;Total mobile sources;PM10;1997;25.417
328;Total mobile sources;PM10;1998;24.932
329;Total mobile sources;PM10;1999;25.419
330;Total mobile sources;PM10;2000;25.044
331;Total mobile sources;PM10;2001;24.431
332;Total mobile sources;PM10;2002;23.394
333;Total mobile sources;PM10;2003;22.653
334;Total mobile sources;PM10;2004;21.868
335;Total mobile sources;PM10;2005;21.468
336;Total mobile sources;PM10;2006;21.026
337;Total mobile sources;PM10;2007;19.611
338;Total mobile sources;PM10;2008;17.337
339;Total mobile sources;PM10;2009;16.243
340;Total mobile sources;PM10;2010;15.088
341;Total mobile sources;PM10;2011;13.651
342;Total mobile sources;PM10;2012;12.669
343;Total mobile sources;PM10;2013;11.793
344;Total mobile sources;PM10;2014;11.68
345;Total mobile sources;PM10;2015;10.964
346;Total mobile sources;PM10;2016;9.849
347;Total mobile sources;PM10;2017;9.447
348;Total mobile sources;PM10;2018;9.393
349;Total mobile sources;PM10;2019;9.107
350;Total mobile sources;PM10;2020;8.398
351;Total mobile sources;PM10;2021;8.239
352;Total mobile sources;PM2.5 (Particulate matter);1990;28.595
353;Total mobile sources;PM2.5 (Particulate matter);1991;27.483
354;Total mobile sources;PM2.5 (Particulate matter);1992;26.982
355;Total mobile sources;PM2.5 (Particulate matter);1993;25.8
356;Total mobile sources;PM2.5 (Particulate matter);1994;25.027
357;Total mobile sources;PM2.5 (Particulate matter);1995;24.127
358;Total mobile sources;PM2.5 (Particulate matter);1996;23.302
359;Total mobile sources;PM2.5 (Particulate matter);1997;22.889
360;Total mobile sources;PM2.5 (Particulate matter);1998;22.374
361;Total mobile sources;PM2.5 (Particulate matter);1999;22.758
362;Total mobile sources;PM2.5 (Particulate matter);2000;22.37
363;Total mobile sources;PM2.5 (Particulate matter);2001;21.747
364;Total mobile sources;PM2.5 (Particulate matter);2002;20.706
365;Total mobile sources;PM2.5 (Particulate matter);2003;19.959
366;Total mobile sources;PM2.5 (Particulate matter);2004;19.153
367;Total mobile sources;PM2.5 (Particulate matter);2005;18.707
368;Total mobile sources;PM2.5 (Particulate matter);2006;18.247
369;Total mobile sources;PM2.5 (Particulate matter);2007;16.844
370;Total mobile sources;PM2.5 (Particulate matter);2008;14.655
371;Total mobile sources;PM2.5 (Particulate matter);2009;13.591
372;Total mobile sources;PM2.5 (Particulate matter);2010;12.469
373;Total mobile sources;PM2.5 (Particulate matter);2011;11.079
374;Total mobile sources;PM2.5 (Particulate matter);2012;10.135
375;Total mobile sources;PM2.5 (Particulate matter);2013;9.308
376;Total mobile sources;PM2.5 (Particulate matter);2014;9.178
377;Total mobile sources;PM2.5 (Particulate matter);2015;8.45
378;Total mobile sources;PM2.5 (Particulate matter);2016;7.301
379;Total mobile sources;PM2.5 (Particulate matter);2017;6.868
380;Total mobile sources;PM2.5 (Particulate matter);2018;6.77
381;Total mobile sources;PM2.5 (Particulate matter);2019;6.472
382;Total mobile sources;PM2.5 (Particulate matter);2020;6.036
383;Total mobile sources;PM2.5 (Particulate matter);2021;5.811
384;Total inland transport;Carbon dioxide (CO2);1990;27500.0
385;Total inland transport;Carbon dioxide (CO2);1991;27600.0
386;Total inland transport;Carbon dioxide (CO2);1992;28800.0
387;Total inland transport;Carbon dioxide (CO2);1993;28900.0
388;Total inland transport;Carbon dioxide (CO2);1994;29300.0
389;Total inland transport;Carbon dioxide (CO2);1995;29300.0
390;Total inland transport;Carbon dioxide (CO2);1996;29600.0
391;Total inland transport;Carbon dioxide (CO2);1997;30600.0
392;Total inland transport;Carbon dioxide (CO2);1998;31100.0
393;Total inland transport;Carbon dioxide (CO2);1999;32500.0
394;Total inland transport;Carbon dioxide (CO2);2000;32600.0
395;Total inland transport;Carbon dioxide (CO2);2001;33000.0
396;Total inland transport;Carbon dioxide (CO2);2002;33400.0
397;Total inland transport;Carbon dioxide (CO2);2003;33800.0
398;Total inland transport;Carbon dioxide (CO2);2004;34400.0
399;Total inland transport;Carbon dioxide (CO2);2005;33800.0
400;Total inland transport;Carbon dioxide (CO2);2006;33700.0
401;Total inland transport;Carbon dioxide (CO2);2007;33700.0
402;Total inland transport;Carbon dioxide (CO2);2008;33900.0
403;Total inland transport;Carbon dioxide (CO2);2009;33000.0
404;Total inland transport;Carbon dioxide (CO2);2010;33200.0
405;Total inland transport;Carbon dioxide (CO2);2011;33100.0
406;Total inland transport;Carbon dioxide (CO2);2012;32700.0
407;Total inland transport;Carbon dioxide (CO2);2013;31900.0
408;Total inland transport;Carbon dioxide (CO2);2014;31800.0
409;Total inland transport;Carbon dioxide (CO2);2015;32400.0
410;Total inland transport;Carbon dioxide (CO2);2016;33000.0
411;Total inland transport;Carbon dioxide (CO2);2017;33300.0
412;Total inland transport;Carbon dioxide (CO2);2018;33900.0
413;Total inland transport;Carbon dioxide (CO2);2019;33900.0
414;Total inland transport;Carbon dioxide (CO2);2020;30400.0
415;Total inland transport;Carbon dioxide (CO2);2021;30800.0
416;Total inland transport;Carbon monoxide (CO);1990;736.92
417;Total inland transport;Carbon monoxide (CO);1991;640.43
418;Total inland transport;Carbon monoxide (CO);1992;616.38
419;Total inland transport;Carbon monoxide (CO);1993;570.93
420;Total inland transport;Carbon monoxide (CO);1994;537.33
421;Total inland transport;Carbon monoxide (CO);1995;516.57
422;Total inland transport;Carbon monoxide (CO);1996;500.56
423;Total inland transport;Carbon monoxide (CO);1997;476.18
424;Total inland transport;Carbon monoxide (CO);1998;454.77
425;Total inland transport;Carbon monoxide (CO);1999;444.91
426;Total inland transport;Carbon monoxide (CO);2000;427.05
427;Total inland transport;Carbon monoxide (CO);2001;424.35
428;Total inland transport;Carbon monoxide (CO);2002;426.93
429;Total inland transport;Carbon monoxide (CO);2003;428.94
430;Total inland transport;Carbon monoxide (CO);2004;429.53
431;Total inland transport;Carbon monoxide (CO);2005;411.73
432;Total inland transport;Carbon monoxide (CO);2006;402.99
433;Total inland transport;Carbon monoxide (CO);2007;400.58
434;Total inland transport;Carbon monoxide (CO);2008;389.31
435;Total inland transport;Carbon monoxide (CO);2009;379.81
436;Total inland transport;Carbon monoxide (CO);2010;372.18
437;Total inland transport;Carbon monoxide (CO);2011;362.26
438;Total inland transport;Carbon monoxide (CO);2012;347.12
439;Total inland transport;Carbon monoxide (CO);2013;335.14
440;Total inland transport;Carbon monoxide (CO);2014;321.09
441;Total inland transport;Carbon monoxide (CO);2015;316.52
442;Total inland transport;Carbon monoxide (CO);2016;305.61
443;Total inland transport;Carbon monoxide (CO);2017;305.03
444;Total inland transport;Carbon monoxide (CO);2018;289.38
445;Total inland transport;Carbon monoxide (CO);2019;272.02
446;Total inland transport;Carbon monoxide (CO);2020;234.78
447;Total inland transport;Carbon monoxide (CO);2021;226.47
448;Total inland transport;VOC emission by combustion;1990;164.68
449;Total inland transport;VOC emission by combustion;1991;139.4
450;Total inland transport;VOC emission by combustion;1992;131.49
451;Total inland transport;VOC emission by combustion;1993;120.16
452;Total inland transport;VOC emission by combustion;1994;111.58
453;Total inland transport;VOC emission by combustion;1995;104.28
454;Total inland transport;VOC emission by combustion;1996;97.904
455;Total inland transport;VOC emission by combustion;1997;90.672
456;Total inland transport;VOC emission by combustion;1998;84.636
457;Total inland transport;VOC emission by combustion;1999;79.667
458;Total inland transport;VOC emission by combustion;2000;70.017
459;Total inland transport;VOC emission by combustion;2001;64.868
460;Total inland transport;VOC emission by combustion;2002;60.776
461;Total inland transport;VOC emission by combustion;2003;57.525
462;Total inland transport;VOC emission by combustion;2004;54.857
463;Total inland transport;VOC emission by combustion;2005;51.665
464;Total inland transport;VOC emission by combustion;2006;49.473
465;Total inland transport;VOC emission by combustion;2007;47.937
466;Total inland transport;VOC emission by combustion;2008;47.283
467;Total inland transport;VOC emission by combustion;2009;44.634
468;Total inland transport;VOC emission by combustion;2010;41.789
469;Total inland transport;VOC emission by combustion;2011;39.424
470;Total inland transport;VOC emission by combustion;2012;36.853
471;Total inland transport;VOC emission by combustion;2013;35.642
472;Total inland transport;VOC emission by combustion;2014;34.653
473;Total inland transport;VOC emission by combustion;2015;34.34
474;Total inland transport;VOC emission by combustion;2016;34.105
475;Total inland transport;VOC emission by combustion;2017;34.431
476;Total inland transport;VOC emission by combustion;2018;33.052
477;Total inland transport;VOC emission by combustion;2019;32.458
478;Total inland transport;VOC emission by combustion;2020;29.563
479;Total inland transport;VOC emission by combustion;2021;29.177
480;Total inland transport;VOC emission by evaporation;1990;39.193
481;Total inland transport;VOC emission by evaporation;1991;35.546
482;Total inland transport;VOC emission by evaporation;1992;33.048
483;Total inland transport;VOC emission by evaporation;1993;31.581
484;Total inland transport;VOC emission by evaporation;1994;29.759
485;Total inland transport;VOC emission by evaporation;1995;25.802
486;Total inland transport;VOC emission by evaporation;1996;22.402
487;Total inland transport;VOC emission by evaporation;1997;20.191
488;Total inland transport;VOC emission by evaporation;1998;17.692
489;Total inland transport;VOC emission by evaporation;1999;15.577
490;Total inland transport;VOC emission by evaporation;2000;12.6
491;Total inland transport;VOC emission by evaporation;2001;11.11
492;Total inland transport;VOC emission by evaporation;2002;8.795
