ID;Geslacht;LeeftijdOp31December;InkomenEnWelvaart;Marges;Perioden;Levensverwachting_1;InAlsGoedErvarenGezondheid_2;ZonderLichamelijkeBeperkingen_3;ZonderPsychischeKlachten_4;ZonderGALIBeperkingen_5
54;Totaal mannen en vrouwen;0 jaar;2021810;Waarde;2017/2020;84.5;73.2;78.8;79.1;65.6
55;Totaal mannen en vrouwen;0 jaar;2021810;Waarde;2019/2022;84.5;73.1;78.8;78.0;65.8
56;Totaal mannen en vrouwen;0 jaar;2021810;Ondergrens 95%-interval;2017/2020;84.4;72.6;;;64.9
57;Totaal mannen en vrouwen;0 jaar;2021810;Ondergrens 95%-interval;2019/2022;84.5;72.5;;77.5;
58;Totaal mannen en vrouwen;0 jaar;2021810;Bovengrens 95%-interval;2017/2020;84.5;73.8;;;66.3
59;Totaal mannen en vrouwen;0 jaar;2021810;Bovengrens 95%-interval;2019/2022;84.6;73.7;;78.6;
60;Totaal mannen en vrouwen;1 jaar;1014752;Waarde;2017/2020;76.5;50.4;61.4;61.8;50.4
61;Totaal mannen en vrouwen;1 jaar;1014752;Waarde;2019/2022;76.0;51.0;61.4;59.8;64.3
62;Totaal mannen en vrouwen;1 jaar;1014752;Ondergrens 95%-interval;2017/2020;76.5;49.5;;;49.5
63;Totaal mannen en vrouwen;1 jaar;1014752;Ondergrens 95%-interval;2019/2022;76.0;50.0;;58.9;63.0
64;Totaal mannen en vrouwen;1 jaar;1014752;Bovengrens 95%-interval;2017/2020;76.5;51.4;;;51.4
65;Totaal mannen en vrouwen;1 jaar;1014752;Bovengrens 95%-interval;2019/2022;76.1;52.0;;60.8;65.6
66;Totaal mannen en vrouwen;1 jaar;1014753;Waarde;2017/2020;80.5;58.8;67.7;70.6;53.0
67;Totaal mannen en vrouwen;1 jaar;1014753;Waarde;2019/2022;80.3;59.1;68.0;68.3;53.4
68;Totaal mannen en vrouwen;1 jaar;1014753;Ondergrens 95%-interval;2017/2020;80.4;57.9;;;52.1
69;Totaal mannen en vrouwen;1 jaar;1014753;Ondergrens 95%-interval;2019/2022;80.3;58.2;;67.5;52.5
70;Totaal mannen en vrouwen;1 jaar;1014753;Bovengrens 95%-interval;2017/2020;80.5;59.6;;;53.9
71;Totaal mannen en vrouwen;1 jaar;1014753;Bovengrens 95%-interval;2019/2022;80.3;60.0;;69.1;54.4
72;Totaal mannen en vrouwen;1 jaar;1014754;Waarde;2017/2020;82.2;65.5;72.7;74.9;58.6
73;Totaal mannen en vrouwen;1 jaar;1014754;Waarde;2019/2022;82.1;65.1;73.1;72.8;58.5
74;Totaal mannen en vrouwen;1 jaar;1014754;Ondergrens 95%-interval;2017/2020;82.1;64.8;;;57.9
75;Totaal mannen en vrouwen;1 jaar;1014754;Ondergrens 95%-interval;2019/2022;82.1;64.3;;72.2;57.7
76;Totaal mannen en vrouwen;1 jaar;1014754;Bovengrens 95%-interval;2017/2020;82.2;66.2;;;59.4
77;Totaal mannen en vrouwen;1 jaar;1014754;Bovengrens 95%-interval;2019/2022;82.1;65.9;;73.5;59.3
78;Totaal mannen en vrouwen;1 jaar;1014755;Waarde;2017/2020;83.2;68.4;76.0;76.5;61.6
79;Totaal mannen en vrouwen;1 jaar;1014755;Waarde;2019/2022;83.3;68.5;76.6;75.3;61.6
80;Totaal mannen en vrouwen;1 jaar;1014755;Ondergrens 95%-interval;2017/2020;83.2;67.7;;;60.8
81;Totaal mannen en vrouwen;1 jaar;1014755;Ondergrens 95%-interval;2019/2022;83.3;67.8;;74.7;60.8
82;Totaal mannen en vrouwen;1 jaar;1014755;Bovengrens 95%-interval;2017/2020;83.3;69.1;;;62.3
83;Totaal mannen en vrouwen;1 jaar;1014755;Bovengrens 95%-interval;2019/2022;83.3;69.2;;75.9;62.4
84;Totaal mannen en vrouwen;1 jaar;1014756;Waarde;2017/2020;83.7;72.4;78.0;78.7;65.1
85;Totaal mannen en vrouwen;1 jaar;1014756;Waarde;2019/2022;83.8;72.4;78.0;77.3;65.3
86;Totaal mannen en vrouwen;1 jaar;1014756;Ondergrens 95%-interval;2017/2020;83.7;71.8;;;64.3
87;Totaal mannen en vrouwen;1 jaar;1014756;Ondergrens 95%-interval;2019/2022;83.7;71.6;;76.7;64.5
88;Totaal mannen en vrouwen;1 jaar;1014756;Bovengrens 95%-interval;2017/2020;83.7;73.1;;;65.8
89;Totaal mannen en vrouwen;1 jaar;1014756;Bovengrens 95%-interval;2019/2022;83.8;73.1;;77.8;66.1
90;Totaal mannen en vrouwen;1 jaar;2021770;Waarde;2017/2020;76.1;49.1;59.9;60.7;44.4
91;Totaal mannen en vrouwen;1 jaar;2021770;Waarde;2019/2022;75.7;49.2;59.6;58.5;46.1
92;Totaal mannen en vrouwen;1 jaar;2021770;Ondergrens 95%-interval;2017/2020;76.1;48.1;;;43.4
93;Totaal mannen en vrouwen;1 jaar;2021770;Ondergrens 95%-interval;2019/2022;75.6;48.2;;57.5;45.0
94;Totaal mannen en vrouwen;1 jaar;2021770;Bovengrens 95%-interval;2017/2020;76.1;50.0;;;45.3
95;Totaal mannen en vrouwen;1 jaar;2021770;Bovengrens 95%-interval;2019/2022;75.7;50.2;;59.4;47.1
96;Totaal mannen en vrouwen;1 jaar;2021780;Waarde;2017/2020;80.0;58.3;67.6;70.2;53.1
97;Totaal mannen en vrouwen;1 jaar;2021780;Waarde;2019/2022;79.8;58.9;68.0;68.2;53.3
98;Totaal mannen en vrouwen;1 jaar;2021780;Ondergrens 95%-interval;2017/2020;80.0;57.5;;;52.2
99;Totaal mannen en vrouwen;1 jaar;2021780;Ondergrens 95%-interval;2019/2022;79.8;58.0;;67.4;52.4
100;Totaal mannen en vrouwen;1 jaar;2021780;Bovengrens 95%-interval;2017/2020;80.1;59.2;;;53.9
101;Totaal mannen en vrouwen;1 jaar;2021780;Bovengrens 95%-interval;2019/2022;79.8;59.7;;68.9;54.2
102;Totaal mannen en vrouwen;1 jaar;2021790;Waarde;2017/2020;82.0;65.1;72.3;74.8;58.5
103;Totaal mannen en vrouwen;1 jaar;2021790;Waarde;2019/2022;81.9;64.8;73.0;72.9;58.4
104;Totaal mannen en vrouwen;1 jaar;2021790;Ondergrens 95%-interval;2017/2020;82.0;64.4;;;57.7
105;Totaal mannen en vrouwen;1 jaar;2021790;Ondergrens 95%-interval;2019/2022;81.9;64.1;;72.2;57.6
106;Totaal mannen en vrouwen;1 jaar;2021790;Bovengrens 95%-interval;2017/2020;82.0;65.9;;;59.3
107;Totaal mannen en vrouwen;1 jaar;2021790;Bovengrens 95%-interval;2019/2022;81.9;65.6;;73.5;59.2
108;Totaal mannen en vrouwen;1 jaar;2021800;Waarde;2017/2020;83.2;68.3;75.2;77.0;61.6
109;Totaal mannen en vrouwen;1 jaar;2021800;Waarde;2019/2022;83.3;68.8;75.9;75.4;61.6
110;Totaal mannen en vrouwen;1 jaar;2021800;Ondergrens 95%-interval;2017/2020;83.2;67.6;;;60.8
111;Totaal mannen en vrouwen;1 jaar;2021800;Ondergrens 95%-interval;2019/2022;83.3;68.1;;74.9;60.8
112;Totaal mannen en vrouwen;1 jaar;2021800;Bovengrens 95%-interval;2017/2020;83.2;69.0;;;62.3
113;Totaal mannen en vrouwen;1 jaar;2021800;Bovengrens 95%-interval;2019/2022;83.3;69.4;;76.0;62.3
114;Totaal mannen en vrouwen;1 jaar;2021810;Waarde;2017/2020;84.2;72.9;78.5;78.8;65.3
115;Totaal mannen en vrouwen;1 jaar;2021810;Waarde;2019/2022;84.3;72.8;78.5;77.8;65.5
116;Totaal mannen en vrouwen;1 jaar;2021810;Ondergrens 95%-interval;2017/2020;84.1;72.3;;;64.5
117;Totaal mannen en vrouwen;1 jaar;2021810;Ondergrens 95%-interval;2019/2022;84.2;72.2;;77.3;64.7
118;Totaal mannen en vrouwen;1 jaar;2021810;Bovengrens 95%-interval;2017/2020;84.2;73.5;;;66.0
119;Totaal mannen en vrouwen;1 jaar;2021810;Bovengrens 95%-interval;2019/2022;84.3;73.4;;78.3;66.3
120;Totaal mannen en vrouwen;5 jaar;1014752;Waarde;2017/2020;72.6;46.7;57.5;57.9;46.7
121;Totaal mannen en vrouwen;5 jaar;1014752;Waarde;2019/2022;72.1;47.3;57.4;56.2;60.4
122;Totaal mannen en vrouwen;5 jaar;1014752;Ondergrens 95%-interval;2017/2020;72.5;45.8;;;45.8
123;Totaal mannen en vrouwen;5 jaar;1014752;Ondergrens 95%-interval;2019/2022;72.1;46.3;;55.3;59.1
124;Totaal mannen en vrouwen;5 jaar;1014752;Bovengrens 95%-interval;2017/2020;72.6;47.7;;;47.7
125;Totaal mannen en vrouwen;5 jaar;1014752;Bovengrens 95%-interval;2019/2022;72.2;48.3;;57.1;61.7
126;Totaal mannen en vrouwen;5 jaar;1014753;Waarde;2017/2020;76.5;55.1;63.8;66.7;49.2
127;Totaal mannen en vrouwen;5 jaar;1014753;Waarde;2019/2022;76.3;55.3;64.1;64.7;49.6
128;Totaal mannen en vrouwen;5 jaar;1014753;Ondergrens 95%-interval;2017/2020;76.5;54.3;;;48.3
129;Totaal mannen en vrouwen;5 jaar;1014753;Ondergrens 95%-interval;2019/2022;76.3;54.5;;63.9;48.7
130;Totaal mannen en vrouwen;5 jaar;1014753;Bovengrens 95%-interval;2017/2020;76.6;55.9;;;50.1
131;Totaal mannen en vrouwen;5 jaar;1014753;Bovengrens 95%-interval;2019/2022;76.4;56.2;;65.5;50.5
132;Totaal mannen en vrouwen;5 jaar;1014754;Waarde;2017/2020;78.2;61.7;68.8;71.0;54.8
133;Totaal mannen en vrouwen;5 jaar;1014754;Waarde;2019/2022;78.2;61.2;69.1;69.1;54.6
134;Totaal mannen en vrouwen;5 jaar;1014754;Ondergrens 95%-interval;2017/2020;78.2;60.9;;;54.0
135;Totaal mannen en vrouwen;5 jaar;1014754;Ondergrens 95%-interval;2019/2022;78.2;60.5;;68.5;53.8
136;Totaal mannen en vrouwen;5 jaar;1014754;Bovengrens 95%-interval;2017/2020;78.2;62.4;;;55.5
137;Totaal mannen en vrouwen;5 jaar;1014754;Bovengrens 95%-interval;2019/2022;78.2;62.0;;69.7;55.4
138;Totaal mannen en vrouwen;5 jaar;1014755;Waarde;2017/2020;79.3;64.6;72.1;72.6;57.7
139;Totaal mannen en vrouwen;5 jaar;1014755;Waarde;2019/2022;79.4;64.7;72.6;71.5;57.7
140;Totaal mannen en vrouwen;5 jaar;1014755;Ondergrens 95%-interval;2017/2020;79.3;63.9;;;57.0
141;Totaal mannen en vrouwen;5 jaar;1014755;Ondergrens 95%-interval;2019/2022;79.4;64.0;;71.0;57.0
142;Totaal mannen en vrouwen;5 jaar;1014755;Bovengrens 95%-interval;2017/2020;79.3;65.3;;;58.5
143;Totaal mannen en vrouwen;5 jaar;1014755;Bovengrens 95%-interval;2019/2022;79.4;65.4;;72.1;58.5
144;Totaal mannen en vrouwen;5 jaar;1014756;Waarde;2017/2020;79.8;68.6;74.0;74.7;61.2
145;Totaal mannen en vrouwen;5 jaar;1014756;Waarde;2019/2022;79.8;68.5;74.1;73.5;61.4
146;Totaal mannen en vrouwen;5 jaar;1014756;Ondergrens 95%-interval;2017/2020;79.7;67.9;;;60.5
147;Totaal mannen en vrouwen;5 jaar;1014756;Ondergrens 95%-interval;2019/2022;79.8;67.8;;73.0;60.6
148;Totaal mannen en vrouwen;5 jaar;1014756;Bovengrens 95%-interval;2017/2020;79.8;69.3;;;62.0
149;Totaal mannen en vrouwen;5 jaar;1014756;Bovengrens 95%-interval;2019/2022;79.8;69.2;;74.0;62.2
150;Totaal mannen en vrouwen;5 jaar;2021770;Waarde;2017/2020;72.2;45.4;55.9;56.8;40.6
151;Totaal mannen en vrouwen;5 jaar;2021770;Waarde;2019/2022;71.8;45.5;55.7;54.8;42.4
152;Totaal mannen en vrouwen;5 jaar;2021770;Ondergrens 95%-interval;2017/2020;72.2;44.4;;;39.7
153;Totaal mannen en vrouwen;5 jaar;2021770;Ondergrens 95%-interval;2019/2022;71.7;44.5;;53.9;41.4
154;Totaal mannen en vrouwen;5 jaar;2021770;Bovengrens 95%-interval;2017/2020;72.2;46.3;;;41.6
155;Totaal mannen en vrouwen;5 jaar;2021770;Bovengrens 95%-interval;2019/2022;71.8;46.5;;55.8;43.4
156;Totaal mannen en vrouwen;5 jaar;2021780;Waarde;2017/2020;76.1;54.6;63.6;66.3;49.2
157;Totaal mannen en vrouwen;5 jaar;2021780;Waarde;2019/2022;75.9;55.1;64.0;64.6;49.4
158;Totaal mannen en vrouwen;5 jaar;2021780;Ondergrens 95%-interval;2017/2020;76.1;53.8;;;48.4
159;Totaal mannen en vrouwen;5 jaar;2021780;Ondergrens 95%-interval;2019/2022;75.8;54.3;;63.8;48.5
160;Totaal mannen en vrouwen;5 jaar;2021780;Bovengrens 95%-interval;2017/2020;76.1;55.5;;;50.1
161;Totaal mannen en vrouwen;5 jaar;2021780;Bovengrens 95%-interval;2019/2022;75.9;55.9;;65.3;50.3
162;Totaal mannen en vrouwen;5 jaar;2021790;Waarde;2017/2020;78.1;61.3;68.3;70.9;54.7
163;Totaal mannen en vrouwen;5 jaar;2021790;Waarde;2019/2022;78.0;61.0;69.1;69.1;54.5
164;Totaal mannen en vrouwen;5 jaar;2021790;Ondergrens 95%-interval;2017/2020;78.1;60.6;;;53.9
165;Totaal mannen en vrouwen;5 jaar;2021790;Ondergrens 95%-interval;2019/2022;78.0;60.2;;68.5;53.7
166;Totaal mannen en vrouwen;5 jaar;2021790;Bovengrens 95%-interval;2017/2020;78.1;62.0;;;55.5
167;Totaal mannen en vrouwen;5 jaar;2021790;Bovengrens 95%-interval;2019/2022;78.0;61.7;;69.8;55.3
168;Totaal mannen en vrouwen;5 jaar;2021800;Waarde;2017/2020;79.3;64.6;71.2;73.1;57.8
169;Totaal mannen en vrouwen;5 jaar;2021800;Waarde;2019/2022;79.3;65.0;72.0;71.7;57.7
170;Totaal mannen en vrouwen;5 jaar;2021800;Ondergrens 95%-interval;2017/2020;79.2;63.9;;;57.0
171;Totaal mannen en vrouwen;5 jaar;2021800;Ondergrens 95%-interval;2019/2022;79.3;64.3;;71.1;57.0
172;Totaal mannen en vrouwen;5 jaar;2021800;Bovengrens 95%-interval;2017/2020;79.3;65.2;;;58.5
173;Totaal mannen en vrouwen;5 jaar;2021800;Bovengrens 95%-interval;2019/2022;79.3;65.6;;72.2;58.5
174;Totaal mannen en vrouwen;5 jaar;2021810;Waarde;2017/2020;80.2;69.0;74.5;74.9;61.4
175;Totaal mannen en vrouwen;5 jaar;2021810;Waarde;2019/2022;80.3;68.9;74.6;74.0;61.6
176;Totaal mannen en vrouwen;5 jaar;2021810;Ondergrens 95%-interval;2017/2020;80.2;68.4;;;60.7
177;Totaal mannen en vrouwen;5 jaar;2021810;Ondergrens 95%-interval;2019/2022;80.3;68.2;;73.4;60.8
178;Totaal mannen en vrouwen;5 jaar;2021810;Bovengrens 95%-interval;2017/2020;80.2;69.6;;;62.2
179;Totaal mannen en vrouwen;5 jaar;2021810;Bovengrens 95%-interval;2019/2022;80.3;69.5;;74.5;62.4
180;Totaal mannen en vrouwen;10 jaar;1014752;Waarde;2017/2020;67.6;42.1;52.5;52.9;42.1
181;Totaal mannen en vrouwen;10 jaar;1014752;Waarde;2019/2022;67.2;42.6;52.5;51.5;55.5
182;Totaal mannen en vrouwen;10 jaar;1014752;Ondergrens 95%-interval;2017/2020;67.6;41.1;;;41.1
183;Totaal mannen en vrouwen;10 jaar;1014752;Ondergrens 95%-interval;2019/2022;67.2;41.7;51.7;50.6;54.2
184;Totaal mannen en vrouwen;10 jaar;1014752;Bovengrens 95%-interval;2017/2020;67.6;43.0;;;43.0
185;Totaal mannen en vrouwen;10 jaar;1014752;Bovengrens 95%-interval;2019/2022;67.2;43.6;53.3;52.4;56.8
186;Totaal mannen en vrouwen;10 jaar;1014753;Waarde;2017/2020;71.6;50.3;58.8;61.7;44.7
187;Totaal mannen en vrouwen;10 jaar;1014753;Waarde;2019/2022;71.4;50.5;59.1;60.2;45.1
188;Totaal mannen en vrouwen;10 jaar;1014753;Ondergrens 95%-interval;2017/2020;71.5;49.5;;;43.8
189;Totaal mannen en vrouwen;10 jaar;1014753;Ondergrens 95%-interval;2019/2022;71.3;49.7;58.4;59.4;44.2
190;Totaal mannen en vrouwen;10 jaar;1014753;Bovengrens 95%-interval;2017/2020;71.6;51.1;;;45.6
191;Totaal mannen en vrouwen;10 jaar;1014753;Bovengrens 95%-interval;2019/2022;71.4;51.4;59.7;60.9;45.9
192;Totaal mannen en vrouwen;10 jaar;1014754;Waarde;2017/2020;73.3;56.8;63.8;66.0;50.2
193;Totaal mannen en vrouwen;10 jaar;1014754;Waarde;2019/2022;73.2;56.3;64.2;64.4;50.0
194;Totaal mannen en vrouwen;10 jaar;1014754;Ondergrens 95%-interval;2017/2020;73.2;56.1;;;49.4
195;Totaal mannen en vrouwen;10 jaar;1014754;Ondergrens 95%-interval;2019/2022;73.2;55.6;63.6;63.8;49.2
196;Totaal mannen en vrouwen;10 jaar;1014754;Bovengrens 95%-interval;2017/2020;73.3;57.6;;;51.0
197;Totaal mannen en vrouwen;10 jaar;1014754;Bovengrens 95%-interval;2019/2022;73.2;57.1;64.7;65.0;50.8
198;Totaal mannen en vrouwen;10 jaar;1014755;Waarde;2017/2020;74.3;59.8;67.1;67.6;53.1
199;Totaal mannen en vrouwen;10 jaar;1014755;Waarde;2019/2022;74.4;59.8;67.7;66.7;53.0
200;Totaal mannen en vrouwen;10 jaar;1014755;Ondergrens 95%-interval;2017/2020;74.3;59.1;;;52.4
201;Totaal mannen en vrouwen;10 jaar;1014755;Ondergrens 95%-interval;2019/2022;74.4;59.1;67.1;66.2;52.3
202;Totaal mannen en vrouwen;10 jaar;1014755;Bovengrens 95%-interval;2017/2020;74.3;60.4;;;53.9
203;Totaal mannen en vrouwen;10 jaar;1014755;Bovengrens 95%-interval;2019/2022;74.4;60.5;68.2;67.3;53.8
204;Totaal mannen en vrouwen;10 jaar;1014756;Waarde;2017/2020;74.8;63.7;69.0;69.8;56.5
205;Totaal mannen en vrouwen;10 jaar;1014756;Waarde;2019/2022;74.8;63.6;69.1;68.8;56.6
206;Totaal mannen en vrouwen;10 jaar;1014756;Ondergrens 95%-interval;2017/2020;74.8;63.0;;;55.7
207;Totaal mannen en vrouwen;10 jaar;1014756;Ondergrens 95%-interval;2019/2022;74.8;62.8;68.5;68.2;55.8
208;Totaal mannen en vrouwen;10 jaar;1014756;Bovengrens 95%-interval;2017/2020;74.8;64.4;;;57.3
209;Totaal mannen en vrouwen;10 jaar;1014756;Bovengrens 95%-interval;2019/2022;74.8;64.3;69.7;69.3;57.4
210;Totaal mannen en vrouwen;10 jaar;2021770;Waarde;2017/2020;67.2;40.7;51.0;51.8;36.3
211;Totaal mannen en vrouwen;10 jaar;2021770;Waarde;2019/2022;66.8;40.9;50.7;50.2;38.0
212;Totaal mannen en vrouwen;10 jaar;2021770;Ondergrens 95%-interval;2017/2020;67.2;39.8;;;35.3
213;Totaal mannen en vrouwen;10 jaar;2021770;Ondergrens 95%-interval;2019/2022;66.8;39.9;49.9;49.3;37.0
214;Totaal mannen en vrouwen;10 jaar;2021770;Bovengrens 95%-interval;2017/2020;67.2;41.7;;;37.3
215;Totaal mannen en vrouwen;10 jaar;2021770;Bovengrens 95%-interval;2019/2022;66.8;41.9;51.6;51.2;39.0
216;Totaal mannen en vrouwen;10 jaar;2021780;Waarde;2017/2020;71.1;49.8;58.7;61.3;44.8
217;Totaal mannen en vrouwen;10 jaar;2021780;Waarde;2019/2022;70.9;50.3;59.0;60.0;44.9
218;Totaal mannen en vrouwen;10 jaar;2021780;Ondergrens 95%-interval;2017/2020;71.1;49.0;;;44.0
219;Totaal mannen en vrouwen;10 jaar;2021780;Ondergrens 95%-interval;2019/2022;70.9;49.4;58.4;59.3;44.0
220;Totaal mannen en vrouwen;10 jaar;2021780;Bovengrens 95%-interval;2017/2020;71.2;50.6;;;45.6
221;Totaal mannen en vrouwen;10 jaar;2021780;Bovengrens 95%-interval;2019/2022;70.9;51.1;59.7;60.7;45.8
222;Totaal mannen en vrouwen;10 jaar;2021790;Waarde;2017/2020;73.1;56.5;63.4;65.9;50.1
223;Totaal mannen en vrouwen;10 jaar;2021790;Waarde;2019/2022;73.0;56.1;64.1;64.4;49.9
224;Totaal mannen en vrouwen;10 jaar;2021790;Ondergrens 95%-interval;2017/2020;73.1;55.8;;;49.3
225;Totaal mannen en vrouwen;10 jaar;2021790;Ondergrens 95%-interval;2019/2022;73.0;55.4;63.5;63.8;49.1
226;Totaal mannen en vrouwen;10 jaar;2021790;Bovengrens 95%-interval;2017/2020;73.1;57.2;;;50.9
227;Totaal mannen en vrouwen;10 jaar;2021790;Bovengrens 95%-interval;2019/2022;73.0;56.9;64.7;65.0;50.7
228;Totaal mannen en vrouwen;10 jaar;2021800;Waarde;2017/2020;74.3;59.7;66.2;68.1;53.0
229;Totaal mannen en vrouwen;10 jaar;2021800;Waarde;2019/2022;74.4;60.0;67.0;66.9;53.0
230;Totaal mannen en vrouwen;10 jaar;2021800;Ondergrens 95%-interval;2017/2020;74.3;59.0;;;52.3
231;Totaal mannen en vrouwen;10 jaar;2021800;Ondergrens 95%-interval;2019/2022;74.3;59.3;66.5;66.4;52.3
