ID;Geslacht;Leeftijd;Migratieachtergrond;Generatie;Perioden;BevolkingOpDeEersteVanDeMaand_1
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2018 april;17193102.0
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2018 mei;17198900.0
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2018 juni;17207980.0
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2018 juli;17213114.0
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2018 augustus;17217598.0
32;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2018 september;17238230.0
33;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2018 oktober;17259797.0
34;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2018 november;17271231.0
35;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2018 december;17280580.0
36;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2019 januari;17282163.0
37;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2019 februari;17290020.0
38;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2019 maart;17299343.0
39;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2019 april;17305699.0
40;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2019 mei;17313391.0
41;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2019 juni;17321990.0
42;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2019 juli;17327985.0
43;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2019 augustus;17335151.0
44;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2019 september;17359352.0
45;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2019 oktober;17385377.0
46;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2019 november;17399364.0
47;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2019 december;17407162.0
48;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2020 januari;17407585.0
49;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2020 februari;17413971.0
50;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2020 maart;17423863.0
51;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2020 april;17424257.0
52;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2020 mei;17419652.0
53;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2020 juni;17421805.0
54;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2020 juli;17425798.0
55;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2020 augustus;17430920.0
56;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2020 september;17444824.0
57;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2020 oktober;17465296.0
58;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2020 november;17472440.0
59;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2020 december;17476482.0
60;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2021 januari;17475415.0
61;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2021 februari;17476055.0
62;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2021 maart;17482364.0
63;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2021 april;17488669.0
64;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2021 mei;17494713.0
65;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2021 juni;17500964.0
66;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2021 juli;17507902.0
67;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2021 augustus;17515876.0
68;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2021 september;17537782.0
69;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2021 oktober;17568289.0
70;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2021 november;17582665.0
71;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2021 december;17591045.0
72;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2022 januari;17590672.0
73;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2022 februari;17597138.0
74;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2022 maart;17608511.0
75;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2022 april;17641242.0
76;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2022 mei;17674959.0
77;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2022 juni;17695767.0
78;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2022 juli;17709879.0
79;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2022 augustus;17719705.0
80;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2022 september;17749472.0
81;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2022 oktober;17781465.0
82;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2022 november;17796366.0
83;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2022 december;17809895.0
84;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2023 januari;17811291.0
85;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2023 februari;17817202.0
86;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2023 maart;17829796.0
87;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2023 april;17838716.0
88;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2023 mei;17846084.0
89;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2023 juni;17857134.0
90;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2023 juli;17866118.0
91;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2023 augustus;17872724.0
92;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2023 september;17897051.0
93;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2023 oktober;17922001.0
94;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2023 november;17938053.0
95;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2016 januari;13226829.0
96;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2016 februari;13224192.0
97;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2016 maart;13222367.0
98;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2016 april;13220584.0
99;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2016 mei;13219348.0
100;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2016 juni;13219343.0
101;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2016 juli;13220320.0
102;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2016 augustus;13221668.0
103;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2016 september;13223466.0
104;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2016 oktober;13224192.0
105;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2016 november;13223220.0
106;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2016 december;13221667.0
107;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2017 januari;13218754.0
108;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2017 februari;13214772.0
109;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2017 maart;13211858.0
110;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2017 april;13210398.0
111;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2017 mei;13209489.0
112;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2017 juni;13209075.0
113;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2017 juli;13209621.0
114;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2017 augustus;13211297.0
115;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2017 september;13212946.0
116;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2017 oktober;13213386.0
117;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2017 november;13213369.0
118;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2017 december;13212399.0
119;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2018 januari;13209225.0
120;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2018 februari;13206221.0
121;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2018 maart;13202352.0
122;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2018 april;13197427.0
123;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2018 mei;13196701.0
124;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2018 juni;13197180.0
125;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2018 juli;13197978.0
126;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2018 augustus;13199167.0
127;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2018 september;13200301.0
128;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2018 oktober;13201075.0
129;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2018 november;13200464.0
130;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2018 december;13199493.0
131;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2019 januari;13196025.0
132;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2019 februari;13193958.0
133;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2019 maart;13191706.0
134;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2019 april;13189300.0
135;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2019 mei;13188380.0
136;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2019 juni;13188058.0
137;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2019 juli;13188487.0
138;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2019 augustus;13190008.0
139;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2019 september;13191494.0
140;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2019 oktober;13192402.0
141;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2019 november;13191960.0
142;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2019 december;13190373.0
143;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2020 januari;13186880.0
144;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2020 februari;13184490.0
145;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2020 maart;13182538.0
146;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2020 april;13179107.0
147;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2020 mei;13173686.0
148;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2020 juni;13173731.0
149;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2020 juli;13174800.0
150;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2020 augustus;13177437.0
151;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2020 september;13178854.0
152;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2020 oktober;13180023.0
153;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2020 november;13178027.0
154;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2020 december;13174983.0
155;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2021 januari;13169507.0
156;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2021 februari;13164836.0
157;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2021 maart;13162806.0
158;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2021 april;13161925.0
159;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2021 mei;13160956.0
160;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2021 juni;13160644.0
161;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2021 juli;13161073.0
162;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2021 augustus;13162410.0
163;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2021 september;13163258.0
164;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2021 oktober;13163902.0
165;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2021 november;13162833.0
166;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2021 december;13158561.0
167;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2022 januari;13151772.0
168;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2022 februari;13148781.0
169;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2022 maart;13146113.0
170;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2022 april;13142068.0
171;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2022 mei;13138061.0
172;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2022 juni;13135785.0
173;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2022 juli;13134353.0
174;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2022 augustus;13132660.0
175;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2022 september;13131425.0
176;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2022 oktober;13130479.0
177;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2022 november;13127318.0
178;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2022 december;13123971.0
179;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2023 januari;13116429.0
180;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2023 februari;13110215.0
181;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2023 maart;13105930.0
182;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2023 april;13101014.0
183;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2023 mei;13097970.0
184;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2023 juni;13096262.0
185;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2023 juli;13094525.0
186;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2023 augustus;13093835.0
187;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2023 september;13092724.0
188;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2023 oktober;13090485.0
189;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Nederlandse achtergrond;2023 november;13087447.0
190;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2016 januari;3752291.0
191;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2016 februari;3759488.0
192;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2016 maart;3769643.0
193;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2016 april;3777333.0
194;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2016 mei;3784183.0
195;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2016 juni;3791948.0
196;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2016 juli;3797730.0
197;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2016 augustus;3801006.0
198;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2016 september;3819076.0
199;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2016 oktober;3838297.0
200;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2016 november;3848824.0
201;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2016 december;3858120.0
202;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2017 januari;3862753.0
203;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2017 februari;3869011.0
204;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2017 maart;3879598.0
205;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2017 april;3888437.0
206;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2017 mei;3895471.0
207;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2017 juni;3902514.0
208;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2017 juli;3907247.0
209;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2017 augustus;3909538.0
210;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2017 september;3927915.0
211;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2017 oktober;3948925.0
212;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2017 november;3959534.0
213;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2017 december;3968291.0
214;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2018 januari;3971859.0
215;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2018 februari;3979256.0
216;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2018 maart;3989954.0
217;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2018 april;3995675.0
218;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2018 mei;4002199.0
219;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2018 juni;4010800.0
220;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2018 juli;4015136.0
221;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2018 augustus;4018431.0
222;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2018 september;4037929.0
223;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2018 oktober;4058722.0
224;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2018 november;4070767.0
225;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2018 december;4081087.0
226;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2019 januari;4086138.0
227;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2019 februari;4096062.0
228;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2019 maart;4107637.0
229;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2019 april;4116399.0
230;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2019 mei;4125011.0
231;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2019 juni;4133932.0
232;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2019 juli;4139498.0
233;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2019 augustus;4145143.0
234;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2019 september;4167858.0
235;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2019 oktober;4192975.0
236;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2019 november;4207404.0
237;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2019 december;4216789.0
238;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2020 januari;4220705.0
239;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2020 februari;4229481.0
240;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2020 maart;4241325.0
241;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2020 april;4245150.0
242;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2020 mei;4245966.0
243;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2020 juni;4248074.0
244;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2020 juli;4250998.0
245;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2020 augustus;4253483.0
246;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2020 september;4265970.0
247;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2020 oktober;4285273.0
248;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2020 november;4294413.0
249;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2020 december;4301499.0
250;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2021 januari;4305908.0
251;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2021 februari;4311219.0
252;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2021 maart;4319558.0
253;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2021 april;4326744.0
254;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2021 mei;4333757.0
255;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2021 juni;4340320.0
256;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2021 juli;4346829.0
257;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2021 augustus;4353466.0
258;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2021 september;4374524.0
259;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2021 oktober;4404387.0
260;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2021 november;4419832.0
261;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2021 december;4432484.0
262;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2022 januari;4438900.0
263;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2022 februari;4448357.0
264;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2022 maart;4462398.0
265;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Met migratieachtergrond;2022 april;4499174.0
