ID;Persoonskenmerken;Perioden;DaklozeMensen_1;DaklozeMensenRelatief_2
96;Leeftijd: 50 tot 65 jaar;2014;5.8;22.0
97;Leeftijd: 50 tot 65 jaar;2015;6.2;20.0
98;Leeftijd: 50 tot 65 jaar;2016;5.0;16.0
99;Leeftijd: 50 tot 65 jaar;2017;5.6;16.0
100;Leeftijd: 50 tot 65 jaar;2018;7.4;19.0
101;Leeftijd: 50 tot 65 jaar;2019;;
102;Leeftijd: 50 tot 65 jaar;2020;7.2;20.0
103;Leeftijd: 50 tot 65 jaar;2021;6.6;21.0
104;Migratieachtergrond: Nederland;2009;9.6;54.0
105;Migratieachtergrond: Nederland;2010;11.5;49.0
106;Migratieachtergrond: Nederland;2011;11.6;48.0
107;Migratieachtergrond: Nederland;2012;13.5;50.0
108;Migratieachtergrond: Nederland;2013;11.7;47.0
109;Migratieachtergrond: Nederland;2014;13.2;49.0
110;Migratieachtergrond: Nederland;2015;15.2;49.0
111;Migratieachtergrond: Nederland;2016;12.7;42.0
112;Migratieachtergrond: Nederland;2017;15.0;43.0
113;Migratieachtergrond: Nederland;2018;16.9;43.0
114;Migratieachtergrond: Nederland;2019;;
115;Migratieachtergrond: Nederland;2020;14.6;40.0
116;Migratieachtergrond: Nederland;2021;12.1;38.0
117;Migratieachtergrond: met migratieacht...;2009;8.1;46.0
118;Migratieachtergrond: met migratieacht...;2010;11.9;51.0
119;Migratieachtergrond: met migratieacht...;2011;12.8;52.0
120;Migratieachtergrond: met migratieacht...;2012;13.7;50.0
121;Migratieachtergrond: met migratieacht...;2013;13.0;53.0
122;Migratieachtergrond: met migratieacht...;2014;13.8;51.0
123;Migratieachtergrond: met migratieacht...;2015;15.8;51.0
124;Migratieachtergrond: met migratieacht...;2016;17.8;58.0
125;Migratieachtergrond: met migratieacht...;2017;19.5;57.0
126;Migratieachtergrond: met migratieacht...;2018;22.4;57.0
127;Migratieachtergrond: met migratieacht...;2019;;
128;Migratieachtergrond: met migratieacht...;2020;21.8;60.0
129;Migratieachtergrond: met migratieacht...;2021;19.9;62.0
130;Migratieachtergrond: westers;2009;1.7;9.0
131;Migratieachtergrond: westers;2010;2.6;11.0
132;Migratieachtergrond: westers;2011;2.7;11.0
133;Migratieachtergrond: westers;2012;2.9;11.0
134;Migratieachtergrond: westers;2013;2.5;10.0
135;Migratieachtergrond: westers;2014;2.8;10.0
136;Migratieachtergrond: westers;2015;2.5;8.0
137;Migratieachtergrond: westers;2016;3.0;10.0
138;Migratieachtergrond: westers;2017;3.8;11.0
139;Migratieachtergrond: westers;2018;4.1;10.0
140;Migratieachtergrond: westers;2019;;
141;Migratieachtergrond: westers;2020;3.5;10.0
142;Migratieachtergrond: westers;2021;4.0;13.0
143;Migratieachtergrond: niet-westers;2009;6.5;36.0
144;Migratieachtergrond: niet-westers;2010;9.3;40.0
145;Migratieachtergrond: niet-westers;2011;10.0;41.0
146;Migratieachtergrond: niet-westers;2012;10.9;40.0
147;Migratieachtergrond: niet-westers;2013;10.6;43.0
148;Migratieachtergrond: niet-westers;2014;11.0;41.0
149;Migratieachtergrond: niet-westers;2015;13.2;43.0
150;Migratieachtergrond: niet-westers;2016;14.9;49.0
151;Migratieachtergrond: niet-westers;2017;15.7;46.0
152;Migratieachtergrond: niet-westers;2018;18.3;47.0
153;Migratieachtergrond: niet-westers;2019;;
154;Migratieachtergrond: niet-westers;2020;18.3;50.0
155;Migratieachtergrond: niet-westers;2021;15.9;50.0
156;Ingeschreven: in een van de G4;2009;6.5;37.0
157;Ingeschreven: in een van de G4;2010;9.5;40.0
158;Ingeschreven: in een van de G4;2011;9.7;40.0
159;Ingeschreven: in een van de G4;2012;12.4;45.0
160;Ingeschreven: in een van de G4;2013;9.8;40.0
161;Ingeschreven: in een van de G4;2014;10.4;39.0
162;Ingeschreven: in een van de G4;2015;12.6;41.0
163;Ingeschreven: in een van de G4;2016;13.0;43.0
164;Ingeschreven: in een van de G4;2017;12.6;37.0
165;Ingeschreven: in een van de G4;2018;14.6;37.0
166;Ingeschreven: in een van de G4;2019;;
167;Ingeschreven: in een van de G4;2020;13.1;36.0
168;Ingeschreven: in een van de G4;2021;11.7;37.0
169;Ingeschreven: in andere gemeente;2009;11.2;63.0
170;Ingeschreven: in andere gemeente;2010;13.9;60.0
171;Ingeschreven: in andere gemeente;2011;14.7;60.0
172;Ingeschreven: in andere gemeente;2012;14.9;55.0
173;Ingeschreven: in andere gemeente;2013;14.9;60.0
174;Ingeschreven: in andere gemeente;2014;16.5;61.0
175;Ingeschreven: in andere gemeente;2015;18.3;59.0
176;Ingeschreven: in andere gemeente;2016;17.5;57.0
177;Ingeschreven: in andere gemeente;2017;21.9;63.0
178;Ingeschreven: in andere gemeente;2018;24.7;63.0
179;Ingeschreven: in andere gemeente;2019;;
180;Ingeschreven: in andere gemeente;2020;23.3;64.0
181;Ingeschreven: in andere gemeente;2021;20.3;63.0
