ID;InstitutionalInvestors;Periods;TotalInvestments_1;DirectProperty_2;MortgageLoans_3;TotalEquityAndInvestmentFundShares_4;IndirectProperty_5;OtherEquityAndInvestmentFundShares_6;DebtSecurities_7;FinancialDerivatives_8;LongTermLoans_9;OtherInvestments_10;TotalInvestments_11;DirectProperty_12;MortgageLoans_13;TotalEquityAndInvestmentFundShares_14;IndirectProperty_15;OtherEquityAndInvestmentFundShares_16;DebtSecurities_17;FinancialDerivatives_18;LongTermLoans_19;OtherInvestments_20
29;Total institutional investors;2008 before revision;1043.9;48.5;34.8;361.2;50.4;310.9;421.7;45.5;38.8;93.4;100;4.6;3.3;34.6;4.8;29.8;40.4;4.4;3.7;8.9
30;Total institutional investors;2008 after revision;1218.6;51.6;;476.5;50.4;426.1;466.9;46.1;90.5;87.0;100;4.2;;39.1;4.1;35.0;38.3;3.8;7.4;7.1
31;Total institutional investors;2009 1st quarter;1174.8;52.1;;458.3;;;478.1;31.4;91.1;63.7;100;4.4;;39.0;;;40.7;2.7;7.8;5.4
32;Total institutional investors;2009 2nd quarter;1296.8;50.9;;572.0;;;483.2;19.4;92.1;79.2;100;3.9;;44.1;;;37.3;1.5;7.1;6.1
33;Total institutional investors;2009 3rd quarter;1479.5;49.8;;728.8;;;497.0;22.4;92.1;89.3;100;3.4;;49.3;;;33.6;1.5;6.2;6.0
34;Total institutional investors;2009 4th quarter;1517.9;49.5;;778.1;71.9;706.2;494.1;11.4;89.6;95.2;100;3.3;;51.3;4.7;46.5;32.6;0.8;5.9;6.3
35;Total institutional investors;2009;1517.9;49.5;;778.1;71.9;706.2;494.1;11.4;89.6;95.2;100;3.3;;51.3;4.7;46.5;32.6;0.8;5.9;6.3
36;Total institutional investors;2010 1st quarter;1599.4;49.0;;851.2;;;503.2;17.7;91.5;86.8;100;3.1;;53.2;;;31.5;1.1;5.7;5.4
37;Total institutional investors;2010 2nd quarter;1587.2;48.6;;824.2;;;508.8;27.9;91.9;85.9;100;3.1;;51.9;;;32.1;1.8;5.8;5.4
38;Total institutional investors;2010 3rd quarter;1666.9;48.7;;846.9;;;522.9;58.1;94.3;96.0;100;2.9;;50.8;;;31.4;3.5;5.7;5.8
39;Total institutional investors;2010 4th quarter;1629.8;48.0;;883.1;93.6;789.5;503.4;16.5;94.3;84.5;100;2.9;;54.2;5.7;48.4;30.9;1.0;5.8;5.2
40;Total institutional investors;2010;1629.8;48.0;;883.1;93.6;789.5;503.4;16.5;94.3;84.5;100;2.9;;54.2;5.7;48.4;30.9;1.0;5.8;5.2
41;Total institutional investors;2011 1st quarter;1650.3;48.8;;889.6;;;508.5;15.7;96.0;91.8;100;3.0;;53.9;;;30.8;0.9;5.8;5.6
42;Total institutional investors;2011 2nd quarter;1660.5;48.4;;899.9;;;516.2;9.8;97.6;88.6;100;2.9;;54.2;;;31.1;0.6;5.9;5.3
43;Total institutional investors;2011 3rd quarter;1695.5;48.9;;875.1;;;535.5;43.6;91.6;100.8;100;2.9;;51.6;;;31.6;2.6;5.4;5.9
44;Total institutional investors;2011 4th quarter;1740.9;47.4;;913.1;108.5;804.6;547.6;57.8;91.0;84.0;100;2.7;;52.5;6.2;46.2;31.5;3.3;5.2;4.8
45;Total institutional investors;2011;1740.9;47.4;;913.1;108.5;804.6;547.6;57.8;91.0;84.0;100;2.7;;52.5;6.2;46.2;31.5;3.3;5.2;4.8
46;Total institutional investors;2012 1st quarter;1832.0;47.3;;976.6;;;565.0;61.8;94.7;86.7;100;2.6;;53.3;;;30.8;3.4;5.2;4.7
47;Total institutional investors;2012 2nd quarter;1862.8;47.1;;984.6;;;581.6;67.6;95.2;86.8;100;2.5;;52.9;;;31.2;3.6;5.1;4.7
48;Total institutional investors;2012 3rd quarter;1931.4;46.7;;1027.5;;;606.9;66.7;96.7;86.9;100;2.4;;53.2;;;31.4;3.5;5.0;4.5
49;Total institutional investors;2012 4th quarter;1979.1;45.9;;1044.0;120.5;923.6;633.0;68.8;98.1;89.3;100;2.3;;52.8;6.1;46.7;32.0;3.5;5.0;4.5
50;Total institutional investors;2012;1979.1;45.9;;1044.0;120.5;923.6;633.0;68.8;98.1;89.3;100;2.3;;52.8;6.1;46.7;32.0;3.5;5.0;4.5
51;Total institutional investors;2013 1st quarter;2025.3;46.3;;1106.3;;;631.3;52.2;98.6;90.6;100;2.3;;54.6;;;31.2;2.6;4.9;4.5
52;Total institutional investors;2013 2nd quarter;1973.8;45.4;;1073.3;;;627.6;42.4;100.5;84.6;100;2.3;;54.4;;;31.8;2.1;5.1;4.3
53;Total institutional investors;2013 3rd quarter;2004.3;44.5;;1105.1;;;629.1;38.6;102.6;84.4;100;2.2;;55.1;;;31.4;1.9;5.1;4.2
54;Total institutional investors;2013 4th quarter;2028.1;43.6;;1137.7;120.3;1017.4;633.6;31.0;106.8;75.4;100;2.1;;56.1;5.9;50.2;31.2;1.5;5.3;3.7
55;Total institutional investors;2013;2028.1;43.6;;1137.7;120.3;1017.4;633.6;31.0;106.8;75.4;100;2.1;;56.1;5.9;50.2;31.2;1.5;5.3;3.7
56;Total institutional investors;2014 1st quarter;2116.4;43.5;;1180.2;;;659.2;43.4;108.4;81.8;100;2.1;;55.8;;;31.1;2.0;5.1;3.9
57;Total institutional investors;2014 2nd quarter;2222.5;43.0;;1242.7;;;686.9;56.2;111.8;81.8;100;1.9;;55.9;;;30.9;2.5;5.0;3.7
58;Total institutional investors;2014 3rd quarter;2325.8;42.4;;1309.5;;;719.0;54.3;113.9;86.8;100;1.8;;56.3;;;30.9;2.3;4.9;3.7
59;Total institutional investors;2014 4th quarter;2408.3;41.2;;1342.5;153.4;1189.1;740.8;78.1;116.9;88.7;100;1.7;;55.7;6.4;49.4;30.8;3.2;4.9;3.7
60;Total institutional investors;2014;2408.3;41.2;;1342.5;153.4;1189.1;740.8;78.1;116.9;88.7;100;1.7;;55.7;6.4;49.4;30.8;3.2;4.9;3.7
61;Total institutional investors;2015 1st quarter;2638.0;41.1;;1462.6;;;801.7;106.0;117.5;109.2;100;1.6;;55.4;;;30.4;4.0;4.5;4.1
62;Total institutional investors;2015 2nd quarter;2451.8;41.8;;1390.4;;;756.9;53.1;118.9;90.7;100;1.7;;56.7;;;30.9;2.2;4.8;3.7
63;Total institutional investors;2015 3rd quarter;2390.0;43.2;;1316.7;;;759.8;60.8;122.7;86.8;100;1.8;;55.1;;;31.8;2.5;5.1;3.6
64;Total institutional investors;2015 4th quarter;2426.1;42.7;;1364.5;170.1;1194.4;760.5;51.4;127.9;79.2;100;1.8;;56.2;7.0;49.2;31.3;2.1;5.3;3.3
65;Total institutional investors;2015;2426.1;42.7;;1364.5;170.1;1194.4;760.5;51.4;127.9;79.2;100;1.8;;56.2;7.0;49.2;31.3;2.1;5.3;3.3
66;Total institutional investors;2016 1st quarter;2516.7;41.5;;1359.4;;;794.9;98.9;132.7;89.4;100;1.7;;54.0;;;31.6;3.9;5.3;3.6
67;Total institutional investors;2016 2nd quarter;2607.9;43.4;;1413.1;;;822.8;93.8;133.8;101.0;100;1.7;;54.2;;;31.5;3.6;5.1;3.9
68;Total institutional investors;2016 3rd quarter;2671.6;43.6;;1464.2;;;819.1;102.5;138.6;103.7;100;1.6;;54.8;;;30.7;3.8;5.2;3.9
69;Total institutional investors;2016 4th quarter;2619.6;44.9;;1503.2;183.3;1319.9;791.6;52.4;141.0;86.5;100;1.7;;57.4;7.0;50.4;30.2;2.0;5.4;3.3
70;Total institutional investors;2016;2619.6;44.9;;1503.2;183.3;1319.9;791.6;52.4;141.0;86.5;100;1.7;;57.4;7.0;50.4;30.2;2.0;5.4;3.3
71;Total institutional investors;2017 1st quarter;2639.9;46.1;;1525.6;;;781.2;49.6;142.6;94.8;100;1.7;;57.8;;;29.6;1.9;5.4;3.6
72;Total institutional investors;2017 2nd quarter;2644.6;46.8;;1521.2;;;786.0;52.3;146.7;91.5;100;1.8;;57.5;;;29.7;2.0;5.5;3.5
73;Total institutional investors;2017 3rd quarter;2673.5;47.8;;1556.6;;;790.2;38.0;149.0;92.0;100;1.8;;58.2;;;29.6;1.4;5.6;3.4
74;Total institutional investors;2017 4th quarter;2735.5;48.9;;1584.5;;;792.1;48.5;150.5;111.0;100;1.8;;57.9;;;29.0;1.8;5.5;4.1
75;Total institutional investors;2017;2735.5;48.9;;1584.5;;;792.1;48.5;150.5;111.0;100;1.8;;57.9;;;29.0;1.8;5.5;4.1
76;Pension funds;1996;295.6;20.4;12.0;95.1;6.9;88.2;88.0;0.3;72.3;7.5;100;6.9;4.0;32.2;2.3;29.8;29.8;0.1;24.4;2.5
77;Pension funds;1997;339.8;20.9;12.2;124.9;10.1;114.8;108.0;0.5;66.3;7.1;100;6.1;3.6;36.8;3.0;33.8;31.8;0.1;19.5;2.1
78;Pension funds;1998;383.8;22.1;13.0;153.0;12.5;140.5;128.7;0.6;59.2;7.1;100;5.8;3.4;39.9;3.3;36.6;33.5;0.2;15.4;1.9
79;Pension funds;1999;450.3;23.5;13.2;223.5;17.2;206.3;136.4;0.9;46.3;6.6;100;5.2;2.9;49.6;3.8;45.8;30.3;0.2;10.3;1.5
80;Pension funds;2000;461.8;23.3;14.0;222.5;23.9;198.6;157.9;1.3;34.5;8.2;100;5.1;3.0;48.2;5.2;43.0;34.2;0.3;7.5;1.8
81;Pension funds;2001;458.2;26.0;14.9;221.2;24.4;196.8;159.1;1.8;28.0;7.2;100;5.7;3.3;48.3;5.3;43.0;34.7;0.4;6.1;1.6
82;Pension funds;2002;436.6;23.4;16.0;179.2;22.9;156.3;178.2;4.3;21.7;13.8;100;5.4;3.7;41.0;5.2;35.8;40.8;1.0;5.0;3.2
83;Pension funds;2003;488.3;22.9;15.0;221.7;26.0;195.7;190.2;8.5;17.7;12.3;100;4.7;3.1;45.4;5.3;40.1;39.0;1.7;3.6;2.5
84;Pension funds;2004;547.1;23.1;14.5;254.6;31.1;223.6;219.4;10.5;11.5;13.5;100;4.2;2.6;46.5;5.7;40.9;40.1;1.9;2.1;2.5
85;Pension funds;2005 1st quarter;565.1;23.3;14.3;269.7;;;226.3;3.9;11.0;16.7;100;4.1;2.5;47.7;;;40.0;0.7;1.9;3.0
86;Pension funds;2005 2nd quarter;597.9;23.4;13.0;292.7;;;240.8;1.1;11.2;15.7;100;3.9;2.2;49.0;;;40.3;0.2;1.9;2.6
87;Pension funds;2005 3rd quarter;619.8;22.8;12.8;308.8;;;244.5;3.9;11.0;15.9;100;3.7;2.1;49.8;;;39.4;0.6;1.8;2.6
88;Pension funds;2005 4th quarter;635.9;22.9;12.6;317.9;40.0;277.9;252.6;2.4;10.3;17.2;100;3.6;2.0;50.0;6.3;43.7;39.7;0.4;1.6;2.7
89;Pension funds;2005;635.9;22.9;12.6;317.9;40.0;277.9;252.6;2.4;10.3;17.2;100;3.6;2.0;50.0;6.3;43.7;39.7;0.4;1.6;2.7
90;Pension funds;2006 1st quarter;670.6;21.8;13.0;333.0;;;258.5;1.4;12.6;30.3;100;3.3;1.9;49.7;;;38.5;0.2;1.9;4.5
91;Pension funds;2006 2nd quarter;654.4;21.6;12.3;310.4;;;263.7;0.2;11.8;34.5;100;3.3;1.9;47.4;;;40.3;0.0;1.8;5.3
92;Pension funds;2006 3rd quarter;690.5;21.1;12.3;330.2;;;278.0;1.0;11.7;36.1;100;3.1;1.8;47.8;;;40.3;0.1;1.7;5.2
93;Pension funds;2006 4th quarter;710.0;19.8;12.5;348.2;54.0;294.2;277.5;6.1;8.7;37.2;100;2.8;1.8;49.0;7.6;41.4;39.1;0.9;1.2;5.2
94;Pension funds;2006;710.0;19.8;12.5;348.2;54.0;294.2;277.5;6.1;8.7;37.2;100;2.8;1.8;49.0;7.6;41.4;39.1;0.9;1.2;5.2
95;Pension funds;2007 1st quarter;719.6;19.9;13.4;355.1;;;280.9;3.8;9.9;36.6;100;2.8;1.9;49.3;;;39.0;0.5;1.4;5.1
96;Pension funds;2007 2nd quarter;719.9;19.6;13.7;366.7;;;277.8;-2.4;9.5;35.0;100;2.7;1.9;50.9;;;38.6;-0.3;1.3;4.9
97;Pension funds;2007 3rd quarter;730.5;20.3;14.3;367.2;;;277.6;4.6;8.4;38.1;100;2.8;2.0;50.3;;;38.0;0.6;1.1;5.2
98;Pension funds;2007 4th quarter;720.0;19.2;14.7;359.2;52.6;306.6;280.4;0.0;8.9;37.8;100;2.7;2.0;49.9;7.3;42.6;38.9;0.0;1.2;5.3
99;Pension funds;2007;720.0;19.2;14.7;359.2;52.6;306.6;280.4;0.0;8.9;37.8;100;2.7;2.0;49.9;7.3;42.6;38.9;0.0;1.2;5.3
100;Pension funds;2008 1st quarter;703.1;18.8;14.3;326.2;;;264.2;13.0;11.8;54.8;100;2.7;2.0;46.4;;;37.6;1.8;1.7;7.8
101;Pension funds;2008 2nd quarter;673.7;18.1;13.6;328.4;;;263.8;1.6;7.7;40.7;100;2.7;2.0;48.7;;;39.1;0.2;1.1;6.0
102;Pension funds;2008 3rd quarter;651.9;17.5;13.7;303.9;;;283.4;-3.8;7.3;29.9;100;2.7;2.1;46.6;;;43.5;-0.6;1.1;4.6
103;Pension funds;2008 4th quarter before revision;622.8;17.0;13.2;239.6;45.2;194.3;257.6;35.7;7.8;51.8;100;2.7;2.1;38.5;7.3;31.2;41.4;5.7;1.3;8.3
104;Pension funds;2008 4th quarter after revision;695.1;16.4;;319.1;45.2;273.9;251.0;35.8;24.2;48.7;100;2.4;;45.9;6.5;39.4;36.1;5.1;3.5;7.0
105;Pension funds;2008 before revision;622.8;17.0;13.2;239.6;45.2;194.3;257.6;35.7;7.8;51.8;100;2.7;2.1;38.5;7.3;31.2;41.4;5.7;1.3;8.3
106;Pension funds;2008 after revision;695.1;16.4;;319.1;45.2;273.9;251.0;35.8;24.2;48.7;100;2.4;;45.9;6.5;39.4;36.1;5.1;3.5;7.0
107;Pension funds;2009 1st quarter;667.4;16.7;;309.6;;;266.2;24.3;23.3;27.4;100;2.5;;46.4;;;39.9;3.6;3.5;4.1
108;Pension funds;2009 2nd quarter;679.9;16.1;;405.2;;;194.4;15.3;22.5;26.5;100;2.4;;59.6;;;28.6;2.3;3.3;3.9
109;Pension funds;2009 3rd quarter;714.8;15.5;;456.1;;;179.1;16.9;22.3;25.0;100;2.2;;63.8;;;25.1;2.4;3.1;3.5
110;Pension funds;2009 4th quarter;729.5;15.8;;482.0;49.2;432.7;175.7;8.1;21.5;26.5;100;2.2;;66.1;6.8;59.3;24.1;1.1;2.9;3.6
111;Pension funds;2009;729.5;15.8;;482.0;49.2;432.7;175.7;8.1;21.5;26.5;100;2.2;;66.1;6.8;59.3;24.1;1.1;2.9;3.6
112;Pension funds;2010 1st quarter;757.7;11.2;;515.6;;;173.9;12.8;21.5;22.7;100;1.5;;68.0;;;23.0;1.7;2.8;3.0
113;Pension funds;2010 2nd quarter;758.4;11.0;;504.9;;;179.2;19.4;21.5;22.4;100;1.5;;66.6;;;23.6;2.6;2.8;2.9
114;Pension funds;2010 3rd quarter;808.7;10.8;;516.9;;;183.3;44.4;21.3;32.1;100;1.3;;63.9;;;22.7;5.5;2.6;4.0
115;Pension funds;2010 4th quarter;777.4;9.5;;527.7;64.8;462.9;176.4;11.1;20.7;32.1;100;1.2;;67.9;8.3;59.5;22.7;1.4;2.7;4.1
116;Pension funds;2010;777.4;9.5;;527.7;64.8;462.9;176.4;11.1;20.7;32.1;100;1.2;;67.9;8.3;59.5;22.7;1.4;2.7;4.1
117;Pension funds;2011 1st quarter;781.6;9.6;;531.8;;;180.5;11.3;20.3;28.2;100;1.2;;68.0;;;23.1;1.4;2.6;3.6
118;Pension funds;2011 2nd quarter;783.9;9.5;;540.1;;;183.0;6.5;19.4;25.5;100;1.2;;68.9;;;23.3;0.8;2.5;3.2
119;Pension funds;2011 3rd quarter;806.5;9.4;;533.8;;;190.5;33.1;18.1;21.7;100;1.2;;66.2;;;23.6;4.1;2.2;2.7
120;Pension funds;2011 4th quarter;848.1;9.3;;552.4;68.6;483.8;200.5;44.4;18.1;23.5;100;1.1;;65.1;8.1;57.0;23.6;5.2;2.1;2.8
121;Pension funds;2011;848.1;9.3;;552.4;68.6;483.8;200.5;44.4;18.1;23.5;100;1.1;;65.1;8.1;57.0;23.6;5.2;2.1;2.8
122;Pension funds;2012 1st quarter;898.0;9.2;;595.0;;;205.2;48.5;18.0;22.2;100;1.0;;66.3;;;22.9;5.4;2.0;2.5
123;Pension funds;2012 2nd quarter;917.0;9.1;;602.4;;;215.4;50.9;17.8;21.3;100;1.0;;65.7;;;23.5;5.5;1.9;2.3
124;Pension funds;2012 3rd quarter;954.3;8.9;;630.1;;;224.5;50.6;17.8;22.4;100;0.9;;66.0;;;23.5;5.3;1.9;2.4
125;Pension funds;2012 4th quarter;984.5;8.8;;641.5;73.4;568.2;234.4;53.6;17.6;28.7;100;0.9;;65.2;7.5;57.7;23.8;5.4;1.8;2.9
126;Pension funds;2012;984.5;8.8;;641.5;73.4;568.2;234.4;53.6;17.6;28.7;100;0.9;;65.2;7.5;57.7;23.8;5.4;1.8;2.9
127;Pension funds;2013 1st quarter;1007.4;8.7;;678.9;;;235.7;40.5;17.4;26.2;100;0.9;;67.4;;;23.4;4.0;1.7;2.6
128;Pension funds;2013 2nd quarter;976.4;8.8;;661.4;;;234.8;31.8;17.0;22.7;100;0.9;;67.7;;;24.0;3.3;1.7;2.3
129;Pension funds;2013 3rd quarter;985.6;8.8;;673.3;;;237.6;29.1;16.3;20.6;100;0.9;;68.3;;;24.1;3.0;1.7;2.1
130;Pension funds;2013 4th quarter;1000.6;8.5;;688.9;74.3;614.6;242.2;24.1;15.7;21.2;100;0.9;;68.9;7.4;61.4;24.2;2.4;1.6;2.1
131;Pension funds;2013;1000.6;8.5;;688.9;74.3;614.6;242.2;24.1;15.7;21.2;100;0.9;;68.9;7.4;61.4;24.2;2.4;1.6;2.1
132;Pension funds;2014 1st quarter;1057.7;8.5;;715.2;;;262.8;34.2;15.4;21.5;100;0.8;;67.6;;;24.8;3.2;1.5;2.0
133;Pension funds;2014 2nd quarter;1121.1;8.3;;756.8;;;273.7;43.4;15.2;23.7;100;0.7;;67.5;;;24.4;3.9;1.4;2.1
134;Pension funds;2014 3rd quarter;1165.4;8.2;;794.1;;;287.4;41.1;15.0;19.5;100;0.7;;68.1;;;24.7;3.5;1.3;1.7
135;Pension funds;2014 4th quarter;1221.4;7.7;;805.0;92.2;712.8;303.0;61.7;15.5;28.5;100;0.6;;65.9;7.6;58.4;24.8;5.0;1.3;2.3
136;Pension funds;2014;1221.4;7.7;;805.0;92.2;712.8;303.0;61.7;15.5;28.5;100;0.6;;65.9;7.6;58.4;24.8;5.0;1.3;2.3
137;Pension funds;2015 1st quarter;1351.0;7.8;;886.0;;;330.8;78.4;15.2;32.8;100;0.6;;65.6;;;24.5;5.8;1.1;2.4
138;Pension funds;2015 2nd quarter;1248.2;7.6;;848.4;;;315.3;42.3;15.3;19.3;100;0.6;;68.0;;;25.3;3.4;1.2;1.5
139;Pension funds;2015 3rd quarter;1222.2;7.6;;811.0;;;316.3;47.3;15.3;24.7;100;0.6;;66.4;;;25.9;3.9;1.3;2.0
140;Pension funds;2015 4th quarter;1239.5;7.5;;836.8;102.3;734.5;318.3;40.6;15.5;20.9;100;0.6;;67.5;8.3;59.3;25.7;3.3;1.2;1.7
141;Pension funds;2015;1239.5;7.5;;836.8;102.3;734.5;318.3;40.6;15.5;20.9;100;0.6;;67.5;8.3;59.3;25.7;3.3;1.2;1.7
142;Pension funds;2016 1st quarter;1309.4;7.3;;842.6;;;335.7;78.9;15.2;29.6;100;0.6;;64.4;;;25.6;6.0;1.2;2.3
143;Pension funds;2016 2nd quarter;1352.2;7.4;;875.4;;;351.9;72.1;15.7;29.9;100;0.5;;64.7;;;26.0;5.3;1.2;2.2
144;Pension funds;2016 3rd quarter;1391.7;7.3;;905.0;;;351.4;80.1;15.9;31.9;100;0.5;;65.0;;;25.2;5.8;1.1;2.3
145;Pension funds;2016 4th quarter;1356.4;8.0;;928.9;109.9;819.0;340.0;42.0;16.0;21.5;100;0.6;;68.5;8.1;60.4;25.1;3.1;1.2;1.6
146;Pension funds;2016;1356.4;8.0;;928.9;109.9;819.0;340.0;42.0;16.0;21.5;100;0.6;;68.5;8.1;60.4;25.1;3.1;1.2;1.6
147;Pension funds;2017 1st quarter;1376.0;8.0;;944.7;;;341.8;40.6;15.8;25.1;100;0.6;;68.7;;;24.8;2.9;1.2;1.8
148;Pension funds;2017 2nd quarter;1375.8;8.0;;934.6;;;349.6;44.0;15.9;23.7;100;0.6;;67.9;;;25.4;3.2;1.2;1.7
149;Pension funds;2017 3rd quarter;1383.1;7.9;;951.3;;;353.7;32.5;15.6;22.1;100;0.6;;68.8;;;25.6;2.4;1.1;1.6
150;Pension funds;2017 4th quarter;1442.8;8.0;;955.0;;;385.4;39.9;15.4;39.1;100;0.6;;66.2;;;26.7;2.8;1.1;2.7
151;Pension funds;2017;1442.8;8.0;;955.0;;;385.4;39.9;15.4;39.1;100;0.6;;66.2;;;26.7;2.8;1.1;2.7
152;Insurance corporations;1996;182.5;8.8;20.9;35.4;0.7;34.7;52.9;0.0;51.7;12.8;100;4.8;11.4;19.4;0.4;19.0;29.0;0.0;28.3;7.0
153;Insurance corporations;1997;207.6;9.6;21.9;48.0;0.8;47.2;66.0;0.0;49.3;12.8;100;4.6;10.5;23.1;0.4;22.8;31.8;0.0;23.8;6.1
154;Insurance corporations;1998;236.8;10.4;25.1;63.9;0.9;63.0;75.1;0.1;49.4;12.8;100;4.4;10.6;27.0;0.4;26.6;31.7;0.0;20.8;5.4
155;Insurance corporations;1999;258.6;11.3;27.8;80.7;1.3;79.5;75.8;0.1;48.0;14.9;100;4.4;10.8;31.2;0.5;30.7;29.3;0.0;18.5;5.8
156;Insurance corporations;2000;266.3;13.6;30.9;80.5;2.1;78.4;78.1;0.1;43.5;19.6;100;5.1;11.6;30.2;0.8;29.4;29.3;0.0;16.3;7.4
