ID;CostToAcquireAndOwn;Periods;PriceIndex_1;ChangesComparedToThePreviousPeriod_2;ChangesComparedToThePreviousYear_3
205;Acquisition of new dwellings;2021 1st quarter;104.9;3.2;8.5
206;Acquisition of new dwellings;2021 2nd quarter;108.6;3.5;9.1
207;Acquisition of new dwellings;2021 3rd quarter;110.5;1.7;8.2
208;Acquisition of new dwellings;2021 4th quarter;113.6;2.8;11.8
209;Acquisition of new dwellings;2021;109.4;9.4;9.4
210;Acquisition of new dwellings;2022 1st quarter;117.4;3.3;11.8
211;Acquisition of new dwellings;2022 2nd quarter;122.6;4.4;12.8
212;Acquisition of new dwellings;2022 3rd quarter;125.4;2.3;13.5
213;Acquisition of new dwellings;2022 4th quarter;126.0;0.5;10.9
214;Acquisition of new dwellings;2022;122.9;12.3;12.3
215;Acquisition of new dwellings;2023 1st quarter;127.8;1.4;8.9
216;Acquisition of new dwellings;2023 2nd quarter;129.5;1.4;5.7
217;Acquisition of new dwellings;2023 3rd quarter;129.8;0.2;3.5
218;Acquisition of new dwellings;2023 4th quarter;131.1;1.0;4.0
219;Acquisition of new dwellings;2023;129.6;5.5;5.5
220;Acquisition of new dwellings;2024 1st quarter;130.4;-0.5;2.0
221;Acquisition of new dwellings;2024 2nd quarter;130.7;0.2;0.9
222;Acquisition of new dwellings;2024 3rd quarter;133.7;2.3;3.0
223;Acquisition of new dwellings;2024 4th quarter;135.3;1.3;3.3
224;Acquisition of new dwellings;2024;132.5;2.3;2.3
225;Purchase of new dwellings;2010 1st quarter;72.9;;
226;Purchase of new dwellings;2010 2nd quarter;71.9;-1.3;
227;Purchase of new dwellings;2010 3rd quarter;72.0;0.1;
228;Purchase of new dwellings;2010 4th quarter;73.4;2.0;
229;Purchase of new dwellings;2010;72.6;;
230;Purchase of new dwellings;2011 1st quarter;75.2;2.4;3.2
231;Purchase of new dwellings;2011 2nd quarter;71.8;-4.5;-0.1
232;Purchase of new dwellings;2011 3rd quarter;72.2;0.5;0.3
233;Purchase of new dwellings;2011 4th quarter;70.9;-1.8;-3.5
234;Purchase of new dwellings;2011;72.5;0.0;0.0
235;Purchase of new dwellings;2012 1st quarter;66.8;-5.8;-11.2
236;Purchase of new dwellings;2012 2nd quarter;66.7;-0.1;-7.1
237;Purchase of new dwellings;2012 3rd quarter;64.4;-3.5;-10.8
238;Purchase of new dwellings;2012 4th quarter;69.0;7.2;-2.6
239;Purchase of new dwellings;2012;66.7;-8.0;-8.0
240;Purchase of new dwellings;2013 1st quarter;64.8;-6.1;-3.0
241;Purchase of new dwellings;2013 2nd quarter;63.3;-2.2;-5.1
242;Purchase of new dwellings;2013 3rd quarter;65.0;2.7;1.1
243;Purchase of new dwellings;2013 4th quarter;65.0;-0.1;-5.9
244;Purchase of new dwellings;2013;64.5;-3.3;-3.3
245;Purchase of new dwellings;2014 1st quarter;65.1;0.1;0.4
246;Purchase of new dwellings;2014 2nd quarter;64.4;-1.0;1.7
247;Purchase of new dwellings;2014 3rd quarter;63.2;-1.9;-2.8
248;Purchase of new dwellings;2014 4th quarter;65.5;3.6;0.9
249;Purchase of new dwellings;2014;64.6;0.0;0.0
250;Purchase of new dwellings;2015 1st quarter;67.0;2.3;3.0
251;Purchase of new dwellings;2015 2nd quarter;68.0;1.5;5.6
252;Purchase of new dwellings;2015 3rd quarter;70.3;3.4;11.2
253;Purchase of new dwellings;2015 4th quarter;69.8;-0.7;6.5
254;Purchase of new dwellings;2015;68.8;6.5;6.5
255;Purchase of new dwellings;2016 1st quarter;69.5;-0.5;3.7
256;Purchase of new dwellings;2016 2nd quarter;71.0;2.2;4.3
257;Purchase of new dwellings;2016 3rd quarter;72.1;1.6;2.5
258;Purchase of new dwellings;2016 4th quarter;73.7;2.3;5.6
259;Purchase of new dwellings;2016;71.6;4.1;4.1
260;Purchase of new dwellings;2017 1st quarter;75.1;1.9;8.1
261;Purchase of new dwellings;2017 2nd quarter;74.5;-0.7;5.1
262;Purchase of new dwellings;2017 3rd quarter;77.6;4.0;7.6
263;Purchase of new dwellings;2017 4th quarter;81.7;5.3;10.8
264;Purchase of new dwellings;2017;77.2;7.9;7.9
265;Purchase of new dwellings;2018 1st quarter;81.9;0.3;9.1
266;Purchase of new dwellings;2018 2nd quarter;82.9;1.2;11.2
267;Purchase of new dwellings;2018 3rd quarter;87.2;5.3;12.5
268;Purchase of new dwellings;2018 4th quarter;87.6;0.4;7.2
269;Purchase of new dwellings;2018;84.9;9.9;9.9
270;Purchase of new dwellings;2019 1st quarter;89.1;1.7;8.8
271;Purchase of new dwellings;2019 2nd quarter;91.1;2.3;9.9
272;Purchase of new dwellings;2019 3rd quarter;92.7;1.7;6.3
273;Purchase of new dwellings;2019 4th quarter;94.8;2.2;8.2
274;Purchase of new dwellings;2019;91.9;8.3;8.3
275;Purchase of new dwellings;2020 1st quarter;95.4;0.6;7.0
276;Purchase of new dwellings;2020 2nd quarter;99.5;4.4;9.2
277;Purchase of new dwellings;2020 3rd quarter;102.9;3.3;11.0
278;Purchase of new dwellings;2020 4th quarter;102.3;-0.6;7.9
279;Purchase of new dwellings;2020;100.0;8.8;8.8
280;Purchase of new dwellings;2021 1st quarter;106.3;3.9;11.4
281;Purchase of new dwellings;2021 2nd quarter;110.4;3.9;10.9
282;Purchase of new dwellings;2021 3rd quarter;111.8;1.3;8.7
283;Purchase of new dwellings;2021 4th quarter;115.6;3.4;13.1
284;Purchase of new dwellings;2021;111.0;11.0;11.0
285;Purchase of new dwellings;2022 1st quarter;119.7;3.5;12.7
286;Purchase of new dwellings;2022 2nd quarter;125.2;4.6;13.5
287;Purchase of new dwellings;2022 3rd quarter;128.1;2.3;14.5
288;Purchase of new dwellings;2022 4th quarter;128.6;0.5;11.3
289;Purchase of new dwellings;2022;125.4;12.9;12.9
290;Purchase of new dwellings;2023 1st quarter;128.3;-0.3;7.1
291;Purchase of new dwellings;2023 2nd quarter;130.4;1.6;4.1
292;Purchase of new dwellings;2023 3rd quarter;129.9;-0.4;1.4
293;Purchase of new dwellings;2023 4th quarter;132.0;1.6;2.6
294;Purchase of new dwellings;2023;130.2;3.8;3.8
295;Purchase of new dwellings;2024 1st quarter;130.8;-0.9;2.0
296;Purchase of new dwellings;2024 2nd quarter;130.7;0.0;0.3
297;Purchase of new dwellings;2024 3rd quarter;135.8;3.9;4.5
298;Purchase of new dwellings;2024 4th quarter;138.2;1.8;4.8
299;Purchase of new dwellings;2024;133.9;2.9;2.9
300;Acquisition of self-built dwellings;2010 1st quarter;89.0;;
301;Acquisition of self-built dwellings;2010 2nd quarter;90.0;1.2;
302;Acquisition of self-built dwellings;2010 3rd quarter;88.8;-1.3;
303;Acquisition of self-built dwellings;2010 4th quarter;90.6;2.0;
304;Acquisition of self-built dwellings;2010;89.6;;
305;Acquisition of self-built dwellings;2011 1st quarter;89.3;-1.4;0.4
306;Acquisition of self-built dwellings;2011 2nd quarter;89.2;-0.1;-0.9
307;Acquisition of self-built dwellings;2011 3rd quarter;89.0;-0.2;0.3
308;Acquisition of self-built dwellings;2011 4th quarter;88.4;-0.7;-2.4
309;Acquisition of self-built dwellings;2011;89.0;-0.7;-0.7
310;Acquisition of self-built dwellings;2012 1st quarter;84.0;-5.1;-6.0
311;Acquisition of self-built dwellings;2012 2nd quarter;86.6;3.2;-2.9
312;Acquisition of self-built dwellings;2012 3rd quarter;83.5;-3.6;-6.2
313;Acquisition of self-built dwellings;2012 4th quarter;84.5;1.2;-4.5
314;Acquisition of self-built dwellings;2012;84.7;-4.9;-4.9
315;Acquisition of self-built dwellings;2013 1st quarter;86.3;2.2;2.8
316;Acquisition of self-built dwellings;2013 2nd quarter;82.7;-4.2;-4.5
317;Acquisition of self-built dwellings;2013 3rd quarter;82.8;0.1;-0.8
318;Acquisition of self-built dwellings;2013 4th quarter;80.7;-2.6;-4.5
319;Acquisition of self-built dwellings;2013;83.1;-1.8;-1.8
320;Acquisition of self-built dwellings;2014 1st quarter;78.0;-3.3;-9.7
321;Acquisition of self-built dwellings;2014 2nd quarter;79.6;2.1;-3.7
322;Acquisition of self-built dwellings;2014 3rd quarter;81.0;1.7;-2.2
323;Acquisition of self-built dwellings;2014 4th quarter;79.7;-1.5;-1.2
324;Acquisition of self-built dwellings;2014;79.6;-4.3;-4.3
325;Acquisition of self-built dwellings;2015 1st quarter;79.8;0.1;2.3
326;Acquisition of self-built dwellings;2015 2nd quarter;81.1;1.6;1.8
327;Acquisition of self-built dwellings;2015 3rd quarter;77.8;-4.1;-4.0
328;Acquisition of self-built dwellings;2015 4th quarter;77.3;-0.7;-3.1
329;Acquisition of self-built dwellings;2015;79.0;-0.7;-0.7
330;Acquisition of self-built dwellings;2016 1st quarter;76.8;-0.6;-3.7
331;Acquisition of self-built dwellings;2016 2nd quarter;77.8;1.2;-4.1
332;Acquisition of self-built dwellings;2016 3rd quarter;79.8;2.6;2.6
333;Acquisition of self-built dwellings;2016 4th quarter;80.6;1.0;4.3
334;Acquisition of self-built dwellings;2016;78.8;-0.3;-0.3
335;Acquisition of self-built dwellings;2017 1st quarter;81.9;1.6;6.6
336;Acquisition of self-built dwellings;2017 2nd quarter;84.6;3.3;8.8
337;Acquisition of self-built dwellings;2017 3rd quarter;83.7;-1.1;4.9
338;Acquisition of self-built dwellings;2017 4th quarter;86.9;3.8;7.8
339;Acquisition of self-built dwellings;2017;84.3;7.0;7.0
340;Acquisition of self-built dwellings;2018 1st quarter;89.3;2.7;9.0
341;Acquisition of self-built dwellings;2018 2nd quarter;90.2;1.0;6.6
342;Acquisition of self-built dwellings;2018 3rd quarter;92.4;2.5;10.4
343;Acquisition of self-built dwellings;2018 4th quarter;92.9;0.6;6.9
344;Acquisition of self-built dwellings;2018;91.2;8.2;8.2
345;Acquisition of self-built dwellings;2019 1st quarter;94.7;1.9;6.1
346;Acquisition of self-built dwellings;2019 2nd quarter;95.9;1.3;6.4
347;Acquisition of self-built dwellings;2019 3rd quarter;96.9;1.1;4.9
348;Acquisition of self-built dwellings;2019 4th quarter;97.8;0.9;5.2
349;Acquisition of self-built dwellings;2019;96.3;5.6;5.6
350;Acquisition of self-built dwellings;2020 1st quarter;98.3;0.5;3.7
351;Acquisition of self-built dwellings;2020 2nd quarter;99.7;1.4;3.9
352;Acquisition of self-built dwellings;2020 3rd quarter;101.1;1.5;4.3
353;Acquisition of self-built dwellings;2020 4th quarter;100.9;-0.2;3.2
354;Acquisition of self-built dwellings;2020;100.0;3.8;3.8
355;Acquisition of self-built dwellings;2021 1st quarter;103.1;2.2;5.0
356;Acquisition of self-built dwellings;2021 2nd quarter;106.2;3.0;6.6
357;Acquisition of self-built dwellings;2021 3rd quarter;108.7;2.3;7.4
358;Acquisition of self-built dwellings;2021 4th quarter;110.7;1.9;9.7
359;Acquisition of self-built dwellings;2021;107.2;7.2;7.2
360;Acquisition of self-built dwellings;2022 1st quarter;113.9;2.9;10.5
361;Acquisition of self-built dwellings;2022 2nd quarter;118.7;4.2;11.7
362;Acquisition of self-built dwellings;2022 3rd quarter;121.6;2.5;11.9
363;Acquisition of self-built dwellings;2022 4th quarter;122.2;0.5;10.3
364;Acquisition of self-built dwellings;2022;119.1;11.1;11.1
365;Acquisition of self-built dwellings;2023 1st quarter;126.3;3.4;10.9
366;Acquisition of self-built dwellings;2023 2nd quarter;127.7;1.0;7.6
367;Acquisition of self-built dwellings;2023 3rd quarter;128.7;0.9;5.9
368;Acquisition of self-built dwellings;2023 4th quarter;129.1;0.3;5.7
369;Acquisition of self-built dwellings;2023;128.0;7.4;7.4
370;Acquisition of self-built dwellings;2024 1st quarter;128.8;-0.2;2.0
371;Acquisition of self-built dwellings;2024 2nd quarter;129.4;0.4;1.4
372;Acquisition of self-built dwellings;2024 3rd quarter;130.8;1.0;1.6
373;Acquisition of self-built dwellings;2024 4th quarter;131.8;0.8;2.1
374;Acquisition of self-built dwellings;2024;130.2;1.8;1.8
375;Acquisition formally rented dwelling;2010 1st quarter;75.0;;
376;Acquisition formally rented dwelling;2010 2nd quarter;75.6;0.8;
377;Acquisition formally rented dwelling;2010 3rd quarter;74.9;-0.9;
378;Acquisition formally rented dwelling;2010 4th quarter;74.8;-0.2;
379;Acquisition formally rented dwelling;2010;75.1;;
380;Acquisition formally rented dwelling;2011 1st quarter;74.3;-0.6;-0.9
381;Acquisition formally rented dwelling;2011 2nd quarter;73.7;-0.9;-2.6
382;Acquisition formally rented dwelling;2011 3rd quarter;72.7;-1.3;-2.9
383;Acquisition formally rented dwelling;2011 4th quarter;71.7;-1.4;-4.1
384;Acquisition formally rented dwelling;2011;73.1;-2.6;-2.6
385;Acquisition formally rented dwelling;2012 1st quarter;70.4;-1.8;-5.3
386;Acquisition formally rented dwelling;2012 2nd quarter;69.4;-1.5;-5.9
387;Acquisition formally rented dwelling;2012 3rd quarter;68.1;-1.9;-6.4
388;Acquisition formally rented dwelling;2012 4th quarter;66.6;-2.1;-7.1
