ID;PersonalCharacteristics;TypeOfFigure;CaribbeanNetherlands;Periods;DetachedSemiDetachedOrTerracedHo_1;ApartmentFlatOrUpstairsMaisonette_2;RoomOrElseEGACargoContainer_3;FromTheGrid_4;Generator_5;SolarOrWindEnergy_6;Gas_7;Electricity_8;Refrigerator_9;SeparateFreezer_10;WashingMachine_11;Dishwasher_12;Television_13;LandLineTelephone_14;MobilePhoneOrSmartPhone_15;PersonalComputerOrDesktop_16;LaptopOrNetbook_17;Tablet_18;GameComputer_19;Total_20;HouseholdsWithOneCar_21;HouseholdsWithMoreThanOneCar_22;Bicycle_23;Motorcycle_24;MopedAndOrScooters_25
27;Sex: male;Reliability margin;Bonaire;2017/2018;3.2;2.7;2.0;1.6;;1.4;2.1;1.8;;;2.3;;2.1;3.8;1.5;4.1;4.3;4.3;3.4;3.3;4.3;4.1;;;
28;Sex: male;Reliability margin;St. Eustatius;2013;10.3;8.5;7.4;;;;5.6;5.6;;11.2;4.4;5.7;5.3;11.3;7.8;11.3;11.2;10.1;10.6;9.4;11.4;10.7;11.0;6.9;7.4
29;Sex: male;Reliability margin;St. Eustatius;2017/2018;;;;6.7;;6.8;3.7;3.1;;;2.6;;3.8;6.9;3.1;6.7;6.9;6.4;4.9;6.1;7.1;5.9;;;
30;Sex: male;Reliability margin;Saba;2013;10.1;9.4;5.0;;;;4.2;;3.8;10.7;10.7;;8.5;11.4;6.2;11.3;10.2;10.4;10.2;11.3;11.0;9.3;5.4;5.0;
31;Sex: male;Reliability margin;Saba;2017/2018;8.3;8.3;;2.7;;;4.9;4.9;;;7.6;;8.3;8.5;3.6;7.8;8.4;8.8;7.2;8.2;8.8;6.8;;;
32;Sex: female;Percentage/average;Caribbean Netherlands ;2013;80.9;14.0;5.1;95.9;1.8;1.5;96.1;3.5;98.6;29.4;91.2;17.2;96.3;36.3;97.9;40.3;55.5;29.2;21.5;80.2;51.0;29.2;30.3;;5.2
33;Sex: female;Percentage/average;Caribbean Netherlands ;2017/2018;73.7;16.1;10.2;93.2;;6.4;95.5;4.1;;;93.2;;91.7;42.0;95.7;33.8;58.1;49.3;19.9;80.5;51.6;28.9;;;
34;Sex: female;Percentage/average;Bonaire;2013;87.0;11.7;1.4;95.6;2.2;1.7;95.6;4.1;98.5;27.3;92.8;19.8;97.2;31.7;98.4;40.3;54.7;26.8;20.0;84.5;52.1;32.4;34.3;1.0;5.7
35;Sex: female;Percentage/average;Bonaire;2017/2018;85.7;11.7;2.6;97.3;;1.8;95.4;4.3;;;94.3;;95.0;27.4;97.2;35.6;60.3;50.4;23.2;88.4;52.6;35.8;;;
36;Sex: female;Percentage/average;St. Eustatius;2013;62.1;13.4;24.5;97.3;;;98.9;;98.7;32.2;91.6;13.5;98.1;39.3;96.5;36.0;48.5;31.9;22.6;69.5;52.3;17.3;27.2;;
37;Sex: female;Percentage/average;St. Eustatius;2017/2018;;;;78.6;;22.9;95.0;4.5;;;98.9;;91.1;63.0;91.6;32.2;47.8;43.3;13.0;70.9;49.0;21.9;;;
38;Sex: female;Percentage/average;Saba;2013;64.2;33.4;;96.1;;;95.1;4.9;100.0;41.2;77.6;;86.2;67.0;95.7;47.1;72.9;43.5;30.7;64.4;40.6;23.8;;;
39;Sex: female;Percentage/average;Saba;2017/2018;69.7;29.3;;98.9;;;96.8;;;;80.9;;79.8;66.9;96.1;29.5;65.3;53.6;17.3;64.4;51.7;12.7;;;
40;Sex: female;Reliability margin;Caribbean Netherlands ;2013;3.4;3.1;1.9;1.7;1.2;1.1;1.7;1.6;1.0;4.0;2.5;3.3;1.7;4.2;1.3;4.3;4.4;4.0;3.6;3.5;4.4;4.0;4.0;;2.0
41;Sex: female;Reliability margin;Caribbean Netherlands ;2017/2018;3.1;2.6;2.1;1.8;;1.7;1.5;1.4;;;1.7;;1.9;3.4;1.4;3.3;3.4;3.5;2.8;2.8;3.5;3.2;;;
42;Sex: female;Reliability margin;Bonaire;2013;3.4;3.3;1.2;2.1;1.5;1.3;2.1;2.0;1.3;4.6;2.6;4.1;1.7;4.8;1.3;5.0;5.1;4.5;4.1;3.7;5.1;4.8;4.9;1.0;2.4
43;Sex: female;Reliability margin;Bonaire;2017/2018;3.1;2.9;1.4;1.5;;1.2;1.9;1.8;;;2.1;;2.0;4.0;1.5;4.3;4.4;4.5;3.8;2.9;4.5;4.3;;;
44;Sex: female;Reliability margin;St. Eustatius;2013;12.5;8.8;11.1;4.2;;;2.6;;3.0;12.1;7.2;8.8;3.5;12.6;4.7;12.4;12.9;12.0;10.8;12.0;13.0;9.9;11.6;;
45;Sex: female;Reliability margin;St. Eustatius;2017/2018;;;;5.9;;6.1;3.2;3.0;;;1.5;;4.1;7.0;4.0;6.7;7.2;7.2;4.9;6.6;7.3;6.0;;;
46;Sex: female;Reliability margin;Saba;2013;11.0;10.8;;4.4;;;4.9;4.9;;11.3;9.5;;7.9;10.7;4.6;11.4;10.2;11.3;10.5;10.9;11.2;9.7;;;
47;Sex: female;Reliability margin;Saba;2017/2018;8.1;8.0;;1.9;;;3.1;;;;6.9;;7.0;8.3;3.4;8.0;8.3;8.7;6.6;8.4;8.8;5.8;;;
48;Age: 15 to 44 years;Percentage/average;Caribbean Netherlands ;2013;75.5;18.2;6.4;97.8;1.0;0.9;94.8;5.0;98.5;28.6;87.0;15.3;94.4;27.0;97.1;41.7;63.8;31.9;31.1;75.4;43.3;32.1;40.8;3.4;9.9
49;Age: 15 to 44 years;Percentage/average;Caribbean Netherlands ;2017/2018;66.0;22.0;12.1;91.3;;7.8;94.9;4.1;;;91.5;;89.7;38.4;98.0;34.8;65.7;54.4;27.1;80.9;50.0;31.0;;;
50;Age: 15 to 44 years;Percentage/average;Bonaire;2013;81.0;14.6;4.4;97.5;1.4;1.2;94.0;5.9;98.2;26.9;89.1;19.0;96.5;23.2;99.3;41.5;63.1;28.8;29.9;78.5;43.2;35.3;47.4;2.4;10.2
51;Age: 15 to 44 years;Percentage/average;Bonaire;2017/2018;79.8;15.5;4.7;97.9;;;95.0;3.9;;;94.0;;94.2;20.0;98.9;33.9;66.3;55.8;28.6;88.2;50.6;37.6;;;
52;Age: 15 to 44 years;Percentage/average;St. Eustatius;2013;63.2;21.2;15.6;99.5;;;96.8;;100.0;32.3;94.2;8.6;95.7;31.1;88.5;40.5;53.8;37.7;32.9;77.0;52.4;24.6;34.9;7.8;15.2
53;Age: 15 to 44 years;Percentage/average;St. Eustatius;2017/2018;;;;69.3;;31.8;93.7;4.9;;;98.5;;93.5;64.9;96.7;39.3;54.1;43.8;21.2;72.7;46.3;26.4;;;
54;Age: 15 to 44 years;Percentage/average;Saba;2013;58.1;37.1;4.9;97.0;;;96.7;;98.5;34.0;62.3;;79.3;45.0;95.6;45.0;83.3;43.6;36.1;53.0;30.5;22.5;6.8;4.0;
55;Age: 15 to 44 years;Percentage/average;Saba;2017/2018;61.1;38.9;;97.8;;;96.3;3.7;;;74.4;;70.4;64.2;96.6;31.9;78.6;63.5;30.1;67.3;52.5;14.9;;;
56;Age: 15 to 44 years;Reliability margin;Caribbean Netherlands ;2013;3.6;3.2;2.1;1.2;0.8;0.8;1.9;1.8;1.0;3.8;2.8;3.0;1.9;3.7;1.4;4.1;4.0;3.9;3.9;3.6;4.2;3.9;4.1;1.5;2.5
57;Age: 15 to 44 years;Reliability margin;Caribbean Netherlands ;2017/2018;3.3;2.9;2.3;1.9;;1.9;1.5;1.4;;;1.9;;2.1;3.4;1.0;3.3;3.3;3.5;3.1;2.7;3.5;3.2;;;
58;Age: 15 to 44 years;Reliability margin;Bonaire;2013;3.9;3.5;2.0;1.5;1.2;1.1;2.4;2.3;1.3;4.4;3.1;3.9;1.8;4.2;0.8;4.9;4.8;4.5;4.5;4.1;4.9;4.7;5.0;1.5;3.0
59;Age: 15 to 44 years;Reliability margin;Bonaire;2017/2018;3.6;3.3;1.9;1.3;;;2.0;1.7;;;2.2;;2.1;3.6;0.9;4.3;4.3;4.5;4.1;2.9;4.5;4.4;;;
60;Age: 15 to 44 years;Reliability margin;St. Eustatius;2013;11.5;9.7;8.7;1.7;;;4.2;;;11.2;5.6;6.7;4.9;11.0;7.6;11.7;11.9;11.6;11.2;10.0;11.9;10.3;11.4;6.4;8.5
61;Age: 15 to 44 years;Reliability margin;St. Eustatius;2017/2018;;;;6.7;;6.8;3.5;3.1;;;1.8;;3.6;6.9;2.6;7.1;7.2;7.2;5.9;6.5;7.3;6.4;;;
62;Age: 15 to 44 years;Reliability margin;Saba;2013;10.0;9.8;4.4;3.5;;;3.6;;2.4;9.6;9.8;;8.2;10.1;4.2;10.1;7.6;10.1;9.7;10.1;9.3;8.5;5.1;4.0;
63;Age: 15 to 44 years;Reliability margin;Saba;2017/2018;8.0;8.0;;2.4;;;3.1;3.1;;;7.2;;7.5;7.9;3.0;7.6;6.7;7.9;7.5;7.7;8.2;5.8;;;
64;Age: 45 years or older;Percentage/average;Caribbean Netherlands ;2013;86.4;8.9;4.8;97.3;1.7;1.4;95.9;3.8;98.0;35.3;91.7;18.4;95.5;46.3;95.5;38.4;46.8;21.7;15.3;79.5;51.2;28.3;30.6;3.8;4.8
65;Age: 45 years or older;Percentage/average;Caribbean Netherlands ;2017/2018;75.8;12.1;12.1;90.5;1.2;9.2;93.4;5.5;;;92.3;;90.8;42.9;94.0;31.5;46.0;37.1;11.6;78.4;50.6;27.9;;;
66;Age: 45 years or older;Percentage/average;Bonaire;2013;89.6;8.6;1.8;96.9;1.7;;96.2;3.4;97.8;33.0;91.2;21.0;95.5;42.4;96.4;37.8;44.0;21.7;13.6;81.6;52.4;29.2;33.4;4.2;5.6
67;Age: 45 years or older;Percentage/average;Bonaire;2017/2018;88.6;7.8;3.6;95.7;1.4;3.3;93.7;5.2;;;92.6;;94.5;33.2;95.4;34.2;49.0;39.7;14.7;83.1;49.3;33.8;;;
68;Age: 45 years or older;Percentage/average;St. Eustatius;2013;71.5;9.1;19.3;98.2;;;95.0;;98.8;43.2;94.2;10.7;96.3;52.4;93.1;39.4;56.2;20.4;22.2;71.8;45.1;26.7;29.2;;
69;Age: 45 years or older;Percentage/average;St. Eustatius;2017/2018;;;;72.6;;29.6;93.6;5.0;;;96.8;;89.5;56.3;89.9;29.0;37.6;29.9;7.1;74.1;56.1;18.0;;;
70;Age: 45 years or older;Percentage/average;Saba;2013;87.2;11.0;;100.0;;;94.4;;98.6;41.5;91.3;8.7;94.3;74.9;91.1;42.4;54.8;24.2;16.6;74.7;52.4;22.4;;;
71;Age: 45 years or older;Percentage/average;Saba;2017/2018;75.7;23.2;;98.7;;;91.4;7.5;;;82.5;;75.5;65.2;94.9;23.2;47.0;38.1;5.4;63.9;47.0;16.8;;;
72;Age: 45 years or older;Reliability margin;Caribbean Netherlands ;2013;3.0;2.5;1.8;1.4;1.1;1.0;1.7;1.6;1.2;4.1;2.4;3.4;1.8;4.3;1.8;4.2;4.3;3.5;3.1;3.5;4.3;3.9;4.0;1.7;1.8
73;Age: 45 years or older;Reliability margin;Caribbean Netherlands ;2017/2018;2.9;2.2;2.2;2.0;0.7;2.0;1.7;1.5;;;1.8;;2.0;3.4;1.6;3.2;3.4;3.3;2.2;2.8;3.4;3.1;;;
74;Age: 45 years or older;Reliability margin;Bonaire;2013;3.0;2.8;1.3;1.7;1.3;;1.9;1.8;1.5;4.7;2.8;4.1;2.1;4.9;1.8;4.8;4.9;4.1;3.4;3.8;5.0;4.5;4.7;2.0;2.3
75;Age: 45 years or older;Reliability margin;Bonaire;2017/2018;2.7;2.3;1.6;1.7;1.0;1.5;2.1;1.9;;;2.2;;2.0;4.0;1.8;4.1;4.3;4.2;3.0;3.2;4.3;4.1;;;
76;Age: 45 years or older;Reliability margin;St. Eustatius;2013;11.0;7.0;9.6;3.3;;;5.3;;2.7;12.1;5.7;7.6;4.6;12.2;6.2;11.9;12.1;9.8;10.1;11.2;12.4;11.0;11.3;;
77;Age: 45 years or older;Reliability margin;St. Eustatius;2017/2018;;;;6.2;;6.4;3.4;3.0;;;2.5;;4.3;6.9;4.2;6.3;6.8;6.4;3.6;6.2;7.0;5.4;;;
78;Age: 45 years or older;Reliability margin;Saba;2013;8.9;8.4;;;;;6.2;;3.2;13.2;7.5;7.5;6.2;11.6;7.6;13.2;13.3;11.5;10.0;11.6;13.4;11.2;;;
79;Age: 45 years or older;Reliability margin;Saba;2017/2018;8.1;8.0;;2.2;;;5.3;5.0;;;7.2;;8.2;9.0;4.2;8.0;9.4;9.2;4.3;9.1;9.4;7.1;;;
80;Age: 15 to 24 years;Percentage/average;Caribbean Netherlands ;2013;79.1;15.8;5.1;98.8;;;96.8;2.6;97.6;34.6;88.2;15.4;93.7;37.2;98.6;48.5;74.4;36.6;46.5;75.3;36.9;38.4;44.4;3.6;11.1
81;Age: 15 to 24 years;Percentage/average;Caribbean Netherlands ;2017/2018;73.1;17.3;9.6;93.7;;6.0;96.4;3.6;;;95.3;;95.9;44.3;98.2;43.3;76.2;53.4;34.4;84.3;50.7;33.6;;;
82;Age: 15 to 24 years;Percentage/average;Bonaire;2013;88.4;9.6;;98.3;;;96.7;;96.4;32.5;92.2;19.1;96.0;34.9;99.0;52.4;72.8;35.6;45.4;83.1;39.7;43.4;50.0;3.8;11.3
83;Age: 15 to 24 years;Percentage/average;Bonaire;2017/2018;88.0;9.6;;98.7;;;96.0;4.0;;;97.4;;98.7;23.3;97.6;46.6;72.0;53.8;32.8;87.8;48.1;39.7;;;
84;Age: 15 to 24 years;Percentage/average;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;
85;Age: 15 to 24 years;Percentage/average;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;;;;;;;;;;
86;Age: 15 to 24 years;Percentage/average;Saba;2013;;;;;;;;;;;;;;;;;;;;;;;;;
87;Age: 15 to 24 years;Percentage/average;Saba;2017/2018;;;;;;;;;;;;;;;;;;;;;;;;;
88;Age: 15 to 24 years;Reliability margin;Caribbean Netherlands ;2013;6.2;5.6;3.4;1.6;;;2.7;2.5;2.4;7.3;5.0;5.6;3.7;7.4;1.8;7.7;6.7;7.4;7.6;6.6;7.4;7.4;7.6;2.9;4.8
89;Age: 15 to 24 years;Reliability margin;Caribbean Netherlands ;2017/2018;5.8;4.9;3.8;3.2;;3.1;2.4;2.4;;;2.8;;2.6;6.4;1.7;6.4;5.5;6.5;6.2;4.7;6.5;6.1;;;
90;Age: 15 to 24 years;Reliability margin;Bonaire;2013;6.0;5.5;;2.5;;;3.3;;3.5;8.8;5.1;7.4;3.7;8.9;1.9;9.4;8.3;9.0;9.3;7.0;9.2;9.3;9.4;3.6;5.9
91;Age: 15 to 24 years;Reliability margin;Bonaire;2017/2018;5.5;5.0;;1.9;;;3.3;3.3;;;2.7;;1.9;7.2;2.6;8.5;7.6;8.5;8.0;5.6;8.5;8.3;;;
92;Age: 15 to 24 years;Reliability margin;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;
93;Age: 15 to 24 years;Reliability margin;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;;;;;;;;;;
94;Age: 15 to 24 years;Reliability margin;Saba;2013;;;;;;;;;;;;;;;;;;;;;;;;;
95;Age: 15 to 24 years;Reliability margin;Saba;2017/2018;;;;;;;;;;;;;;;;;;;;;;;;;
96;Age: 25 to 44 years;Percentage/average;Caribbean Netherlands ;2013;73.9;19.2;6.9;97.4;;1.3;93.9;6.0;99.0;26.0;86.5;15.2;94.8;22.6;96.4;38.8;59.2;29.9;24.4;75.5;46.1;29.3;39.2;3.4;9.4
97;Age: 25 to 44 years;Percentage/average;Caribbean Netherlands ;2017/2018;63.1;23.8;13.1;90.4;;8.6;94.3;4.2;;;90.0;;87.3;36.0;97.9;31.4;61.4;54.8;24.2;79.6;49.7;29.9;;;
98;Age: 25 to 44 years;Percentage/average;Bonaire;2013;78.1;16.6;5.4;97.3;;1.6;92.9;7.1;98.9;24.7;87.9;19.0;96.7;18.6;99.4;37.2;59.3;26.1;23.8;76.7;44.6;32.1;46.4;1.8;9.8
99;Age: 25 to 44 years;Percentage/average;Bonaire;2017/2018;76.5;17.9;5.6;97.5;;;94.6;3.8;;;92.6;;92.4;18.6;99.5;28.8;64.0;56.6;26.9;88.4;51.6;36.8;;;
100;Age: 25 to 44 years;Percentage/average;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;
101;Age: 25 to 44 years;Percentage/average;St. Eustatius;2017/2018;;;;68.5;;32.9;92.3;5.7;;;98.9;;91.3;63.4;96.2;38.6;48.2;43.0;18.7;69.6;43.7;25.9;;;
102;Age: 25 to 44 years;Percentage/average;Saba;2013;;;;;;;;;;;;;;;;;;;;;;;;;
103;Age: 25 to 44 years;Percentage/average;Saba;2017/2018;62.4;37.6;;96.7;;;96.5;;;;67.7;;63.4;57.2;94.8;29.8;71.8;65.7;23.0;62.1;51.1;11.0;;;
104;Age: 25 to 44 years;Reliability margin;Caribbean Netherlands ;2013;4.4;4.0;2.5;1.6;;1.2;2.4;2.4;1.0;4.4;3.4;3.6;2.2;4.2;1.9;4.9;4.9;4.6;4.3;4.3;5.0;4.6;4.9;1.8;2.9
105;Age: 25 to 44 years;Reliability margin;Caribbean Netherlands ;2017/2018;4.0;3.5;2.8;2.4;;2.3;1.9;1.6;;;2.5;;2.7;4.0;1.2;3.8;4.0;4.1;3.5;3.3;4.1;3.8;;;
106;Age: 25 to 44 years;Reliability margin;Bonaire;2013;4.9;4.4;2.7;1.9;;1.5;3.0;3.0;1.2;5.1;3.8;4.6;2.1;4.6;0.9;5.7;5.8;5.2;5.0;5.0;5.8;5.5;5.9;1.6;3.5
107;Age: 25 to 44 years;Reliability margin;Bonaire;2017/2018;4.5;4.1;2.5;1.6;;;2.4;2.0;;;2.8;;2.9;4.2;0.8;4.9;5.2;5.3;4.8;3.4;5.3;5.1;;;
108;Age: 25 to 44 years;Reliability margin;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;
109;Age: 25 to 44 years;Reliability margin;St. Eustatius;2017/2018;;;;7.8;;7.9;4.4;3.9;;;1.8;;4.7;8.1;3.2;8.2;8.4;8.3;6.5;7.8;8.4;7.4;;;
110;Age: 25 to 44 years;Reliability margin;Saba;2013;;;;;;;;;;;;;;;;;;;;;;;;;
111;Age: 25 to 44 years;Reliability margin;Saba;2017/2018;9.8;9.8;;3.6;;;3.7;;;;9.4;;9.7;10.0;4.5;9.2;9.1;9.6;8.5;9.8;10.1;6.3;;;
112;Age: 45 to 64 years;Percentage/average;Caribbean Netherlands ;2013;86.8;9.9;3.3;97.2;1.7;0.9;95.7;3.8;97.8;34.1;91.1;17.8;95.9;41.4;97.3;40.9;52.2;25.0;19.1;81.5;51.6;29.8;35.4;4.9;6.2
113;Age: 45 to 64 years;Percentage/average;Caribbean Netherlands ;2017/2018;74.1;12.9;13.0;91.0;1.3;8.2;92.8;6.3;;;91.9;;90.7;40.3;96.3;32.3;49.3;39.5;14.1;78.9;48.7;30.2;;;
114;Age: 45 to 64 years;Percentage/average;Bonaire;2013;88.7;9.2;2.2;96.9;2.0;;96.2;3.3;97.3;31.2;90.9;20.5;96.0;38.1;97.6;40.7;48.4;25.2;16.6;82.5;51.9;30.7;37.5;5.4;7.2
115;Age: 45 to 64 years;Percentage/average;Bonaire;2017/2018;87.3;8.5;4.2;96.0;1.4;3.0;92.9;6.4;;;92.2;;94.0;28.8;97.0;34.6;52.5;43.4;17.2;84.8;48.3;36.5;;;
116;Age: 45 to 64 years;Percentage/average;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;
117;Age: 45 to 64 years;Percentage/average;St. Eustatius;2017/2018;;;;74.0;;26.2;92.8;5.3;;;97.5;;92.5;60.2;93.8;33.4;41.9;31.1;9.1;72.4;53.4;19.0;;;
118;Age: 45 to 64 years;Percentage/average;Saba;2013;81.0;16.4;;100.0;;;96.5;;97.9;41.6;90.2;9.8;91.6;64.9;95.7;48.9;62.9;27.7;21.9;81.4;56.3;25.1;;;
119;Age: 45 to 64 years;Percentage/average;Saba;2017/2018;73.4;26.6;;98.0;;;92.3;7.7;;;79.4;;70.0;60.8;96.9;17.8;47.6;35.5;7.6;60.8;41.8;19.0;;;
120;Age: 45 to 64 years;Reliability margin;Caribbean Netherlands ;2013;3.4;3.0;1.8;1.6;1.3;0.9;2.0;1.9;1.5;4.8;2.9;3.8;2.0;4.9;1.6;4.9;5.0;4.3;3.9;3.9;5.0;4.6;4.8;2.2;2.4
121;Age: 45 to 64 years;Reliability margin;Caribbean Netherlands ;2017/2018;3.5;2.7;2.7;2.3;0.9;2.2;2.1;2.0;;;2.2;;2.3;4.0;1.5;3.8;4.0;3.9;2.8;3.3;4.0;3.7;;;
122;Age: 45 to 64 years;Reliability margin;Bonaire;2013;3.6;3.3;1.7;2.0;1.6;;2.2;2.1;1.9;5.4;3.3;4.7;2.3;5.6;1.7;5.6;5.7;5.0;4.3;4.4;5.8;5.3;5.6;2.6;3.0
