ID;Geslacht;Persoonskenmerken;Arbeidspositie;LevenLangOntwikkelen;Perioden;Bevolking15Tot75Jaar_1
46;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2023;1838
47;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2024;1906
48;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2013;10496
49;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2014;10536
50;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2015;10525
51;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2016;10611
52;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2017;10671
53;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2018;10699
54;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2019;10721
55;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2020;10785
56;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2021;10708
57;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2022;10760
58;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2023;10853
59;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt geen formeel onderwijs;2024;10963
60;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang ontwikkelen;2013;9382
61;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang ontwikkelen;2014;9365
62;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang ontwikkelen;2015;9280
63;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang ontwikkelen;2016;9364
64;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang ontwikkelen;2017;9414
65;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang ontwikkelen;2018;9465
66;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang ontwikkelen;2019;9468
67;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang ontwikkelen;2020;9604
68;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang ontwikkelen;2021;8849
69;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang ontwikkelen;2022;8937
70;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang ontwikkelen;2023;9014
71;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Geen deelname leven lang ontwikkelen;2024;9057
72;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2013;9187
73;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2014;9145
74;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2015;9182
75;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2016;9215
76;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2017;9290
77;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2018;9398
78;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2019;9540
79;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2020;9581
80;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2021;9663
81;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2022;9898
82;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2023;10096
83;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Totaal;2024;10170
84;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang ontwikkelen;2013;2662
85;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang ontwikkelen;2014;2668
86;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang ontwikkelen;2015;2758
87;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang ontwikkelen;2016;2738
88;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang ontwikkelen;2017;2789
89;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang ontwikkelen;2018;2807
90;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang ontwikkelen;2019;2899
91;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang ontwikkelen;2020;2830
92;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang ontwikkelen;2021;3603
93;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang ontwikkelen;2022;3647
94;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang ontwikkelen;2023;3695
95;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Deelname leven lang ontwikkelen;2024;3714
96;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2013;1665
97;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2014;1617
98;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2015;1648
99;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2016;1635
100;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2017;1680
101;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2018;1710
102;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2019;1786
103;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2020;1775
104;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2021;1901
105;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2022;1985
106;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2023;2023
107;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt formeel onderwijs;2024;1975
108;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2013;997
109;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2014;1051
110;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2015;1110
111;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2016;1102
112;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2017;1109
113;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2018;1098
114;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2019;1113
115;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2020;1056
116;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2021;1702
117;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2022;1662
118;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2023;1672
119;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt niet-formeel onderwijs;2024;1739
120;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2013;7522
121;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2014;7528
122;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2015;7534
123;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2016;7580
124;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2017;7610
125;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2018;7689
126;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2019;7754
127;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2020;7806
128;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2021;7762
129;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2022;7913
130;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2023;8072
131;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Volgt geen formeel onderwijs;2024;8196
132;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang ontwikkelen;2013;6525
133;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang ontwikkelen;2014;6477
134;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang ontwikkelen;2015;6424
135;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang ontwikkelen;2016;6478
136;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang ontwikkelen;2017;6501
137;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang ontwikkelen;2018;6591
138;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang ontwikkelen;2019;6641
139;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang ontwikkelen;2020;6750
140;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang ontwikkelen;2021;6061
141;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang ontwikkelen;2022;6251
142;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang ontwikkelen;2023;6400
143;Totaal mannen en vrouwen;Totaal personen;Beroepsbevolking;Geen deelname leven lang ontwikkelen;2024;6456
144;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2013;8433
145;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2014;8382
146;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2015;8458
147;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2016;8570
148;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2017;8744
149;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2018;8939
150;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2019;9117
151;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2020;9116
152;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2021;9255
153;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2022;9548
154;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2023;9737
155;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Totaal;2024;9798
156;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Deelname leven lang ontwikkelen;2013;2402
157;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Deelname leven lang ontwikkelen;2014;2410
158;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Deelname leven lang ontwikkelen;2015;2503
159;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Deelname leven lang ontwikkelen;2016;2505
160;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Deelname leven lang ontwikkelen;2017;2584
161;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Deelname leven lang ontwikkelen;2018;2631
162;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Deelname leven lang ontwikkelen;2019;2732
163;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Deelname leven lang ontwikkelen;2020;2626
164;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Deelname leven lang ontwikkelen;2021;3393
165;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Deelname leven lang ontwikkelen;2022;3474
166;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Deelname leven lang ontwikkelen;2023;3514
167;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Deelname leven lang ontwikkelen;2024;3523
168;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt formeel onderwijs;2013;1464
169;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt formeel onderwijs;2014;1420
170;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt formeel onderwijs;2015;1462
171;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt formeel onderwijs;2016;1455
172;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt formeel onderwijs;2017;1521
173;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt formeel onderwijs;2018;1570
174;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt formeel onderwijs;2019;1654
175;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt formeel onderwijs;2020;1609
176;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt formeel onderwijs;2021;1740
177;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt formeel onderwijs;2022;1848
178;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt formeel onderwijs;2023;1878
179;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt formeel onderwijs;2024;1824
180;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt niet-formeel onderwijs;2013;938
181;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt niet-formeel onderwijs;2014;990
182;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt niet-formeel onderwijs;2015;1040
183;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt niet-formeel onderwijs;2016;1050
184;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt niet-formeel onderwijs;2017;1063
185;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt niet-formeel onderwijs;2018;1061
186;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt niet-formeel onderwijs;2019;1078
187;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt niet-formeel onderwijs;2020;1017
188;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt niet-formeel onderwijs;2021;1653
189;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt niet-formeel onderwijs;2022;1626
190;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt niet-formeel onderwijs;2023;1636
191;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt niet-formeel onderwijs;2024;1699
192;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt geen formeel onderwijs;2013;6969
193;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt geen formeel onderwijs;2014;6962
194;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt geen formeel onderwijs;2015;6995
195;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt geen formeel onderwijs;2016;7115
196;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt geen formeel onderwijs;2017;7224
197;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt geen formeel onderwijs;2018;7369
198;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt geen formeel onderwijs;2019;7463
199;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt geen formeel onderwijs;2020;7507
200;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt geen formeel onderwijs;2021;7515
201;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt geen formeel onderwijs;2022;7700
202;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt geen formeel onderwijs;2023;7859
203;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Volgt geen formeel onderwijs;2024;7973
204;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Geen deelname leven lang ontwikkelen;2013;6031
205;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Geen deelname leven lang ontwikkelen;2014;5972
206;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Geen deelname leven lang ontwikkelen;2015;5955
207;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Geen deelname leven lang ontwikkelen;2016;6065
208;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Geen deelname leven lang ontwikkelen;2017;6161
209;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Geen deelname leven lang ontwikkelen;2018;6309
210;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Geen deelname leven lang ontwikkelen;2019;6385
211;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Geen deelname leven lang ontwikkelen;2020;6490
212;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Geen deelname leven lang ontwikkelen;2021;5863
213;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Geen deelname leven lang ontwikkelen;2022;6074
214;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Geen deelname leven lang ontwikkelen;2023;6223
215;Totaal mannen en vrouwen;Totaal personen;Werkzame beroepsbevolking;Geen deelname leven lang ontwikkelen;2024;6275
216;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Totaal;2013;754
217;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Totaal;2014;762
218;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Totaal;2015;724
219;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Totaal;2016;646
220;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Totaal;2017;546
221;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Totaal;2018;459
222;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Totaal;2019;423
223;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Totaal;2020;465
224;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Totaal;2021;408
225;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Totaal;2022;350
226;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Totaal;2023;359
227;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Totaal;2024;372
228;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Deelname leven lang ontwikkelen;2013;260
229;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Deelname leven lang ontwikkelen;2014;258
230;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Deelname leven lang ontwikkelen;2015;255
231;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Deelname leven lang ontwikkelen;2016;233
232;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Deelname leven lang ontwikkelen;2017;205
233;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Deelname leven lang ontwikkelen;2018;176
234;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Deelname leven lang ontwikkelen;2019;167
235;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Deelname leven lang ontwikkelen;2020;204
236;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Deelname leven lang ontwikkelen;2021;210
237;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Deelname leven lang ontwikkelen;2022;173
238;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Deelname leven lang ontwikkelen;2023;181
239;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Deelname leven lang ontwikkelen;2024;191
240;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Volgt formeel onderwijs;2013;201
241;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Volgt formeel onderwijs;2014;196
242;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Volgt formeel onderwijs;2015;186
243;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Volgt formeel onderwijs;2016;180
244;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Volgt formeel onderwijs;2017;159
245;Totaal mannen en vrouwen;Totaal personen;Werkloze beroepsbevolking;Volgt formeel onderwijs;2018;139
