ID;Providers;Financing;Periods;ExpenditureOnHealthAndSocialCare_1
147;Total health and social care providers;HF121a: Long-term care insurance;2020;23912.0
148;Total health and social care providers;HF121a: Long-term care insurance;2021;26245.0
149;Total health and social care providers;HF121a: Long-term care insurance;2022;27721.0
150;Total health and social care providers;HF121b: Health Insurance Fund;1998;11545.0
151;Total health and social care providers;HF121b: Health Insurance Fund;1999;12032.0
152;Total health and social care providers;HF121b: Health Insurance Fund;2000;12816.0
153;Total health and social care providers;HF121b: Health Insurance Fund;2001;14414.0
154;Total health and social care providers;HF121b: Health Insurance Fund;2002;15883.0
155;Total health and social care providers;HF121b: Health Insurance Fund;2003;16942.0
156;Total health and social care providers;HF121b: Health Insurance Fund;2004;17045.0
157;Total health and social care providers;HF121b: Health Insurance Fund;2005;17533.0
158;Total health and social care providers;HF121b: Health Insurance Fund;2006;0.0
159;Total health and social care providers;HF121b: Health Insurance Fund;2007;
160;Total health and social care providers;HF121b: Health Insurance Fund;2008;
161;Total health and social care providers;HF121b: Health Insurance Fund;2009;
162;Total health and social care providers;HF121b: Health Insurance Fund;2010;
163;Total health and social care providers;HF121b: Health Insurance Fund;2011;
164;Total health and social care providers;HF121b: Health Insurance Fund;2012;
165;Total health and social care providers;HF121b: Health Insurance Fund;2013;
166;Total health and social care providers;HF121b: Health Insurance Fund;2014;
167;Total health and social care providers;HF121b: Health Insurance Fund;2015;
168;Total health and social care providers;HF121b: Health Insurance Fund;2016;
169;Total health and social care providers;HF121b: Health Insurance Fund;2017;
170;Total health and social care providers;HF121b: Health Insurance Fund;2018;
171;Total health and social care providers;HF121b: Health Insurance Fund;2019;
172;Total health and social care providers;HF121b: Health Insurance Fund;2020;
173;Total health and social care providers;HF121b: Health Insurance Fund;2021;
174;Total health and social care providers;HF121b: Health Insurance Fund;2022;
175;Total health and social care providers;HF122: Compulsory private insurance;1998;
176;Total health and social care providers;HF122: Compulsory private insurance;1999;
177;Total health and social care providers;HF122: Compulsory private insurance;2000;
178;Total health and social care providers;HF122: Compulsory private insurance;2001;
179;Total health and social care providers;HF122: Compulsory private insurance;2002;
180;Total health and social care providers;HF122: Compulsory private insurance;2003;
181;Total health and social care providers;HF122: Compulsory private insurance;2004;
182;Total health and social care providers;HF122: Compulsory private insurance;2005;
183;Total health and social care providers;HF122: Compulsory private insurance;2006;26546.0
184;Total health and social care providers;HF122: Compulsory private insurance;2007;27651.0
185;Total health and social care providers;HF122: Compulsory private insurance;2008;31240.0
186;Total health and social care providers;HF122: Compulsory private insurance;2009;32947.0
187;Total health and social care providers;HF122: Compulsory private insurance;2010;34481.0
188;Total health and social care providers;HF122: Compulsory private insurance;2011;35112.0
189;Total health and social care providers;HF122: Compulsory private insurance;2012;34735.0
190;Total health and social care providers;HF122: Compulsory private insurance;2013;36348.0
191;Total health and social care providers;HF122: Compulsory private insurance;2014;37166.0
192;Total health and social care providers;HF122: Compulsory private insurance;2015;40718.0
193;Total health and social care providers;HF122: Compulsory private insurance;2016;41732.0
194;Total health and social care providers;HF122: Compulsory private insurance;2017;42894.0
195;Total health and social care providers;HF122: Compulsory private insurance;2018;44501.0
196;Total health and social care providers;HF122: Compulsory private insurance;2019;46773.0
197;Total health and social care providers;HF122: Compulsory private insurance;2020;48255.0
198;Total health and social care providers;HF122: Compulsory private insurance;2021;50040.0
199;Total health and social care providers;HF122: Compulsory private insurance;2022;51597.0
200;Total health and social care providers;Voluntary schemes (incl. OOP);1998;10846.0
201;Total health and social care providers;Voluntary schemes (incl. OOP);1999;11900.0
202;Total health and social care providers;Voluntary schemes (incl. OOP);2000;12610.0
203;Total health and social care providers;Voluntary schemes (incl. OOP);2001;13839.0
204;Total health and social care providers;Voluntary schemes (incl. OOP);2002;15546.0
205;Total health and social care providers;Voluntary schemes (incl. OOP);2003;16730.0
206;Total health and social care providers;Voluntary schemes (incl. OOP);2004;18271.0
207;Total health and social care providers;Voluntary schemes (incl. OOP);2005;18616.0
208;Total health and social care providers;Voluntary schemes (incl. OOP);2006;11033.0
209;Total health and social care providers;Voluntary schemes (incl. OOP);2007;10928.0
210;Total health and social care providers;Voluntary schemes (incl. OOP);2008;12428.0
211;Total health and social care providers;Voluntary schemes (incl. OOP);2009;12686.0
212;Total health and social care providers;Voluntary schemes (incl. OOP);2010;13203.0
213;Total health and social care providers;Voluntary schemes (incl. OOP);2011;14275.0
214;Total health and social care providers;Voluntary schemes (incl. OOP);2012;15411.0
215;Total health and social care providers;Voluntary schemes (incl. OOP);2013;16354.0
216;Total health and social care providers;Voluntary schemes (incl. OOP);2014;16427.0
217;Total health and social care providers;Voluntary schemes (incl. OOP);2015;16352.0
218;Total health and social care providers;Voluntary schemes (incl. OOP);2016;16822.0
219;Total health and social care providers;Voluntary schemes (incl. OOP);2017;16777.0
220;Total health and social care providers;Voluntary schemes (incl. OOP);2018;17102.0
221;Total health and social care providers;Voluntary schemes (incl. OOP);2019;17586.0
222;Total health and social care providers;Voluntary schemes (incl. OOP);2020;16623.0
223;Total health and social care providers;Voluntary schemes (incl. OOP);2021;18019.0
224;Total health and social care providers;Voluntary schemes (incl. OOP);2022;18979.0
225;Total health and social care providers;HF2: Voluntary schemes;1998;6601.0
226;Total health and social care providers;HF2: Voluntary schemes;1999;7315.0
227;Total health and social care providers;HF2: Voluntary schemes;2000;7772.0
228;Total health and social care providers;HF2: Voluntary schemes;2001;8734.0
229;Total health and social care providers;HF2: Voluntary schemes;2002;10184.0
230;Total health and social care providers;HF2: Voluntary schemes;2003;11029.0
231;Total health and social care providers;HF2: Voluntary schemes;2004;12057.0
232;Total health and social care providers;HF2: Voluntary schemes;2005;12300.0
233;Total health and social care providers;HF2: Voluntary schemes;2006;5324.0
234;Total health and social care providers;HF2: Voluntary schemes;2007;4973.0
235;Total health and social care providers;HF2: Voluntary schemes;2008;5017.0
236;Total health and social care providers;HF2: Voluntary schemes;2009;5401.0
237;Total health and social care providers;HF2: Voluntary schemes;2010;5473.0
238;Total health and social care providers;HF2: Voluntary schemes;2011;5826.0
239;Total health and social care providers;HF2: Voluntary schemes;2012;5996.0
240;Total health and social care providers;HF2: Voluntary schemes;2013;5714.0
241;Total health and social care providers;HF2: Voluntary schemes;2014;5858.0
242;Total health and social care providers;HF2: Voluntary schemes;2015;5864.0
243;Total health and social care providers;HF2: Voluntary schemes;2016;6184.0
244;Total health and social care providers;HF2: Voluntary schemes;2017;6145.0
245;Total health and social care providers;HF2: Voluntary schemes;2018;6249.0
246;Total health and social care providers;HF2: Voluntary schemes;2019;6395.0
247;Total health and social care providers;HF2: Voluntary schemes;2020;5944.0
248;Total health and social care providers;HF2: Voluntary schemes;2021;6418.0
249;Total health and social care providers;HF2: Voluntary schemes;2022;6633.0
250;Total health and social care providers;HF21: Voluntary health insurance schemes;1998;5439.0
251;Total health and social care providers;HF21: Voluntary health insurance schemes;1999;6004.0
252;Total health and social care providers;HF21: Voluntary health insurance schemes;2000;6263.0
253;Total health and social care providers;HF21: Voluntary health insurance schemes;2001;7016.0
254;Total health and social care providers;HF21: Voluntary health insurance schemes;2002;8051.0
255;Total health and social care providers;HF21: Voluntary health insurance schemes;2003;8688.0
256;Total health and social care providers;HF21: Voluntary health insurance schemes;2004;9649.0
257;Total health and social care providers;HF21: Voluntary health insurance schemes;2005;10159.0
258;Total health and social care providers;HF21: Voluntary health insurance schemes;2006;3414.0
259;Total health and social care providers;HF21: Voluntary health insurance schemes;2007;3663.0
260;Total health and social care providers;HF21: Voluntary health insurance schemes;2008;3668.0
261;Total health and social care providers;HF21: Voluntary health insurance schemes;2009;3943.0
262;Total health and social care providers;HF21: Voluntary health insurance schemes;2010;3986.0
263;Total health and social care providers;HF21: Voluntary health insurance schemes;2011;4337.0
264;Total health and social care providers;HF21: Voluntary health insurance schemes;2012;4452.0
265;Total health and social care providers;HF21: Voluntary health insurance schemes;2013;4251.0
266;Total health and social care providers;HF21: Voluntary health insurance schemes;2014;4303.0
267;Total health and social care providers;HF21: Voluntary health insurance schemes;2015;4225.0
268;Total health and social care providers;HF21: Voluntary health insurance schemes;2016;4464.0
269;Total health and social care providers;HF21: Voluntary health insurance schemes;2017;4356.0
270;Total health and social care providers;HF21: Voluntary health insurance schemes;2018;4360.0
271;Total health and social care providers;HF21: Voluntary health insurance schemes;2019;4357.0
272;Total health and social care providers;HF21: Voluntary health insurance schemes;2020;3848.0
273;Total health and social care providers;HF21: Voluntary health insurance schemes;2021;4120.0
274;Total health and social care providers;HF21: Voluntary health insurance schemes;2022;4229.0
275;Total health and social care providers;HF22: Financing schemes NPI;1998;0.0
276;Total health and social care providers;HF22: Financing schemes NPI;1999;0.0
277;Total health and social care providers;HF22: Financing schemes NPI;2000;0.0
278;Total health and social care providers;HF22: Financing schemes NPI;2001;0.0
279;Total health and social care providers;HF22: Financing schemes NPI;2002;0.0
280;Total health and social care providers;HF22: Financing schemes NPI;2003;0.0
281;Total health and social care providers;HF22: Financing schemes NPI;2004;0.0
282;Total health and social care providers;HF22: Financing schemes NPI;2005;0.0
283;Total health and social care providers;HF22: Financing schemes NPI;2006;0.0
284;Total health and social care providers;HF22: Financing schemes NPI;2007;0.0
285;Total health and social care providers;HF22: Financing schemes NPI;2008;0.0
286;Total health and social care providers;HF22: Financing schemes NPI;2009;0.0
287;Total health and social care providers;HF22: Financing schemes NPI;2010;0.0
288;Total health and social care providers;HF22: Financing schemes NPI;2011;0.0
289;Total health and social care providers;HF22: Financing schemes NPI;2012;0.0
290;Total health and social care providers;HF22: Financing schemes NPI;2013;0.0
291;Total health and social care providers;HF22: Financing schemes NPI;2014;0.0
292;Total health and social care providers;HF22: Financing schemes NPI;2015;0.0
293;Total health and social care providers;HF22: Financing schemes NPI;2016;0.0
294;Total health and social care providers;HF22: Financing schemes NPI;2017;0.0
295;Total health and social care providers;HF22: Financing schemes NPI;2018;0.0
296;Total health and social care providers;HF22: Financing schemes NPI;2019;0.0
297;Total health and social care providers;HF22: Financing schemes NPI;2020;0.0
298;Total health and social care providers;HF22: Financing schemes NPI;2021;0.0
299;Total health and social care providers;HF22: Financing schemes NPI;2022;0.0
300;Total health and social care providers;HF23: Enterprise financing schemes;1998;1162.0
301;Total health and social care providers;HF23: Enterprise financing schemes;1999;1310.0
302;Total health and social care providers;HF23: Enterprise financing schemes;2000;1509.0
303;Total health and social care providers;HF23: Enterprise financing schemes;2001;1718.0
304;Total health and social care providers;HF23: Enterprise financing schemes;2002;2134.0
305;Total health and social care providers;HF23: Enterprise financing schemes;2003;2341.0
306;Total health and social care providers;HF23: Enterprise financing schemes;2004;2407.0
307;Total health and social care providers;HF23: Enterprise financing schemes;2005;2141.0
308;Total health and social care providers;HF23: Enterprise financing schemes;2006;1910.0
309;Total health and social care providers;HF23: Enterprise financing schemes;2007;1310.0
310;Total health and social care providers;HF23: Enterprise financing schemes;2008;1348.0
311;Total health and social care providers;HF23: Enterprise financing schemes;2009;1458.0
312;Total health and social care providers;HF23: Enterprise financing schemes;2010;1487.0
313;Total health and social care providers;HF23: Enterprise financing schemes;2011;1489.0
314;Total health and social care providers;HF23: Enterprise financing schemes;2012;1544.0
315;Total health and social care providers;HF23: Enterprise financing schemes;2013;1464.0
316;Total health and social care providers;HF23: Enterprise financing schemes;2014;1555.0
317;Total health and social care providers;HF23: Enterprise financing schemes;2015;1639.0
318;Total health and social care providers;HF23: Enterprise financing schemes;2016;1720.0
319;Total health and social care providers;HF23: Enterprise financing schemes;2017;1788.0
320;Total health and social care providers;HF23: Enterprise financing schemes;2018;1889.0
321;Total health and social care providers;HF23: Enterprise financing schemes;2019;2038.0
322;Total health and social care providers;HF23: Enterprise financing schemes;2020;2096.0
323;Total health and social care providers;HF23: Enterprise financing schemes;2021;2298.0
324;Total health and social care providers;HF23: Enterprise financing schemes;2022;2404.0
325;Total health and social care providers;HF3: Household out-of-pocket payments;1998;4245.0
326;Total health and social care providers;HF3: Household out-of-pocket payments;1999;4586.0
327;Total health and social care providers;HF3: Household out-of-pocket payments;2000;4838.0
328;Total health and social care providers;HF3: Household out-of-pocket payments;2001;5105.0
329;Total health and social care providers;HF3: Household out-of-pocket payments;2002;5361.0
330;Total health and social care providers;HF3: Household out-of-pocket payments;2003;5701.0
331;Total health and social care providers;HF3: Household out-of-pocket payments;2004;6215.0
332;Total health and social care providers;HF3: Household out-of-pocket payments;2005;6317.0
333;Total health and social care providers;HF3: Household out-of-pocket payments;2006;5708.0
334;Total health and social care providers;HF3: Household out-of-pocket payments;2007;5955.0
335;Total health and social care providers;HF3: Household out-of-pocket payments;2008;7411.0
336;Total health and social care providers;HF3: Household out-of-pocket payments;2009;7285.0
337;Total health and social care providers;HF3: Household out-of-pocket payments;2010;7730.0
338;Total health and social care providers;HF3: Household out-of-pocket payments;2011;8449.0
339;Total health and social care providers;HF3: Household out-of-pocket payments;2012;9415.0
340;Total health and social care providers;HF3: Household out-of-pocket payments;2013;10640.0
341;Total health and social care providers;HF3: Household out-of-pocket payments;2014;10568.0
342;Total health and social care providers;HF3: Household out-of-pocket payments;2015;10488.0
343;Total health and social care providers;HF3: Household out-of-pocket payments;2016;10639.0
344;Total health and social care providers;HF3: Household out-of-pocket payments;2017;10632.0
345;Total health and social care providers;HF3: Household out-of-pocket payments;2018;10853.0
346;Total health and social care providers;HF3: Household out-of-pocket payments;2019;11191.0
347;Total health and social care providers;HF3: Household out-of-pocket payments;2020;10679.0
348;Total health and social care providers;HF3: Household out-of-pocket payments;2021;11601.0
349;Total health and social care providers;HF3: Household out-of-pocket payments;2022;12346.0
350;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;1998;2637.0
351;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;1999;2912.0
352;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;2000;3153.0
353;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;2001;3391.0
354;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;2002;3585.0
355;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;2003;3915.0
356;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;2004;4265.0
357;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;2005;4313.0
358;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;2006;3798.0
359;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;2007;4095.0
360;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;2008;4175.0
361;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;2009;3886.0
362;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;2010;4208.0
363;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;2011;4696.0
364;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;2012;5237.0
365;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;2013;5329.0
366;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;2014;5109.0
367;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;2015;5247.0
368;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;2016;5329.0
369;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;2017;5388.0
370;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;2018;5626.0
371;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;2019;5948.0
372;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;2020;5496.0
373;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;2021;6253.0
374;Total health and social care providers;HF31: Out-of-pocket excl cost sharing;2022;6883.0
375;Total health and social care providers;HF32: Cost sharing;1998;1608.0
376;Total health and social care providers;HF32: Cost sharing;1999;1674.0
377;Total health and social care providers;HF32: Cost sharing;2000;1685.0
378;Total health and social care providers;HF32: Cost sharing;2001;1714.0
379;Total health and social care providers;HF32: Cost sharing;2002;1776.0
380;Total health and social care providers;HF32: Cost sharing;2003;1786.0
381;Total health and social care providers;HF32: Cost sharing;2004;1950.0
382;Total health and social care providers;HF32: Cost sharing;2005;2004.0
383;Total health and social care providers;HF32: Cost sharing;2006;1911.0
384;Total health and social care providers;HF32: Cost sharing;2007;1860.0
385;Total health and social care providers;HF32: Cost sharing;2008;3237.0
386;Total health and social care providers;HF32: Cost sharing;2009;3398.0
387;Total health and social care providers;HF32: Cost sharing;2010;3523.0
388;Total health and social care providers;HF32: Cost sharing;2011;3752.0
389;Total health and social care providers;HF32: Cost sharing;2012;4178.0
390;Total health and social care providers;HF32: Cost sharing;2013;5311.0
391;Total health and social care providers;HF32: Cost sharing;2014;5459.0
392;Total health and social care providers;HF32: Cost sharing;2015;5241.0
393;Total health and social care providers;HF32: Cost sharing;2016;5310.0
394;Total health and social care providers;HF32: Cost sharing;2017;5244.0
395;Total health and social care providers;HF32: Cost sharing;2018;5228.0
396;Total health and social care providers;HF32: Cost sharing;2019;5243.0
397;Total health and social care providers;HF32: Cost sharing;2020;5183.0
398;Total health and social care providers;HF32: Cost sharing;2021;5348.0
399;Total health and social care providers;HF32: Cost sharing;2022;5463.0
400;Total health and social care providers;"Rest of the world; exports";1998;122.0
401;Total health and social care providers;"Rest of the world; exports";1999;125.0
402;Total health and social care providers;"Rest of the world; exports";2000;129.0
403;Total health and social care providers;"Rest of the world; exports";2001;136.0
404;Total health and social care providers;"Rest of the world; exports";2002;164.0
405;Total health and social care providers;"Rest of the world; exports";2003;158.0
406;Total health and social care providers;"Rest of the world; exports";2004;162.0
407;Total health and social care providers;"Rest of the world; exports";2005;171.0
408;Total health and social care providers;"Rest of the world; exports";2006;164.0
409;Total health and social care providers;"Rest of the world; exports";2007;165.0
410;Total health and social care providers;"Rest of the world; exports";2008;166.0
411;Total health and social care providers;"Rest of the world; exports";2009;183.0
412;Total health and social care providers;"Rest of the world; exports";2010;191.0
413;Total health and social care providers;"Rest of the world; exports";2011;204.0
414;Total health and social care providers;"Rest of the world; exports";2012;213.0
415;Total health and social care providers;"Rest of the world; exports";2013;206.0
416;Total health and social care providers;"Rest of the world; exports";2014;196.0
417;Total health and social care providers;"Rest of the world; exports";2015;207.0
418;Total health and social care providers;"Rest of the world; exports";2016;208.0
419;Total health and social care providers;"Rest of the world; exports";2017;211.0
420;Total health and social care providers;"Rest of the world; exports";2018;219.0
421;Total health and social care providers;"Rest of the world; exports";2019;229.0
422;Total health and social care providers;"Rest of the world; exports";2020;224.0
423;Total health and social care providers;"Rest of the world; exports";2021;222.0
424;Total health and social care providers;"Rest of the world; exports";2022;252.0
