ID;Kenmerken;Perioden;TotaalWerkzameArbeidsgehandicapten_1;TotaalPersonenMetAanpassingenOpWerk_2;TotaalPersonenAanpassingenNogNodig_3;GeenAanpassingenOpHetWerkNodig_4;TotaalPersonenMetAanpassingenOpWerk_5;AangepastHulpmiddelenOfMeubilair_6;AangepastWerktijden_7;AangepastHoeveelheidWerk_8;AangepastFunctieOfTakenpakket_9;AangepastAndereAanpassing_10;TotaalPersonenAanpassingenNogNodig_11;NodigAanpassingHulpmiddelenMeubilair_12;NodigAanpassingWerktijden_13;NodigAanpassingHoeveelheidWerk_14;NodigAanpassingFunctieOfTakenpakket_15;NodigAanpassingAndereAanpassing_16;GeenAanpassingenOpHetWerkNodig_17
43;35 tot 45 jarigen;2002;214.0;67.0;38.0;109.0;67.0;30.0;19.0;17.0;28.0;7.0;38.0;16.0;5.0;9.0;14.0;8.0;109.0
44;35 tot 45 jarigen;2003;211.0;68.0;37.0;106.0;68.0;26.0;19.0;16.0;26.0;9.0;37.0;15.0;6.0;10.0;13.0;10.0;106.0
45;35 tot 45 jarigen;2004;202.0;62.0;36.0;104.0;62.0;25.0;18.0;14.0;24.0;8.0;36.0;13.0;5.0;9.0;13.0;9.0;104.0
46;35 tot 45 jarigen;2005;195.0;57.0;34.0;104.0;57.0;21.0;20.0;11.0;23.0;7.0;34.0;15.0;5.0;7.0;13.0;6.0;104.0
47;35 tot 45 jarigen;2006 ;172.0;55.0;32.0;84.0;55.0;24.0;18.0;10.0;23.0;3.0;32.0;11.0;6.0;9.0;12.0;5.0;84.0
48;45 tot 55 jarigen;2000;228.0;58.0;45.0;125.0;58.0;27.0;21.0;15.0;25.0;5.0;45.0;16.0;9.0;13.0;14.0;12.0;125.0
49;45 tot 55 jarigen;2001 voor revisie;242.0;69.0;45.0;128.0;69.0;31.0;17.0;16.0;24.0;10.0;45.0;16.0;10.0;14.0;19.0;10.0;128.0
50;45 tot 55 jarigen;2001 na revisie;234.0;66.0;42.0;126.0;66.0;28.0;17.0;16.0;23.0;9.0;42.0;14.0;10.0;13.0;18.0;10.0;126.0
51;45 tot 55 jarigen;2002;231.0;68.0;36.0;127.0;68.0;27.0;18.0;15.0;27.0;10.0;36.0;16.0;5.0;9.0;13.0;7.0;127.0
52;45 tot 55 jarigen;2003;231.0;66.0;41.0;124.0;66.0;25.0;22.0;16.0;26.0;9.0;41.0;17.0;9.0;11.0;14.0;9.0;124.0
53;45 tot 55 jarigen;2004;231.0;68.0;37.0;126.0;68.0;25.0;23.0;17.0;27.0;9.0;37.0;13.0;7.0;9.0;13.0;9.0;126.0
54;45 tot 55 jarigen;2005;232.0;69.0;39.0;125.0;69.0;26.0;21.0;16.0;26.0;9.0;39.0;13.0;7.0;10.0;14.0;9.0;125.0
55;45 tot 55 jarigen;2006 ;203.0;63.0;29.0;111.0;63.0;22.0;20.0;16.0;28.0;3.0;29.0;11.0;7.0;6.0;10.0;6.0;111.0
56;55 tot 65 jarigen;2000;99.0;21.0;15.0;63.0;21.0;8.0;6.0;4.0;9.0;5.0;15.0;5.0;4.0;5.0;3.0;5.0;63.0
57;55 tot 65 jarigen;2001 voor revisie;105.0;26.0;14.0;66.0;26.0;8.0;8.0;8.0;10.0;3.0;14.0;3.0;4.0;4.0;4.0;3.0;66.0
58;55 tot 65 jarigen;2001 na revisie;98.0;24.0;12.0;63.0;24.0;7.0;8.0;8.0;10.0;2.0;12.0;3.0;3.0;4.0;4.0;3.0;63.0
59;55 tot 65 jarigen;2002;110.0;29.0;15.0;67.0;29.0;10.0;9.0;10.0;12.0;4.0;15.0;6.0;4.0;3.0;5.0;5.0;67.0
60;55 tot 65 jarigen;2003;118.0;32.0;17.0;69.0;32.0;9.0;11.0;10.0;12.0;3.0;17.0;6.0;4.0;5.0;4.0;5.0;69.0
61;55 tot 65 jarigen;2004;124.0;34.0;16.0;74.0;34.0;10.0;11.0;11.0;15.0;3.0;16.0;5.0;4.0;6.0;6.0;2.0;74.0
62;55 tot 65 jarigen;2005;123.0;38.0;16.0;69.0;38.0;14.0;11.0;9.0;16.0;4.0;16.0;5.0;4.0;5.0;7.0;2.0;69.0
63;55 tot 65 jarigen;2006 ;134.0;39.0;17.0;78.0;39.0;11.0;13.0;10.0;18.0;3.0;17.0;6.0;4.0;7.0;4.0;5.0;78.0
64;Onderwijsniveau: laag;2000;276.0;63.0;51.0;162.0;63.0;20.0;15.0;14.0;29.0;10.0;51.0;18.0;9.0;12.0;15.0;14.0;162.0
65;Onderwijsniveau: laag;2001 voor revisie;276.0;71.0;48.0;157.0;71.0;24.0;18.0;16.0;30.0;10.0;48.0;16.0;8.0;11.0;16.0;11.0;157.0
66;Onderwijsniveau: laag;2001 na revisie;280.0;70.0;49.0;161.0;70.0;23.0;18.0;17.0;30.0;10.0;49.0;16.0;8.0;11.0;16.0;11.0;161.0
67;Onderwijsniveau: laag;2002;268.0;78.0;40.0;151.0;78.0;27.0;18.0;19.0;35.0;9.0;40.0;16.0;6.0;8.0;16.0;9.0;151.0
68;Onderwijsniveau: laag;2003;269.0;69.0;43.0;158.0;69.0;20.0;20.0;15.0;33.0;9.0;43.0;17.0;7.0;10.0;16.0;10.0;158.0
69;Onderwijsniveau: laag;2004;233.0;65.0;38.0;130.0;65.0;17.0;18.0;15.0;31.0;7.0;38.0;13.0;6.0;8.0;16.0;6.0;130.0
70;Onderwijsniveau: laag;2005;225.0;64.0;36.0;125.0;64.0;16.0;23.0;15.0;30.0;7.0;36.0;13.0;5.0;8.0;16.0;6.0;125.0
71;Onderwijsniveau: laag;2006 ;202.0;60.0;35.0;107.0;60.0;17.0;18.0;13.0;32.0;3.0;35.0;13.0;8.0;6.0;13.0;8.0;107.0
72;Onderwijsniveau: middelbaar;2000;325.0;84.0;59.0;182.0;84.0;44.0;23.0;14.0;29.0;10.0;59.0;28.0;10.0;15.0;16.0;17.0;182.0
73;Onderwijsniveau: middelbaar;2001 voor revisie;344.0;100.0;61.0;183.0;100.0;46.0;29.0;23.0;34.0;12.0;61.0;26.0;12.0;15.0;20.0;16.0;183.0
74;Onderwijsniveau: middelbaar;2001 na revisie;339.0;97.0;58.0;184.0;97.0;44.0;28.0;22.0;33.0;12.0;58.0;24.0;12.0;15.0;19.0;15.0;184.0
75;Onderwijsniveau: middelbaar;2002;341.0;96.0;56.0;189.0;96.0;41.0;27.0;25.0;38.0;11.0;56.0;25.0;7.0;12.0;18.0;15.0;189.0
76;Onderwijsniveau: middelbaar;2003;328.0;106.0;55.0;168.0;106.0;44.0;33.0;27.0;36.0;13.0;55.0;25.0;10.0;13.0;16.0;14.0;168.0
77;Onderwijsniveau: middelbaar;2004;330.0;96.0;54.0;179.0;96.0;39.0;28.0;22.0;37.0;11.0;54.0;20.0;10.0;14.0;20.0;12.0;179.0
78;Onderwijsniveau: middelbaar;2005;330.0;99.0;54.0;177.0;99.0;39.0;26.0;20.0;39.0;15.0;54.0;21.0;9.0;12.0;19.0;12.0;177.0
79;Onderwijsniveau: middelbaar;2006 ;318.0;101.0;52.0;165.0;101.0;33.0;35.0;27.0;49.0;7.0;52.0;21.0;11.0;13.0;15.0;8.0;165.0
80;Onderwijsniveau: hoog;2000;158.0;50.0;36.0;72.0;50.0;29.0;15.0;13.0;16.0;7.0;36.0;14.0;11.0;14.0;12.0;9.0;72.0
81;Onderwijsniveau: hoog;2001 voor revisie;148.0;45.0;26.0;77.0;45.0;24.0;12.0;9.0;15.0;5.0;26.0;11.0;7.0;9.0;10.0;6.0;77.0
82;Onderwijsniveau: hoog;2001 na revisie;140.0;42.0;25.0;73.0;42.0;22.0;11.0;9.0;14.0;5.0;25.0;11.0;6.0;9.0;10.0;6.0;73.0
83;Onderwijsniveau: hoog;2002;156.0;52.0;26.0;78.0;52.0;26.0;21.0;14.0;19.0;6.0;26.0;11.0;6.0;7.0;7.0;6.0;78.0
84;Onderwijsniveau: hoog;2003;156.0;50.0;26.0;80.0;50.0;27.0;17.0;13.0;16.0;7.0;26.0;10.0;6.0;7.0;7.0;7.0;80.0
85;Onderwijsniveau: hoog;2004;173.0;58.0;25.0;90.0;58.0;26.0;22.0;18.0;19.0;8.0;25.0;10.0;5.0;8.0;7.0;7.0;90.0
86;Onderwijsniveau: hoog;2005;153.0;49.0;24.0;80.0;49.0;23.0;19.0;12.0;14.0;6.0;24.0;9.0;5.0;7.0;8.0;6.0;80.0
87;Onderwijsniveau: hoog;2006 ;141.0;40.0;17.0;84.0;40.0;19.0;14.0;10.0;11.0;6.0;17.0;5.0;4.0;7.0;6.0;5.0;84.0
88;Onderwijsniveau: onbekend;2000;3.0;;;2.0;;;;;;;;;;;;;2.0
89;Onderwijsniveau: onbekend;2001 voor revisie;;;;;;;;;;;;;;;;;
90;Onderwijsniveau: onbekend;2001 na revisie;;;;;;;;;;;;;;;;;
91;Onderwijsniveau: onbekend;2002;;;;;;;;;;;;;;;;;
92;Onderwijsniveau: onbekend;2003;;;;;;;;;;;;;;;;;
93;Onderwijsniveau: onbekend;2004;;;;;;;;;;;;;;;;;
94;Onderwijsniveau: onbekend;2005;;;;;;;;;;;;;;;;;
95;Onderwijsniveau: onbekend;2006 ;;;;;;;;;;;;;;;;;
96;Arbeidsduur: 12 tot 20 uur per week;2000;79.0;19.0;13.0;47.0;19.0;6.0;8.0;6.0;6.0;2.0;13.0;5.0;3.0;3.0;3.0;4.0;47.0
97;Arbeidsduur: 12 tot 20 uur per week;2001 voor revisie;78.0;19.0;10.0;48.0;19.0;7.0;7.0;6.0;7.0;3.0;10.0;4.0;;;4.0;2.0;48.0
98;Arbeidsduur: 12 tot 20 uur per week;2001 na revisie;79.0;19.0;11.0;49.0;19.0;7.0;7.0;6.0;8.0;3.0;11.0;4.0;;;4.0;2.0;49.0
99;Arbeidsduur: 12 tot 20 uur per week;2002;83.0;23.0;11.0;49.0;23.0;8.0;9.0;8.0;10.0;3.0;11.0;5.0;3.0;2.0;4.0;2.0;49.0
100;Arbeidsduur: 12 tot 20 uur per week;2003;86.0;22.0;14.0;49.0;22.0;6.0;9.0;8.0;8.0;2.0;14.0;6.0;3.0;2.0;5.0;3.0;49.0
101;Arbeidsduur: 12 tot 20 uur per week;2004;85.0;24.0;12.0;49.0;24.0;8.0;9.0;7.0;10.0;3.0;12.0;6.0;2.0;3.0;3.0;3.0;49.0
102;Arbeidsduur: 12 tot 20 uur per week;2005;89.0;26.0;11.0;52.0;26.0;7.0;12.0;7.0;10.0;3.0;11.0;4.0;;2.0;5.0;2.0;52.0
103;Arbeidsduur: 12 tot 20 uur per week;2006 ;82.0;22.0;12.0;48.0;22.0;5.0;9.0;6.0;15.0;;12.0;5.0;3.0;3.0;5.0;;48.0
104;Arbeidsduur: 20 tot 35 uur per week;2000;228.0;65.0;45.0;118.0;65.0;31.0;20.0;14.0;28.0;6.0;45.0;19.0;9.0;13.0;16.0;12.0;118.0
105;Arbeidsduur: 20 tot 35 uur per week;2001 voor revisie;233.0;72.0;36.0;125.0;72.0;31.0;23.0;17.0;26.0;8.0;36.0;16.0;8.0;10.0;14.0;8.0;125.0
106;Arbeidsduur: 20 tot 35 uur per week;2001 na revisie;229.0;71.0;34.0;123.0;71.0;30.0;24.0;18.0;26.0;7.0;34.0;16.0;7.0;9.0;12.0;8.0;123.0
107;Arbeidsduur: 20 tot 35 uur per week;2002;231.0;70.0;39.0;122.0;70.0;31.0;24.0;20.0;27.0;8.0;39.0;19.0;6.0;10.0;12.0;9.0;122.0
108;Arbeidsduur: 20 tot 35 uur per week;2003;249.0;86.0;37.0;126.0;86.0;37.0;31.0;22.0;33.0;11.0;37.0;17.0;7.0;8.0;10.0;9.0;126.0
109;Arbeidsduur: 20 tot 35 uur per week;2004;238.0;77.0;34.0;127.0;77.0;29.0;29.0;22.0;31.0;7.0;34.0;13.0;6.0;9.0;12.0;8.0;127.0
110;Arbeidsduur: 20 tot 35 uur per week;2005;236.0;76.0;37.0;124.0;76.0;31.0;29.0;19.0;27.0;8.0;37.0;14.0;6.0;10.0;14.0;8.0;124.0
111;Arbeidsduur: 20 tot 35 uur per week;2006 ;224.0;72.0;39.0;114.0;72.0;27.0;29.0;19.0;30.0;9.0;39.0;15.0;12.0;13.0;13.0;8.0;114.0
112;Arbeidsduur: 35 uur of meer per week;2000;456.0;114.0;88.0;254.0;114.0;56.0;26.0;22.0;41.0;19.0;88.0;35.0;18.0;25.0;24.0;24.0;254.0
113;Arbeidsduur: 35 uur of meer per week;2001 voor revisie;462.0;127.0;89.0;246.0;127.0;56.0;29.0;25.0;46.0;17.0;89.0;33.0;19.0;25.0;30.0;22.0;246.0
114;Arbeidsduur: 35 uur of meer per week;2001 na revisie;455.0;121.0;87.0;247.0;121.0;53.0;26.0;24.0;44.0;17.0;87.0;31.0;19.0;25.0;30.0;22.0;247.0
115;Arbeidsduur: 35 uur of meer per week;2002;454.0;134.0;73.0;247.0;134.0;55.0;33.0;30.0;54.0;16.0;73.0;28.0;11.0;15.0;25.0;19.0;247.0
116;Arbeidsduur: 35 uur of meer per week;2003;422.0;117.0;72.0;233.0;117.0;47.0;30.0;25.0;44.0;17.0;72.0;28.0;14.0;20.0;24.0;19.0;233.0
117;Arbeidsduur: 35 uur of meer per week;2004;419.0;119.0;72.0;228.0;119.0;46.0;30.0;26.0;46.0;16.0;72.0;25.0;13.0;18.0;28.0;15.0;228.0
118;Arbeidsduur: 35 uur of meer per week;2005;387.0;112.0;67.0;208.0;112.0;42.0;28.0;22.0;45.0;17.0;67.0;24.0;12.0;15.0;25.0;14.0;208.0
119;Arbeidsduur: 35 uur of meer per week;2006 ;360.0;109.0;55.0;197.0;109.0;38.0;30.0;25.0;49.0;8.0;55.0;19.0;8.0;11.0;16.0;13.0;197.0
120;Beroepsniveau: elementair en lager;2000;291.0;70.0;61.0;160.0;70.0;24.0;17.0;15.0;33.0;11.0;61.0;22.0;10.0;14.0;18.0;18.0;160.0
121;Beroepsniveau: elementair en lager;2001 voor revisie;284.0;72.0;55.0;156.0;72.0;24.0;19.0;15.0;31.0;9.0;55.0;19.0;11.0;12.0;19.0;12.0;156.0
122;Beroepsniveau: elementair en lager;2001 na revisie;289.0;72.0;55.0;162.0;72.0;24.0;18.0;16.0;31.0;9.0;55.0;19.0;11.0;12.0;19.0;12.0;162.0
123;Beroepsniveau: elementair en lager;2002;287.0;78.0;49.0;161.0;78.0;25.0;19.0;16.0;37.0;10.0;49.0;20.0;7.0;10.0;19.0;12.0;161.0
124;Beroepsniveau: elementair en lager;2003;282.0;78.0;45.0;159.0;78.0;20.0;23.0;18.0;35.0;12.0;45.0;18.0;7.0;10.0;16.0;11.0;159.0
125;Beroepsniveau: elementair en lager;2004;290.0;81.0;49.0;160.0;81.0;20.0;23.0;18.0;38.0;9.0;49.0;15.0;8.0;12.0;20.0;10.0;160.0
126;Beroepsniveau: elementair en lager;2005;276.0;76.0;49.0;151.0;76.0;20.0;23.0;16.0;36.0;9.0;49.0;17.0;8.0;11.0;21.0;9.0;151.0
127;Beroepsniveau: elementair en lager;2006 ;259.0;79.0;46.0;134.0;79.0;23.0;24.0;16.0;41.0;6.0;46.0;16.0;13.0;7.0;15.0;9.0;134.0
128;Beroepsniveau: middelbaar;2000;288.0;77.0;46.0;165.0;77.0;41.0;22.0;14.0;26.0;10.0;46.0;22.0;8.0;12.0;12.0;13.0;165.0
129;Beroepsniveau: middelbaar;2001 voor revisie;298.0;87.0;47.0;164.0;87.0;37.0;25.0;21.0;31.0;12.0;47.0;18.0;9.0;13.0;17.0;11.0;164.0
130;Beroepsniveau: middelbaar;2001 na revisie;295.0;85.0;47.0;163.0;85.0;35.0;25.0;21.0;30.0;12.0;47.0;19.0;9.0;14.0;16.0;11.0;163.0
131;Beroepsniveau: middelbaar;2002;299.0;89.0;46.0;164.0;89.0;40.0;26.0;26.0;32.0;10.0;46.0;18.0;8.0;10.0;14.0;11.0;164.0
132;Beroepsniveau: middelbaar;2003;291.0;90.0;47.0;153.0;90.0;40.0;28.0;23.0;33.0;10.0;47.0;21.0;9.0;12.0;13.0;12.0;153.0
133;Beroepsniveau: middelbaar;2004;293.0;88.0;46.0;158.0;88.0;38.0;26.0;23.0;32.0;10.0;46.0;19.0;9.0;12.0;15.0;10.0;158.0
134;Beroepsniveau: middelbaar;2005;277.0;87.0;43.0;147.0;87.0;36.0;27.0;18.0;33.0;12.0;43.0;17.0;7.0;10.0;15.0;10.0;147.0
135;Beroepsniveau: middelbaar;2006 ;268.0;87.0;38.0;143.0;87.0;32.0;31.0;24.0;39.0;6.0;38.0;17.0;6.0;13.0;11.0;7.0;143.0
136;Beroepsniveau: hoger en wetenschappelijk;2000;173.0;48.0;36.0;88.0;48.0;26.0;13.0;12.0;15.0;6.0;36.0;14.0;11.0;14.0;12.0;9.0;88.0
137;Beroepsniveau: hoger en wetenschappelijk;2001 voor revisie;176.0;54.0;30.0;92.0;54.0;31.0;14.0;11.0;16.0;5.0;30.0;14.0;7.0;10.0;10.0;9.0;92.0
138;Beroepsniveau: hoger en wetenschappelijk;2001 na revisie;165.0;51.0;27.0;87.0;51.0;29.0;13.0;11.0;15.0;5.0;27.0;13.0;7.0;9.0;9.0;8.0;87.0
139;Beroepsniveau: hoger en wetenschappelijk;2002;169.0;56.0;26.0;87.0;56.0;28.0;20.0;15.0;20.0;6.0;26.0;12.0;5.0;8.0;7.0;7.0;87.0
140;Beroepsniveau: hoger en wetenschappelijk;2003;171.0;54.0;29.0;89.0;54.0;28.0;19.0;14.0;15.0;8.0;29.0;12.0;8.0;7.0;9.0;7.0;89.0
141;Beroepsniveau: hoger en wetenschappelijk;2004;157.0;52.0;22.0;83.0;52.0;24.0;20.0;15.0;17.0;7.0;22.0;9.0;4.0;6.0;7.0;6.0;83.0
142;Beroepsniveau: hoger en wetenschappelijk;2005;151.0;48.0;23.0;81.0;48.0;23.0;18.0;13.0;13.0;6.0;23.0;8.0;5.0;6.0;8.0;6.0;81.0
143;Beroepsniveau: hoger en wetenschappelijk;2006 ;134.0;35.0;21.0;77.0;35.0;15.0;13.0;9.0;12.0;5.0;21.0;7.0;3.0;8.0;7.0;5.0;77.0
144;Beroepsniveau: onbekend;2000;11.0;3.0;2.0;6.0;3.0;2.0;;2.0;;;2.0;;;;;;6.0
145;Beroepsniveau: onbekend;2001 voor revisie;;;;;;;;;;;;;;;;;
146;Beroepsniveau: onbekend;2001 na revisie;;;;;;;;;;;;;;;;;
147;Beroepsniveau: onbekend;2002;;;;;;;;;;;;;;;;;
148;Beroepsniveau: onbekend;2003;;;;;;;;;;;;;;;;;
149;Beroepsniveau: onbekend;2004;;;;;;;;;;;;;;;;;
150;Beroepsniveau: onbekend;2005;;;;;;;;;;;;;;;;;
151;Beroepsniveau: onbekend;2006 ;;;;;;;;;;;;;;;;;
152;Aandoening: rug- en gewrichtsklachten;2000;453.0;134.0;96.0;222.0;134.0;76.0;31.0;26.0;51.0;16.0;96.0;48.0;17.0;29.0;29.0;22.0;222.0
153;Aandoening: rug- en gewrichtsklachten;2001 voor revisie;458.0;141.0;91.0;226.0;141.0;72.0;32.0;26.0;51.0;15.0;91.0;44.0;15.0;23.0;32.0;20.0;226.0
154;Aandoening: rug- en gewrichtsklachten;2001 na revisie;490.0;145.0;102.0;243.0;145.0;73.0;33.0;22.0;52.0;16.0;102.0;46.0;14.0;25.0;36.0;21.0;243.0
155;Aandoening: rug- en gewrichtsklachten;2002;;;;;;;;;;;;;;;;;
156;Aandoening: rug- en gewrichtsklachten;2003;;;;;;;;;;;;;;;;;
157;Aandoening: rug- en gewrichtsklachten;2004;;;;;;;;;;;;;;;;;
158;Aandoening: rug- en gewrichtsklachten;2005;;;;;;;;;;;;;;;;;
159;Aandoening: rug- en gewrichtsklachten;2006 ;;;;;;;;;;;;;;;;;
160;Aandoening: problemen armen of handen;2000;;;;;;;;;;;;;;;;;
161;Aandoening: problemen armen of handen;2001 voor revisie;;;;;;;;;;;;;;;;;
