ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudens_1;GemiddBesteedbInkomenPerHuishouden_2;GemiddGestandaardiseerdInkPerHuish_3
231;Zuidoost-Zuid-Holland (CR);Eenpersoonshuishouden;47.0;17.8;17.8
232;Zuidoost-Zuid-Holland (CR);Paar zonder kinderen;49.0;32.4;23.6
233;Zuidoost-Zuid-Holland (CR);Paar met kinderen;50.6;41.4;21.9
234;Zuidoost-Zuid-Holland (CR);Eenoudergezin;7.9;24.8;16.7
235;Zeeuwsch-Vlaanderen (CR);Totaal particulier huishouden;46.3;29.7;20.7
236;Zeeuwsch-Vlaanderen (CR);Eenpersoonshuishouden;13.8;17.6;17.6
237;Zeeuwsch-Vlaanderen (CR);Paar zonder kinderen;16.3;30.7;22.4
238;Zeeuwsch-Vlaanderen (CR);Paar met kinderen;12.6;40.8;22.0
239;Zeeuwsch-Vlaanderen (CR);Eenoudergezin;1.8;23.9;16.5
240;Overig Zeeland (CR);Totaal particulier huishouden;111.7;29.5;20.4
241;Overig Zeeland (CR);Eenpersoonshuishouden;34.3;17.6;17.6
242;Overig Zeeland (CR);Paar zonder kinderen;37.2;31.5;23.0
243;Overig Zeeland (CR);Paar met kinderen;32.6;39.3;20.8
244;Overig Zeeland (CR);Eenoudergezin;4.5;24.6;16.6
245;West-Noord-Brabant (CR);Totaal particulier huishouden;247.2;30.8;21.1
246;West-Noord-Brabant (CR);Eenpersoonshuishouden;69.7;18.1;18.1
247;West-Noord-Brabant (CR);Paar zonder kinderen;82.8;32.0;23.4
248;West-Noord-Brabant (CR);Paar met kinderen;74.5;40.7;21.9
249;West-Noord-Brabant (CR);Eenoudergezin;10.8;24.5;16.7
250;Midden-Noord-Brabant (CR);Totaal particulier huishouden;178.1;30.8;20.9
251;Midden-Noord-Brabant (CR);Eenpersoonshuishouden;50.5;17.9;17.9
252;Midden-Noord-Brabant (CR);Paar zonder kinderen;56.7;31.8;23.2
253;Midden-Noord-Brabant (CR);Paar met kinderen;56.1;41.1;21.9
254;Midden-Noord-Brabant (CR);Eenoudergezin;8.4;24.1;16.2
255;Noordoost-Noord-Brabant (CR);Totaal particulier huishouden;244.8;31.9;21.4
256;Noordoost-Noord-Brabant (CR);Eenpersoonshuishouden;65.3;18.3;18.3
257;Noordoost-Noord-Brabant (CR);Paar zonder kinderen;76.3;32.8;23.9
258;Noordoost-Noord-Brabant (CR);Paar met kinderen;82.6;41.0;21.8
259;Noordoost-Noord-Brabant (CR);Eenoudergezin;10.4;25.7;17.4
260;Zuidoost-Noord-Brabant (CR);Totaal particulier huishouden;295.0;30.9;21.2
261;Zuidoost-Noord-Brabant (CR);Eenpersoonshuishouden;86.5;18.4;18.4
262;Zuidoost-Noord-Brabant (CR);Paar zonder kinderen;95.3;32.6;23.8
263;Zuidoost-Noord-Brabant (CR);Paar met kinderen;89.4;40.6;21.6
264;Zuidoost-Noord-Brabant (CR);Eenoudergezin;12.9;24.8;16.8
265;Noord-Limburg (CR);Totaal particulier huishouden;109.8;30.5;20.5
266;Noord-Limburg (CR);Eenpersoonshuishouden;28.9;17.4;17.4
267;Noord-Limburg (CR);Paar zonder kinderen;35.3;31.3;22.9
268;Noord-Limburg (CR);Paar met kinderen;37.0;39.2;20.9
269;Noord-Limburg (CR);Eenoudergezin;4.5;26.0;17.7
270;Midden-Limburg (CR);Totaal particulier huishouden;94.7;30.5;20.7
271;Midden-Limburg (CR);Eenpersoonshuishouden;25.1;17.4;17.4
272;Midden-Limburg (CR);Paar zonder kinderen;31.3;31.4;22.9
273;Midden-Limburg (CR);Paar met kinderen;30.2;39.8;21.4
274;Midden-Limburg (CR);Eenoudergezin;4.3;25.6;17.5
275;Zuid-Limburg (CR);Totaal particulier huishouden;269.7;28.6;20.0
276;Zuid-Limburg (CR);Eenpersoonshuishouden;85.5;17.3;17.3
277;Zuid-Limburg (CR);Paar zonder kinderen;87.1;30.4;22.2
278;Zuid-Limburg (CR);Paar met kinderen;73.0;39.1;21.2
279;Zuid-Limburg (CR);Eenoudergezin;14.2;23.4;16.1
280;Flevoland (CR);Totaal particulier huishouden;135.1;30.8;20.6
281;Flevoland (CR);Eenpersoonshuishouden;35.2;17.9;17.9
282;Flevoland (CR);Paar zonder kinderen;38.6;32.9;24.0
283;Flevoland (CR);Paar met kinderen;47.0;39.1;20.8
284;Flevoland (CR);Eenoudergezin;8.2;22.2;15.0
285;Groningen (GA);Totaal particulier huishouden;86.6;26.1;19.9
286;Groningen (GA);Eenpersoonshuishouden;41.2;17.8;17.8
287;Groningen (GA);Paar zonder kinderen;24.2;32.7;23.9
288;Groningen (GA);Paar met kinderen;14.4;38.9;21.0
289;Groningen (GA);Eenoudergezin;4.3;20.3;14.0
290;Leeuwarden (GA);Totaal particulier huishouden;40.7;25.5;18.9
291;Leeuwarden (GA);Eenpersoonshuishouden;17.6;16.9;16.9
292;Leeuwarden (GA);Paar zonder kinderen;11.8;30.5;22.2
293;Leeuwarden (GA);Paar met kinderen;8.0;36.8;19.7
294;Leeuwarden (GA);Eenoudergezin;2.0;20.7;14.1
295;Zwolle (GA);Totaal particulier huishouden;46.9;29.1;20.7
296;Zwolle (GA);Eenpersoonshuishouden;17.0;18.0;18.0
297;Zwolle (GA);Paar zonder kinderen;14.1;33.2;24.2
298;Zwolle (GA);Paar met kinderen;12.1;40.2;21.4
299;Zwolle (GA);Eenoudergezin;2.1;21.9;14.8
300;Enschede (GA);Totaal particulier huishouden;63.2;26.2;18.7
301;Enschede (GA);Eenpersoonshuishouden;22.7;16.7;16.7
302;Enschede (GA);Paar zonder kinderen;19.1;29.0;21.2
303;Enschede (GA);Paar met kinderen;15.8;35.7;19.2
304;Enschede (GA);Eenoudergezin;3.1;20.8;14.2
305;Apeldoorn (GA);Totaal particulier huishouden;64.6;30.7;21.3
306;Apeldoorn (GA);Eenpersoonshuishouden;20.5;18.5;18.5
307;Apeldoorn (GA);Paar zonder kinderen;20.3;33.3;24.3
308;Apeldoorn (GA);Paar met kinderen;18.3;40.7;21.7
309;Apeldoorn (GA);Eenoudergezin;3.0;24.8;16.7
310;Arnhem (GA);Totaal particulier huishouden;65.0;26.8;19.7
311;Arnhem (GA);Eenpersoonshuishouden;27.3;17.4;17.4
312;Arnhem (GA);Paar zonder kinderen;18.1;32.4;23.7
313;Arnhem (GA);Paar met kinderen;13.2;38.1;20.5
314;Arnhem (GA);Eenoudergezin;3.6;20.9;14.2
315;Nijmegen (GA);Totaal particulier huishouden;69.1;26.8;19.8
316;Nijmegen (GA);Eenpersoonshuishouden;30.7;17.4;17.4
317;Nijmegen (GA);Paar zonder kinderen;18.3;32.3;23.6
318;Nijmegen (GA);Paar met kinderen;13.9;39.5;21.3
319;Nijmegen (GA);Eenoudergezin;4.0;22.2;15.2
320;Amersfoort (GA);Totaal particulier huishouden;66.2;32.7;22.8
321;Amersfoort (GA);Eenpersoonshuishouden;21.8;19.8;19.8
322;Amersfoort (GA);Paar zonder kinderen;19.3;36.5;26.6
323;Amersfoort (GA);Paar met kinderen;19.6;43.7;23.3
324;Amersfoort (GA);Eenoudergezin;3.1;24.1;16.3
325;Utrecht (GA);Totaal particulier huishouden;173.2;30.3;21.9
326;Utrecht (GA);Eenpersoonshuishouden;70.7;19.3;19.3
327;Utrecht (GA);Paar zonder kinderen;46.6;35.8;26.1
328;Utrecht (GA);Paar met kinderen;39.8;42.5;22.9
329;Utrecht (GA);Eenoudergezin;8.5;24.0;16.2
330;Amsterdam (GA);Totaal particulier huishouden;490.8;27.9;21.1
331;Amsterdam (GA);Eenpersoonshuishouden;237.5;19.3;19.3
332;Amsterdam (GA);Paar zonder kinderen;109.5;35.5;25.9
333;Amsterdam (GA);Paar met kinderen;83.1;41.4;22.4
334;Amsterdam (GA);Eenoudergezin;38.7;23.1;15.7
335;Haarlem (GA);Totaal particulier huishouden;85.6;31.9;23.0
336;Haarlem (GA);Eenpersoonshuishouden;34.8;19.6;19.6
337;Haarlem (GA);Paar zonder kinderen;23.9;37.3;27.3
338;Haarlem (GA);Paar met kinderen;19.4;46.2;24.7
339;Haarlem (GA);Eenoudergezin;4.1;25.5;17.4
340;Leiden (GA);Totaal particulier huishouden;104.5;32.3;22.7
341;Leiden (GA);Eenpersoonshuishouden;38.0;19.7;19.7
342;Leiden (GA);Paar zonder kinderen;29.2;36.1;26.3
343;Leiden (GA);Paar met kinderen;29.3;45.0;23.9
344;Leiden (GA);Eenoudergezin;4.9;26.5;18.0
345;'s-Gravenhage (GA);Totaal particulier huishouden;290.8;29.3;21.7
346;'s-Gravenhage (GA);Eenpersoonshuishouden;128.0;19.8;19.8
347;'s-Gravenhage (GA);Paar zonder kinderen;71.6;35.9;26.2
348;'s-Gravenhage (GA);Paar met kinderen;57.2;42.1;22.7
349;'s-Gravenhage (GA);Eenoudergezin;20.5;23.1;15.7
350;Rotterdam (GA);Totaal particulier huishouden;453.1;27.5;19.9
351;Rotterdam (GA);Eenpersoonshuishouden;179.8;17.7;17.7
352;Rotterdam (GA);Paar zonder kinderen;119.9;32.4;23.6
353;Rotterdam (GA);Paar met kinderen;98.2;39.5;21.3
354;Rotterdam (GA);Eenoudergezin;34.4;21.9;14.9
355;Dordrecht (GA);Totaal particulier huishouden;102.4;30.2;20.8
356;Dordrecht (GA);Eenpersoonshuishouden;32.1;17.8;17.8
357;Dordrecht (GA);Paar zonder kinderen;31.0;32.3;23.6
358;Dordrecht (GA);Paar met kinderen;29.9;40.9;21.8
359;Dordrecht (GA);Eenoudergezin;5.4;23.7;16.0
360;Breda (GA);Totaal particulier huishouden;70.5;30.1;21.4
361;Breda (GA);Eenpersoonshuishouden;24.8;18.7;18.7
362;Breda (GA);Paar zonder kinderen;22.1;33.5;24.5
363;Breda (GA);Paar met kinderen;17.6;41.7;22.3
364;Breda (GA);Eenoudergezin;3.5;23.3;15.8
365;Tilburg (GA);Totaal particulier huishouden;91.0;29.0;20.3
366;Tilburg (GA);Eenpersoonshuishouden;30.4;17.7;17.7
367;Tilburg (GA);Paar zonder kinderen;28.2;31.7;23.1
368;Tilburg (GA);Paar met kinderen;24.1;40.2;21.5
369;Tilburg (GA);Eenoudergezin;4.9;21.8;14.7
370;'s-Hertogenbosch (GA);Totaal particulier huishouden;67.1;31.0;21.8
371;'s-Hertogenbosch (GA);Eenpersoonshuishouden;23.1;19.0;19.0
372;'s-Hertogenbosch (GA);Paar zonder kinderen;19.8;35.0;25.5
373;'s-Hertogenbosch (GA);Paar met kinderen;18.1;41.7;22.4
