ID;Geslacht;Leeftijd;NietGeregistreerdeBeroepen;AanbiedersZorg;Perioden;BrutoLoonSocialeVerzekeringen_1;BanenVanWerknemers_2;BanenVanWerknemersRelatief_3;ArbeidsjarenVanWerknemers_4;ArbeidsjarenVanWerknemersRelatief_5;Zelfstandigen_6;ZelfstandigenRelatief_7
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders gezondheidszorg;2004;34.9;486.0;100.0;347.0;100.0;;
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders gezondheidszorg;2005;34.9;496.0;100.0;354.0;100.0;;
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders gezondheidszorg;2006;35.9;521.0;100.0;376.0;100.0;;
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders gezondheidszorg;2007;36.8;531.0;100.0;387.0;100.0;64.0;100.0
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders gezondheidszorg;2008;39.0;546.0;100.0;395.0;100.0;66.0;100.0
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders gezondheidszorg;2009;40.4;554.0;100.0;401.0;100.0;69.0;100.0
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders gezondheidszorg;2010;41.0;561.0;100.0;406.0;100.0;73.0;100.0
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders gezondheidszorg;2011;42.0;585.0;100.0;436.0;100.0;75.0;100.0
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders gezondheidszorg;2012;43.1;588.0;100.0;427.0;100.0;81.0;100.0
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders gezondheidszorg;2013;40.7;580.0;100.0;421.0;100.0;83.0;100.0
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Ziekenhuizen, specialistenpraktijken;2001;32.0;236.0;100.0;170.0;100.0;;
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Ziekenhuizen, specialistenpraktijken;2002;34.1;250.0;100.0;175.0;100.0;;
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Ziekenhuizen, specialistenpraktijken;2003;35.3;255.0;100.0;181.0;100.0;;
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Ziekenhuizen, specialistenpraktijken;2004;35.5;257.0;100.0;186.0;100.0;;
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Ziekenhuizen, specialistenpraktijken;2005;35.6;257.0;100.0;186.0;100.0;;
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Ziekenhuizen, specialistenpraktijken;2006;36.5;259.0;100.0;191.0;100.0;;
32;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Ziekenhuizen, specialistenpraktijken;2007;37.6;265.0;100.0;194.0;100.0;8.0;100.0
33;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Ziekenhuizen, specialistenpraktijken;2008;39.8;276.0;100.0;201.0;100.0;8.0;100.0
34;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Ziekenhuizen, specialistenpraktijken;2009;41.5;285.0;100.0;208.0;100.0;8.0;100.0
35;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Ziekenhuizen, specialistenpraktijken;2010;42.0;290.0;100.0;212.0;100.0;9.0;100.0
36;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Ziekenhuizen, specialistenpraktijken;2011;43.3;295.0;100.0;223.0;100.0;9.0;100.0
37;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Ziekenhuizen, specialistenpraktijken;2012;44.6;294.0;100.0;218.0;100.0;9.0;100.0
38;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Ziekenhuizen, specialistenpraktijken;2013;42.7;291.0;100.0;218.0;100.0;10.0;100.0
39;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers geestelijke gezondheidszorg;2001;33.3;61.0;100.0;45.0;100.0;;
40;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers geestelijke gezondheidszorg;2002;34.6;66.0;100.0;49.0;100.0;;
41;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers geestelijke gezondheidszorg;2003;35.9;73.0;100.0;54.0;100.0;;
42;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers geestelijke gezondheidszorg;2004;36.4;76.0;100.0;55.0;100.0;;
43;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers geestelijke gezondheidszorg;2005;36.3;80.0;100.0;58.0;100.0;;
44;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers geestelijke gezondheidszorg;2006;36.4;77.0;100.0;65.0;100.0;;
45;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers geestelijke gezondheidszorg;2007;37.0;81.0;100.0;62.0;100.0;2.0;100.0
46;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers geestelijke gezondheidszorg;2008;39.1;83.0;100.0;64.0;100.0;3.0;100.0
47;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers geestelijke gezondheidszorg;2009;40.4;85.0;100.0;66.0;100.0;3.0;100.0
48;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers geestelijke gezondheidszorg;2010;40.9;85.0;100.0;66.0;100.0;4.0;100.0
49;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers geestelijke gezondheidszorg;2011;42.2;87.0;100.0;70.0;100.0;4.0;100.0
50;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers geestelijke gezondheidszorg;2012;44.0;86.0;100.0;67.0;100.0;5.0;100.0
51;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers geestelijke gezondheidszorg;2013;41.4;94.0;100.0;74.0;100.0;5.0;100.0
52;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Huisartsenpraktijken;2001;26.2;13.0;100.0;7.0;100.0;;
53;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Huisartsenpraktijken;2002;27.7;14.0;100.0;8.0;100.0;;
54;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Huisartsenpraktijken;2003;28.5;15.0;100.0;9.0;100.0;;
55;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Huisartsenpraktijken;2004;30.3;16.0;100.0;9.0;100.0;;
56;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Huisartsenpraktijken;2005;29.4;18.0;100.0;10.0;100.0;;
57;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Huisartsenpraktijken;2006;31.5;22.0;100.0;11.0;100.0;;
58;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Huisartsenpraktijken;2007;32.1;21.0;100.0;12.0;100.0;10.0;100.0
59;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Huisartsenpraktijken;2008;33.3;21.0;100.0;12.0;100.0;10.0;100.0
60;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Huisartsenpraktijken;2009;34.9;21.0;100.0;12.0;100.0;10.0;100.0
61;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Huisartsenpraktijken;2010;35.6;21.0;100.0;12.0;100.0;10.0;100.0
62;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Huisartsenpraktijken;2011;36.5;23.0;100.0;14.0;100.0;10.0;100.0
63;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Huisartsenpraktijken;2012;37.5;24.0;100.0;14.0;100.0;11.0;100.0
64;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Huisartsenpraktijken;2013;34.5;24.0;100.0;14.0;100.0;11.0;100.0
65;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Tandartsenpraktijken;2001;29.1;16.0;100.0;10.0;100.0;;
66;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Tandartsenpraktijken;2002;31.1;17.0;100.0;11.0;100.0;;
67;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Tandartsenpraktijken;2003;32.9;19.0;100.0;12.0;100.0;;
68;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Tandartsenpraktijken;2004;34.9;19.0;100.0;11.0;100.0;;
69;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Tandartsenpraktijken;2005;34.7;21.0;100.0;12.0;100.0;;
70;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Tandartsenpraktijken;2006;34.3;25.0;100.0;14.0;100.0;;
71;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Tandartsenpraktijken;2007;34.8;24.0;100.0;16.0;100.0;8.0;100.0
72;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Tandartsenpraktijken;2008;35.6;23.0;100.0;15.0;100.0;8.0;100.0
73;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Tandartsenpraktijken;2009;37.0;23.0;100.0;15.0;100.0;8.0;100.0
74;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Tandartsenpraktijken;2010;37.5;23.0;100.0;15.0;100.0;9.0;100.0
75;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Tandartsenpraktijken;2011;38.5;26.0;100.0;17.0;100.0;9.0;100.0
76;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Tandartsenpraktijken;2012;38.2;27.0;100.0;17.0;100.0;9.0;100.0
77;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Tandartsenpraktijken;2013;30.6;24.0;100.0;15.0;100.0;9.0;100.0
78;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Paramedische praktijken;2001;30.7;15.0;100.0;9.0;100.0;;
79;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Paramedische praktijken;2002;32.2;15.0;100.0;9.0;100.0;;
80;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Paramedische praktijken;2003;33.1;16.0;100.0;10.0;100.0;;
81;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Paramedische praktijken;2004;34.2;16.0;100.0;10.0;100.0;;
82;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Paramedische praktijken;2005;34.2;18.0;100.0;11.0;100.0;;
83;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Paramedische praktijken;2006;35.5;27.0;100.0;15.0;100.0;;
84;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Paramedische praktijken;2007;36.8;27.0;100.0;17.0;100.0;22.0;100.0
85;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Paramedische praktijken;2008;40.4;27.0;100.0;17.0;100.0;23.0;100.0
86;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Paramedische praktijken;2009;41.8;27.0;100.0;17.0;100.0;24.0;100.0
87;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Paramedische praktijken;2010;44.5;30.0;100.0;19.0;100.0;25.0;100.0
88;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Paramedische praktijken;2011;43.5;30.0;100.0;20.0;100.0;26.0;100.0
89;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Paramedische praktijken;2012;43.7;32.0;100.0;19.0;100.0;28.0;100.0
90;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Paramedische praktijken;2013;40.9;27.0;100.0;16.0;100.0;30.0;100.0
91;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van gezondheidszorg;2001;28.9;98.0;100.0;71.0;100.0;;
92;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van gezondheidszorg;2002;30.4;102.0;100.0;76.0;100.0;;
93;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van gezondheidszorg;2003;32.1;101.0;100.0;76.0;100.0;;
94;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van gezondheidszorg;2004;32.8;101.0;100.0;76.0;100.0;;
95;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van gezondheidszorg;2005;32.9;102.0;100.0;76.0;100.0;;
96;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van gezondheidszorg;2006;34.9;112.0;100.0;80.0;100.0;;
97;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van gezondheidszorg;2007;35.6;113.0;100.0;86.0;100.0;13.0;100.0
98;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van gezondheidszorg;2008;38.2;116.0;100.0;87.0;100.0;14.0;100.0
99;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van gezondheidszorg;2009;38.6;112.0;100.0;84.0;100.0;15.0;100.0
100;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van gezondheidszorg;2010;39.2;112.0;100.0;82.0;100.0;16.0;100.0
101;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van gezondheidszorg;2011;39.9;125.0;100.0;92.0;100.0;18.0;100.0
102;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van gezondheidszorg;2012;40.4;125.0;100.0;91.0;100.0;19.0;100.0
103;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van gezondheidszorg;2013;37.7;119.0;100.0;85.0;100.0;19.0;100.0
104;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders welzijnszorg;2001;24.6;597.0;100.0;365.0;100.0;;
105;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders welzijnszorg;2002;25.7;636.0;100.0;383.0;100.0;;
106;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders welzijnszorg;2003;26.3;661.0;100.0;400.0;100.0;;
107;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders welzijnszorg;2004;26.7;659.0;100.0;406.0;100.0;;
108;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders welzijnszorg;2005;26.9;664.0;100.0;403.0;100.0;;
109;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders welzijnszorg;2006;26.3;682.0;100.0;434.0;100.0;;
110;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders welzijnszorg;2007;26.9;712.0;100.0;457.0;100.0;9.0;100.0
111;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders welzijnszorg;2008;29.8;724.0;100.0;470.0;100.0;12.0;100.0
112;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders welzijnszorg;2009;31.0;753.0;100.0;479.0;100.0;14.0;100.0
113;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders welzijnszorg;2010;31.9;808.0;100.0;505.0;100.0;17.0;100.0
114;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders welzijnszorg;2011;32.3;816.0;100.0;513.0;100.0;18.0;100.0
115;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders welzijnszorg;2012;33.0;823.0;100.0;515.0;100.0;22.0;100.0
116;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders welzijnszorg;2013;31.6;797.0;100.0;509.0;100.0;24.0;100.0
117;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van ouderenzorg;2001;25.8;346.0;100.0;200.0;100.0;;
118;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van ouderenzorg;2002;27.4;366.0;100.0;210.0;100.0;;
119;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van ouderenzorg;2003;27.2;383.0;100.0;220.0;100.0;;
120;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van ouderenzorg;2004;27.8;378.0;100.0;223.0;100.0;;
121;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van ouderenzorg;2005;27.8;385.0;100.0;222.0;100.0;;
122;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van ouderenzorg;2006;27.2;406.0;100.0;234.0;100.0;;
123;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van ouderenzorg;2007;27.9;391.0;100.0;242.0;100.0;4.0;100.0
124;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van ouderenzorg;2008;29.2;392.0;100.0;242.0;100.0;5.0;100.0
125;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van ouderenzorg;2009;30.3;401.0;100.0;242.0;100.0;6.0;100.0
126;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van ouderenzorg;2010;31.0;424.0;100.0;241.0;100.0;7.0;100.0
127;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van ouderenzorg;2011;31.4;431.0;100.0;249.0;100.0;8.0;100.0
128;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van ouderenzorg;2012;32.0;450.0;100.0;259.0;100.0;10.0;100.0
129;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van ouderenzorg;2013;30.7;439.0;100.0;264.0;100.0;11.0;100.0
130;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van gehandicaptenzorg;2001;27.4;113.0;100.0;75.0;100.0;;
131;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van gehandicaptenzorg;2002;28.1;125.0;100.0;77.0;100.0;;
132;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van gehandicaptenzorg;2003;29.7;133.0;100.0;82.0;100.0;;
133;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van gehandicaptenzorg;2004;29.2;140.0;100.0;88.0;100.0;;
134;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van gehandicaptenzorg;2005;29.3;145.0;100.0;90.0;100.0;;
135;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van gehandicaptenzorg;2006;28.9;146.0;100.0;94.0;100.0;;
136;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van gehandicaptenzorg;2007;29.2;154.0;100.0;100.0;100.0;0.0;100.0
137;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van gehandicaptenzorg;2008;30.4;158.0;100.0;105.0;100.0;1.0;100.0
138;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van gehandicaptenzorg;2009;31.6;165.0;100.0;108.0;100.0;1.0;100.0
139;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van gehandicaptenzorg;2010;32.3;170.0;100.0;110.0;100.0;1.0;100.0
140;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van gehandicaptenzorg;2011;33.0;173.0;100.0;112.0;100.0;1.0;100.0
141;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van gehandicaptenzorg;2012;33.7;178.0;100.0;115.0;100.0;1.0;100.0
142;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Verstrekkers van gehandicaptenzorg;2013;32.2;171.0;100.0;116.0;100.0;2.0;100.0
143;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van welzijnszorg;2001;19.6;138.0;100.0;90.0;100.0;;
144;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van welzijnszorg;2002;20.2;145.0;100.0;96.0;100.0;;
145;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van welzijnszorg;2003;21.4;145.0;100.0;98.0;100.0;;
146;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van welzijnszorg;2004;22.0;141.0;100.0;95.0;100.0;;
147;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van welzijnszorg;2005;22.5;134.0;100.0;90.0;100.0;;
148;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van welzijnszorg;2006;21.9;130.0;100.0;106.0;100.0;;
149;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van welzijnszorg;2007;22.8;167.0;100.0;115.0;100.0;4.0;100.0
150;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van welzijnszorg;2008;30.6;174.0;100.0;124.0;100.0;6.0;100.0
151;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van welzijnszorg;2009;32.0;188.0;100.0;129.0;100.0;7.0;100.0
152;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van welzijnszorg;2010;33.0;214.0;100.0;154.0;100.0;8.0;100.0
153;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van welzijnszorg;2011;33.3;212.0;100.0;153.0;100.0;9.0;100.0
154;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van welzijnszorg;2012;34.3;195.0;100.0;140.0;100.0;10.0;100.0
155;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Overige verstrekkers van welzijnszorg;2013;33.1;188.0;100.0;129.0;100.0;11.0;100.0
156;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Beleids- en beheerorganisaties;2001;20.1;34.0;100.0;27.0;100.0;;
157;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Beleids- en beheerorganisaties;2002;21.4;33.0;100.0;28.0;100.0;;
158;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Beleids- en beheerorganisaties;2003;22.7;35.0;100.0;29.0;100.0;;
159;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Beleids- en beheerorganisaties;2004;22.4;37.0;100.0;31.0;100.0;;
160;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Beleids- en beheerorganisaties;2005;22.5;37.0;100.0;31.0;100.0;;
161;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Beleids- en beheerorganisaties;2006;22.1;37.0;100.0;32.0;100.0;;
162;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Beleids- en beheerorganisaties;2007;22.7;43.0;100.0;36.0;100.0;0.0;100.0
163;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Beleids- en beheerorganisaties;2008;36.6;41.0;100.0;33.0;100.0;0.0;100.0
164;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Beleids- en beheerorganisaties;2009;38.8;41.0;100.0;33.0;100.0;0.0;100.0
165;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Beleids- en beheerorganisaties;2010;40.7;41.0;100.0;34.0;100.0;0.0;100.0
166;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Beleids- en beheerorganisaties;2011;41.6;44.0;100.0;35.0;100.0;0.0;100.0
167;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Beleids- en beheerorganisaties;2012;42.7;41.0;100.0;34.0;100.0;1.0;100.0
168;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Beleids- en beheerorganisaties;2013;40.8;38.0;100.0;32.0;100.0;1.0;100.0
169;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Medisch geschoolden bij uitzendbureaus;2001;;4.0;100.0;3.0;100.0;;
170;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Medisch geschoolden bij uitzendbureaus;2002;;4.0;100.0;3.0;100.0;;
171;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Medisch geschoolden bij uitzendbureaus;2003;;4.0;100.0;2.0;100.0;;
