ID;Geslacht;GeboortelandOuders;Herkomstland;VoortijdigSchoolverlater;Perioden;Jongeren18Tot25Jaar_1
22;Totaal mannen en vrouwen;Totaal;Totaal;Voortijdig schoolverlaters;2023;99.0
23;Totaal mannen en vrouwen;Totaal;Totaal;Voortijdig schoolverlaters;2024;111.0
24;Totaal mannen en vrouwen;Totaal;Totaal;Geen voortijdig schoolverlaters;2013;1274.0
25;Totaal mannen en vrouwen;Totaal;Totaal;Geen voortijdig schoolverlaters;2014;1314.0
26;Totaal mannen en vrouwen;Totaal;Totaal;Geen voortijdig schoolverlaters;2015;1324.0
27;Totaal mannen en vrouwen;Totaal;Totaal;Geen voortijdig schoolverlaters;2016;1335.0
28;Totaal mannen en vrouwen;Totaal;Totaal;Geen voortijdig schoolverlaters;2017;1362.0
29;Totaal mannen en vrouwen;Totaal;Totaal;Geen voortijdig schoolverlaters;2018;1366.0
30;Totaal mannen en vrouwen;Totaal;Totaal;Geen voortijdig schoolverlaters;2019;1384.0
31;Totaal mannen en vrouwen;Totaal;Totaal;Geen voortijdig schoolverlaters;2020;1410.0
32;Totaal mannen en vrouwen;Totaal;Totaal;Geen voortijdig schoolverlaters;2021;1450.0
33;Totaal mannen en vrouwen;Totaal;Totaal;Geen voortijdig schoolverlaters;2022;1476.0
34;Totaal mannen en vrouwen;Totaal;Totaal;Geen voortijdig schoolverlaters;2023;1486.0
35;Totaal mannen en vrouwen;Totaal;Totaal;Geen voortijdig schoolverlaters;2024;1474.0
36;Totaal mannen en vrouwen;Totaal;Totaal;Onbekend;2013;49.0
37;Totaal mannen en vrouwen;Totaal;Totaal;Onbekend;2014;13.0
38;Totaal mannen en vrouwen;Totaal;Totaal;Onbekend;2015;4.0
39;Totaal mannen en vrouwen;Totaal;Totaal;Onbekend;2016;4.0
40;Totaal mannen en vrouwen;Totaal;Totaal;Onbekend;2017;6.0
41;Totaal mannen en vrouwen;Totaal;Totaal;Onbekend;2018;7.0
42;Totaal mannen en vrouwen;Totaal;Totaal;Onbekend;2019;8.0
43;Totaal mannen en vrouwen;Totaal;Totaal;Onbekend;2020;6.0
44;Totaal mannen en vrouwen;Totaal;Totaal;Onbekend;2021;2.0
45;Totaal mannen en vrouwen;Totaal;Totaal;Onbekend;2022;1.0
46;Totaal mannen en vrouwen;Totaal;Totaal;Onbekend;2023;2.0
47;Totaal mannen en vrouwen;Totaal;Totaal;Onbekend;2024;2.0
48;Totaal mannen en vrouwen;Totaal;Nederland;Totaal;2013;1112.0
49;Totaal mannen en vrouwen;Totaal;Nederland;Totaal;2014;1100.0
50;Totaal mannen en vrouwen;Totaal;Nederland;Totaal;2015;1098.0
51;Totaal mannen en vrouwen;Totaal;Nederland;Totaal;2016;1098.0
52;Totaal mannen en vrouwen;Totaal;Nederland;Totaal;2017;1117.0
53;Totaal mannen en vrouwen;Totaal;Nederland;Totaal;2018;1111.0
54;Totaal mannen en vrouwen;Totaal;Nederland;Totaal;2019;1118.0
55;Totaal mannen en vrouwen;Totaal;Nederland;Totaal;2020;1126.0
56;Totaal mannen en vrouwen;Totaal;Nederland;Totaal;2021;1121.0
57;Totaal mannen en vrouwen;Totaal;Nederland;Totaal;2022;1120.0
58;Totaal mannen en vrouwen;Totaal;Nederland;Totaal;2023;1086.0
59;Totaal mannen en vrouwen;Totaal;Nederland;Totaal;2024;1088.0
60;Totaal mannen en vrouwen;Totaal;Nederland;Voortijdig schoolverlaters;2013;94.0
61;Totaal mannen en vrouwen;Totaal;Nederland;Voortijdig schoolverlaters;2014;89.0
62;Totaal mannen en vrouwen;Totaal;Nederland;Voortijdig schoolverlaters;2015;82.0
63;Totaal mannen en vrouwen;Totaal;Nederland;Voortijdig schoolverlaters;2016;82.0
64;Totaal mannen en vrouwen;Totaal;Nederland;Voortijdig schoolverlaters;2017;73.0
65;Totaal mannen en vrouwen;Totaal;Nederland;Voortijdig schoolverlaters;2018;76.0
66;Totaal mannen en vrouwen;Totaal;Nederland;Voortijdig schoolverlaters;2019;74.0
67;Totaal mannen en vrouwen;Totaal;Nederland;Voortijdig schoolverlaters;2020;69.0
68;Totaal mannen en vrouwen;Totaal;Nederland;Voortijdig schoolverlaters;2021;50.0
69;Totaal mannen en vrouwen;Totaal;Nederland;Voortijdig schoolverlaters;2022;56.0
70;Totaal mannen en vrouwen;Totaal;Nederland;Voortijdig schoolverlaters;2023;57.0
71;Totaal mannen en vrouwen;Totaal;Nederland;Voortijdig schoolverlaters;2024;63.0
72;Totaal mannen en vrouwen;Totaal;Nederland;Geen voortijdig schoolverlaters;2013;987.0
73;Totaal mannen en vrouwen;Totaal;Nederland;Geen voortijdig schoolverlaters;2014;1004.0
74;Totaal mannen en vrouwen;Totaal;Nederland;Geen voortijdig schoolverlaters;2015;1014.0
75;Totaal mannen en vrouwen;Totaal;Nederland;Geen voortijdig schoolverlaters;2016;1014.0
76;Totaal mannen en vrouwen;Totaal;Nederland;Geen voortijdig schoolverlaters;2017;1041.0
77;Totaal mannen en vrouwen;Totaal;Nederland;Geen voortijdig schoolverlaters;2018;1033.0
78;Totaal mannen en vrouwen;Totaal;Nederland;Geen voortijdig schoolverlaters;2019;1040.0
79;Totaal mannen en vrouwen;Totaal;Nederland;Geen voortijdig schoolverlaters;2020;1053.0
80;Totaal mannen en vrouwen;Totaal;Nederland;Geen voortijdig schoolverlaters;2021;1070.0
81;Totaal mannen en vrouwen;Totaal;Nederland;Geen voortijdig schoolverlaters;2022;1064.0
82;Totaal mannen en vrouwen;Totaal;Nederland;Geen voortijdig schoolverlaters;2023;1030.0
83;Totaal mannen en vrouwen;Totaal;Nederland;Geen voortijdig schoolverlaters;2024;1025.0
84;Totaal mannen en vrouwen;Totaal;Nederland;Onbekend;2013;32.0
85;Totaal mannen en vrouwen;Totaal;Nederland;Onbekend;2014;7.0
86;Totaal mannen en vrouwen;Totaal;Nederland;Onbekend;2015;2.0
87;Totaal mannen en vrouwen;Totaal;Nederland;Onbekend;2016;2.0
88;Totaal mannen en vrouwen;Totaal;Nederland;Onbekend;2017;3.0
89;Totaal mannen en vrouwen;Totaal;Nederland;Onbekend;2018;3.0
90;Totaal mannen en vrouwen;Totaal;Nederland;Onbekend;2019;4.0
91;Totaal mannen en vrouwen;Totaal;Nederland;Onbekend;2020;3.0
92;Totaal mannen en vrouwen;Totaal;Nederland;Onbekend;2021;0.0
93;Totaal mannen en vrouwen;Totaal;Nederland;Onbekend;2022;0.0
94;Totaal mannen en vrouwen;Totaal;Nederland;Onbekend;2023;0.0
95;Totaal mannen en vrouwen;Totaal;Nederland;Onbekend;2024;0.0
96;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Totaal;2013;77.0
97;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Totaal;2014;86.0
98;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Totaal;2015;82.0
99;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Totaal;2016;89.0
100;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Totaal;2017;97.0
101;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Totaal;2018;103.0
102;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Totaal;2019;113.0
103;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Totaal;2020;109.0
104;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Totaal;2021;120.0
105;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Totaal;2022;123.0
106;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Totaal;2023;140.0
107;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Totaal;2024;143.0
108;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Voortijdig schoolverlaters;2013;8.0
109;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Voortijdig schoolverlaters;2014;9.0
110;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Voortijdig schoolverlaters;2015;6.0
111;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Voortijdig schoolverlaters;2016;6.0
112;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Voortijdig schoolverlaters;2017;8.0
113;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Voortijdig schoolverlaters;2018;11.0
114;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Voortijdig schoolverlaters;2019;12.0
115;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Voortijdig schoolverlaters;2020;9.0
116;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Voortijdig schoolverlaters;2021;9.0
117;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Voortijdig schoolverlaters;2022;10.0
118;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Voortijdig schoolverlaters;2023;12.0
119;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Voortijdig schoolverlaters;2024;14.0
120;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Geen voortijdig schoolverlaters;2013;66.0
121;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Geen voortijdig schoolverlaters;2014;76.0
122;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Geen voortijdig schoolverlaters;2015;76.0
123;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Geen voortijdig schoolverlaters;2016;82.0
124;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Geen voortijdig schoolverlaters;2017;89.0
125;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Geen voortijdig schoolverlaters;2018;91.0
126;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Geen voortijdig schoolverlaters;2019;99.0
127;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Geen voortijdig schoolverlaters;2020;98.0
128;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Geen voortijdig schoolverlaters;2021;110.0
129;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Geen voortijdig schoolverlaters;2022;112.0
130;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Geen voortijdig schoolverlaters;2023;127.0
131;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Geen voortijdig schoolverlaters;2024;128.0
132;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Onbekend;2013;3.0
133;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Onbekend;2014;1.0
134;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Onbekend;2015;0.0
135;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Onbekend;2016;0.0
136;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Onbekend;2017;0.0
137;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Onbekend;2018;1.0
138;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Onbekend;2019;2.0
139;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Onbekend;2020;1.0
140;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Onbekend;2021;1.0
141;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Onbekend;2022;1.0
142;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Onbekend;2023;1.0
143;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);Onbekend;2024;1.0
144;Totaal mannen en vrouwen;Totaal;Buiten Europa;Totaal;2013;256.0
145;Totaal mannen en vrouwen;Totaal;Buiten Europa;Totaal;2014;260.0
146;Totaal mannen en vrouwen;Totaal;Buiten Europa;Totaal;2015;259.0
147;Totaal mannen en vrouwen;Totaal;Buiten Europa;Totaal;2016;259.0
148;Totaal mannen en vrouwen;Totaal;Buiten Europa;Totaal;2017;249.0
149;Totaal mannen en vrouwen;Totaal;Buiten Europa;Totaal;2018;264.0
150;Totaal mannen en vrouwen;Totaal;Buiten Europa;Totaal;2019;268.0
151;Totaal mannen en vrouwen;Totaal;Buiten Europa;Totaal;2020;284.0
152;Totaal mannen en vrouwen;Totaal;Buiten Europa;Totaal;2021;290.0
153;Totaal mannen en vrouwen;Totaal;Buiten Europa;Totaal;2022;322.0
154;Totaal mannen en vrouwen;Totaal;Buiten Europa;Totaal;2023;361.0
155;Totaal mannen en vrouwen;Totaal;Buiten Europa;Totaal;2024;356.0
156;Totaal mannen en vrouwen;Totaal;Buiten Europa;Voortijdig schoolverlaters;2013;29.0
157;Totaal mannen en vrouwen;Totaal;Buiten Europa;Voortijdig schoolverlaters;2014;27.0
158;Totaal mannen en vrouwen;Totaal;Buiten Europa;Voortijdig schoolverlaters;2015;28.0
159;Totaal mannen en vrouwen;Totaal;Buiten Europa;Voortijdig schoolverlaters;2016;24.0
160;Totaal mannen en vrouwen;Totaal;Buiten Europa;Voortijdig schoolverlaters;2017;20.0
161;Totaal mannen en vrouwen;Totaal;Buiten Europa;Voortijdig schoolverlaters;2018;24.0
162;Totaal mannen en vrouwen;Totaal;Buiten Europa;Voortijdig schoolverlaters;2019;24.0
163;Totaal mannen en vrouwen;Totaal;Buiten Europa;Voortijdig schoolverlaters;2020;27.0
164;Totaal mannen en vrouwen;Totaal;Buiten Europa;Voortijdig schoolverlaters;2021;19.0
165;Totaal mannen en vrouwen;Totaal;Buiten Europa;Voortijdig schoolverlaters;2022;21.0
166;Totaal mannen en vrouwen;Totaal;Buiten Europa;Voortijdig schoolverlaters;2023;30.0
167;Totaal mannen en vrouwen;Totaal;Buiten Europa;Voortijdig schoolverlaters;2024;34.0
168;Totaal mannen en vrouwen;Totaal;Buiten Europa;Geen voortijdig schoolverlaters;2013;221.0
169;Totaal mannen en vrouwen;Totaal;Buiten Europa;Geen voortijdig schoolverlaters;2014;230.0
170;Totaal mannen en vrouwen;Totaal;Buiten Europa;Geen voortijdig schoolverlaters;2015;230.0
171;Totaal mannen en vrouwen;Totaal;Buiten Europa;Geen voortijdig schoolverlaters;2016;233.0
172;Totaal mannen en vrouwen;Totaal;Buiten Europa;Geen voortijdig schoolverlaters;2017;226.0
173;Totaal mannen en vrouwen;Totaal;Buiten Europa;Geen voortijdig schoolverlaters;2018;237.0
174;Totaal mannen en vrouwen;Totaal;Buiten Europa;Geen voortijdig schoolverlaters;2019;241.0
175;Totaal mannen en vrouwen;Totaal;Buiten Europa;Geen voortijdig schoolverlaters;2020;255.0
176;Totaal mannen en vrouwen;Totaal;Buiten Europa;Geen voortijdig schoolverlaters;2021;270.0
177;Totaal mannen en vrouwen;Totaal;Buiten Europa;Geen voortijdig schoolverlaters;2022;300.0
178;Totaal mannen en vrouwen;Totaal;Buiten Europa;Geen voortijdig schoolverlaters;2023;330.0
179;Totaal mannen en vrouwen;Totaal;Buiten Europa;Geen voortijdig schoolverlaters;2024;321.0
180;Totaal mannen en vrouwen;Totaal;Buiten Europa;Onbekend;2013;7.0
181;Totaal mannen en vrouwen;Totaal;Buiten Europa;Onbekend;2014;3.0
182;Totaal mannen en vrouwen;Totaal;Buiten Europa;Onbekend;2015;1.0
183;Totaal mannen en vrouwen;Totaal;Buiten Europa;Onbekend;2016;2.0
184;Totaal mannen en vrouwen;Totaal;Buiten Europa;Onbekend;2017;2.0
185;Totaal mannen en vrouwen;Totaal;Buiten Europa;Onbekend;2018;3.0
186;Totaal mannen en vrouwen;Totaal;Buiten Europa;Onbekend;2019;2.0
187;Totaal mannen en vrouwen;Totaal;Buiten Europa;Onbekend;2020;1.0
188;Totaal mannen en vrouwen;Totaal;Buiten Europa;Onbekend;2021;1.0
189;Totaal mannen en vrouwen;Totaal;Buiten Europa;Onbekend;2022;1.0
190;Totaal mannen en vrouwen;Totaal;Buiten Europa;Onbekend;2023;1.0
191;Totaal mannen en vrouwen;Totaal;Buiten Europa;Onbekend;2024;1.0
192;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Totaal;2013;8.0
193;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Totaal;2014;6.0
194;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Totaal;2015;6.0
195;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Totaal;2016;6.0
196;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Totaal;2017;7.0
197;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Totaal;2018;6.0
198;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Totaal;2019;5.0
199;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Totaal;2020;5.0
200;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Totaal;2021;0.0
201;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Totaal;2022;0.0
202;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Totaal;2023;0.0
203;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Totaal;2024;0.0
204;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Voortijdig schoolverlaters;2013;0.0
205;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Voortijdig schoolverlaters;2014;0.0
206;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Voortijdig schoolverlaters;2015;1.0
207;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Voortijdig schoolverlaters;2016;1.0
208;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Voortijdig schoolverlaters;2017;1.0
209;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Voortijdig schoolverlaters;2018;0.0
210;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Voortijdig schoolverlaters;2019;1.0
211;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Voortijdig schoolverlaters;2020;0.0
212;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Voortijdig schoolverlaters;2021;0.0
213;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Voortijdig schoolverlaters;2022;0.0
214;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Voortijdig schoolverlaters;2023;0.0
215;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Voortijdig schoolverlaters;2024;0.0
216;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Geen voortijdig schoolverlaters;2013;0.0
217;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Geen voortijdig schoolverlaters;2014;4.0
218;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Geen voortijdig schoolverlaters;2015;5.0
219;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Geen voortijdig schoolverlaters;2016;5.0
220;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Geen voortijdig schoolverlaters;2017;6.0
221;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Geen voortijdig schoolverlaters;2018;5.0
222;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Geen voortijdig schoolverlaters;2019;4.0
223;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Geen voortijdig schoolverlaters;2020;4.0
224;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Geen voortijdig schoolverlaters;2021;0.0
225;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Geen voortijdig schoolverlaters;2022;0.0
226;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Geen voortijdig schoolverlaters;2023;0.0
227;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Geen voortijdig schoolverlaters;2024;0.0
228;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Onbekend;2013;7.0
229;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Onbekend;2014;1.0
230;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Onbekend;2015;0.0
231;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Onbekend;2016;0.0
232;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Onbekend;2017;0.0
233;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Onbekend;2018;0.0
234;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Onbekend;2019;0.0
235;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Onbekend;2020;0.0
236;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Onbekend;2021;0.0
237;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Onbekend;2022;0.0
238;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Onbekend;2023;0.0
239;Totaal mannen en vrouwen;Totaal;Onbekend herkomstland;Onbekend;2024;0.0
240;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Totaal;2013;1344.0
241;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Totaal;2014;1340.0
242;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Totaal;2015;1340.0
243;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Totaal;2016;1351.0
244;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Totaal;2017;1364.0
245;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Totaal;2018;1365.0
246;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Totaal;2019;1388.0
247;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Totaal;2020;1406.0
248;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Totaal;2021;1384.0
249;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Totaal;2022;1427.0
250;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Totaal;2023;1415.0
251;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Totaal;2024;1402.0
252;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Voortijdig schoolverlaters;2013;119.0
253;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Voortijdig schoolverlaters;2014;115.0
254;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Voortijdig schoolverlaters;2015;106.0
255;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Voortijdig schoolverlaters;2016;105.0
256;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Voortijdig schoolverlaters;2017;94.0
257;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Voortijdig schoolverlaters;2018;98.0
258;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Voortijdig schoolverlaters;2019;98.0
259;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Voortijdig schoolverlaters;2020;93.0
260;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Voortijdig schoolverlaters;2021;67.0
261;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Voortijdig schoolverlaters;2022;77.0
262;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Voortijdig schoolverlaters;2023;82.0
263;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Voortijdig schoolverlaters;2024;87.0
264;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Geen voortijdig schoolverlaters;2013;1187.0
265;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Geen voortijdig schoolverlaters;2014;1217.0
266;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Geen voortijdig schoolverlaters;2015;1232.0
267;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Geen voortijdig schoolverlaters;2016;1242.0
268;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Geen voortijdig schoolverlaters;2017;1265.0
269;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Geen voortijdig schoolverlaters;2018;1263.0
270;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Geen voortijdig schoolverlaters;2019;1285.0
271;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Geen voortijdig schoolverlaters;2020;1309.0
272;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Geen voortijdig schoolverlaters;2021;1317.0
273;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Geen voortijdig schoolverlaters;2022;1350.0
274;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Geen voortijdig schoolverlaters;2023;1334.0
275;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Geen voortijdig schoolverlaters;2024;1315.0
276;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Onbekend;2013;38.0
277;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Onbekend;2014;9.0
278;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Onbekend;2015;2.0
279;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Onbekend;2016;3.0
280;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Onbekend;2017;5.0
281;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Onbekend;2018;4.0
282;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Onbekend;2019;6.0
283;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Onbekend;2020;4.0
284;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Onbekend;2021;0.0
285;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Onbekend;2022;0.0
286;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Onbekend;2023;0.0
287;Totaal mannen en vrouwen;Geboren in Nederland;Totaal;Onbekend;2024;0.0
288;Totaal mannen en vrouwen;Geboren in Nederland;Nederland;Totaal;2013;1112.0
289;Totaal mannen en vrouwen;Geboren in Nederland;Nederland;Totaal;2014;1100.0
290;Totaal mannen en vrouwen;Geboren in Nederland;Nederland;Totaal;2015;1098.0
291;Totaal mannen en vrouwen;Geboren in Nederland;Nederland;Totaal;2016;1098.0
292;Totaal mannen en vrouwen;Geboren in Nederland;Nederland;Totaal;2017;1117.0
293;Totaal mannen en vrouwen;Geboren in Nederland;Nederland;Totaal;2018;1111.0
