ID;GeboortelandGroep;Geslacht;JaarVanVestigingInNederland;Perioden;TotaalNietNederlandseImmigranten_1;WerknemersZelfstandigen_2;WerkloosheidsBijstandsuitkering_3;OverigeNietNederlandseImmigranten_4
70;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1990;1999;100.0;73.0;10.0;18.0
71;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1990;2000;100.0;75.0;8.0;17.0
72;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1991;1995;100.0;59.0;17.0;23.0
73;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1991;1996;100.0;63.0;16.0;21.0
74;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1991;1997;100.0;67.0;14.0;18.0
75;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1991;1998;100.0;70.0;13.0;18.0
76;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1991;1999;100.0;72.0;9.0;18.0
77;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1991;2000;100.0;73.0;9.0;18.0
78;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1992;1995;100.0;56.0;17.0;27.0
79;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1992;1996;100.0;61.0;14.0;25.0
80;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1992;1997;100.0;65.0;13.0;22.0
81;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1992;1998;100.0;67.0;12.0;21.0
82;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1992;1999;100.0;71.0;10.0;19.0
83;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1992;2000;100.0;72.0;9.0;18.0
84;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1993;1995;100.0;43.0;24.0;32.0
85;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1993;1996;100.0;50.0;23.0;27.0
86;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1993;1997;100.0;56.0;20.0;24.0
87;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1993;1998;100.0;62.0;17.0;21.0
88;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1993;1999;100.0;68.0;15.0;17.0
89;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1993;2000;100.0;70.0;13.0;17.0
90;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1994;1995;100.0;34.0;23.0;43.0
91;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1994;1996;100.0;41.0;25.0;34.0
92;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1994;1997;100.0;49.0;24.0;27.0
93;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1994;1998;100.0;56.0;21.0;23.0
94;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1994;1999;100.0;63.0;18.0;19.0
95;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1994;2000;100.0;67.0;15.0;19.0
96;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1995;1995;100.0;28.0;13.0;59.0
97;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1995;1996;100.0;36.0;19.0;45.0
98;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1995;1997;100.0;43.0;23.0;34.0
99;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1995;1998;100.0;55.0;19.0;26.0
100;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1995;1999;100.0;61.0;17.0;22.0
101;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1995;2000;100.0;67.0;15.0;18.0
102;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1996;1995;;;;
103;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1996;1996;100.0;32.0;13.0;55.0
104;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1996;1997;100.0;42.0;19.0;39.0
105;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1996;1998;100.0;49.0;25.0;26.0
106;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1996;1999;100.0;56.0;21.0;23.0
107;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1996;2000;100.0;62.0;18.0;21.0
108;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1997;1995;;;;
109;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1997;1996;;;;
110;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1997;1997;100.0;36.0;12.0;51.0
111;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1997;1998;100.0;46.0;16.0;39.0
112;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1997;1999;100.0;53.0;19.0;29.0
113;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1997;2000;100.0;57.0;19.0;24.0
114;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1998;1995;;;;
115;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1998;1996;;;;
116;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1998;1997;;;;
117;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1998;1998;100.0;43.0;6.0;51.0
118;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1998;1999;100.0;52.0;8.0;39.0
119;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1998;2000;100.0;55.0;10.0;34.0
120;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1999;1995;;;;
121;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1999;1996;;;;
122;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1999;1997;;;;
123;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1999;1998;;;;
124;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1999;1999;100.0;43.0;4.0;53.0
125;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1999;2000;100.0;54.0;8.0;38.0
126;Totaal alle geboortelanden;Mannen;Vestigingsjaar 2000;1995;;;;
127;Totaal alle geboortelanden;Mannen;Vestigingsjaar 2000;1996;;;;
128;Totaal alle geboortelanden;Mannen;Vestigingsjaar 2000;1997;;;;
129;Totaal alle geboortelanden;Mannen;Vestigingsjaar 2000;1998;;;;
130;Totaal alle geboortelanden;Mannen;Vestigingsjaar 2000;1999;;;;
131;Totaal alle geboortelanden;Mannen;Vestigingsjaar 2000;2000;100.0;44.0;4.0;52.0
132;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1990;1995;100.0;38.0;15.0;47.0
133;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1990;1996;100.0;38.0;15.0;47.0
134;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1990;1997;100.0;40.0;16.0;44.0
135;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1990;1998;100.0;42.0;16.0;42.0
136;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1990;1999;100.0;49.0;14.0;37.0
137;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1990;2000;100.0;51.0;13.0;35.0
138;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1991;1995;100.0;37.0;18.0;45.0
139;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1991;1996;100.0;39.0;17.0;44.0
140;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1991;1997;100.0;43.0;17.0;40.0
141;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1991;1998;100.0;47.0;16.0;37.0
142;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1991;1999;100.0;50.0;15.0;35.0
143;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1991;2000;100.0;52.0;13.0;35.0
144;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1992;1995;100.0;32.0;16.0;52.0
145;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1992;1996;100.0;36.0;16.0;48.0
146;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1992;1997;100.0;40.0;16.0;45.0
147;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1992;1998;100.0;43.0;15.0;42.0
148;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1992;1999;100.0;49.0;14.0;37.0
149;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1992;2000;100.0;50.0;13.0;36.0
150;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1993;1995;100.0;25.0;24.0;51.0
151;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1993;1996;100.0;31.0;24.0;46.0
152;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1993;1997;100.0;35.0;22.0;43.0
153;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1993;1998;100.0;41.0;20.0;38.0
154;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1993;1999;100.0;47.0;20.0;33.0
155;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1993;2000;100.0;50.0;18.0;32.0
156;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1994;1995;100.0;21.0;20.0;59.0
157;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1994;1996;100.0;27.0;24.0;49.0
158;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1994;1997;100.0;33.0;23.0;44.0
159;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1994;1998;100.0;39.0;22.0;39.0
160;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1994;1999;100.0;45.0;21.0;34.0
161;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1994;2000;100.0;49.0;18.0;33.0
162;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1995;1995;100.0;16.0;9.0;75.0
163;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1995;1996;100.0;23.0;17.0;60.0
164;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1995;1997;100.0;28.0;22.0;50.0
165;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1995;1998;100.0;37.0;21.0;41.0
166;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1995;1999;100.0;43.0;20.0;37.0
167;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1995;2000;100.0;48.0;18.0;33.0
168;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1996;1995;;;;
169;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1996;1996;100.0;16.0;10.0;75.0
170;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1996;1997;100.0;26.0;16.0;58.0
171;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1996;1998;100.0;34.0;20.0;46.0
172;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1996;1999;100.0;40.0;19.0;40.0
173;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1996;2000;100.0;45.0;18.0;36.0
174;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1997;1995;;;;
175;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1997;1996;;;;
176;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1997;1997;100.0;19.0;10.0;71.0
177;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1997;1998;100.0;31.0;14.0;54.0
178;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1997;1999;100.0;38.0;16.0;46.0
179;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1997;2000;100.0;44.0;18.0;39.0
180;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1998;1995;;;;
181;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1998;1996;;;;
182;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1998;1997;;;;
183;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1998;1998;100.0;22.0;7.0;71.0
184;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1998;1999;100.0;33.0;10.0;57.0
185;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1998;2000;100.0;40.0;12.0;48.0
186;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1999;1995;;;;
187;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1999;1996;;;;
188;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1999;1997;;;;
189;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1999;1998;;;;
190;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1999;1999;100.0;23.0;5.0;72.0
191;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 1999;2000;100.0;36.0;9.0;55.0
192;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 2000;1995;;;;
193;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 2000;1996;;;;
194;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 2000;1997;;;;
195;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 2000;1998;;;;
196;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 2000;1999;;;;
197;Totaal alle geboortelanden;Vrouwen;Vestigingsjaar 2000;2000;100.0;26.0;4.0;70.0
198;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1990;1995;100.0;51.0;25.0;24.0
199;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1990;1996;100.0;55.0;24.0;20.0
200;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1990;1997;100.0;59.0;21.0;19.0
201;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1990;1998;100.0;63.0;18.0;20.0
202;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1990;1999;100.0;60.0;18.0;22.0
203;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1990;2000;100.0;62.0;16.0;22.0
204;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1991;1995;100.0;51.0;25.0;24.0
205;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1991;1996;100.0;53.0;23.0;24.0
206;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1991;1997;100.0;55.0;22.0;23.0
207;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1991;1998;100.0;57.0;20.0;24.0
208;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1991;1999;100.0;60.0;17.0;23.0
209;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1991;2000;100.0;61.0;16.0;24.0
210;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1992;1995;100.0;47.0;27.0;26.0
211;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1992;1996;100.0;53.0;23.0;24.0
212;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1992;1997;100.0;56.0;23.0;22.0
213;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1992;1998;100.0;56.0;22.0;22.0
214;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1992;1999;100.0;60.0;18.0;22.0
215;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1992;2000;100.0;63.0;17.0;20.0
216;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1993;1995;100.0;41.0;25.0;34.0
217;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1993;1996;100.0;46.0;24.0;30.0
218;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1993;1997;100.0;50.0;22.0;28.0
219;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1993;1998;100.0;57.0;19.0;24.0
220;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1993;1999;100.0;60.0;17.0;22.0
221;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1993;2000;100.0;62.0;16.0;22.0
222;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1994;1995;100.0;39.0;19.0;41.0
223;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1994;1996;100.0;44.0;20.0;36.0
224;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1994;1997;100.0;52.0;19.0;29.0
225;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1994;1998;100.0;56.0;17.0;26.0
226;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1994;1999;100.0;62.0;15.0;23.0
227;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1994;2000;100.0;63.0;13.0;24.0
228;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1995;1995;100.0;25.0;12.0;63.0
229;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1995;1996;100.0;41.0;17.0;42.0
230;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1995;1997;100.0;48.0;19.0;32.0
231;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1995;1998;100.0;57.0;16.0;27.0
232;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1995;1999;100.0;60.0;15.0;25.0
233;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1995;2000;100.0;63.0;12.0;25.0
234;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1996;1995;;;;
235;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1996;1996;100.0;23.0;12.0;65.0
236;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1996;1997;100.0;43.0;17.0;40.0
237;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1996;1998;100.0;50.0;18.0;32.0
238;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1996;1999;100.0;56.0;16.0;29.0
239;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1996;2000;100.0;59.0;13.0;27.0
240;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1997;1995;;;;
241;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1997;1996;;;;
242;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1997;1997;100.0;29.0;10.0;61.0
243;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1997;1998;100.0;47.0;14.0;39.0
244;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1997;1999;100.0;55.0;13.0;32.0
245;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1997;2000;100.0;61.0;11.0;28.0
246;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1998;1995;;;;
247;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1998;1996;;;;
248;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1998;1997;;;;
249;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1998;1998;100.0;30.0;7.0;63.0
250;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1998;1999;100.0;49.0;11.0;40.0
251;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1998;2000;100.0;57.0;11.0;32.0
252;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1999;1995;;;;
253;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1999;1996;;;;
254;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1999;1997;;;;
255;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1999;1998;;;;
256;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1999;1999;100.0;30.0;7.0;64.0
257;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 1999;2000;100.0;50.0;10.0;40.0
258;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 2000;1995;;;;
259;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 2000;1996;;;;
260;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 2000;1997;;;;
261;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 2000;1998;;;;
262;Turkije;Totaal mannen en vrouwen;Vestigingsjaar 2000;1999;;;;
