ID;Sex;Age;DegreeOfDisablement;Periods;TotalInflow_1;Employers_2;PersonnelPublicSector_3;SelfEmployed_4;YoungHandicapped_5;OtherInflow_6;WAO_7;Wajong_8;WAZ_9;TotalOutflow_10;ReasonRecoveredFromIllness_11;Retirement_12;OtherOutflow_13;WAO_14;Wajong_15;WAZ_16
66;Total men and women;Total age;Total, degree of disablement;2003 February;7920;5730;810;600;560;220;6560;610;740;8660;2300;2390.0;3970;7340;410;910
67;Total men and women;Total age;Total, degree of disablement;2003 March;7450;5220;810;640;580;210;6050;630;770;8450;2480;2810.0;3150;7190;350;910
68;Total men and women;Total age;Total, degree of disablement;2003 April;7220;5120;590;590;720;210;5730;780;710;8770;2640;2730.0;3400;7410;510;850
69;Total men and women;Total age;Total, degree of disablement;2003 May;7140;5120;610;630;530;250;5760;570;810;8320;2340;2680.0;3290;7020;460;840
70;Total men and women;Total age;Total, degree of disablement;2003 June;6910;4720;480;770;580;360;5260;630;1020;7390;2310;2340.0;2740;6430;360;610
71;Total men and women;Total age;Total, degree of disablement;2003 July;7040;4810;600;590;720;330;5440;770;830;8930;2260;3210.0;3460;7630;420;880
72;Total men and women;Total age;Total, degree of disablement;2003 August;5830;3980;440;610;590;210;4440;630;750;7200;2100;2470.0;2630;6050;320;830
73;Total men and women;Total age;Total, degree of disablement;2003 September;6300;4350;600;530;610;210;4970;660;660;7880;2060;2490.0;3330;6560;400;930
74;Total men and women;Total age;Total, degree of disablement;2003 October;6320;4450;630;520;540;190;5100;580;650;7630;1970;2450.0;3210;6330;420;890
75;Total men and women;Total age;Total, degree of disablement;2003 November;7080;5060;590;530;610;300;5680;660;730;7710;2050;2420.0;3240;6440;420;860
76;Total men and women;Total age;Total, degree of disablement;2003 December;6770;4530;820;470;740;220;5370;790;620;8170;2300;2500.0;3370;6920;420;830
77;Total men and women;Total age;Total, degree of disablement;2003 annual total;84570;59420;7700;7220;7290;2930;67500;7890;9180;96650;26940;31280.0;38440;81540;4820;10300
78;Total men and women;Total age;Total, degree of disablement;2004 January;5340;3580;700;440;430;190;4310;460;580;8020;2040;2790.0;3190;6990;290;730
79;Total men and women;Total age;Total, degree of disablement;2004 February;5850;3960;710;430;520;240;4700;570;590;8330;1920;2590.0;3810;7090;430;810
80;Total men and women;Total age;Total, degree of disablement;2004 March;6710;4760;530;520;680;220;5310;720;680;8060;1880;2800.0;3390;6880;350;830
81;Total men and women;Total age;Total, degree of disablement;2004 April;6570;4380;730;560;660;260;5120;700;750;7700;1940;2790.0;2970;6440;410;850
82;Total men and women;Total age;Total, degree of disablement;2004 May;5470;3580;550;490;660;190;4160;710;610;6650;1670;2670.0;2320;5670;300;690
83;Total men and women;Total age;Total, degree of disablement;2004 June;6440;4300;640;550;710;240;4970;750;720;7060;1750;2590.0;2720;5910;450;690
84;Total men and women;Total age;Total, degree of disablement;2004 July;5790;3800;540;560;670;220;4370;710;710;7390;1720;3150.0;2530;6300;370;730
85;Total men and women;Total age;Total, degree of disablement;2004 August;5750;3820;500;500;690;240;4350;740;660;7350;1590;2780.0;2970;6110;350;890
86;Total men and women;Total age;Total, degree of disablement;2004 September;6140;3920;660;570;740;250;4600;790;750;7170;1640;2530.0;3000;5930;400;840
87;Total men and women;Total age;Total, degree of disablement;2004 October;5050;3370;300;550;620;200;3690;660;700;6900;1470;2610.0;2830;5750;390;760
88;Total men and women;Total age;Total, degree of disablement;2004 November;6790;4410;580;920;680;210;5000;710;1080;7510;1550;2340.0;3620;6240;440;840
89;Total men and women;Total age;Total, degree of disablement;2004 December;6060;4070;580;540;660;220;4660;700;700;6530;1160;2470.0;2900;5450;330;760
90;Total men and women;Total age;Total, degree of disablement;2004 annual total;71960;47960;7010;6620;7710;2670;55240;8220;8500;88660;20320;32090.0;36260;74750;4500;9410
91;Total men and women;Total age;Total, degree of disablement;2005 January;4570;2780;340;590;640;230;3130;680;770;6420;1090;2640.0;2690;5290;340;790
92;Total men and women;Total age;Total, degree of disablement;2005 February;4550;2220;800;550;780;210;3040;820;690;7120;1630;2670.0;2820;5850;480;800
93;Total men and women;Total age;Total, degree of disablement;2005 March;2820;1280;260;500;620;170;1550;660;620;7460;1720;2910.0;2840;6130;460;870
94;Total men and women;Total age;Total, degree of disablement;2005 April;2630;1060;280;340;640;310;1350;690;590;7010;1710;2590.0;2710;5780;440;780
95;Total men and women;Total age;Total, degree of disablement;2005 May;2160;830;170;110;770;280;1000;820;340;7490;1970;2800.0;2720;6170;620;710
96;Total men and women;Total age;Total, degree of disablement;2005 June;3410;1330;250;470;800;550;1600;840;960;7410;2300;2380.0;2730;6090;530;790
97;Total men and women;Total age;Total, degree of disablement;2005 July;1930;570;130;240;800;180;700;850;370;6570;1450;3190.0;1930;5560;400;600
98;Total men and women;Total age;Total, degree of disablement;2005 August;1930;540;120;190;900;190;660;950;310;6840;1870;2620.0;2360;5590;530;720
99;Total men and women;Total age;Total, degree of disablement;2005 September;1960;450;580;140;660;140;1030;710;220;6540;1670;2730.0;2150;5520;400;630
100;Total men and women;Total age;Total, degree of disablement;2005 October;1420;420;70;120;690;120;490;730;200;5750;1560;2450.0;1730;4880;360;510
101;Total men and women;Total age;Total, degree of disablement;2005 November;1770;490;160;160;820;150;660;860;250;6580;2030;2440.0;2110;5600;440;540
102;Total men and women;Total age;Total, degree of disablement;2005 December;1340;370;60;90;720;110;430;760;150;6150;1980;2400.0;1760;5220;420;510
103;Total men and women;Total age;Total, degree of disablement;2005 annual total;30480;12320;3210;3500;8820;2640;15630;9380;5480;81340;20980;31810.0;28550;67670;5430;8240
104;Total men and women;Total age;Total, degree of disablement;2006 January;2020;640;80;100;1050;150;730;1120;170;6800;2360;2420.0;2020;5760;430;610
105;Total men and women;Total age;Total, degree of disablement;2006 February;1570;370;150;90;860;110;530;900;150;4390;1460;1230.0;1700;3670;280;430
106;Total men and women;Total age;Total, degree of disablement;2006 March;1480;380;50;70;890;90;440;930;110;5080;1330;1530.0;2220;4310;280;490
107;Total men and women;Total age;Total, degree of disablement;2006 April;1490;370;50;70;880;110;430;950;110;5650;1120;1370.0;3150;4720;380;550
108;Total men and women;Total age;Total, degree of disablement;2006 May;1390;350;40;60;870;70;390;910;90;5930;1190;1500.0;3240;5000;340;590
109;Total men and women;Total age;Total, degree of disablement;2006 June;1310;310;40;50;850;70;350;880;80;5900;1050;1280.0;3580;4970;330;600
110;Total men and women;Total age;Total, degree of disablement;2006 July;1620;400;80;50;1020;90;490;1070;70;5960;1020;1290.0;3650;5090;330;550
111;Total men and women;Total age;Total, degree of disablement;2006 August;1490;470;30;40;870;80;520;920;50;5310;930;1150.0;3230;4530;280;500
112;Total men and women;Total age;Total, degree of disablement;2006 September;2400;1090;40;110;840;330;1150;890;360;5650;840;940.0;3870;4750;300;610
113;Total men and women;Total age;Total, degree of disablement;2006 October;1860;560;30;40;1120;120;590;1190;80;4930;770;670.0;3480;4160;340;430
114;Total men and women;Total age;Total, degree of disablement;2006 November;1780;500;30;40;1090;110;540;1170;70;4500;870;660.0;2970;3750;300;460
115;Total men and women;Total age;Total, degree of disablement;2006 December;1400;410;50;20;850;60;460;900;40;4640;870;580.0;3190;4020;240;380
116;Total men and women;Total age;Total, degree of disablement;2006 annual total;19810;5860;650;740;11180;1390;6600;11840;1380;64720;13810;14610.0;36300;54720;3820;6180
117;Total men and women;Total age;Total, degree of disablement;2007 January;1900;500;40;30;1220;110;550;1290;60;5510;980;760.0;3760;4650;380;480
118;Total men and women;Total age;Total, degree of disablement;2007 February;1660;440;50;30;1060;90;480;1120;50;4580;830;690.0;3060;3880;310;400
119;Total men and women;Total age;Total, degree of disablement;2007 March;1730;450;30;30;1110;110;480;1190;60;5410;910;820.0;3680;4570;340;500
120;Total men and women;Total age;Total, degree of disablement;2007 April;1660;400;40;30;1120;80;450;1170;40;4490;680;740.0;3070;3780;300;410
121;Total men and women;Total age;Total, degree of disablement;2007 May;1690;570;20;30;1000;70;600;1050;40;5150;810;770.0;3570;4390;340;430
122;Total men and women;Total age;Total, degree of disablement;2007 June;1850;440;30;30;1250;100;480;1320;60;4960;650;890.0;3420;4190;320;450
123;Total men and women;Total age;Total, degree of disablement;2007 July;2440;930;30;30;1310;140;980;1410;60;5270;600;1000.0;3680;4510;390;380
124;Total men and women;Total age;Total, degree of disablement;2007 August;1800;410;30;20;1250;90;450;1320;40;4530;620;810.0;3090;3800;340;390
125;Total men and women;Total age;Total, degree of disablement;2007 September;1660;400;50;20;1100;90;460;1170;30;4600;510;740.0;3350;3860;350;390
126;Total men and women;Total age;Total, degree of disablement;2007 October;2140;820;40;30;1140;110;880;1220;40;4410;470;610.0;3320;3700;340;360
127;Total men and women;Total age;Total, degree of disablement;2007 November;2780;1000;50;60;1510;170;1070;1610;100;4450;430;610.0;3410;3610;490;350
128;Total men and women;Total age;Total, degree of disablement;2007 December;1280;420;30;20;760;50;460;800;30;3560;320;560.0;2680;3020;250;290
129;Total men and women;Total age;Total, degree of disablement;2007 annual total;22590;6780;440;350;13820;1200;7320;14670;610;56920;7820;9010.0;40090;47960;4140;4810
130;Total men and women;Total age;Total, degree of disablement;2008 January;1910;550;20;30;1180;120;590;1270;50;4020;360;650.0;3010;3290;370;350
131;Total men and women;Total age;Total, degree of disablement;2008 February;1850;440;30;30;1230;110;480;1330;40;4310;310;800.0;3200;3450;470;390
132;Total men and women;Total age;Total, degree of disablement;2008 March;1690;430;20;20;1090;120;470;1190;30;4240;330;820.0;3080;3500;360;380
133;Total men and women;Total age;Total, degree of disablement;2008 April;1880;520;40;20;1210;100;550;1290;30;3880;330;670.0;2880;3180;350;350
134;Total men and women;Total age;Total, degree of disablement;2008 May;1640;330;20;20;1140;140;350;1260;30;4070;290;710.0;3070;3370;310;390
135;Total men and women;Total age;Total, degree of disablement;2008 June;1980;350;20;20;1180;420;680;1270;40;3950;240;670.0;3040;3310;310;330
136;Total men and women;Total age;Total, degree of disablement;2008 July;1940;540;40;30;1210;120;600;1280;50;4350;180;1180.0;2990;3700;300;350
137;Total men and women;Total age;Total, degree of disablement;2008 August;1800;400;10;20;1260;120;420;1350;30;4120;220;790.0;3110;3450;340;340
138;Total men and women;Total age;Total, degree of disablement;2008 September;1590;330;30;20;1090;130;380;1190;30;4400;200;830.0;3370;3750;280;370
139;Total men and women;Total age;Total, degree of disablement;2008 October;1730;350;20;20;1210;140;390;1310;30;3840;200;770.0;2880;3190;340;310
140;Total men and women;Total age;Total, degree of disablement;2008 November;1770;400;30;20;1170;160;440;1310;30;3750;250;740.0;2760;3150;300;300
141;Total men and women;Total age;Total, degree of disablement;2008 December;1190;270;20;20;790;90;310;860;30;3540;230;650.0;2660;3010;240;290
142;Total men and women;Total age;Total, degree of disablement;2008 annual total;20970;4900;310;240;13760;1750;5660;14900;410;48480;3150;9280.0;36050;40350;3990;4150
143;Total men and women;Total age;Total, degree of disablement;2009 January;1950;370;30;20;1400;130;420;1510;30;4250;310;860.0;3080;3490;410;350
144;Total men and women;Total age;Total, degree of disablement;2009 February;1840;440;20;20;1210;150;480;1330;30;3810;220;720.0;2870;3110;360;340
145;Total men and women;Total age;Total, degree of disablement;2009 March;1580;340;30;10;1100;100;380;1180;20;4090;220;820.0;3060;3420;320;350
146;Total men and women;Total age;Total, degree of disablement;2009 April;1420;250;30;10;1030;100;290;1110;20;3810;170;670.0;2970;3150;320;340
147;Total men and women;Total age;Total, degree of disablement;2009 May;2000;640;10;10;1240;100;660;1330;10;4340;440;750.0;3150;3710;290;340
148;Total men and women;Total age;Total, degree of disablement;2009 June;1680;370;10;10;1180;110;410;1250;20;3690;130;780.0;2790;3090;270;340
149;Total men and women;Total age;Total, degree of disablement;2009 July;1960;320;10;10;1490;130;340;1600;20;3790;80;830.0;2870;3170;290;330
150;Total men and women;Total age;Total, degree of disablement;2009 August;1730;250;30;10;1330;120;280;1440;10;3540;60;730.0;2740;2940;280;320
151;Total men and women;Total age;Total, degree of disablement;2009 September;1790;380;20;10;1280;100;420;1360;20;4020;80;720.0;3220;3400;280;330
152;Total men and women;Total age;Total, degree of disablement;2009 October;1960;320;20;10;1480;130;360;1590;20;3450;60;620.0;2770;2890;270;300
153;Total men and women;Total age;Total, degree of disablement;2009 November;2260;370;30;20;1650;200;440;1780;40;3700;40;590.0;3070;2740;640;320
154;Total men and women;Total age;Total, degree of disablement;2009 December;1640;200;20;10;1280;130;250;1360;20;3000;30;570.0;2410;2490;230;270
155;Total men and women;Total age;Total, degree of disablement;2009 annual total;21800;4260;240;150;15660;1490;4730;16820;250;45480;1840;8630.0;35010;37600;3960;3920
156;Total men and women;Total age;Complete disablement (>= 80%);1998 January;7770;6070;700;140;460;420;6860;560;350;6460;1060;2140.0;3260;5690;510;260
157;Total men and women;Total age;Complete disablement (>= 80%);1998 February;6580;4800;330;120;670;660;5290;790;500;6460;900;2010.0;3550;5410;700;350
158;Total men and women;Total age;Complete disablement (>= 80%);1998 March;6300;4760;480;150;470;440;5360;560;380;4980;1070;2260.0;1650;4410;270;300
159;Total men and women;Total age;Complete disablement (>= 80%);1998 April;7000;5180;400;270;640;520;5730;730;540;6110;1110;2330.0;2670;5090;480;540
160;Total men and women;Total age;Complete disablement (>= 80%);1998 May;5670;3980;300;240;820;330;4370;880;420;5680;990;2310.0;2380;4690;590;400
161;Total men and women;Total age;Complete disablement (>= 80%);1998 June;6120;4600;320;240;600;350;5000;680;450;5640;990;2040.0;2610;4580;620;450
162;Total men and women;Total age;Complete disablement (>= 80%);1998 July;5580;4090;390;250;490;370;4560;560;460;5680;890;2390.0;2400;4820;450;410
163;Total men and women;Total age;Complete disablement (>= 80%);1998 August;5690;4260;380;250;540;270;4690;580;430;5610;910;2120.0;2590;4460;640;520
164;Total men and women;Total age;Complete disablement (>= 80%);1998 September;6020;4690;370;230;490;250;5100;530;380;5800;870;2110.0;2820;4430;750;620
165;Total men and women;Total age;Complete disablement (>= 80%);1998 October;6230;4710;570;260;480;220;5350;510;380;5030;800;1900.0;2330;4010;480;540
166;Total men and women;Total age;Complete disablement (>= 80%);1998 November;7290;5040;530;270;680;750;6130;730;420;5440;870;1820.0;2750;4540;360;540
167;Total men and women;Total age;Complete disablement (>= 80%);1998 December;9880;4970;570;1050;1680;1620;6000;2690;1190;5530;920;1960.0;2660;4680;390;460
168;Total men and women;Total age;Complete disablement (>= 80%);1998 annual total;80130;57140;5320;3470;8010;6190;64430;9800;5900;68410;11370;25370.0;31670;56810;6240;5360
169;Total men and women;Total age;Complete disablement (>= 80%);1999 January;6240;4240;900;290;630;200;5150;670;430;5940;1000;1760.0;3180;4960;320;650
170;Total men and women;Total age;Complete disablement (>= 80%);1999 February;7070;5140;470;290;890;280;5670;930;460;5550;930;2020.0;2610;4580;410;560
171;Total men and women;Total age;Complete disablement (>= 80%);1999 March;6600;5000;570;330;450;260;5630;500;480;6930;850;2280.0;3800;5180;1250;500
172;Total men and women;Total age;Complete disablement (>= 80%);1999 April;6120;4550;540;300;490;230;5150;540;430;5520;980;2040.0;2500;4440;500;580
173;Total men and women;Total age;Complete disablement (>= 80%);1999 May;6040;4470;400;300;670;200;4920;730;400;5160;920;2000.0;2240;4240;340;580
174;Total men and women;Total age;Complete disablement (>= 80%);1999 June;6260;4680;430;290;660;210;5150;710;410;5060;840;2100.0;2120;4240;360;460
175;Total men and women;Total age;Complete disablement (>= 80%);1999 July;6630;4270;270;300;1560;240;4580;1620;440;5210;830;2240.0;2130;4350;340;520
176;Total men and women;Total age;Complete disablement (>= 80%);1999 August;5810;4340;350;280;600;250;4720;660;420;5200;830;1990.0;2380;4150;350;710
177;Total men and women;Total age;Complete disablement (>= 80%);1999 September;5760;4410;400;250;500;200;4830;540;390;5090;820;1960.0;2310;4160;370;560
178;Total men and women;Total age;Complete disablement (>= 80%);1999 October;5890;4580;320;300;470;210;4920;520;450;4690;740;1860.0;2090;3780;350;560
179;Total men and women;Total age;Complete disablement (>= 80%);1999 November;8200;5690;1280;320;600;290;7020;660;510;5940;920;2530.0;2490;4950;400;580
180;Total men and women;Total age;Complete disablement (>= 80%);1999 December;6630;5050;400;270;640;290;5480;700;460;7290;930;1960.0;4400;6400;360;530
181;Total men and women;Total age;Complete disablement (>= 80%);1999 annual total;77240;56400;6320;3530;8130;2850;63200;8770;5280;67580;10580;24750.0;32250;55410;5360;6800
182;Total men and women;Total age;Complete disablement (>= 80%);2000 January;6180;4630;420;370;560;200;5070;610;510;5290;870;2170.0;2260;4150;350;800
183;Total men and women;Total age;Complete disablement (>= 80%);2000 February;7440;5560;460;330;710;380;6080;820;550;5420;980;1780.0;2660;4580;250;590
184;Total men and women;Total age;Complete disablement (>= 80%);2000 March;6210;5020;570;400;0;220;5620;0;590;6200;870;2150.0;3190;5360;110;730
185;Total men and women;Total age;Complete disablement (>= 80%);2000 April;6930;4520;480;410;1200;320;5030;1320;580;5760;1000;2030.0;2730;4800;280;680
186;Total men and women;Total age;Complete disablement (>= 80%);2000 May;6490;4840;340;360;680;270;5200;730;560;5580;1010;2160.0;2410;4550;390;640
187;Total men and women;Total age;Complete disablement (>= 80%);2000 June;5780;4130;480;330;600;250;4640;640;500;6680;950;1990.0;3750;4760;1380;540
188;Total men and women;Total age;Complete disablement (>= 80%);2000 July;5690;4070;310;330;750;240;4390;790;510;6220;860;2380.0;2990;5030;570;620
189;Total men and women;Total age;Complete disablement (>= 80%);2000 August;5880;4600;170;300;540;280;4790;580;520;6360;960;2110.0;3290;5080;550;730
190;Total men and women;Total age;Complete disablement (>= 80%);2000 September;5850;4220;580;380;440;240;4800;480;570;5330;870;1950.0;2510;4320;330;680
191;Total men and women;Total age;Complete disablement (>= 80%);2000 October;5920;4450;400;350;480;260;4850;530;540;5230;830;1940.0;2450;4240;340;650
192;Total men and women;Total age;Complete disablement (>= 80%);2000 November;7580;5850;540;320;580;300;6400;630;550;5390;1000;1900.0;2490;4310;400;680
193;Total men and women;Total age;Complete disablement (>= 80%);2000 December;6630;5020;480;320;560;260;5510;600;520;5210;950;1900.0;2360;4220;370;610
194;Total men and women;Total age;Complete disablement (>= 80%);2000 annual total;76580;56890;5220;4180;7080;3210;62380;7710;6500;68660;11150;24450.0;33060;55390;5320;7960
