ID;MunicipalLeviesFrom2017Onwards;Regions;Periods;MunicipalBudgetsIn1000Euros_1;MunicipalBudgetsEuroInhabitant_2
99;Total property tax;Ter Aar;2020;;
100;Total property tax;Ter Aar;2021;;
101;Total property tax;Ter Aar;2022;;
102;Total property tax;Ter Aar;2023;;
103;Total property tax;Ter Aar;2024;;
104;Total property tax;Ter Aar;2025;;
105;Total property tax;Abcoude;2005;2769.0;322.0
106;Total property tax;Abcoude;2006;;
107;Total property tax;Abcoude;2007;1780.0;205.0
108;Total property tax;Abcoude;2008;1807.0;208.0
109;Total property tax;Abcoude;2009;1817.0;210.0
110;Total property tax;Abcoude;2010;1859.0;211.0
111;Total property tax;Abcoude;2011;;
112;Total property tax;Abcoude;2012;;
113;Total property tax;Abcoude;2013;;
114;Total property tax;Abcoude;2014;;
115;Total property tax;Abcoude;2015;;
116;Total property tax;Abcoude;2016;;
117;Total property tax;Abcoude;2017;;
118;Total property tax;Abcoude;2018;;
119;Total property tax;Abcoude;2019;;
120;Total property tax;Abcoude;2020;;
121;Total property tax;Abcoude;2021;;
122;Total property tax;Abcoude;2022;;
123;Total property tax;Abcoude;2023;;
124;Total property tax;Abcoude;2024;;
125;Total property tax;Abcoude;2025;;
126;Total property tax;Achtkarspelen;2005;5249.0;187.0
127;Total property tax;Achtkarspelen;2006;3590.0;128.0
128;Total property tax;Achtkarspelen;2007;;
129;Total property tax;Achtkarspelen;2008;3671.0;131.0
130;Total property tax;Achtkarspelen;2009;3999.0;142.0
131;Total property tax;Achtkarspelen;2010;4045.0;144.0
132;Total property tax;Achtkarspelen;2011;4175.0;148.0
133;Total property tax;Achtkarspelen;2012;4469.0;159.0
134;Total property tax;Achtkarspelen;2013;4717.0;168.0
135;Total property tax;Achtkarspelen;2014;4953.0;177.0
136;Total property tax;Achtkarspelen;2015;4982.0;178.0
137;Total property tax;Achtkarspelen;2016;5023.0;179.0
138;Total property tax;Achtkarspelen;2017;5249.0;188.0
139;Total property tax;Achtkarspelen;2018;5216.0;187.0
140;Total property tax;Achtkarspelen;2019;5299.0;190.0
141;Total property tax;Achtkarspelen;2020;5405.0;194.0
142;Total property tax;Achtkarspelen;2021;6037.0;216.0
143;Total property tax;Achtkarspelen;2022;6037.0;216.0
144;Total property tax;Achtkarspelen;2023;5938.0;211.0
145;Total property tax;Achtkarspelen;2024;6394.0;227.0
146;Total property tax;Achtkarspelen;2025;6689.0;237.0
147;Total property tax;Alblasserdam;2005;3543.0;193.0
148;Total property tax;Alblasserdam;2006;2643.0;144.0
149;Total property tax;Alblasserdam;2007;2918.0;156.0
150;Total property tax;Alblasserdam;2008;;
151;Total property tax;Alblasserdam;2009;3453.0;184.0
152;Total property tax;Alblasserdam;2010;3655.0;193.0
153;Total property tax;Alblasserdam;2011;3564.0;185.0
154;Total property tax;Alblasserdam;2012;4011.0;206.0
155;Total property tax;Alblasserdam;2013;4020.0;205.0
156;Total property tax;Alblasserdam;2014;4142.0;209.0
157;Total property tax;Alblasserdam;2015;4190.0;211.0
158;Total property tax;Alblasserdam;2016;4255.0;213.0
159;Total property tax;Alblasserdam;2017;4362.0;218.0
160;Total property tax;Alblasserdam;2018;4379.0;219.0
161;Total property tax;Alblasserdam;2019;4441.0;221.0
162;Total property tax;Alblasserdam;2020;4709.0;234.0
163;Total property tax;Alblasserdam;2021;4739.0;235.0
164;Total property tax;Alblasserdam;2022;5034.0;251.0
165;Total property tax;Alblasserdam;2023;6186.0;304.0
166;Total property tax;Alblasserdam;2024;6564.0;323.0
167;Total property tax;Alblasserdam;2025;6959.0;343.0
168;Total property tax;Albrandswaard;2005;4748.0;232.0
169;Total property tax;Albrandswaard;2006;;
170;Total property tax;Albrandswaard;2007;4184.0;194.0
171;Total property tax;Albrandswaard;2008;4327.0;194.0
172;Total property tax;Albrandswaard;2009;4605.0;201.0
173;Total property tax;Albrandswaard;2010;4976.0;206.0
174;Total property tax;Albrandswaard;2011;5069.0;206.0
175;Total property tax;Albrandswaard;2012;5326.0;213.0
176;Total property tax;Albrandswaard;2013;5643.0;225.0
177;Total property tax;Albrandswaard;2014;5814.0;232.0
178;Total property tax;Albrandswaard;2015;5910.0;235.0
179;Total property tax;Albrandswaard;2016;5860.0;234.0
180;Total property tax;Albrandswaard;2017;6039.0;241.0
181;Total property tax;Albrandswaard;2018;6221.0;247.0
182;Total property tax;Albrandswaard;2019;6407.0;253.0
183;Total property tax;Albrandswaard;2020;6734.0;263.0
184;Total property tax;Albrandswaard;2021;6936.0;269.0
185;Total property tax;Albrandswaard;2022;7318.0;282.0
186;Total property tax;Albrandswaard;2023;7597.0;288.0
187;Total property tax;Albrandswaard;2024;7894.0;299.0
188;Total property tax;Albrandswaard;2025;8280.0;310.0
189;Total property tax;Alkemade;2005;2961.0;204.0
190;Total property tax;Alkemade;2006;;
191;Total property tax;Alkemade;2007;1903.0;131.0
192;Total property tax;Alkemade;2008;2108.0;145.0
193;Total property tax;Alkemade;2009;;
194;Total property tax;Alkemade;2010;;
195;Total property tax;Alkemade;2011;;
196;Total property tax;Alkemade;2012;;
197;Total property tax;Alkemade;2013;;
198;Total property tax;Alkemade;2014;;
199;Total property tax;Alkemade;2015;;
200;Total property tax;Alkemade;2016;;
201;Total property tax;Alkemade;2017;;
202;Total property tax;Alkemade;2018;;
203;Total property tax;Alkemade;2019;;
204;Total property tax;Alkemade;2020;;
205;Total property tax;Alkemade;2021;;
206;Total property tax;Alkemade;2022;;
207;Total property tax;Alkemade;2023;;
208;Total property tax;Alkemade;2024;;
209;Total property tax;Alkemade;2025;;
210;Total property tax;Alkmaar;2005;19888.0;211.0
211;Total property tax;Alkmaar;2006;21401.0;227.0
212;Total property tax;Alkmaar;2007;16132.0;172.0
213;Total property tax;Alkmaar;2008;16566.0;176.0
214;Total property tax;Alkmaar;2009;17031.0;183.0
215;Total property tax;Alkmaar;2010;17300.0;184.0
216;Total property tax;Alkmaar;2011;17678.0;189.0
217;Total property tax;Alkmaar;2012;18185.0;193.0
218;Total property tax;Alkmaar;2013;18847.0;200.0
219;Total property tax;Alkmaar;2014;19197.0;202.0
220;Total property tax;Alkmaar;2015;;
221;Total property tax;Alkmaar;2016;20610.0;192.0
222;Total property tax;Alkmaar;2017;21443.0;198.0
223;Total property tax;Alkmaar;2018;21891.0;202.0
224;Total property tax;Alkmaar;2019;22522.0;207.0
225;Total property tax;Alkmaar;2020;23307.0;213.0
226;Total property tax;Alkmaar;2021;23485.0;214.0
227;Total property tax;Alkmaar;2022;25822.0;233.0
228;Total property tax;Alkmaar;2023;26747.0;239.0
229;Total property tax;Alkmaar;2024;28306.0;252.0
230;Total property tax;Alkmaar;2025;30195.0;268.0
231;Total property tax;Almelo;2005;15143.0;210.0
232;Total property tax;Almelo;2006;11411.0;158.0
233;Total property tax;Almelo;2007;11958.0;165.0
234;Total property tax;Almelo;2008;12212.0;169.0
235;Total property tax;Almelo;2009;12429.0;172.0
236;Total property tax;Almelo;2010;12916.0;178.0
237;Total property tax;Almelo;2011;13700.0;188.0
238;Total property tax;Almelo;2012;14492.0;199.0
239;Total property tax;Almelo;2013;15681.0;216.0
240;Total property tax;Almelo;2014;17149.0;237.0
241;Total property tax;Almelo;2015;18429.0;255.0
242;Total property tax;Almelo;2016;18962.0;262.0
243;Total property tax;Almelo;2017;19626.0;271.0
244;Total property tax;Almelo;2018;20434.0;281.0
245;Total property tax;Almelo;2019;21190.0;291.0
246;Total property tax;Almelo;2020;22626.0;310.0
247;Total property tax;Almelo;2021;23986.0;328.0
248;Total property tax;Almelo;2022;24298.0;332.0
249;Total property tax;Almelo;2023;25256.0;341.0
250;Total property tax;Almelo;2024;25921.0;349.0
251;Total property tax;Almelo;2025;28406.0;380.0
252;Total property tax;Almere;2005;33322.0;191.0
253;Total property tax;Almere;2006;23037.0;130.0
254;Total property tax;Almere;2007;24646.0;136.0
255;Total property tax;Almere;2008;27245.0;149.0
256;Total property tax;Almere;2009;30957.0;167.0
257;Total property tax;Almere;2010;31268.0;167.0
258;Total property tax;Almere;2011;31855.0;167.0
259;Total property tax;Almere;2012;34718.0;179.0
260;Total property tax;Almere;2013;37072.0;190.0
261;Total property tax;Almere;2014;37060.0;189.0
262;Total property tax;Almere;2015;38947.0;198.0
263;Total property tax;Almere;2016;40181.0;203.0
264;Total property tax;Almere;2017;41058.0;204.0
265;Total property tax;Almere;2018;42369.0;208.0
266;Total property tax;Almere;2019;43579.0;210.0
267;Total property tax;Almere;2020;44837.0;212.0
268;Total property tax;Almere;2021;47631.0;222.0
269;Total property tax;Almere;2022;49677.0;228.0
270;Total property tax;Almere;2023;53925.0;242.0
271;Total property tax;Almere;2024;58632.0;259.0
272;Total property tax;Almere;2025;69753.0;304.0
273;Total property tax;Alphen aan den Rijn;2005;12648.0;179.0
274;Total property tax;Alphen aan den Rijn;2006;9484.0;133.0
275;Total property tax;Alphen aan den Rijn;2007;9595.0;135.0
276;Total property tax;Alphen aan den Rijn;2008;9930.0;139.0
277;Total property tax;Alphen aan den Rijn;2009;10380.0;144.0
278;Total property tax;Alphen aan den Rijn;2010;10441.0;144.0
279;Total property tax;Alphen aan den Rijn;2011;10491.0;144.0
280;Total property tax;Alphen aan den Rijn;2012;11291.0;155.0
281;Total property tax;Alphen aan den Rijn;2013;11341.0;156.0
282;Total property tax;Alphen aan den Rijn;2014;18542.0;174.0
283;Total property tax;Alphen aan den Rijn;2015;19195.0;179.0
284;Total property tax;Alphen aan den Rijn;2016;19480.0;180.0
285;Total property tax;Alphen aan den Rijn;2017;19594.0;180.0
286;Total property tax;Alphen aan den Rijn;2018;19883.0;181.0
287;Total property tax;Alphen aan den Rijn;2019;20404.0;184.0
288;Total property tax;Alphen aan den Rijn;2020;20835.0;186.0
289;Total property tax;Alphen aan den Rijn;2021;21215.0;188.0
290;Total property tax;Alphen aan den Rijn;2022;22021.0;195.0
291;Total property tax;Alphen aan den Rijn;2023;23054.0;202.0
292;Total property tax;Alphen aan den Rijn;2024;23740.0;206.0
293;Total property tax;Alphen aan den Rijn;2025;30364.0;262.0
294;Total property tax;Alphen-Chaam;2005;2075.0;218.0
295;Total property tax;Alphen-Chaam;2006;1576.0;165.0
296;Total property tax;Alphen-Chaam;2007;1592.0;169.0
297;Total property tax;Alphen-Chaam;2008;1461.0;154.0
298;Total property tax;Alphen-Chaam;2009;1505.0;160.0
299;Total property tax;Alphen-Chaam;2010;1519.0;161.0
300;Total property tax;Alphen-Chaam;2011;1545.0;164.0
301;Total property tax;Alphen-Chaam;2012;1679.0;176.0
302;Total property tax;Alphen-Chaam;2013;1712.0;177.0
303;Total property tax;Alphen-Chaam;2014;1755.0;181.0
304;Total property tax;Alphen-Chaam;2015;1830.0;188.0
305;Total property tax;Alphen-Chaam;2016;1944.0;196.0
306;Total property tax;Alphen-Chaam;2017;1995.0;198.0
307;Total property tax;Alphen-Chaam;2018;1999.0;198.0
308;Total property tax;Alphen-Chaam;2019;2066.0;204.0
309;Total property tax;Alphen-Chaam;2020;2202.0;216.0
310;Total property tax;Alphen-Chaam;2021;2510.0;242.0
311;Total property tax;Alphen-Chaam;2022;2541.0;244.0
312;Total property tax;Alphen-Chaam;2023;2605.0;249.0
313;Total property tax;Alphen-Chaam;2024;2618.0;250.0
314;Total property tax;Alphen-Chaam;2025;2896.0;276.0
315;Total property tax;Altena;2005;;
316;Total property tax;Altena;2006;;
317;Total property tax;Altena;2007;;
318;Total property tax;Altena;2008;;
319;Total property tax;Altena;2009;;
320;Total property tax;Altena;2010;;
321;Total property tax;Altena;2011;;
322;Total property tax;Altena;2012;;
323;Total property tax;Altena;2013;;
324;Total property tax;Altena;2014;;
325;Total property tax;Altena;2015;;
326;Total property tax;Altena;2016;;
327;Total property tax;Altena;2017;;
328;Total property tax;Altena;2018;;
329;Total property tax;Altena;2019;8947.0;162.0
330;Total property tax;Altena;2020;9352.0;167.0
331;Total property tax;Altena;2021;9576.0;170.0
332;Total property tax;Altena;2022;9796.0;172.0
333;Total property tax;Altena;2023;10554.0;183.0
334;Total property tax;Altena;2024;11199.0;192.0
335;Total property tax;Altena;2025;11720.0;200.0
336;Total property tax;Ambt Montfort;2005;1498.0;137.0
337;Total property tax;Ambt Montfort;2006;;
338;Total property tax;Ambt Montfort;2007;;
339;Total property tax;Ambt Montfort;2008;;
340;Total property tax;Ambt Montfort;2009;;
341;Total property tax;Ambt Montfort;2010;;
342;Total property tax;Ambt Montfort;2011;;
343;Total property tax;Ambt Montfort;2012;;
344;Total property tax;Ambt Montfort;2013;;
345;Total property tax;Ambt Montfort;2014;;
346;Total property tax;Ambt Montfort;2015;;
347;Total property tax;Ambt Montfort;2016;;
348;Total property tax;Ambt Montfort;2017;;
349;Total property tax;Ambt Montfort;2018;;
350;Total property tax;Ambt Montfort;2019;;
351;Total property tax;Ambt Montfort;2020;;
352;Total property tax;Ambt Montfort;2021;;
353;Total property tax;Ambt Montfort;2022;;
354;Total property tax;Ambt Montfort;2023;;
355;Total property tax;Ambt Montfort;2024;;
356;Total property tax;Ambt Montfort;2025;;
357;Total property tax;Ameland;2005;803.0;229.0
358;Total property tax;Ameland;2006;852.0;243.0
359;Total property tax;Ameland;2007;563.0;163.0
360;Total property tax;Ameland;2008;597.0;173.0
361;Total property tax;Ameland;2009;657.0;189.0
362;Total property tax;Ameland;2010;722.0;206.0
363;Total property tax;Ameland;2011;758.0;216.0
364;Total property tax;Ameland;2012;930.0;264.0
365;Total property tax;Ameland;2013;976.0;277.0
366;Total property tax;Ameland;2014;1052.0;294.0
367;Total property tax;Ameland;2015;1139.0;317.0
368;Total property tax;Ameland;2016;1221.0;338.0
369;Total property tax;Ameland;2017;1290.0;355.0
370;Total property tax;Ameland;2018;1288.0;352.0
371;Total property tax;Ameland;2019;1288.0;351.0
372;Total property tax;Ameland;2020;1433.0;385.0
373;Total property tax;Ameland;2021;1537.0;410.0
374;Total property tax;Ameland;2022;1515.0;403.0
375;Total property tax;Ameland;2023;1561.0;406.0
376;Total property tax;Ameland;2024;1582.0;413.0
377;Total property tax;Ameland;2025;1663.0;436.0
378;Total property tax;Amerongen;2005;1218.0;168.0
379;Total property tax;Amerongen;2006;;
380;Total property tax;Amerongen;2007;;
381;Total property tax;Amerongen;2008;;
382;Total property tax;Amerongen;2009;;
383;Total property tax;Amerongen;2010;;
384;Total property tax;Amerongen;2011;;
385;Total property tax;Amerongen;2012;;
386;Total property tax;Amerongen;2013;;
387;Total property tax;Amerongen;2014;;
388;Total property tax;Amerongen;2015;;
389;Total property tax;Amerongen;2016;;
390;Total property tax;Amerongen;2017;;
391;Total property tax;Amerongen;2018;;
392;Total property tax;Amerongen;2019;;
393;Total property tax;Amerongen;2020;;
394;Total property tax;Amerongen;2021;;
395;Total property tax;Amerongen;2022;;
396;Total property tax;Amerongen;2023;;
397;Total property tax;Amerongen;2024;;
398;Total property tax;Amerongen;2025;;
399;Total property tax;Amersfoort;2005;40145.0;298.0
400;Total property tax;Amersfoort;2006;25299.0;184.0
401;Total property tax;Amersfoort;2007;24902.0;179.0
402;Total property tax;Amersfoort;2008;25338.0;179.0
403;Total property tax;Amersfoort;2009;26602.0;185.0
404;Total property tax;Amersfoort;2010;26970.0;186.0
405;Total property tax;Amersfoort;2011;28026.0;191.0
406;Total property tax;Amersfoort;2012;29230.0;198.0
407;Total property tax;Amersfoort;2013;32027.0;214.0
408;Total property tax;Amersfoort;2014;33079.0;219.0
409;Total property tax;Amersfoort;2015;34717.0;228.0
410;Total property tax;Amersfoort;2016;38788.0;253.0
411;Total property tax;Amersfoort;2017;40371.0;262.0
412;Total property tax;Amersfoort;2018;42447.0;273.0
413;Total property tax;Amersfoort;2019;45032.0;288.0
414;Total property tax;Amersfoort;2020;47480.0;302.0
415;Total property tax;Amersfoort;2021;49718.0;316.0
416;Total property tax;Amersfoort;2022;51657.0;326.0
417;Total property tax;Amersfoort;2023;53795.0;335.0
418;Total property tax;Amersfoort;2024;57193.0;353.0
419;Total property tax;Amersfoort;2025;60519.0;371.0
420;Total property tax;Amstelveen;2005;19835.0;250.0
421;Total property tax;Amstelveen;2006;20152.0;254.0
422;Total property tax;Amstelveen;2007;14158.0;179.0
423;Total property tax;Amstelveen;2008;14780.0;187.0
424;Total property tax;Amstelveen;2009;15889.0;199.0
425;Total property tax;Amstelveen;2010;17022.0;211.0
426;Total property tax;Amstelveen;2011;16997.0;208.0
427;Total property tax;Amstelveen;2012;17993.0;216.0
428;Total property tax;Amstelveen;2013;18446.0;218.0
429;Total property tax;Amstelveen;2014;18393.0;216.0
430;Total property tax;Amstelveen;2015;18828.0;216.0
431;Total property tax;Amstelveen;2016;19332.0;218.0
432;Total property tax;Amstelveen;2017;19966.0;224.0
433;Total property tax;Amstelveen;2018;20702.0;230.0
434;Total property tax;Amstelveen;2019;21318.0;235.0
435;Total property tax;Amstelveen;2020;22511.0;246.0
436;Total property tax;Amstelveen;2021;23665.0;261.0
437;Total property tax;Amstelveen;2022;23840.0;258.0
438;Total property tax;Amstelveen;2023;25586.0;271.0
439;Total property tax;Amstelveen;2024;29842.0;314.0
440;Total property tax;Amstelveen;2025;32731.0;341.0
441;Total property tax;Amsterdam;2005;162918.0;220.0
442;Total property tax;Amsterdam;2006;132661.0;179.0
443;Total property tax;Amsterdam;2007;136332.0;183.0
444;Total property tax;Amsterdam;2008;136448.0;182.0
445;Total property tax;Amsterdam;2009;139772.0;184.0
446;Total property tax;Amsterdam;2010;141180.0;183.0
447;Total property tax;Amsterdam;2011;142612.0;183.0
448;Total property tax;Amsterdam;2012;159230.0;202.0
449;Total property tax;Amsterdam;2013;160517.0;201.0
450;Total property tax;Amsterdam;2014;158465.0;196.0
451;Total property tax;Amsterdam;2015;158465.0;193.0
452;Total property tax;Amsterdam;2016;162465.0;195.0
453;Total property tax;Amsterdam;2017;166988.0;197.0
454;Total property tax;Amsterdam;2018;167161.0;195.0
455;Total property tax;Amsterdam;2019;174073.0;202.0
456;Total property tax;Amsterdam;2020;178485.0;205.0
457;Total property tax;Amsterdam;2021;218453.0;250.0
458;Total property tax;Amsterdam;2022;222839.0;252.0
459;Total property tax;Amsterdam;2023;282983.0;307.0
460;Total property tax;Amsterdam;2024;297754.0;318.0
461;Total property tax;Amsterdam;2025;393079.0;420.0
462;Total property tax;Andijk;2005;1018.0;159.0
463;Total property tax;Andijk;2006;765.0;119.0
464;Total property tax;Andijk;2007;;
465;Total property tax;Andijk;2008;919.0;140.0
466;Total property tax;Andijk;2009;924.0;142.0
467;Total property tax;Andijk;2010;953.0;147.0
468;Total property tax;Andijk;2011;;
469;Total property tax;Andijk;2012;;
470;Total property tax;Andijk;2013;;
471;Total property tax;Andijk;2014;;
472;Total property tax;Andijk;2015;;
473;Total property tax;Andijk;2016;;
474;Total property tax;Andijk;2017;;
475;Total property tax;Andijk;2018;;
476;Total property tax;Andijk;2019;;
477;Total property tax;Andijk;2020;;
478;Total property tax;Andijk;2021;;
479;Total property tax;Andijk;2022;;
480;Total property tax;Andijk;2023;;
481;Total property tax;Andijk;2024;;
482;Total property tax;Andijk;2025;;
483;Total property tax;Anna Paulowna;2005;2726.0;195.0
484;Total property tax;Anna Paulowna;2006;1859.0;132.0
485;Total property tax;Anna Paulowna;2007;1844.0;132.0
486;Total property tax;Anna Paulowna;2008;2059.0;145.0
487;Total property tax;Anna Paulowna;2009;2162.0;153.0
488;Total property tax;Anna Paulowna;2010;2298.0;161.0
489;Total property tax;Anna Paulowna;2011;2399.0;168.0
490;Total property tax;Anna Paulowna;2012;;
491;Total property tax;Anna Paulowna;2013;;
492;Total property tax;Anna Paulowna;2014;;
493;Total property tax;Anna Paulowna;2015;;
494;Total property tax;Anna Paulowna;2016;;
495;Total property tax;Anna Paulowna;2017;;
496;Total property tax;Anna Paulowna;2018;;
497;Total property tax;Anna Paulowna;2019;;
498;Total property tax;Anna Paulowna;2020;;
499;Total property tax;Anna Paulowna;2021;;
500;Total property tax;Anna Paulowna;2022;;
501;Total property tax;Anna Paulowna;2023;;
502;Total property tax;Anna Paulowna;2024;;
503;Total property tax;Anna Paulowna;2025;;
504;Total property tax;Apeldoorn;2005;36744.0;236.0
505;Total property tax;Apeldoorn;2006;28721.0;184.0
506;Total property tax;Apeldoorn;2007;29747.0;192.0
507;Total property tax;Apeldoorn;2008;31435.0;202.0
508;Total property tax;Apeldoorn;2009;33841.0;218.0
509;Total property tax;Apeldoorn;2010;34018.0;219.0
510;Total property tax;Apeldoorn;2011;34865.0;223.0
511;Total property tax;Apeldoorn;2012;39349.0;251.0
512;Total property tax;Apeldoorn;2013;41202.0;262.0
513;Total property tax;Apeldoorn;2014;42786.0;272.0
514;Total property tax;Apeldoorn;2015;44671.0;283.0
515;Total property tax;Apeldoorn;2016;45704.0;287.0
516;Total property tax;Apeldoorn;2017;48397.0;302.0
517;Total property tax;Apeldoorn;2018;49822.0;309.0
518;Total property tax;Apeldoorn;2019;50382.0;310.0
519;Total property tax;Apeldoorn;2020;53654.0;328.0
520;Total property tax;Apeldoorn;2021;54578.0;331.0
521;Total property tax;Apeldoorn;2022;55477.0;335.0
522;Total property tax;Apeldoorn;2023;58064.0;347.0
523;Total property tax;Apeldoorn;2024;60714.0;361.0
524;Total property tax;Apeldoorn;2025;62534.0;371.0
525;Total property tax;Appingedam;2005;2837.0;229.0
526;Total property tax;Appingedam;2006;2902.0;236.0
527;Total property tax;Appingedam;2007;1925.0;158.0
528;Total property tax;Appingedam;2008;2043.0;168.0
529;Total property tax;Appingedam;2009;2193.0;181.0
530;Total property tax;Appingedam;2010;2358.0;195.0
531;Total property tax;Appingedam;2011;2472.0;205.0
532;Total property tax;Appingedam;2012;2627.0;217.0
533;Total property tax;Appingedam;2013;2724.0;227.0
534;Total property tax;Appingedam;2014;2798.0;233.0
535;Total property tax;Appingedam;2015;2967.0;247.0
536;Total property tax;Appingedam;2016;3081.0;257.0
537;Total property tax;Appingedam;2017;3150.0;263.0
538;Total property tax;Appingedam;2018;3242.0;275.0
539;Total property tax;Appingedam;2019;3322.0;284.0
540;Total property tax;Appingedam;2020;3411.0;293.0
541;Total property tax;Appingedam;2021;;
542;Total property tax;Appingedam;2022;;
543;Total property tax;Appingedam;2023;;
544;Total property tax;Appingedam;2024;;
545;Total property tax;Appingedam;2025;;
546;Total property tax;Arcen en Velden;2005;1743.0;195.0
547;Total property tax;Arcen en Velden;2006;1207.0;136.0
548;Total property tax;Arcen en Velden;2007;1223.0;139.0
549;Total property tax;Arcen en Velden;2008;1292.0;148.0
550;Total property tax;Arcen en Velden;2009;1576.0;181.0
551;Total property tax;Arcen en Velden;2010;;
