ID;Logiesvormen;WoonlandVanGasten;RegioS;Perioden;Gasten_1;Overnachtingen_2
234;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2012 3e kwartaal;1343;5749
235;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2012 oktober;307;917
236;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2012 november;220;570
237;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2012 december;184;529
238;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2012 4e kwartaal;710;2016
239;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2012;3846;13079
240;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2013 januari;155;431
241;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2013 februari;186;470
242;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2013 maart;221;593
243;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2013 1e kwartaal;562;1494
244;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2013 april;282;791
245;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2013 mei;441;1432
246;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2013 juni;393;1249
247;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2013 2e kwartaal;1116;3472
248;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2013 juli;445;1976
249;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2013 augustus;539;2532
250;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2013 september;365;1166
251;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2013 3e kwartaal;1349;5675
252;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2013 oktober;290;902
253;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2013 november;211;539
254;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2013 december;208;554
255;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2013 4e kwartaal;709;1995
256;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2013;3736;12635
257;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2014 januari;170;451
258;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2014 februari;184;483
259;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2014 maart;227;582
260;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2014 1e kwartaal;581;1516
261;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2014 april;303;912
262;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2014 mei;412;1296
263;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2014 juni;481;1686
264;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2014 2e kwartaal;1195;3893
265;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2014 juli;433;1945
266;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2014 augustus;532;2585
267;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2014 september;384;1250
268;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2014 3e kwartaal;1349;5780
269;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2014 oktober;340;1048
270;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2014 november;215;579
271;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2014 december;191;566
272;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2014 4e kwartaal;747;2193
273;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2014;3871;13382
274;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2015 januari;165;463
275;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2015 februari;199;559
276;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2015 maart;207;541
277;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2015 1e kwartaal;571;1564
278;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2015 april;297;897
279;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2015 mei;465;1538
280;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2015 juni;422;1343
281;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2015 2e kwartaal;1184;3778
282;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2015 juli;473;2191
283;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2015 augustus;554;2490
284;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2015 september;360;1168
285;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2015 3e kwartaal;1387;5849
286;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2015 oktober;337;1037
287;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2015 november;217;584
288;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2015 december;191;569
289;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2015 4e kwartaal;745;2190
290;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2015;3887;13380
291;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2016 januari;175;470
292;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2016 februari;224;575
293;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2016 maart;246;687
294;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2016 1e kwartaal;645;1732
295;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2016 april;307;846
296;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2016 mei;458;1426
297;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2016 juni;399;1285
298;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2016 2e kwartaal;1165;3557
299;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2016 juli;457;1951
300;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2016 augustus;531;2549
301;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2016 september;421;1325
302;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2016 3e kwartaal;1409;5825
303;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2016 oktober;378;1156
304;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2016 november;234;604
305;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2016 december;211;566
306;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2016 4e kwartaal;824;2326
307;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2016;4043;13440
308;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2017 januari;216;581
309;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2017 februari;207;546
310;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2017 maart;248;629
311;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2017 1e kwartaal;671;1756
312;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2017 april;378;1112
313;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2017 mei;444;1342
314;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2017 juni;477;1516
315;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2017 2e kwartaal;1299;3971
316;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2017 juli;485;1923
317;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2017 augustus;544;2499
318;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2017 september;420;1401
319;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2017 3e kwartaal;1450;5823
320;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2017 oktober;380;1162
321;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2017 november;255;685
322;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2017 december;238;645
323;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2017 4e kwartaal;873;2491
324;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2017;4292;14041
