ID;HouseholdExpenditure;CPISeries;Periods;PriceIndexFigures_1;MonthOnMonthChange_2;YearOnYearChange_3;WeightingCoefficient_4
81;0   Total expenditure;CPI all households;2002 April;120.6;0.6;3.6;100000
82;0   Total expenditure;CPI all households;2002 May;120.6;0.0;3.3;100000
83;0   Total expenditure;CPI all households;2002 June;120.2;-0.3;3.4;100000
84;0   Total expenditure;CPI all households;2002 July;120.4;0.2;3.4;100000
85;0   Total expenditure;CPI all households;2002 August;120.6;0.2;3.3;100000
86;0   Total expenditure;CPI all households;2002 September;121.8;1.0;3.3;100000
87;0   Total expenditure;CPI all households;2002 October;121.6;-0.2;3.2;100000
88;0   Total expenditure;CPI all households;2002 November;121.2;-0.3;3.1;100000
89;0   Total expenditure;CPI all households;2002 December;121.0;-0.2;3.1;100000
90;0   Total expenditure;CPI all households;2002;120.4;;3.4;100000
91;0   Total expenditure;CPI low income households;1996 January;100.6;;;100000
92;0   Total expenditure;CPI low income households;1996 February;100.9;0.3;;100000
93;0   Total expenditure;CPI low income households;1996 March;101.9;1.0;;100000
94;0   Total expenditure;CPI low income households;1996 April;102.2;0.3;;100000
95;0   Total expenditure;CPI low income households;1996 May;101.9;-0.3;;100000
96;0   Total expenditure;CPI low income households;1996 June;101.5;-0.4;;100000
97;0   Total expenditure;CPI low income households;1996 July;101.8;0.3;;100000
98;0   Total expenditure;CPI low income households;1996 August;101.6;-0.2;;100000
99;0   Total expenditure;CPI low income households;1996 September;102.5;0.9;;100000
100;0   Total expenditure;CPI low income households;1996 October;102.8;0.3;;100000
101;0   Total expenditure;CPI low income households;1996 November;102.6;-0.2;;100000
102;0   Total expenditure;CPI low income households;1996 December;102.5;-0.1;;100000
103;0   Total expenditure;CPI low income households;1996;101.9;;;100000
104;0   Total expenditure;CPI low income households;1997 January;102.7;0.2;2.1;100000
105;0   Total expenditure;CPI low income households;1997 February;102.9;0.2;2.0;100000
106;0   Total expenditure;CPI low income households;1997 March;103.7;0.8;1.8;100000
107;0   Total expenditure;CPI low income households;1997 April;103.8;0.1;1.6;100000
108;0   Total expenditure;CPI low income households;1997 May;104.0;0.2;2.1;100000
109;0   Total expenditure;CPI low income households;1997 June;103.5;-0.5;2.0;100000
110;0   Total expenditure;CPI low income households;1997 July;103.9;0.4;2.1;100000
111;0   Total expenditure;CPI low income households;1997 August;104.1;0.2;2.5;100000
112;0   Total expenditure;CPI low income households;1997 September;105.0;0.9;2.4;100000
113;0   Total expenditure;CPI low income households;1997 October;105.1;0.1;2.2;100000
114;0   Total expenditure;CPI low income households;1997 November;105.2;0.1;2.5;100000
115;0   Total expenditure;CPI low income households;1997 December;104.9;-0.3;2.3;100000
116;0   Total expenditure;CPI low income households;1997;104.1;;2.2;100000
117;0   Total expenditure;CPI low income households;1998 January;104.6;-0.3;1.9;100000
118;0   Total expenditure;CPI low income households;1998 February;105.2;0.6;2.2;100000
119;0   Total expenditure;CPI low income households;1998 March;106.0;0.8;2.2;100000
120;0   Total expenditure;CPI low income households;1998 April;106.3;0.3;2.4;100000
121;0   Total expenditure;CPI low income households;1998 May;106.2;-0.1;2.1;100000
122;0   Total expenditure;CPI low income households;1998 June;105.7;-0.5;2.1;100000
123;0   Total expenditure;CPI low income households;1998 July;105.9;0.2;1.9;100000
124;0   Total expenditure;CPI low income households;1998 August;105.9;0.0;1.7;100000
125;0   Total expenditure;CPI low income households;1998 September;106.8;0.8;1.7;100000
126;0   Total expenditure;CPI low income households;1998 October;107.0;0.2;1.8;100000
127;0   Total expenditure;CPI low income households;1998 November;107.0;0.0;1.7;100000
128;0   Total expenditure;CPI low income households;1998 December;106.7;-0.3;1.7;100000
129;0   Total expenditure;CPI low income households;1998;106.1;;1.9;100000
130;0   Total expenditure;CPI low income households;1999 January;106.8;0.1;2.1;100000
131;0   Total expenditure;CPI low income households;1999 February;107.4;0.6;2.1;100000
132;0   Total expenditure;CPI low income households;1999 March;108.3;0.8;2.2;100000
133;0   Total expenditure;CPI low income households;1999 April;108.5;0.2;2.1;100000
134;0   Total expenditure;CPI low income households;1999 May;108.5;0.0;2.2;100000
135;0   Total expenditure;CPI low income households;1999 June;108.1;-0.4;2.3;100000
136;0   Total expenditure;CPI low income households;1999 July;108.0;-0.1;2.0;100000
137;0   Total expenditure;CPI low income households;1999 August;108.6;0.6;2.5;100000
138;0   Total expenditure;CPI low income households;1999 September;109.1;0.5;2.2;100000
139;0   Total expenditure;CPI low income households;1999 October;109.2;0.1;2.1;100000
140;0   Total expenditure;CPI low income households;1999 November;109.4;0.2;2.2;100000
141;0   Total expenditure;CPI low income households;1999 December;109.0;-0.4;2.2;100000
142;0   Total expenditure;CPI low income households;1999;108.4;;2.2;100000
143;0   Total expenditure;CPI low income households;2000 January;108.8;-0.2;1.9;100000
144;0   Total expenditure;CPI low income households;2000 February;109.4;0.6;1.9;100000
145;0   Total expenditure;CPI low income households;2000 March;110.4;0.9;1.9;100000
146;0   Total expenditure;CPI low income households;2000 April;110.6;0.2;1.9;100000
147;0   Total expenditure;CPI low income households;2000 May;111.0;0.4;2.3;100000
148;0   Total expenditure;CPI low income households;2000 June;110.9;-0.1;2.6;100000
149;0   Total expenditure;CPI low income households;2000 July;110.9;0.0;2.7;100000
150;0   Total expenditure;CPI low income households;2000 August;111.3;0.4;2.5;100000
151;0   Total expenditure;CPI low income households;2000 September;112.3;0.9;2.9;100000
152;0   Total expenditure;CPI low income households;2000 October;112.6;0.3;3.1;100000
153;0   Total expenditure;CPI low income households;2000 November;112.7;0.1;3.0;100000
154;0   Total expenditure;CPI low income households;2000 December;112.1;-0.5;2.8;100000
155;0   Total expenditure;CPI low income households;2000;111.1;;2.5;100000
156;0   Total expenditure;CPI low income households;2001 January;113.4;1.2;4.2;100000
157;0   Total expenditure;CPI low income households;2001 February;114.3;0.8;4.5;100000
158;0   Total expenditure;CPI low income households;2001 March;115.4;1.0;4.5;100000
159;0   Total expenditure;CPI low income households;2001 April;116.1;0.6;5.0;100000
160;0   Total expenditure;CPI low income households;2001 May;116.5;0.3;5.0;100000
161;0   Total expenditure;CPI low income households;2001 June;116.0;-0.4;4.6;100000
162;0   Total expenditure;CPI low income households;2001 July;116.2;0.2;4.8;100000
163;0   Total expenditure;CPI low income households;2001 August;116.5;0.3;4.7;100000
164;0   Total expenditure;CPI low income households;2001 September;117.6;0.9;4.7;100000
165;0   Total expenditure;CPI low income households;2001 October;117.6;0.0;4.4;100000
166;0   Total expenditure;CPI low income households;2001 November;117.4;-0.2;4.2;100000
167;0   Total expenditure;CPI low income households;2001 December;117.1;-0.3;4.5;100000
168;0   Total expenditure;CPI low income households;2001;116.2;;4.6;100000
169;0   Total expenditure;CPI low income households;2002 January;118.0;0.8;4.1;100000
170;0   Total expenditure;CPI low income households;2002 February;118.5;0.4;3.7;100000
171;0   Total expenditure;CPI low income households;2002 March;119.6;0.9;3.6;100000
172;0   Total expenditure;CPI low income households;2002 April;120.2;0.5;3.5;100000
173;0   Total expenditure;CPI low income households;2002 May;120.2;0.0;3.2;100000
174;0   Total expenditure;CPI low income households;2002 June;119.8;-0.3;3.3;100000
175;0   Total expenditure;CPI low income households;2002 July;120.1;0.3;3.4;100000
176;0   Total expenditure;CPI low income households;2002 August;120.2;0.1;3.2;100000
177;0   Total expenditure;CPI low income households;2002 September;121.4;1.0;3.2;100000
178;0   Total expenditure;CPI low income households;2002 October;121.2;-0.2;3.1;100000
179;0   Total expenditure;CPI low income households;2002 November;120.8;-0.3;2.9;100000
180;0   Total expenditure;CPI low income households;2002 December;120.6;-0.2;3.0;100000
181;0   Total expenditure;CPI low income households;2002;120.1;;3.4;100000
182;0   Total expenditure;CPI high income households;1996 January;100.3;;;100000
183;0   Total expenditure;CPI high income households;1996 February;100.8;0.5;;100000
184;0   Total expenditure;CPI high income households;1996 March;101.8;1.0;;100000
185;0   Total expenditure;CPI high income households;1996 April;102.1;0.3;;100000
186;0   Total expenditure;CPI high income households;1996 May;101.9;-0.2;;100000
187;0   Total expenditure;CPI high income households;1996 June;101.4;-0.5;;100000
188;0   Total expenditure;CPI high income households;1996 July;101.3;-0.1;;100000
189;0   Total expenditure;CPI high income households;1996 August;101.2;-0.1;;100000
190;0   Total expenditure;CPI high income households;1996 September;102.3;1.1;;100000
191;0   Total expenditure;CPI high income households;1996 October;102.5;0.2;;100000
192;0   Total expenditure;CPI high income households;1996 November;102.4;-0.1;;100000
193;0   Total expenditure;CPI high income households;1996 December;102.3;-0.1;;100000
194;0   Total expenditure;CPI high income households;1996;101.7;;;100000
195;0   Total expenditure;CPI high income households;1997 January;102.2;-0.1;1.9;100000
196;0   Total expenditure;CPI high income households;1997 February;102.5;0.3;1.7;100000
197;0   Total expenditure;CPI high income households;1997 March;103.4;0.9;1.6;100000
198;0   Total expenditure;CPI high income households;1997 April;103.5;0.1;1.4;100000
199;0   Total expenditure;CPI high income households;1997 May;103.7;0.2;1.8;100000
200;0   Total expenditure;CPI high income households;1997 June;103.1;-0.6;1.7;100000
201;0   Total expenditure;CPI high income households;1997 July;103.1;0.0;1.8;100000
202;0   Total expenditure;CPI high income households;1997 August;103.5;0.4;2.3;100000
203;0   Total expenditure;CPI high income households;1997 September;104.6;1.1;2.2;100000
204;0   Total expenditure;CPI high income households;1997 October;104.7;0.1;2.1;100000
205;0   Total expenditure;CPI high income households;1997 November;104.7;0.0;2.2;100000
206;0   Total expenditure;CPI high income households;1997 December;104.3;-0.4;2.0;100000
207;0   Total expenditure;CPI high income households;1997;103.6;;1.9;100000
208;0   Total expenditure;CPI high income households;1998 January;103.8;-0.5;1.6;100000
209;0   Total expenditure;CPI high income households;1998 February;104.5;0.7;2.0;100000
210;0   Total expenditure;CPI high income households;1998 March;105.5;1.0;2.0;100000
211;0   Total expenditure;CPI high income households;1998 April;105.7;0.2;2.1;100000
212;0   Total expenditure;CPI high income households;1998 May;105.6;-0.1;1.8;100000
213;0   Total expenditure;CPI high income households;1998 June;105.1;-0.5;1.9;100000
214;0   Total expenditure;CPI high income households;1998 July;105.1;0.0;1.9;100000
215;0   Total expenditure;CPI high income households;1998 August;105.1;0.0;1.5;100000
216;0   Total expenditure;CPI high income households;1998 September;106.1;1.0;1.4;100000
217;0   Total expenditure;CPI high income households;1998 October;106.4;0.3;1.6;100000
218;0   Total expenditure;CPI high income households;1998 November;106.3;-0.1;1.5;100000
219;0   Total expenditure;CPI high income households;1998 December;106.0;-0.3;1.6;100000
220;0   Total expenditure;CPI high income households;1998;105.4;;1.7;100000
221;0   Total expenditure;CPI high income households;1999 January;105.9;-0.1;2.0;100000
222;0   Total expenditure;CPI high income households;1999 February;106.5;0.6;1.9;100000
223;0   Total expenditure;CPI high income households;1999 March;107.6;1.0;2.0;100000
224;0   Total expenditure;CPI high income households;1999 April;107.8;0.2;2.0;100000
225;0   Total expenditure;CPI high income households;1999 May;107.9;0.1;2.2;100000
226;0   Total expenditure;CPI high income households;1999 June;107.4;-0.5;2.2;100000
227;0   Total expenditure;CPI high income households;1999 July;107.2;-0.2;2.0;100000
228;0   Total expenditure;CPI high income households;1999 August;107.9;0.7;2.7;100000
229;0   Total expenditure;CPI high income households;1999 September;108.5;0.6;2.3;100000
230;0   Total expenditure;CPI high income households;1999 October;108.6;0.1;2.1;100000
231;0   Total expenditure;CPI high income households;1999 November;108.7;0.1;2.3;100000
232;0   Total expenditure;CPI high income households;1999 December;108.3;-0.4;2.2;100000
233;0   Total expenditure;CPI high income households;1999;107.7;;2.2;100000
234;0   Total expenditure;CPI high income households;2000 January;108.0;-0.3;2.0;100000
235;0   Total expenditure;CPI high income households;2000 February;108.7;0.6;2.1;100000
236;0   Total expenditure;CPI high income households;2000 March;109.9;1.1;2.1;100000
237;0   Total expenditure;CPI high income households;2000 April;110.2;0.3;2.2;100000
238;0   Total expenditure;CPI high income households;2000 May;110.6;0.4;2.5;100000
239;0   Total expenditure;CPI high income households;2000 June;110.5;-0.1;2.9;100000
240;0   Total expenditure;CPI high income households;2000 July;110.2;-0.3;2.8;100000
241;0   Total expenditure;CPI high income households;2000 August;110.6;0.4;2.5;100000
242;0   Total expenditure;CPI high income households;2000 September;111.8;1.1;3.0;100000
243;0   Total expenditure;CPI high income households;2000 October;112.1;0.3;3.2;100000
244;0   Total expenditure;CPI high income households;2000 November;112.1;0.0;3.1;100000
245;0   Total expenditure;CPI high income households;2000 December;111.5;-0.5;3.0;100000
246;0   Total expenditure;CPI high income households;2000;110.5;;2.6;100000
247;0   Total expenditure;CPI high income households;2001 January;112.5;0.9;4.2;100000
248;0   Total expenditure;CPI high income households;2001 February;113.4;0.8;4.3;100000
249;0   Total expenditure;CPI high income households;2001 March;114.7;1.1;4.4;100000
250;0   Total expenditure;CPI high income households;2001 April;115.5;0.7;4.8;100000
251;0   Total expenditure;CPI high income households;2001 May;115.9;0.3;4.8;100000
252;0   Total expenditure;CPI high income households;2001 June;115.3;-0.5;4.3;100000
253;0   Total expenditure;CPI high income households;2001 July;115.1;-0.2;4.4;100000
254;0   Total expenditure;CPI high income households;2001 August;115.5;0.3;4.4;100000
255;0   Total expenditure;CPI high income households;2001 September;116.8;1.1;4.5;100000
256;0   Total expenditure;CPI high income households;2001 October;116.8;0.0;4.2;100000
257;0   Total expenditure;CPI high income households;2001 November;116.5;-0.3;3.9;100000
258;0   Total expenditure;CPI high income households;2001 December;116.3;-0.2;4.3;100000
259;0   Total expenditure;CPI high income households;2001;115.4;;4.4;100000
260;0   Total expenditure;CPI high income households;2002 January;117.0;0.6;4.0;100000
261;0   Total expenditure;CPI high income households;2002 February;117.6;0.5;3.7;100000
262;0   Total expenditure;CPI high income households;2002 March;118.9;1.1;3.7;100000
263;0   Total expenditure;CPI high income households;2002 April;119.6;0.6;3.5;100000
264;0   Total expenditure;CPI high income households;2002 May;119.5;-0.1;3.1;100000
265;0   Total expenditure;CPI high income households;2002 June;119.1;-0.3;3.3;100000
266;0   Total expenditure;CPI high income households;2002 July;119.0;-0.1;3.4;100000
267;0   Total expenditure;CPI high income households;2002 August;119.3;0.3;3.3;100000
268;0   Total expenditure;CPI high income households;2002 September;120.7;1.2;3.3;100000
269;0   Total expenditure;CPI high income households;2002 October;120.5;-0.2;3.2;100000
270;0   Total expenditure;CPI high income households;2002 November;120.0;-0.4;3.0;100000
271;0   Total expenditure;CPI high income households;2002 December;119.7;-0.2;2.9;100000
272;0   Total expenditure;CPI high income households;2002;119.3;;3.4;100000
273;1   Food and non-alcoholic beverages;CPI all households;1996 January;100.0;;;13726
274;1   Food and non-alcoholic beverages;CPI all households;1996 February;100.3;0.3;;13726
275;1   Food and non-alcoholic beverages;CPI all households;1996 March;102.1;1.8;;13726
276;1   Food and non-alcoholic beverages;CPI all households;1996 April;102.0;-0.1;;13726
277;1   Food and non-alcoholic beverages;CPI all households;1996 May;100.5;-1.5;;13726
278;1   Food and non-alcoholic beverages;CPI all households;1996 June;99.8;-0.7;;13726
279;1   Food and non-alcoholic beverages;CPI all households;1996 July;99.7;-0.1;;13726
280;1   Food and non-alcoholic beverages;CPI all households;1996 August;98.1;-1.6;;13726
281;1   Food and non-alcoholic beverages;CPI all households;1996 September;98.5;0.4;;13726
282;1   Food and non-alcoholic beverages;CPI all households;1996 October;98.9;0.4;;13726
283;1   Food and non-alcoholic beverages;CPI all households;1996 November;98.9;0.0;;13726
284;1   Food and non-alcoholic beverages;CPI all households;1996 December;99.7;0.8;;13726
285;1   Food and non-alcoholic beverages;CPI all households;1996;99.9;;;13726
286;1   Food and non-alcoholic beverages;CPI all households;1997 January;102.0;2.3;2.0;13726
287;1   Food and non-alcoholic beverages;CPI all households;1997 February;101.0;-1.0;0.7;13726
288;1   Food and non-alcoholic beverages;CPI all households;1997 March;100.3;-0.7;-1.8;13726
289;1   Food and non-alcoholic beverages;CPI all households;1997 April;100.4;0.1;-1.6;13726
290;1   Food and non-alcoholic beverages;CPI all households;1997 May;101.6;1.2;1.1;13726
291;1   Food and non-alcoholic beverages;CPI all households;1997 June;101.5;-0.1;1.7;13726
292;1   Food and non-alcoholic beverages;CPI all households;1997 July;101.5;0.0;1.8;13726
293;1   Food and non-alcoholic beverages;CPI all households;1997 August;101.3;-0.2;3.3;13726
294;1   Food and non-alcoholic beverages;CPI all households;1997 September;101.6;0.3;3.1;13726
295;1   Food and non-alcoholic beverages;CPI all households;1997 October;101.7;0.1;2.8;13726
296;1   Food and non-alcoholic beverages;CPI all households;1997 November;102.8;1.1;3.9;13726
297;1   Food and non-alcoholic beverages;CPI all households;1997 December;102.3;-0.5;2.6;13726
298;1   Food and non-alcoholic beverages;CPI all households;1997;101.5;;1.6;13726
299;1   Food and non-alcoholic beverages;CPI all households;1998 January;102.8;0.5;0.8;13726
300;1   Food and non-alcoholic beverages;CPI all households;1998 February;102.9;0.1;1.9;13726
301;1   Food and non-alcoholic beverages;CPI all households;1998 March;103.6;0.7;3.3;13726
302;1   Food and non-alcoholic beverages;CPI all households;1998 April;104.2;0.6;3.8;13726
303;1   Food and non-alcoholic beverages;CPI all households;1998 May;104.3;0.1;2.7;13726
304;1   Food and non-alcoholic beverages;CPI all households;1998 June;103.7;-0.6;2.2;13726
305;1   Food and non-alcoholic beverages;CPI all households;1998 July;104.1;0.4;2.6;13726
306;1   Food and non-alcoholic beverages;CPI all households;1998 August;103.3;-0.8;2.0;13726
307;1   Food and non-alcoholic beverages;CPI all households;1998 September;103.5;0.2;1.9;13726
308;1   Food and non-alcoholic beverages;CPI all households;1998 October;103.4;-0.1;1.7;13726
309;1   Food and non-alcoholic beverages;CPI all households;1998 November;104.2;0.8;1.4;13726
310;1   Food and non-alcoholic beverages;CPI all households;1998 December;105.0;0.8;2.6;13726
311;1   Food and non-alcoholic beverages;CPI all households;1998;103.7;;2.2;13726
312;1   Food and non-alcoholic beverages;CPI all households;1999 January;105.6;0.6;2.7;13726
313;1   Food and non-alcoholic beverages;CPI all households;1999 February;105.9;0.3;2.9;13726
314;1   Food and non-alcoholic beverages;CPI all households;1999 March;106.5;0.6;2.8;13726
315;1   Food and non-alcoholic beverages;CPI all households;1999 April;106.0;-0.5;1.7;13726
316;1   Food and non-alcoholic beverages;CPI all households;1999 May;106.0;0.0;1.6;13726
317;1   Food and non-alcoholic beverages;CPI all households;1999 June;105.2;-0.8;1.4;13726
318;1   Food and non-alcoholic beverages;CPI all households;1999 July;103.9;-1.2;-0.2;13726
319;1   Food and non-alcoholic beverages;CPI all households;1999 August;104.1;0.2;0.8;13726
320;1   Food and non-alcoholic beverages;CPI all households;1999 September;104.0;-0.1;0.5;13726
321;1   Food and non-alcoholic beverages;CPI all households;1999 October;104.0;0.0;0.6;13726
322;1   Food and non-alcoholic beverages;CPI all households;1999 November;104.6;0.6;0.4;13726
323;1   Food and non-alcoholic beverages;CPI all households;1999 December;104.7;0.1;-0.3;13726
324;1   Food and non-alcoholic beverages;CPI all households;1999;105.0;;1.3;13726
325;1   Food and non-alcoholic beverages;CPI all households;2000 January;105.1;0.4;-0.5;13726
326;1   Food and non-alcoholic beverages;CPI all households;2000 February;104.3;-0.8;-1.5;13726
327;1   Food and non-alcoholic beverages;CPI all households;2000 March;104.8;0.5;-1.6;13726
328;1   Food and non-alcoholic beverages;CPI all households;2000 April;105.4;0.6;-0.6;13726
329;1   Food and non-alcoholic beverages;CPI all households;2000 May;105.9;0.5;-0.1;13726
330;1   Food and non-alcoholic beverages;CPI all households;2000 June;105.8;-0.1;0.6;13726
331;1   Food and non-alcoholic beverages;CPI all households;2000 July;105.5;-0.3;1.5;13726
332;1   Food and non-alcoholic beverages;CPI all households;2000 August;106.0;0.5;1.8;13726
333;1   Food and non-alcoholic beverages;CPI all households;2000 September;106.0;0.0;1.9;13726
334;1   Food and non-alcoholic beverages;CPI all households;2000 October;106.8;0.8;2.7;13726
335;1   Food and non-alcoholic beverages;CPI all households;2000 November;107.5;0.7;2.8;13726
336;1   Food and non-alcoholic beverages;CPI all households;2000 December;107.8;0.3;3.0;13726
337;1   Food and non-alcoholic beverages;CPI all households;2000;105.9;;0.9;13726
338;1   Food and non-alcoholic beverages;CPI all households;2001 January;109.1;1.2;3.8;13726
339;1   Food and non-alcoholic beverages;CPI all households;2001 February;109.7;0.5;5.2;13726
340;1   Food and non-alcoholic beverages;CPI all households;2001 March;111.9;2.0;6.8;13726
341;1   Food and non-alcoholic beverages;CPI all households;2001 April;113.8;1.7;8.0;13726
342;1   Food and non-alcoholic beverages;CPI all households;2001 May;114.7;0.8;8.3;13726
343;1   Food and non-alcoholic beverages;CPI all households;2001 June;114.1;-0.5;7.8;13726
344;1   Food and non-alcoholic beverages;CPI all households;2001 July;113.9;-0.2;8.0;13726
345;1   Food and non-alcoholic beverages;CPI all households;2001 August;113.9;0.0;7.5;13726
346;1   Food and non-alcoholic beverages;CPI all households;2001 September;114.7;0.7;8.2;13726
347;1   Food and non-alcoholic beverages;CPI all households;2001 October;115.0;0.3;7.7;13726
348;1   Food and non-alcoholic beverages;CPI all households;2001 November;114.3;-0.6;6.3;13726
349;1   Food and non-alcoholic beverages;CPI all households;2001 December;114.9;0.5;6.6;13726
350;1   Food and non-alcoholic beverages;CPI all households;2001;113.3;;7.0;13726
351;1   Food and non-alcoholic beverages;CPI all households;2002 January;117.6;2.3;7.8;13726
352;1   Food and non-alcoholic beverages;CPI all households;2002 February;117.6;0.0;7.2;13726
353;1   Food and non-alcoholic beverages;CPI all households;2002 March;118.0;0.3;5.5;13726
354;1   Food and non-alcoholic beverages;CPI all households;2002 April;117.8;-0.2;3.5;13726
355;1   Food and non-alcoholic beverages;CPI all households;2002 May;118.0;0.2;2.9;13726
356;1   Food and non-alcoholic beverages;CPI all households;2002 June;117.1;-0.8;2.6;13726
357;1   Food and non-alcoholic beverages;CPI all households;2002 July;117.5;0.3;3.2;13726
