ID;Geslacht;Leeftijd;Herkomstgroepering;MateVanArbeidsongeschiktheid;DiagnoseArbeidsongeschiktheid;Perioden;TotaalArbeidsongeschiktheidsuitkeringen_1;WAOUitkeringen_2;WAZUitkeringen_3;WajongUitkeringen_4;IVAUitkeringen_5;WGAUitkeringen_6
53;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2014 juni;820240;358950;18400;244670;56910;141320
54;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2014 juli;819770;356090;18170;245620;57730;142160
55;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2014 augustus;819620;353520;17940;246540;58330;143300
56;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2014 september;819570;350570;17720;247500;59030;144750
57;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2014 oktober;819800;347850;17530;248470;59920;146030
58;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2014 november;819910;345300;17320;249400;60770;147120
59;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2014 december;820340;342970;17160;250600;61360;148240
60;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2015 januari;822870;342550;17150;251030;62720;149420
61;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2015 februari;821910;340180;16990;250940;63700;150100
62;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2015 maart;820590;337650;16780;250580;64810;150750
63;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2015 april;818900;335010;16570;250240;65680;151410
64;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2015 mei;817290;332540;16400;249960;66400;151980
65;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2015 juni;815590;329920;16190;249630;67390;152450
66;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2015 juli;813810;327450;16020;249260;68380;152700
67;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2015 augustus;812110;324830;15830;248920;69060;153470
68;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2015 september;810830;322390;15630;248510;69890;154410
69;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2015 oktober;809640;319640;15440;248150;70760;155650
70;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2015 november;808670;317280;15280;247820;71570;156720
71;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2015 december;807340;315080;15100;247540;72100;157510
72;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2010 januari;75110;46120;2800;22820;810;2570
73;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2010 februari;74650;45720;2770;22720;820;2620
74;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2010 maart;74200;45300;2730;22660;850;2680
75;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2010 april;73650;44820;2670;22560;860;2730
76;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2010 mei;73250;44470;2630;22490;880;2780
77;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2010 juni;72840;44090;2580;22430;900;2840
78;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2010 juli;70540;42010;2480;22250;920;2880
79;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2010 augustus;70220;41680;2450;22220;940;2940
80;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2010 september;69960;41410;2430;22170;950;3020
81;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2010 oktober;69750;41140;2400;22130;980;3100
82;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2010 november;69400;40780;2380;22090;1000;3160
83;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2010 december;69170;40490;2350;22050;1030;3250
84;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2011 januari;68810;40150;2310;21980;1070;3310
85;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2011 februari;68420;39770;2270;21900;1100;3370
86;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2011 maart;67940;39330;2230;21840;1120;3430
87;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2011 april;67400;38840;2200;21720;1150;3480
88;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2011 mei;66980;38430;2170;21650;1190;3550
89;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2011 juni;66470;37970;2130;21570;1200;3610
90;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2011 juli;66040;37590;2090;21510;1210;3640
91;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2011 augustus;65640;37210;2060;21450;1230;3700
92;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2011 september;65270;36840;2030;21410;1250;3750
93;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2011 oktober;64960;36510;2010;21360;1270;3810
94;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2011 november;64600;36170;1980;21320;1290;3850
95;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2011 december;64040;35830;1960;21260;1260;3720
96;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2012 januari;63440;35280;1910;21190;1290;3770
97;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2012 februari;63030;34890;1890;21120;1320;3820
98;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2012 maart;62680;34560;1860;21060;1350;3860
99;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2012 april;62290;34180;1830;20990;1380;3910
100;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2012 mei;61930;33810;1800;20960;1410;3950
101;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2012 juni;61890;33780;1800;20940;1430;3950
102;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2012 juli;61450;33380;1780;20870;1450;3970
103;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2012 augustus;61100;33030;1740;20810;1460;4050
104;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2012 september;60810;32720;1730;20760;1480;4120
105;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2012 oktober;60570;32450;1700;20720;1500;4190
106;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2012 november;60240;32150;1670;20670;1520;4230
107;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2012 december;59950;31860;1650;20620;1540;4280
108;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2013 januari;59930;31790;1650;20580;1570;4350
109;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2013 februari;59610;31440;1630;20530;1610;4410
110;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2013 maart;59290;31120;1600;20480;1640;4450
111;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2013 april;58910;30740;1580;20420;1660;4510
112;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2013 mei;58570;30410;1570;20360;1690;4550
113;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2013 juni;58180;30010;1540;20360;1710;4550
114;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2013 juli;57800;29690;1510;20300;1740;4560
115;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2013 augustus;57440;29340;1480;20250;1760;4600
116;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2013 september;57130;29040;1460;20200;1780;4660
117;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2013 oktober;56820;28740;1430;20130;1800;4720
118;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2013 november;56560;28460;1420;20090;1850;4740
119;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2013 december;56310;28200;1400;20070;1880;4770
120;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2014 januari;56310;28150;1390;20050;1920;4800
121;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2014 februari;56000;27850;1370;20010;1950;4830
122;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2014 maart;55660;27510;1350;19950;1980;4870
123;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2014 april;55360;27230;1330;19900;2010;4900
124;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2014 mei;55050;26940;1310;19850;2050;4900
125;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2014 juni;54710;26620;1280;19790;2090;4940
126;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2014 juli;54340;26320;1260;19730;2110;4920
127;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2014 augustus;54100;26010;1240;19680;2150;5020
128;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2014 september;53790;25690;1220;19640;2170;5070
129;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2014 oktober;53500;25400;1200;19610;2200;5090
130;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2014 november;53170;25100;1180;19540;2240;5110
131;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2014 december;52900;24840;1160;19500;2260;5140
132;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2015 januari;52890;24810;1160;19480;2310;5130
133;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2015 februari;52550;24540;1150;19380;2320;5160
134;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2015 maart;52220;24270;1130;19290;2360;5180
135;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2015 april;51890;24010;1110;19190;2390;5190
136;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2015 mei;51570;23760;1090;19120;2410;5190
137;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2015 juni;51230;23470;1070;19050;2450;5200
138;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2015 juli;50860;23180;1050;18960;2490;5180
139;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2015 augustus;50520;22920;1040;18890;2510;5170
140;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2015 september;50210;22660;1010;18800;2540;5200
141;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2015 oktober;49880;22350;990;18730;2580;5230
142;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2015 november;49560;22090;970;18650;2610;5250
143;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;1;2015 december;49270;21850;950;18580;2630;5260
144;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;2;2010 januari;348350;191340;7030;120510;3090;26380
145;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;2;2010 februari;347940;190330;6970;120430;3200;27010
146;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;2;2010 maart;347600;189340;6920;120420;3320;27610
147;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;2;2010 april;347020;187910;6850;120550;3430;28280
148;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;2;2010 mei;347450;187030;6780;121230;3530;28880
149;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;2;2010 juni;348200;186060;6710;122090;3630;29700
150;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;2;2010 juli;374300;188010;6750;145510;3750;30290
151;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;2;2010 augustus;374930;187320;6690;146210;3840;30870
152;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;2;2010 september;375770;186660;6650;146930;3950;31580
153;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;2;2010 oktober;377300;186060;6610;148060;4090;32480
154;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;2;2010 november;378490;185260;6570;149280;4200;33180
155;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;2;2010 december;379910;184480;6520;150590;4320;34000
156;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;2;2011 januari;380830;183520;6460;151650;4440;34760
157;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;2;2011 februari;381520;182520;6380;152590;4540;35500
158;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;2;2011 maart;381840;181330;6310;153440;4640;36130
159;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;2;2011 april;382590;180230;6220;154480;4770;36890
160;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;2;2011 mei;383150;179080;6140;155370;4890;37670
