ID;CostsToAcquireAndOwn;Periods;PriceIndex_1;ChangesComparedToThePreviousPeriod_2;ChangesComparedToThePreviousYear_3
99;Acquisition of dwellings total;2016 2nd quarter;101.5;0.5;1.0
100;Acquisition of dwellings total;2016 3rd quarter;103.5;2.0;3.1
101;Acquisition of dwellings total;2016 4th quarter;105.2;1.6;5.2
102;Acquisition of dwellings total;2016;102.8;2.8;2.8
103;Acquisition of dwellings total;2017 1st quarter;106.9;1.6;5.8
104;Acquisition of dwellings total;2017 2nd quarter;108.3;1.3;6.7
105;Acquisition of dwellings total;2017 3rd quarter;109.4;1.1;5.7
106;Acquisition of dwellings total;2017 4th quarter;113.2;3.5;7.7
107;Acquisition of dwellings total;2017;109.4;6.5;6.5
108;Acquisition of dwellings total;2018 1st quarter;116.2;2.6;8.7
109;Acquisition of dwellings total;2018 2nd quarter;117.5;1.1;8.5
110;Acquisition of dwellings total;2018 3rd quarter;121.4;3.4;11.0
111;Acquisition of dwellings total;2018 4th quarter;123.5;1.8;9.1
112;Acquisition of dwellings total;2018;119.6;9.3;9.3
113;Acquisition of dwellings total;2019 1st quarter;125.9;1.9;8.3
114;Acquisition of dwellings total;2019 2nd quarter;128.3;2.0;9.2
115;Acquisition of dwellings total;2019 3rd quarter;128.5;0.2;5.8
116;Acquisition of dwellings total;2019 4th quarter;131.3;2.2;6.3
117;Acquisition of dwellings total;2019;128.5;7.4;7.4
118;Acquisition of dwellings total;2020 1st quarter;131.6;0.2;4.5
119;Acquisition of dwellings total;2020 2nd quarter;134.7;2.4;5.0
120;Acquisition of dwellings total;2020 3rd quarter;136.1;1.0;5.9
121;Acquisition of dwellings total;2020 4th quarter;138.9;2.1;5.8
122;Acquisition of dwellings total;2020;135.3;5.3;5.3
123;Acquisition of dwellings total;2021 1st quarter;142.9;2.9;8.6
124;Acquisition of dwellings total;2021 2nd quarter;145.5;1.8;8.1
125;Acquisition of dwellings total;2021 3rd quarter;149.6;2.8;10.0
126;Acquisition of dwellings total;2021 4th quarter;152.9;2.2;10.1
127;Acquisition of dwellings total;2021;147.8;9.2;9.2
128;Acquisition of dwellings total;2022 1st quarter;158.9;3.9;11.2
129;Acquisition of dwellings total;2022 2nd quarter;164.2;3.3;12.8
130;Acquisition of dwellings total;2022 3rd quarter;166.3;1.3;11.2
131;Acquisition of dwellings total;2022 4th quarter;162.6;-2.3;6.3
132;Acquisition of dwellings total;2022;163.0;10.3;10.3
133;Acquisition of dwellings total;2023 1st quarter;167.6;3.1;5.5
134;Acquisition of dwellings total;2023 2nd quarter;170.7;1.9;4.0
135;Acquisition of dwellings total;2023 3rd quarter;172.2;0.9;3.5
136;Acquisition of new dwellings;2010 1st quarter;109.8;;
137;Acquisition of new dwellings;2010 2nd quarter;109.4;-0.4;
138;Acquisition of new dwellings;2010 3rd quarter;108.9;-0.4;
139;Acquisition of new dwellings;2010 4th quarter;111.1;2.0;
140;Acquisition of new dwellings;2010;109.8;;
141;Acquisition of new dwellings;2011 1st quarter;111.8;0.6;1.7
142;Acquisition of new dwellings;2011 2nd quarter;109.0;-2.4;-0.3
143;Acquisition of new dwellings;2011 3rd quarter;109.2;0.2;0.3
144;Acquisition of new dwellings;2011 4th quarter;107.8;-1.3;-3.0
145;Acquisition of new dwellings;2011;109.5;-0.3;-0.3
146;Acquisition of new dwellings;2012 1st quarter;101.9;-5.5;-8.8
147;Acquisition of new dwellings;2012 2nd quarter;103.1;1.2;-5.4
148;Acquisition of new dwellings;2012 3rd quarter;99.5;-3.6;-8.9
149;Acquisition of new dwellings;2012 4th quarter;104.2;4.8;-3.3
150;Acquisition of new dwellings;2012;102.2;-6.6;-6.6
151;Acquisition of new dwellings;2013 1st quarter;102.4;-1.7;0.5
152;Acquisition of new dwellings;2013 2nd quarter;99.1;-3.3;-4.0
153;Acquisition of new dwellings;2013 3rd quarter;100.3;1.3;0.9
154;Acquisition of new dwellings;2013 4th quarter;98.9;-1.5;-5.1
155;Acquisition of new dwellings;2013;100.2;-2.0;-2.0
156;Acquisition of new dwellings;2014 1st quarter;96.9;-2.0;-5.4
157;Acquisition of new dwellings;2014 2nd quarter;97.8;0.9;-1.3
158;Acquisition of new dwellings;2014 3rd quarter;98.1;0.4;-2.2
159;Acquisition of new dwellings;2014 4th quarter;98.5;0.4;-0.4
160;Acquisition of new dwellings;2014;97.8;-2.4;-2.4
161;Acquisition of new dwellings;2015 1st quarter;99.4;0.9;2.6
162;Acquisition of new dwellings;2015 2nd quarter;100.9;1.5;3.2
163;Acquisition of new dwellings;2015 3rd quarter;100.2;-0.7;2.2
164;Acquisition of new dwellings;2015 4th quarter;99.5;-0.8;1.0
165;Acquisition of new dwellings;2015;100.0;2.2;2.2
166;Acquisition of new dwellings;2016 1st quarter;100.3;0.8;0.9
167;Acquisition of new dwellings;2016 2nd quarter;100.0;-0.3;-0.8
168;Acquisition of new dwellings;2016 3rd quarter;102.4;2.4;2.2
169;Acquisition of new dwellings;2016 4th quarter;104.5;2.0;5.0
170;Acquisition of new dwellings;2016;101.8;1.8;1.8
171;Acquisition of new dwellings;2017 1st quarter;106.5;2.0;6.2
172;Acquisition of new dwellings;2017 2nd quarter;107.4;0.8;7.4
173;Acquisition of new dwellings;2017 3rd quarter;108.4;0.9;5.8
174;Acquisition of new dwellings;2017 4th quarter;114.2;5.4;9.3
175;Acquisition of new dwellings;2017;109.1;7.2;7.2
176;Acquisition of new dwellings;2018 1st quarter;117.8;3.1;10.5
177;Acquisition of new dwellings;2018 2nd quarter;117.5;-0.2;9.4
178;Acquisition of new dwellings;2018 3rd quarter;123.0;4.7;13.5
179;Acquisition of new dwellings;2018 4th quarter;126.0;2.4;10.4
180;Acquisition of new dwellings;2018;121.1;11.0;11.0
181;Acquisition of new dwellings;2019 1st quarter;128.3;1.8;8.9
182;Acquisition of new dwellings;2019 2nd quarter;131.4;2.5;11.8
183;Acquisition of new dwellings;2019 3rd quarter;131.3;-0.1;6.7
184;Acquisition of new dwellings;2019 4th quarter;135.4;3.1;7.4
185;Acquisition of new dwellings;2019;131.6;8.7;8.7
186;Acquisition of new dwellings;2020 1st quarter;134.3;-0.8;4.7
187;Acquisition of new dwellings;2020 2nd quarter;138.7;3.3;5.6
188;Acquisition of new dwellings;2020 3rd quarter;140.0;0.9;6.6
189;Acquisition of new dwellings;2020 4th quarter;143.8;2.7;6.2
190;Acquisition of new dwellings;2020;139.2;5.8;5.8
191;Acquisition of new dwellings;2021 1st quarter;148.3;3.1;10.4
192;Acquisition of new dwellings;2021 2nd quarter;150.3;1.4;8.4
193;Acquisition of new dwellings;2021 3rd quarter;153.8;2.3;9.9
194;Acquisition of new dwellings;2021 4th quarter;156.3;1.6;8.7
195;Acquisition of new dwellings;2021;152.2;9.3;9.3
196;Acquisition of new dwellings;2022 1st quarter;163.7;4.7;10.4
197;Acquisition of new dwellings;2022 2nd quarter;169.1;3.3;12.5
198;Acquisition of new dwellings;2022 3rd quarter;172.2;1.8;12.0
199;Acquisition of new dwellings;2022 4th quarter;167.9;-2.5;7.4
200;Acquisition of new dwellings;2022;168.2;10.6;10.6
201;Acquisition of new dwellings;2023 1st quarter;175.6;4.5;7.3
202;Acquisition of new dwellings;2023 2nd quarter;180.0;2.5;6.4
203;Acquisition of new dwellings;2023 3rd quarter;181.7;1.0;5.5
204;Purchase of new dwellings;2010 1st quarter;105.3;;
205;Purchase of new dwellings;2010 2nd quarter;104.0;-1.3;
206;Purchase of new dwellings;2010 3rd quarter;104.0;0.1;
207;Purchase of new dwellings;2010 4th quarter;106.1;2.0;
208;Purchase of new dwellings;2010;104.9;;
209;Purchase of new dwellings;2011 1st quarter;108.7;2.4;3.2
210;Purchase of new dwellings;2011 2nd quarter;103.8;-4.5;-0.1
211;Purchase of new dwellings;2011 3rd quarter;104.3;0.5;0.3
212;Purchase of new dwellings;2011 4th quarter;102.4;-1.8;-3.5
213;Purchase of new dwellings;2011;104.8;0.0;0.0
214;Purchase of new dwellings;2012 1st quarter;96.5;-5.8;-11.2
215;Purchase of new dwellings;2012 2nd quarter;96.4;-0.1;-7.1
216;Purchase of new dwellings;2012 3rd quarter;93.0;-3.5;-10.8
217;Purchase of new dwellings;2012 4th quarter;99.7;7.2;-2.6
218;Purchase of new dwellings;2012;96.4;-8.0;-8.0
219;Purchase of new dwellings;2013 1st quarter;93.6;-6.1;-3.0
220;Purchase of new dwellings;2013 2nd quarter;91.5;-2.2;-5.1
221;Purchase of new dwellings;2013 3rd quarter;94.0;2.7;1.1
222;Purchase of new dwellings;2013 4th quarter;93.9;-0.1;-5.9
223;Purchase of new dwellings;2013;93.3;-3.3;-3.3
224;Purchase of new dwellings;2014 1st quarter;94.0;0.1;0.4
225;Purchase of new dwellings;2014 2nd quarter;93.1;-1.0;1.7
226;Purchase of new dwellings;2014 3rd quarter;91.4;-1.9;-2.8
227;Purchase of new dwellings;2014 4th quarter;94.7;3.6;0.9
228;Purchase of new dwellings;2014;93.3;0.0;0.0
229;Purchase of new dwellings;2015 1st quarter;96.8;2.2;3.0
230;Purchase of new dwellings;2015 2nd quarter;98.2;1.4;5.5
231;Purchase of new dwellings;2015 3rd quarter;103.0;4.8;12.7
232;Purchase of new dwellings;2015 4th quarter;102.0;-0.9;7.7
233;Purchase of new dwellings;2015;100.0;7.2;7.2
234;Purchase of new dwellings;2016 1st quarter;103.5;1.5;6.9
235;Purchase of new dwellings;2016 2nd quarter;102.6;-0.9;4.4
236;Purchase of new dwellings;2016 3rd quarter;104.9;2.3;1.9
237;Purchase of new dwellings;2016 4th quarter;107.5;2.5;5.4
238;Purchase of new dwellings;2016;104.6;4.6;4.6
239;Purchase of new dwellings;2017 1st quarter;109.9;2.2;6.1
240;Purchase of new dwellings;2017 2nd quarter;109.0;-0.8;6.3
241;Purchase of new dwellings;2017 3rd quarter;111.4;2.2;6.2
242;Purchase of new dwellings;2017 4th quarter;118.5;6.4;10.2
243;Purchase of new dwellings;2017;112.2;7.2;7.2
244;Purchase of new dwellings;2018 1st quarter;122.5;3.4;11.5
245;Purchase of new dwellings;2018 2nd quarter;121.8;-0.6;11.7
246;Purchase of new dwellings;2018 3rd quarter;129.6;6.4;16.3
247;Purchase of new dwellings;2018 4th quarter;130.6;0.7;10.2
248;Purchase of new dwellings;2018;126.1;12.4;12.4
249;Purchase of new dwellings;2019 1st quarter;134.2;2.8;9.5
250;Purchase of new dwellings;2019 2nd quarter;141.3;5.5;16.0
251;Purchase of new dwellings;2019 3rd quarter;137.8;-2.5;6.3
252;Purchase of new dwellings;2019 4th quarter;141.9;3.0;8.7
253;Purchase of new dwellings;2019;138.8;10.0;10.0
254;Purchase of new dwellings;2020 1st quarter;140.4;-1.1;4.6
255;Purchase of new dwellings;2020 2nd quarter;147.2;4.9;4.2
256;Purchase of new dwellings;2020 3rd quarter;151.8;3.2;10.2
257;Purchase of new dwellings;2020 4th quarter;154.2;1.6;8.7
258;Purchase of new dwellings;2020;148.4;6.9;6.9
259;Purchase of new dwellings;2021 1st quarter;163.9;6.3;16.8
260;Purchase of new dwellings;2021 2nd quarter;166.5;1.6;13.1
261;Purchase of new dwellings;2021 3rd quarter;170.7;2.6;12.4
262;Purchase of new dwellings;2021 4th quarter;176.2;3.2;14.2
263;Purchase of new dwellings;2021;169.3;14.1;14.1
264;Purchase of new dwellings;2022 1st quarter;186.8;6.0;13.9
265;Purchase of new dwellings;2022 2nd quarter;193.9;3.8;16.5
266;Purchase of new dwellings;2022 3rd quarter;194.0;0.0;13.6
267;Purchase of new dwellings;2022 4th quarter;187.7;-3.2;6.6
268;Purchase of new dwellings;2022;190.6;12.6;12.6
269;Purchase of new dwellings;2023 1st quarter;193.2;2.9;3.5
270;Purchase of new dwellings;2023 2nd quarter;197.4;2.2;1.8
271;Purchase of new dwellings;2023 3rd quarter;197.6;0.1;1.9
272;Acquisition of self-built dwellings;2010 1st quarter;112.6;;
273;Acquisition of self-built dwellings;2010 2nd quarter;113.9;1.2;
274;Acquisition of self-built dwellings;2010 3rd quarter;112.4;-1.3;
275;Acquisition of self-built dwellings;2010 4th quarter;114.7;2.0;
276;Acquisition of self-built dwellings;2010;113.4;;
277;Acquisition of self-built dwellings;2011 1st quarter;113.0;-1.4;0.4
278;Acquisition of self-built dwellings;2011 2nd quarter;112.9;-0.1;-0.9
279;Acquisition of self-built dwellings;2011 3rd quarter;112.7;-0.2;0.3
280;Acquisition of self-built dwellings;2011 4th quarter;112.0;-0.7;-2.4
281;Acquisition of self-built dwellings;2011;112.7;-0.6;-0.6
282;Acquisition of self-built dwellings;2012 1st quarter;106.3;-5.1;-6.0
283;Acquisition of self-built dwellings;2012 2nd quarter;109.7;3.2;-2.9
284;Acquisition of self-built dwellings;2012 3rd quarter;105.7;-3.6;-6.2
285;Acquisition of self-built dwellings;2012 4th quarter;107.0;1.2;-4.5
286;Acquisition of self-built dwellings;2012;107.2;-4.9;-4.9
287;Acquisition of self-built dwellings;2013 1st quarter;109.3;2.2;2.8
288;Acquisition of self-built dwellings;2013 2nd quarter;104.7;-4.2;-4.5
289;Acquisition of self-built dwellings;2013 3rd quarter;104.9;0.1;-0.8
290;Acquisition of self-built dwellings;2013 4th quarter;102.2;-2.6;-4.5
291;Acquisition of self-built dwellings;2013;105.3;-1.8;-1.8
292;Acquisition of self-built dwellings;2014 1st quarter;98.8;-3.3;-9.7
293;Acquisition of self-built dwellings;2014 2nd quarter;100.8;2.1;-3.7
294;Acquisition of self-built dwellings;2014 3rd quarter;102.5;1.7;-2.2
295;Acquisition of self-built dwellings;2014 4th quarter;101.0;-1.5;-1.2
296;Acquisition of self-built dwellings;2014;100.8;-4.3;-4.3
297;Acquisition of self-built dwellings;2015 1st quarter;101.0;0.1;2.3
298;Acquisition of self-built dwellings;2015 2nd quarter;102.7;1.6;1.8
299;Acquisition of self-built dwellings;2015 3rd quarter;98.5;-4.1;-4.0
300;Acquisition of self-built dwellings;2015 4th quarter;97.8;-0.7;-3.1
301;Acquisition of self-built dwellings;2015;100.0;-0.8;-0.8
302;Acquisition of self-built dwellings;2016 1st quarter;97.3;-0.6;-3.7
303;Acquisition of self-built dwellings;2016 2nd quarter;98.4;1.2;-4.1
304;Acquisition of self-built dwellings;2016 3rd quarter;101.0;2.6;2.6
305;Acquisition of self-built dwellings;2016 4th quarter;102.1;1.0;4.3
306;Acquisition of self-built dwellings;2016;99.7;-0.3;-0.3
307;Acquisition of self-built dwellings;2017 1st quarter;103.7;1.6;6.6
308;Acquisition of self-built dwellings;2017 2nd quarter;107.1;3.3;8.8
309;Acquisition of self-built dwellings;2017 3rd quarter;106.0;-1.1;4.9
310;Acquisition of self-built dwellings;2017 4th quarter;110.1;3.8;7.8
311;Acquisition of self-built dwellings;2017;106.7;7.0;7.0
312;Acquisition of self-built dwellings;2018 1st quarter;113.0;2.7;9.0
313;Acquisition of self-built dwellings;2018 2nd quarter;113.5;0.5;6.0
314;Acquisition of self-built dwellings;2018 3rd quarter;116.0;2.2;9.4
315;Acquisition of self-built dwellings;2018 4th quarter;121.8;5.0;10.6
316;Acquisition of self-built dwellings;2018;116.1;8.8;8.8
317;Acquisition of self-built dwellings;2019 1st quarter;122.4;0.5;8.3
318;Acquisition of self-built dwellings;2019 2nd quarter;120.7;-1.4;6.3
319;Acquisition of self-built dwellings;2019 3rd quarter;124.8;3.4;7.6
320;Acquisition of self-built dwellings;2019 4th quarter;128.8;3.2;5.8
321;Acquisition of self-built dwellings;2019;124.2;7.0;7.0
322;Acquisition of self-built dwellings;2020 1st quarter;128.1;-0.6;4.6
323;Acquisition of self-built dwellings;2020 2nd quarter;130.3;1.7;7.9
324;Acquisition of self-built dwellings;2020 3rd quarter;128.5;-1.4;3.0
325;Acquisition of self-built dwellings;2020 4th quarter;133.5;3.9;3.6
326;Acquisition of self-built dwellings;2020;130.1;4.8;4.8
327;Acquisition of self-built dwellings;2021 1st quarter;131.7;-1.3;2.9
328;Acquisition of self-built dwellings;2021 2nd quarter;133.1;1.0;2.2
329;Acquisition of self-built dwellings;2021 3rd quarter;135.8;2.0;5.7
330;Acquisition of self-built dwellings;2021 4th quarter;134.7;-0.8;0.9
331;Acquisition of self-built dwellings;2021;133.8;2.9;2.9
332;Acquisition of self-built dwellings;2022 1st quarter;138.3;2.7;5.0
333;Acquisition of self-built dwellings;2022 2nd quarter;141.8;2.6;6.5
334;Acquisition of self-built dwellings;2022 3rd quarter;148.6;4.8;9.4
335;Acquisition of self-built dwellings;2022 4th quarter;146.6;-1.3;8.9
336;Acquisition of self-built dwellings;2022;143.8;7.5;7.5
337;Acquisition of self-built dwellings;2023 1st quarter;157.1;7.1;13.6
338;Acquisition of self-built dwellings;2023 2nd quarter;161.9;3.0;14.2
339;Acquisition of self-built dwellings;2023 3rd quarter;165.7;2.3;11.5
340;Acquisition formally rented dwelling;2010 1st quarter;113.0;;
341;Acquisition formally rented dwelling;2010 2nd quarter;113.9;0.8;
342;Acquisition formally rented dwelling;2010 3rd quarter;112.8;-0.9;
343;Acquisition formally rented dwelling;2010 4th quarter;112.6;-0.2;
344;Acquisition formally rented dwelling;2010;113.1;;
345;Acquisition formally rented dwelling;2011 1st quarter;112.0;-0.6;-0.9
346;Acquisition formally rented dwelling;2011 2nd quarter;111.0;-0.9;-2.6
347;Acquisition formally rented dwelling;2011 3rd quarter;109.5;-1.3;-2.9
348;Acquisition formally rented dwelling;2011 4th quarter;108.0;-1.4;-4.1
349;Acquisition formally rented dwelling;2011;110.1;-2.6;-2.6
350;Acquisition formally rented dwelling;2012 1st quarter;106.1;-1.8;-5.3
351;Acquisition formally rented dwelling;2012 2nd quarter;104.5;-1.5;-5.9
352;Acquisition formally rented dwelling;2012 3rd quarter;102.5;-1.9;-6.4
353;Acquisition formally rented dwelling;2012 4th quarter;100.3;-2.1;-7.1
354;Acquisition formally rented dwelling;2012;103.4;-6.2;-6.2
355;Acquisition formally rented dwelling;2013 1st quarter;98.9;-1.5;-6.8
356;Acquisition formally rented dwelling;2013 2nd quarter;97.3;-1.6;-6.9
357;Acquisition formally rented dwelling;2013 3rd quarter;97.4;0.2;-5.0
358;Acquisition formally rented dwelling;2013 4th quarter;96.4;-1.1;-3.9
359;Acquisition formally rented dwelling;2013;97.5;-5.7;-5.7
360;Acquisition formally rented dwelling;2014 1st quarter;96.8;0.4;-2.1
361;Acquisition formally rented dwelling;2014 2nd quarter;97.2;0.4;-0.1
362;Acquisition formally rented dwelling;2014 3rd quarter;97.6;0.5;0.2
363;Acquisition formally rented dwelling;2014 4th quarter;98.6;1.0;2.3
364;Acquisition formally rented dwelling;2014;97.6;0.1;0.1
365;Acquisition formally rented dwelling;2015 1st quarter;98.2;-0.4;1.5
366;Acquisition formally rented dwelling;2015 2nd quarter;99.7;1.6;2.6
367;Acquisition formally rented dwelling;2015 3rd quarter;101.1;1.4;3.6
368;Acquisition formally rented dwelling;2015 4th quarter;100.9;-0.2;2.4
369;Acquisition formally rented dwelling;2015;100.0;2.5;2.5
370;Acquisition formally rented dwelling;2016 1st quarter;103.2;2.2;5.1
371;Acquisition formally rented dwelling;2016 2nd quarter;105.9;2.6;6.2
372;Acquisition formally rented dwelling;2016 3rd quarter;107.6;1.6;6.4
373;Acquisition formally rented dwelling;2016 4th quarter;108.6;1.0;7.6
374;Acquisition formally rented dwelling;2016;106.3;6.3;6.3
375;Acquisition formally rented dwelling;2017 1st quarter;111.3;2.4;7.8
376;Acquisition formally rented dwelling;2017 2nd quarter;114.7;3.1;8.3
377;Acquisition formally rented dwelling;2017 3rd quarter;117.7;2.6;9.3
378;Acquisition formally rented dwelling;2017 4th quarter;119.3;1.4;9.8
379;Acquisition formally rented dwelling;2017;115.7;8.8;8.8
380;Acquisition formally rented dwelling;2018 1st quarter;123.1;3.2;10.6
381;Acquisition formally rented dwelling;2018 2nd quarter;129.1;4.8;12.5
382;Acquisition formally rented dwelling;2018 3rd quarter;130.6;1.2;11.0
383;Acquisition formally rented dwelling;2018 4th quarter;131.6;0.8;10.3
384;Acquisition formally rented dwelling;2018;128.6;11.1;11.1
385;Acquisition formally rented dwelling;2019 1st quarter;136.1;3.4;10.5
386;Acquisition formally rented dwelling;2019 2nd quarter;138.1;1.5;7.0
