ID;Pensioenfondsen;Perioden;TotaalActiva_1;OnroerendeZakenEnInventaris_2;HypothecaireLeningen_3;TotaalEffecten_4;Aandelen_5;Obligaties_6;LeningenOpSchuldbekentenis_7;NietGeconsolideerdeDeelnemingen_8;DepositoSEnLiquideMiddelen_9;PremiereserveHerverzekering_10;OverigeVorderingen_11;TotaalPassiva_12;StichtingskapitaalEnReserves_13;VoorzieningPensioenverplichtingen_14;Leningen_15;OverigeSchulden_16;Saldo_17;TotaalLasten_18;VermeerderingTechnischeVoorziening_19;UitkeringenEnAfkopenEigenRekening_20;Onkosten_21;AndereLasten_22;GeboektTenGunsteVanReserves_23;Overdrachten_24;TotaalBaten_25;PremiesEigenRekening_26;Beleggingsopbrengsten_27;OpbrengstOnroerendeZaken_28;WinstEnBijschrijvingOpBeleggingen_29;AndereBaten_30;Overdrachten_31
39;Bedrijfstakpensioenfondsen;1997;252.3;12.6;11.5;150.4;88.9;61.4;58.0;6.2;2.8;5.4;5.4;252.3;56.9;192.8;1.1;1.5;;30.4;15.6;6.4;0.3;0.4;7.6;0.2;30.4;4.6;11.2;0.8;13.1;0.4;0.2
40;Bedrijfstakpensioenfondsen;1998;269.7;14.4;12.3;175.4;99.1;76.3;46.6;5.9;2.6;6.5;6.1;269.7;61.0;205.6;0.6;2.5;;34.1;16.3;6.8;0.4;0.7;9.3;0.6;34.1;5.8;11.5;0.9;14.9;0.3;0.7
41;Bedrijfstakpensioenfondsen;1999;311.0;16.3;12.7;225.9;145.3;80.7;35.0;8.0;0.7;7.4;5.0;311.0;78.9;227.0;1.1;4.0;;52.9;21.5;7.3;0.4;0.5;22.5;0.7;52.9;6.5;11.4;1.0;32.6;0.4;1.0
42;Bedrijfstakpensioenfondsen;2000;316.2;17.0;12.9;238.0;141.6;96.4;23.7;9.3;2.9;8.4;4.0;316.2;67.1;246.2;0.6;2.2;;19.2;15.6;7.8;0.4;0.3;-5.8;0.9;19.2;7.4;13.2;1.0;-3.8;0.4;1.0
43;Bedrijfstakpensioenfondsen;2001;304.8;17.1;12.2;240.9;137.2;103.7;17.4;10.8;1.8;0.8;3.8;304.8;38.8;261.8;0.2;4.0;;2.8;13.4;8.1;0.4;-0.3;-19.6;0.8;2.8;8.3;10.4;0.8;-17.9;0.3;0.9
44;Bedrijfstakpensioenfondsen;2002;294.6;17.6;14.3;224.6;114.6;109.9;11.1;15.2;7.7;0.8;3.4;294.6;-10.0;300.3;0.5;3.8;;-8.3;30.1;9.4;0.5;0.7;-50.0;1.0;-8.3;11.0;10.7;0.7;-33.2;1.1;1.6
45;Bedrijfstakpensioenfondsen;2003;332.5;17.5;13.3;270.5;152.1;118.4;7.9;12.6;6.2;1.1;3.4;332.5;-6.0;333.3;0.7;4.6;;47.9;32.4;10.2;0.5;0.6;3.2;0.8;47.9;13.7;10.5;0.6;21.2;0.2;1.6
46;Bedrijfstakpensioenfondsen;2004;365.2;17.9;12.9;295.8;166.2;129.6;7.3;18.3;9.3;0.7;3.0;365.2;51.8;306.8;0.3;6.2;;50.6;-22.3;10.9;0.5;0.8;60.1;0.7;50.6;15.7;10.2;0.8;22.6;0.1;1.2
47;Bedrijfstakpensioenfondsen;2005;425.6;17.8;11.4;354.4;201.3;153.1;6.3;22.8;8.4;0.7;3.7;425.6;76.6;342.8;0.4;5.8;;71.6;38.7;11.8;0.5;0.8;19.1;0.7;71.6;17.5;10.7;1.0;39.7;0.4;2.4
48;Bedrijfstakpensioenfondsen;2006;524.2;16.0;11.2;391.0;221.6;169.4;5.6;27.0;23.1;0.7;49.5;524.2;117.5;343.2;0.3;63.2;;55.6;0.3;12.7;0.6;0.3;40.7;1.0;55.6;16.9;10.9;1.0;24.1;0.2;2.7
49;Bedrijfstakpensioenfondsen;2007;544.0;15.6;12.5;397.4;217.0;180.4;6.8;29.3;22.9;1.1;58.4;544.0;144.0;342.1;0.0;58.0;;39.9;-3.2;13.8;0.6;0.3;27.4;0.9;39.9;17.9;13.0;1.0;4.8;0.2;2.9
50;Bedrijfstakpensioenfondsen;2008;485.4;15.6;10.9;349.3;167.8;181.4;8.9;49.8;25.7;1.3;24.0;485.4;-32.5;438.2;21.4;58.3;;-63.9;95.8;14.8;0.7;0.1;-176.4;1.1;-63.9;18.9;13.0;1.0;-99.9;0.6;2.4
51;Bedrijfstakpensioenfondsen;2009;483.6;12.0;25.9;363.2;154.8;208.4;20.6;2.4;10.4;1.1;48.1;483.6;25.3;455.8;0.0;2.5;;87.9;13.1;15.7;0.7;0.3;57.8;0.3;87.9;20.4;14.2;0.1;51.5;0.5;1.2
52;Bedrijfstakpensioenfondsen;2010;541.1;11.6;18.9;428.1;231.8;196.3;15.2;3.0;12.8;1.0;50.3;541.1;24.5;514.5;0.0;2.1;;82.9;65.1;16.7;0.7;0.2;-0.8;0.9;82.9;21.4;13.1;1.4;44.0;0.5;2.5
53;Bedrijfstakpensioenfondsen;2011;584.9;14.6;19.7;465.5;245.3;220.2;12.5;2.1;12.4;2.1;55.8;584.9;-26.6;609.0;0.0;2.5;;60.6;92.5;17.4;0.7;0.4;-51.1;0.6;60.6;22.3;13.6;0.8;20.0;1.0;3.0
54;Bedrijfstakpensioenfondsen;2012;675.9;13.9;20.8;562.0;284.2;277.8;13.9;2.8;24.1;2.3;36.0;675.9;2.6;670.1;0.0;3.2;;110.2;61.3;18.3;0.8;0.0;28.9;1.0;110.2;24.0;14.4;2.0;63.0;0.1;6.8
55;Bedrijfstakpensioenfondsen;2013;709.0;11.9;21.9;600.3;316.2;284.1;15.1;0.7;17.2;2.2;39.8;709.0;50.8;654.3;0.0;3.9;;53.2;-15.8;18.8;0.8;-0.1;48.5;1.0;53.2;25.1;15.0;1.3;8.8;0.2;2.8
56;Bedrijfstakpensioenfondsen;2014;841.4;11.1;21.8;744.9;387.5;357.4;13.8;2.2;17.0;2.5;28.0;841.4;34.3;801.2;0.0;5.9;;153.9;147.4;19.4;0.8;0.4;-15.6;1.6;153.9;23.5;16.3;1.6;104.7;0.2;7.5
57;Bedrijfstakpensioenfondsen;2015;858.3;11.3;19.8;768.0;384.9;383.0;11.2;1.6;15.3;2.6;28.5;858.3;-12.0;863.2;0.0;7.1;;38.7;62.3;20.2;0.8;0.4;-45.6;0.6;38.7;22.4;18.0;1.8;-8.2;0.1;4.6
58;Ondernemingspensioenfondsen;1987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;Ondernemingspensioenfondsen;1988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;Ondernemingspensioenfondsen;1989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;Ondernemingspensioenfondsen;1990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;Ondernemingspensioenfondsen;1991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;Ondernemingspensioenfondsen;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;Ondernemingspensioenfondsen;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;Ondernemingspensioenfondsen;1994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;Ondernemingspensioenfondsen;1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;Ondernemingspensioenfondsen;1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;Ondernemingspensioenfondsen;1997;110.5;6.1;0.8;78.5;40.0;38.5;9.9;2.9;2.5;5.9;3.9;110.5;25.5;80.0;0.4;4.5;;16.3;5.6;2.8;0.1;1.8;5.2;0.7;15.5;1.6;4.2;0.5;7.3;1.2;0.7
69;Ondernemingspensioenfondsen;1998;122.9;5.9;0.8;89.8;44.2;45.6;9.5;4.4;2.3;5.7;4.5;122.9;32.1;86.6;0.3;3.9;;15.5;6.2;3.0;0.2;1.0;4.5;0.7;15.5;1.6;4.2;0.5;7.3;1.2;0.7
70;Ondernemingspensioenfondsen;1999;141.6;5.4;0.9;108.8;62.0;46.8;7.2;6.0;2.7;6.2;4.5;141.6;40.7;96.1;0.3;4.4;;24.7;8.0;3.2;0.2;1.2;11.3;0.8;24.7;1.8;4.4;0.4;15.0;2.3;1.0
71;Ondernemingspensioenfondsen;2000;162.4;7.0;1.1;129.2;67.2;62.0;6.4;5.4;2.7;5.7;4.9;162.4;39.5;116.0;0.4;6.5;;5.6;6.1;4.0;0.2;1.1;-6.7;0.8;5.6;2.1;4.8;0.6;-4.3;1.5;0.9
72;Ondernemingspensioenfondsen;2001;142.5;6.9;1.1;114.3;62.3;52.0;4.1;4.4;2.7;5.3;3.7;142.5;25.3;110.4;1.2;5.6;;0.3;4.7;4.0;0.2;0.6;-10.0;0.7;0.3;2.8;3.8;0.8;-8.8;1.1;0.6
73;Ondernemingspensioenfondsen;2002;134.6;4.2;1.2;106.0;47.2;58.8;3.4;5.5;3.7;5.1;5.5;134.6;8.8;119.8;0.9;5.1;;-2.8;4.6;4.2;0.3;0.5;-13.3;0.9;-2.8;7.0;3.5;0.2;-16.2;1.9;0.8
74;Ondernemingspensioenfondsen;2003;147.2;3.3;1.2;118.4;56.1;62.3;2.6;7.3;4.6;5.3;4.5;147.2;18.0;123.2;1.2;4.8;;20.0;6.1;4.7;0.3;0.8;7.1;1.0;20.0;6.2;3.5;0.2;8.6;0.8;0.7
75;Ondernemingspensioenfondsen;2004;169.8;3.2;1.2;143.4;62.7;80.7;1.8;8.8;4.7;2.2;4.5;169.8;28.8;133.2;0.4;7.5;;22.2;6.3;5.1;0.3;0.7;8.7;1.0;22.2;6.1;3.7;0.2;10.1;0.8;1.4
76;Ondernemingspensioenfondsen;2005;194.5;3.1;1.2;165.6;77.4;88.2;1.3;10.5;5.7;3.0;4.2;194.5;39.2;145.1;0.6;9.7;;31.0;11.7;5.5;0.3;1.2;11.0;1.3;31.0;7.0;4.0;0.2;18.1;0.6;1.1
77;Ondernemingspensioenfondsen;2006;203.2;2.9;1.1;172.4;83.4;89.0;1.2;13.4;5.2;2.3;4.6;203.2;50.7;142.4;0.3;9.8;;21.2;0.9;5.7;0.3;0.5;12.3;1.4;21.2;6.3;4.1;0.1;9.0;0.6;1.0
78;Ondernemingspensioenfondsen;2007;206.0;3.7;1.5;166.8;83.6;83.2;1.3;11.4;5.1;10.2;6.1;206.0;58.3;137.3;0.3;10.1;;10.5;-5.1;5.8;0.3;0.4;7.4;1.6;10.5;5.5;4.1;0.1;-0.6;0.7;0.7
79;Ondernemingspensioenfondsen;2008;178.5;2.4;1.5;141.0;49.7;91.3;1.1;16.3;1.2;10.5;4.4;178.5;3.7;165.8;0.3;8.7;;-15.3;29.2;6.0;0.4;1.3;-54.4;2.2;-15.4;7.0;4.1;0.3;-28.3;0.6;1.1
80;Ondernemingspensioenfondsen;2009;190.3;4.4;6.9;134.3;57.2;77.1;10.3;0.9;3.9;11.9;17.8;190.3;21.3;163.5;0.3;5.2;;27.9;2.7;6.2;0.4;0.3;17.9;0.3;27.9;8.6;4.1;0.6;13.5;0.7;0.4
81;Ondernemingspensioenfondsen;2010;212.7;4.3;5.0;158.4;85.8;72.6;7.6;1.1;4.7;12.9;18.6;212.7;20.8;188.8;0.2;2.9;;26.0;18.5;6.4;0.3;0.3;-0.5;0.9;26.0;6.2;5.0;1.4;12.3;0.7;0.5
82;Ondernemingspensioenfondsen;2011;224.8;1.8;5.7;169.0;68.9;100.2;8.9;0.6;5.8;13.1;19.8;224.8;12.5;208.7;0.2;3.4;;26.0;25.3;6.5;0.3;-0.1;-8.3;2.3;26.0;6.8;4.7;0.5;11.8;0.9;1.3
83;Ondernemingspensioenfondsen;2012;247.5;1.5;6.0;194.2;79.6;114.7;8.6;0.8;4.0;13.6;18.8;247.5;24.3;220.4;0.2;2.6;;35.7;11.8;6.5;0.3;0.4;11.8;4.9;35.7;7.1;5.9;0.6;21.0;0.4;0.7
84;Ondernemingspensioenfondsen;2013;249.9;1.5;10.8;196.0;86.6;109.4;3.7;0.2;9.0;12.9;15.8;249.9;36.1;211.1;0.2;2.6;;17.6;-4.6;6.5;0.3;0.3;12.3;2.8;17.6;7.9;4.7;0.7;-1.1;0.3;5.2
85;Ondernemingspensioenfondsen;2014;293.6;1.5;9.4;241.8;98.3;143.5;4.7;0.6;4.5;10.5;20.7;293.6;45.0;244.4;0.2;4.1;;61.3;38.2;6.6;0.3;1.3;9.2;5.6;61.3;7.2;5.5;0.6;41.6;0.9;5.4
86;Ondernemingspensioenfondsen;2015;288.3;1.3;7.3;244.4;100.3;144.0;4.5;0.4;6.4;9.7;14.4;288.3;35.2;251.0;0.2;2.0;;9.6;8.9;6.6;0.3;0.6;-9.5;2.7;9.6;5.4;5.0;1.0;-2.0;0.2;-0.1
87;Beroeps- en overige pensioenfondsen;1987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;Beroeps- en overige pensioenfondsen;1988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;Beroeps- en overige pensioenfondsen;1989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;Beroeps- en overige pensioenfondsen;1990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;Beroeps- en overige pensioenfondsen;1991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;Beroeps- en overige pensioenfondsen;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;Beroeps- en overige pensioenfondsen;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;Beroeps- en overige pensioenfondsen;1994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;Beroeps- en overige pensioenfondsen;1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;Beroeps- en overige pensioenfondsen;1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;Beroeps- en overige pensioenfondsen;1997;11.9;0.1;0.0;9.1;4.7;4.4;1.8;0.0;0.1;0.5;0.4;11.9;2.2;9.7;0.0;0.0;;2.0;0.8;0.3;0.0;0.7;0.2;0.0;2.0;0.2;0.5;;1.1;0.1;0.1
98;Beroeps- en overige pensioenfondsen;1998;14.2;0.1;0.0;11.2;5.3;5.9;1.7;0.0;0.2;0.6;0.4;14.2;3.5;10.7;0.0;0.0;;2.5;1.3;0.3;0.0;0.0;0.9;0.0;2.5;0.2;0.5;0.0;1.2;0.1;0.4
99;Beroeps- en overige pensioenfondsen;1999;19.1;0.1;0.0;16.3;8.5;7.8;2.0;0.1;0.1;0.0;0.4;19.1;7.0;11.7;0.0;0.4;;2.3;1.0;0.3;0.0;0.1;0.9;0.0;2.3;0.0;0.7;0.0;1.5;0.1;0.0
100;Beroeps- en overige pensioenfondsen;2000;19.1;0.1;0.0;17.0;7.7;9.3;1.3;0.2;0.1;0.0;0.4;19.1;5.9;13.2;0.0;0.0;;1.0;1.6;0.3;0.0;0.0;-1.0;0.0;1.0;0.0;0.7;0.0;-0.1;0.0;0.3
101;Beroeps- en overige pensioenfondsen;2001;18.2;0.1;0.0;16.4;7.5;8.9;1.1;0.3;0.1;0.0;0.2;18.2;4.5;13.7;0.0;0.0;;-0.4;0.4;0.4;0.0;0.0;-1.2;0.0;-0.4;0.1;0.7;0.0;-1.3;0.1;0.0
102;Beroeps- en overige pensioenfondsen;2002;14.2;0.1;0.0;14.3;5.4;8.9;0.8;0.3;0.1;0.0;-1.4;14.2;0.1;14.1;0.0;0.0;;-1.1;0.6;0.4;0.0;0.0;-2.0;0.0;-1.1;0.3;0.5;0.0;-1.9;0.1;0.0
103;Beroeps- en overige pensioenfondsen;2003;17.3;0.4;0.0;15.7;6.7;9.0;0.7;0.1;0.1;0.0;0.3;17.3;1.0;14.5;0.0;1.8;;1.8;0.4;0.4;0.0;0.0;0.9;0.0;1.8;0.3;0.7;0.0;0.7;0.0;0.0
104;Beroeps- en overige pensioenfondsen;2004;19.1;0.1;0.0;17.6;7.5;10.0;0.6;0.3;0.1;0.0;0.3;19.1;3.0;14.4;0.0;1.7;;1.8;0.3;0.4;0.0;0.0;1.0;0.0;1.8;0.4;0.2;0.0;1.2;0.0;0.0
105;Beroeps- en overige pensioenfondsen;2005;21.2;0.2;0.0;19.0;8.3;10.6;0.5;0.9;0.3;0.0;0.4;21.2;3.6;15.9;0.0;1.8;;2.7;1.2;0.5;0.0;0.0;0.9;0.0;2.7;0.4;0.8;0.0;1.4;0.0;0.0
106;Beroeps- en overige pensioenfondsen;2006;22.4;0.2;0.0;19.0;9.8;9.2;0.4;1.7;0.7;0.0;0.5;22.4;4.6;15.9;0.0;1.9;;1.8;0.1;0.5;0.0;0.0;1.2;0.0;1.8;0.4;0.6;0.0;0.7;0.0;0.0
107;Beroeps- en overige pensioenfondsen;2007;22.4;0.1;0.0;17.5;10.4;7.1;0.3;1.8;1.8;0.1;0.8;22.4;8.3;13.3;0.0;0.8;;1.0;-0.2;0.5;0.0;0.0;0.6;0.0;1.0;0.4;0.6;0.0;0.0;0.0;0.0
108;Beroeps- en overige pensioenfondsen;2008;18.3;0.1;0.0;14.7;6.5;8.2;0.3;2.4;0.0;0.1;0.7;18.3;1.8;15.7;0.0;0.7;;-2.9;2.8;0.5;0.0;0.0;-6.2;0.0;-2.9;0.4;0.5;0.1;-3.8;0.0;0.0
109;Beroeps- en overige pensioenfondsen;2009;19.0;0.5;0.0;14.2;6.1;8.2;1.8;0.1;0.4;0.1;1.9;19.0;3.0;15.4;0.0;0.6;;2.7;0.1;0.6;0.0;0.0;2.0;0.0;2.7;0.4;0.4;0.0;1.7;0.0;0.0
110;Beroeps- en overige pensioenfondsen;2010;20.3;0.4;0.0;16.0;8.7;7.3;1.3;0.1;0.5;0.1;1.9;20.3;2.9;17.3;0.0;0.2;;2.3;1.7;0.6;0.0;0.0;-0.1;0.0;2.3;0.4;0.4;0.1;1.3;0.0;0.0
