ID;ConsumptieveBestedingen;Perioden;Indexcijfer_1;Volumemutaties_2;VolumemutatiesKoopdaggecorrigeerd_3;Indexcijfers_4;Waardemutaties_5;Prijsmutaties_6
87;Binnenlandse consumptie huishoudens;2004 1e kwartaal;98.8;0.7;0.1;83.3;1.8;1.1
88;Binnenlandse consumptie huishoudens;2004 april;98.0;1.8;1.2;84.1;3.4;1.6
89;Binnenlandse consumptie huishoudens;2004 mei;98.2;-1.4;0.4;85.0;0.3;1.7
90;Binnenlandse consumptie huishoudens;2004 juni;97.8;2.6;1.4;84.4;4.5;1.8
91;Binnenlandse consumptie huishoudens;2004 2e kwartaal;98.0;1.0;1.0;84.5;2.7;1.7
92;Binnenlandse consumptie huishoudens;2004 juli;98.1;2.9;2.1;84.6;4.3;1.3
93;Binnenlandse consumptie huishoudens;2004 augustus;94.0;-0.3;1.0;81.3;1.0;1.3
94;Binnenlandse consumptie huishoudens;2004 september;96.1;1.9;1.1;83.1;3.1;1.3
95;Binnenlandse consumptie huishoudens;2004 3e kwartaal;96.1;1.5;1.4;83.0;2.8;1.3
96;Binnenlandse consumptie huishoudens;2004 oktober;96.0;-0.4;0.2;84.6;0.8;1.2
97;Binnenlandse consumptie huishoudens;2004 november;94.5;0.5;0.5;82.2;1.7;1.1
98;Binnenlandse consumptie huishoudens;2004 december;100.6;2.8;1.7;86.3;3.7;0.8
99;Binnenlandse consumptie huishoudens;2004 4e kwartaal;97.1;1.0;0.8;84.4;2.0;1.0
100;Binnenlandse consumptie huishoudens;2005 januari;99.6;-1.8;0.2;85.3;0.0;1.8
101;Binnenlandse consumptie huishoudens;2005 februari;94.8;-0.5;0.3;80.9;1.4;1.9
102;Binnenlandse consumptie huishoudens;2005 maart;101.1;1.5;0.9;87.6;3.3;1.9
103;Binnenlandse consumptie huishoudens;2005 1e kwartaal;98.5;-0.3;0.5;84.6;1.6;1.8
104;Binnenlandse consumptie huishoudens;2005 april;98.3;0.3;0.2;85.6;1.8;1.6
105;Binnenlandse consumptie huishoudens;2005 mei;98.0;-0.1;0.3;86.0;1.1;1.3
106;Binnenlandse consumptie huishoudens;2005 juni;99.7;1.9;1.7;87.3;3.5;1.5
107;Binnenlandse consumptie huishoudens;2005 2e kwartaal;98.7;0.7;0.8;86.3;2.1;1.4
108;Binnenlandse consumptie huishoudens;2005 juli;98.6;0.5;1.4;86.2;2.0;1.5
109;Binnenlandse consumptie huishoudens;2005 augustus;96.5;2.6;1.7;84.9;4.4;1.7
110;Binnenlandse consumptie huishoudens;2005 september;98.3;2.3;2.0;86.6;4.2;1.8
111;Binnenlandse consumptie huishoudens;2005 3e kwartaal;97.8;1.8;1.7;85.9;3.5;1.7
112;Binnenlandse consumptie huishoudens;2005 oktober;96.8;0.8;1.6;87.0;2.9;2.1
113;Binnenlandse consumptie huishoudens;2005 november;96.9;2.6;2.1;86.3;5.0;2.3
114;Binnenlandse consumptie huishoudens;2005 december;102.2;1.5;1.2;90.0;4.3;2.7
115;Binnenlandse consumptie huishoudens;2005 4e kwartaal;98.6;1.6;1.6;87.8;4.0;2.4
116;Binnenlandse consumptie huishoudens;2006 januari;99.4;-0.2;0.2;87.7;2.9;3.1
117;Binnenlandse consumptie huishoudens;2006 februari;94.5;-0.3;-0.2;83.2;2.8;3.1
118;Binnenlandse consumptie huishoudens;2006 maart;101.6;0.5;0.1;90.6;3.3;2.8
119;Binnenlandse consumptie huishoudens;2006 1e kwartaal;98.5;0.0;0.1;87.2;3.0;3.0
120;Binnenlandse consumptie huishoudens;2006 april;97.8;-0.5;0.5;87.7;2.5;3.0
121;Binnenlandse consumptie huishoudens;2006 mei;99.9;1.9;1.0;90.3;5.0;3.0
122;Binnenlandse consumptie huishoudens;2006 juni;100.0;0.3;-0.1;89.8;2.9;2.6
123;Binnenlandse consumptie huishoudens;2006 2e kwartaal;99.2;0.6;0.5;89.3;3.5;2.9
124;Binnenlandse consumptie huishoudens;2006 juli;97.1;-1.5;-0.8;87.2;1.1;2.6
125;Binnenlandse consumptie huishoudens;2006 augustus;97.7;1.2;0.8;88.4;4.1;2.9
126;Binnenlandse consumptie huishoudens;2006 september;98.5;0.2;-0.2;88.7;2.4;2.2
127;Binnenlandse consumptie huishoudens;2006 3e kwartaal;97.8;0.0;-0.1;88.1;2.5;2.6
128;Binnenlandse consumptie huishoudens;2006 oktober;95.9;-0.9;-0.5;87.9;1.0;2.0
129;Binnenlandse consumptie huishoudens;2006 november;96.7;-0.2;-0.4;88.1;2.2;2.4
130;Binnenlandse consumptie huishoudens;2006 december;100.7;-1.4;-0.2;91.0;1.1;2.5
131;Binnenlandse consumptie huishoudens;2006 4e kwartaal;97.8;-0.9;-0.4;89.0;1.4;2.3
132;Binnenlandse consumptie huishoudens;2007 januari;100.6;1.2;0.2;90.4;3.0;1.8
133;Binnenlandse consumptie huishoudens;2007 februari;96.3;1.8;1.8;86.4;3.9;2.0
134;Binnenlandse consumptie huishoudens;2007 maart;103.7;2.1;1.7;94.6;4.4;2.3
135;Binnenlandse consumptie huishoudens;2007 1e kwartaal;100.2;1.7;1.2;90.5;3.8;2.0
136;Binnenlandse consumptie huishoudens;2007 april;98.1;0.3;1.2;89.9;2.4;2.1
137;Binnenlandse consumptie huishoudens;2007 mei;101.0;1.1;0.6;92.9;3.0;1.9
138;Binnenlandse consumptie huishoudens;2007 juni;102.2;2.2;1.9;93.6;4.2;2.0
139;Binnenlandse consumptie huishoudens;2007 2e kwartaal;100.4;1.2;1.2;92.1;3.2;2.0
140;Binnenlandse consumptie huishoudens;2007 juli;99.2;2.2;2.9;90.8;4.2;2.0
141;Binnenlandse consumptie huishoudens;2007 augustus;99.9;2.3;1.5;91.5;3.6;1.3
142;Binnenlandse consumptie huishoudens;2007 september;99.6;1.1;2.5;91.4;3.1;1.9
143;Binnenlandse consumptie huishoudens;2007 3e kwartaal;99.6;1.9;2.3;91.3;3.6;1.7
144;Binnenlandse consumptie huishoudens;2007 oktober;100.0;4.2;3.2;93.6;6.4;2.1
145;Binnenlandse consumptie huishoudens;2007 november;99.3;2.7;2.4;92.8;5.3;2.4
146;Binnenlandse consumptie huishoudens;2007 december;103.1;2.4;3.3;95.4;4.8;2.4
147;Binnenlandse consumptie huishoudens;2007 4e kwartaal;100.8;3.1;2.9;93.9;5.5;2.3
148;Binnenlandse consumptie huishoudens;2008 januari;102.0;1.4;1.0;94.1;4.1;2.6
149;Binnenlandse consumptie huishoudens;2008 februari;100.6;4.6;2.2;92.7;7.3;2.6
150;Binnenlandse consumptie huishoudens;2008 maart;102.3;-1.3;0.1;95.6;1.1;2.5
151;Binnenlandse consumptie huishoudens;2008 1e kwartaal;101.7;1.5;1.1;94.2;4.1;2.6
152;Binnenlandse consumptie huishoudens;2008 april;100.7;2.6;1.5;94.7;5.4;2.8
153;Binnenlandse consumptie huishoudens;2008 mei;104.1;3.1;2.1;98.4;5.9;2.7
154;Binnenlandse consumptie huishoudens;2008 juni;100.4;-1.8;0.4;94.7;1.1;3.0
155;Binnenlandse consumptie huishoudens;2008 2e kwartaal;101.7;1.3;1.4;95.9;4.1;2.8
156;Binnenlandse consumptie huishoudens;2008 juli;100.5;1.3;-0.2;94.4;4.0;2.6
157;Binnenlandse consumptie huishoudens;2008 augustus;99.6;-0.3;0.4;93.8;2.5;2.8
158;Binnenlandse consumptie huishoudens;2008 september;99.3;-0.3;-0.2;93.6;2.4;2.7
159;Binnenlandse consumptie huishoudens;2008 3e kwartaal;99.8;0.2;0.0;93.9;2.9;2.7
160;Binnenlandse consumptie huishoudens;2008 oktober;100.7;0.7;-0.3;95.3;1.9;1.1
161;Binnenlandse consumptie huishoudens;2008 november;97.2;-2.2;-1.2;91.4;-1.4;0.8
162;Binnenlandse consumptie huishoudens;2008 december;102.6;-0.5;-0.9;95.7;0.3;0.8
163;Binnenlandse consumptie huishoudens;2008 4e kwartaal;100.2;-0.6;-0.8;94.1;0.2;0.9
164;Binnenlandse consumptie huishoudens;2009 januari;102.6;0.6;-0.1;94.1;0.0;-0.5
165;Binnenlandse consumptie huishoudens;2009 februari;96.5;-4.1;-1.9;88.6;-4.5;-0.4
166;Binnenlandse consumptie huishoudens;2009 maart;99.3;-2.9;-2.2;92.1;-3.7;-0.8
167;Binnenlandse consumptie huishoudens;2009 1e kwartaal;99.5;-2.1;-1.4;91.6;-2.7;-0.6
168;Binnenlandse consumptie huishoudens;2009 april;98.3;-2.4;-2.9;90.8;-4.2;-1.8
169;Binnenlandse consumptie huishoudens;2009 mei;99.7;-4.2;-3.2;92.5;-6.0;-1.9
170;Binnenlandse consumptie huishoudens;2009 juni;98.2;-2.1;-2.9;90.6;-4.3;-2.2
171;Binnenlandse consumptie huishoudens;2009 2e kwartaal;98.7;-2.9;-3.0;91.3;-4.9;-2.0
172;Binnenlandse consumptie huishoudens;2009 juli;99.8;-0.7;-1.2;91.6;-3.0;-2.3
173;Binnenlandse consumptie huishoudens;2009 augustus;96.0;-3.6;-2.8;88.5;-5.7;-2.2
174;Binnenlandse consumptie huishoudens;2009 september;97.6;-1.8;-2.3;89.9;-3.9;-2.2
175;Binnenlandse consumptie huishoudens;2009 3e kwartaal;97.8;-2.0;-2.1;90.0;-4.2;-2.2
176;Binnenlandse consumptie huishoudens;2009 oktober;98.9;-1.7;-2.1;92.9;-2.6;-0.9
177;Binnenlandse consumptie huishoudens;2009 november;94.5;-2.8;-2.0;88.2;-3.6;-0.8
178;Binnenlandse consumptie huishoudens;2009 december;102.5;-0.1;-0.7;94.7;-1.0;-0.9
179;Binnenlandse consumptie huishoudens;2009 4e kwartaal;98.6;-1.5;-1.6;91.9;-2.4;-0.9
180;Binnenlandse consumptie huishoudens;2010 januari;100.3;-2.3;-1.4;92.7;-1.5;0.8
181;Binnenlandse consumptie huishoudens;2010 februari;94.8;-1.8;-1.8;87.8;-0.8;1.0
182;Binnenlandse consumptie huishoudens;2010 maart;100.1;0.8;-0.4;94.2;2.2;1.5
183;Binnenlandse consumptie huishoudens;2010 1e kwartaal;98.4;-1.1;-1.2;91.6;0.0;1.1
184;Binnenlandse consumptie huishoudens;2010 april;98.6;0.4;0.4;92.7;2.1;1.7
185;Binnenlandse consumptie huishoudens;2010 mei;99.2;-0.6;0.2;93.5;1.1;1.7
186;Binnenlandse consumptie huishoudens;2010 juni;99.6;1.4;0.9;93.4;3.1;1.6
187;Binnenlandse consumptie huishoudens;2010 2e kwartaal;99.1;0.4;0.5;93.2;2.1;1.7
188;Binnenlandse consumptie huishoudens;2010 juli;100.1;0.3;0.0;93.4;2.0;1.6
189;Binnenlandse consumptie huishoudens;2010 augustus;96.7;0.7;1.2;90.5;2.3;1.6
190;Binnenlandse consumptie huishoudens;2010 september;99.4;1.9;1.8;93.1;3.6;1.7
191;Binnenlandse consumptie huishoudens;2010 3e kwartaal;98.7;1.0;1.0;92.3;2.6;1.6
192;Binnenlandse consumptie huishoudens;2010 oktober;99.0;0.1;1.0;94.5;1.8;1.7
193;Binnenlandse consumptie huishoudens;2010 november;97.3;3.0;2.2;92.4;4.8;1.8
194;Binnenlandse consumptie huishoudens;2010 december;103.9;1.4;0.9;98.0;3.5;2.1
195;Binnenlandse consumptie huishoudens;2010 4e kwartaal;100.1;1.5;1.3;95.0;3.3;1.9
196;Binnenlandse consumptie huishoudens;2011 januari;100.9;0.7;1.4;94.7;2.1;1.4
197;Binnenlandse consumptie huishoudens;2011 februari;96.0;1.3;1.3;90.5;3.0;1.7
198;Binnenlandse consumptie huishoudens;2011 maart;101.4;1.3;1.1;97.0;3.0;1.7
199;Binnenlandse consumptie huishoudens;2011 1e kwartaal;99.4;1.1;1.3;94.1;2.7;1.6
200;Binnenlandse consumptie huishoudens;2011 april;100.3;1.7;1.1;96.2;3.9;2.1
201;Binnenlandse consumptie huishoudens;2011 mei;99.9;0.8;1.1;96.4;3.1;2.3
202;Binnenlandse consumptie huishoudens;2011 juni;100.3;0.6;0.6;96.0;2.8;2.1
203;Binnenlandse consumptie huishoudens;2011 2e kwartaal;100.2;1.0;0.9;96.2;3.3;2.2
204;Binnenlandse consumptie huishoudens;2011 juli;100.0;-0.1;0.9;95.3;2.0;2.1
205;Binnenlandse consumptie huishoudens;2011 augustus;97.3;0.7;-0.2;93.0;2.8;2.1
206;Binnenlandse consumptie huishoudens;2011 september;98.5;-1.0;-1.3;94.2;1.1;2.1
207;Binnenlandse consumptie huishoudens;2011 3e kwartaal;98.6;-0.1;-0.2;94.1;2.0;2.1
208;Binnenlandse consumptie huishoudens;2011 oktober;97.2;-1.8;-1.2;94.6;0.1;1.9
209;Binnenlandse consumptie huishoudens;2011 november;97.0;-0.3;-0.8;93.9;1.7;2.0
210;Binnenlandse consumptie huishoudens;2011 december;103.1;-0.8;-1.0;99.2;1.2;2.1
211;Binnenlandse consumptie huishoudens;2011 4e kwartaal;99.1;-1.0;-1.0;95.9;1.0;2.0
212;Binnenlandse consumptie huishoudens;2012 januari;99.8;-1.1;-1.0;94.9;0.3;1.4
213;Binnenlandse consumptie huishoudens;2012 februari;96.5;0.4;-1.1;92.2;1.9;1.5
214;Binnenlandse consumptie huishoudens;2012 maart;101.2;-0.2;-1.1;98.1;1.1;1.3
215;Binnenlandse consumptie huishoudens;2012 1e kwartaal;99.1;-0.3;-1.1;95.1;1.1;1.4
216;Binnenlandse consumptie huishoudens;2012 april;96.8;-3.6;-1.7;93.9;-2.4;1.2
217;Binnenlandse consumptie huishoudens;2012 mei;100.2;0.2;-1.0;97.4;1.0;0.7
218;Binnenlandse consumptie huishoudens;2012 juni;100.9;0.6;-0.1;97.2;1.3;0.7
219;Binnenlandse consumptie huishoudens;2012 2e kwartaal;99.3;-0.9;-0.9;96.2;0.0;0.9
220;Binnenlandse consumptie huishoudens;2012 juli;97.2;-2.9;-1.7;93.6;-1.8;1.1
221;Binnenlandse consumptie huishoudens;2012 augustus;97.0;-0.3;-1.2;93.5;0.5;0.9
222;Binnenlandse consumptie huishoudens;2012 september;97.6;-0.9;0.0;94.0;-0.2;0.7
223;Binnenlandse consumptie huishoudens;2012 3e kwartaal;97.3;-1.4;-1.0;93.7;-0.5;0.9
224;Binnenlandse consumptie huishoudens;2012 oktober;95.5;-1.8;-2.2;94.4;-0.2;1.6
225;Binnenlandse consumptie huishoudens;2012 november;95.3;-1.7;-2.2;93.6;-0.4;1.4
226;Binnenlandse consumptie huishoudens;2012 december;100.7;-2.3;-0.6;98.8;-0.4;2.0
227;Binnenlandse consumptie huishoudens;2012 4e kwartaal;97.2;-1.9;-1.6;95.6;-0.3;1.7
228;Binnenlandse consumptie huishoudens;2013 januari;98.7;-1.1;-2.0;96.4;1.5;2.6
229;Binnenlandse consumptie huishoudens;2013 februari;93.3;-3.2;-1.8;91.4;-0.9;2.4
230;Binnenlandse consumptie huishoudens;2013 maart;99.3;-1.9;-1.2;98.8;0.7;2.7
231;Binnenlandse consumptie huishoudens;2013 1e kwartaal;97.1;-2.0;-1.6;95.5;0.5;2.6
232;Binnenlandse consumptie huishoudens;2013 april;95.9;-0.9;-1.2;95.0;1.1;2.0
233;Binnenlandse consumptie huishoudens;2013 mei;99.2;-1.0;-1.3;98.7;1.3;2.3
234;Binnenlandse consumptie huishoudens;2013 juni;97.7;-3.2;-2.1;96.4;-0.8;2.4
235;Binnenlandse consumptie huishoudens;2013 2e kwartaal;97.6;-1.7;-1.6;96.7;0.5;2.3
236;Binnenlandse consumptie huishoudens;2013 juli;97.6;0.4;-0.5;96.6;3.2;2.8
237;Binnenlandse consumptie huishoudens;2013 augustus;96.8;-0.2;-0.5;95.9;2.6;2.8
238;Binnenlandse consumptie huishoudens;2013 september;95.7;-2.0;-1.3;94.3;0.4;2.4
239;Binnenlandse consumptie huishoudens;2013 3e kwartaal;96.7;-0.6;-0.7;95.6;2.1;2.7
240;Binnenlandse consumptie huishoudens;2013 oktober;96.6;1.2;0.8;96.3;1.9;0.7
241;Binnenlandse consumptie huishoudens;2013 november;96.9;1.7;1.5;96.0;2.6;0.9
242;Binnenlandse consumptie huishoudens;2013 december;101.5;0.8;1.3;100.5;1.7;0.9
243;Binnenlandse consumptie huishoudens;2013 4e kwartaal;98.4;1.2;1.2;97.6;2.1;0.8
244;Binnenlandse consumptie huishoudens;2014 januari;99.0;0.3;-0.1;98.3;2.0;1.7
245;Binnenlandse consumptie huishoudens;2014 februari;93.5;0.1;0.1;92.9;1.7;1.6
246;Binnenlandse consumptie huishoudens;2014 maart;97.6;-1.7;-0.6;98.3;-0.5;1.2
247;Binnenlandse consumptie huishoudens;2014 1e kwartaal;96.7;-0.4;-0.2;96.5;1.0;1.5
248;Binnenlandse consumptie huishoudens;2014 april;97.2;1.3;0.4;97.3;2.4;1.1
249;Binnenlandse consumptie huishoudens;2014 mei;100.3;1.1;0.8;100.5;1.9;0.8
250;Binnenlandse consumptie huishoudens;2014 juni;97.4;-0.3;0.6;97.1;0.8;1.0
251;Binnenlandse consumptie huishoudens;2014 2e kwartaal;98.3;0.7;0.6;98.3;1.7;1.0
252;Binnenlandse consumptie huishoudens;2014 juli;98.3;0.8;0.3;98.1;1.6;0.8
253;Binnenlandse consumptie huishoudens;2014 augustus;97.1;0.3;1.2;97.1;1.2;0.9
254;Binnenlandse consumptie huishoudens;2014 september;96.1;0.4;-0.3;95.4;1.1;0.7
255;Binnenlandse consumptie huishoudens;2014 3e kwartaal;97.2;0.5;0.4;96.9;1.3;0.8
256;Binnenlandse consumptie huishoudens;2014 oktober;98.1;1.5;1.1;98.4;2.2;0.7
257;Binnenlandse consumptie huishoudens;2014 november;96.8;-0.1;1.0;96.2;0.2;0.4
258;Binnenlandse consumptie huishoudens;2014 december;103.6;2.1;1.1;102.7;2.2;0.1
259;Binnenlandse consumptie huishoudens;2014 4e kwartaal;99.5;1.2;1.1;99.1;1.5;0.4
260;Binnenlandse consumptie huishoudens;2015 januari;101.5;2.5;2.2;99.7;1.4;-1.0
261;Binnenlandse consumptie huishoudens;2015 februari;95.5;2.2;2.2;94.2;1.3;-0.8
262;Binnenlandse consumptie huishoudens;2015 maart;99.2;1.7;1.9;99.2;0.9;-0.8
263;Binnenlandse consumptie huishoudens;2015 1e kwartaal;98.7;2.1;2.1;97.7;1.2;-0.9
264;Binnenlandse consumptie huishoudens;2015 april;99.7;2.6;2.7;99.9;2.7;0.1
265;Binnenlandse consumptie huishoudens;2015 mei;100.9;0.6;1.6;101.6;1.1;0.5
266;Binnenlandse consumptie huishoudens;2015 juni;100.9;3.6;2.7;101.0;3.9;0.4
267;Binnenlandse consumptie huishoudens;2015 2e kwartaal;100.5;2.3;2.3;100.8;2.6;0.3
268;Binnenlandse consumptie huishoudens;2015 juli;101.2;2.9;2.5;102.0;4.0;1.0
269;Binnenlandse consumptie huishoudens;2015 augustus;98.0;0.9;1.5;98.6;1.6;0.7
270;Binnenlandse consumptie huishoudens;2015 september;99.4;3.5;3.0;99.5;4.4;0.9
271;Binnenlandse consumptie huishoudens;2015 3e kwartaal;99.5;2.4;2.4;100.1;3.3;0.9
