ID;Inkomensgroepen;KenmerkenVanHuishoudens;Perioden;AantalHuishoudens_1;HuishoudensInVanTotaal_2;Vermogenssom_3;Vermogensaandeel_4;GemiddeldBedrag_5;MediaanVermogen_6
29;Totaal inkomensgroepen;Met minderjarige kinderen;1998;1833;27.3;159.0;28.3;87.0;40.0
30;Totaal inkomensgroepen;Met minderjarige kinderen;1999;1847;27.2;173.0;27.3;94.0;48.0
31;Totaal inkomensgroepen;Met minderjarige kinderen;2000;1853;27.0;201.0;27.2;109.0;56.0
32;Totaal inkomensgroepen;Eén volwassene met kind;1993;198;3.1;4.0;1.0;18.0;1.0
33;Totaal inkomensgroepen;Eén volwassene met kind;1994;206;3.2;7.0;1.7;33.0;1.0
34;Totaal inkomensgroepen;Eén volwassene met kind;1995;212;3.3;4.0;0.9;17.0;0.0
35;Totaal inkomensgroepen;Eén volwassene met kind;1996;223;3.4;8.0;1.8;37.0;1.0
36;Totaal inkomensgroepen;Eén volwassene met kind;1997;228;3.4;9.0;1.7;39.0;1.0
37;Totaal inkomensgroepen;Eén volwassene met kind;1998;232;3.5;11.0;1.9;46.0;1.0
38;Totaal inkomensgroepen;Eén volwassene met kind;1999;241;3.5;6.0;0.9;24.0;1.0
39;Totaal inkomensgroepen;Eén volwassene met kind;2000;256;3.7;7.0;1.0;28.0;1.0
40;Totaal inkomensgroepen;Twee volwassenen met kind;1993;1302;20.6;72.0;20.2;55.0;28.0
41;Totaal inkomensgroepen;Twee volwassenen met kind;1994;1313;20.5;78.0;19.6;59.0;32.0
42;Totaal inkomensgroepen;Twee volwassenen met kind;1995;1321;20.5;85.0;20.5;64.0;39.0
43;Totaal inkomensgroepen;Twee volwassenen met kind;1996;1326;20.3;96.0;20.5;72.0;44.0
44;Totaal inkomensgroepen;Twee volwassenen met kind;1997;1332;20.1;107.0;20.8;80.0;48.0
45;Totaal inkomensgroepen;Twee volwassenen met kind;1998;1340;20.0;115.0;20.5;86.0;48.0
46;Totaal inkomensgroepen;Twee volwassenen met kind;1999;1348;19.9;130.0;20.6;97.0;57.0
47;Totaal inkomensgroepen;Twee volwassenen met kind;2000;1341;19.6;151.0;20.5;113.0;70.0
48;Totaal inkomensgroepen;Drie of meer volwassenen met kind;1993;289;4.6;23.0;6.3;78.0;34.0
49;Totaal inkomensgroepen;Drie of meer volwassenen met kind;1994;280;4.4;25.0;6.2;88.0;38.0
50;Totaal inkomensgroepen;Drie of meer volwassenen met kind;1995;275;4.3;25.0;6.1;92.0;45.0
51;Totaal inkomensgroepen;Drie of meer volwassenen met kind;1996;268;4.1;27.0;5.9;103.0;50.0
52;Totaal inkomensgroepen;Drie of meer volwassenen met kind;1997;265;4.0;29.0;5.7;111.0;58.0
53;Totaal inkomensgroepen;Drie of meer volwassenen met kind;1998;261;3.9;33.0;5.9;127.0;64.0
54;Totaal inkomensgroepen;Drie of meer volwassenen met kind;1999;258;3.8;37.0;5.8;143.0;74.0
55;Totaal inkomensgroepen;Drie of meer volwassenen met kind;2000;256;3.7;43.0;5.8;166.0;85.0
56;Totaal inkomensgroepen;Zonder minderjarige kinderen;1993;2483;39.3;191.0;53.3;77.0;27.0
57;Totaal inkomensgroepen;Zonder minderjarige kinderen;1994;2505;39.1;209.0;53.0;84.0;30.0
58;Totaal inkomensgroepen;Zonder minderjarige kinderen;1995;2533;39.2;220.0;53.0;87.0;34.0
59;Totaal inkomensgroepen;Zonder minderjarige kinderen;1996;2563;39.1;246.0;52.4;96.0;39.0
60;Totaal inkomensgroepen;Zonder minderjarige kinderen;1997;2590;39.1;267.0;51.9;103.0;43.0
61;Totaal inkomensgroepen;Zonder minderjarige kinderen;1998;2611;38.9;294.0;52.4;112.0;42.0
62;Totaal inkomensgroepen;Zonder minderjarige kinderen;1999;2628;38.7;337.0;53.2;128.0;52.0
63;Totaal inkomensgroepen;Zonder minderjarige kinderen;2000;2645;38.6;394.0;53.3;149.0;60.0
64;Totaal inkomensgroepen;Twee volwassenen zonder kind;1993;1891;29.9;134.0;37.4;71.0;23.0
65;Totaal inkomensgroepen;Twee volwassenen zonder kind;1994;1930;30.2;151.0;38.3;78.0;26.0
66;Totaal inkomensgroepen;Twee volwassenen zonder kind;1995;1972;30.6;161.0;38.7;81.0;29.0
67;Totaal inkomensgroepen;Twee volwassenen zonder kind;1996;2022;30.9;184.0;39.1;91.0;33.0
68;Totaal inkomensgroepen;Twee volwassenen zonder kind;1997;2072;31.3;202.0;39.3;97.0;37.0
69;Totaal inkomensgroepen;Twee volwassenen zonder kind;1998;2113;31.5;226.0;40.3;107.0;34.0
70;Totaal inkomensgroepen;Twee volwassenen zonder kind;1999;2144;31.6;258.0;40.8;120.0;43.0
71;Totaal inkomensgroepen;Twee volwassenen zonder kind;2000;2166;31.6;305.0;41.3;141.0;50.0
72;Totaal inkomensgroepen;Drie of meer volwassenen zonder kind;1993;592;9.4;57.0;15.9;96.0;42.0
73;Totaal inkomensgroepen;Drie of meer volwassenen zonder kind;1994;575;9.0;58.0;14.7;101.0;48.0
74;Totaal inkomensgroepen;Drie of meer volwassenen zonder kind;1995;561;8.7;59.0;14.3;106.0;53.0
75;Totaal inkomensgroepen;Drie of meer volwassenen zonder kind;1996;542;8.3;62.0;13.3;115.0;58.0
76;Totaal inkomensgroepen;Drie of meer volwassenen zonder kind;1997;518;7.8;65.0;12.6;125.0;67.0
77;Totaal inkomensgroepen;Drie of meer volwassenen zonder kind;1998;498;7.4;68.0;12.1;136.0;75.0
78;Totaal inkomensgroepen;Drie of meer volwassenen zonder kind;1999;483;7.1;78.0;12.4;162.0;89.0
79;Totaal inkomensgroepen;Drie of meer volwassenen zonder kind;2000;479;7.0;88.0;11.9;184.0;104.0
80;Totaal inkomensgroepen;Winst;1993;321;5.1;55.0;15.3;171.0;112.0
81;Totaal inkomensgroepen;Winst;1994;310;4.8;54.0;13.5;173.0;110.0
82;Totaal inkomensgroepen;Winst;1995;313;4.8;53.0;12.8;170.0;106.0
83;Totaal inkomensgroepen;Winst;1996;338;5.2;61.0;12.9;180.0;114.0
84;Totaal inkomensgroepen;Winst;1997;322;4.9;62.0;12.0;192.0;128.0
85;Totaal inkomensgroepen;Winst;1998;327;4.9;64.0;11.5;197.0;127.0
86;Totaal inkomensgroepen;Winst;1999;335;4.9;72.0;11.4;216.0;136.0
87;Totaal inkomensgroepen;Winst;2000;331;4.8;78.0;10.5;235.0;158.0
88;Totaal inkomensgroepen;Loon;1993;3463;54.8;147.0;41.1;42.0;18.0
89;Totaal inkomensgroepen;Loon;1994;3485;54.4;165.0;41.7;47.0;22.0
90;Totaal inkomensgroepen;Loon;1995;3468;53.7;177.0;42.7;51.0;26.0
91;Totaal inkomensgroepen;Loon;1996;3516;53.7;194.0;41.4;55.0;27.0
92;Totaal inkomensgroepen;Loon;1997;3623;54.7;213.0;41.5;59.0;30.0
93;Totaal inkomensgroepen;Loon;1998;3716;55.4;235.0;41.9;63.0;25.0
94;Totaal inkomensgroepen;Loon;1999;3843;56.7;268.0;42.3;70.0;28.0
95;Totaal inkomensgroepen;Loon;2000;3943;57.5;323.0;43.7;82.0;32.0
96;Totaal inkomensgroepen;Pensioen;1993;1494;23.6;115.0;32.0;77.0;17.0
97;Totaal inkomensgroepen;Pensioen;1994;1519;23.7;127.0;32.1;84.0;17.0
98;Totaal inkomensgroepen;Pensioen;1995;1553;24.1;133.0;32.1;86.0;18.0
99;Totaal inkomensgroepen;Pensioen;1996;1569;24.0;146.0;31.2;93.0;20.0
100;Totaal inkomensgroepen;Pensioen;1997;1591;24.0;164.0;32.0;103.0;21.0
101;Totaal inkomensgroepen;Pensioen;1998;1618;24.1;182.0;32.6;113.0;21.0
102;Totaal inkomensgroepen;Pensioen;1999;1624;23.9;204.0;32.2;126.0;24.0
103;Totaal inkomensgroepen;Pensioen;2000;1635;23.8;233.0;31.5;142.0;24.0
104;Totaal inkomensgroepen;Uitkering;1993;943;14.9;18.0;5.0;19.0;1.0
105;Totaal inkomensgroepen;Uitkering;1994;985;15.4;19.0;4.9;20.0;1.0
106;Totaal inkomensgroepen;Uitkering;1995;1017;15.8;22.0;5.2;21.0;1.0
107;Totaal inkomensgroepen;Uitkering;1996;997;15.2;22.0;4.8;23.0;1.0
108;Totaal inkomensgroepen;Uitkering;1997;941;14.2;25.0;4.9;27.0;1.0
109;Totaal inkomensgroepen;Uitkering;1998;891;13.3;25.0;4.4;28.0;1.0
110;Totaal inkomensgroepen;Uitkering;1999;838;12.4;27.0;4.3;32.0;1.0
111;Totaal inkomensgroepen;Uitkering;2000;790;11.5;27.0;3.6;34.0;1.0
112;Totaal inkomensgroepen;Overige inkomsten;1993;101;1.6;24.0;6.6;235.0;79.0
113;Totaal inkomensgroepen;Overige inkomsten;1994;104;1.6;31.0;7.8;297.0;90.0
114;Totaal inkomensgroepen;Overige inkomsten;1995;104;1.6;30.0;7.1;285.0;82.0
115;Totaal inkomensgroepen;Overige inkomsten;1996;129;2.0;46.0;9.8;356.0;112.0
116;Totaal inkomensgroepen;Overige inkomsten;1997;140;2.1;49.0;9.6;350.0;101.0
117;Totaal inkomensgroepen;Overige inkomsten;1998;151;2.2;54.0;9.6;356.0;112.0
118;Totaal inkomensgroepen;Overige inkomsten;1999;142;2.1;62.0;9.8;436.0;142.0
119;Totaal inkomensgroepen;Overige inkomsten;2000;157;2.3;79.0;10.6;500.0;166.0
120;Totaal inkomensgroepen;Leeftijd jonger dan 25 jaar;1993;482;7.6;8.0;2.3;17.0;1.0
121;Totaal inkomensgroepen;Leeftijd jonger dan 25 jaar;1994;470;7.3;8.0;2.0;17.0;1.0
122;Totaal inkomensgroepen;Leeftijd jonger dan 25 jaar;1995;436;6.8;7.0;1.6;16.0;1.0
123;Totaal inkomensgroepen;Leeftijd jonger dan 25 jaar;1996;404;6.2;7.0;1.6;18.0;1.0
124;Totaal inkomensgroepen;Leeftijd jonger dan 25 jaar;1997;391;5.9;7.0;1.4;19.0;1.0
125;Totaal inkomensgroepen;Leeftijd jonger dan 25 jaar;1998;377;5.6;6.0;1.1;16.0;1.0
126;Totaal inkomensgroepen;Leeftijd jonger dan 25 jaar;1999;385;5.7;7.0;1.1;19.0;1.0
127;Totaal inkomensgroepen;Leeftijd jonger dan 25 jaar;2000;398;5.8;8.0;1.0;19.0;1.0
128;Totaal inkomensgroepen;Leeftijd 25 - 34 jaar;1993;1437;22.7;40.0;11.2;28.0;6.0
129;Totaal inkomensgroepen;Leeftijd 25 - 34 jaar;1994;1449;22.6;44.0;11.2;31.0;7.0
130;Totaal inkomensgroepen;Leeftijd 25 - 34 jaar;1995;1452;22.5;48.0;11.5;33.0;8.0
131;Totaal inkomensgroepen;Leeftijd 25 - 34 jaar;1996;1468;22.4;51.0;10.8;34.0;9.0
132;Totaal inkomensgroepen;Leeftijd 25 - 34 jaar;1997;1457;22.0;53.0;10.3;36.0;10.0
133;Totaal inkomensgroepen;Leeftijd 25 - 34 jaar;1998;1460;21.8;48.0;8.7;33.0;7.0
134;Totaal inkomensgroepen;Leeftijd 25 - 34 jaar;1999;1448;21.3;50.0;7.9;34.0;6.0
135;Totaal inkomensgroepen;Leeftijd 25 - 34 jaar;2000;1433;20.9;53.0;7.2;37.0;6.0
136;Totaal inkomensgroepen;Leeftijd 35 - 44 jaar;1993;1323;20.9;67.0;18.6;50.0;23.0
137;Totaal inkomensgroepen;Leeftijd 35 - 44 jaar;1994;1323;20.7;75.0;18.9;57.0;26.0
138;Totaal inkomensgroepen;Leeftijd 35 - 44 jaar;1995;1338;20.7;76.0;18.4;57.0;31.0
139;Totaal inkomensgroepen;Leeftijd 35 - 44 jaar;1996;1366;20.9;86.0;18.3;63.0;34.0
140;Totaal inkomensgroepen;Leeftijd 35 - 44 jaar;1997;1390;21.0;93.0;18.1;67.0;37.0
141;Totaal inkomensgroepen;Leeftijd 35 - 44 jaar;1998;1410;21.0;98.0;17.5;70.0;34.0
142;Totaal inkomensgroepen;Leeftijd 35 - 44 jaar;1999;1434;21.1;113.0;17.9;79.0;41.0
143;Totaal inkomensgroepen;Leeftijd 35 - 44 jaar;2000;1452;21.2;138.0;18.7;95.0;48.0
144;Totaal inkomensgroepen;Leeftijd 45 - 54 jaar;1993;1065;16.9;77.0;21.6;73.0;32.0
145;Totaal inkomensgroepen;Leeftijd 45 - 54 jaar;1994;1103;17.2;85.0;21.5;77.0;36.0
146;Totaal inkomensgroepen;Leeftijd 45 - 54 jaar;1995;1142;17.7;96.0;23.0;84.0;42.0
147;Totaal inkomensgroepen;Leeftijd 45 - 54 jaar;1996;1181;18.0;112.0;23.9;95.0;45.0
148;Totaal inkomensgroepen;Leeftijd 45 - 54 jaar;1997;1212;18.3;125.0;24.3;103.0;50.0
149;Totaal inkomensgroepen;Leeftijd 45 - 54 jaar;1998;1251;18.7;141.0;25.1;113.0;55.0
150;Totaal inkomensgroepen;Leeftijd 45 - 54 jaar;1999;1268;18.7;157.0;24.8;124.0;66.0
151;Totaal inkomensgroepen;Leeftijd 45 - 54 jaar;2000;1288;18.8;182.0;24.7;142.0;76.0
152;Totaal inkomensgroepen;Leeftijd 55 - 64 jaar;1993;787;12.5;65.0;18.1;82.0;28.0
153;Totaal inkomensgroepen;Leeftijd 55 - 64 jaar;1994;804;12.6;71.0;18.1;89.0;31.0
154;Totaal inkomensgroepen;Leeftijd 55 - 64 jaar;1995;816;12.6;74.0;17.9;91.0;33.0
155;Totaal inkomensgroepen;Leeftijd 55 - 64 jaar;1996;826;12.6;85.0;18.2;103.0;40.0
156;Totaal inkomensgroepen;Leeftijd 55 - 64 jaar;1997;841;12.7;94.0;18.3;112.0;46.0
157;Totaal inkomensgroepen;Leeftijd 55 - 64 jaar;1998;852;12.7;107.0;19.1;126.0;51.0
158;Totaal inkomensgroepen;Leeftijd 55 - 64 jaar;1999;869;12.8;126.0;19.8;144.0;65.0
159;Totaal inkomensgroepen;Leeftijd 55 - 64 jaar;2000;890;13.0;152.0;20.6;171.0;84.0
160;Totaal inkomensgroepen;Leeftijd 65 jaar of ouder;1993;1226;19.4;101.0;28.1;82.0;15.0
161;Totaal inkomensgroepen;Leeftijd 65 jaar of ouder;1994;1252;19.6;112.0;28.3;89.0;16.0
162;Totaal inkomensgroepen;Leeftijd 65 jaar of ouder;1995;1270;19.7;114.0;27.5;90.0;16.0
163;Totaal inkomensgroepen;Leeftijd 65 jaar of ouder;1996;1303;19.9;129.0;27.4;99.0;18.0
164;Totaal inkomensgroepen;Leeftijd 65 jaar of ouder;1997;1327;20.0;142.0;27.6;107.0;19.0
165;Totaal inkomensgroepen;Leeftijd 65 jaar of ouder;1998;1354;20.2;160.0;28.5;118.0;19.0
166;Totaal inkomensgroepen;Leeftijd 65 jaar of ouder;1999;1378;20.3;180.0;28.5;131.0;21.0
167;Totaal inkomensgroepen;Leeftijd 65 jaar of ouder;2000;1395;20.4;206.0;27.9;148.0;22.0
168;Totaal inkomensgroepen;Leeftijd 65 - 74 jaar;1993;694;11.0;60.0;16.7;86.0;19.0
169;Totaal inkomensgroepen;Leeftijd 65 - 74 jaar;1994;710;11.1;66.0;16.6;93.0;20.0
170;Totaal inkomensgroepen;Leeftijd 65 - 74 jaar;1995;718;11.1;66.0;16.0;92.0;19.0
171;Totaal inkomensgroepen;Leeftijd 65 - 74 jaar;1996;731;11.2;74.0;15.8;101.0;23.0
172;Totaal inkomensgroepen;Leeftijd 65 - 74 jaar;1997;737;11.1;80.0;15.5;108.0;25.0
173;Totaal inkomensgroepen;Leeftijd 65 - 74 jaar;1998;746;11.1;91.0;16.2;121.0;25.0
174;Totaal inkomensgroepen;Leeftijd 65 - 74 jaar;1999;749;11.0;101.0;15.9;135.0;30.0
175;Totaal inkomensgroepen;Leeftijd 65 - 74 jaar;2000;754;11.0;114.0;15.4;151.0;31.0
176;Totaal inkomensgroepen;Leeftijd 75 jaar of ouder;1993;532;8.4;41.0;11.4;76.0;11.0
177;Totaal inkomensgroepen;Leeftijd 75 jaar of ouder;1994;542;8.5;46.0;11.7;85.0;13.0
178;Totaal inkomensgroepen;Leeftijd 75 jaar of ouder;1995;552;8.6;48.0;11.5;87.0;13.0
179;Totaal inkomensgroepen;Leeftijd 75 jaar of ouder;1996;572;8.7;54.0;11.6;95.0;14.0
180;Totaal inkomensgroepen;Leeftijd 75 jaar of ouder;1997;589;8.9;62.0;12.0;105.0;15.0
181;Totaal inkomensgroepen;Leeftijd 75 jaar of ouder;1998;608;9.1;69.0;12.3;114.0;14.0
182;Totaal inkomensgroepen;Leeftijd 75 jaar of ouder;1999;629;9.3;79.0;12.5;126.0;15.0
183;Totaal inkomensgroepen;Leeftijd 75 jaar of ouder;2000;641;9.4;92.0;12.5;144.0;16.0
184;Totaal inkomensgroepen;Vermogen negatief;1993;737;11.7;-7.0;-2.1;-10.0;-4.0
185;Totaal inkomensgroepen;Vermogen negatief;1994;800;12.5;-9.0;-2.2;-11.0;-4.0
186;Totaal inkomensgroepen;Vermogen negatief;1995;755;11.7;-8.0;-1.9;-11.0;-3.0
187;Totaal inkomensgroepen;Vermogen negatief;1996;796;12.2;-11.0;-2.3;-13.0;-4.0
188;Totaal inkomensgroepen;Vermogen negatief;1997;779;11.8;-11.0;-2.1;-14.0;-4.0
189;Totaal inkomensgroepen;Vermogen negatief;1998;870;13.0;-15.0;-2.7;-18.0;-5.0
190;Totaal inkomensgroepen;Vermogen negatief;1999;930;13.7;-18.0;-2.8;-19.0;-5.0
191;Totaal inkomensgroepen;Vermogen negatief;2000;934;13.6;-20.0;-2.7;-21.0;-6.0
192;Totaal inkomensgroepen;Vermogen 0 tot 5 duizend euro;1993;1683;26.6;3.0;0.7;2.0;1.0
193;Totaal inkomensgroepen;Vermogen 0 tot 5 duizend euro;1994;1560;24.4;3.0;0.7;2.0;1.0
194;Totaal inkomensgroepen;Vermogen 0 tot 5 duizend euro;1995;1584;24.5;3.0;0.6;2.0;1.0
195;Totaal inkomensgroepen;Vermogen 0 tot 5 duizend euro;1996;1494;22.8;2.0;0.5;2.0;1.0
196;Totaal inkomensgroepen;Vermogen 0 tot 5 duizend euro;1997;1449;21.9;2.0;0.5;2.0;1.0
197;Totaal inkomensgroepen;Vermogen 0 tot 5 duizend euro;1998;1497;22.3;2.0;0.4;2.0;1.0
198;Totaal inkomensgroepen;Vermogen 0 tot 5 duizend euro;1999;1378;20.3;3.0;0.4;2.0;1.0
199;Totaal inkomensgroepen;Vermogen 0 tot 5 duizend euro;2000;1384;20.2;2.0;0.3;2.0;1.0
200;Totaal inkomensgroepen;Vermogen 5 tot 10 duizend euro;1993;489;7.7;4.0;1.0;7.0;7.0
201;Totaal inkomensgroepen;Vermogen 5 tot 10 duizend euro;1994;475;7.4;3.0;0.9;7.0;7.0
202;Totaal inkomensgroepen;Vermogen 5 tot 10 duizend euro;1995;460;7.1;3.0;0.8;7.0;7.0
203;Totaal inkomensgroepen;Vermogen 5 tot 10 duizend euro;1996;456;7.0;3.0;0.7;7.0;7.0
204;Totaal inkomensgroepen;Vermogen 5 tot 10 duizend euro;1997;468;7.1;3.0;0.7;7.0;7.0
205;Totaal inkomensgroepen;Vermogen 5 tot 10 duizend euro;1998;483;7.2;4.0;0.6;7.0;7.0
206;Totaal inkomensgroepen;Vermogen 5 tot 10 duizend euro;1999;476;7.0;3.0;0.5;7.0;7.0
207;Totaal inkomensgroepen;Vermogen 5 tot 10 duizend euro;2000;471;6.9;3.0;0.5;7.0;7.0
208;Totaal inkomensgroepen;Vermogen 10 tot 20 duizend euro;1993;538;8.5;8.0;2.2;15.0;15.0
209;Totaal inkomensgroepen;Vermogen 10 tot 20 duizend euro;1994;567;8.9;8.0;2.1;15.0;14.0
210;Totaal inkomensgroepen;Vermogen 10 tot 20 duizend euro;1995;525;8.1;8.0;1.9;15.0;14.0
211;Totaal inkomensgroepen;Vermogen 10 tot 20 duizend euro;1996;513;7.8;7.0;1.6;15.0;14.0
212;Totaal inkomensgroepen;Vermogen 10 tot 20 duizend euro;1997;510;7.7;7.0;1.4;14.0;14.0
213;Totaal inkomensgroepen;Vermogen 10 tot 20 duizend euro;1998;520;7.8;8.0;1.3;14.0;14.0
214;Totaal inkomensgroepen;Vermogen 10 tot 20 duizend euro;1999;508;7.5;7.0;1.2;15.0;14.0
215;Totaal inkomensgroepen;Vermogen 10 tot 20 duizend euro;2000;481;7.0;7.0;0.9;14.0;14.0
216;Totaal inkomensgroepen;Vermogen 20 tot 50 duizend euro;1993;1041;16.5;35.0;9.7;33.0;33.0
217;Totaal inkomensgroepen;Vermogen 20 tot 50 duizend euro;1994;995;15.5;34.0;8.5;34.0;33.0
218;Totaal inkomensgroepen;Vermogen 20 tot 50 duizend euro;1995;938;14.5;32.0;7.7;34.0;34.0
219;Totaal inkomensgroepen;Vermogen 20 tot 50 duizend euro;1996;945;14.4;32.0;6.8;34.0;34.0
220;Totaal inkomensgroepen;Vermogen 20 tot 50 duizend euro;1997;908;13.7;31.0;6.0;34.0;33.0
221;Totaal inkomensgroepen;Vermogen 20 tot 50 duizend euro;1998;793;11.8;27.0;4.8;34.0;33.0
222;Totaal inkomensgroepen;Vermogen 20 tot 50 duizend euro;1999;753;11.1;25.0;4.0;33.0;33.0
223;Totaal inkomensgroepen;Vermogen 20 tot 50 duizend euro;2000;667;9.7;22.0;3.0;33.0;32.0
224;Totaal inkomensgroepen;Vermogen 50 tot 100 duizend euro;1993;903;14.3;65.0;18.2;72.0;71.0
225;Totaal inkomensgroepen;Vermogen 50 tot 100 duizend euro;1994;960;15.0;69.0;17.6;72.0;71.0
226;Totaal inkomensgroepen;Vermogen 50 tot 100 duizend euro;1995;1042;16.1;76.0;18.2;72.0;71.0
227;Totaal inkomensgroepen;Vermogen 50 tot 100 duizend euro;1996;1064;16.2;77.0;16.5;73.0;72.0
228;Totaal inkomensgroepen;Vermogen 50 tot 100 duizend euro;1997;1054;15.9;77.0;15.1;73.0;72.0
229;Totaal inkomensgroepen;Vermogen 50 tot 100 duizend euro;1998;930;13.9;69.0;12.2;74.0;73.0
230;Totaal inkomensgroepen;Vermogen 50 tot 100 duizend euro;1999;882;13.0;65.0;10.3;74.0;74.0
231;Totaal inkomensgroepen;Vermogen 50 tot 100 duizend euro;2000;792;11.6;59.0;8.0;75.0;74.0
232;Totaal inkomensgroepen;Vermogen 100 tot 200 duizend euro;1993;567;9.0;78.0;21.8;137.0;131.0
233;Totaal inkomensgroepen;Vermogen 100 tot 200 duizend euro;1994;641;10.0;88.0;22.4;138.0;133.0
234;Totaal inkomensgroepen;Vermogen 100 tot 200 duizend euro;1995;716;11.1;98.0;23.7;137.0;131.0
235;Totaal inkomensgroepen;Vermogen 100 tot 200 duizend euro;1996;794;12.1;110.0;23.4;138.0;133.0
236;Totaal inkomensgroepen;Vermogen 100 tot 200 duizend euro;1997;889;13.4;123.0;24.0;139.0;134.0
237;Totaal inkomensgroepen;Vermogen 100 tot 200 duizend euro;1998;962;14.4;135.0;24.1;140.0;136.0
238;Totaal inkomensgroepen;Vermogen 100 tot 200 duizend euro;1999;1052;15.5;149.0;23.5;142.0;138.0
239;Totaal inkomensgroepen;Vermogen 100 tot 200 duizend euro;2000;1108;16.2;160.0;21.6;144.0;141.0
240;Totaal inkomensgroepen;Vermogen 200 tot 500 duizend euro;1993;282;4.5;85.0;23.6;300.0;280.0
241;Totaal inkomensgroepen;Vermogen 200 tot 500 duizend euro;1994;311;4.9;93.0;23.5;298.0;278.0
242;Totaal inkomensgroepen;Vermogen 200 tot 500 duizend euro;1995;338;5.2;100.0;24.2;297.0;276.0
243;Totaal inkomensgroepen;Vermogen 200 tot 500 duizend euro;1996;371;5.7;111.0;23.5;298.0;276.0
244;Totaal inkomensgroepen;Vermogen 200 tot 500 duizend euro;1997;429;6.5;127.0;24.7;296.0;272.0
245;Totaal inkomensgroepen;Vermogen 200 tot 500 duizend euro;1998;498;7.4;147.0;26.2;294.0;272.0
246;Totaal inkomensgroepen;Vermogen 200 tot 500 duizend euro;1999;622;9.2;183.0;28.8;294.0;272.0
247;Totaal inkomensgroepen;Vermogen 200 tot 500 duizend euro;2000;794;11.6;234.0;31.7;295.0;275.0
248;Totaal inkomensgroepen;Vermogen 500 duizend tot 1 miljoen euro;1993;57;0.9;38.0;10.6;661.0;638.0
249;Totaal inkomensgroepen;Vermogen 500 duizend tot 1 miljoen euro;1994;65;1.0;43.0;11.0;672.0;635.0
250;Totaal inkomensgroepen;Vermogen 500 duizend tot 1 miljoen euro;1995;69;1.1;46.0;11.1;673.0;637.0
251;Totaal inkomensgroepen;Vermogen 500 duizend tot 1 miljoen euro;1996;79;1.2;54.0;11.4;677.0;644.0
