ID;SectorBranchesSIC2008;Periods;LabourPriceIndex_1;YearOnYearChangePriceOfLabour_2;WageCostsPerHourWorked2010100_3;YearOnYearChangeWageCostsPerHour_4;StructuralEffect_5
78;A Agriculture, forestry and fishing;2017;107.5;1.2;111.8;1.2;0.0
79;A Agriculture, forestry and fishing;2006 January - 2006 December;92.3;0.5;89.3;1.4;0.9
80;A Agriculture, forestry and fishing;2006 April - 2007 March;92.8;;89.9;;
81;A Agriculture, forestry and fishing;2006 July - 2007 June;93.1;;90.3;;
82;A Agriculture, forestry and fishing;2006 October - 2007 September;94.3;;91.6;;
83;A Agriculture, forestry and fishing;2007 January - 2007 December;95.4;3.4;92.8;4.0;0.6
84;A Agriculture, forestry and fishing;2007 April - 2008 March;95.9;3.3;93.4;3.9;0.6
85;A Agriculture, forestry and fishing;2007 July - 2008 June;96.7;3.9;94.4;4.5;0.6
86;A Agriculture, forestry and fishing;2007 October - 2008 September;98.6;4.5;96.5;5.4;0.8
87;A Agriculture, forestry and fishing;2008 January - 2008 December;98.6;3.3;96.6;4.1;0.7
88;A Agriculture, forestry and fishing;2008 April - 2009 March;99.0;3.2;97.1;4.0;0.7
89;A Agriculture, forestry and fishing;2008 July - 2009 June;99.2;2.5;97.3;3.1;0.6
90;A Agriculture, forestry and fishing;2008 October - 2009 September;99.3;0.6;97.4;0.9;0.3
91;A Agriculture, forestry and fishing;2009 January - 2009 December;98.2;-0.5;96.3;-0.4;0.1
92;A Agriculture, forestry and fishing;2009 April - 2010 March;100.6;1.6;99.2;2.1;0.6
93;A Agriculture, forestry and fishing;2009 July - 2010 June;100.8;1.6;99.9;2.7;1.1
94;A Agriculture, forestry and fishing;2009 October - 2010 September;99.0;-0.2;98.6;1.3;1.5
95;A Agriculture, forestry and fishing;2010 January - 2010 December;100.0;1.9;100.0;3.9;2.0
96;A Agriculture, forestry and fishing;2010 April - 2011 March;100.2;-0.4;100.3;1.1;1.5
97;A Agriculture, forestry and fishing;2010 July - 2011 June;100.3;-0.5;100.5;0.6;1.1
98;A Agriculture, forestry and fishing;2010 October - 2011 September;100.9;1.9;101.4;2.8;0.8
99;A Agriculture, forestry and fishing;2011 January - 2011 December;102.2;2.2;102.8;2.8;0.6
100;A Agriculture, forestry and fishing;2011 April - 2012 March;102.5;2.3;103.2;2.9;0.5
101;A Agriculture, forestry and fishing;2011 July - 2012 June;103.3;3.1;104.2;3.7;0.6
102;A Agriculture, forestry and fishing;2011 October - 2012 September;104.5;3.5;105.4;4.0;0.5
103;A Agriculture, forestry and fishing;2012 January - 2012 December;105.5;3.3;106.7;3.8;0.6
104;A Agriculture, forestry and fishing;2012 April - 2013 March;106.5;3.9;107.9;4.6;0.7
105;A Agriculture, forestry and fishing;2012 July - 2013 June;106.3;2.8;107.9;3.6;0.7
106;A Agriculture, forestry and fishing;2012 October - 2013 September;106.3;1.8;108.2;2.6;0.8
107;A Agriculture, forestry and fishing;2013 January - 2013 December;105.4;-0.1;107.5;0.8;0.9
108;A Agriculture, forestry and fishing;2013 April - 2014 March;105.2;-1.2;107.6;-0.3;1.0
109;A Agriculture, forestry and fishing;2013 July - 2014 June;105.2;-1.0;107.7;-0.2;0.8
110;A Agriculture, forestry and fishing;2013 October - 2014 September;104.7;-1.5;107.6;-0.5;1.0
111;A Agriculture, forestry and fishing;2014 January - 2014 December;105.5;0.1;108.7;1.1;1.0
112;A Agriculture, forestry and fishing;2014 April - 2015 March ;105.7;0.5;109.1;1.4;0.9
113;A Agriculture, forestry and fishing;2014 July - 2015 June;106.5;1.3;110.1;2.3;1.0
114;A Agriculture, forestry and fishing;2014 October - 2015 September;107.3;2.5;111.0;3.2;0.7
115;A Agriculture, forestry and fishing;2015 January - 2015 December;106.8;1.2;110.5;1.7;0.4
116;A Agriculture, forestry and fishing;2015 April - 2016 March;107.1;1.3;111.0;1.7;0.4
117;A Agriculture, forestry and fishing;2015 July - 2016 June;106.2;-0.3;110.2;0.0;0.3
118;A Agriculture, forestry and fishing;2015 October - 2016 September;106.0;-1.2;110.1;-0.9;0.4
119;A Agriculture, forestry and fishing;2016 January - 2016 December;106.3;-0.5;110.5;0.0;0.5
120;A Agriculture, forestry and fishing;2016 April - 2017 March;105.5;-1.5;109.8;-1.1;0.5
121;A Agriculture, forestry and fishing;2016 July - 2017 June;106.2;-0.1;110.5;0.3;0.4
122;A Agriculture, forestry and fishing;2016 October - 2017 September;106.7;0.7;111.0;0.9;0.2
123;A Agriculture, forestry and fishing;2017 January - 2017 December;107.5;1.2;111.8;1.2;0.0
124;B-F Industry and energy;2001;82.7;;76.7;;
125;B-F Industry and energy;2002;86.0;4.0;80.6;5.0;1.0
126;B-F Industry and energy;2003;88.5;2.9;83.7;3.8;0.9
127;B-F Industry and energy;2004;89.9;1.6;85.8;2.5;0.9
128;B-F Industry and energy;2005;90.9;1.2;87.7;2.3;1.1
129;B-F Industry and energy;2006;93.0;2.2;90.2;2.8;0.6
130;B-F Industry and energy;2007;95.4;2.6;93.1;3.2;0.5
131;B-F Industry and energy;2008;99.8;4.6;97.6;4.9;0.3
132;B-F Industry and energy;2009;103.1;3.3;101.7;4.2;0.8
133;B-F Industry and energy;2010;100.0;-3.0;100.0;-1.6;1.4
134;B-F Industry and energy;2011;101.7;1.7;102.2;2.2;0.5
135;B-F Industry and energy;2012;104.7;3.0;106.1;3.8;0.8
136;B-F Industry and energy;2013;104.9;0.2;107.6;1.4;1.2
137;B-F Industry and energy;2014;106.5;1.5;110.0;2.3;0.7
138;B-F Industry and energy;2015;106.1;-0.3;110.2;0.2;0.5
139;B-F Industry and energy;2016;107.2;1.1;111.9;1.5;0.4
140;B-F Industry and energy;2017;109.0;1.6;114.1;2.0;0.4
141;B-F Industry and energy;2006 January - 2006 December;93.0;2.2;90.2;2.8;0.6
142;B-F Industry and energy;2006 April - 2007 March;93.9;;91.2;;
143;B-F Industry and energy;2006 July - 2007 June;94.5;;92.0;;
144;B-F Industry and energy;2006 October - 2007 September;94.9;;92.5;;
145;B-F Industry and energy;2007 January - 2007 December;95.4;2.6;93.1;3.2;0.5
146;B-F Industry and energy;2007 April - 2008 March;97.0;3.3;94.7;3.8;0.5
147;B-F Industry and energy;2007 July - 2008 June;98.4;4.1;96.2;4.5;0.4
148;B-F Industry and energy;2007 October - 2008 September;99.0;4.4;96.8;4.7;0.3
149;B-F Industry and energy;2008 January - 2008 December;99.8;4.6;97.6;4.9;0.3
150;B-F Industry and energy;2008 April - 2009 March;100.7;3.8;98.6;4.1;0.3
151;B-F Industry and energy;2008 July - 2009 June;102.0;3.6;100.1;4.1;0.5
152;B-F Industry and energy;2008 October - 2009 September;102.7;3.7;101.0;4.3;0.6
153;B-F Industry and energy;2009 January - 2009 December;103.1;3.3;101.7;4.2;0.8
154;B-F Industry and energy;2009 April - 2010 March;103.1;2.4;102.0;3.5;1.1
155;B-F Industry and energy;2009 July - 2010 June;102.5;0.5;101.9;1.7;1.2
156;B-F Industry and energy;2009 October - 2010 September;100.9;-1.7;100.6;-0.5;1.3
157;B-F Industry and energy;2010 January - 2010 December;100.0;-3.0;100.0;-1.6;1.4
158;B-F Industry and energy;2010 April - 2011 March;100.1;-2.9;100.2;-1.8;1.2
159;B-F Industry and energy;2010 July - 2011 June;100.0;-2.4;100.3;-1.5;0.9
160;B-F Industry and energy;2010 October - 2011 September;100.3;-0.6;100.7;0.2;0.7
161;B-F Industry and energy;2011 January - 2011 December;101.7;1.7;102.2;2.2;0.5
162;B-F Industry and energy;2011 April - 2012 March;101.8;1.8;102.5;2.3;0.5
163;B-F Industry and energy;2011 July - 2012 June;102.4;2.5;103.3;3.1;0.6
164;B-F Industry and energy;2011 October - 2012 September;103.5;3.2;104.7;3.9;0.7
165;B-F Industry and energy;2012 January - 2012 December;104.7;3.0;106.1;3.8;0.8
166;B-F Industry and energy;2012 April - 2013 March;106.1;4.2;107.8;5.2;1.0
167;B-F Industry and energy;2012 July - 2013 June;105.8;3.3;107.9;4.4;1.1
168;B-F Industry and energy;2012 October - 2013 September;105.4;1.8;107.8;3.0;1.1
169;B-F Industry and energy;2013 January - 2013 December;104.9;0.2;107.6;1.4;1.2
170;B-F Industry and energy;2013 April - 2014 March;104.7;-1.3;107.6;-0.2;1.1
171;B-F Industry and energy;2013 July - 2014 June;105.2;-0.6;108.3;0.4;1.0
172;B-F Industry and energy;2013 October - 2014 September;105.4;-0.1;108.7;0.8;0.9
173;B-F Industry and energy;2014 January - 2014 December;106.5;1.5;110.0;2.3;0.7
174;B-F Industry and energy;2014 April - 2015 March ;106.5;1.7;110.2;2.4;0.7
175;B-F Industry and energy;2014 July - 2015 June;106.8;1.5;110.7;2.1;0.6
176;B-F Industry and energy;2014 October - 2015 September;107.0;1.5;111.0;2.1;0.6
177;B-F Industry and energy;2015 January - 2015 December;106.1;-0.3;110.2;0.2;0.5
178;B-F Industry and energy;2015 April - 2016 March;106.9;0.4;111.2;0.9;0.5
179;B-F Industry and energy;2015 July - 2016 June;106.7;-0.1;111.0;0.3;0.5
180;B-F Industry and energy;2015 October - 2016 September;106.7;-0.3;111.2;0.2;0.5
181;B-F Industry and energy;2016 January - 2016 December;107.2;1.1;111.9;1.5;0.4
182;B-F Industry and energy;2016 April - 2017 March;106.5;-0.4;111.2;0.0;0.5
183;B-F Industry and energy;2016 July - 2017 June;107.2;0.5;112.1;0.9;0.4
184;B-F Industry and energy;2016 October - 2017 September;107.9;1.1;112.8;1.5;0.4
185;B-F Industry and energy;2017 January - 2017 December;109.0;1.6;114.1;2.0;0.4
186;B-E Industry (no construction), energy;2001;82.9;;76.9;;
187;B-E Industry (no construction), energy;2002;86.2;4.0;80.9;5.1;1.1
188;B-E Industry (no construction), energy;2003;88.5;2.7;83.8;3.6;0.9
189;B-E Industry (no construction), energy;2004;89.7;1.4;85.7;2.3;0.9
190;B-E Industry (no construction), energy;2005;90.9;1.2;87.8;2.4;1.1
191;B-E Industry (no construction), energy;2006;92.8;2.1;90.1;2.7;0.6
192;B-E Industry (no construction), energy;2007;95.5;2.9;93.3;3.5;0.6
193;B-E Industry (no construction), energy;2008;100.3;5.0;98.2;5.3;0.3
194;B-E Industry (no construction), energy;2009;104.9;4.6;103.5;5.4;0.8
195;B-E Industry (no construction), energy;2010;100.0;-4.6;100.0;-3.4;1.3
196;B-E Industry (no construction), energy;2011;102.7;2.7;103.1;3.1;0.4
197;B-E Industry (no construction), energy;2012;105.6;2.8;106.8;3.6;0.7
198;B-E Industry (no construction), energy;2013;106.4;0.7;108.8;1.8;1.1
199;B-E Industry (no construction), energy;2014;109.0;2.5;112.1;3.1;0.6
200;B-E Industry (no construction), energy;2015;108.5;-0.5;112.2;0.1;0.5
201;B-E Industry (no construction), energy;2016;109.0;0.5;113.3;1.0;0.5
202;B-E Industry (no construction), energy;2017;111.1;1.9;116.1;2.4;0.5
203;B-E Industry (no construction), energy;2006 January - 2006 December;92.8;2.1;90.1;2.7;0.6
204;B-E Industry (no construction), energy;2006 April - 2007 March;93.7;;91.1;;
205;B-E Industry (no construction), energy;2006 July - 2007 June;94.3;;91.9;;
206;B-E Industry (no construction), energy;2006 October - 2007 September;94.7;;92.4;;
207;B-E Industry (no construction), energy;2007 January - 2007 December;95.5;2.9;93.3;3.5;0.6
208;B-E Industry (no construction), energy;2007 April - 2008 March;97.3;3.8;95.1;4.4;0.5
209;B-E Industry (no construction), energy;2007 July - 2008 June;98.7;4.6;96.6;5.1;0.4
210;B-E Industry (no construction), energy;2007 October - 2008 September;99.4;4.9;97.3;5.3;0.4
211;B-E Industry (no construction), energy;2008 January - 2008 December;100.3;5.0;98.2;5.3;0.3
212;B-E Industry (no construction), energy;2008 April - 2009 March;101.5;4.3;99.5;4.6;0.3
213;B-E Industry (no construction), energy;2008 July - 2009 June;102.8;4.2;101.0;4.6;0.4
214;B-E Industry (no construction), energy;2008 October - 2009 September;103.8;4.5;102.3;5.1;0.6
215;B-E Industry (no construction), energy;2009 January - 2009 December;104.9;4.6;103.5;5.4;0.8
216;B-E Industry (no construction), energy;2009 April - 2010 March;104.1;2.6;103.1;3.6;1.0
217;B-E Industry (no construction), energy;2009 July - 2010 June;103.2;0.4;102.6;1.5;1.2
218;B-E Industry (no construction), energy;2009 October - 2010 September;101.4;-2.4;101.1;-1.2;1.2
219;B-E Industry (no construction), energy;2010 January - 2010 December;100.0;-4.6;100.0;-3.4;1.3
220;B-E Industry (no construction), energy;2010 April - 2011 March;100.5;-3.5;100.6;-2.4;1.1
221;B-E Industry (no construction), energy;2010 July - 2011 June;100.5;-2.6;100.8;-1.7;0.9
222;B-E Industry (no construction), energy;2010 October - 2011 September;101.1;-0.3;101.4;0.4;0.7
223;B-E Industry (no construction), energy;2011 January - 2011 December;102.7;2.7;103.1;3.1;0.4
224;B-E Industry (no construction), energy;2011 April - 2012 March;102.7;2.2;103.3;2.7;0.4
225;B-E Industry (no construction), energy;2011 July - 2012 June;103.3;2.7;104.0;3.2;0.5
226;B-E Industry (no construction), energy;2011 October - 2012 September;104.5;3.4;105.5;4.0;0.6
227;B-E Industry (no construction), energy;2012 January - 2012 December;105.6;2.8;106.8;3.6;0.7
228;B-E Industry (no construction), energy;2012 April - 2013 March;107.0;4.2;108.6;5.1;0.9
229;B-E Industry (no construction), energy;2012 July - 2013 June;107.0;3.7;108.9;4.7;1.0
230;B-E Industry (no construction), energy;2012 October - 2013 September;106.7;2.1;108.9;3.2;1.1
231;B-E Industry (no construction), energy;2013 January - 2013 December;106.4;0.7;108.8;1.8;1.1
232;B-E Industry (no construction), energy;2013 April - 2014 March;106.6;-0.4;109.2;0.6;1.0
233;B-E Industry (no construction), energy;2013 July - 2014 June;107.3;0.2;110.1;1.1;0.9
234;B-E Industry (no construction), energy;2013 October - 2014 September;107.7;0.9;110.7;1.7;0.8
235;B-E Industry (no construction), energy;2014 January - 2014 December;109.0;2.5;112.1;3.1;0.6
236;B-E Industry (no construction), energy;2014 April - 2015 March ;109.0;2.3;112.3;2.8;0.5
237;B-E Industry (no construction), energy;2014 July - 2015 June;109.3;1.9;112.8;2.4;0.5
238;B-E Industry (no construction), energy;2014 October - 2015 September;109.4;1.6;113.0;2.1;0.5
239;B-E Industry (no construction), energy;2015 January - 2015 December;108.5;-0.5;112.2;0.1;0.5
240;B-E Industry (no construction), energy;2015 April - 2016 March;109.1;0.1;113.0;0.6;0.5
241;B-E Industry (no construction), energy;2015 July - 2016 June;108.7;-0.6;112.7;-0.1;0.5
242;B-E Industry (no construction), energy;2015 October - 2016 September;108.7;-0.7;112.8;-0.2;0.5
243;B-E Industry (no construction), energy;2016 January - 2016 December;109.0;0.5;113.3;1.0;0.5
244;B-E Industry (no construction), energy;2016 April - 2017 March;108.3;-0.7;112.7;-0.2;0.5
245;B-E Industry (no construction), energy;2016 July - 2017 June;109.2;0.4;113.8;0.9;0.5
246;B-E Industry (no construction), energy;2016 October - 2017 September;109.9;1.1;114.7;1.6;0.5
247;B-E Industry (no construction), energy;2017 January - 2017 December;111.1;1.9;116.1;2.4;0.5
248;C Manufacturing;2001;83.1;;77.0;;
249;C Manufacturing;2002;86.4;4.0;80.9;5.0;1.0
250;C Manufacturing;2003;88.6;2.6;83.8;3.6;1.0
251;C Manufacturing;2004;89.8;1.3;85.6;2.3;0.9
252;C Manufacturing;2005;91.2;1.5;88.0;2.8;1.2
253;C Manufacturing;2006;93.0;2.0;90.4;2.7;0.7
254;C Manufacturing;2007;95.7;2.9;93.5;3.4;0.5
255;C Manufacturing;2008;100.7;5.2;98.6;5.4;0.2
256;C Manufacturing;2009;105.5;4.8;104.2;5.6;0.8
257;C Manufacturing;2010;100.0;-5.3;100.0;-4.0;1.3
258;C Manufacturing;2011;102.5;2.5;103.0;3.0;0.4
259;C Manufacturing;2012;105.4;2.8;106.6;3.5;0.7
260;C Manufacturing;2013;106.2;0.8;108.5;1.8;1.1
261;C Manufacturing;2014;109.1;2.7;112.0;3.2;0.5
262;C Manufacturing;2015;108.7;-0.4;112.1;0.1;0.5
263;C Manufacturing;2016;109.3;0.5;113.4;1.1;0.6
264;C Manufacturing;2017;111.8;2.3;116.8;3.0;0.7
265;C Manufacturing;2006 January - 2006 December;93.0;2.0;90.4;2.7;0.7
266;C Manufacturing;2006 April - 2007 March;94.0;;91.4;;
267;C Manufacturing;2006 July - 2007 June;94.6;;92.3;;
268;C Manufacturing;2006 October - 2007 September;95.0;;92.7;;
269;C Manufacturing;2007 January - 2007 December;95.7;2.9;93.5;3.4;0.5
270;C Manufacturing;2007 April - 2008 March;97.6;3.9;95.5;4.4;0.5
271;C Manufacturing;2007 July - 2008 June;99.2;4.8;97.1;5.3;0.4
272;C Manufacturing;2007 October - 2008 September;100.0;5.2;97.9;5.6;0.3
273;C Manufacturing;2008 January - 2008 December;100.7;5.2;98.6;5.4;0.2
274;C Manufacturing;2008 April - 2009 March;101.9;4.4;99.9;4.6;0.3
275;C Manufacturing;2008 July - 2009 June;103.3;4.1;101.5;4.5;0.4
276;C Manufacturing;2008 October - 2009 September;104.4;4.4;102.8;5.0;0.6
277;C Manufacturing;2009 January - 2009 December;105.5;4.8;104.2;5.6;0.8
278;C Manufacturing;2009 April - 2010 March;104.6;2.6;103.6;3.7;1.0
279;C Manufacturing;2009 July - 2010 June;103.5;0.2;102.9;1.4;1.2
280;C Manufacturing;2009 October - 2010 September;101.6;-2.7;101.2;-1.5;1.2
281;C Manufacturing;2010 January - 2010 December;100.0;-5.3;100.0;-4.0;1.3
282;C Manufacturing;2010 April - 2011 March;100.4;-4.0;100.6;-2.9;1.1
283;C Manufacturing;2010 July - 2011 June;100.5;-2.9;100.7;-2.1;0.8
284;C Manufacturing;2010 October - 2011 September;101.0;-0.6;101.3;0.1;0.7
285;C Manufacturing;2011 January - 2011 December;102.5;2.5;103.0;3.0;0.4
286;C Manufacturing;2011 April - 2012 March;102.5;2.1;103.1;2.5;0.4
287;C Manufacturing;2011 July - 2012 June;103.0;2.5;103.8;3.0;0.4
288;C Manufacturing;2011 October - 2012 September;104.3;3.3;105.2;3.8;0.5
289;C Manufacturing;2012 January - 2012 December;105.4;2.8;106.6;3.5;0.7
290;C Manufacturing;2012 April - 2013 March;106.9;4.3;108.4;5.2;0.9
291;C Manufacturing;2012 July - 2013 June;106.9;3.8;108.7;4.8;1.0
292;C Manufacturing;2012 October - 2013 September;106.6;2.2;108.6;3.3;1.0
293;C Manufacturing;2013 January - 2013 December;106.2;0.8;108.5;1.8;1.1
294;C Manufacturing;2013 April - 2014 March;106.5;-0.4;109.0;0.6;0.9
295;C Manufacturing;2013 July - 2014 June;107.3;0.3;109.9;1.1;0.8
296;C Manufacturing;2013 October - 2014 September;107.7;1.1;110.5;1.7;0.7
297;C Manufacturing;2014 January - 2014 December;109.1;2.7;112.0;3.2;0.5
298;C Manufacturing;2014 April - 2015 March ;109.2;2.5;112.2;2.9;0.4
299;C Manufacturing;2014 July - 2015 June;109.5;2.1;112.7;2.6;0.5
300;C Manufacturing;2014 October - 2015 September;109.6;1.8;113.0;2.2;0.4
301;C Manufacturing;2015 January - 2015 December;108.7;-0.4;112.1;0.1;0.5
302;C Manufacturing;2015 April - 2016 March;109.4;0.2;112.9;0.7;0.5
303;C Manufacturing;2015 July - 2016 June;108.9;-0.6;112.7;-0.1;0.5
304;C Manufacturing;2015 October - 2016 September;108.9;-0.7;112.8;-0.1;0.5
305;C Manufacturing;2016 January - 2016 December;109.3;0.5;113.4;1.1;0.6
306;C Manufacturing;2016 April - 2017 March;108.7;-0.6;112.9;0.0;0.7
307;C Manufacturing;2016 July - 2017 June;109.8;0.8;114.3;1.5;0.7
308;C Manufacturing;2016 October - 2017 September;110.5;1.5;115.3;2.2;0.7
309;C Manufacturing;2017 January - 2017 December;111.8;2.3;116.8;3.0;0.7
310;24-30, 33 Metalectro-industry;2001;82.5;;75.8;;
311;24-30, 33 Metalectro-industry;2002;85.3;3.4;79.2;4.5;1.0
312;24-30, 33 Metalectro-industry;2003;87.2;2.2;81.8;3.2;1.0
313;24-30, 33 Metalectro-industry;2004;88.7;1.8;84.1;2.8;1.1
314;24-30, 33 Metalectro-industry;2005;89.6;1.0;86.0;2.2;1.2
315;24-30, 33 Metalectro-industry;2006;91.9;2.5;88.7;3.2;0.7
316;24-30, 33 Metalectro-industry;2007;94.8;3.2;92.0;3.6;0.4
317;24-30, 33 Metalectro-industry;2008;99.6;5.0;96.5;5.0;0.0
318;24-30, 33 Metalectro-industry;2009;101.4;1.8;99.7;3.3;1.4
319;24-30, 33 Metalectro-industry;2010;100.0;-1.4;100.0;0.3;1.7
320;24-30, 33 Metalectro-industry;2011;102.8;2.8;103.2;3.2;0.4
321;24-30, 33 Metalectro-industry;2012;106.0;3.1;107.4;4.0;0.9
322;24-30, 33 Metalectro-industry;2013;106.6;0.6;109.0;1.5;0.9
323;24-30, 33 Metalectro-industry;2014;111.5;4.5;114.4;5.0;0.4
324;24-30, 33 Metalectro-industry;2015;110.8;-0.6;114.1;-0.2;0.3
325;24-30, 33 Metalectro-industry;2016;111.5;0.7;115.2;1.0;0.3
326;24-30, 33 Metalectro-industry;2017;114.8;3.0;119.0;3.3;0.3
327;24-30, 33 Metalectro-industry;2006 January - 2006 December;91.9;2.5;88.7;3.2;0.7
328;24-30, 33 Metalectro-industry;2006 April - 2007 March;92.8;;89.7;;
329;24-30, 33 Metalectro-industry;2006 July - 2007 June;93.8;;90.8;;
