ID;KenmerkenHuishoudens;CaribischNederland;Perioden;Huishoudens_1;PersonenMetInkomenPerHuishouden_2;BesteedbaarInkomenGemiddeld_3;BesteedbaarInkomenMediaan_4;GestandaardiseerdInkomenGemiddeld_5;GestandaardiseerdInkomenMediaan_6
67;Type: Eenpersoonshuishouden;Bonaire;2018;2850.0;1.0;19.1;15.1;19.1;15.1
68;Type: Eenpersoonshuishouden;Bonaire;2019;3100.0;1.0;19.7;15.4;19.7;15.4
69;Type: Eenpersoonshuishouden;Bonaire;2020;3350.0;1.0;20.3;15.7;20.3;15.7
70;Type: Eenpersoonshuishouden;Bonaire;2021;3450.0;1.0;20.3;15.6;20.3;15.6
71;Type: Eenpersoonshuishouden;Bonaire;2022;3750.0;1.0;21.1;16.2;21.1;16.2
72;Type: Eenpersoonshuishouden;Sint Eustatius;2011;300.0;1.0;21.2;15.5;21.2;15.5
73;Type: Eenpersoonshuishouden;Sint Eustatius;2012;350.0;1.0;22.8;17.6;22.8;17.6
74;Type: Eenpersoonshuishouden;Sint Eustatius;2013;350.0;1.0;22.4;17.2;22.4;17.2
75;Type: Eenpersoonshuishouden;Sint Eustatius;2014;350.0;1.0;22.8;17.7;22.8;17.7
76;Type: Eenpersoonshuishouden;Sint Eustatius;2015;400.0;1.0;24.0;18.1;24.0;18.1
77;Type: Eenpersoonshuishouden;Sint Eustatius;2016;450.0;1.0;24.4;18.8;24.4;18.8
78;Type: Eenpersoonshuishouden;Sint Eustatius;2017;550.0;1.0;26.9;20.6;26.9;20.6
79;Type: Eenpersoonshuishouden;Sint Eustatius;2018;550.0;1.0;26.2;18.9;26.2;18.9
80;Type: Eenpersoonshuishouden;Sint Eustatius;2019;550.0;1.0;26.1;18.8;26.1;18.8
81;Type: Eenpersoonshuishouden;Sint Eustatius;2020;500.0;1.0;24.8;18.6;24.8;18.6
82;Type: Eenpersoonshuishouden;Sint Eustatius;2021;550.0;1.0;25.2;18.2;25.2;18.2
83;Type: Eenpersoonshuishouden;Sint Eustatius;2022;600.0;1.0;26.4;19.4;26.4;19.4
84;Type: Eenpersoonshuishouden;Saba;2011;200.0;1.0;17.9;12.4;17.9;12.4
85;Type: Eenpersoonshuishouden;Saba;2012;200.0;1.0;19.9;15.7;19.9;15.7
86;Type: Eenpersoonshuishouden;Saba;2013;250.0;1.0;20.1;16.1;20.1;16.1
87;Type: Eenpersoonshuishouden;Saba;2014;250.0;1.0;19.8;16.1;19.8;16.1
88;Type: Eenpersoonshuishouden;Saba;2015;250.0;1.0;20.5;15.9;20.5;15.9
89;Type: Eenpersoonshuishouden;Saba;2016;250.0;1.0;21.6;16.9;21.6;16.9
90;Type: Eenpersoonshuishouden;Saba;2017;250.0;1.0;22.4;17.5;22.4;17.5
91;Type: Eenpersoonshuishouden;Saba;2018;300.0;1.0;22.4;18.0;22.4;18.0
92;Type: Eenpersoonshuishouden;Saba;2019;350.0;1.0;22.8;18.1;22.8;18.1
93;Type: Eenpersoonshuishouden;Saba;2020;350.0;1.0;25.0;19.3;25.0;19.3
94;Type: Eenpersoonshuishouden;Saba;2021;350.0;1.0;26.7;20.3;26.7;20.3
95;Type: Eenpersoonshuishouden;Saba;2022;350.0;1.0;27.0;21.3;27.0;21.3
96;Type: Meerpersoonshuishouden;Caribisch Nederland;2011;5000.0;2.0;35.4;29.0;20.0;16.5
97;Type: Meerpersoonshuishouden;Caribisch Nederland;2012;5100.0;2.0;37.0;30.4;20.8;17.3
98;Type: Meerpersoonshuishouden;Caribisch Nederland;2013;5450.0;2.0;37.3;30.8;21.2;17.6
99;Type: Meerpersoonshuishouden;Caribisch Nederland;2014;5650.0;2.0;38.5;31.6;22.0;18.2
100;Type: Meerpersoonshuishouden;Caribisch Nederland;2015;5850.0;2.0;39.7;32.1;22.7;18.6
101;Type: Meerpersoonshuishouden;Caribisch Nederland;2016;6050.0;2.0;40.0;32.5;23.0;19.0
102;Type: Meerpersoonshuishouden;Caribisch Nederland;2017;6250.0;2.0;41.3;33.5;24.0;19.8
103;Type: Meerpersoonshuishouden;Caribisch Nederland;2018;6450.0;2.0;42.1;34.4;24.5;20.0
104;Type: Meerpersoonshuishouden;Caribisch Nederland;2019;6600.0;2.0;44.0;36.0;25.8;21.1
105;Type: Meerpersoonshuishouden;Caribisch Nederland;2020;6750.0;2.0;44.4;36.5;25.9;21.4
106;Type: Meerpersoonshuishouden;Caribisch Nederland;2021;7000.0;2.0;44.9;36.7;26.2;21.6
107;Type: Meerpersoonshuishouden;Caribisch Nederland;2022;7300.0;2.0;46.0;37.8;26.9;22.3
108;Type: Meerpersoonshuishouden;Bonaire;2011;3950.0;2.1;35.3;29.2;20.0;16.6
109;Type: Meerpersoonshuishouden;Bonaire;2012;4100.0;2.1;36.6;30.2;20.7;17.1
110;Type: Meerpersoonshuishouden;Bonaire;2013;4350.0;2.1;37.0;30.7;21.0;17.5
111;Type: Meerpersoonshuishouden;Bonaire;2014;4500.0;2.0;38.2;31.1;21.8;18.0
112;Type: Meerpersoonshuishouden;Bonaire;2015;4650.0;2.1;39.2;31.8;22.3;18.4
113;Type: Meerpersoonshuishouden;Bonaire;2016;4850.0;2.1;40.1;32.5;23.0;19.1
114;Type: Meerpersoonshuishouden;Bonaire;2017;5050.0;2.1;41.2;33.4;23.9;19.6
115;Type: Meerpersoonshuishouden;Bonaire;2018;5250.0;2.1;41.6;34.0;24.2;19.9
116;Type: Meerpersoonshuishouden;Bonaire;2019;5400.0;2.1;43.3;35.6;25.3;20.6
117;Type: Meerpersoonshuishouden;Bonaire;2020;5550.0;2.1;43.7;35.9;25.4;21.0
118;Type: Meerpersoonshuishouden;Bonaire;2021;5750.0;2.1;44.6;36.2;26.0;21.4
119;Type: Meerpersoonshuishouden;Bonaire;2022;6050.0;2.0;45.6;37.3;26.6;21.9
120;Type: Meerpersoonshuishouden;Sint Eustatius;2011;650.0;1.8;37.0;28.8;20.2;15.9
121;Type: Meerpersoonshuishouden;Sint Eustatius;2012;650.0;1.8;39.8;31.8;21.4;17.7
122;Type: Meerpersoonshuishouden;Sint Eustatius;2013;700.0;1.8;40.1;32.3;22.2;18.3
123;Type: Meerpersoonshuishouden;Sint Eustatius;2014;750.0;1.8;41.3;32.7;23.0;18.8
124;Type: Meerpersoonshuishouden;Sint Eustatius;2015;700.0;1.8;44.2;35.0;25.4;20.2
125;Type: Meerpersoonshuishouden;Sint Eustatius;2016;750.0;1.7;41.0;32.2;23.6;18.9
126;Type: Meerpersoonshuishouden;Sint Eustatius;2017;750.0;1.8;44.1;35.3;25.3;20.7
127;Type: Meerpersoonshuishouden;Sint Eustatius;2018;750.0;1.9;45.5;35.9;26.5;21.1
128;Type: Meerpersoonshuishouden;Sint Eustatius;2019;800.0;1.9;48.2;38.7;28.2;22.7
129;Type: Meerpersoonshuishouden;Sint Eustatius;2020;800.0;1.9;49.1;39.8;28.7;23.3
130;Type: Meerpersoonshuishouden;Sint Eustatius;2021;800.0;1.9;46.9;39.3;27.2;22.5
131;Type: Meerpersoonshuishouden;Sint Eustatius;2022;800.0;1.9;47.7;38.7;27.7;23.1
132;Type: Meerpersoonshuishouden;Saba;2011;350.0;1.9;34.0;28.4;20.2;16.4
133;Type: Meerpersoonshuishouden;Saba;2012;400.0;1.8;36.6;30.7;21.7;18.2
134;Type: Meerpersoonshuishouden;Saba;2013;400.0;1.8;35.8;30.1;21.5;17.9
135;Type: Meerpersoonshuishouden;Saba;2014;400.0;1.8;37.4;32.1;22.3;19.3
136;Type: Meerpersoonshuishouden;Saba;2015;450.0;1.9;37.8;30.8;22.6;18.7
137;Type: Meerpersoonshuishouden;Saba;2016;450.0;1.9;37.6;31.9;22.5;18.8
138;Type: Meerpersoonshuishouden;Saba;2017;450.0;1.9;38.5;32.6;23.0;19.8
139;Type: Meerpersoonshuishouden;Saba;2018;450.0;1.9;41.9;35.7;24.9;21.2
140;Type: Meerpersoonshuishouden;Saba;2019;400.0;1.9;45.4;39.9;27.0;23.1
141;Type: Meerpersoonshuishouden;Saba;2020;400.0;1.9;46.0;40.4;27.0;23.2
142;Type: Meerpersoonshuishouden;Saba;2021;450.0;1.9;45.2;41.2;26.8;23.6
143;Type: Meerpersoonshuishouden;Saba;2022;450.0;2.0;48.3;43.7;28.7;25.4
144;Type: Eenoudergezin;Caribisch Nederland;2011;800.0;1.5;22.7;19.3;14.4;12.4
145;Type: Eenoudergezin;Caribisch Nederland;2012;800.0;1.5;22.6;19.5;14.5;12.3
146;Type: Eenoudergezin;Caribisch Nederland;2013;850.0;1.5;23.1;19.7;14.7;12.7
147;Type: Eenoudergezin;Caribisch Nederland;2014;850.0;1.5;24.5;21.1;15.6;13.4
148;Type: Eenoudergezin;Caribisch Nederland;2015;950.0;1.5;25.8;21.8;16.6;13.9
149;Type: Eenoudergezin;Caribisch Nederland;2016;1050.0;1.5;25.2;21.5;16.1;13.4
150;Type: Eenoudergezin;Caribisch Nederland;2017;1150.0;1.5;26.8;22.3;17.1;13.9
151;Type: Eenoudergezin;Caribisch Nederland;2018;1250.0;1.5;26.9;23.2;17.1;14.5
152;Type: Eenoudergezin;Caribisch Nederland;2019;1300.0;1.5;28.2;24.0;18.1;15.3
153;Type: Eenoudergezin;Caribisch Nederland;2020;1350.0;1.5;29.8;25.0;19.1;15.7
154;Type: Eenoudergezin;Caribisch Nederland;2021;1450.0;1.5;29.4;25.0;18.8;16.0
155;Type: Eenoudergezin;Caribisch Nederland;2022;1600.0;1.5;30.7;25.7;19.6;16.6
156;Type: Eenoudergezin;Bonaire;2011;650.0;1.5;22.4;19.4;14.3;12.4
157;Type: Eenoudergezin;Bonaire;2012;650.0;1.5;21.8;19.2;13.9;12.1
158;Type: Eenoudergezin;Bonaire;2013;650.0;1.5;22.3;19.7;14.2;12.7
159;Type: Eenoudergezin;Bonaire;2014;700.0;1.5;23.4;20.3;14.9;13.0
160;Type: Eenoudergezin;Bonaire;2015;700.0;1.5;24.9;21.3;16.1;13.6
161;Type: Eenoudergezin;Bonaire;2016;800.0;1.5;24.6;21.2;15.7;13.2
162;Type: Eenoudergezin;Bonaire;2017;850.0;1.5;26.6;21.9;17.1;13.7
163;Type: Eenoudergezin;Bonaire;2018;900.0;1.6;26.5;23.0;16.8;14.5
164;Type: Eenoudergezin;Bonaire;2019;950.0;1.5;27.3;23.8;17.5;15.1
165;Type: Eenoudergezin;Bonaire;2020;1000.0;1.5;29.3;24.5;18.8;15.5
166;Type: Eenoudergezin;Bonaire;2021;1100.0;1.5;28.8;24.7;18.4;15.8
167;Type: Eenoudergezin;Bonaire;2022;1250.0;1.5;30.3;25.2;19.4;16.3
168;Type: Eenoudergezin;Sint Eustatius;2011;100.0;1.4;24.0;19.3;15.2;12.7
169;Type: Eenoudergezin;Sint Eustatius;2012;100.0;1.3;24.9;20.9;15.8;12.7
170;Type: Eenoudergezin;Sint Eustatius;2013;150.0;1.4;26.2;18.3;16.2;11.8
171;Type: Eenoudergezin;Sint Eustatius;2014;100.0;1.4;28.6;24.4;17.7;15.2
172;Type: Eenoudergezin;Sint Eustatius;2015;150.0;1.4;28.9;23.3;18.3;14.5
173;Type: Eenoudergezin;Sint Eustatius;2016;200.0;1.3;25.5;21.4;16.4;12.5
174;Type: Eenoudergezin;Sint Eustatius;2017;250.0;1.3;26.7;23.0;16.9;14.1
175;Type: Eenoudergezin;Sint Eustatius;2018;250.0;1.4;27.4;23.4;17.5;14.3
176;Type: Eenoudergezin;Sint Eustatius;2019;250.0;1.4;30.2;23.5;19.6;14.8
177;Type: Eenoudergezin;Sint Eustatius;2020;250.0;1.4;31.2;25.2;20.1;15.3
178;Type: Eenoudergezin;Sint Eustatius;2021;250.0;1.4;31.3;26.9;19.9;16.6
179;Type: Eenoudergezin;Sint Eustatius;2022;250.0;1.4;31.8;27.0;20.1;17.4
180;Type: Eenoudergezin;Saba;2011;50.0;;;;;
181;Type: Eenoudergezin;Saba;2012;50.0;;;;;
182;Type: Eenoudergezin;Saba;2013;50.0;;;;;
183;Type: Eenoudergezin;Saba;2014;50.0;;;;;
184;Type: Eenoudergezin;Saba;2015;50.0;;;;;
185;Type: Eenoudergezin;Saba;2016;50.0;;;;;
186;Type: Eenoudergezin;Saba;2017;100.0;;;;;
187;Type: Eenoudergezin;Saba;2018;100.0;;;;;
188;Type: Eenoudergezin;Saba;2019;100.0;;;;;
189;Type: Eenoudergezin;Saba;2020;100.0;;;;;
190;Type: Eenoudergezin;Saba;2021;100.0;;;;;
191;Type: Eenoudergezin;Saba;2022;100.0;1.7;32.5;29.4;20.8;17.8
192;Type: Eenouder, alle kinderen < 18 jr;Caribisch Nederland;2011;400.0;1.1;18.9;16.0;12.0;10.2
193;Type: Eenouder, alle kinderen < 18 jr;Caribisch Nederland;2012;400.0;1.1;19.0;17.1;12.1;10.7
194;Type: Eenouder, alle kinderen < 18 jr;Caribisch Nederland;2013;400.0;1.1;18.3;17.1;11.7;10.4
195;Type: Eenouder, alle kinderen < 18 jr;Caribisch Nederland;2014;450.0;1.0;19.4;16.5;12.3;10.5
196;Type: Eenouder, alle kinderen < 18 jr;Caribisch Nederland;2015;450.0;1.1;20.0;18.8;12.7;11.8
197;Type: Eenouder, alle kinderen < 18 jr;Caribisch Nederland;2016;550.0;1.1;19.1;17.7;12.1;11.0
198;Type: Eenouder, alle kinderen < 18 jr;Caribisch Nederland;2017;550.0;1.1;20.4;18.1;13.0;11.7
199;Type: Eenouder, alle kinderen < 18 jr;Caribisch Nederland;2018;600.0;1.1;20.9;18.7;13.2;12.2
200;Type: Eenouder, alle kinderen < 18 jr;Caribisch Nederland;2019;650.0;1.1;22.1;19.3;14.1;12.4
201;Type: Eenouder, alle kinderen < 18 jr;Caribisch Nederland;2020;650.0;1.1;23.8;21.6;15.2;13.8
202;Type: Eenouder, alle kinderen < 18 jr;Caribisch Nederland;2021;750.0;1.1;24.4;21.3;15.7;13.6
203;Type: Eenouder, alle kinderen < 18 jr;Caribisch Nederland;2022;800.0;1.1;25.1;22.4;16.0;13.9
204;Type: Eenouder, alle kinderen < 18 jr;Bonaire;2011;300.0;1.1;19.0;15.9;11.9;10.2
205;Type: Eenouder, alle kinderen < 18 jr;Bonaire;2012;300.0;1.1;18.4;16.6;11.7;10.0
206;Type: Eenouder, alle kinderen < 18 jr;Bonaire;2013;300.0;1.1;18.0;17.1;11.5;10.4
207;Type: Eenouder, alle kinderen < 18 jr;Bonaire;2014;350.0;1.1;18.9;15.6;12.0;10.1
208;Type: Eenouder, alle kinderen < 18 jr;Bonaire;2015;350.0;1.1;19.7;18.5;12.6;11.8
209;Type: Eenouder, alle kinderen < 18 jr;Bonaire;2016;400.0;1.1;18.7;17.3;11.8;10.7
210;Type: Eenouder, alle kinderen < 18 jr;Bonaire;2017;400.0;1.1;20.5;17.9;13.0;11.6
211;Type: Eenouder, alle kinderen < 18 jr;Bonaire;2018;400.0;1.1;20.9;18.4;13.1;12.2
212;Type: Eenouder, alle kinderen < 18 jr;Bonaire;2019;500.0;1.1;22.1;19.3;14.1;12.5
213;Type: Eenouder, alle kinderen < 18 jr;Bonaire;2020;500.0;1.1;24.1;22.4;15.4;14.0
214;Type: Eenouder, alle kinderen < 18 jr;Bonaire;2021;550.0;1.1;24.7;21.0;15.8;13.5
215;Type: Eenouder, alle kinderen < 18 jr;Bonaire;2022;650.0;1.1;25.1;22.1;16.1;13.8
216;Type: Eenouder, alle kinderen < 18 jr;Sint Eustatius;2011;50.0;;;;;
217;Type: Eenouder, alle kinderen < 18 jr;Sint Eustatius;2012;50.0;;;;;
218;Type: Eenouder, alle kinderen < 18 jr;Sint Eustatius;2013;50.0;;;;;
219;Type: Eenouder, alle kinderen < 18 jr;Sint Eustatius;2014;50.0;;;;;
220;Type: Eenouder, alle kinderen < 18 jr;Sint Eustatius;2015;100.0;;;;;
221;Type: Eenouder, alle kinderen < 18 jr;Sint Eustatius;2016;100.0;1.0;17.9;16.5;11.5;10.7
222;Type: Eenouder, alle kinderen < 18 jr;Sint Eustatius;2017;150.0;1.0;19.9;18.5;12.7;12.0
223;Type: Eenouder, alle kinderen < 18 jr;Sint Eustatius;2018;150.0;1.1;20.6;19.2;13.0;11.9
224;Type: Eenouder, alle kinderen < 18 jr;Sint Eustatius;2019;150.0;1.1;20.9;18.8;13.3;11.4
225;Type: Eenouder, alle kinderen < 18 jr;Sint Eustatius;2020;100.0;1.0;22.5;20.7;14.1;12.6
226;Type: Eenouder, alle kinderen < 18 jr;Sint Eustatius;2021;150.0;1.0;24.1;22.1;15.4;14.1
227;Type: Eenouder, alle kinderen < 18 jr;Sint Eustatius;2022;150.0;1.0;25.3;22.9;16.0;14.9
228;Type: Eenouder, alle kinderen < 18 jr;Saba;2011;50.0;;;;;
229;Type: Eenouder, alle kinderen < 18 jr;Saba;2012;50.0;;;;;
230;Type: Eenouder, alle kinderen < 18 jr;Saba;2013;50.0;;;;;
231;Type: Eenouder, alle kinderen < 18 jr;Saba;2014;50.0;;;;;
232;Type: Eenouder, alle kinderen < 18 jr;Saba;2015;50.0;;;;;
233;Type: Eenouder, alle kinderen < 18 jr;Saba;2016;50.0;;;;;
234;Type: Eenouder, alle kinderen < 18 jr;Saba;2017;50.0;;;;;
235;Type: Eenouder, alle kinderen < 18 jr;Saba;2018;50.0;;;;;
236;Type: Eenouder, alle kinderen < 18 jr;Saba;2019;50.0;;;;;
237;Type: Eenouder, alle kinderen < 18 jr;Saba;2020;50.0;;;;;
238;Type: Eenouder, alle kinderen < 18 jr;Saba;2021;50.0;;;;;
239;Type: Eenouder, alle kinderen < 18 jr;Saba;2022;50.0;;;;;
240;Type: Eenouder, minst. één kind >= 18 jr;Caribisch Nederland;2011;400.0;1.9;26.5;23.4;16.8;14.9
241;Type: Eenouder, minst. één kind >= 18 jr;Caribisch Nederland;2012;400.0;1.9;26.6;22.4;17.0;15.1
242;Type: Eenouder, minst. één kind >= 18 jr;Caribisch Nederland;2013;400.0;1.9;28.0;23.2;17.7;15.2
243;Type: Eenouder, minst. één kind >= 18 jr;Caribisch Nederland;2014;450.0;1.9;29.4;25.8;18.7;16.8
244;Type: Eenouder, minst. één kind >= 18 jr;Caribisch Nederland;2015;500.0;1.9;31.1;25.4;20.0;16.5
245;Type: Eenouder, minst. één kind >= 18 jr;Caribisch Nederland;2016;500.0;1.9;31.7;26.9;20.4;16.9
246;Type: Eenouder, minst. één kind >= 18 jr;Caribisch Nederland;2017;600.0;1.9;33.1;27.6;21.2;17.4
247;Type: Eenouder, minst. één kind >= 18 jr;Caribisch Nederland;2018;600.0;2.0;32.6;28.0;20.8;17.7
248;Type: Eenouder, minst. één kind >= 18 jr;Caribisch Nederland;2019;650.0;1.9;34.3;29.2;22.1;18.6
249;Type: Eenouder, minst. één kind >= 18 jr;Caribisch Nederland;2020;700.0;1.9;35.5;28.7;22.9;18.8
250;Type: Eenouder, minst. één kind >= 18 jr;Caribisch Nederland;2021;700.0;1.9;34.5;29.2;22.0;18.8
251;Type: Eenouder, minst. één kind >= 18 jr;Caribisch Nederland;2022;800.0;1.9;36.5;31.1;23.4;20.3
252;Type: Eenouder, minst. één kind >= 18 jr;Bonaire;2011;300.0;1.9;25.8;23.4;16.6;15.0
253;Type: Eenouder, minst. één kind >= 18 jr;Bonaire;2012;300.0;1.9;25.4;21.9;16.3;14.8
254;Type: Eenouder, minst. één kind >= 18 jr;Bonaire;2013;300.0;1.9;26.6;23.1;16.9;15.2
255;Type: Eenouder, minst. één kind >= 18 jr;Bonaire;2014;350.0;1.9;27.9;25.2;17.8;16.2
256;Type: Eenouder, minst. één kind >= 18 jr;Bonaire;2015;400.0;1.9;29.4;24.6;19.1;15.6
257;Type: Eenouder, minst. één kind >= 18 jr;Bonaire;2016;400.0;1.9;30.6;26.6;19.7;16.3
258;Type: Eenouder, minst. één kind >= 18 jr;Bonaire;2017;450.0;2.0;32.3;26.6;20.8;16.7
259;Type: Eenouder, minst. één kind >= 18 jr;Bonaire;2018;500.0;2.0;31.4;26.6;19.9;17.1
260;Type: Eenouder, minst. één kind >= 18 jr;Bonaire;2019;500.0;2.0;32.4;28.2;20.9;17.9
261;Type: Eenouder, minst. één kind >= 18 jr;Bonaire;2020;500.0;2.0;34.1;27.9;22.0;17.9
262;Type: Eenouder, minst. één kind >= 18 jr;Bonaire;2021;550.0;1.9;33.0;27.8;21.1;18.0
263;Type: Eenouder, minst. één kind >= 18 jr;Bonaire;2022;600.0;1.9;35.6;29.7;22.9;19.4
264;Type: Eenouder, minst. één kind >= 18 jr;Sint Eustatius;2011;50.0;;;;;
265;Type: Eenouder, minst. één kind >= 18 jr;Sint Eustatius;2012;50.0;;;;;
266;Type: Eenouder, minst. één kind >= 18 jr;Sint Eustatius;2013;50.0;;;;;
267;Type: Eenouder, minst. één kind >= 18 jr;Sint Eustatius;2014;50.0;;;;;
