ID;Sex;Age;MaritalStatus;CaribbeanNetherlands;Periods;Death_1
30;Total male and female;Total;Total marital status;St Eustatius;2015;11.0
31;Total male and female;Total;Total marital status;St Eustatius;2016;13.0
32;Total male and female;Total;Total marital status;St Eustatius;2017;22.0
33;Total male and female;Total;Total marital status;St Eustatius;2018;18.0
34;Total male and female;Total;Total marital status;St Eustatius;2019;15.0
35;Total male and female;Total;Total marital status;St Eustatius;2020;16.0
36;Total male and female;Total;Total marital status;St Eustatius;2021;18.0
37;Total male and female;Total;Total marital status;St Eustatius;2022;25.0
38;Total male and female;Total;Total marital status;St Eustatius;2023;17.0
39;Total male and female;Total;Total marital status;Saba;2011;17.0
40;Total male and female;Total;Total marital status;Saba;2012;13.0
41;Total male and female;Total;Total marital status;Saba;2013;12.0
42;Total male and female;Total;Total marital status;Saba;2014;16.0
43;Total male and female;Total;Total marital status;Saba;2015;9.0
44;Total male and female;Total;Total marital status;Saba;2016;10.0
45;Total male and female;Total;Total marital status;Saba;2017;13.0
46;Total male and female;Total;Total marital status;Saba;2018;11.0
47;Total male and female;Total;Total marital status;Saba;2019;13.0
48;Total male and female;Total;Total marital status;Saba;2020;16.0
49;Total male and female;Total;Total marital status;Saba;2021;20.0
50;Total male and female;Total;Total marital status;Saba;2022;15.0
51;Total male and female;Total;Total marital status;Saba;2023;13.0
52;Total male and female;Total;Never married;Caribbean Netherlands;2011;41.0
53;Total male and female;Total;Never married;Caribbean Netherlands;2012;22.0
54;Total male and female;Total;Never married;Caribbean Netherlands;2013;31.0
55;Total male and female;Total;Never married;Caribbean Netherlands;2014;37.0
56;Total male and female;Total;Never married;Caribbean Netherlands;2015;24.0
57;Total male and female;Total;Never married;Caribbean Netherlands;2016;24.0
58;Total male and female;Total;Never married;Caribbean Netherlands;2017;26.0
59;Total male and female;Total;Never married;Caribbean Netherlands;2018;27.0
60;Total male and female;Total;Never married;Caribbean Netherlands;2019;34.0
61;Total male and female;Total;Never married;Caribbean Netherlands;2020;42.0
62;Total male and female;Total;Never married;Caribbean Netherlands;2021;38.0
63;Total male and female;Total;Never married;Caribbean Netherlands;2022;46.0
64;Total male and female;Total;Never married;Caribbean Netherlands;2023;44.0
65;Total male and female;Total;Never married;Bonaire;2011;28.0
66;Total male and female;Total;Never married;Bonaire;2012;13.0
67;Total male and female;Total;Never married;Bonaire;2013;19.0
68;Total male and female;Total;Never married;Bonaire;2014;25.0
69;Total male and female;Total;Never married;Bonaire;2015;15.0
70;Total male and female;Total;Never married;Bonaire;2016;18.0
71;Total male and female;Total;Never married;Bonaire;2017;18.0
72;Total male and female;Total;Never married;Bonaire;2018;17.0
73;Total male and female;Total;Never married;Bonaire;2019;26.0
74;Total male and female;Total;Never married;Bonaire;2020;34.0
75;Total male and female;Total;Never married;Bonaire;2021;27.0
76;Total male and female;Total;Never married;Bonaire;2022;34.0
77;Total male and female;Total;Never married;Bonaire;2023;32.0
78;Total male and female;Total;Never married;St Eustatius;2011;4.0
79;Total male and female;Total;Never married;St Eustatius;2012;3.0
80;Total male and female;Total;Never married;St Eustatius;2013;7.0
81;Total male and female;Total;Never married;St Eustatius;2014;5.0
82;Total male and female;Total;Never married;St Eustatius;2015;6.0
83;Total male and female;Total;Never married;St Eustatius;2016;3.0
84;Total male and female;Total;Never married;St Eustatius;2017;5.0
85;Total male and female;Total;Never married;St Eustatius;2018;5.0
86;Total male and female;Total;Never married;St Eustatius;2019;5.0
87;Total male and female;Total;Never married;St Eustatius;2020;4.0
88;Total male and female;Total;Never married;St Eustatius;2021;4.0
89;Total male and female;Total;Never married;St Eustatius;2022;8.0
90;Total male and female;Total;Never married;St Eustatius;2023;8.0
91;Total male and female;Total;Never married;Saba;2011;9.0
92;Total male and female;Total;Never married;Saba;2012;6.0
93;Total male and female;Total;Never married;Saba;2013;5.0
94;Total male and female;Total;Never married;Saba;2014;7.0
95;Total male and female;Total;Never married;Saba;2015;3.0
96;Total male and female;Total;Never married;Saba;2016;3.0
97;Total male and female;Total;Never married;Saba;2017;3.0
98;Total male and female;Total;Never married;Saba;2018;5.0
99;Total male and female;Total;Never married;Saba;2019;3.0
100;Total male and female;Total;Never married;Saba;2020;4.0
101;Total male and female;Total;Never married;Saba;2021;7.0
102;Total male and female;Total;Never married;Saba;2022;4.0
103;Total male and female;Total;Never married;Saba;2023;4.0
104;Total male and female;Total;Married;Caribbean Netherlands;2011;58.0
105;Total male and female;Total;Married;Caribbean Netherlands;2012;35.0
106;Total male and female;Total;Married;Caribbean Netherlands;2013;32.0
107;Total male and female;Total;Married;Caribbean Netherlands;2014;51.0
108;Total male and female;Total;Married;Caribbean Netherlands;2015;48.0
109;Total male and female;Total;Married;Caribbean Netherlands;2016;35.0
110;Total male and female;Total;Married;Caribbean Netherlands;2017;55.0
111;Total male and female;Total;Married;Caribbean Netherlands;2018;33.0
112;Total male and female;Total;Married;Caribbean Netherlands;2019;47.0
113;Total male and female;Total;Married;Caribbean Netherlands;2020;53.0
114;Total male and female;Total;Married;Caribbean Netherlands;2021;56.0
115;Total male and female;Total;Married;Caribbean Netherlands;2022;85.0
116;Total male and female;Total;Married;Caribbean Netherlands;2023;64.0
117;Total male and female;Total;Married;Bonaire;2011;46.0
118;Total male and female;Total;Married;Bonaire;2012;25.0
119;Total male and female;Total;Married;Bonaire;2013;25.0
120;Total male and female;Total;Married;Bonaire;2014;43.0
121;Total male and female;Total;Married;Bonaire;2015;45.0
122;Total male and female;Total;Married;Bonaire;2016;29.0
123;Total male and female;Total;Married;Bonaire;2017;43.0
124;Total male and female;Total;Married;Bonaire;2018;24.0
125;Total male and female;Total;Married;Bonaire;2019;39.0
126;Total male and female;Total;Married;Bonaire;2020;40.0
127;Total male and female;Total;Married;Bonaire;2021;43.0
128;Total male and female;Total;Married;Bonaire;2022;74.0
129;Total male and female;Total;Married;Bonaire;2023;56.0
130;Total male and female;Total;Married;St Eustatius;2011;6.0
131;Total male and female;Total;Married;St Eustatius;2012;6.0
132;Total male and female;Total;Married;St Eustatius;2013;5.0
133;Total male and female;Total;Married;St Eustatius;2014;6.0
134;Total male and female;Total;Married;St Eustatius;2015;2.0
135;Total male and female;Total;Married;St Eustatius;2016;2.0
136;Total male and female;Total;Married;St Eustatius;2017;7.0
137;Total male and female;Total;Married;St Eustatius;2018;7.0
138;Total male and female;Total;Married;St Eustatius;2019;5.0
139;Total male and female;Total;Married;St Eustatius;2020;5.0
140;Total male and female;Total;Married;St Eustatius;2021;4.0
141;Total male and female;Total;Married;St Eustatius;2022;7.0
142;Total male and female;Total;Married;St Eustatius;2023;4.0
143;Total male and female;Total;Married;Saba;2011;6.0
144;Total male and female;Total;Married;Saba;2012;4.0
145;Total male and female;Total;Married;Saba;2013;2.0
146;Total male and female;Total;Married;Saba;2014;2.0
147;Total male and female;Total;Married;Saba;2015;1.0
148;Total male and female;Total;Married;Saba;2016;4.0
149;Total male and female;Total;Married;Saba;2017;5.0
150;Total male and female;Total;Married;Saba;2018;2.0
151;Total male and female;Total;Married;Saba;2019;3.0
152;Total male and female;Total;Married;Saba;2020;8.0
153;Total male and female;Total;Married;Saba;2021;9.0
154;Total male and female;Total;Married;Saba;2022;4.0
155;Total male and female;Total;Married;Saba;2023;4.0
156;Total male and female;Total;Widowed;Caribbean Netherlands;2011;28.0
157;Total male and female;Total;Widowed;Caribbean Netherlands;2012;24.0
158;Total male and female;Total;Widowed;Caribbean Netherlands;2013;32.0
159;Total male and female;Total;Widowed;Caribbean Netherlands;2014;36.0
160;Total male and female;Total;Widowed;Caribbean Netherlands;2015;32.0
161;Total male and female;Total;Widowed;Caribbean Netherlands;2016;26.0
162;Total male and female;Total;Widowed;Caribbean Netherlands;2017;28.0
163;Total male and female;Total;Widowed;Caribbean Netherlands;2018;27.0
164;Total male and female;Total;Widowed;Caribbean Netherlands;2019;28.0
165;Total male and female;Total;Widowed;Caribbean Netherlands;2020;34.0
166;Total male and female;Total;Widowed;Caribbean Netherlands;2021;35.0
167;Total male and female;Total;Widowed;Caribbean Netherlands;2022;47.0
168;Total male and female;Total;Widowed;Caribbean Netherlands;2023;33.0
169;Total male and female;Total;Widowed;Bonaire;2011;24.0
170;Total male and female;Total;Widowed;Bonaire;2012;21.0
171;Total male and female;Total;Widowed;Bonaire;2013;24.0
172;Total male and female;Total;Widowed;Bonaire;2014;23.0
173;Total male and female;Total;Widowed;Bonaire;2015;27.0
174;Total male and female;Total;Widowed;Bonaire;2016;19.0
175;Total male and female;Total;Widowed;Bonaire;2017;22.0
176;Total male and female;Total;Widowed;Bonaire;2018;20.0
177;Total male and female;Total;Widowed;Bonaire;2019;24.0
178;Total male and female;Total;Widowed;Bonaire;2020;25.0
179;Total male and female;Total;Widowed;Bonaire;2021;25.0
180;Total male and female;Total;Widowed;Bonaire;2022;36.0
181;Total male and female;Total;Widowed;Bonaire;2023;29.0
182;Total male and female;Total;Widowed;St Eustatius;2011;2.0
183;Total male and female;Total;Widowed;St Eustatius;2012;1.0
184;Total male and female;Total;Widowed;St Eustatius;2013;4.0
185;Total male and female;Total;Widowed;St Eustatius;2014;7.0
186;Total male and female;Total;Widowed;St Eustatius;2015;1.0
187;Total male and female;Total;Widowed;St Eustatius;2016;4.0
188;Total male and female;Total;Widowed;St Eustatius;2017;3.0
189;Total male and female;Total;Widowed;St Eustatius;2018;3.0
190;Total male and female;Total;Widowed;St Eustatius;2019;3.0
191;Total male and female;Total;Widowed;St Eustatius;2020;6.0
192;Total male and female;Total;Widowed;St Eustatius;2021;6.0
193;Total male and female;Total;Widowed;St Eustatius;2022;6.0
194;Total male and female;Total;Widowed;St Eustatius;2023;2.0
195;Total male and female;Total;Widowed;Saba;2011;2.0
196;Total male and female;Total;Widowed;Saba;2012;2.0
197;Total male and female;Total;Widowed;Saba;2013;4.0
198;Total male and female;Total;Widowed;Saba;2014;6.0
199;Total male and female;Total;Widowed;Saba;2015;4.0
200;Total male and female;Total;Widowed;Saba;2016;3.0
201;Total male and female;Total;Widowed;Saba;2017;3.0
202;Total male and female;Total;Widowed;Saba;2018;4.0
203;Total male and female;Total;Widowed;Saba;2019;1.0
204;Total male and female;Total;Widowed;Saba;2020;3.0
205;Total male and female;Total;Widowed;Saba;2021;4.0
206;Total male and female;Total;Widowed;Saba;2022;5.0
207;Total male and female;Total;Widowed;Saba;2023;2.0
208;Total male and female;Total;Divorced;Caribbean Netherlands;2011;12.0
209;Total male and female;Total;Divorced;Caribbean Netherlands;2012;14.0
210;Total male and female;Total;Divorced;Caribbean Netherlands;2013;14.0
211;Total male and female;Total;Divorced;Caribbean Netherlands;2014;12.0
212;Total male and female;Total;Divorced;Caribbean Netherlands;2015;18.0
213;Total male and female;Total;Divorced;Caribbean Netherlands;2016;14.0
214;Total male and female;Total;Divorced;Caribbean Netherlands;2017;25.0
215;Total male and female;Total;Divorced;Caribbean Netherlands;2018;15.0
216;Total male and female;Total;Divorced;Caribbean Netherlands;2019;16.0
217;Total male and female;Total;Divorced;Caribbean Netherlands;2020;14.0
218;Total male and female;Total;Divorced;Caribbean Netherlands;2021;33.0
219;Total male and female;Total;Divorced;Caribbean Netherlands;2022;18.0
220;Total male and female;Total;Divorced;Caribbean Netherlands;2023;28.0
221;Total male and female;Total;Divorced;Bonaire;2011;11.0
222;Total male and female;Total;Divorced;Bonaire;2012;11.0
223;Total male and female;Total;Divorced;Bonaire;2013;11.0
224;Total male and female;Total;Divorced;Bonaire;2014;7.0
225;Total male and female;Total;Divorced;Bonaire;2015;15.0
226;Total male and female;Total;Divorced;Bonaire;2016;10.0
227;Total male and female;Total;Divorced;Bonaire;2017;16.0
228;Total male and female;Total;Divorced;Bonaire;2018;12.0
229;Total male and female;Total;Divorced;Bonaire;2019;8.0
230;Total male and female;Total;Divorced;Bonaire;2020;12.0
231;Total male and female;Total;Divorced;Bonaire;2021;29.0
232;Total male and female;Total;Divorced;Bonaire;2022;12.0
233;Total male and female;Total;Divorced;Bonaire;2023;22.0
234;Total male and female;Total;Divorced;St Eustatius;2011;1.0
235;Total male and female;Total;Divorced;St Eustatius;2012;2.0
236;Total male and female;Total;Divorced;St Eustatius;2013;2.0
237;Total male and female;Total;Divorced;St Eustatius;2014;4.0
238;Total male and female;Total;Divorced;St Eustatius;2015;2.0
239;Total male and female;Total;Divorced;St Eustatius;2016;4.0
240;Total male and female;Total;Divorced;St Eustatius;2017;7.0
241;Total male and female;Total;Divorced;St Eustatius;2018;3.0
242;Total male and female;Total;Divorced;St Eustatius;2019;2.0
243;Total male and female;Total;Divorced;St Eustatius;2020;1.0
244;Total male and female;Total;Divorced;St Eustatius;2021;4.0
245;Total male and female;Total;Divorced;St Eustatius;2022;4.0
246;Total male and female;Total;Divorced;St Eustatius;2023;3.0
247;Total male and female;Total;Divorced;Saba;2011;0.0
248;Total male and female;Total;Divorced;Saba;2012;1.0
249;Total male and female;Total;Divorced;Saba;2013;1.0
250;Total male and female;Total;Divorced;Saba;2014;1.0
251;Total male and female;Total;Divorced;Saba;2015;1.0
252;Total male and female;Total;Divorced;Saba;2016;0.0
253;Total male and female;Total;Divorced;Saba;2017;2.0
254;Total male and female;Total;Divorced;Saba;2018;0.0
255;Total male and female;Total;Divorced;Saba;2019;6.0
256;Total male and female;Total;Divorced;Saba;2020;1.0
257;Total male and female;Total;Divorced;Saba;2021;0.0
258;Total male and female;Total;Divorced;Saba;2022;2.0
259;Total male and female;Total;Divorced;Saba;2023;3.0
260;Total male and female;0 year;Total marital status;Caribbean Netherlands;2011;0.0
261;Total male and female;0 year;Total marital status;Caribbean Netherlands;2012;0.0
262;Total male and female;0 year;Total marital status;Caribbean Netherlands;2013;2.0
263;Total male and female;0 year;Total marital status;Caribbean Netherlands;2014;0.0
264;Total male and female;0 year;Total marital status;Caribbean Netherlands;2015;0.0
265;Total male and female;0 year;Total marital status;Caribbean Netherlands;2016;2.0
266;Total male and female;0 year;Total marital status;Caribbean Netherlands;2017;0.0
267;Total male and female;0 year;Total marital status;Caribbean Netherlands;2018;1.0
268;Total male and female;0 year;Total marital status;Caribbean Netherlands;2019;1.0
269;Total male and female;0 year;Total marital status;Caribbean Netherlands;2020;0.0
270;Total male and female;0 year;Total marital status;Caribbean Netherlands;2021;1.0
271;Total male and female;0 year;Total marital status;Caribbean Netherlands;2022;2.0
272;Total male and female;0 year;Total marital status;Caribbean Netherlands;2023;3.0
273;Total male and female;0 year;Total marital status;Bonaire;2011;0.0
274;Total male and female;0 year;Total marital status;Bonaire;2012;0.0
275;Total male and female;0 year;Total marital status;Bonaire;2013;1.0
276;Total male and female;0 year;Total marital status;Bonaire;2014;0.0
277;Total male and female;0 year;Total marital status;Bonaire;2015;0.0
278;Total male and female;0 year;Total marital status;Bonaire;2016;1.0
279;Total male and female;0 year;Total marital status;Bonaire;2017;0.0
280;Total male and female;0 year;Total marital status;Bonaire;2018;1.0
281;Total male and female;0 year;Total marital status;Bonaire;2019;1.0
282;Total male and female;0 year;Total marital status;Bonaire;2020;0.0
283;Total male and female;0 year;Total marital status;Bonaire;2021;0.0
284;Total male and female;0 year;Total marital status;Bonaire;2022;1.0
285;Total male and female;0 year;Total marital status;Bonaire;2023;1.0
286;Total male and female;0 year;Total marital status;St Eustatius;2011;0.0
287;Total male and female;0 year;Total marital status;St Eustatius;2012;0.0
288;Total male and female;0 year;Total marital status;St Eustatius;2013;1.0
289;Total male and female;0 year;Total marital status;St Eustatius;2014;0.0
290;Total male and female;0 year;Total marital status;St Eustatius;2015;0.0
291;Total male and female;0 year;Total marital status;St Eustatius;2016;1.0
292;Total male and female;0 year;Total marital status;St Eustatius;2017;0.0
293;Total male and female;0 year;Total marital status;St Eustatius;2018;0.0
294;Total male and female;0 year;Total marital status;St Eustatius;2019;0.0
295;Total male and female;0 year;Total marital status;St Eustatius;2020;0.0
296;Total male and female;0 year;Total marital status;St Eustatius;2021;1.0
297;Total male and female;0 year;Total marital status;St Eustatius;2022;1.0
298;Total male and female;0 year;Total marital status;St Eustatius;2023;2.0
299;Total male and female;0 year;Total marital status;Saba;2011;0.0
300;Total male and female;0 year;Total marital status;Saba;2012;0.0
301;Total male and female;0 year;Total marital status;Saba;2013;0.0
302;Total male and female;0 year;Total marital status;Saba;2014;0.0
303;Total male and female;0 year;Total marital status;Saba;2015;0.0
304;Total male and female;0 year;Total marital status;Saba;2016;0.0
305;Total male and female;0 year;Total marital status;Saba;2017;0.0
306;Total male and female;0 year;Total marital status;Saba;2018;0.0
307;Total male and female;0 year;Total marital status;Saba;2019;0.0
308;Total male and female;0 year;Total marital status;Saba;2020;0.0
309;Total male and female;0 year;Total marital status;Saba;2021;0.0
310;Total male and female;0 year;Total marital status;Saba;2022;0.0
311;Total male and female;0 year;Total marital status;Saba;2023;0.0
312;Total male and female;0 year;Never married;Caribbean Netherlands;2011;0.0
313;Total male and female;0 year;Never married;Caribbean Netherlands;2012;0.0
314;Total male and female;0 year;Never married;Caribbean Netherlands;2013;2.0
315;Total male and female;0 year;Never married;Caribbean Netherlands;2014;0.0
316;Total male and female;0 year;Never married;Caribbean Netherlands;2015;0.0
317;Total male and female;0 year;Never married;Caribbean Netherlands;2016;2.0
318;Total male and female;0 year;Never married;Caribbean Netherlands;2017;0.0
319;Total male and female;0 year;Never married;Caribbean Netherlands;2018;1.0
320;Total male and female;0 year;Never married;Caribbean Netherlands;2019;1.0
321;Total male and female;0 year;Never married;Caribbean Netherlands;2020;0.0
322;Total male and female;0 year;Never married;Caribbean Netherlands;2021;1.0
323;Total male and female;0 year;Never married;Caribbean Netherlands;2022;2.0
324;Total male and female;0 year;Never married;Caribbean Netherlands;2023;3.0
325;Total male and female;0 year;Never married;Bonaire;2011;0.0
326;Total male and female;0 year;Never married;Bonaire;2012;0.0
327;Total male and female;0 year;Never married;Bonaire;2013;1.0
328;Total male and female;0 year;Never married;Bonaire;2014;0.0
329;Total male and female;0 year;Never married;Bonaire;2015;0.0
330;Total male and female;0 year;Never married;Bonaire;2016;1.0
331;Total male and female;0 year;Never married;Bonaire;2017;0.0
332;Total male and female;0 year;Never married;Bonaire;2018;1.0
333;Total male and female;0 year;Never married;Bonaire;2019;1.0
334;Total male and female;0 year;Never married;Bonaire;2020;0.0
335;Total male and female;0 year;Never married;Bonaire;2021;0.0
336;Total male and female;0 year;Never married;Bonaire;2022;1.0
337;Total male and female;0 year;Never married;Bonaire;2023;1.0
338;Total male and female;0 year;Never married;St Eustatius;2011;0.0
339;Total male and female;0 year;Never married;St Eustatius;2012;0.0
340;Total male and female;0 year;Never married;St Eustatius;2013;1.0
341;Total male and female;0 year;Never married;St Eustatius;2014;0.0
342;Total male and female;0 year;Never married;St Eustatius;2015;0.0
343;Total male and female;0 year;Never married;St Eustatius;2016;1.0
344;Total male and female;0 year;Never married;St Eustatius;2017;0.0
345;Total male and female;0 year;Never married;St Eustatius;2018;0.0
346;Total male and female;0 year;Never married;St Eustatius;2019;0.0
347;Total male and female;0 year;Never married;St Eustatius;2020;0.0
348;Total male and female;0 year;Never married;St Eustatius;2021;1.0
349;Total male and female;0 year;Never married;St Eustatius;2022;1.0
350;Total male and female;0 year;Never married;St Eustatius;2023;2.0
351;Total male and female;0 year;Never married;Saba;2011;0.0
352;Total male and female;0 year;Never married;Saba;2012;0.0
353;Total male and female;0 year;Never married;Saba;2013;0.0
354;Total male and female;0 year;Never married;Saba;2014;0.0
355;Total male and female;0 year;Never married;Saba;2015;0.0
356;Total male and female;0 year;Never married;Saba;2016;0.0
357;Total male and female;0 year;Never married;Saba;2017;0.0
358;Total male and female;0 year;Never married;Saba;2018;0.0
359;Total male and female;0 year;Never married;Saba;2019;0.0
360;Total male and female;0 year;Never married;Saba;2020;0.0
361;Total male and female;0 year;Never married;Saba;2021;0.0
362;Total male and female;0 year;Never married;Saba;2022;0.0
363;Total male and female;0 year;Never married;Saba;2023;0.0
364;Total male and female;0 year;Married;Caribbean Netherlands;2011;
365;Total male and female;0 year;Married;Caribbean Netherlands;2012;
366;Total male and female;0 year;Married;Caribbean Netherlands;2013;
367;Total male and female;0 year;Married;Caribbean Netherlands;2014;
368;Total male and female;0 year;Married;Caribbean Netherlands;2015;
369;Total male and female;0 year;Married;Caribbean Netherlands;2016;
370;Total male and female;0 year;Married;Caribbean Netherlands;2017;
371;Total male and female;0 year;Married;Caribbean Netherlands;2018;
372;Total male and female;0 year;Married;Caribbean Netherlands;2019;
373;Total male and female;0 year;Married;Caribbean Netherlands;2020;
374;Total male and female;0 year;Married;Caribbean Netherlands;2021;
375;Total male and female;0 year;Married;Caribbean Netherlands;2022;
376;Total male and female;0 year;Married;Caribbean Netherlands;2023;
377;Total male and female;0 year;Married;Bonaire;2011;
378;Total male and female;0 year;Married;Bonaire;2012;
379;Total male and female;0 year;Married;Bonaire;2013;
380;Total male and female;0 year;Married;Bonaire;2014;
381;Total male and female;0 year;Married;Bonaire;2015;
382;Total male and female;0 year;Married;Bonaire;2016;
383;Total male and female;0 year;Married;Bonaire;2017;
384;Total male and female;0 year;Married;Bonaire;2018;
385;Total male and female;0 year;Married;Bonaire;2019;
386;Total male and female;0 year;Married;Bonaire;2020;
387;Total male and female;0 year;Married;Bonaire;2021;
388;Total male and female;0 year;Married;Bonaire;2022;
389;Total male and female;0 year;Married;Bonaire;2023;
390;Total male and female;0 year;Married;St Eustatius;2011;
391;Total male and female;0 year;Married;St Eustatius;2012;
392;Total male and female;0 year;Married;St Eustatius;2013;
393;Total male and female;0 year;Married;St Eustatius;2014;
394;Total male and female;0 year;Married;St Eustatius;2015;
395;Total male and female;0 year;Married;St Eustatius;2016;
396;Total male and female;0 year;Married;St Eustatius;2017;
397;Total male and female;0 year;Married;St Eustatius;2018;
398;Total male and female;0 year;Married;St Eustatius;2019;
399;Total male and female;0 year;Married;St Eustatius;2020;
400;Total male and female;0 year;Married;St Eustatius;2021;
401;Total male and female;0 year;Married;St Eustatius;2022;
402;Total male and female;0 year;Married;St Eustatius;2023;
403;Total male and female;0 year;Married;Saba;2011;
404;Total male and female;0 year;Married;Saba;2012;
405;Total male and female;0 year;Married;Saba;2013;
406;Total male and female;0 year;Married;Saba;2014;
407;Total male and female;0 year;Married;Saba;2015;
408;Total male and female;0 year;Married;Saba;2016;
409;Total male and female;0 year;Married;Saba;2017;
410;Total male and female;0 year;Married;Saba;2018;
411;Total male and female;0 year;Married;Saba;2019;
412;Total male and female;0 year;Married;Saba;2020;
413;Total male and female;0 year;Married;Saba;2021;
414;Total male and female;0 year;Married;Saba;2022;
415;Total male and female;0 year;Married;Saba;2023;
416;Total male and female;0 year;Widowed;Caribbean Netherlands;2011;
417;Total male and female;0 year;Widowed;Caribbean Netherlands;2012;
418;Total male and female;0 year;Widowed;Caribbean Netherlands;2013;
419;Total male and female;0 year;Widowed;Caribbean Netherlands;2014;
420;Total male and female;0 year;Widowed;Caribbean Netherlands;2015;
421;Total male and female;0 year;Widowed;Caribbean Netherlands;2016;
422;Total male and female;0 year;Widowed;Caribbean Netherlands;2017;
423;Total male and female;0 year;Widowed;Caribbean Netherlands;2018;
424;Total male and female;0 year;Widowed;Caribbean Netherlands;2019;
425;Total male and female;0 year;Widowed;Caribbean Netherlands;2020;
426;Total male and female;0 year;Widowed;Caribbean Netherlands;2021;
427;Total male and female;0 year;Widowed;Caribbean Netherlands;2022;
428;Total male and female;0 year;Widowed;Caribbean Netherlands;2023;
429;Total male and female;0 year;Widowed;Bonaire;2011;
430;Total male and female;0 year;Widowed;Bonaire;2012;
431;Total male and female;0 year;Widowed;Bonaire;2013;
432;Total male and female;0 year;Widowed;Bonaire;2014;
433;Total male and female;0 year;Widowed;Bonaire;2015;
434;Total male and female;0 year;Widowed;Bonaire;2016;
435;Total male and female;0 year;Widowed;Bonaire;2017;
436;Total male and female;0 year;Widowed;Bonaire;2018;
437;Total male and female;0 year;Widowed;Bonaire;2019;
438;Total male and female;0 year;Widowed;Bonaire;2020;
439;Total male and female;0 year;Widowed;Bonaire;2021;
440;Total male and female;0 year;Widowed;Bonaire;2022;
441;Total male and female;0 year;Widowed;Bonaire;2023;
442;Total male and female;0 year;Widowed;St Eustatius;2011;
443;Total male and female;0 year;Widowed;St Eustatius;2012;
444;Total male and female;0 year;Widowed;St Eustatius;2013;
445;Total male and female;0 year;Widowed;St Eustatius;2014;
446;Total male and female;0 year;Widowed;St Eustatius;2015;
447;Total male and female;0 year;Widowed;St Eustatius;2016;
448;Total male and female;0 year;Widowed;St Eustatius;2017;
449;Total male and female;0 year;Widowed;St Eustatius;2018;
450;Total male and female;0 year;Widowed;St Eustatius;2019;
451;Total male and female;0 year;Widowed;St Eustatius;2020;
452;Total male and female;0 year;Widowed;St Eustatius;2021;
453;Total male and female;0 year;Widowed;St Eustatius;2022;
454;Total male and female;0 year;Widowed;St Eustatius;2023;
455;Total male and female;0 year;Widowed;Saba;2011;
456;Total male and female;0 year;Widowed;Saba;2012;
457;Total male and female;0 year;Widowed;Saba;2013;
458;Total male and female;0 year;Widowed;Saba;2014;
459;Total male and female;0 year;Widowed;Saba;2015;
460;Total male and female;0 year;Widowed;Saba;2016;
461;Total male and female;0 year;Widowed;Saba;2017;
462;Total male and female;0 year;Widowed;Saba;2018;
463;Total male and female;0 year;Widowed;Saba;2019;
464;Total male and female;0 year;Widowed;Saba;2020;
465;Total male and female;0 year;Widowed;Saba;2021;
466;Total male and female;0 year;Widowed;Saba;2022;
467;Total male and female;0 year;Widowed;Saba;2023;
468;Total male and female;0 year;Divorced;Caribbean Netherlands;2011;
469;Total male and female;0 year;Divorced;Caribbean Netherlands;2012;
470;Total male and female;0 year;Divorced;Caribbean Netherlands;2013;
471;Total male and female;0 year;Divorced;Caribbean Netherlands;2014;
472;Total male and female;0 year;Divorced;Caribbean Netherlands;2015;
473;Total male and female;0 year;Divorced;Caribbean Netherlands;2016;
