ID;Geslacht;Persoonskenmerken;Onderwijsniveau;BedrijfstakkenSBI2008;Perioden;BanenVanWerknemers_1;BrutoUurloon_2
49;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;N Verhuur en overige zakelijke diensten;2010;284.7;12.6
50;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;O-U Niet-commerciële dienstverlening;2010;382.4;14.2
51;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;O-Q Overheid en zorg;2010;318.9;14.6
52;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;O Openbaar bestuur en overheidsdiensten;2010;67.9;16.5
53;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;P Onderwijs;2010;31.3;14.7
54;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;Q Gezondheids- en welzijnszorg;2010;219.8;13.7
55;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;R-U Cultuur, recreatie, overige diensten;2010;63.5;12.2
56;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;R Cultuur, sport en recreatie;2010;29.4;13.1
57;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;S Overige dienstverlening;2010;34.1;11.6
58;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;A-U Alle economische activiteiten;2010;3206.2;18.2
59;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;A-F Landbouw en nijverheid;2010;565.4;19.8
60;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;A Landbouw, bosbouw en visserij;2010;34.4;16.0
61;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;B-F Nijverheid en energie;2010;531.0;20.0
62;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;B-E Nijverheid (geen bouw) en energie;2010;347.6;19.8
63;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;B Delfstoffenwinning;2010;3.1;31.6
64;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;C Industrie;2010;319.8;19.6
65;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;D Energievoorziening;2010;11.7;23.2
66;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;E Waterbedrijven en afvalbeheer;2010;13.0;20.5
67;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;F Bouwnijverheid;2010;183.5;20.3
68;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;G-N Commerciële dienstverlening;2010;1531.6;17.4
69;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;G-I Handel, vervoer en horeca;2010;850.2;16.6
70;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;G Handel;2010;562.3;16.6
71;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;H Vervoer en opslag;2010;154.2;18.3
72;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;I Horeca;2010;133.7;13.6
73;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;J Informatie en communicatie;2010;77.5;21.3
74;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;K Financiële dienstverlening;2010;98.0;22.2
75;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;L Verhuur en handel van onroerend goed;2010;29.6;20.5
76;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;M-N Zakelijke dienstverlening;2010;476.4;16.8
77;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;M Specialistische zakelijke diensten;2010;164.0;19.3
78;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;N Verhuur en overige zakelijke diensten;2010;312.5;15.3
79;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;O-U Niet-commerciële dienstverlening;2010;1109.1;18.4
80;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;O-Q Overheid en zorg;2010;988.6;18.6
81;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;O Openbaar bestuur en overheidsdiensten;2010;223.6;20.4
82;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;P Onderwijs;2010;101.1;18.4
83;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;Q Gezondheids- en welzijnszorg;2010;663.9;17.8
84;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;R-U Cultuur, recreatie, overige diensten;2010;120.6;16.3
85;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;R Cultuur, sport en recreatie;2010;61.0;16.8
86;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: middelbaar;S Overige dienstverlening;2010;59.5;15.9
87;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;A-U Alle economische activiteiten;2010;2127.9;27.8
88;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;A-F Landbouw en nijverheid;2010;207.9;30.0
89;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;A Landbouw, bosbouw en visserij;2010;6.3;23.6
90;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;B-F Nijverheid en energie;2010;201.6;30.1
91;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;B-E Nijverheid (geen bouw) en energie;2010;162.0;30.8
92;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;B Delfstoffenwinning;2010;2.9;41.9
93;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;C Industrie;2010;142.1;30.4
94;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;D Energievoorziening;2010;7.9;34.8
95;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;E Waterbedrijven en afvalbeheer;2010;9.1;28.8
96;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;F Bouwnijverheid;2010;39.6;27.6
97;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;G-N Commerciële dienstverlening;2010;817.6;28.4
98;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;G-I Handel, vervoer en horeca;2010;230.6;26.8
99;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;G Handel;2010;153.8;26.6
100;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;H Vervoer en opslag;2010;51.0;30.9
101;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;I Horeca;2010;25.8;17.0
102;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;J Informatie en communicatie;2010;113.3;28.3
103;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;K Financiële dienstverlening;2010;116.2;33.7
104;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;L Verhuur en handel van onroerend goed;2010;22.6;30.9
105;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;M-N Zakelijke dienstverlening;2010;335.0;27.2
106;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;M Specialistische zakelijke diensten;2010;214.7;29.6
107;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;N Verhuur en overige zakelijke diensten;2010;120.3;21.9
108;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;O-U Niet-commerciële dienstverlening;2010;1102.3;26.8
109;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;O-Q Overheid en zorg;2010;1014.4;26.9
110;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;O Openbaar bestuur en overheidsdiensten;2010;223.2;28.7
111;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;P Onderwijs;2010;380.1;26.7
112;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;Q Gezondheids- en welzijnszorg;2010;411.1;25.8
113;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;R-U Cultuur, recreatie, overige diensten;2010;87.9;25.7
114;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;R Cultuur, sport en recreatie;2010;37.5;23.9
115;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: hoog;S Overige dienstverlening;2010;50.4;26.8
116;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;A-U Alle economische activiteiten;2010;1319.8;10.5
117;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;A-F Landbouw en nijverheid;2010;135.7;11.1
118;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;A Landbouw, bosbouw en visserij;2010;28.1;9.3
119;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;B-F Nijverheid en energie;2010;107.6;11.4
120;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;B-E Nijverheid (geen bouw) en energie;2010;63.6;10.6
121;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;B Delfstoffenwinning;2010;0.0;0.0
122;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;C Industrie;2010;61.1;10.5
123;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;D Energievoorziening;2010;0.0;0.0
124;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;E Waterbedrijven en afvalbeheer;2010;0.0;0.0
125;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;F Bouwnijverheid;2010;44.0;12.3
126;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;G-N Commerciële dienstverlening;2010;864.7;9.8
127;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;G-I Handel, vervoer en horeca;2010;583.7;9.1
128;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;G Handel;2010;387.6;9.1
129;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;H Vervoer en opslag;2010;41.4;11.1
130;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;I Horeca;2010;154.7;8.2
131;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;J Informatie en communicatie;2010;19.4;10.9
132;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;K Financiële dienstverlening;2010;10.8;12.9
133;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;L Verhuur en handel van onroerend goed;2010;6.8;10.4
134;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;M-N Zakelijke dienstverlening;2010;244.0;10.9
135;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;M Specialistische zakelijke diensten;2010;51.6;11.1
136;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;N Verhuur en overige zakelijke diensten;2010;192.4;10.9
137;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;O-U Niet-commerciële dienstverlening;2010;319.4;11.8
138;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;O-Q Overheid en zorg;2010;255.1;12.3
139;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;O Openbaar bestuur en overheidsdiensten;2010;32.6;11.5
140;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;P Onderwijs;2010;39.9;13.2
141;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;Q Gezondheids- en welzijnszorg;2010;182.6;12.3
142;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;R-U Cultuur, recreatie, overige diensten;2010;64.3;9.6
143;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;R Cultuur, sport en recreatie;2010;33.2;9.8
144;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;S Overige dienstverlening;2010;31.1;9.5
145;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;A-U Alle economische activiteiten;2010;667.2;8.8
146;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;A-F Landbouw en nijverheid;2010;79.1;10.0
147;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;A Landbouw, bosbouw en visserij;2010;18.5;8.1
148;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;B-F Nijverheid en energie;2010;60.6;10.3
149;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;B-E Nijverheid (geen bouw) en energie;2010;36.3;9.5
150;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;B Delfstoffenwinning;2010;0.0;0.0
151;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;C Industrie;2010;35.2;9.4
152;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;D Energievoorziening;2010;0.0;0.0
153;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;E Waterbedrijven en afvalbeheer;2010;0.0;0.0
154;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;F Bouwnijverheid;2010;24.3;11.4
155;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;G-N Commerciële dienstverlening;2010;469.3;8.4
156;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;G-I Handel, vervoer en horeca;2010;351.6;8.0
157;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;G Handel;2010;235.8;7.9
158;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;H Vervoer en opslag;2010;20.8;10.5
159;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;I Horeca;2010;95.0;7.2
160;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;J Informatie en communicatie;2010;4.6;8.9
161;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;K Financiële dienstverlening;2010;3.4;9.6
162;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;L Verhuur en handel van onroerend goed;2010;0.0;0.0
163;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;M-N Zakelijke dienstverlening;2010;107.3;9.3
164;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;M Specialistische zakelijke diensten;2010;15.4;8.8
165;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;N Verhuur en overige zakelijke diensten;2010;92.0;9.5
166;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;O-U Niet-commerciële dienstverlening;2010;118.7;9.2
167;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;O-Q Overheid en zorg;2010;87.1;9.5
168;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;O Openbaar bestuur en overheidsdiensten;2010;13.7;10.0
169;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;P Onderwijs;2010;8.0;9.0
170;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;Q Gezondheids- en welzijnszorg;2010;65.3;9.4
171;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;R-U Cultuur, recreatie, overige diensten;2010;31.6;8.4
172;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;R Cultuur, sport en recreatie;2010;14.4;8.8
173;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: lager onderwijs;S Overige dienstverlening;2010;17.2;8.2
174;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;A-U Alle economische activiteiten;2010;573.9;11.7
175;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;A-F Landbouw en nijverheid;2010;52.9;12.4
176;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;A Landbouw, bosbouw en visserij;2010;9.2;11.3
177;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;B-F Nijverheid en energie;2010;43.6;12.6
178;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;B-E Nijverheid (geen bouw) en energie;2010;25.0;11.8
179;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;B Delfstoffenwinning;2010;0.0;0.0
180;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;C Industrie;2010;23.7;11.7
181;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;D Energievoorziening;2010;0.0;0.0
182;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;E Waterbedrijven en afvalbeheer;2010;0.0;0.0
183;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;F Bouwnijverheid;2010;18.6;13.5
184;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;G-N Commerciële dienstverlening;2010;351.0;10.9
185;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;G-I Handel, vervoer en horeca;2010;212.8;10.4
186;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;G Handel;2010;140.0;10.5
187;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;H Vervoer en opslag;2010;18.7;11.7
188;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;I Horeca;2010;54.1;9.6
189;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;J Informatie en communicatie;2010;11.8;10.8
190;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;K Financiële dienstverlening;2010;5.6;13.4
191;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;L Verhuur en handel van onroerend goed;2010;3.5;10.6
192;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;M-N Zakelijke dienstverlening;2010;117.3;11.6
193;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;M Specialistische zakelijke diensten;2010;29.8;11.3
194;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;N Verhuur en overige zakelijke diensten;2010;87.5;11.8
195;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;O-U Niet-commerciële dienstverlening;2010;170.0;12.8
196;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;O-Q Overheid en zorg;2010;140.8;13.2
197;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;O Openbaar bestuur en overheidsdiensten;2010;16.9;12.5
198;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Onderwijsniveau: middelbaar;P Onderwijs;2010;22.0;13.5
