ID;HouseholdExpenditure;Periods;CPIW_1;DerivedCPIW_2;YearOnYearChangeCPIW_3;YearOnYearChangeDerivedCPIW_4;WeightingCoefficient_5
72;90000;2001;102.9;102.2;2.9;2.2;11544
73;90000;2002;104.4;104.2;1.5;2.0;11544
74;90000;2003;104.6;104.4;0.2;0.2;11544
75;90000;2004;103.3;103.1;-1.2;-1.2;11544
76;90000;2005;102.5;102.3;-0.8;-0.8;11544
77;90000;2006;102.7;102.5;0.2;0.2;11544
78;90000;2007;101.6;101.4;-1.1;-1.1;10127
79;90000;2008;99.9;99.6;-1.7;-1.8;10339
80;10000 Education;2001;103.3;103.3;3.3;3.3;127
81;10000 Education;2002;115.9;115.9;12.2;12.2;127
82;10000 Education;2003;119.3;119.3;2.9;2.9;127
83;10000 Education;2004;121.4;121.4;1.8;1.8;127
84;10000 Education;2005;125.7;125.7;3.5;3.5;127
85;10000 Education;2006;127.6;127.6;1.5;1.5;127
86;10000 Education;2007;125.7;125.7;-1.5;-1.5;127
87;10000 Education;2008;128.5;128.5;2.2;2.2;127
88;11000 Hotels and restaurants;2001;105.8;105.6;5.8;5.6;4790
89;11000 Hotels and restaurants;2002;112.8;112.6;6.6;6.6;4790
90;11000 Hotels and restaurants;2003;115.4;115.2;2.3;2.3;4790
91;11000 Hotels and restaurants;2004;117.7;117.5;2.0;2.0;4790
92;11000 Hotels and restaurants;2005;119.9;119.6;1.9;1.8;4790
93;11000 Hotels and restaurants;2006;122.3;122.1;2.0;2.1;4790
94;11000 Hotels and restaurants;2007;126.6;126.4;3.5;3.5;4982
95;11000 Hotels and restaurants;2008;132.0;131.7;4.3;4.2;5035
96;12000 Miscellaneous goods and services;2001;104.4;103.8;4.4;3.8;10658
97;12000 Miscellaneous goods and services;2002;109.7;109.1;5.1;5.1;10658
98;12000 Miscellaneous goods and services;2003;112.5;111.9;2.6;2.6;10658
99;12000 Miscellaneous goods and services;2004;114.4;113.8;1.7;1.7;10658
100;12000 Miscellaneous goods and services;2005;116.1;115.5;1.5;1.5;10658
101;12000 Miscellaneous goods and services;2006;115.1;114.5;-0.9;-0.9;10658
102;12000 Miscellaneous goods and services;2007;118.4;117.8;2.9;2.9;11812
103;12000 Miscellaneous goods and services;2008;122.8;122.1;3.7;3.7;11345
104;13000 Consump.-rel. taxes and gov. serv.;2001;101.6;100.2;1.6;0.2;3417
105;13000 Consump.-rel. taxes and gov. serv.;2002;103.7;100.8;2.1;0.6;3417
106;13000 Consump.-rel. taxes and gov. serv.;2003;108.2;102.0;4.3;1.2;3417
107;13000 Consump.-rel. taxes and gov. serv.;2004;113.8;103.2;5.2;1.2;3417
108;13000 Consump.-rel. taxes and gov. serv.;2005;116.1;102.8;2.0;-0.4;3417
109;13000 Consump.-rel. taxes and gov. serv.;2006;101.2;101.2;-12.8;-1.6;3417
110;13000 Consump.-rel. taxes and gov. serv.;2007;104.1;102.1;2.9;0.9;3430
111;13000 Consump.-rel. taxes and gov. serv.;2008;108.5;102.5;4.2;0.4;3278
112;14000 Consumption abroad;2001;102.9;102.9;2.9;2.9;4175
113;14000 Consumption abroad;2002;106.0;106.0;3.0;3.0;4175
114;14000 Consumption abroad;2003;108.9;108.9;2.7;2.7;4175
115;14000 Consumption abroad;2004;111.9;111.9;2.8;2.8;4175
116;14000 Consumption abroad;2005;116.0;116.0;3.7;3.7;4175
117;14000 Consumption abroad;2006;119.5;119.5;3.0;3.0;4175
118;14000 Consumption abroad;2007;122.3;122.3;2.3;2.3;4237
119;14000 Consumption abroad;2008;128.2;128.2;4.8;4.8;4115
