ID;Geslacht;Migratieachtergrond;Regiokenmerken;Perioden;LeerlingenSpeciaalBasisonderwijs_1;TotaalLeerlingenBasisonderwijs_2;TotaalLeerlingenAchterstandscategorie_3;Achterstandscategorie030_4;Achterstandscategorie120_5;LeerlingenGeenAchterstandscategorie_6;LeerlingenSpeciaalBasisonderwijs_7
16;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2016/'17;143666;139713;10066.0;6361.0;3705.0;129647.0;3953
17;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2017/'18;141312;137396;9647.0;5826.0;3821.0;127749.0;3916
18;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2018/'19;139587;135561;9178.0;5310.0;3868.0;126383.0;4026
19;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2019/'20;137389;133218;;;;;4171
20;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2020/'21;135322;131082;;;;;4240
21;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2021/'22;133319;128948;;;;;4371
22;Totaal mannen en vrouwen;Totaal;Oost-Nederland (LD);2011/'12;353710;343318;37542.0;24986.0;12556.0;305776.0;10392
23;Totaal mannen en vrouwen;Totaal;Oost-Nederland (LD);2012/'13;347791;337745;35070.0;23081.0;11989.0;302675.0;10046
24;Totaal mannen en vrouwen;Totaal;Oost-Nederland (LD);2013/'14;340958;331396;32570.0;21148.0;11422.0;298826.0;9562
25;Totaal mannen en vrouwen;Totaal;Oost-Nederland (LD);2014/'15;334492;325283;30099.0;19469.0;10630.0;295184.0;9209
26;Totaal mannen en vrouwen;Totaal;Oost-Nederland (LD);2015/'16;328022;319561;27386.0;17459.0;9927.0;292175.0;8461
27;Totaal mannen en vrouwen;Totaal;Oost-Nederland (LD);2016/'17;323031;314868;25643.0;16050.0;9593.0;289225.0;8163
28;Totaal mannen en vrouwen;Totaal;Oost-Nederland (LD);2017/'18;319230;311081;24762.0;15168.0;9594.0;286319.0;8149
29;Totaal mannen en vrouwen;Totaal;Oost-Nederland (LD);2018/'19;315780;307479;23465.0;14172.0;9293.0;284014.0;8301
30;Totaal mannen en vrouwen;Totaal;Oost-Nederland (LD);2019/'20;313167;304756;;;;;8411
31;Totaal mannen en vrouwen;Totaal;Oost-Nederland (LD);2020/'21;310736;302400;;;;;8336
32;Totaal mannen en vrouwen;Totaal;Oost-Nederland (LD);2021/'22;307063;298801;;;;;8262
33;Totaal mannen en vrouwen;Totaal;West-Nederland (LD);2011/'12;730796;713189;97459.0;45975.0;51484.0;615730.0;17607
34;Totaal mannen en vrouwen;Totaal;West-Nederland (LD);2012/'13;724911;708112;91270.0;42647.0;48623.0;616842.0;16799
35;Totaal mannen en vrouwen;Totaal;West-Nederland (LD);2013/'14;718385;702295;83896.0;38762.0;45134.0;618399.0;16090
36;Totaal mannen en vrouwen;Totaal;West-Nederland (LD);2014/'15;713185;697545;76731.0;35162.0;41569.0;620814.0;15640
37;Totaal mannen en vrouwen;Totaal;West-Nederland (LD);2015/'16;710180;695128;69935.0;31712.0;38223.0;625193.0;15052
38;Totaal mannen en vrouwen;Totaal;West-Nederland (LD);2016/'17;706390;691442;64429.0;29026.0;35403.0;627013.0;14948
39;Totaal mannen en vrouwen;Totaal;West-Nederland (LD);2017/'18;703144;687914;61196.0;27396.0;33800.0;626718.0;15230
40;Totaal mannen en vrouwen;Totaal;West-Nederland (LD);2018/'19;702803;686965;58218.0;25728.0;32490.0;628747.0;15838
41;Totaal mannen en vrouwen;Totaal;West-Nederland (LD);2019/'20;701109;684894;;;;;16215
42;Totaal mannen en vrouwen;Totaal;West-Nederland (LD);2020/'21;697847;681566;;;;;16281
43;Totaal mannen en vrouwen;Totaal;West-Nederland (LD);2021/'22;690678;674620;;;;;16058
44;Totaal mannen en vrouwen;Totaal;Zuid-Nederland (LD);2011/'12;311915;302953;36284.0;22176.0;14108.0;266669.0;8962
45;Totaal mannen en vrouwen;Totaal;Zuid-Nederland (LD);2012/'13;305582;297109;33470.0;20103.0;13367.0;263639.0;8473
46;Totaal mannen en vrouwen;Totaal;Zuid-Nederland (LD);2013/'14;298952;290931;30294.0;17597.0;12697.0;260637.0;8021
47;Totaal mannen en vrouwen;Totaal;Zuid-Nederland (LD);2014/'15;293185;285582;28113.0;15708.0;12405.0;257469.0;7603
48;Totaal mannen en vrouwen;Totaal;Zuid-Nederland (LD);2015/'16;289066;281966;25715.0;13986.0;11729.0;256251.0;7100
49;Totaal mannen en vrouwen;Totaal;Zuid-Nederland (LD);2016/'17;284144;277425;24141.0;12973.0;11168.0;253284.0;6719
50;Totaal mannen en vrouwen;Totaal;Zuid-Nederland (LD);2017/'18;280417;273824;22945.0;12099.0;10846.0;250879.0;6593
51;Totaal mannen en vrouwen;Totaal;Zuid-Nederland (LD);2018/'19;278423;271715;21817.0;11208.0;10609.0;249898.0;6708
52;Totaal mannen en vrouwen;Totaal;Zuid-Nederland (LD);2019/'20;276815;269959;;;;;6856
53;Totaal mannen en vrouwen;Totaal;Zuid-Nederland (LD);2020/'21;274262;267528;;;;;6734
54;Totaal mannen en vrouwen;Totaal;Zuid-Nederland (LD);2021/'22;271487;264848;;;;;6639
55;Totaal mannen en vrouwen;Totaal;Niet in te delen (LD);2011/'12;3749;3616;660.0;301.0;359.0;2956.0;133
56;Totaal mannen en vrouwen;Totaal;Niet in te delen (LD);2012/'13;3822;3695;701.0;292.0;409.0;2994.0;127
57;Totaal mannen en vrouwen;Totaal;Niet in te delen (LD);2013/'14;3992;3872;686.0;296.0;390.0;3186.0;120
58;Totaal mannen en vrouwen;Totaal;Niet in te delen (LD);2014/'15;3992;3882;632.0;282.0;350.0;3250.0;110
59;Totaal mannen en vrouwen;Totaal;Niet in te delen (LD);2015/'16;3852;3748;578.0;230.0;348.0;3170.0;104
60;Totaal mannen en vrouwen;Totaal;Niet in te delen (LD);2016/'17;3930;3851;551.0;243.0;308.0;3300.0;79
61;Totaal mannen en vrouwen;Totaal;Niet in te delen (LD);2017/'18;3870;3807;487.0;201.0;286.0;3320.0;63
62;Totaal mannen en vrouwen;Totaal;Niet in te delen (LD);2018/'19;3835;3767;480.0;191.0;289.0;3287.0;68
63;Totaal mannen en vrouwen;Totaal;Niet in te delen (LD);2019/'20;3701;3625;;;;;76
64;Totaal mannen en vrouwen;Totaal;Niet in te delen (LD);2020/'21;3613;3536;;;;;77
65;Totaal mannen en vrouwen;Totaal;Niet in te delen (LD);2021/'22;3786;3717;;;;;69
66;Totaal mannen en vrouwen;Totaal;Vier grootste gemeenten (G4);2011/'12;186285;181924;44456.0;13763.0;30693.0;137468.0;4361
67;Totaal mannen en vrouwen;Totaal;Vier grootste gemeenten (G4);2012/'13;187641;183515;41584.0;12969.0;28615.0;141931.0;4126
68;Totaal mannen en vrouwen;Totaal;Vier grootste gemeenten (G4);2013/'14;189656;185652;38216.0;11886.0;26330.0;147436.0;4004
69;Totaal mannen en vrouwen;Totaal;Vier grootste gemeenten (G4);2014/'15;191628;187732;34156.0;10457.0;23699.0;153576.0;3896
70;Totaal mannen en vrouwen;Totaal;Vier grootste gemeenten (G4);2015/'16;193514;189797;30941.0;9596.0;21345.0;158856.0;3717
71;Totaal mannen en vrouwen;Totaal;Vier grootste gemeenten (G4);2016/'17;194337;190667;28141.0;8835.0;19306.0;162526.0;3670
72;Totaal mannen en vrouwen;Totaal;Vier grootste gemeenten (G4);2017/'18;194233;190461;26092.0;8311.0;17781.0;164369.0;3772
73;Totaal mannen en vrouwen;Totaal;Vier grootste gemeenten (G4);2018/'19;194855;190789;24690.0;7992.0;16698.0;166099.0;4066
74;Totaal mannen en vrouwen;Totaal;Vier grootste gemeenten (G4);2019/'20;194214;189857;;;;;4357
75;Totaal mannen en vrouwen;Totaal;Vier grootste gemeenten (G4);2020/'21;192002;187564;;;;;4438
76;Totaal mannen en vrouwen;Totaal;Vier grootste gemeenten (G4);2021/'22;188456;184090;;;;;4366
77;Totaal mannen en vrouwen;Totaal;Gemeenten >=100 000 inwoners (excl. G4);2011/'12;282638;273913;34893.0;18544.0;16349.0;239020.0;8725
78;Totaal mannen en vrouwen;Totaal;Gemeenten >=100 000 inwoners (excl. G4);2012/'13;291330;282629;33633.0;17858.0;15775.0;248996.0;8701
79;Totaal mannen en vrouwen;Totaal;Gemeenten >=100 000 inwoners (excl. G4);2013/'14;297486;288976;31744.0;16500.0;15244.0;257232.0;8510
80;Totaal mannen en vrouwen;Totaal;Gemeenten >=100 000 inwoners (excl. G4);2014/'15;320733;311930;31529.0;16339.0;15190.0;280401.0;8803
81;Totaal mannen en vrouwen;Totaal;Gemeenten >=100 000 inwoners (excl. G4);2015/'16;329021;320567;29651.0;15245.0;14406.0;290916.0;8454
82;Totaal mannen en vrouwen;Totaal;Gemeenten >=100 000 inwoners (excl. G4);2016/'17;326681;318476;27306.0;13866.0;13440.0;291170.0;8205
83;Totaal mannen en vrouwen;Totaal;Gemeenten >=100 000 inwoners (excl. G4);2017/'18;324146;315841;26001.0;13069.0;12932.0;289840.0;8305
84;Totaal mannen en vrouwen;Totaal;Gemeenten >=100 000 inwoners (excl. G4);2018/'19;323302;314793;24661.0;12212.0;12449.0;290132.0;8509
85;Totaal mannen en vrouwen;Totaal;Gemeenten >=100 000 inwoners (excl. G4);2019/'20;324936;316180;;;;;8756
86;Totaal mannen en vrouwen;Totaal;Gemeenten >=100 000 inwoners (excl. G4);2020/'21;330838;321815;;;;;9023
87;Totaal mannen en vrouwen;Totaal;Gemeenten >=100 000 inwoners (excl. G4);2021/'22;326173;317219;;;;;8954
88;Totaal mannen en vrouwen;Totaal;Gemeenten < 100 000 inwoners;2011/'12;1086593;1058044;106541.0;71622.0;34919.0;951503.0;28549
89;Totaal mannen en vrouwen;Totaal;Gemeenten < 100 000 inwoners;2012/'13;1055141;1028169;98033.0;64779.0;33254.0;930136.0;26972
90;Totaal mannen en vrouwen;Totaal;Gemeenten < 100 000 inwoners;2013/'14;1023721;998222;89323.0;57971.0;31352.0;908899.0;25499
91;Totaal mannen en vrouwen;Totaal;Gemeenten < 100 000 inwoners;2014/'15;978042;954006;80762.0;51388.0;29374.0;873244.0;24036
92;Totaal mannen en vrouwen;Totaal;Gemeenten < 100 000 inwoners;2015/'16;951466;929014;72932.0;45239.0;27693.0;856082.0;22452
93;Totaal mannen en vrouwen;Totaal;Gemeenten < 100 000 inwoners;2016/'17;936213;914305;68832.0;41709.0;27123.0;845473.0;21908
94;Totaal mannen en vrouwen;Totaal;Gemeenten < 100 000 inwoners;2017/'18;925724;903913;66457.0;39109.0;27348.0;837456.0;21811
95;Totaal mannen en vrouwen;Totaal;Gemeenten < 100 000 inwoners;2018/'19;918436;896138;63327.0;36214.0;27113.0;832811.0;22298
96;Totaal mannen en vrouwen;Totaal;Gemeenten < 100 000 inwoners;2019/'20;909330;886790;;;;;22540
97;Totaal mannen en vrouwen;Totaal;Gemeenten < 100 000 inwoners;2020/'21;895327;873197;;;;;22130
98;Totaal mannen en vrouwen;Totaal;Gemeenten < 100 000 inwoners;2021/'22;887918;865908;;;;;22010
99;Totaal mannen en vrouwen;Totaal;"Gemeenten; niet in te delen";2011/'12;3749;3616;660.0;301.0;359.0;2956.0;133
100;Totaal mannen en vrouwen;Totaal;"Gemeenten; niet in te delen";2012/'13;3822;3695;701.0;292.0;409.0;2994.0;127
101;Totaal mannen en vrouwen;Totaal;"Gemeenten; niet in te delen";2013/'14;3992;3872;686.0;296.0;390.0;3186.0;120
102;Totaal mannen en vrouwen;Totaal;"Gemeenten; niet in te delen";2014/'15;3992;3882;632.0;282.0;350.0;3250.0;110
103;Totaal mannen en vrouwen;Totaal;"Gemeenten; niet in te delen";2015/'16;3852;3748;578.0;230.0;348.0;3170.0;104
104;Totaal mannen en vrouwen;Totaal;"Gemeenten; niet in te delen";2016/'17;3930;3851;551.0;243.0;308.0;3300.0;79
105;Totaal mannen en vrouwen;Totaal;"Gemeenten; niet in te delen";2017/'18;3870;3807;487.0;201.0;286.0;3320.0;63
106;Totaal mannen en vrouwen;Totaal;"Gemeenten; niet in te delen";2018/'19;3835;3767;480.0;191.0;289.0;3287.0;68
107;Totaal mannen en vrouwen;Totaal;"Gemeenten; niet in te delen";2019/'20;3701;3625;;;;;76
108;Totaal mannen en vrouwen;Totaal;"Gemeenten; niet in te delen";2020/'21;3613;3536;;;;;77
109;Totaal mannen en vrouwen;Totaal;"Gemeenten; niet in te delen";2021/'22;3786;3717;;;;;69
110;Totaal mannen en vrouwen;Totaal;Amsterdam;2011/'12;61183;59853;14557.0;4423.0;10134.0;45296.0;1330
111;Totaal mannen en vrouwen;Totaal;Amsterdam;2012/'13;61619;60388;13550.0;4137.0;9413.0;46838.0;1231
112;Totaal mannen en vrouwen;Totaal;Amsterdam;2013/'14;62421;61292;12238.0;3743.0;8495.0;49054.0;1129
113;Totaal mannen en vrouwen;Totaal;Amsterdam;2014/'15;63107;62043;10695.0;3252.0;7443.0;51348.0;1064
114;Totaal mannen en vrouwen;Totaal;Amsterdam;2015/'16;63573;62533;9568.0;2933.0;6635.0;52965.0;1040
115;Totaal mannen en vrouwen;Totaal;Amsterdam;2016/'17;63452;62442;8525.0;2589.0;5936.0;53917.0;1010
116;Totaal mannen en vrouwen;Totaal;Amsterdam;2017/'18;62810;61811;7910.0;2443.0;5467.0;53901.0;999
117;Totaal mannen en vrouwen;Totaal;Amsterdam;2018/'19;62578;61516;7470.0;2320.0;5150.0;54046.0;1062
118;Totaal mannen en vrouwen;Totaal;Amsterdam;2019/'20;62299;61127;;;;;1172
119;Totaal mannen en vrouwen;Totaal;Amsterdam;2020/'21;61148;59969;;;;;1179
120;Totaal mannen en vrouwen;Totaal;Amsterdam;2021/'22;59656;58494;;;;;1162
121;Totaal mannen en vrouwen;Totaal;'s-Gravenhage;2011/'12;45497;44421;10463.0;2970.0;7493.0;33958.0;1076
122;Totaal mannen en vrouwen;Totaal;'s-Gravenhage;2012/'13;45850;44780;9893.0;2807.0;7086.0;34887.0;1070
123;Totaal mannen en vrouwen;Totaal;'s-Gravenhage;2013/'14;46338;45270;9032.0;2551.0;6481.0;36238.0;1068
124;Totaal mannen en vrouwen;Totaal;'s-Gravenhage;2014/'15;46589;45541;8257.0;2336.0;5921.0;37284.0;1048
125;Totaal mannen en vrouwen;Totaal;'s-Gravenhage;2015/'16;47220;46205;7596.0;2166.0;5430.0;38609.0;1015
126;Totaal mannen en vrouwen;Totaal;'s-Gravenhage;2016/'17;47452;46358;6720.0;1938.0;4782.0;39638.0;1094
127;Totaal mannen en vrouwen;Totaal;'s-Gravenhage;2017/'18;47711;46516;6264.0;1842.0;4422.0;40252.0;1195
128;Totaal mannen en vrouwen;Totaal;'s-Gravenhage;2018/'19;47916;46582;5921.0;1768.0;4153.0;40661.0;1334
129;Totaal mannen en vrouwen;Totaal;'s-Gravenhage;2019/'20;47696;46316;;;;;1380
130;Totaal mannen en vrouwen;Totaal;'s-Gravenhage;2020/'21;47171;45802;;;;;1369
131;Totaal mannen en vrouwen;Totaal;'s-Gravenhage;2021/'22;46438;45083;;;;;1355
132;Totaal mannen en vrouwen;Totaal;Rotterdam;2011/'12;52009;50523;14543.0;5074.0;9469.0;35980.0;1486
133;Totaal mannen en vrouwen;Totaal;Rotterdam;2012/'13;51763;50428;13609.0;4814.0;8795.0;36819.0;1335
134;Totaal mannen en vrouwen;Totaal;Rotterdam;2013/'14;51807;50526;12665.0;4477.0;8188.0;37861.0;1281
135;Totaal mannen en vrouwen;Totaal;Rotterdam;2014/'15;52142;50904;11221.0;3820.0;7401.0;39683.0;1238
136;Totaal mannen en vrouwen;Totaal;Rotterdam;2015/'16;52601;51476;10169.0;3505.0;6664.0;41307.0;1125
137;Totaal mannen en vrouwen;Totaal;Rotterdam;2016/'17;52944;51928;9483.0;3347.0;6136.0;42445.0;1016
138;Totaal mannen en vrouwen;Totaal;Rotterdam;2017/'18;53076;52063;8818.0;3134.0;5684.0;43245.0;1013
139;Totaal mannen en vrouwen;Totaal;Rotterdam;2018/'19;53499;52452;8401.0;3070.0;5331.0;44051.0;1047
140;Totaal mannen en vrouwen;Totaal;Rotterdam;2019/'20;53390;52258;;;;;1132
141;Totaal mannen en vrouwen;Totaal;Rotterdam;2020/'21;52985;51784;;;;;1201
142;Totaal mannen en vrouwen;Totaal;Rotterdam;2021/'22;52176;50973;;;;;1203
143;Totaal mannen en vrouwen;Totaal;Utrecht;2011/'12;27596;27127;4893.0;1296.0;3597.0;22234.0;469
144;Totaal mannen en vrouwen;Totaal;Utrecht;2012/'13;28409;27919;4532.0;1211.0;3321.0;23387.0;490
145;Totaal mannen en vrouwen;Totaal;Utrecht;2013/'14;29090;28564;4281.0;1115.0;3166.0;24283.0;526
146;Totaal mannen en vrouwen;Totaal;Utrecht;2014/'15;29790;29244;3983.0;1049.0;2934.0;25261.0;546
147;Totaal mannen en vrouwen;Totaal;Utrecht;2015/'16;30120;29583;3608.0;992.0;2616.0;25975.0;537
148;Totaal mannen en vrouwen;Totaal;Utrecht;2016/'17;30489;29939;3413.0;961.0;2452.0;26526.0;550
149;Totaal mannen en vrouwen;Totaal;Utrecht;2017/'18;30636;30071;3100.0;892.0;2208.0;26971.0;565
150;Totaal mannen en vrouwen;Totaal;Utrecht;2018/'19;30862;30239;2898.0;834.0;2064.0;27341.0;623
151;Totaal mannen en vrouwen;Totaal;Utrecht;2019/'20;30829;30156;;;;;673
152;Totaal mannen en vrouwen;Totaal;Utrecht;2020/'21;30698;30009;;;;;689
153;Totaal mannen en vrouwen;Totaal;Utrecht;2021/'22;30186;29540;;;;;646
154;Totaal mannen en vrouwen;Nederlandse achtergrond;Nederland;2011/'12;1192410;1161767;85504.0;75732.0;9772.0;1076263.0;30643
155;Totaal mannen en vrouwen;Nederlandse achtergrond;Nederland;2012/'13;1171125;1142039;78056.0;68734.0;9322.0;1063983.0;29086
156;Totaal mannen en vrouwen;Nederlandse achtergrond;Nederland;2013/'14;1148797;1121128;70437.0;61759.0;8678.0;1050691.0;27669
157;Totaal mannen en vrouwen;Nederlandse achtergrond;Nederland;2014/'15;1127040;1100499;63872.0;55602.0;8270.0;1036627.0;26541
158;Totaal mannen en vrouwen;Nederlandse achtergrond;Nederland;2015/'16;1106401;1081522;56483.0;48825.0;7658.0;1025039.0;24879
159;Totaal mannen en vrouwen;Nederlandse achtergrond;Nederland;2016/'17;1085367;1061289;51191.0;44046.0;7145.0;1010098.0;24078
160;Totaal mannen en vrouwen;Nederlandse achtergrond;Nederland;2017/'18;1067674;1043617;47099.0;40281.0;6818.0;996518.0;24057
161;Totaal mannen en vrouwen;Nederlandse achtergrond;Nederland;2018/'19;1054650;1030065;43309.0;36758.0;6551.0;986756.0;24585
162;Totaal mannen en vrouwen;Nederlandse achtergrond;Nederland;2019/'20;1041910;1017166;;;;;24744
163;Totaal mannen en vrouwen;Nederlandse achtergrond;Nederland;2020/'21;1029570;1005131;;;;;24439
164;Totaal mannen en vrouwen;Nederlandse achtergrond;Nederland;2021/'22;1012193;988223;;;;;23970
165;Totaal mannen en vrouwen;Nederlandse achtergrond;Noord-Nederland (LD);2011/'12;140879;136713;10563.0;9246.0;1317.0;126150.0;4166
166;Totaal mannen en vrouwen;Nederlandse achtergrond;Noord-Nederland (LD);2012/'13;137574;133614;9578.0;8379.0;1199.0;124036.0;3960
167;Totaal mannen en vrouwen;Nederlandse achtergrond;Noord-Nederland (LD);2013/'14;134270;130444;8621.0;7507.0;1114.0;121823.0;3826
168;Totaal mannen en vrouwen;Nederlandse achtergrond;Noord-Nederland (LD);2014/'15;130880;127129;7585.0;6566.0;1019.0;119544.0;3751
169;Totaal mannen en vrouwen;Nederlandse achtergrond;Noord-Nederland (LD);2015/'16;127605;124134;6759.0;5759.0;1000.0;117375.0;3471
170;Totaal mannen en vrouwen;Nederlandse achtergrond;Noord-Nederland (LD);2016/'17;124167;120770;6154.0;5217.0;937.0;114616.0;3397
171;Totaal mannen en vrouwen;Nederlandse achtergrond;Noord-Nederland (LD);2017/'18;121294;117919;5605.0;4694.0;911.0;112314.0;3375
172;Totaal mannen en vrouwen;Nederlandse achtergrond;Noord-Nederland (LD);2018/'19;119202;115751;5072.0;4200.0;872.0;110679.0;3451
173;Totaal mannen en vrouwen;Nederlandse achtergrond;Noord-Nederland (LD);2019/'20;116736;113194;;;;;3542
174;Totaal mannen en vrouwen;Nederlandse achtergrond;Noord-Nederland (LD);2020/'21;114685;111092;;;;;3593
175;Totaal mannen en vrouwen;Nederlandse achtergrond;Noord-Nederland (LD);2021/'22;112111;108452;;;;;3659
176;Totaal mannen en vrouwen;Nederlandse achtergrond;Oost-Nederland (LD);2011/'12;293370;285139;22827.0;20565.0;2262.0;262312.0;8231
177;Totaal mannen en vrouwen;Nederlandse achtergrond;Oost-Nederland (LD);2012/'13;287545;279654;21115.0;18871.0;2244.0;258539.0;7891
178;Totaal mannen en vrouwen;Nederlandse achtergrond;Oost-Nederland (LD);2013/'14;281444;273939;19415.0;17282.0;2133.0;254524.0;7505
179;Totaal mannen en vrouwen;Nederlandse achtergrond;Oost-Nederland (LD);2014/'15;275427;268240;17972.0;15858.0;2114.0;250268.0;7187
180;Totaal mannen en vrouwen;Nederlandse achtergrond;Oost-Nederland (LD);2015/'16;268806;262201;16081.0;14079.0;2002.0;246120.0;6605
181;Totaal mannen en vrouwen;Nederlandse achtergrond;Oost-Nederland (LD);2016/'17;263394;257041;14638.0;12774.0;1864.0;242403.0;6353
182;Totaal mannen en vrouwen;Nederlandse achtergrond;Oost-Nederland (LD);2017/'18;258477;252183;13635.0;11812.0;1823.0;238548.0;6294
183;Totaal mannen en vrouwen;Nederlandse achtergrond;Oost-Nederland (LD);2018/'19;254552;248173;12569.0;10814.0;1755.0;235604.0;6379
184;Totaal mannen en vrouwen;Nederlandse achtergrond;Oost-Nederland (LD);2019/'20;251360;244944;;;;;6416
185;Totaal mannen en vrouwen;Nederlandse achtergrond;Oost-Nederland (LD);2020/'21;248491;242152;;;;;6339
186;Totaal mannen en vrouwen;Nederlandse achtergrond;Oost-Nederland (LD);2021/'22;244452;238215;;;;;6237
187;Totaal mannen en vrouwen;Nederlandse achtergrond;West-Nederland (LD);2011/'12;505561;494189;33025.0;29164.0;3861.0;461164.0;11372
188;Totaal mannen en vrouwen;Nederlandse achtergrond;West-Nederland (LD);2012/'13;499524;488740;30130.0;26534.0;3596.0;458610.0;10784
189;Totaal mannen en vrouwen;Nederlandse achtergrond;West-Nederland (LD);2013/'14;493227;482979;27248.0;23887.0;3361.0;455731.0;10248
190;Totaal mannen en vrouwen;Nederlandse achtergrond;West-Nederland (LD);2014/'15;487002;477133;24755.0;21703.0;3052.0;452378.0;9869
191;Totaal mannen en vrouwen;Nederlandse achtergrond;West-Nederland (LD);2015/'16;481265;471786;21734.0;18986.0;2748.0;450052.0;9479
192;Totaal mannen en vrouwen;Nederlandse achtergrond;West-Nederland (LD);2016/'17;474410;465071;19528.0;17000.0;2528.0;445543.0;9339
193;Totaal mannen en vrouwen;Nederlandse achtergrond;West-Nederland (LD);2017/'18;468557;459082;17950.0;15566.0;2384.0;441132.0;9475
194;Totaal mannen en vrouwen;Nederlandse achtergrond;West-Nederland (LD);2018/'19;464827;455067;16563.0;14293.0;2270.0;438504.0;9760
195;Totaal mannen en vrouwen;Nederlandse achtergrond;West-Nederland (LD);2019/'20;460195;450464;;;;;9731
196;Totaal mannen en vrouwen;Nederlandse achtergrond;West-Nederland (LD);2020/'21;455758;446167;;;;;9591
197;Totaal mannen en vrouwen;Nederlandse achtergrond;West-Nederland (LD);2021/'22;448159;438831;;;;;9328
198;Totaal mannen en vrouwen;Nederlandse achtergrond;Zuid-Nederland (LD);2011/'12;251525;244706;18977.0;16669.0;2308.0;225729.0;6819
199;Totaal mannen en vrouwen;Nederlandse achtergrond;Zuid-Nederland (LD);2012/'13;245473;239067;17100.0;14852.0;2248.0;221967.0;6406
200;Totaal mannen en vrouwen;Nederlandse achtergrond;Zuid-Nederland (LD);2013/'14;238884;232833;15039.0;12992.0;2047.0;217794.0;6051
201;Totaal mannen en vrouwen;Nederlandse achtergrond;Zuid-Nederland (LD);2014/'15;232799;227106;13461.0;11395.0;2066.0;213645.0;5693
202;Totaal mannen en vrouwen;Nederlandse achtergrond;Zuid-Nederland (LD);2015/'16;227945;222645;11834.0;9943.0;1891.0;210811.0;5300
203;Totaal mannen en vrouwen;Nederlandse achtergrond;Zuid-Nederland (LD);2016/'17;222593;217624;10802.0;9005.0;1797.0;206822.0;4969
204;Totaal mannen en vrouwen;Nederlandse achtergrond;Zuid-Nederland (LD);2017/'18;218124;213235;9861.0;8170.0;1691.0;203374.0;4889
205;Totaal mannen en vrouwen;Nederlandse achtergrond;Zuid-Nederland (LD);2018/'19;215126;210147;9065.0;7420.0;1645.0;201082.0;4979
206;Totaal mannen en vrouwen;Nederlandse achtergrond;Zuid-Nederland (LD);2019/'20;212630;207589;;;;;5041
207;Totaal mannen en vrouwen;Nederlandse achtergrond;Zuid-Nederland (LD);2020/'21;209691;204793;;;;;4898
208;Totaal mannen en vrouwen;Nederlandse achtergrond;Zuid-Nederland (LD);2021/'22;206442;201722;;;;;4720
209;Totaal mannen en vrouwen;Nederlandse achtergrond;Niet in te delen (LD);2011/'12;1075;1020;112.0;88.0;24.0;908.0;55
210;Totaal mannen en vrouwen;Nederlandse achtergrond;Niet in te delen (LD);2012/'13;1009;964;133.0;98.0;35.0;831.0;45
